,cid,votes,含hate,含hate中文翻译
28734,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g954XVx_cVCs,2,@franzpeters3824 people who always associate something with politics are very disgusting. you hate her because you can't be like her. u dont have culture like china.,@franzpeters3824始终将某件事与政治联系在一起的人非常令人恶心。你恨她，因为你不能像她一样。你没有像中国这样的文化。
15403,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97i7obrONsn,2,"yes its a show, idealizing country life in china. in reality the women are portly and missing teeth and the food is rice with whatever else you can scrounge up.",是的，这是一个节目，在中国理想化的乡村生活。实际上，妇女是矮胖的牙齿，食物是大米，还有其他您可以抓住的东西。
14567,UgzGJkA1_05JZiiafKl4AaABAg.947wSBzYSTb94l2R97Lp6y,2,"tala taptap i humbly appreciate you giving your time explaining your perspective of heaven, so thank you (: however that is not the case for others. while you strongly believe about your ""heaven"" i believe its only fair to respect others beliefs, whatever it may be. everyone goes through different types of unfortunate circumstances, and everyone goes through depression differently. while it may have worked on you, may not work on others.",tala tappap我谦虚地感谢您给您的时间解释您对天堂的看法，所以谢谢（：但是，对别人而言并非如此。虽然您坚信自己的“天堂”，但我相信尊重他人信仰的唯一公平可能是。每个人都经历了不同类型的不幸情况，每个人都以不同的方式经历抑郁症。尽管它可能对您有用，但可能对他人不起作用。
3810,UgzBJUj_crFSDTBbzc94AaABAg,2,"to be honest, i love watching her videos. i believe that she worked hard for it and every single bit of her works proved it. while scrolling through the comments, i saw a lot of malicious comments criticizing her. i mean, i know most people wouldn’t know whether this is true or not. but you can at least support her for this beautiful video? well maybe if you hate to support then don’t watch it. i love watching her videos and that is it for me. writing such awful comments made me think of how cruel can a mouth/mind be? please, she never disturbs any of you. so please, don’t hurt her.",老实说，我喜欢看她的视频。我相信她为此而努力，她的每一部分都证明了这一点。在浏览评论时，我看到了许多恶意评论批评她。我的意思是，我知道大多数人都不知道这是真的。但是您至少可以为她提供这个美丽的视频支持她吗？好吧，也许如果您不喜欢支持，那就不要看它。我喜欢看她的视频，就是我。写如此可怕的评论使我想到了嘴/思想的残酷性？拜托，她从不打扰你们中的任何一个。所以请不要伤害她。
9182,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9BRCCSpL9RH,2,"yong lu is old and silly. it is even more terrible to lean on the old selling and selling the old. regardless of the occasion, international friends who express friendly people instill political hatred. your thoughts are actually similar to the ccp 50 years ago that you hate. you have become a person you hate unknowingly. and the person you hate is not what he looks like 50 years ago.",Yong Lu 又老又傻，那更可怕
32435,Ugzmd-7nOEEY95rUZkx4AaABAg,2,"i live in the head of changjiang, and i live in the end of the yangtze river. drinking the yangtze river water in the same day, i don't see the monarch.
when is this water rest, when does this hate already? i only hope that jun's heart is like my heart, and it will be likely.","我住长江头，君住长江尾。 日日思君不见君，共饮长江水。
此水几时休，此恨何时已。只愿君心似我心，定不负相思意。"
4034,Ugw3lPr4ca-ek-0Fmwt4AaABAg.9LNZfg91zko9LuXqctS7Gw,2,@amlesh8638 chinese love her and adore her like a national treasure. sure sour ppl are from every where i believe many are really jealous cuz they are not makers but haters,@amlesh8638中国人爱她，像国宝一样崇拜她。当然，我相信许多人真的很嫉妒，因为他们不是制造者，而是仇恨者
5928,UgwS7SB7D6tYicwC8ZZ4AaABAg,1,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. 491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 491782570178
5086,Ugxo0oHZ_BN9DOcbD8R4AaABAg,1,"hello everyone, remember to stay positive and to bring good vibes only โค๏ธ๐ค

๐(haters always gonna hate)","大家好，请记住保持积极的态度，只带来良好的共鸣❤️

"
10670,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_1PmOu6qC,1,"@mohammedharoon8453 im a female ...yeah whatever... its vids about chinese 5000 years cultural village heritage... not about ccp culture! pls just try not to be hypocrite , mr. mohammad
bye2!","@Mohammedharoon8453我是一位女性...是的，无论如何...关于中国5000年文化村庄遗产的视频...与CCP文化无关！请尽量不要做伪君子，穆罕默德先生
bye2！"
28615,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g90LLCS3cy04,1,"guys you all just made franz peter famous. franz, sorry about the hate in here but english is just another language buddy and much more than that is our actions and that's what we need to concentrate in this video buddy.",伙计们，大家刚刚使弗朗兹·彼得（Franz Peter）出名。弗朗兹（Franz）对这里的仇恨感到抱歉，但英语只是另一个语言伙伴，而不是我们的行为，这就是我们需要专注于这个视频伙伴。
10966,Ugy1k62RIPtJGwpQD1x4AaABAg.9884VUoEJVQ98AZsEPLrnu,1,you are chinese haters,你是中国仇恨者
21994,UgxEB2KePnN9dUBsMlR4AaABAg.9-Jt-hgmGVe9-T5NZ08FFN,1,"just like we hate the vietnamese government, the vietnamese government is the devil",就像我们讨厌越南政府一样，越南政府就是魔鬼
5903,UgzlzO-1rE655wGM5il4AaABAg,1,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. 491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 491782570178
19993,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9QQnqQ_CFxW,1,"those who disliked are either jealous, china haters!!!!",那些不喜欢的人要么嫉妒，仇恨中国！
16818,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI939Dzs_8Kqk,1,"邹鲁 i said that at the end. i know it’s art. i personally don’t care if it’s fake, but i can empathize with people who would think it is and hate on the video. the objects and people are real for sure. it’s just the scenes are set up to make it look instagram-worthy and all the junk is set aside and off camera.",邹邹我最后说。我知道这是艺术。我个人不在乎它是否是假的，但我可以同情那些认为这是并且在视频中讨厌的人。对象和人们肯定是真实的。只是设置了场景，以使其看起来值得Instagram，并且所有垃圾都放在一旁并关闭相机。
7773,UgwU5GDQArK98qmoLuR4AaABAg,1,"whatever she does is incredible. i have no idea about the choices of the food. shoots, barks, mushrooms, this area has everything man!
knowledge is power! i am sure even chinese are baffled with what she does.","她所做的一切都是不可思议的。我不知道食物的选择。芽，树皮，蘑菇，这个区域有一切！
知识就是力量！我敢肯定，甚至中国人都对她的所作所为感到困惑。"
33039,Ugzmmp3o1lsdeUKdZih4AaABAg,1,i already fell in love with your videos and i can’t even describe how much i love seeing them. they are calming me down even today when i have to go somewhere that i hate visiting. thank you!,我已经爱上了您的视频，我什至无法描述我有多喜欢看到它们。即使在今天我不得不去我讨厌来访的地方，他们也使我平静下来。谢谢你！
4486,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9Lxiooux3P8,1,"i hate fucking china

xi jinping and mao zedong ruptured sexual intercourse in the market outlook. is the anus?
(it means xi jin ping and mao ze dong are sax together haha)","I HATE FUCKING CHINA 

习近平和毛泽东在后市进行性交的破裂,肛门是不是 
(It means xi jin ping and mao ze dong are sax together HAHA)"
18658,Ugzji7WoQS6IgFJIOvh4AaABAg.92QI8efM4zn92WmBbQfZQu,1,"@kunai5420, don’t blow the hair, there is something wrong with whatever you see the mirror.",@kunai5420 别吹毛求疵了，放大镜看什么东西都有毛病
27230,UgzrrKq8B8IJCVVg_Nd4AaABAg,1,someone is copying your videos and her name is dianxi or whatever! what a biggest copycat and i get angry with her its because someone just commented on her videos that her videos was better than yours and you are the one who's copying her its soooo annoying!,有人正在复制您的视频，她的名字是Dianxi或其他！多么最大的模仿猫，我对她生气，因为有人刚刚在她的视频上评论了她的视频比您的视频更好，而您是一个正在复制她的人，这让她很烦人！
22583,UgwOmhNcXJUluURnR6B4AaABAg.9--5CrdeP009-BRhULN5JA,1,"@kateydid18 she can be whatever she want,she is li ziqi...for me she is amazing ...even if she is bi,gay,or straight she could have the possibility to be mother in the way she want to be by natural way,or adoption ...we have so much love and admiration for her that we dont want her amazing skills to be forgotten or stop with her...just that...we just want more from her...
she is free and wise...and we need to respect who she is,and her choices... no matter what...
(sorry about my bad english :) )","@kateydid18她可以成为自己想要的一切，她是李齐（Li Ziqi）...对我来说，她很棒...即使她是双性恋，同性恋或直率，她也可以像她想成为母亲一样成为母亲自然的方式或收养...我们对她充满爱心和钦佩，我们不希望她的惊人技能被遗忘或与她停下来...只是……我们只希望从她那里得到更多...
她是自由和明智的...我们需要尊重她是谁，以及她的选择...无论如何...
（对不起，我的英语不好:)）"
2210,UgyoQesQM_RNOuGni0F4AaABAg,1,hate this false woman!,讨厌这个虚假的女人!
29840,Ugy5p3PJHaQYB0QceUt4AaABAg.8yW696r0_N08yW9wJYGodR,1,"i try my best to take a stab at the title. : )
a satisfying meal, enjoyable slurp of noodle, exilarating spicy taste while having a bowl of whatever she is making here.","我尽力刺穿标题。 ：））
一顿令人满意的饭菜，令人愉悦的面条，令人愉悦的辣味，同时拥有一碗她在这里做的一碗。"
10073,UgwZdcMQIwVUCzKvq5F4AaABAg,1,"i hate mushroom and tomatoes but everything you make looks delicious, i know that you didn't use tomatoes, not that i could see, but still, you make everything look delicious",我讨厌蘑菇和西红柿，但您制作的一切看起来都很美味，我知道您没有使用西红柿，不是我可以看到的，但是，您仍然让所有东西看起来都很好吃。
5944,UgyqQ13ffx9dFaq0wGR4AaABAg,1,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. +491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 +491782570178
33219,UgwPZ0yt6zqMWhnn7hd4AaABAg,1,"your videos make me want to move to the mountains, to have a simpler, more meaningful and fulfilled life. i hate the city. thank you for the few minutes of peace. 

ps. it would be great to have the english subtitles again. but i’ll take what i can get.","您的视频使我想搬到山上，拥有更简单，更有意义和充实的生活。我讨厌这座城市。谢谢您的和平几分钟。

PS。再次拥有英文字幕将是很棒的。但是我会拿走我能得到的。"
6923,UgzhLfv10DLOfN-W8Xl4AaABAg.9DrBV-z1UcC9F9iSDJuJtS,1,@milkknife you are thee perfect example of a person who hates life in general and hates themselves and takes it out on others. it's sad you're this way life is too beautiful and you haven't even discovered 1% of all the things to experience within it. hope you find some light in your life.,@milkknife，您是一个人的完美典范，他讨厌生活并讨厌自己并将其带到他人身上。这是可悲的，您的生活太美了，您甚至还没有发现其中有1％的人体验。希望您在生活中找到一些光明。
20653,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE91VhnqhpZTf,1,"jacky phantom fine. if you hate china so badly, please continue, because that’s most important and efficient emotion in your life. but be careful who could be using your hatred, freedom guardians on the internet.",杰基幻影很好。如果您非常讨厌中国，请继续，因为这是您一生中最重要，最有效的情感。但是要小心谁可以在互联网上使用您的仇恨，自由监护人。
21356,Ugw6bGalG6GxpFvlT0B4AaABAg.9-zPuOjOPAT90ryDqXxCT0,1,"what you miss is not just rural areas, but those who love you to accompany you to grow up, and when you are a child, he hates to go to the rural grandma's family to celebrate the new year. fantashan runs around, but now more memories are still inexplicable malicious",你怀念的并不是仅仅是农村 而是那些爱护你陪伴你成长的人和事 相反小时候最讨厌去农村奶奶家过年 他老人家重男轻女 我这个独生女简直是她眼中钉肉中刺 虽然堂哥堂妹都会带我满山跑到处玩 但是如今更多回忆起来的还是长辈莫名的恶意
30540,Ugxfq9HyrIWourmFgqp4AaABAg.8yVd8EkrIoG8yXFTOp-A2Q,1,haters gotta hate,仇恨必须讨厌
15470,Ugzt48BDwznGnFnF-GZ4AaABAg,1,"i don’t understand 12,000 haters. whats to hate?","我不明白12,000个仇恨者。讨厌什么？"
18605,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92bekdR8VWl,1,"pedro c brother, whatever mao did is fine, other ways , im japanese now or something but not chinese anymore .... maybe working for white and no pay all life like blacks ~~",佩德罗·兄弟（Pedro C Brother），毛泽东做的一切都很好，其他方式，现在是日语，但不再是中国人。...也许是为白人工作，不像黑人那样付出所有的生命~~
9314,UgwRQoOTeWPrusu1q4R4AaABAg,1,why some people gives dislike why so much hate๐“๐“๐“๐“๐“๐“๐“๐“๐“๐“๐“,为什么有些人不喜欢为什么这么多仇恨
14358,UgzYHury2mA4yVtrZMl4AaABAg.94Fh6gqwLT794Kg_s9sgaL,1,"whatever you did, it would never be enough. might be impossible to life up to her standards.",无论您做什么，这都是不够的。可能不可能符合她的标准。
5969,UgxBZlK643skj4gvMxZ4AaABAg.9FF-ZvuKkMT9FK5UUKQCvp,1,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. 491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 491782570178
9699,UgxeDjXMOCo9vlzxzEZ4AaABAg.99hgqgWegqn9AGIHnRs3sP,1,"@nsmall4890 i won't do this to hate nobody. i just tell you everything is fake and i hate someone liar. i will never stand by liar. i prefer she said the truth, not fooling us.",@nsmall4890我不会那样讨厌任何人。我只是告诉你，一切都是假的，我讨厌一个骗子。我永远不会忍受骗子。我更喜欢她说真话，而不是欺骗我们。
17259,UgwmPkAZarKIjiKWsNV4AaABAg.92lrC3-PunF92tv1GYTeqL,1,how we are being monitored and programmed with suggestions till we accept whatever we have been flooded with,在我们接受所淹没的一切之前，我们如何监控和编程建议
28817,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g988vfoeTSSp,1,"90% of this comment is hate comments about franz peters

oh yeah.. @franz peters just shut up. you cant even speak proper chinese. idiot","这些评论中有90％是关于弗朗兹·彼得斯的仇恨评论

哦，是的.. @franz Peters刚闭嘴。你甚至不能说适当的中文。笨蛋"
