,cid,votes,time,含hate,含hate中文翻译
26120,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zxUKXjVLZM,15,3 years ago,nah haters are necessary in life ๐. but i honestly donโ€t see how one can dislike her vids. itโ€s like therapy that makes you hungry ๐,不仇恨者是生活中必不可少的。但老实说，我看不到一个人如何不喜欢她的视频。就像疗法让您饿了
43026,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8rYq0qlRstU,15,4 years ago,"don't hate your life, change habbits. :)",不要讨厌你的生活，改变习惯。 :)
25023,Ugz5_RVUlBvKkof9cnh4AaABAg.9-w_32pW4v890_fzY7TuKt,15,3 years ago,"ashish srivastava only couple of city is polluted, with no doubt western media saying most of chinese cities got polluted, because they hate china. u never know the truth unless u touch it. so welcome to come visit china!",Ashish Srivastava只有几个城市受到污染，毫无疑问，西方媒体说，大多数中国城市被污染，因为他们讨厌中国。除非你触摸它，否则你永远不会知道真相。因此，欢迎来参观中国！
25299,UgxpiJzgA6cyWozX9R54AaABAg.9-UPeufRcwn9-bxyofC55y,14,3 years ago,"those who hate china with no direction, like american politician and those who follow their step, like australian politician.",那些没有方向而讨厌中国的人，例如美国政治家和那些跟随他们的步骤，例如澳大利亚政治家。
46454,Ugx3xkI2JGadhTYqM0Z4AaABAg.8qtsXGZE2XC8r08zBMqWXB,14,4 years ago (edited),"abid zoardar if you don’t like her video, just leave her alone. there’s no need to leave vicious comment to mislead others who like her. it’s your own business to dislike someone for whatever your subjective stereotype held against people. to spread around means you are nothing but a troll",Abid Zoardar如果您不喜欢她的视频，那就别管她。无需发表恶毒的评论来误导其他喜欢她的人。不喜欢某人的主观刻板印象对人的主观刻板印象是您自己的事。散布意味着您只不过是一个巨魔
26125,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9--Npxk-JY5,13,3 years ago,"@user-sc8cy5qc6e there is nothing wrong with that lol i certainly support whats she's doing 

honestly people hate on anything it could be a puppy just being cute and there will be haters.","@user-sc8cy5qc6e毫无错，我当然支持她在做什么

老实说，人们讨厌任何东西，这可能是一只很可爱的小狗，会有仇恨者。"
12628,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9CzvhbRgGHu,12,2 years ago,exactly. i hate people hating on my country. so i come here to see the positive comments,确切地。我讨厌人们讨厌我的国家。所以我来这里看看积极评论
34376,Ugy9Gua_ThhMeAwifHN4AaABAg.8v49t1LxqD68vE01UQQNOm,11,4 years ago,im thinking the same. thoes who dislike this video must be hateful spiteful bitter people who wasted their lives on nonsense. poor them.,我在想一样。不喜欢这部影片的汤斯一定是仇恨的苦涩的苦涩的人，他们浪费了荒谬的生命。他们贫穷。
35040,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vFmr4U8H7N,10,4 years ago (edited),"all i know is i've been depressed all day long and i don't know why. i think too much. and then this video comes across and it has been popping up for a couple of weeks and i hadnt watched it... but today i did. i just observed and soaked in all the beauty of it....and it really just helped me to change my perspective. there's a lot we can learn from her videos. simplicity and beauty. also notice her priorities and how much it piece she is at. there is so much respect for the family and the animals, nature and all the bounty of the earth we can take whatever we want from this without over-thinking it.",我所知道的是，我整天都感到沮丧，我不知道为什么。我多虑了。然后播放了这个视频，它已经弹出了几个星期，但我没有看过...但是今天我做到了。我只是观察到了所有的美丽。...这确实帮助我改变了自己的观点。我们可以从她的视频中学到很多东西。简单和美丽。还要注意她的优先事项以及她的优先次数。人们对家庭和动物，自然以及地球上的所有赏金都有非常尊重，我们可以从中汲取一切，而无需过度思考。
16768,Ugy8pkafb7rEDoVQc4V4AaABAg,9,3 years ago,omg when i heard the digimon music i got into my feels and was totally derailed from whatever she was doing,天哪，当我听到Digimon音乐时，我陷入了我的感觉，并且完全脱离了她所做的一切
16334,UgwR8QOhpPaILtiUyDd4AaABAg,9,3 years ago (edited),"i cannot believe that this video got 24 lakh dislikes this video should deserve more than 24 lakh likes. today humanity doesn't exists. haters who disliked first make this type of videos, she is the best't feel bad, these haters are like that we all support you",我不敢相信这段视频不喜欢这个视频应该得到超过240万的喜欢。今天人类不存在。不喜欢首先制作此类视频的仇恨者，她是最好的
19824,UgyTQdr4ht2C6TjRvft4AaABAg.95I2cr0D_Rv95ZoprEOJVa,9,3 years ago,believer believes what we believe. haters always hate no matter what,信徒相信我们的信念。仇恨者总是讨厌不管
13423,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9Cu2ESoP8dW,8,2 years ago,"haters, you are free to leave,if you do not like ziqi’s videos. do not talk about politics here ! do not be jealous! thank you!",仇恨者，如果您不喜欢Ziqi的视频，那么您可以自由离开。不要在这里谈论政治！不要嫉妒！谢谢你！
12648,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9DNL6KHMdNf,7,2 years ago,"@aqk-ry5zn the hate directed towards china and chinese people is largely a product of concerted propaganda from western media outlets. if you have a problem with china's territorial claims, then you should hate the americans even more. i mean all of america is literally built on stolen land. the best anti-china argument that people have is that china oppresses its citizens, but how many millions of people have americans killed in vietnam, korea, iraq, afghanistan combined?",@aqk-ry5zn仇恨针对中国和中国人民主要是西方媒体渠道的一致宣传的产物。如果您对中国的领土主张有疑问，那么您应该更讨厌美国人。我的意思是，整个美国都是基于被盗的土地。最好的反中国论点是，中国压迫其公民，但是在越南，韩国，伊拉克，阿富汗杀害的美国人有多少人被杀？
16381,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G98vkhXiQhz4,7,3 years ago,"@daisy and indians apparently, on every video that has something to do with china and has racist comments i always see indian people around talking about how much they hate china. i wonder why.",@Daisy和印第安人显然在与中国有关的每个视频中，并且有种族主义评论，我总是看到印度人周围谈论他们讨厌中国的程度。我想知道为什么。
16181,Ugz2Gjpul13TiuoJj9F4AaABAg.98rhLA7jw4W99cQZTm-Ip0,7,3 years ago,"she made money out of this but her friend said liziqi is just so humble. so much simplicity n her. she chose this kind of lifestyle bcause its how she'd been raised. most of her life, she spent it with her grandparents so i dont understand that there are still hate towards her.",她从中赚了钱，但她的朋友说利兹基太谦虚了。她这么简单。她选择了这种生活方式，因为她的成长方式。她一生的大部分时间，她都与祖父母一起度过，所以我不知道仍然对她有仇恨。
22055,Ugxlko-aCv8bm3F_QJp4AaABAg,5,3 years ago,"recently, li ziyi has been the ""ambassador to the promotional ambassador of the rural rural rural rural rich"", which has triggered a new round of comment boom. after seeing some, i couldn't help but feel like i could provide different perspectives.

the point is, i hope that everyone is calm, discuss things, and try to listen to it as much as possible.

don't bully a diligent, brave and intelligent girl.

according to the good cat catching the mouse, li ziyi is not an outstanding good cat. not to mention the renminbi income, she made a lot of money on the international stage, about tens of thousands of dollars a day, envy everyone, realize her dream of serving her grandmother's life, and obtaining the harvest of no dare to expect. impressive.

nearly 8 million foreign fans, everyone shows the truth, kindness showing the video. unconvinced? if you try it, you will know. jiang feng, the most popular self -media chinese, has subscribed for 280,000, is already an example for many people. it's just 3%of this little girl.

the videos of overseas cattle guo wengui are only watched tens of thousands of people every time. li ziyi's video is five or six million. the best 30 million. the video three years ago was searched every day, and the number of clicks continued to skyrocket.

this is not a general miracle.

i spent the strength of nine niu and tiger to make a video. so far, i only have 160 subscriptions, and the best video is watching more than 1,000 people.

i know li ziyi's weight. everyone also weighs.

everyone has the most discussions. the most misunderstanding of li ziyi is that she is just an actor, and her work is made by a huge team.

please understand her development history a little.

li ziyi had a childhood young man who had been unable to look back, had various workers, and had a long period of time for a person's exploration of experiments. he finally rely on his talents, hard work, hard work, and succeed.

the current situation, i am afraid that zhang yimou is likely to be a director. of course, li ziyi does not need zhang yimou. i have an analogy. li ziyi has no self -learning talent, and the artistic talent shown is no worse than zhang yimou.

li ziyi rely on his own efforts to come to this day. you open your eyes and talk nonsense, and you are unwilling to do basic investigations and research. he maliciously pour dirty girls to a hard -working girl.

really blushing for you. be kind. do nโ€t be so rude and hateful.

true: li ziyi's true, not that she is too beautiful, not what kind of shoes are wearing in the farmland. in my eyes, li zizhen's true, manifested in her hard work, hard work, and manifested in her soul. nothing will do.

of course, she will not seriously and deliberately express the hardships of the peasants in sichuan and the sufferings of rural poor today. li ziyi is pursuing the amount of subscriptions and click volume. her performance is basically impeccable.

li ziyi truly shows her own pursuit of life and her own state of life.

of course, try your best to beautify. otherwise, where can i subscribe?

good: see her depending on the grandmother's life, and take care of each other. thinking that grandma finally got a good life, she was really happy.

thinking of my work hard for a whole life. li ziyi's kindness is one of the biggest highlights of the video.

beauty: needless to say. i admire me and admire from the bottom of my heart. some people will say, team teams, foreign announcements and so on.

you just need to see li ziyi's earliest video to feel her artistic talent.

besides: with the current situation of li ziyi's current daily gold, let alone the government, any of the people with funds will not hesitate to make a behind -the -scenes team.

dawai xuan:

where is this? what big publicity? what a crime is to have no words. a girl mixed with meals, accidentally red and purple, do nโ€t tm โ€s blind eyes?

but here to tell the government and the communist youth league, do not speculate. stir good things. what is the blind ginseng?

the government was not stupid, and i saw li ziyi's success and wanted to use it. in fact, maybe good intentions have become bad things. with my concept, the government, the communist youth league, the best leave her alone. it is not as good as the last four, truth, goodness and beauty.

ziyi, please be careful. no need to cooperate too deeply with the government. tell them to let you develop freely in accordance with their greatest interests. otherwise, the end may not be good for anyone.

cut!

during the seven years of labor in rural areas during the revolution, the hardships of the rural areas of china's rural areas know a little.

the reason why li ziyi feels is because most of the farm work that li ziyi has done has done it, and i will even accept the soles of the shoe. i rushed the cow to rake the ground in the paddy field, and i tried it. if you can't try it, you have to give it to the poor farmers around him. very difficult work. i did not dry the back of the mountain from the mountain. there are no bamboo or mountains there. almost all of the others can't be familiar. rice, wheat, corn, sweet potatoes, pigs and sheep beef, planting vegetables. we do not plant fruit trees. moving the bricks by myself and moving the bricks. at the age of seventeen, he was cooking for fifteen students.

li ziyi used bamboo to make a sofa for me too much. too admire!

ziyi, refueling ๅฟ…๏ธ do not worry about it. take your own way and let others have a way. don't ignore some people's words of talking nonsense.

ps

ziyi does not necessarily know the history of 12 million people starved in sichuan during the great famine. mianyang is the hardest hit area. please know. it is important to your future development.","最近李子柒担任“中国农村青年致富带头人推广大使”，引发新一轮评论热潮。看了一些，忍俊不禁，有感而发，希望能够提供不同视角。

关键是，希望大家平心静气，就事论事，尽量做到兼听则明。

不要语言欺凌一个勤劳勇敢聪慧的女孩子。

按照逮着老鼠就是好猫的说法，李子柒不啻是一只杰出的极其优秀的好猫。不说人民币收入，她大把大把的在国际舞台上赚美元，大概每天几万美元吧，羡煞众人，实现自己养家糊口侍奉奶奶的人生梦想，获得原本不敢奢望的收获，可喜可贺令人钦佩。

将近800万外国粉丝，大家是冲着视频展现的真善美来的。不服气？你试试就知道了。海外最红的自媒体华人江峰，28万订阅，已经是很多人崇拜的榜样。仅仅是这小姑娘的3%。

海外牛人郭文贵每次的视频也只是几万人看。李子柒的视频动辄五六百万。最好的3千万。三年前的视频还在被人每天搜索，点击量继续暴涨。

这可不是一般的奇迹。

我费了九牛二虎之力做视频，至今只有160订阅量，最好的一个视频1000多人观看。

我知道李子柒的分量。大家也掂量掂量。

大家议论最多，对李子柒误解最大的是，她不过是个演员，工作都是一个庞大的团队做的。

请稍微了解一下她的发展史。

李子柒有过不堪回首的童年少年，有过各种打工经验，有过很长时间一个人摸索实验失败，最后靠自己的才华，勤奋，努力，获得了成功。

现在状况，恐怕邀请张艺谋来做导演都有可能。当然李子柒不需要张艺谋我是打个比方。李子柒无师自通自学成才，表现出来的艺术天分，不比张艺谋差一丝一毫。

李子柒完全靠自己的努力走到今天。你们睁着眼睛瞎说八道，连基本的调查研究都不愿意做，恶意向一个勤劳致富的女孩子泼脏水。

真替你们脸红。Be kind. Don’t be so rude and hateful.

真：李子柒的真，不是表现在她穿着过于漂亮，不是表演在穿着什么样的鞋子在农田里劳作。在我的目光里，李子柒的真，表现在她的勤劳，吃苦耐劳，表现在她的心灵手巧。啥都会干。

她当然不会去认真刻意的表现四川绵阳农民的辛苦和今日农村贫困人群的苦难。李子柒追求的是订阅量，点击量。她的表现基本无懈可击。

李子柒真实的表现了她自己对生活的追求，她自己的生活状态。

当然要尽力美化。不然哪里来订阅量？

善：看她和奶奶相依为命，互相关照。想到奶奶终于过上好日子真为子柒高兴。

想起自己姥姥勤劳一生。李子柒的善良，是视频最大亮点之一。

美：毋庸赘言。令我感佩，从心底里佩服。有人又会说了，团队团队，大外宣等等。

你只需要去看看李子柒最早的视频就能感觉到她的艺术天分。

再说一遍：以李子柒目前日进斗金的状况，别说政府，任何一个有资金的人都会毫不犹豫甘作幕后团队。

大外宣：

这哪儿跟哪儿啊？什么大外宣？真是欲加之罪 何患无辞。一个女孩子混口饭吃，不小心大红大紫，别TM的瞎着眼胡说八道好不好？

但是此处敬告政府和共青团，别投机不成舍把米。把好事搅合了。瞎参和什么呢？

政府不傻，看到李子柒的成功趁机想利用起来。其实也许好心办成坏事儿。以我的观念，政府啊共青团啊什么的最好leave her alone. 免得最后四不像，真善美不在。

子柒也请慎重。不必和政府合作太深。告诉他们让你自由发展符合他们的最大利益。不然最后也许结局对谁都不好。

切切！

在下文革时期在农村劳动七年多，对中国农村的苦难农民的艰辛略知一二。

之所以感觉李子柒的真实，就是因为李子柒干过的农活儿大部分我都干过，我甚至会纳鞋底。赶着牛在水田里耙地，我试过。怎么试都不行只好交给身边的贫农代表。很不容易的活计。从山上砍竹子背下山没有干过。我们那里没有竹子也没有山。其它几乎都再熟悉不过。水稻，小麦，玉米，红薯，养猪羊牛，种菜。我们没有种水果树。自己盖房子搬砖头用手推车运转头。十七岁当炊事员专职为十五个同学做饭。

李子柒用竹子做沙发让我太佩服了。太佩服！

子柒，加油

PS

子柒不一定知道大饥荒时期四川饿死1200万人的历史。绵阳是重灾区。请一定了解一下。对你今后发展至关重要。"
35411,UgyIlNkDFoFy949wgSV4AaABAg.8uf_EUKhc8j8yPfwwIknyR,5,3 years ago,"@vegandolls chill. just because you're probably a vegan, doesn't mean everyone is. so stfu and leave if you don't want to watch. let us have our peace, we don't want your negativity here. let her do whatever the heck she wants.",@Vegandolls寒意。仅仅因为您可能是素食主义者，并不意味着每个人都是。因此，如果您不想看，请离开。让我们保持和平，我们不希望您在这里消极。让她做她想做的一切。
25268,UgxFDJHIRuj2vGz_Zph4AaABAg,5,3 years ago,"i have a chestnut tree that i hated. now, after seeing this video, i look at it as a resource for delicious chestnuts. thank you for helping me see things in a better light.",我有一棵我讨厌的栗树。现在，在观看此视频后，我将其视为美味栗子的资源。感谢您帮助我更好地看到事物。
12643,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D7iwLVXmDz,4,2 years ago,i wish the chinese community the best. you sweet people deserve none of the hate you receive. much love,我希望中国社区最好。你们可爱的人不应该得到你所得到的仇恨。非常喜欢
17623,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh9848IskKRjd,4,3 years ago,"heardistance you have been mentioned so many times that “you should”, “you must”...hmm, why would i follow that? i feel offended by the unfriendly words and bad attitude you had before, if you wrote down comment like this and make it more clearly i may even not argue at all. in addition, german and english are also pretty hard for chinese as they are completely different language system to us but many of us at least make it works. german is also not a global language but it does bring convenience to study, work and travel in german speaking area and help to understand germans better. but of course, if your life has no any relations with china, that’s indeed not necessary to learn chinese at all. but it would be also cool to be able to speak chinese as nowadays so many chinese are around. no matter you hate it or love it, they are there.",听到您已经被提到了很多次，以至于“你应该”，“你必须” ...嗯，我为什么要遵循呢？如果您写下这样的评论并使之更加清楚地说，我什至根本没有争论。此外，对于中文而言，德语和英语也很难，因为它们与我们完全不同，但我们中的许多人至少使它起作用。德语也不是一种全球语言，但它确实带来了在德语讲话地区学习，工作和旅行的便利，并帮助更好地了解德国人。但是，当然，如果您的生活与中国没有任何关系，那确实没有必要学习中文。但是，能够说中文会很酷，因为如今有很多中国人在周围。无论您讨厌或喜欢它，他们都在那里。
17494,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa98D1GUPQmOf,4,3 years ago (edited),"@zamir shaikh ,
what about human being eaten alive without being killed by serial killers? two faces of whatever country you are from... right? there was a video of a pig being boiled alive ... produced in the us. i mean, you can find all kinds of people in every country. only fools will pin everything in a country on everyone from there. you are that fool.","@zamir Shaikh，
如果人类被杀死而被连环杀手杀死的人呢？您来自任何国家的两个面孔...对吗？有一段视频，有一只猪活着煮了……在美国生产的视频。我的意思是，您可以在每个国家找到各种各样的人。只有傻瓜才能将所有国家固定在一个国家。你是那个傻瓜。"
51391,Ugz4T9MJPXg4TiuE5o54AaABAg.8qlWUCBsGdF8qlnv-im8H0,4,4 years ago,"oh my god, i used to take a screenshot of li ziyi's video to the wechat circle of friends, saying that this is the cleanest place in youtube. you can see the praise of many languages ​​in the world. in such a good place, it was finally polluted. it doesn't matter. a certain island, i have sent screenshots of the vicious comments under the dai ziying incident to weibo/post bar/friend's circle, so that more kind chinese people can see hate, visualize it, see what a treasure method is alishan sun moon lan treasure island in textbooks. dai ziying's incident has an islander commented: the woman is a bad kind and other races. the world only has confinement to stretch. if they do not sit, they will die. japan and south korea do not need to applaud the cow fork! haha, in the past few years, i have worked hard to promote friendship between the two sides of the strait in my life and youtube, and i have no longer worked hard since september 18. now i often send a comment on a certain island in youtube to the circle of friends. hehe, and personally persuaded a few elderly relatives and friends who want to travel to a certain island, let them go to new matthew, support our friendship and overseas chinese, ha ha","我的天啊，我之前把李子柒视频下的评论截屏发到微信朋友圈，说这是YouTube里面最干净的地方，你可以看到全世界很多语言的赞美之词。这么好的地方，最终还是被污染了一下下，没关系啦，某岛，我已经把戴资颖事件下的恶毒评论截图发到微博/贴吧/朋友圈，让更多善良的中国人民看到仇恨，visualize it, 看看教科书里的阿里山日月潭宝岛是怎么个宝法。戴资颖事件有个岛民评论: 支那女人是劣等人种，全世界只有他们坐月子来苟延残喘，如果不坐，就会死，日韩就不需要坐 鼓掌"
33828,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48z199PPKB5e,4,3 years ago,"yes i agree. since five and 21 study for school . at the end of it,it is nothing. ฤฐt is worse job. o hate my job and life . ฤฐ stress out top much . ฤฐt is too hard to get a job and i make little money.",是的我同意。自五和21学习以来。最后，它一无所有。伊特工作更糟。 o讨厌我的工作和生活。压力很大。伊特很难找到工作，我赚了很少的钱。
45758,Ugw99ATdOTpfSLjz_BB4AaABAg.8r0DpRagQy88r2wengZKx3,4,4 years ago,"@legoflamp488 you don't understand scarcasm ? 
so what if there is a crew working with her ? you can leave the hell alone with this channel and do your own thing, why bother yourself ?
let me give you the breakdown, she doesn't give a shit about youtube, her fans posting her videos here to share with oversea chinese. her main platform is on weibo. where she post videos and share with her followers ! and moreover, not everything is political, don't blame this girl, she does not force you to watch.
your comment “propaganda”, is simply ignorant, skeptical, shameless, selfish, and pathetic.whatever the problem you have with the chinese government, don't bring those issues onto this girl. she made millions by shooting videos and clearly doesn't give a ** about it.","@legoflamp488您不了解疤痕吗？
那么，如果有船员和她一起工作怎么办？您可以在这个频道上独自一人，做自己的事情，为什么要打扰自己呢？
让我给您分解，她没有对YouTube的烦恼，她的粉丝在这里发布了她的视频，以与海外中文分享。她的主要平台在微博上。她在哪里发布视频并与她的追随者分享！而且，并非一切都是政治性的，不要怪这个女孩，她不会强迫您观看。
您的评论“宣传”简直是无知，持怀疑态度，无耻，自私和可悲。无论您在中国政府面临什么问题，都不要将这些问题带入这个女孩。她通过拍摄视频制作了数百万美元，显然没有给它**。"
23212,UgzFvxptKRucnF0Q3M54AaABAg,4,3 years ago,"why americans hate chinese, i don't understand,she is chinese and the place is also china",为什么美国人讨厌中文，我不明白，她是中国人，这个地方也是中国
4925,UgyjQ599ouuMF-0kg-t4AaABAg,4,1 year ago (edited),li ziqi whatever happens be still the simple li ziqi that people loves and me too don’t change,Li Ziqi无论发生什么事仍然是人们爱的简单的Li Ziqi，我也不会改变
25378,UgyVMG0EH6OrWQZBHZN4AaABAg,3,3 years ago,"the marshmallows at 3:33 threw me for a loop though. i didn't see a walmart or cvs in the night shot of the stars. 

the food looks great! i'd also like to see a video of laundry day, i hate folding and i'd like to see if i can pick up some tips... just saying!

seriously i enjoy the videos! ๐","棉花糖在3:33扔了一个循环。在夜间星空镜头中，我没有看到沃尔玛或简历。

食物看起来很棒！我也想看一段洗衣日的视频，我讨厌折叠，我想看看我是否可以拿起一些提示...只是说！

说真的，我喜欢这些视频！"
