,cid,votes,time,含grandma,含grandma中文翻译
18023,Ugz9fIs_VkNIHTCqelF4AaABAg,5,3 years ago,haha she's so lucky to have a loving grandma rather than me having a whole family not caring about me,哈哈，她很幸运能拥有一个充满爱心的奶奶，而不是让整个家庭不关心我
10991,UgzVXwN2Sk-mZ8X4ecJ4AaABAg,5,2 years ago,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
23806,UgzEFR0zOIXD1RMwuHZ4AaABAg,5,3 years ago (edited),"5:59 grandma's a gangster, didn't even flinch",5:59奶奶的黑帮，甚至没有退缩
25089,UgzEObrV7Nvv1C6aWk54AaABAg,4,3 years ago,7:46 grandma is wearing a cute beanie ๐คถ๐ป๐๐๐ป,7:46奶奶穿着可爱的豆豆
9914,Ugwq7gz3k7farnjFNdt4AaABAg,4,2 years ago (edited),"i love how your sheep follows you around as your dogs do.

btw it was very sweet to cover your grandma's ears during the popcorn making.","我喜欢您的绵羊像狗一样跟随您。

顺便说一句，在爆米花制作过程中遮住奶奶的耳朵非常甜蜜。"
32877,Ugzgwm6NH_amKwK3UEt4AaABAg,4,4 years ago,"i love your grandma's hat. and i like your videos, just one problem, the captions are to fast i don't have time to read them lol",我爱你奶奶的帽子。我喜欢您的视频，只是一个问题，标题是快速我没有时间阅读它们
33087,UgyJnq09qTfSlMrneQx4AaABAg,4,4 years ago,"it is hard to imagine that these are my memories when i was a kid. in the countryside, grandma's clever hands, hard but unlimited happiness and happiness. tears are difficult to suppress, thank you ~",很难想象这些都是我小时候的回忆，在乡村，奶奶那双巧手，艰苦却有无限的快乐和幸福。眼泪
31956,UgzFE5Sf0_PkloGaD1t4AaABAg,4,4 years ago,that is one lucky grandma,那是一个幸运的奶奶
32685,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF08w4hKR92BCA,4,4 years ago,50% grandma,50％奶奶
16506,UgxKm1-q33IW9A_NUEF4AaABAg,4,3 years ago,"i love this.
i love how she kept her grandma presence known but her face private. loved your work game and how you worked together. 
would definitely love to spend a year with you guys.","我喜欢这个。
我喜欢她如何使祖母的存在众所周知，但她的脸私密。喜欢您的工作游戏以及您如何一起工作。
肯定会喜欢和你们一起度过一年。"
3753,UgyJCPfUTarsXOs5pZl4AaABAg,4,1 year ago,it'll break her heart when grandma leaves!,当奶奶离开时，它会伤心！
30341,Ugwx5fUYZHsWQ0wNkyV4AaABAg,4,3 years ago,such an independent lady!! sweet to her grandma and can do many things. so inspiring to see things like this. โค๏ธ,如此独立的女士！对她的奶奶甜蜜，可以做很多事情。如此鼓舞人心看到这样的事情。 ❤️
28869,UgxEIkDP6TLvOLpJDyR4AaABAg,4,3 years ago (edited),i love your chanel !! .and can you show us your grandma and your family? liked this coment if your also wont๐ค—๐๐๐‘๐‘,我爱你的香奈儿！您能告诉我们您的奶奶和您的家人吗？如果您也不会
17122,UgzDTrSxC6XkSD-i9hZ4AaABAg,4,3 years ago (edited),5:56 she got more scared than her grandma aww,5:56她比奶奶更害怕
25749,UgyId0RtnGwV9WLKPNV4AaABAg,4,3 years ago,"i think this is my favourite video you have made. it reminds me that even though life is hard.. the happiness lies in the simple things. like shared treats and memories, laughter as you show grandma the candy hawthorn .. your grandma sure loves you. you are a wonderful person with a good heart and i support you and pray for your blessings in all forms .. with love from. canada ๐จ๐ฆ",我认为这是您制作的我最喜欢的视频。它提醒我，即使生活很艰难。幸福在于简单的事情。就像共享的零食和回忆一样，当您向奶奶霍桑（Candy Hawthorn）展示时，笑声。你是一个有良好心的好人，我支持你，并以各种形式的祝福祈祷。加拿大
39568,UgwxyD_qcIrH2cag3754AaABAg,4,4 years ago,her grandma is so cute..๐,她的祖母太可爱了。
32026,UgxxBPIVKdd9bUgvq7h4AaABAg.8w-lBXuPmHe8w6n1qTgujn,4,4 years ago,"its her grandpa's house.. well, i guess(?) .. since she's living with her grandma.",它是她爷爷的房子..嗯，我想（？）..既然她和祖母一起住。
19320,UgxdvgtQM3RNbEQXw_x4AaABAg,4,3 years ago,lucky grandma. hope china recovers soon from covid 19,幸运的奶奶。希望中国很快从库维德19
31771,UgzxCdZL05_HW_eZTOx4AaABAg,4,4 years ago,"how to make popcorn:

us: put a bag in the microwave.

them: design a nuclear bomb to pop the corn while spinning it around on top if fire. (protect grandmaโ€s ears as well.) ๐‘๐ณ๐‘","如何制作爆米花：

我们：在微波炉中放一个袋子。

他们：设计一个核弹以弹出玉米，同时在火上旋转。 （也保护奶奶的耳朵。）"
51188,UgzMAjAbeNrP7isNqRx4AaABAg,4,4 years ago,happy chinese new year! for you and grandma.. ❤❤❤❤,农历新年快乐！为你和奶奶..❤❤❤❤
24982,Ugw04Uimwmp5r-6XhsZ4AaABAg.9-yq5NvA-dW9038KRBilEH,4,3 years ago,what๏ผthis is my younger life in ten years ago in chinese rural area with my grandma !,这是我十年前与祖母在中国农村地区的年轻生活！
36450,Ugwi8U7QeXXlVD3hEJd4AaABAg,4,4 years ago,your grandma is so cute!! and i love how kind you are with her!,你的奶奶真可爱！我喜欢你和她有多好！
52131,UgzFVoxR1_4-ErwOjHN4AaABAg,4,4 years ago,"ziyi snacks tianchun meaning, setting up the old and old times!
the soul and the child are ingenious, and the grandma teases grandma to make a pity!","子柒零食添春意,烘托年味旧时情!
心灵手巧孩提味,逗弄奶奶赚疼惜!"
45878,Ugxqs8nWwq84eoXV0Ah4AaABAg,3,4 years ago,wishing you and your grandma good health. happy new year!,祝你和你奶奶健康。新年快乐！
4278,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9W9sPXh59Fn,3,1 year ago,"@miukeefeng4951 just because she's being filmed while she does it doesn't mean it's fake. she gets help in her videos but her lifestyle doesn't magically change once the cameras stop rolling. she still lives in the mountains with her grandma, that doesn't change.",@Miukeefeng4951仅仅因为她在拍摄时被拍摄并不意味着它是假的。她在视频中获得了帮助，但是一旦相机停止滚动，她的生活方式就不会神奇地改变。她仍然和祖母一起住在山上，这不会改变。
46786,Ugyruz7LVBZE2ytAYTV4AaABAg,3,4 years ago,long live grandma,万岁的祖母
46844,UgypAbv7l1IGSkj6aS14AaABAg,3,4 years ago (edited),"happy chinese new year to you and your grandma. you do so many things yourself it is truly amazing and inspiring. my favourite part was the popcorn one and specially the end. your reaction during the popcorn machine was opened was too cute, it is the first time i saw popcorn being made like that. and grandma looked absolutely adorable. and thank you for the english subtitles. me and my mother simply love watching your videos.",春节快乐，祝您和您的祖母。您自己做很多事情，真是太神奇和鼓舞人心。我最喜欢的部分是爆米花，尤其是结尾。您在爆米花机上打开的反应太可爱了，这是我第一次看到爆米花是这样做的。奶奶看起来绝对可爱。并感谢您的英文字幕。我和我的母亲只是喜欢看你的视频。
5640,UgzvxxknOfpam2cK_Ix4AaABAg,3,2 years ago,this video made me missing grandma’s smoked meat,这段视频让我错过了奶奶的熏肉
27820,Ugx8L8UDX9uEfI3uuKZ4AaABAg.8z2BKhwCUrw8zxkwXlHqGd,3,3 years ago,true ใ… ใ…  and her grandma didn't even flinch and just chuckled when it was liziqi who got startled instead,是的ㅠㅠ，她的祖母甚至都没有退缩，只是在liziqi被吓了一跳的时候笑了
6026,UgyQRQ4VAky5pELJw7Z4AaABAg,3,2 years ago,i just love how much you adore your grandma,我只是爱你有多喜欢你的奶奶
18455,UgxkTM1tlXyBdt2-M5V4AaABAg,3,3 years ago,i started to tear up when you ran to cover your grandma’s ears ❤️,当你跑来遮住祖母的耳朵时，我开始撕毁❤️
11824,UgxRcfrxnDTijDAGuUB4AaABAg,3,2 years ago (edited),"there is no limit to what she can do and make, god bless her and her grandma",她可以做的事情没有限制，上帝保佑她和她的奶奶
27249,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-H1fdL3An3,3,3 years ago,"thanks for sharing, i think she is adorable and a strong woman and soul. god bless her and her grandma in all things.",感谢您的分享，我认为她很可爱，是一个坚强的女人和灵魂。上帝保佑她和她的祖母在万物中。
8985,UgzXcfTWgLUak2afxPJ4AaABAg,3,2 years ago (edited),i love how she takes care of her grandma....love everything about her,我喜欢她如何照顾祖母。...爱她的一切
23942,Ugx_JhuiYVRg2bojSDR4AaABAg,3,3 years ago,i love grandmaโ€s hat!โ๏ธโค๏ธ๐จ๐ฆ๐,我爱奶奶的帽子！✌️❤️
48531,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qniTsUaSV3,3,4 years ago,"seeing the little brother, i only knew that she was going to take care of her grandma, so she stayed at home, and she went to work when she graduated from junior high school. shooting a video should also want to make some money! the effect is very good, many fans, there are more than 50 million on -demand volume of more than 20 videos in the past twenty videos",看小哥哥 我只知道她要照顾她奶奶所以就留在了家里，初中毕业就去工作了。拍视频应该也是想赚点钱吧！效果很不错很多粉丝，以前二十几个视频就有五千多万的点播量
11127,UgwGFYc6ws7tAdXWes54AaABAg,3,2 years ago,"your grandma is blessed to have you, my lady! ๐’•",我的夫人很幸运，我的女士！
32058,UgwlrcsnlxBK_XQhCXd4AaABAg.8vztA6WkhKN8wX4qAJLKQL,3,3 years ago,ms.joon guy mane at this point iโ€m not even surprised i found an army in the comments. but agreed she treats her grandma with so much respect it makes me smile.,此时，乔恩·盖伊·曼恩（Joon Guy Mane）女士什至不感到惊讶，我在评论中找到了一支军队。但是同意她对奶奶非常尊重，这让我微笑。
51082,UgxCP7XxnMXaiAsc_sV4AaABAg.8ql_ahZLACt8qlqW2fR4YD,3,4 years ago,"i don't know when her grandpa passing over ,but 2012 , her grandma seriously ill ,she decided to leave the city,go back and spend the rest of her life with grandma.",我不知道她的爷爷何时经过，但是2012年，她的祖母生病了，她决定离开这座城市，回去与祖母一起度过余生。
22031,UgyS33oVL5uvn_UYE_F4AaABAg,3,3 years ago,it's so cute when she run to close her grandma's ear from loud sound but instead she's the one who shocked lol,当她跑来闭上祖母的耳朵从大声的声音上闭上耳朵时，这真是太可爱了，但是她是一个震惊的大声笑的人
37139,Ugw0R4nAGMukC4vwbbN4AaABAg,3,4 years ago,love how she tries to protect grandmother but she ends up being the one scared ๐ grandma has seen many thing to get scared easily,爱她如何试图保护祖母，但她最终成为一个害怕的人，祖母看到了很多事情很容易害怕
19167,Ugz7GfDlR4YeU4t_6r14AaABAg.967vXqxs2yP96WZ4VeTdHx,3,3 years ago (edited),"@user-zr1bv5rt1t no i didn't mean like that, what i mean ""all natural"" is the plants, the fruits, the ingredients that she use, she planting all of them, of course i know that she did it for her grandma, she take good care of her, i know that's a hard life and i feel that, and of course i can't be like her because i was born and grow up in the city, the food that i eat almost everyday i buy it at walmart or sometimes eating food at restaurant, cause you know what life in the city looks like if you don't eat you will starving and probably sick or death and you can't deny it, so i'm sorry for my comment, peace ✌",@user-zr1bv5rt1t不，我不是那样的意思，我的意思是“全自然”的是植物，水果，她使用的食材，她都种了全部，我当然知道她是为祖母做的，她很好地照顾她，我知道那是艰难的生活，我觉得，我当然不能像她一样，因为我在城市中出生并长大了，我几乎每天都在买它的食物在沃尔玛或有时在餐厅吃食物，因为您知道城市中的生活是什么样的，如果您不吃东西，您会饿了，可能会生病或死亡，您不能否认它，所以我对我的评论感到抱歉，和平✌
22158,Ugxg3JN84NsNcB0m6-14AaABAg,2,3 years ago,the picture of helping grandma covering the ears is so warm,帮奶奶捂耳朵的画面好暖
26013,UgwHc9XE_F_lukY4B894AaABAg,2,3 years ago,"missing my village home and grandma..
love to watch your videos","想念我的村庄和祖母。
喜欢看你的视频"
24407,Ugzm-fD1aomcAfnIKb14AaABAg,2,3 years ago (edited),"she's so amazing and angelic looking.. bless her and her grandma truly! 
also, guys! she did all that and then did video editing on her computer like whaaaaa !","她真是太神奇和天使般的。.真正祝福她和她的祖母！
另外，伙计们！她做了所有这些，然后在她的计算机上进行了视频编辑，例如whaaaaa！"
33837,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48zuXrzMEaLt,2,3 years ago,"@ingestrauss3826 
i'm not at all certain li ziqi would describe her life as ""satisfying"". 

judging from her interviews and a letter she wrote in 2017, li ziqi is herself stressed, overworked, depressed and very often physically ill.

were it not for her grandmother needing to be cared for, i doubt li ziqi would be there, and once her grandma passes, i doubt she'll stay there; unless she makes enough money off of social media to be able to pay someone else to do the tedious, back-breaking and often dangerous work she has to do now just for her and her grandma to survive.","@ingestrauss3826
我一点也不确定李Ziqi会将她的生活描述为“令人满意的”。

从她的采访和她在2017年写的一封信来看，李齐（Li Ziqi）本人强调，劳累，沮丧，经常身体不适。

如果不是因为她的祖母需要照顾，我怀疑李齐（Li Ziqi）会在那里，一旦她的祖母通过，我怀疑她会呆在那里。除非她从社交媒体上赚到足够的钱，以便能够付钱给别人做一个乏味，逆转且经常危险的工作，她现在只为她和她的祖母生存。"
35116,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8zs7kapPFt0,2,3 years ago,"@therewasnochill8997 just an information, she used to work in the city as a dj before :) in 2012 she moved back to the countryside to be with her grandma. (she grew up in the countryside with her grandparents.) https://raknife.com/li-zi-qi/",@thenwasnochill8997仅有一份信息，她曾经在城市中以DJ的身份在城市工作:) 2012年，她搬回乡村与祖母在一起。 （她和祖父母一起在乡村长大。）https://raknife.com/li-zi-qi/
42280,Ugz1IYrjJR8HlFCquwJ4AaABAg.8rhy45SStsD8ri9PbPXTiS,2,4 years ago,"geisteswissenschaft 
no, her parents passed away. she was raised by her grandparents in rural china. she went to work in cities but returned to the village to take care of her grandma after her grandpa passed away.","Geisteswissenschaft
不，她的父母去世了。她的祖父母在中国农村抚养长大。她在城市上班，但在爷爷去世后回到村庄照顾祖母。"
40445,Ugz7z6jPUmpDFcpNtft4AaABAg,2,4 years ago,i love her character so kind and take care her grandma,我非常爱她的角色，照顾她的祖母
42095,UgxYp3dKi5j5eEdn0994AaABAg,2,4 years ago,you really inspire me to do new things! thank you very much! and your grandma!,你真的激励我做新事物！非常感谢你！而你的奶奶！
28348,UgwpQbr4FDARadenoAl4AaABAg,2,3 years ago,i love how sweet you are with your grandma!! ๐ฅฐ,我爱你和祖母有多甜蜜！
35087,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8wTpGGe6AnE,2,3 years ago,"therewasnochill just to answer your maybes, she is a university graduate. as what she has said before, she lost both parents in an accident and she made the decision to go back home and take care of her grandma(her only family left). she then started filming her life and finally became popular. god bless this beautiful person.",因此，要回答您的Maybes，她是大学的毕业生。正如她之前所说的那样，她在一次事故中失去了父母，她决定回家照顾奶奶（她唯一的家人离开了）。然后，她开始拍摄自己的生活，终于变得流行。上帝保佑这个美丽的人。
24978,UgzY15oZMnGfOJPpx914AaABAg,2,3 years ago,youโ€re so kind to your grandma but weโ€re is your mom?๐…,你对奶奶很友善，但我们是你的妈妈？
25984,UgyWZBCGKSsKXZDCvQ94AaABAg,2,3 years ago,"omg her grandmas hat is so cute.
im watching all the ads for this family ๐–โคโค","天哪，她的祖母帽子是如此可爱。
我正在看这个家庭的所有广告"
33306,Ugzslh_sPP4Vab2purh4AaABAg,2,4 years ago,she cares so much for her grandma ๐‘ต๐พ itโ€s so sweet ๐,她非常关心祖母
27146,UgwcAS2PnRDyXEnijt94AaABAg,2,3 years ago,"i would be content with a simple quiet life like this. 

p.s. i dunno which is cuter, the puppies and lamb following her everywhere, or her grandma โค","我会满足于这样简单的安静生活。

P.S.我不知道那个可爱的，幼犬和羔羊在任何地方都跟随她，或者她的祖母❤"
28265,UgxwOQqpkeX3F4zaFH54AaABAg,2,3 years ago (edited),"dear lizigi, i have been watching your video, i appreciate your respect for nature, because it brings you healthy food, and i will not speak chinese, i will focus on preparing your recipes to prepare your recipes above, whether food or food embroidery. although we all have problems, i think they are very happy. congratulations to your care and care for grandma. god bless you. by the way, i am from brazil. except for living in the uk for several years, i only know some countries from europe. forgive my chinese writing, it is my first time","亲爱的Lizigi，我一直在看你的视频，我很欣赏你对大自然的尊重，因为它为你带来健康的食物，而且我不会说中文，我会把注意力集中在准备你的食谱上，无论食物还是美食 刺绣。虽然我们都有问题，但我认为他们住的地方很开心。恭喜您对奶奶的关心和照顾。上帝保佑你。顺便说一句，我来自巴西，除了在英国生活了几年之外，我只认识一些来自欧洲的国家。 Forgive my chinese writing, it is my first time"
35602,UgzMyeG6QfcfDz2tzj54AaABAg,2,4 years ago,"i admit i'm jealous of grandma, but what's that on her head?but seriously, thanks from missouri for the abundant ""eye-candy"". hawthorn fruits are huge there!--and what a clever way to get your heart tonic! โคyour sweet animal friends too!",我承认我嫉妒奶奶，但是她的头上是什么？霍索恩的水果在那里很大！ ❤你甜蜜的动物朋友！
