,cid,votes,含grandma,含grandma中文翻译
20621,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg,41,it's really great video! thanks to the girl to show more people's lives to more people! i wish you and your grandma healthy and happy! i do n’t know who has such a good blessing to marry such a daughter -in -law!,真的是很棒的视频啊！感谢姑娘把真实的美好的中国人的生活展现给更多人!祝你和你奶奶健康快乐!不知道谁有这么好福气能够娶到这样的媳妇啊！
32757,UgyYDVEOAlXNCukIO0R4AaABAg,40,"she is the real princess she lives in beautiful paradise she love her grandma &people around her,she loves working,harvesting,cooking and everything there and one they she will find the future prince they will life happy in peace forevr",她是她生活在美丽的天堂中的真正公主
30215,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yZiWHNYGRo,40,"yeah, i almost cried everytime the grandma talk and smile",是的，每当奶奶谈话和微笑时，我几乎都在哭
33753,Ugyjm5PYGhjW6KES4AR4AaABAg,39,"i loved it when your grandma was sitting in the swing and talking to you , sweet",当你奶奶坐在秋千上与你交谈时，我喜欢它，甜蜜的
30223,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38ymFK2iX0Jd,38,"@user-mf6hv8up2w to be exact po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po mother-in-law is maternal grandma, nai nai grandma is pattnal grandma. gong gong gong gonggong grandpa grandpa. bo bo is father's elder brother (s ). ). brother (s). jiu ma aunt/ jiu mu's mother is mother's sister in law. maternal male cousins ​​elder than you are your biao ge cousin. younger than you are your bia di cousin. mater. mater. mater. mater. nal female cousins eleder than you are your biao jie cousin. younger than you are your biao mei cousin. paternal male cousins ​​elder than you are your tang ge cousin. younger than you are your tang di cousin. sins elder than you are your tang jie cousin. younger than you are your tang mei cousin.","@user-mf6hv8up2w To be exact po po 婆婆/外婆 is maternal grandma, Nai Nai 奶奶/祖母 is patetnal grandma. Gong gong 公公/外公 is maternal grandpa, ye ye 爷爷 is paternal grandpa. Bo Bo 伯伯 is father's elder brother(s), bo mu 伯母/bo niang 伯娘 is wife of father's elder brothers. Shu shu (叔叔) is father's younger brother(s). Shen Shen 婶婶 is wife of father's younger brother(s). Jiu Fu 舅父/舅舅 is mother's brother(s). Jiu Ma 舅妈/ Jiu Mu 舅母 is mother's sister in law. Maternal male cousins elder than you are your biao ge 表哥. Younger than you are your biao di 表弟. Maternal female cousins elder than you are your biao jie 表姐. Younger than you are your biao mei表妹. Paternal Male Cousins elder than you are your tang ge 堂哥. Younger than you are your tang di 堂弟. Paternal Female Cousins elder than you are your tang jie 堂姐. Younger than you are your tang mei 堂妹。"
18462,Ugx_6yBpjTMVexlpwQ54AaABAg,38,"occasionally speaking, a strong hometown accent, girl, i am proud of you. her grandma looks very happy",偶尔开口说话，浓浓的家乡口音，姑娘，我很为你骄傲。她奶奶过得很开心的样子
19939,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91S5fCNXtd0,37,"your name says it all :) but in all seriousness i agree. people say it’s all for money yet how do they know? are they liziqi? no. so they can’t say wether or not it’s fake and anyway she does it for her grandma (whose ill) i’ve seen some people say her products are over priced, but she took several hours of her day to prepare the food. so thank you for your comment.",您的名字说明了一切:)，但我同意，但我同意。人们说这一切都是为了钱，他们怎么知道？他们是liziqi吗？否。 。因此，谢谢您的评论。
34539,UgyKZmhJjnH56Qv_--J4AaABAg,34,"at that time, the grandmother guarded the little girl to grow up safely and happily. now the girl grows up with an excellent glorious family, and she also protects her grandma live in her old age!",当年奶奶守护这位小女孩平安快乐长大，现在女孩长大成人优秀的光耀家族，并也守护奶奶晚年生活！
16594,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H92zbMJJ5M_H,33,"it was a guy, i heard his voice behind the camera in the ""ice cream"" episode, he tried to make sure that grandma doesn't eat too much ice cream.",那是一个家伙，我在“冰淇淋”情节中听到了他的声音，他试图确保奶奶不吃太多冰淇淋。
14192,Ugwkx0y5dxPT2ZboFFx4AaABAg,31,"i’m going to cry for weeks when her grandma dies 
so grandma please please don’t die","当她的祖母去世时，我要哭几个星期
所以奶奶请不要死"
30226,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yuAZ98N03M,29,don't you worry her grandma will live for 200 yrs because of the healthy and natural foods she eats,您不担心她的奶奶会因为她吃的健康和天然食品而活了200年
8642,UgwEeceQBwUWUvvNu2p4AaABAg,26,"i used to live at my grandma's house when i was kid, it is located in countryside. watching your video makes me recall my childhood memories. now that my family move to a city, i want to enjoy this kind of nature yet i cant",我小时候曾经住在祖母的房子里，它位于乡村。观看您的视频使我回想起童年的回忆。现在我的家人搬到了一个城市，我想享受这种性质，但是我不能
28370,UgxOYPYXZvNDxsfwveB4AaABAg,24,"i saw grandma’s fan and immediately thought, “liziqi probably made that.”",我看到了奶奶的粉丝，并立即想到：“利兹基可能做到了。”
27603,UgwsjVfm4w2IslSFDSR4AaABAg,23,i could watch you all day long! you do exactly what my mom and grandma used to do. i know that it is a lot of hard work to prepare all those delicious meals but worth it! keep up your good work!,我可以整天看着你！您正是我妈妈和奶奶所做的一切。我知道准备所有这些美味的饭菜是很多艰苦的工作，但值得！继续你出色的工作！
28570,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8zuRJV4N65A,23,"she can feed herself and her grandma without any english 
","她可以不用任何英语喂养自己和祖母
"
30220,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yiKN75zsj7,23,her grandma is lucky to have such hard working woman as her granddaughter.,她的祖母很幸运能拥有如此勤奋的女人，例如她的孙女。
9346,UgzH9zSLw3du2rBNtAx4AaABAg,22,i just think that sheโ€s very well trained from her grandma or sheโ€s just skilled with literally everything.,我只是认为她从祖母那里受过良好的训练，或者她只是熟练的。
16677,Ugz_4uZFuDJUEqrt9hR4AaABAg,21,shes so caring for her grandma,她是如此关心她的祖母
23733,UgxJwbuw51MGFl8jxhZ4AaABAg,20,everytime she uploads im just glad i get to see that grandma is well...,每次她上传时，我很高兴看到奶奶很好...
6336,UgzrOgipSKHwc8hEvCV4AaABAg.9EsO86ldc5x9EzHxqxrolP,19,"study and learn, read, read,read 
blessings from mexico! i too am a fan. i have big piece of property! i need help, i too am a grandma. i love her garden, lots of work.","学习，学习，阅读，阅读，阅读
来自墨西哥的祝福！我也是粉丝。我有很大的财产！我需要帮助，我也是一个奶奶。我爱她的花园，很多工作。"
29622,Ugx9nuZxAHxrBjsjmAx4AaABAg,19,her grandma laughs is everything!,她的祖母笑就是一切！
11397,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97lZBQp7-pX,18,"@logicone5667 she lives there with her grandma, the video is actually filmed at her home in the village of sichuan province. all those crops would die if she only goes there once a month...she does have a team though, but it doesnt mean its just for show. her grandma needs someone to take care of, thats why she moved back to the village to live with her.",@logicone5667她和祖母一起住在那里，该视频实际上是在她在四川省村的家中拍摄的。所有这些农作物每月只去那里一次……但是她确实有一支球队，但这并不意味着这只是为了表演。她的祖母需要一个人来照顾，这就是为什么她回到村庄和她住在一起的原因。
18165,UgyGNOeNj4QVDKZxYJF4AaABAg.92ZeoRX897K92dEf0w_dVQ,18,it’s too spicy for grandma she said,她说，这太辣了
19109,UgxqKGCp80V6zbdnys94AaABAg,17,if i believed in reincarnation i would want to come back as that girls grandma.,如果我相信轮回，我想作为那个女孩奶奶回来。
2790,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UYfiO3-g3B,16,"@lxixi2105 actually no. she actually used to be a dj but when her mum and dad died she went back to the country to live with her grandma. she then started doing what see is doing now. she decided to put it on youtube and as her channel grew more popularity she hired a filming crew. nothing here is fake, and if you think about it how can someone fake doing something even though they are actually doing it",@lxixi2105实际上没有。她实际上曾经是DJ，但是当她的妈妈和爸爸去世时，她回到乡下和奶奶住在一起。然后，她开始做现在正在做的事情。她决定将其放在YouTube上，随着她的频道越来越受欢迎，她雇用了一名拍摄人员。这里没有什么是假的，如果您考虑一下，即使有人实际上在做
12162,Ugwe2fsKWeEO0_IqqPF4AaABAg,16,"it's reminded me with my grandma, we life in the nature like that ,and now she was passed away and our life gone change ,",这让我想起了我的祖母，我们在那样生活中的生活，现在她去世了，我们的生活变化了，
4804,Ugxb03oJotVFucmefiF4AaABAg,15,grandma is so blessed to have such granddaughter!,奶奶有这样的孙女真是福气！
28215,UgzvUXzlx4Hpc_AfBAB4AaABAg.8yZtNJOZ_7p8yeUguPf7tv,14,i read somewhere she studied media/film in uni. when she finished she moved back home to live with her grandma. the garden we see was planted by her grandma,我读了她在大学学习媒体/电影的地方。当她结束时，她搬回家与祖母住在一起。我们看到的花园是由她的祖母种植的
21698,UgwBRxLOi-ZesieYcjN4AaABAg.9-_KlQ8-Npx905iKCMQnEB,13,"@cammyfeng4066 no, she lives there with her grandma. her grandma is elderly and she takes care of her.",@cammyfeng4066不，她和祖母一起住在那里。她的祖母是老的，她照顾了她。
3185,UgygFI2VfEqnkFgNXqt4AaABAg,13,everytime she uploads im just glad i get to see that grandma is well also,每次她上传我都很高兴我看到奶奶也很好
35039,UgzyXKWhqzaqVCC9PDx4AaABAg,13,"you are very hard working girl
taking care of grandma too
keep it up
lots of love❤","你是非常努力的女孩
也照顾奶奶
继续努力吧
很多爱"
10793,UgxOX1A58bvdzRRQIzB4AaABAg,12,"sister ziyi, grandma zi is good, take care of her body. sister zi, also should be maintained by hand, apply some skin care oil. the show is good, praise, support.",子柒姐，子柒奶奶好，保重身体。子柒姐，手也要保养，涂些护肤油吧。节目好，赞，支持。
16949,UgwGfQu-FPHh_oVQugZ4AaABAg,12,i love to see how she shares with her grandma all the thigs that she cooks,我喜欢看到她如何与祖母分享她做饭的所有thigs
11077,UgxKvyp57EZ5XhPr-B54AaABAg,11,"1:17 the happy grandma here for the first time made me understand what it means to support the year! by the way, congratulations on breaking 10 million fans! intersection",1:17 这里快乐的奶奶第一次让我明白了什么叫颐养天年！顺便一提恭喜你破1千万粉丝了！！
16595,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H92zl9JGBtQT,10,"there’s gotta be another person not her nor grandma, see the end how the camera switches focus",有另一个人不是她和祖母，请看到相机如何切换聚焦
14909,UgxdzDDvqWYvCwMjbWB4AaABAg.93npIg-2HwZ94FgN50icCj,10,"cause maybe her grandma told her about everything how to cook, fetch vegetables, etc when she was young",因为她年轻时也许她的奶奶告诉了她一切如何做饭，取蔬菜等
16703,UgzGVM1UgRUuWYqDMdV4AaABAg,9,"i think of it! i miss the scene of my grandmother cooking when i was a child.
me: ""do you want a big fire? grandma"", after getting a positive answer, i desperately burned the fire ... then some dishes will be burnt ...","看的我想家了！怀念小时候外婆做饭，我烧火的场景。
我：“要不要大火？外婆”，得到肯定的答案后，我就拼命把火烧旺……然后有些菜就会烧焦……"
6293,Ugxf7w-KauhvkVNowK94AaABAg,9,"amazing chef in the world she never ever used the kitchen tools as measure: 1tbl spoons, 1cup bla...blaa... i love you both grandma n zigi love from new york๐’",她从未使用过厨房工具作为措施的惊人厨师：1tbl汤匙，1杯bla ... blaa ...我爱你，纽约奶奶n Zigi love
32226,UgxstXAajpA5Y4329TZ4AaABAg,9,love how she cares and takes care of her grandma. the cameraman is probably drooling just waiting for some grub,喜欢她如何关心和照顾祖母。摄影师可能只是在等待一些g。
27915,UgwdkOuMYJJFFB32TO54AaABAg,8,"hi liziqi, your paradise is always beautiful, your grandma and you enjoyed every thing you make and cooking",嗨，利兹奇（Liziqi），你的天堂总是美丽，你的祖母，你喜欢你做的每一件事
1020,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9ejXozsxXQb,8,"@ericamonti6281 she is deceived because she is being deceived. i do n’t know what happened to her and grandma. fortunately, if you do n’t understand, i can reply to you in spanish. and her name is ziqi li, li is her surname",@ericamonti6281 她因为被人骗了 在打官司 不知道现在怎么样了 她和奶奶都还好 如果你看不懂 我可以用西班牙语回复你。还有她叫ziqi li ，li 是她的姓
30233,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yxI4lykg2M,8,kastellan i love the swing grandma is on it’s too cute,卡斯特兰（Kastellan）我喜欢摇摆奶奶太可爱
28586,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-GDpNBa8-M,8,"@franzpeters3824 she does apparently. like, in her videos, she lives with her grandma and have a big farm. who do you think is gonna take care of it? she did. it takes a lot of hard work, discipline, patience and determination to able to take care of the whole farm which a lot of people nowadays wouldn't have. do you have them?",@franzpeters3824她显然这样做。就像在她的视频中，她与奶奶住在一起，有一个大农场。您认为谁会照顾它？她做过。能够照顾当今许多人没有的整个农场需要很多艰苦的工作，纪律，耐心和决心。你有它们吗？
24035,UgzxAwjl_L_TkTKVGVF4AaABAg,8,"you are wonderful, just like the ladies of the past!!! do everything by themselves , without the help of a man!! i’m glad you have subtitles , so we can understand whatever you are doing!!! unfortunately there are at least 2 bloggers who are showing your videos , i hope you will do something about that, you do the work it’s not fair for someone else to get credit for all your efforts !! good night beautiful miss liz may god bless you and you dear grandma ❤️❤️",你真是太好了，就像过去的女士们一样！！！在没有男人的帮助的情况下自己做一切！！我很高兴您有字幕，所以我们可以理解您在做什么！！！不幸的是，至少有2位博客作者正在展示您的视频，希望您能为此做些事情，您做的工作对于别人的所有努力都不公平！！晚安美丽的丽兹小姐愿上帝保佑你和你亲爱的祖母❤️❤️
19598,UgzGN9p-6c_ywEp5Pjx4AaABAg,7,who else eats the enormous foods she makes? grandma and her can’t finish all that. lucky neighbors?,还有谁吃她制作的巨大食物？奶奶和她无法完成所有这些。幸运的邻居？
32920,UgwfZ5PuQrVeuce4CO14AaABAg,7,"when grandma dies i will be so sad. 
some part of me will die too.","当奶奶去世时，我会很难过。
我的某些部分也会死。"
28590,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-NeaBJpk-V,7,"@yreinyvana6214 pork adobong, my favorite.

this franz peters is so stupid in not knowing that our pretty princess also does a lot of work tending to her plants and animals on their farm, and taking care of grandma, besides making beautiful videos for the whole world to see.

hey, franz peters, spare us your negativity.

get out of here. we don't need you here. layas. do you know the word tagalog, franz peters? do you know what is ""tanga"" in english? that is you, franz peters. apologies!","@yreinyvana6214猪肉Adobong，我的最爱。

这个弗朗兹·彼得斯（Franz Peters）是如此愚蠢，因为不知道我们漂亮的公主在农场上也为她的动植物做了很多工作，还照顾奶奶，除了制作美丽的视频以供全世界观看。

嘿，弗朗兹·彼得斯（Franz Peters），让我们的消极情绪避免了我们。

离开这里。我们在这里不需要你。 Layas。你知道塔洛格一词，弗朗兹·彼得斯吗？你知道英语中的“ tanga”是什么？就是你，弗朗兹·彼得斯。抱歉！"
4226,Ugw-UR4AZmbiBRTg7aR4AaABAg,7,"congratulations! your videos remember me of my lovely childhood in the countryside and my grandma's awesome cooking!! furthermore, your videos have an eerie aesthetic. they seem etxtracts from a film! may i ask which camera do you use? by the way, which editing programme do you use?",恭喜！您的视频记得我在乡村和祖母的烹饪烹饪中可爱的童年！此外，您的视频具有令人毛骨悚然的美感。他们似乎是从电影中获得的！请问您使用哪种相机？顺便说一下，您使用哪个编辑程序？
15246,Ugxc08zY_vzozGgnblh4AaABAg,7,"1:13 li: look, grandma, this one is bigger than my head~haha~
grandma: there's nothing to show off~i've got much bigger bamboo shoot than this one in years before, haha~ 
9:43 li：(worried) this is too spicy~ you can try this egg","1:13 li：看，奶奶，这个比我的头大〜哈哈〜
奶奶：没有什么可炫耀的〜几年来我比这比这比这比这比这更大要大得多，哈哈〜
9:43 li：（担心）这太辣〜你可以尝试这个鸡蛋"
23511,UgxY9GVWxnn24wtLVAJ4AaABAg,7,"love from vietnam
best wish for you&grandma","来自越南的爱
祝您和奶奶的最大希望"
19922,UgwwL38TxJvQ6gE1U-d4AaABAg,7,"i love how she is with grandma, so sweet!",我喜欢她和奶奶的样子，真是太好了！
1802,UgzafBF-nlayWxz9jRx4AaABAg.9XjP1lO2n3Y9YBRMKSoiix,6,"the lady living with ms. li is the grandma who (took young liziqi off step-mother's custody), sheltered ms. li from abuse and torture. in 2012, 10 years ago, grandma had a medical emergency, so ms. li quit city life to nurse grandma and then decided to stay in the countryside. at that point ms. li was out of employment and so she started making videos to promote her online store which did not flourish. her only other relatives are her younger brother and wife.",与李女士同住的那位女士是奶奶（将年轻的利兹奇（Liziqi）从继母的拘留所中）避开了李女士免受虐待和酷刑。 10年前，2012年，奶奶遇到了医疗紧急情况，因此李女士辞去了奶奶的生活，然后决定留在乡村。那时，李女士已经失业了，因此她开始制作视频来推广她的在线商店，该商店并非蓬勃发展。她唯一的其他亲戚是她的弟弟和妻子。
457,Ugz0R59LQQNHAl0jpkh4AaABAg,6,"i miss you, ziqi! 
i hope you and your grandma are doing okay! ❤","我想念你，Ziqi！ 
希望您和您的祖母一切都好！ ❤"
4125,Ugy-f6CWMKftlmnuAkZ4AaABAg,6,"grandma eyeing those noodles, grandma steels the noodle. <3",奶奶注视着那些面条，奶奶将面条steel。 <3
1027,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9haSwoN00A1,6,"zi yan's filial piety was moving. ziyi's video made bai bai see it. i look forward to seeing her new work as soon as possible, and i wish her and grandma safe and happy",子柒的孝心让人感动，子柒的视频让百看不厌，期待能早日看到她新的做品，也祝愿她和奶奶平安幸福
27824,Ugwh6h_v-OXwQyX-BmN4AaABAg,6,liziqi reminds me so much of my childhood...we had a garden near our home and we used to pick fresh veggies every morning and evening with my grandma. i miss those days.,利兹奇（Liziqi）让我想起了我童年时代的大部分时间...我们家附近有一个花园，我们曾经每天早晨和傍晚和祖母一起挑选新鲜的蔬菜。我怀念那些日子。
15016,UgwYecw1FHL-LzOnq-x4AaABAg,6,good meal cooking with grandma to eat good wisdom and wishes the whole family to be healthy,好美做饭跟奶奶一起吃好贤慧，祝福全家安康
13859,Ugxrvp5SKeSeyu9hL5B4AaABAg,6,"i'm just waiting for the day she will upload ""making my wedding dress out of natural materials"" ...i wish she would find the right guy ang live happily with her husband and grandma",我只是在等待她上传“用天然材料制作我的婚纱”的那一天...我希望她能找到合适的人与丈夫和奶奶一起快乐地生活。
16297,UgwRPsROyKFVcOzv2C94AaABAg,5,"i see great landscapes, a gorgeous girl, great food, a puppy and a grandma. the editing is 1000% great stuff.",我看到了很棒的景观，一个美丽的女孩，美味的食物，一只小狗和祖母。编辑是1000％的好东西。
