,cid,votes,含liziqi,含liziqi中文翻译
32352,UgxHrpF8FQeeEcny9RZ4AaABAg,168,"more than 500k views in 4 hours .... wow! her following is very huge, but understandable coz her video indeed are very good. keep it up... liziqi.",4个小时内的50万次浏览量超过50万次。她的关注非常巨大，但可以理解的，因为她的视频确实非常好。继续... liziqi。
32693,UgwEJ70e-axdpD2FjmZ4AaABAg,166,"-no one:
-not a soul:
-liziqi: aye, let me flex my skills on y'all 4 times in one week.






(it's a joke. i admire her. dont kill me. lmao)","-没有人：
- 不是灵魂：
-liziqi：是的，让我在一个星期内四次锻炼自己的技能。






（这是个玩笑。我很欣赏她。不要杀了我。lmao）"
2932,Ugy7h3cSkkY8ae7r6eJ4AaABAg,154,"thank you liziqi. 
whenever i've had a tiresome workday... i lied down getting to watch ur videos which soothes me and my mind n gives me a pleasing rest well.","谢谢Liziqi。
每当我度过一个令人讨厌的工作日时...我都撒谎看着您的视频，这使我和我的思想舒适地让我感到愉悦。"
33384,UgwyyTX_11oSpbqFpYl4AaABAg,139,"3 new videos in a week? 
wow!! i feel like i got a big diamond's ring....
thank you so much for you, grandma and your team's hard work, liziqi....
can't wait for another new video, because your videos always amazed me.
lots of love from indonesia 
❤❤❤","一周内的3个新视频？
哇！！我觉得我有一个大钻石的戒指。
非常感谢您，奶奶和您团队的辛勤工作，Liziqi。
等不及另一个新视频，因为您的视频总是让我惊讶。
来自印度尼西亚的很多爱
❤❤❤"
18717,UgzFqkSJdWbabJELw6d4AaABAg,120,"this is the first video i see about liziqi, oh my god, i'm totally in love.",这是我看到的关于利兹奇的第一部视频，哦，天哪，我完全恋爱了。
26988,UgyDSnKCZSbwdV2pXO14AaABAg,102,"if you're getting lazy and don't know how to start the day, just watch liziqi's and you'll be energized too js like her",如果您变得懒惰并且不知道该如何开始一天，只需观看Liziqi的工作，您也会像HER
11732,UgyECAhI2fD_muFIK214AaABAg,98,"i wish i'm in that place so quiet and peaceful, be safe liziqi",我希望我在那个地方如此安静和和平，安全地
35081,UgwPtAXmqIr9ZzbM-NF4AaABAg,92,hi liziqi i'm your big fan from philippines,嗨，liziqi，我是菲律宾的大粉丝
7623,UgwWWfHuFaBsk2bQqhd4AaABAg,82,"many years ago, i was in a small village like hers. it brings me back a lot of stories.. thanks liziqi",很多年前，我在像她这样的小村庄里。它给我带来了很多故事..谢谢Liziqi
11493,UgzuYMkkhXq4BtWGQE94AaABAg,77,is “casual foods from different corners of the kitchen” liziqi’s way of saying “yea i threw some random shit in a pan” lmaoo,是“厨房不同角落的休闲食品” Liziqi说“是的，我在锅中扔了一些随机的狗屎” lmaoo
23640,UgzsnaN3UWCEAPnUB8B4AaABAg,63,"""careful when replicating this at home. we dont want fermented fingertips and nails""
me: oh liziqi got jokes huh?","“在家里复制它时要小心。我们不想发酵指尖和指甲”
我：哦，利兹奇开了笑话吧？"
3909,UgxgK05InVePyfFVu_14AaABAg,62,"this is another incredibly good, brilliant, beautiful, and inspiring video from ms. liziqi (who is also beautiful, hardworking, and brilliant.). we over here in los angeles, love your videos so much. the videos are also very therapeutic, soothing, and relaxing. thank you so much for sharing all your videos, and for all your hard work.",这是Liziqi女士的另一个令人难以置信的好，辉煌，美丽，启发性的视频（他也很漂亮，勤奋且出色。）。我们在洛杉矶，非常喜欢您的视频。这些视频也非常治疗，舒缓和放松。非常感谢您分享所有视频，以及您的辛勤工作。
31771,Ugxqd4ExyO50ykYa_014AaABAg,50,"snails: 
liziqi: y e e t throws them into wok","蜗牛：
liziqi：y e e t将它们扔进锅中"
13964,Ugzx14y_FjkeN_Nyv7R4AaABAg,47,a 7 year-old boy told me: liziqi is the gift from heaven.,一个7岁的男孩告诉我：利兹奇是天堂的礼物。
3038,UgxKtHuOHYK2IvYq_Pd4AaABAg,45,liziqi and dianxi are seriously living my true life dream of living off the land in the countryside making food for the family everyday with wild natural ingredients or plants/livestock i planted and raised from the start. i wish there were areas that are as abundant with farm land and wild edibles as their countryside but i live southern california where the only thing in the wilderness is dead grass and mountain lions lol there are a lot of squirrels rabbits and skunks for a source of meat but i wouldn’t be able to grow or pick any of the amazing types of fruits and vegetables they have in their videos,Liziqi和Dianxi认真地实现了我的真实生活梦想，即生活在乡村的土地上，每天用野生天然成分或植物/牲畜从一开始就植入并养育了植物/牲畜。我希望有些地区与农村一样丰富，但我住在南加利福尼亚州，那里的荒野中唯一的东西是死草和山狮，大声笑有很多松鼠兔子和臭鼬，以提供一种来源肉，但我将无法在视频中种植或选择任何令人惊叹的水果和蔬菜
33165,UgxO2rwP5lSoOewT8YV4AaABAg,40,liziqi did super cool job. but i have to appreciate the cameraman too. the scenes of the frog and view of sunshine is amazing.,Liziqi做得非常酷。但是我也必须欣赏摄影师。青蛙的场景和阳光的景色真是太神奇了。
19939,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91S5fCNXtd0,37,"your name says it all :) but in all seriousness i agree. people say it’s all for money yet how do they know? are they liziqi? no. so they can’t say wether or not it’s fake and anyway she does it for her grandma (whose ill) i’ve seen some people say her products are over priced, but she took several hours of her day to prepare the food. so thank you for your comment.",您的名字说明了一切:)，但我同意，但我同意。人们说这一切都是为了钱，他们怎么知道？他们是liziqi吗？否。 。因此，谢谢您的评论。
8014,Ugw-fb5i_fy5slYb9GJ4AaABAg,36,when we do hard work the successs reaches us easily that liziqi proved ur my inspiration sis,当我们努力工作时，成功很容易到达我们，liziqi证明了您的灵感
31991,UgwLSEsKFfcvK-CocSh4AaABAg,36,"liziqi uploads a video.
me- opens, hits like right away","Liziqi上传视频。
我打开，像马上那样的命中"
3704,Ugw32GE2AijQGiO_GQl4AaABAg,30,"luosifen！! as a chinese living abroad, sometimes i want to eat a bowl of luosifen. i love the liziqi video.she advertised china to the world on video. thank her. look forward to her other videos.",luosifen！！作为一个居住在国外的中国人，有时我想吃一碗luosifen。我喜欢Liziqi视频。她在视频中向世界宣传了中国。谢谢她。期待她的其他视频。
26522,UgzebhcISvLjdUki5bZ4AaABAg,30,"i wonder if there's a single man won't fall in love to this sweet beautiful lady....


im your biggest fan from philippines..

wo ai ni liziqi","我想知道是否有一个单身男人不会爱上这个可爱的美丽女士。


我是菲律宾最大的粉丝。

wo ai ni liziqi"
33917,UgwWzHvkZtzjRE4rhb94AaABAg,30,"liziqi and team thanks for all your video, such a great work, everything is awesome
♥from indonesia","Liziqi和Team感谢您的所有视频，如此出色的工作，一切都很棒
♥来自印度尼西亚"
5544,Ugw0-C_F0_wTr2VO6HZ4AaABAg,30,"i love liziqi,s videos!, very therapeutic especially during this time of covid 19 pandemic! keep safe to you and your grandmother.;-)",我喜欢Liziqi，S Videos！，非常治疗，尤其是在Covid 19大流行时期！对您和您的祖母保持安全。;-)
26543,UgwkfA7rNMRp5yXMczF4AaABAg,29,"d0 y0u iike liziqi ? 
yes -- like 
no -- comment","D0 Y0U IIKE LIZIQI？
是的 - 喜欢
没有意见"
28370,UgxOYPYXZvNDxsfwveB4AaABAg,24,"i saw grandma’s fan and immediately thought, “liziqi probably made that.”",我看到了奶奶的粉丝，并立即想到：“利兹基可能做到了。”
7193,Ugw6c8ou52hZMJ-GrSh4AaABAg,24,"(if there is nothing to cook at home?)
other people: now i have to go to the market ๐•๐.
liziqi: now i have to go to the garden ๐.","（如果家里没有什么可做饭？）
其他人：现在我必须去市场。
Liziqi：现在我必须去花园。"
27467,Ugy5blWiFhfAWUSgdbV4AaABAg,23,"i have also a small garden. 10 - 12 vagatables i grow every year in summer.enough for 3 family members.every time i go to pick something from my garden ,just came liziqi in my mind.i am very inspierd from liziqi.....",我也有一个小花园。我每年夏天每年都会长大的10-12个迷and。
4078,Ugxcy0tExEZ-0s5Jekt4AaABAg,22,"liziqi be layk""careful wehn replicating this at home.we dont want fermented finger tips and nails""",liziqi be layk“小心韦恩在家中复制这一点。我们不想发酵的手指尖端和指甲”
32943,UgwETcl2LrMnGTF93Pp4AaABAg,22,"jet li
jackie chan
liziqi
chinese people that i know","李连杰
杰基·陈
liziqi
我认识的中国人"
22723,UgyMifHwMCtf282SUg94AaABAg,22,i`m from vietnam and i love liziqi so much !!!!!,我来自越南，我非常爱Liziqi！
30788,UgwM-IRt87u135asKyZ4AaABAg,21,"from the photo, i thought liziqi was building a rocket ship 
can't understimate what she could do.","从照片中，我以为利兹奇正在建造一艘火箭船
无法使她能做什么。"
33733,UgztOIkTepGJIhCTZqZ4AaABAg,20,liziqi be like i need no man!!...one women army....super strong super beautiful,liziqi就像我不需要男人！！ ...一支女子军队....超强超级美丽
9157,Ugzles7utrIYwnyB4RN4AaABAg,15,"i now understand why sichuan (where liziqi lives) is also called ""heaven (ๅคฉๅบ tianfu)"" in chinese.",我现在明白了为什么四川（Liziqi居住的地方）也被称为“天堂（天府田富）”。
19564,Ugw1BSS4noGQb9hRqIh4AaABAg,14,"the effort this young lady exert is always for the good of others. there’s love in her contents, she feeds your eyes, soul and mind. this is a happy woman because she knows there’s more happiness in giving than receiving.liziqi keep giving us your high quality videos, you’re making a difference in people’s lives.",这位年轻女士的努力始终是为了别人的利益。她的内容中有爱，她养活了您的眼睛，灵魂和思想。这是一个快乐的女人，因为她知道给予比接受更多的幸福。Liziqi继续给我们您的高质量视频，您正在改变人们的生活。
30555,Ugxx12SQiE4UpMV5s554AaABAg,14,"who dislike the video
liziqi love you dear from india your so sweet","谁不喜欢视频
利兹奇（Liziqi）爱你亲爱的印度，你如此甜蜜"
7859,UgwLvsd4zXhJqiyJX0l4AaABAg,13,"i want daily breakfast lunch dinner by this lady,
specially t with liziqi morning is become fresh","我想要这位女士每天的早餐午餐晚餐，
特别是与liziqi早晨变得新鲜"
11624,Ugx7H5PE15ss_n6ZinN4AaABAg,13,08:00 in my village that plant is weeds. it's becomes a delicious food in the liziqi's hand.,08:00在我村庄，植物是杂草。它变成了利兹奇手中的美味食物。
5866,UgwPiTEEB_93vvu3L014AaABAg,13,"this is how i discovered liziqi one year ago, thanks to this video, i'll never forget ๐ฅฐโค๏ธ",这就是我一年前发现Liziqi的方式，这要归功于此视频，我永远不会忘记
2671,UgwgpdSgJwZnb7u5qU54AaABAg,13,"liziqi is a soothing content creator who wants to share traditional chinese culture. she does most of the work herself in her videos with some help from friends, relatives and neighbors, but she does the final editing of the videos.",利兹奇（Liziqi）是一个舒缓的内容创造者，想分享中国传统文化。她在朋友，亲戚和邻居的一些帮助下自己完成了大部分工作，但她对视频进行了最终编辑。
33305,Ugx5gjMlXyAci7wZBmR4AaABAg.8yUctLSaRRC8yUnWsXf3cR,13,"it doesn't help that if she starts a video picking berries that she could be cooking with it or dying something with it. then just to keep this confusing both use the same tools and she keeps eating the berries. 


magic 8 ball miss liziqi is picking berries what does this episode hold for us? looks at the answer your guess is as good as mine.","如果她开始挑选浆果的视频，她可以用它做饭或用它来死去，这无济于事。然后，只是为了使这两种工具保持相同的工具，她一直在吃浆果。


Magic 8 Ball Liziqi小姐正在挑选浆果这一集对我们有什么影响？看看答案，您的猜测和我的猜测一样好。"
4058,Ugw9d-WHdmwXdfzp3DR4AaABAg,12,i don't really know why there are thousands of people who made to dislikes this video. liziqi share us such a natural lifestyle.,我真的不知道为什么有成千上万的人不喜欢这个视频。 Liziqi与我们分享了如此自然的生活方式。
33243,UgxhD663oyD5LrcSjbN4AaABAg,12,"i saw liziqi's 10 minutes video...m like ' m on vacation'!
thank you liziqi!!","我看过liziqi的10分钟视频...我喜欢“度假”！
谢谢liziqi！"
32297,UgzQWWVEk-s3uwwJk8d4AaABAg,12,"happiness of see your videos notification is another level 
love you liziqi","观看视频通知的幸福是另一个层次
爱你liziqi"
26168,UgwVEbvvq2a4zpZTHOV4AaABAg,12,liziqi? do you have a girlfriend? volunteering myself to live with you and cook,liziqi？你有女朋友吗？自愿与您同住并做饭
33264,UgwFNu6cDnMGHsTwQ8F4AaABAg,12,"all the best to you, liziqi & beautiful",一切顺利，liziqi
19593,UgxWI5MP2WrJW_Ip1FF4AaABAg,12,this is the best ever youtube channel i 've come across so far! at the end of every video i find myself smiling and wanna change myself and be productive like her! hatss off liziqi,这是我到目前为止遇到的有史以来最好的YouTube频道！在每个视频的结尾，我都会发现自己微笑着，想改变自己，像她一样富有成效！ hatss off liziqi
29172,Ugwh-le_IemrjawgBYF4AaABAg,11,hai from indonesia. i love your videos . 't wait for the next videos from liziqi,来自印度尼西亚的海。我爱你的视频。
5404,UgyEUGjgz3If7omZWFJ4AaABAg,11,an example of how to live right with nature. plus delightful traditional chinese dishes! everyone should watch liziqi.,如何与大自然生活的一个例子。加上令人愉悦的传统中国菜肴！每个人都应该观看Liziqi。
34604,Ugz6v9m9w8FKkWnGUF94AaABAg,11,"liziqi translation in english is ""side view lady"".",Liziqi翻译为英语是“侧视图女士”。
35346,UgxjgxXOdyvZtIpoqM54AaABAg,10,"i saw liziqi, i clicked, i am happy...",我看到了liziqi，我点击了，我很高兴...
1191,Ugz5pJMyHYZC2mzia1h4AaABAg,10,"i found your channel in quora, because someone there recommended this channel. and now i found no regret at all subscribing this channel. sending much love to you and your granny, liziqi.",我在Quora找到了您的频道，因为那里有人推荐了此频道。现在，我完全不后悔地订阅了此频道。向您和您的奶奶liziqi发送很多爱。
25324,UgwHOcWrvCDO0uMNkVB4AaABAg,10,"after watching many of her videos, i thought i was liziqi and started to remove the corn pieces off the cob elegantly. 

i remembered that i was just me after just one piece. i should have stayed in my imagination...","看完她的许多视频后，我以为我是利兹奇，开始优雅地将玉米块从玉米片上取出。

我记得只有一件一件我只是我。我应该留在我的想象中..."
13013,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96ElZ9a3jTm,10,"027anastasia._. because of predation, disease, natural disasters, starvation, people just don’t have the skills to sustain themselves like liziqi does. we’ve built these urban lifestyles because it’s possibly the safest way of living.",027anastasia._。由于捕食，疾病，自然灾害，饥饿，人们根本没有像利兹基那样维持自己的技能。我们建立了这些城市生活方式，因为这可能是最安全的生活方式。
5880,UgxGFB3yLzZBZvOYSgZ4AaABAg,10,"how many
international liziqi


fans are here ?","多少
国际利兹奇


粉丝在这里吗？"
31553,Ugzonvb4zsPJxUzVih54AaABAg.8yVBbepkC-e8yVaMvnyCZM,9,"please make and publish videos. the world is interested and need to see that people from other cultures are human too. cheer up! loads of love for liziqi and you, niki.",请制作和发布视频。世界很感兴趣，需要看到其他文化的人也是人类。开心点！对利兹基和你的爱，尼基。
30274,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39-GLYVYcWAT,9,@franzpeters3824 sorry for your loss i guess. but why is it that you spread such comments towards liziqi's channel? i saw you from other comment sections too.,@franzpeters3824对您的损失很抱歉。但是，为什么您将这样的评论传播到Liziqi的频道？我也从其他评论部分看到了您。
23841,UgyCOcOMeCmXXdO_nM94AaABAg,9,"i'm amazing that liziqi is also loved by so many peoples from other countries, welcome to china, there are different scenes and various foods 。",令人惊讶的是，Liziqi也受到来自其他国家的许多人的喜爱，欢迎来到中国，有不同的场景和各种食物。
27915,UgwdkOuMYJJFFB32TO54AaABAg,8,"hi liziqi, your paradise is always beautiful, your grandma and you enjoyed every thing you make and cooking",嗨，利兹奇（Liziqi），你的天堂总是美丽，你的祖母，你喜欢你做的每一件事
22340,Ugy9QMMXjY62b6OrRU54AaABAg,8,"hi miss liziqi, i like you ...
i want to eat your cooking","嗨，利兹奇小姐，我喜欢你...
我想吃你的烹饪"
28458,UgyjgiGke3Axaw9uCk54AaABAg,8,"bamboo shoots... my favorite!! 
love your work liziqi... ❤
from manipur, india.","竹芽...我最喜欢的！
爱你的工作liziqi ...❤
来自印度曼尼普尔邦。"
4083,Ugy-IsgCflcQXHFxhuF4AaABAg,8,"liziqi my queen,,, gorgeous liziqi",liziqi我的女王，华丽的liziqi
24250,UgzCWbiYcVfM48iuTVt4AaABAg,8,liziqi sounds like rezeki (in my language) which means sustenance.,Liziqi听起来像Rezeki（用我的语言），这意味着寄托。
29417,UgzWo8pUJZSL2vo1Kpd4AaABAg,7,pewdiepie's channel comparing with liziqi is a crap,Pewdiepie的频道与Liziqi进行比较是一个废话
33386,Ugyw1womNBpfv1uDG7l4AaABAg,7,i love how you take care of your granny liziqi. you’re a goddess of warmth and goodness.,我喜欢您如何照顾您的奶奶Liziqi。您是温暖和善良的女神。
31603,UgxlIGJXXNNrFdBALC54AaABAg,7,"hey liziqi can you share you hair care and skin care routine with products that you have been using?
thanks in advance.","嘿，liziqi，您可以与一直使用的产品分享您的护发和皮肤护理程序吗？
提前致谢。"
7055,UgwE2PoCbV6_EMU4YTV4AaABAg,6,"this is one of the all-time greatest channels on youtube. if we ever had to send a capsule into space, all footage from liziqi should be in there. it's 'youtube done right', instead of all the ugliness, stupidity and filth that's usually out there for our consumption. beautiful channel. xoxo",这是YouTube上最伟大的频道之一。如果我们不得不将胶囊送入太空，那么Liziqi的所有录像都应该在那里。这是“ YouTube完成的”，而不是通常供我们消费的所有丑陋，愚蠢和肮脏。美丽的频道。 xoxo
31651,UgwxfCeuRgSF9xnSspJ4AaABAg,6,"eat the blessings of nature
eat the blessings of nature.
this is the ""medical and food same source"".
this is exactly ""eat healthy, live healthy"".
i want to live like you!
i want to live like liziqi!","吃自然的祝福
吃自然的祝福。
这是“医疗和食物相同的来源”。
这完全是“健康，健康的健康”。
我想像你一样生活！
我想像利兹基一样生活！"
27824,Ugwh6h_v-OXwQyX-BmN4AaABAg,6,liziqi reminds me so much of my childhood...we had a garden near our home and we used to pick fresh veggies every morning and evening with my grandma. i miss those days.,利兹奇（Liziqi）让我想起了我童年时代的大部分时间...我们家附近有一个花园，我们曾经每天早晨和傍晚和祖母一起挑选新鲜的蔬菜。我怀念那些日子。
4746,UgzeAliRHFdFB7tlmtV4AaABAg,6,instead of young bamboo it is gatel ... liziqi is great ... from indonesia here qt one team .... proud of you liziqi .. you are my inspiration ..,而不是年轻的竹子，而是gatel ... liziqi很棒...来自印度尼西亚的QT一支球队....为您感到骄傲。
1802,UgzafBF-nlayWxz9jRx4AaABAg.9XjP1lO2n3Y9YBRMKSoiix,6,"the lady living with ms. li is the grandma who (took young liziqi off step-mother's custody), sheltered ms. li from abuse and torture. in 2012, 10 years ago, grandma had a medical emergency, so ms. li quit city life to nurse grandma and then decided to stay in the countryside. at that point ms. li was out of employment and so she started making videos to promote her online store which did not flourish. her only other relatives are her younger brother and wife.",与李女士同住的那位女士是奶奶（将年轻的利兹奇（Liziqi）从继母的拘留所中）避开了李女士免受虐待和酷刑。 10年前，2012年，奶奶遇到了医疗紧急情况，因此李女士辞去了奶奶的生活，然后决定留在乡村。那时，李女士已经失业了，因此她开始制作视频来推广她的在线商店，该商店并非蓬勃发展。她唯一的其他亲戚是她的弟弟和妻子。
33980,Ugy-zcVG6zSQ9WMs_RJ4AaABAg,6,hallo liziqi am your big fan from india,Hallo Liziqi是您来自印度的忠实粉丝
34976,UgzLFHMzGMij6HvDO154AaABAg,6,liziqi finally realizing that youtube is gonna make her rich (she's already rich in more important aspects of life but rich in monetary funds is also great!) girl more uploads pls!,Liziqi最终意识到YouTube将使她有钱（她已经富有生活的更重要的生活，但富裕的货币资金也很棒！）女孩更多地上传了！
460,UgzAAYNr9_sGb7JXfZd4AaABAg,6,"liziqi please come back, i miss you",liziqi请回来，我想念你
31722,UgzXGcQUxZHhzvFjDeR4AaABAg.8yV6J2m_P458yVMPIm47XP,5,welcome to liziqi army ♥,欢迎来到Liziqi军队♥
29858,UgyG2ssh_zqJZrGbcvZ4AaABAg,5,liziqi don't ever stop keep going full force you doing fantastic job,Liziqi永远不要停止全力以赴，您做得很好
33771,UgzDNzB6hw402WAbuhx4AaABAg,5,thankyou liziqi for uploading a new video... it make my day more special,谢谢Liziqi上传了一个新视频...这使我的一天更加特别
21834,Ugz8gQbsJhEkMzRFcod4AaABAg,5,"i wish i could go and do an apprenticeship with her for a year. i'd love to learn and be exposed to this beautiful way of living. thank you for your videos, liziqi <3",我希望我可以去她一年的学徒制。我很想学习并接触这种美丽的生活方式。谢谢你的视频，liziqi <3
2797,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UphCGhJzJB,5,@edwardwongliupepelutivrusk1262 the country side life is beautiful in its own way. just because irl people sweat and become dirty doing this manual labor doesn't mean countryside life is too hard and unattractive?? i grew up in the countryside where people do hard work and manual labor like liziqi but i love it anyway. some people like that lifestyle and all the hard work that comes with it. wtf are you on?,@Edwardwongliupepepelutivrusk1262乡村边的生活以其自己的方式美丽。仅仅因为IRL人们出汗并变得肮脏地做这种体力劳动并不意味着乡村生活太艰难和没有吸引力？我在乡村长大，人们像利兹基一样努力工作和体力劳动，但无论如何我都喜欢它。有些人喜欢这种生活方式以及随之而来的所有辛勤工作。 WTF你在吗？
7679,UgwjOzqXfhZu_E5TQ9h4AaABAg,5,"hi liziqi, your life is so inspiring! i really enjoy watching your video. i think you are so lucky to live a life full of nature. i wish your life be more fruitful and more exciting. thank you and god bless to your channel and your family!",嗨，利兹奇，你的生活真是令人鼓舞！我真的很喜欢看你的视频。我认为您很幸运地过着充满自然的生活。我希望您的生活更加富有成果，更令人兴奋。谢谢您，上帝保佑您的频道和家人！
6080,UgyWRUCvUkUaO3UtSst4AaABAg.9F1lR1g9d4p9FIa-HXvMt3,5,when yu labor hard like liziqi you eat a lot! lol and she has an assistant and videographer that she works with that sometimes join her and her grandma for the meal. we donโ€t always get to see them join her but she has added it in in other videos,当你像liziqi一样努力工作时，你吃了很多！大声笑，她有一位助理和摄影师，有时与她一起工作，有时会加入她和她的祖母。我们并不总是看到他们加入她，但她在其他视频中添加了它
34707,UgzY7D87DSSlVgPicvx4AaABAg.8yUTLK-vrAU8yU_TZe1YkC,5,"my hometown is the same as liziqi’s, so actually i know how some dishes taste. it really reminds me of my childhood and these dishes make me drool",我的家乡与利兹奇的家乡相同，所以实际上我知道有些菜肴的味道。这真的让我想起了我的童年，这些菜让我流口水
35150,Ugw1O0OR6Kswvu3Vekl4AaABAg,5,long live liziqi! greetings from türkiye!,liziqi万岁！ Türkiye的问候！
35301,UgyMgRcq_-m7_6U2LbV4AaABAg,5,liziqi you are best,liziqi你是最好的
2446,Ugw--mxBcmRAYDhoo194AaABAg,5,"so many people envy of her that they don't admit liziqi is better than themselves, but i think she is outstanding from the beginning to now, better than most of people. and i'm feel so sad about what she has suffered online. it's not her fault to be so outstanding.",这么多人羡慕她，以至于他们不承认利兹奇比自己更好，但是我认为她从一开始就很出色，比大多数人都好。而且我对她在网上遭受的痛苦感到非常难过。如此出色不​​是她的错。
33874,UgytIwV9XlyDV21Z5mV4AaABAg,4,"liziqi, you is a pretty girl in my eyes, lov u",liziqi，你是我眼中的漂亮女孩，爱你
27984,UgzHO--yfEhQfebWvtt4AaABAg,4,"liziqi`s grandma, must be the happiest grandma, in the world.",利兹奇的祖母一定是世界上最快乐的祖母。
26890,UgzQ4OBGGGIyUq7xGMV4AaABAg.8ykJlulry208yrVAqRnYc_,4,"cece burton it doesn’t depends on the money,it depends on your approach for your life.many chinese people,especially for the young people,they want to leave their home in urban and go to big cities,for example beijing shanghai shenzhen guangzhou,because these cities develop very fast and much moderner than their countries’-home.and big cities have much more and better opportunities to make money to change their destiny and realize their own value.so many countries in china are left many old men and children because the adult go to the city to make money.compared with the europe and usa, many people can get a not bad job in their country,the opportunity of job in china country is very little.and many countries and towns have not good infrastructures（hospitals and schools),though this bad situation in the countries is becoming better and better,because chinese government is pushing urbanization development.so even though the area and house in the country is very cheap,but many people don’t want to go back,because they can’t get a good job.for liziqi, she once went to the big city to work,but she was bored with the noisy city and miss her grandmother,and in the meanwhile,network is very advanced in china.so she decided to go back her home in the country and film the video to make a living for her and her grandmother.of course she is a genius and succeeds.",塞斯·伯顿（Cece Burton）这不取决于钱，这取决于您的生活。 ，因为这些城市的发展非常快，比他们的国家更现代。大城市有更多的机会来赚钱来改变自己的命运并实现自己的价值。因此，中国许多国家都留下了许多老人和儿童是因为成年人去城市赚钱。基础设施（医院和学校），尽管这些国家的这种不良情况越来越好，因为中国政府正在推动城市化发展。回去，因为他们做得不好。对于利兹奇，她曾经去过大城市工作，但她对嘈杂的城市感到无聊，想念祖母，与此同时，中国的网络非常先进因此，她决定回到该国的家中，并拍摄视频，为她和她的祖母谋生。当然，她是一个天才，成功。
14034,UgxjRMUcthC3Hu-2Ur94AaABAg,4,"liziqi: i need bamboo shoots 
goes to the bamboo feild
me: i need bamboo shoots
goes to the market","liziqi：我需要竹芽
去竹菲尔德
我：我需要竹芽
去市场"
27730,Ugx47gTo3vNJ4J30v2J4AaABAg,4,"love from indonesia.... 
liziqi...","来自印度尼西亚的爱。
liziqi ...最好的"
33355,UgwYtJvoMTg1DmnP9Dh4AaABAg,4,"amazing, most comments are english. good job liziqi. with love from jkt",令人惊讶的是，大多数评论是英语。好工作liziqi。与JKT的爱
33338,UgxzTGfctxvW0-lnyQd4AaABAg,4,thank god again .. who is here liziqi update 2 days in a row ...,再次感谢上帝..谁在这里liziqi连续2天更新...
23900,Ugx0tTjcBVgNgyDKkzp4AaABAg,4,"liziqi.hola ..... beautiful, fine, intelligent, and very creative ...
greetings from chile.
antonio.","liziqi.hola .....美丽，精美，聪明，非常有创造力...
智利的问候。
安东尼奥。"
34996,UgzyQCFC9OmLgujD_C54AaABAg,4,"00:23 in indonesia we call it ""rebung"". we love you liziqi, your videos so wonderfull",00:23在印度尼西亚，我们称其为“ rebung”。我们爱你liziqi，你的视频真是太棒了
