,cid,votes,time,含liziqi,含liziqi中文翻译
20411,Ugx7aat_pVgd6CTN8c54AaABAg,22,3 years ago,"according to liziqi's assistant (her name: mingguo), liziqi is busy day and night to get medium supplies to do wuhan hospitals. by jan 29, 2020, she has donated 40000+ masks, 1000+ protective clothing and many otical supplies. she is continue busy on it. see chinese link below
https://www.weibo.com/u/6357441520?is_all=1
the current incomplete accumulation:
30000+ n95/n95 -level mask, 10,000 medical surgical masks, more than 20,000 medical gloves, more than 1,000 protective clothing, some goggles, medical disinfection spray, etc. every courier is tracking whether there is any safe delivery, everyone rest assured! you li ziyi has been sleeping very little these days. at 4 am, i was sending me a message to arrange tasks! some of the quantities are less than 500. i have no statistics. it is indeed a bit busy and everyone understands it. copy from li ziyi, assistant (jan 29, 2020)","According to Liziqi's assistant (Her name : MingGuo), LiZiqi is busy day and night to get medical supplies to donate to WuHan Hospitals. By Jan 29, 2020, She has donated 40000+ Masks , 1000+ protective clothing and many other medical supplies. She is continue busy on it. See chinese link below 
https://www.weibo.com/u/6357441520?is_all=1 
当前不完全累计： 
已送出30000+ N95/N95级口罩、10000个医用外科口罩、20000多件医用手套、1000多件防护服，部分护目镜、医用消毒喷雾等。每一个快递都有在追踪有无安全送达大家放心哈！你们李子柒这几天都睡的很少。凌晨4点都在给我发消息安排任务！有些数量低于500的我就没统计在内，确实有些忙、大家谅解下。Copy From 李子柒她助理(Jan 29, 2020)"
15469,UgyjBdbZkjS2XC_c5hd4AaABAg,22,3 years ago,"2020 - this time of pandemic, it seems that i wanna go back to our province, and do all these kinds of living, so simple but pure of happiness no stress and so relaxing.
i like your lifestyle ms. liziqi, keep it up and god bless u always.
i'm your avid fan's from the philippines.","2020年 - 这一次大流行，似乎我想回到我们的省，做所有这些生活，如此简单但纯净的幸福没有压力和放松。
我喜欢您的生活方式Liziqi女士，请继续前进，上帝永远保佑您。
我是菲律宾的狂热球迷。"
17450,UgxuDDrKj40WLPE1LQl4AaABAg,20,3 years ago,"to be so blessed to have a grandchild like liziqi, the grandma is so lucky to be taken care of so sweetly.",很幸运能拥有像利兹奇这样的孙子，祖母很幸运能够得到如此甜蜜的照顾。
17981,Ugzs7bNSc8TbNKFXifN4AaABAg,17,3 years ago (edited),"liziqi, what happened to the music? i think someone hacked your clip’s music, how crazy he is!",Liziqi，音乐发生了什么？我认为有人入侵了您剪辑的音乐，他有多疯狂！
2626,UgwPqnH1HfJzwIQtd7t4AaABAg,17,1 year ago,"oh my god,how i feel so happy when liziqi has answered all my questions on how they make many food such us, peanut 's.your idea ,your perfect",哦，天哪，当liziqi回答了我如何制作这样的许多食物，花生
28524,UgzgwKSHJKRPjTR_3nJ4AaABAg,17,3 years ago,liziqi is so talented. ๐‘๐‘โ her granny ( grandmother is very lucky.) life should be like this โค,Liziqi是如此有才华。
30948,UgzE40l6rTlYiv3zGrt4AaABAg,15,3 years ago,"hello liziqi!
i recently found your channel. your lifestyle is very beautiful and inspiring. the videos you make are very calming. thank you!","你好liziqi！
我最近找到了你的频道。您的生活方式非常美丽和鼓舞人心。您制作的视频非常平静。谢谢你！"
3702,UgyfvU5uUvcOG9HtmJJ4AaABAg,14,1 year ago (edited),"very nice video! i like the funny dog so much! i'm so happy to see ""tang hu lu"" candies i like this so much when i was in china. awesome people and things in china. thanks liziqi to remember me the great time i had in your country!",非常好的视频！我非常喜欢有趣的狗！我很高兴看到我在中国时非常喜欢的“ Tang Hu Lu”糖果。令人敬畏的人和中国的事物。感谢Liziqi记得我在您国家度过的美好时光！
17443,UgxEyr7hETATk-pt23B4AaABAg,14,3 years ago,3:35 i didn’t know i could see something like marshmallow in liziqi video,3:35我不知道我可以在liziqi视频中看到类似棉花糖的东西
19040,UgyUvOyOo_MY2ntappp4AaABAg,14,3 years ago,"so freaking cute..lol..i love how those puppy’s and that baby lamb (who probably thinks it’s just another dog..lol) follows her every where she goes....i love watching liziqi, she has inspired me to live a much simpler life, i have a huge back yard that i plan on converting to a garden, won’t be easy i know this, but i have such a passion to help others out especially families with small children and the elderly...where i come from fruits and vegetables are ridiculously expensive that we (most people) cant afford it, so i do without (lost my husband to als so having only 1 income makes it virtually impossible to buy what my body needs...good nutrition) so why not plant my own, unfortunately i don’t know how well it will work or succeed as winters here last 6 months out of the year, summers are an average 3 months long, then it cools off....but i’m going to give it a college try!",太可爱了..大声..我喜欢那些小狗和那只小羊羔（可能认为这只是另一只狗..-大狗）跟着她的每一个去的地方....我喜欢看Liziqi，她启发了我活着一个简单得多的生活，我有一个巨大的后院，我打算转换为花园，这并不容易，但我非常热衷于帮助别人，尤其是有小孩和老年人的家庭...我来自水果和蔬菜的地方是我们（大多数人）负担不起的昂贵的，所以我没有（我的丈夫失去了丈夫，只有1个收入，因此几乎不可能购买我的身体需要的东西...好营养）那么为什么不种自己的种植，不幸的是，我不知道它在一年中六个月的冬天，夏季的冬天，平均有3个月的时间，然后冷却了。。。 '我会尝试大学！
30061,UgzACNKSz-exq1x1WN54AaABAg,14,3 years ago,the one u will marry or u will get married is a very lucky guy. love from india liziqi,一个你会结婚的，否则你要结婚是一个非常幸运的人。来自印度Liziqi的爱
16362,UgyKzdPWhjNVFvn-8_F4AaABAg,13,3 years ago,why is there a moment when i'm healed and happy to live when watching liziqi's video (´ • ̥ • ̥`),为什么有片刻在观看Liziqi的视频（‘•̥•̥`）时，我很高兴能够康复并乐于生活。
2966,UgyNi1U8QBUJSEjJWhJ4AaABAg,12,1 year ago,"she is my inspiration for my videos! creating videos on yt is a way for me to save beautiful moments with my mom. 
liziqi cooks really well, i love everything in her video. if anyone used to make videos on yt like her, you will know how hard she did during the 10 minutes of this video.
wish we can watch more videos from her, i read some news on the internet about her recently.

but i hope she can back.","她是我视频的灵感！在YT上创建视频是我与妈妈一起度过美好时光的一种方式。
Liziqi厨师非常好，我喜欢她的视频中的所有内容。如果有人像她一样在YT上制作视频，您将知道她在此视频的10分钟内做得如何。
希望我们可以观看她的更多视频，我最近在互联网上读了一些有关她的消息。

但是我希望她能回来。"
21268,UgzxY6srtR1XuDbOYEd4AaABAg,12,3 years ago,i'm surprised national geographic hasn't yet run a documentary about kim kardashian living with liziqi for a week.,我很惊讶的是，《国家地理》尚未开展有关金·卡戴珊（Kim Kardashian）在利兹基（Liziqi）生活的纪录片。
24308,UgwKcXv0-QMKTLINXGZ4AaABAg,12,3 years ago,"your stranded on an island and u can bring one person 




grabs liziqi","你滞留在一个岛上，你可以带一个人




抓住利兹奇"
9372,UgyTMFkniKgCY9zWhPZ4AaABAg,12,2 years ago (edited),"i'm from iraq and i'm so love you thank you for your videos 
i don't know my word right or no, because i'm don't more learn the english language 
so i'm sorry
i love you liziqi 
bye","我来自伊拉克，我很爱你，谢谢你的视频
我不知道我的话对还是不知道，因为我不再学习英语
所以我很抱歉
我爱你liziqi
再见"
20963,UgzDA7LvsQaDocWgzfh4AaABAg.944JVs0uHe0949vfDbs7pc,12,3 years ago,"cherry w. mann i was thinking the same too. but she had been living in city before. she know how to do photo and etx. she is liziqi girl who raised by her grandma, then going to the capital city(beijing)to take her career, later she was going back to village in sichuan, china to take care of her grandma.
she is hoping that all of people who are living in city know how the food come from.","Cherry W. Mann我也在想。但是她以前曾住在城市。她知道如何拍照和ETX。她是Liziqi女孩，她是由祖母抚养长大的，然后去首都（北京）去职业生涯，后来她回到中国四川的村庄照顾祖母。
她希望所有住在城市的人都知道食物的来源。"
8520,UgwOstbYE7ECosxz8dN4AaABAg,11,2 years ago,"well liziqi doesn’t mean to express kimchi is chinese food right? she is chinese but she can cook food from other cultures, what’s the problem? only korean can make kimchi???",好吧，liziqi并不意味着表达泡菜是中国食品吗？她是中国人，但她可以从其他文化中烹饪食物，这是什么问题？只有韩国人可以做泡菜？？？
1046,Ugz8CmQCYZwKKr6915p4AaABAg,11,8 months ago (edited),"liziqi makes a torrone like no one makes๐‘๐ป๐‘๐ป๐‘๐ป๐‘๐ป๐๐ป๐๐ป๐โ€โ€๏ธโ๐ป god bless her, family and friends !!",利兹奇（Liziqi）像没有人做的那样做一个torrone，上帝保佑她，家人和朋友！
25653,UgzsuyYqpWh-NROlzkF4AaABAg.9-6D8C6Q_lL9-NMBYwrivQ,11,3 years ago,the countryside life like in the videos does exsit in china while with the modernisation and urbanisation (and pollution) it becomes harder to find such things nowadays. p.s. liziqi is based in southwestern china and many elements in her videos are southwestern-style so maybe you can visit that area.,像视频中的乡村生活在中国确实如此，而随着现代化和城市化（和污染），如今很难找到这样的东西。 P.S. Liziqi位于中国西南部，她的视频中的许多元素都是西南风格的，因此也许您可以参观该地区。
27213,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zm3Iu3N0L3,10,3 years ago,"hๆต็พๅญ lots of chinese knew it ,and i can tell you thatโ€s real. i come from sichuan province and liziqi either",H恵美子很多中国人都知道，我可以告诉你这是真实的。我来自四川省和利兹奇
6153,Ugzp5Ge_1856LG3ES514AaABAg,10,2 years ago,i didn’t know what rabid fan base meant until i saw liziqi’s youtube comments,直到我看到Liziqi的YouTube评论
30527,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xHL6ykJGNM,10,3 years ago,"odee i feel sorry that there are uneducated people like you. may i just ask have you even been to china? it is not right to used youtube when itโ€s banned, but it just makes you yourself look stupid when you comment things like that this original comment is just showing support for liziqi. hope everyone has a nice day! maybe try to just focus on the aesthetics of the vid after all we watch youtube for entertainment right?",ODEE，我很抱歉有像您这样的未经教育的人。我可以问你甚至去过中国吗？禁止使用YouTube是不正确的，但是当您评论此类原始评论的内容只是显示对Liziqi的支持时，它只是让您自己看起来很愚蠢。希望大家过得愉快！也许在我们观看YouTube娱乐的所有内容之后，尝试只专注于视频的美学吗？
27234,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-0T8Xerhn_,8,3 years ago,"after reading her story, it made me love and adore her more! she is such a one brave woman and she inspires me to become one aswell. liziqi wu ai niiiiii",读完她的故事后，这使我爱并崇拜她！她是一个勇敢的女人，她启发我成为一个同等的女人。 liziqi wu ai niiiiii
48935,Ugy47mSbyzbThBBP5kB4AaABAg,8,4 years ago,love you liziqi,爱你liziqi
209,UgyzUEBUU0AiNhHFHoF4AaABAg,8,1 month ago,"a lot of delicious foods with digimon's song at background! i love how liziqi show to us that beauty side of life, thank you very much, you are amazing!",Digimon的歌曲在背景上有很多美味的食物！我喜欢利兹奇（Liziqi）如何向我们展示生活中的美丽方面，非常感谢，你真是太神奇了！
2421,UgxJV6eYJas5IJbtr9J4AaABAg,7,1 year ago,i'm in love with liziqi videos ... relaxing..insproador ..mto good,我爱上了liziqi视频...放松.. insprodor ..
1008,Ugxhj-3OA7wNzL0b89R4AaABAg,7,7 months ago,"i hope you'll come back soon lovely liziqi
your videos relieve my stress and anxiety
i just wanna say thank you and i miss you so much","我希望你很快回来可爱的利兹奇
您的视频缓解了我的压力和焦虑
我只想说谢谢，我非常想念你"
16181,Ugz2Gjpul13TiuoJj9F4AaABAg.98rhLA7jw4W99cQZTm-Ip0,7,3 years ago,"she made money out of this but her friend said liziqi is just so humble. so much simplicity n her. she chose this kind of lifestyle bcause its how she'd been raised. most of her life, she spent it with her grandparents so i dont understand that there are still hate towards her.",她从中赚了钱，但她的朋友说利兹基太谦虚了。她这么简单。她选择了这种生活方式，因为她的成长方式。她一生的大部分时间，她都与祖父母一起度过，所以我不知道仍然对她有仇恨。
11539,Ugy1OdgA5g7bDH70mx94AaABAg,7,2 years ago,she really . makes me want to be creative with my cooking n had inspired me to eat healthy n yes to do something meaningful. her cooking equipment is just out of this world. you can literally eat restaurant style food even if you didn't have electricity. thanks liziqi. much love from kenya ๐ฐ๐ช๐,她真的。让我想在烹饪中发挥创造力，启发了我吃健康的n是，做一些有意义的事情。她的烹饪设备刚刚出来。即使您没有电力，也可以从字面上吃餐厅时尚的食物。谢谢Liziqi。来自肯尼亚的很多爱
37183,UgyFwJJueyTcb7OZytl4AaABAg,7,4 years ago,miss liziqi you are so adorable when you startled with the boom!! ๐๐๐๐,Liziqi小姐，当您吓了一跳时，您真可爱！！
19905,UgwhsPjCivUEGUWg7gB4AaABAg,7,3 years ago,when the world runs out of markets a lot of us going to run to liziqi and granny's house,当世界用尽市场时
26276,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-ALgImtB9X,7,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
1430,Ugz0z5fhSnU5jc0fpfx4AaABAg,7,11 months ago,"she is such a lovely girl & very hardworking also. the vibes of her video really attracts those people who are interested to rural area but they can't stay & they missed also the rural area's beauty. so from her everyone can get a sweet taste of it.
love from bangladesh liziqiโค๏ธโค๏ธ","她是一个如此可爱的女孩，也很努力。她的视频的共鸣确实吸引了那些对农村地区感兴趣的人，但他们不能留下来，他们也错过了农村地区的美丽。因此，从她那里，每个人都可以获得甜美的味道。
来自孟加拉国的爱情"
21425,UgwuYnGlz0Y6i2CD6wR4AaABAg,6,3 years ago,"liziqi has set the standard, too many others trying to do the same as her, but she's the original๐๐‘",利兹奇（Liziqi）设定了标准，太多其他试图与她相同的人，但她是原始的
30037,Ugxqyerx-UFwycbRcr54AaABAg,6,3 years ago (edited),"hi ms liziqi....a few hours ago i started watching your video. 1st video with the lotus... hooked up.. now i don't know how many of your videos i've watched already.. and it's 12midnight here. thank you for the videos... i love how you take good care of your grandmother. you are a smart, loving, talented being.
i just wish and hope to live with you there even just for few days to join you and experience harvesting and eating fresh vegetables and fruits and taste your recipes. take care ๐ค—๐ค—๐ค—๐ค—","嗨，Liziqi女士....几个小时前，我开始观看您的视频。第一个视频与Lotus ...连接。.现在我不知道您已经看过多少个视频了..在这里是12mmid night。谢谢您的视频...我喜欢您如何照顾祖母。您是一个聪明，充满爱心，才华横溢的存在。
我只是希望并希望在那里与您同住，甚至只有几天的时间就可以加入您的行列，体验收获和吃新鲜蔬菜和水果并品尝您的食谱。保重"
18157,UgyyaE8_ewXPXjqemJt4AaABAg,6,3 years ago,"liziqi, is the best of the best.... knowledge of so many kind of traditional chinese cuisine,.... jz wish her always living happily...",利兹奇（Liziqi），是最好的。。。。。。。。。。。。。。。。。
7891,Ugy-laaDR6ojcQjttq14AaABAg,6,2 years ago,love you liziqi from malaysia,爱你来自马来西亚的liziqi
15113,UgxZzYiLffO8nUQIXuJ4AaABAg,5,3 years ago,"thank you liziqi for providing so much comfort at my life, every sec from your video reminding me of my sweet childhood in my village, if i ever went back their i will sure remember u always",谢谢Liziqi在我的一生中提供了如此多的安慰，您的视频中的每一部分都让我想起了我在村里的甜蜜童年，如果我回到他们的村庄，我肯定会记得你总是
18664,UgwXLmOP4e4YHuc-_WJ4AaABAg,5,3 years ago,"i love all of your videos, but this one makes me feel especially joyful. it reminds me of my grandmother, we called her nanny (very common here in the southern united states) making candied apples just like you did, and she would make caramels and rice krispy treats, and we would always have a box or two of citrus fruits from florida. that is the southernmost state in the united states and it has a subtropical climate so it grows the best fruits especially citrus. and every year over christmas holidays when we got out of school, we would always have all of those wonderful treats. i grew up on a 30 acre farm in rural south carolina in the southern part of the united states. we did not have a lot of money, but we always had wonderful home grown and home raised food like you liziqi, only we could not grow all of the things you grow there in the mountains, it was way too hot and humid in the southern united states. many days in the summer, it gets over 100 degrees fahrenheit which is over 37.7 celsius, and the humidity is always in the high 80's and 90's in the summer, sometimes it is 100% humidity and it can go over 100 degrees like 105-110 which is 40.5-43.3 celsius.",我喜欢您所有的视频，但是这让我感到特别快乐。这让我想起了我的祖母，我们称她的保姆（在美国南部很普遍）像您一样制作蜜饯的苹果，她会做焦糖和米饭krispy的零食，我们总是会有一个或两个盒子的柑橘盒来自佛罗里达的水果。那是美国最南端的州，它具有亚热带的气候，因此它可以种植最好的水果，尤其是柑橘。在圣诞节假期的每一年，当我们辍学时，我们将永远拥有所有这些美好的款待。我在美国南部南卡罗来纳州农村一个30英亩的农场长大。我们没有很多钱，但是我们总是有美好的家园，像您这样的家园里饲养了食物，只有我们无法在山上种植所有的东西，它在南部太热又潮湿了美国。夏季的许多天，它的华氏度超过100摄氏度，超过37.7摄氏度，夏季始终处于夏季的80和90摄氏度，有时是100％的湿度，它的湿度可能超过100度，例如105-110摄氏度。是40.5-43.3摄氏。
19908,Ugy0BJf2QC14ZTtYOY94AaABAg,5,3 years ago,"hi.liziqi :) i'm korean.
youtube channel is 'lizmano'

it is similar to the korean holiday.
daeboreum, the first full-moon day (the15th day of the first month of the lunarcalendar) .

don't forget that i am always behind you","嗨，liziqi :)我是韩国人。
YouTube频道是“ Lizmano”

它类似于韩国假期。
Daeboreum，第一个全月（第一个月的15天）。

别忘了我一直在你身后"
27568,UgxIooV2IkscIsp6OCl4AaABAg,5,3 years ago,mango with no seed? awesome <3 i want to live with you liziqi. i will do the fruit harvesting for you.,没有种子的芒果？很棒的<3我想和你一起生活liziqi。我将为您做水果收获。
50282,Ugy3HJaAhyNmUGjdrQl4AaABAg,5,4 years ago (edited),love you liziqi...i am from bangladesh...i am your very biggest fan believe me..,爱你liziqi ...我来自孟加拉国...我是你最大的粉丝相信我。
