,cid,votes,time,含house,含house中文翻译
23122,Ugy4jXItRyEda70YHsl4AaABAg,15,3 years ago (edited),"i am a chinese who lived in the village when i was child. through we didn't have her so exquisite life. but i remember, we had a little gardon of my house. in the spring and summer, our gardon had so many green food to eat. and my mother cooked them for me. then i grow up, we all move in the city. we have a better life now, not poor any more . but we nerve have the gardon any more.",我是一个中国人，小时候住在村里。通过我们没有她那么精致的生活。但是我记得，我们家里有一点加尔顿。在春季和夏季，我们的Gardon有很多绿色食物可以吃。我妈妈为我做饭。然后我长大了，我们都搬到了这座城市。我们现在的生活更好，不再贫穷了。但是我们不断拥有加尔顿。
15456,UgxNgZDH5Rch2-Cq8DZ4AaABAg,14,3 years ago,the environment and everything remind me of my childhood in my grandma's house. they have the same vibes.. i hope i can go there again (｡ŏ﹏ŏ),环境和一切使我想起了我在奶奶家中的童年。他们有相同的共鸣。我希望我可以再次去那里（｡ŏ﹏ŏ）
13188,UgzGTGnIyu8rpnxgdIV4AaABAg.9C9qthCZ61x9COI1LqaD6a,12,2 years ago,no one is talking about that because for us its normal..we grew up eating popcorns made from such machines and it is always an elderly uncle who goes from house to house and does that for them for.just a little bit of money..we used to be so excited and scared at the sound just like her,没有人谈论这一点，因为对我们来说，它的正常。我们长大了，吃了用这样的机器制成的爆米花，它总是一个老年叔叔，他不在房子到房子，为他们做这件事。我们曾经像她一样对声音感到如此兴奋和害怕
24544,Ugy0tTsvk5T3Yuna7Zl4AaABAg,12,3 years ago,what an angel! her house is full of love. even her dogs love her.,天使！她的房子充满了爱。甚至她的狗也爱她。
48894,UgxUxrzh2_nXib9I-4h4AaABAg.8qmM3fEmDnz8qrnayg4M8B,10,4 years ago,@pumpkinmiz you sure are a judgmental idiot. not everyone in the world treats their pets like their children. and just because they dont treat them the way youd like doesnt make them bad people. what the fck is wrong with white people these days. self centered narrow mindedness will trap you and make you bitter. plus if you havent noticed this is a cooking show not pee wees play house. go open your mind a little.,@pumpkinmiz您肯定是一个判断性的白痴。并非世界上的每个人都像孩子一样对待宠物。仅仅因为他们不像您喜欢的方式对待他们不会使他们成为坏人。如今，白人的FCK是什么问题。以自我为中心的狭窄的头脑会困扰您并使您痛苦。另外，如果您没有注意到这是一个烹饪表演，而不是小便韦斯玩家。稍微开心一点。
41134,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8s8Ickji63l,8,4 years ago,"seeing these videos of the up lord, i thought of the atmosphere of rural uncle and grandma's house when i was a kid. i felt like i was full of movement for a while when i returned to the new year and new year. thank you, the lord, it is great* ^ ^* b must like it ~~~ now returning to china for the new year is really deserted. essence essence",看到up主的这些视频就想到小时候农村姥姥和奶奶家过年过节时的那种氛围，有那么一瞬间感觉好像回到了十几年前，满满都是感动。要谢谢up主，太棒了*^ ^* b必须赞~~~现在回国过年真的是冷清的要死。。。
16396,UgwNQs8D2nQN-0iW4eN4AaABAg,8,3 years ago,i have been obsessed with these videos over the last day or so. they are so calming and has really given me some motivation to get the cleaning around the house done and also to try some new recipes!,在最后一天左右的时间里，我一直沉迷于这些视频。它们是如此平静，确实给了我一些动力，可以在房屋周围清洁工作，并尝试一些新食谱！
26432,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy97kDv2Fkyc-,7,3 years ago,"hey guys! it's been 7 months, me and my partner brokeup, 3 years together and i'm better than ever. got a good job and building my house! i'm 20 and even in times of coronavirus i hope everyone is safe! i read your comments everyday snd you guys helped me alot",大家好！已经有7个月了，我和我的伴侣一起打破了3年，我比以往任何时候都更好。做得好，建造我的房子！我今年20岁，即使在冠状病毒时期，我希望每个人都安全！我每天都在阅读您的评论，你们帮助我很多
34785,UgyQpM0HVnaBQhUMEap4AaABAg.8usp0Ub-hJg8vfIXjaAbJO,7,4 years ago,"yall bothered. true she has internet and also she lives in nice house, i have seen it in one of her videos, she also has two people, camera man and editor, plus she earns alot from youtube and has garden, living in beautiful area.",你们都打扰了。的确，她拥有互联网，还住在漂亮的房子里，我在她的一个视频中看到了它，她也有两个人，相机的人和编辑，而且她从YouTube赚了很多钱，还有花园，住在美丽的地区。
50275,UgxPLH3UwdqmhM_3dIB4AaABAg,7,4 years ago,"i'd like to eat at her house for dinner...and then stay for dessert, if you know what i mean (that's not a euphemism...i really just want to eat the desserts...they look great).",我想在她家吃晚饭...然后留下甜点，如果您知道我的意思（那不是委婉语……我真的只想吃甜点...它们看起来很棒）。
19905,UgwhsPjCivUEGUWg7gB4AaABAg,7,3 years ago,when the world runs out of markets a lot of us going to run to liziqi and granny's house,当世界用尽市场时
29713,UgwPB8Asmxl0aTBvFop4AaABAg,6,3 years ago,"when i first saw this woman and how she conducted her life in these videos these are the scriptures that came to mind. ) proverbs 31 : 10 - 31 )10 who can find a capable wife?
her value is far more than that of corals
11 her husband trusts her from his heart,
and he lacks nothing of value.
12 she rewards him with good, not bad,
all the days of her life
13 she obtains wool and linen;
she delights to work with her hands.
14 she is like the ships of a merchant,
bringing her food in from afar.
15 she also rises while it is still night,
providing food for her household
and portions for her female servants.
16 she sets her mind on a field and buys it;
she plants a vineyard from her own labors.
17 she prepares herself for hard work,
and she strengthens her arms.
18 she sees that her trading is profitable;
her lamp does not go out at night.
19 her hands seize the distaff,
and her hands take hold of the spindle.
20 she extends her palm to the lowly one,
and she opens her hands to the poor.
21 she does not worry about her household because of the snow,
for her whole household is clothed in warm garments.
22 she makes her own bed covers.
her clothing is of linen and purple wool.
23 her husband is well-known in the city gates, where he sits among the elders of the land.
24 she makes and sells linen garments
and supplies belts to the merchants.
25 she is clothed with strength and splendor,
and she looks to the future with confidence.
26 she opens her mouth in wisdom;
the law of kindness is on her tongue.
27 she watches over the activity of her household,
and the bread of laziness she does not eat.
28 her children rise up and declare her happy;
her husband rises up and praises her.
29 there are many capable women,
but youโ€”you surpass them all.
30 charm may be false, and beauty may be fleeting,
but the woman who fears yahawah will be praised.
31 give her the reward for what she does,
and let her works praise her in the city gates.","当我第一次看到这个女人以及她如何在这些视频中表现生活时，这些都是我想到的经文。 ）谚语31：10-31）10谁能找到有能力的妻子？
她的价值远远超过珊瑚的价值
11她的丈夫发自内心地信任她，
而且他没有任何价值。
12她以好是好，还不错的奖励，
她一生
13她获得了羊毛和亚麻。
她很高兴用手工作。
14她就像商人的船一样，
从远处带来她​​的食物。
15她还在夜晚升起，
为她的家庭提供食物
和她的女仆人的部分。
16她将自己的想法放在田野上并购买。
她从自己的劳动中种了一个葡萄园。
17她为辛勤工作做准备，
她加强了手臂。
18她认为自己的交易是有利可图的。
她的灯在晚上没有外出。
19她的双手抓住了遥远的人，
她的手握住主轴。
20她将手掌延伸到低矮的一个，
她向穷人敞开双手。
21她不必担心自己的家庭，因为下雪了，
对于她的整个家庭来说，穿着温暖的服装。
22她自己制作床罩。
她的衣服是亚麻和紫色的。
23她的丈夫在城市的大门中著名，他坐在这片土地的长老中。
24她制作并出售亚麻服装
并向商人提供皮带。
25她穿着力量和辉煌的衣服，
她充满信心地展望未来。
26她以智慧张开嘴。
善良定律在她的舌头上。
27她看着家庭的活动，
她不吃懒惰的面包。
28她的孩子起床并宣布她快乐；
她的丈夫崛起并赞美她。
29有许多有能力的女性
但是你 - 你超越了他们。
30魅力可能是错误的，美丽可能是短暂的，
但是那个担心Yahawah的女人会受到称赞。
31给她奖励她的所作所为，
并让她的作品在城市大门上赞美她。"
28892,UgyRW2uW7aCyVCo0Ubd4AaABAg,6,3 years ago,"i love her videos
i love how aesthetic is her garden,house, everything...
how cute her animals are
and i love that she is not using modern things.. i love how she doing it like in the really old old old life... i just love her channel! โค๏ธโค๏ธ","我爱她的视频
我喜欢她的花园，房子，一切的美学...
她的动物有多可爱
我喜欢她不使用现代事物。我喜欢她在真正的旧生活中的样子……我只是爱她的频道！ ❤️❤️"
8704,UgxTrdQpB5pxOySrAHt4AaABAg.9IK5l71vneV9ISaHy10Z4p,5,2 years ago,"recently, it is his house that south korean kimchi refugees came here to appeal. essence essence hahaha, laugh!",最近都是南朝鲜泡菜难民来这里申诉泡菜是他家的。。。哈哈哈，笑死！
43858,UgxKiLZ7LEGFveQJh9N4AaABAg.8rI0OL3uPee8rIIYZ8nvXT,5,4 years ago,obviously in her house,明明是在她家里
25015,Ugz9tMkf3aCSo60kfPN4AaABAg,5,3 years ago,she is so amazing young lady i think no one will be like her to do such things from cooking to farming and to any kind of house chores truly she is blessed ๐,她真是太神奇的小姐，我认为没有人会像她做从烹饪到耕种和任何类型的家务的事情一样，确实有福了。
51960,UgySE0Jn9j9q1VXpWR54AaABAg,5,4 years ago,"oops ~ i look like it, i really want to live in ziyi’s house",哎呀～我看着都馋，好想住在子柒家
24318,Ugy3VCXm4fKGRjMEfBd4AaABAg,5,3 years ago,if billionaires see this and compare their concrete houses to this natural mountain farm they will know that they ain't having a life but slave of unnatural lifestyle.,如果亿万富翁看到这一点，并将他们的混凝土房屋与这个自然的山区农场进行比较，他们将知道他们没有生命，而是奴隶不自然的生活方式。
32493,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18yIaTyYBL7j,5,3 years ago,"cyndri ana this is her grandparent's property. she has shown in her video she lives with her brother and other family members. she is also a millionare. she has a contract with companies who offer her many business opportunities as an entrepreneur. she has her own brand..and she sells food products online. she also launched a clothing line. so she isn't a real life disney princess. she worked in the city and was a dj at a club at night. she's the exact opposite of what everyone think she is. she is not self taught. her grandpa was a very successful chef and this land, garden and house belonged to him. he taught her how to cook and create things. grandma makes vegetables and fruits. she will inherit everything in the end.",Cyndri ana这是她祖父母的财产。她在视频中展示了她与哥哥和其他家庭成员一起生活。她也是一百万。她与为企业家提供许多商机的公司签订了合同。她有自己的品牌..并在网上销售食品。她还推出了一条服装系列。因此，她不是现实生活中的迪士尼公主。她在这座城市工作，晚上是俱乐部的DJ。她与每个人的想法完全相反。她不是自学的。她的爷爷是一位非常成功的厨师，这座土地，花园和房屋属于他。他教她如何做饭和创造东西。奶奶制作蔬菜和水果。她最终将继承一切。
21208,UgxPn91sUsWYBwhEF1J4AaABAg.93uKWsEplVV941uj5DwT5P,4,3 years ago,you can't fit that inside your house,你不能适合你家里的
32026,UgxxBPIVKdd9bUgvq7h4AaABAg.8w-lBXuPmHe8w6n1qTgujn,4,4 years ago,"its her grandpa's house.. well, i guess(?) .. since she's living with her grandma.",它是她爷爷的房子..嗯，我想（？）..既然她和祖母一起住。
24165,UgyzelBmx3xU_6SIPDp4AaABAg,4,3 years ago,"oh she has so cute company ,little dogs and sheep,birds are singing,cows,pigs,grass,flowers,unusual nice fruits and vegetables,garden,nice old village house,no plastic,nothing artificial, simply people,life without stress",哦，她有如此可爱的陪伴，小狗和绵羊，鸟儿在唱歌，牛，猪，草，花，不寻常的水果和蔬菜，花园，漂亮的老村房子，没有塑料，没有人造的，简单的人，没有压力的生活
31895,UgzTiWvMlVR0XN99SZ54AaABAg,4,4 years ago,"i love this girl too, everyone comes to my house and drinks tea",我也爱这个女孩，每个人都来我家喝茶
8199,UgxGBiTxjTtqLT-Na8h4AaABAg,3,2 years ago,"kimchi and hanbok are korea's unique culture.
don't tell me that it's in china
in korea, there is a kimchi refrigerator for each house
i wore hanbok every holiday","Kimchi和Hanbok是韩国的独特文化。
不要告诉我在中国
在韩国，每个房屋都有一个泡菜冰箱
我每个假期都穿汉伯克"
1353,UgzAfR2qpesNlTm7E6h4AaABAg,3,10 months ago,this girl is the epitome of a perfect housewife. i really wanna be like her.,这个女孩是一个完美的家庭主妇的缩影。我真的很想像她一样。
838,UgypgJtDeWEDLAWw13V4AaABAg,3,6 months ago,her dried food's storehouse is so yummy,她的干食品仓库太好了
29834,Ugy9mFfHIdto_Kzeopt4AaABAg,3,3 years ago,"i really want to go to your house for the new year, haha. too many delicious and childhood memories.",好想过年去你家串门，哈哈。太多好吃的和童年回忆了。
5443,UgwYWBs1wkDrXcCd4KN4AaABAg,3,2 years ago,can i stay in your house during the zombie apocalypse?,在僵尸启示录期间，我可以呆在你家吗？
22491,UgwpDxSltANjBCp2KfR4AaABAg,3,3 years ago (edited),"loving the whole atmosphere. i wasn't really a chinese cuisine fan but seeing this i really crave your cooking. a new perspective to chinese cuisine. truly inspiring.
i wish you open a guest house if you haven't. it would be my family vacation destination!!","热爱整个气氛。我并不是真正的中国美食迷，但是看到这一点我真的很想做饭。中国美食的新观点。真正鼓舞人心。
我希望您没有开设一个旅馆。这将是我的家庭度假胜地！"
29457,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8ySUSZM2lCi,2,3 years ago,"i feel this girl
it's so beautiful when you are serious
like a fairy
everything will be better than girls in the city
tens of thousands of times can cook vegetables for housework
embroidery knows too much
it's what i dream of
wife's style
if you marry him in this life
i have no regrets in my life","我感觉这女生
认真的时候好美
跟仙女一样
什么都会 比城市里的女生
好几万倍 会煮菜 做家事
刺绣 懂得东西太多
是我梦寐以求的
妻子的风范 
如果这辈子娶到他
我这一生一定无憾"
17521,UgxC0AyT9PU_ME2BPOd4AaABAg,2,3 years ago,"the fairy tale is simple |
everything is beautiful: girl, dogs, sheep, nature, jewelry, plants, sky, house, interior, stove, hearth, dishes, shooting is impeccable, cooking, not a single channel about food is nearby, granny, warming by the fire, like all this is all not enough in the gray jungle, the same type of days ..
i'm just in a wild aesthetic orgasm !!! low bow to the girl, for such hard work","童话很简单|
一切都很漂亮：女孩，狗，绵羊，自然，珠宝，植物，天空，房屋，内饰，炉子，炉灶，炉灶，射击，射击是无可挑剔的，烹饪，没有关于食物的单个渠道在附近，奶奶，在火上变暖，就像所有这些一样，在灰丛林中还不够，也是一样的。
我只是在狂野的美学性高潮中！！！低弓对女孩，这么辛苦"
26167,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-qCmxcQqcN,2,3 years ago,"่ฐขๆ— ่จ€ so๏ผyour point is she doesnโ€t live in the life showed in the video? the truth is she experienced the village life in china and she is showing a positive living attitude, that what made she popular, she started from nowhere, no team, no company.
it is undeniable that the real rural life is rough and there are many disappointing problems as well, but there are many people live with positivity in face of difficulties. 
the farmers in china now living in a life much better than the past thousands year, no tax, no worries about war and starving, free education, medical insurance, encouraging well-educated students to develop the deprived areas, funds for the poverty, internet, electricity and signal almost everywhere, paved roads to every villages, most of farmers are able to build a house if they work hard.","谢无言那么，您的意思是她不生活在视频中的生活中吗？事实是，她在中国经历了乡村生活，并且表现出积极的生活态度，使她受欢迎的是从无处开始，没有团队，没有陪伴的原因。
不可否认的是，真正的乡村生活是艰难的，也有许多令人失望的问题，但是面对困难，有很多人生活在积极上。
中国的农民现在生活在生活中的生活要比过去一千年好得多，没有税收，不用担心战争和饥饿，免费教育，医疗保险，鼓励受过良好教育的学生发展贫困地区，贫困的资金，互联网，几乎到处都是电力和信号，通往每个村庄的道路，大多数农民都可以在努力工作的情况下建造房屋。"
37923,Ugz4J84OBqwxJuH93hB4AaABAg.8tkNoWBxn9R8uQDNIx6t-4,2,4 years ago,"@sumichan7901 i find it important to note that although she does a lot of things according to traditions, chinese women before the industrial revolution definitely didn't have as much freedom to walk around and do the chores as she does. they stayed in house and most of the stuff he does would be done by servants. or maybe there would be some very poor households where the parents weren't able to footbind their daughters, where a girl would even be able to walk around and would have to do these chores on her own. so her lifestyle is not as traditional.",@sumichan7901我发现重要的是要注意，尽管她按照传统做了很多事情，但工业革命之前的中国妇女绝对没有那么多自由地走动，做家务。他们呆在家里，他所做的大多数事情都是由仆人做的。或者，也许会有一些非常贫穷的家庭，父母无法脚步，一个女孩甚至能够四处走走，不得不自己做这些琐事。因此，她的生活方式并不那么传统。
28536,Ugwk2DlghIo3FINzOcp4AaABAg,2,3 years ago,"i feel this girl
it's so beautiful when you are serious
like a fairy
everything will be better than girls in the city
tens of thousands of times can cook vegetables for housework
embroidery knows too much
it's what i dream of
wife's style
if you marry him in this life
i have no regrets in my life","我感觉这女生
认真的时候好美
跟仙女一样
什么都会 比城市里的女生
好几万倍 会煮菜 做家事
刺绣 懂得东西太多
是我梦寐以求的
妻子的风范 
如果这辈子娶到他
我这一生一定无憾"
30655,UgxCgJUQtagJPSVTOBJ4AaABAg,2,3 years ago,"this reminds me of my chickens
they follow me when i step out if the house ๐","这让我想起了我的鸡
当我走出房子"
24193,Ugxq7ebvtcmH9xNi-NJ4AaABAg,2,3 years ago,"me a 11 year old artist, and i hope when i grow up
my house can be as somewhat peaceful like lizi's house","我是一个11岁的艺术家，我希望我长大后
我的房子可以像利兹的房子一样和平"
43718,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8rZM0s2RpnL,2,4 years ago,"the house price next door has risen to 50,000 square meters.",隔壁房价已经涨到5万一平了。
15654,Ugx-g9oMvzL6uXHI0TV4AaABAg,2,3 years ago,"the popcorn was seen at the grandma's house when she was a child, and the snow rice grains next to them were too greedy! as soon as the new year's goods are ready, the festival atmosphere begins",那个爆米花的机子小时候在奶奶家见过，还有旁边的雪米粒太馋了！年货一备齐，节日氛围就开始啦
12339,UgxsH1-Bw0LWRurLXt54AaABAg,2,2 years ago,i wanna go to her house to eat,我想去她家吃
16543,UgwnN-2s5Mzp3c9-2bl4AaABAg,1,3 years ago,i want her in my house during quarantine doing me these snacks and food haha such a great girl i want to learn how to do this too,我要她在隔离期间在我家里做这些小吃和食物哈哈，一个好女孩，我也想学习如何做
22121,UgxBVh5GSTzJnepl3MB4AaABAg.9349BorE-pI937DZPxDPXO,1,3 years ago,she have been doing housework since 6 years old.,她从6岁起就一直在做家务。
27057,Ugy0n7W9ATgqOoNboyx4AaABAg,1,3 years ago,"can you cook?
can you make your own clothes?
build your own house?


you can?
impossible you're not li ziqi","你会做饭吗？
你可以自己做衣服吗？
建造自己的房子？


你可以？
不可能你不是李Ziqi"
43114,Ugw1VdwYGn21PA9WWFt4AaABAg.8rRGTP9aYWR8rS1yONH8Qd,1,4 years ago,"real house. she was a dj previously, but back to village to take care her grandma years ago.",真正的房子。她以前曾是DJ，但回到村庄，几年前照顾她的祖母。
22030,UgxKZdKMWx1abah44Bl4AaABAg,1,3 years ago,i really want to visit her house hehe,我真的很想去她的房子呵呵
23603,UgwoawYuZAWgMZqf0yt4AaABAg.92GnstOh6bj92H5CU8PtR7,1,3 years ago,"@rocketyyds5800 oh, most people in the countryside will do some of these, but ziyi has done everything. my grandmother's house and grandpa's house have been eaten partly. games, entering and leaving cdb every day, eating western japanese food coffee, this is just your epitome, don't fantasize everyone to live your life",@rocketyyds5800 呵呵，农村过年大部分人都会做部分这些，只是子柒把所有都做了而已，我的外婆家和爷爷家都做过部分吃的，怎么就反映不了了，你天天吃外卖上网打游戏，天天出入CDB，吃西餐日料咖啡，这只是你的缩影，别幻想每个人都过着你的生活
16329,UgzLaIoHPAi8K3BP7sZ4AaABAg,1,3 years ago,please do your house and garden tour,请进行您的房子和花园之旅
16294,Ugybvlbljx7FwKUaISx4AaABAg,1,3 years ago,"i have no words, what kind of household they are so many blanks, well done, the chinese are really hard workers,",我没有话说，他们有这么多的空白，做得好，中国人是非常努力的工人，
41660,UgxP_Cj06aZmLa2bSqp4AaABAg.8ruzrnHtE3L8s7nkNsKZAK,1,4 years ago,"lot of chinese ppl asked the same question and doubted her 2 years ago, she answered all these questions. the house appeared in that video is more like her studio in the city,where she and her small team do post-production. most of the time, she lives with her grandma in the village.",许多中国人问了同样的问题，并怀疑她两年前都回答了所有这些问题。该录像中出现的房子更像是她在城市的工作室，她和她的小团队在那里进行后期制作。大多数时候，她和祖母一起住在村庄。
17297,UgyrJ0H7KN1JD167rT94AaABAg,1,3 years ago,this is the best video ever! i want to be invited to her house for the snacks!,这是有史以来最好的视频！我想被邀请到她的家吃小吃！
18229,UgzyqKKWfEHViQKYGRl4AaABAg,1,3 years ago,ziyi your neighbor sells a house? there is also a separate street! bleak,子柒你家邻居卖房不？隔条街也可以！
24633,UgwRQ3K5XxNW3yI2d3Z4AaABAg,1,3 years ago,is anyone in vietnam ๐ป๐ณ or see the channel of the small house,是越南的任何人还是看到小房子的渠道
24637,UgzlSr7HUlqaGfF0qLl4AaABAg,1,3 years ago,"i wish i could go to my house to visit, live vs her for a year ..... i wish i wish i could go away. probably very",我希望我可以去我家探望，与她一起生活一年.....我希望我能离开。大概是非常
38922,Ugw8eIf88gpXQfbT9tJ4AaABAg,1,4 years ago,"this is a fake house, everything is spanking new. real village houses arent like this . she seems to be an amazing cook though.",这是一个假的房子，一切都在打屁股。真正的村庄像这样住了。她似乎是一位了不起的厨师。
39957,UgzurNpLBlpk6qbTBOV4AaABAg,1,4 years ago,did you note that she has decorated her house by mustard flowers.,您是否注意到她已经用芥末花装饰了她的房子。
18274,Ugwv6VYk38hA73yjyGJ4AaABAg,1,3 years ago,i really want to go to ziyi's house for dinner! snacking cabinet is too tempting,好想去子柒家吃饭啊！零食柜太诱惑人了
24081,Ugw4gkRchDcumi0yZE54AaABAg,1,3 years ago,omg i want to live in your exact house and lifestyle :(,天哪，我想住在您的确切房屋和生活方式中:(
23916,UgzxrukpuR8GJsslIS94AaABAg,1,3 years ago,"ashamed, it was born to a sichuan person. she had eaten it. mango and apple sichuan were available, but it was not produced by her area. wild chestnut should not be so big. the bacon was hung too short and was stolen by a dog. last year, my sausage was stolen by the dog. the mud baked oven is not every family. it โ€s delicious for two months to dry the beef. if you go down the mountain, you have to be moldy. so many fruits should be placed in the cellar, and each household has a waste.",惭愧，生为一个四川人居然有没吃过的，芒果和苹果四川有，但不是她那个地区出产的，野生板栗应该没有那么大。腊肉挂得太矮了，要被狗偷，去年我家的香肠就被狗偷了，那个泥巴烤炉也不是每家都有，家里人口多，又有能做事的老人才行，下雨就坏了，牛肉干要晾两个月才好吃，下山就要发霉，蛋烘糕要趁热吃，不能放。那么多果子应该放地窖，每家每户都有，浪费了。
35100,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8xKtAZeqoUW,1,3 years ago,"i'm a chinese man who is 30 year old and single, i am working in beijing city which is the capital of china. i work 5 days one week. i often do some new cookings and snacks at weekends, some time i invite my workmates to my house and taste my productions, and they are very happy every time. so why don't learn and try new things now? do thing with your heart, and you can do as well as li ziqi.",我是一个30岁又单身的中国男子，我在中国的首都北京市工作。我工作了5天。我经常在周末做一些新的烹饪和小吃，有时我邀请我的同事去我的房子，品尝我的作品，他们每次都很高兴。那么，为什么现在不学习并尝试新事物呢？用心脏做一些事情，您可以做一些李Ziqi。
18015,UgzwmdA8rM5MCPHeZkF4AaABAg,1,3 years ago,"honestly,spring festival at my house isn't half of her =(((
how about you ???","老实说，我家的春节不是她的一半=（（（（（（（
你呢 ？？？"
26410,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy96pp2lSgsE_,1,3 years ago,"why do she have everything?
why is there anything near her house?","怎么她家应有尽有呢？
她家的附近怎么 什么都有呢?"
