,cid,votes,time,含real,含real中文翻译
6783,Ugyz_bH0B_MbQFGW1nV4AaABAg,356,2 years ago,"what i absolutely love about her videos is she doesn't really care that the camera is there, even though it's there she's still living in the moment. she's still doing those things because she loves doing them, not for the sole purpose of recording and posting it",我绝对喜欢她的视频的是她并不真正在乎相机在那里，即使它仍然在那一刻。她仍然在做这些事情，因为她喜欢做这些事情，而不是为了录制和发布它的唯一目的
36634,Ugw9FVHPiGSKnK4o_YN4AaABAg,305,4 years ago,"these puppies and lamb knows math. following her = food 
it seems she takes care of them really well","这些幼犬和羊羔知道数学。跟随她=食物
看来她真的很好地照顾他们"
26996,UgyUuyuyl9JkP3v5kA54AaABAg,286,3 years ago,is this the real life version of studio ghibli's ? a life so simple and beautiful nature it brought tears to my eyes t_t,这是吉卜力工作室的现实生活版吗？生活如此简单和美丽的自然，使我眼中的眼泪T_T
22893,Ugy4QKtD9cbzrOoUVFd4AaABAg,248,3 years ago,"i really like her pets, so natural, serene and peaceful.",我真的很喜欢她的宠物，如此自然，宁静与和平。
29964,UgwQP_4zpUALo_ikOQV4AaABAg,241,3 years ago,she is the real life disney princess...her life so full of life ...i love the part where she ran towards her grandma to close her ears,她是现实生活中的迪士尼公主...她的生活如此充满生活...我爱她朝奶奶闭上耳朵的那部分
31186,UgxBPmGw0xIG1aIl6ZF4AaABAg,225,3 years ago,"as a chinese,i am really happy to see people from different countries appreciate and love ziqi's video.",作为中国人，我真的很高兴看到来自不同国家的人们欣赏并喜欢Ziqi的视频。
37303,Ugz6mbRxUYbd8kXFoBN4AaABAg,204,4 years ago (edited),this like melted my heart. this is so beautiful. she's like a real life heroine of a drama. her life is so romantic.,这就像融化了我的心。这真是太美了。她就像一部现实生活中的女主角。她的生活是如此浪漫。
10599,UgzjqCUUoBsbSh3rOOJ4AaABAg,198,2 years ago,"i like how she brought her pups and her lamb 
the lamb is so cute!
i was really satisfied with this vid, it had really good sounds to it","我喜欢她如何带来幼崽和羔羊
羔羊真可爱！
我真的很满意这个vid，它的声音真的很好"
41678,UgyjXRHd_c73BsIuVoR4AaABAg,191,4 years ago,"wow, you really live in the heaven! the heaven of fresh fruits!",哇，你真的住在天堂！新鲜水果的天堂！
18774,UgwbibGMiyzwPEpnF_94AaABAg,186,3 years ago,"wait a minute , there are dislikes for this ? really ? 

sick people 

they are the reason our lives isn't heavenly like the one in the video","等一下，对这个不喜欢吗？真的 ？

生病的人

这是我们的生活不像视频中的天上的原因"
18320,Ugw80zM44ACWUv2fPGx4AaABAg,182,3 years ago,"she’s so strong. those baskets balanced on her shoulders are heavy. pomelos and ponkans are watery fruits, and they’re really heavy.",她很坚强。那些在她肩膀上平衡的篮子很重。 Pomelos和Ponkans是水的水果，它们真的很重。
23629,UgwpCFZj1EV4wAug2dt4AaABAg,166,3 years ago,sounds stupid but i have to say that i really want to cry after seeing this video. the heaven should be like this!,听起来很愚蠢，但我不得不说我真的想在看这部视频后哭泣。天堂应该这样！
35713,UgwzksranQ1ipyZUEqB4AaABAg,146,4 years ago,"just realised that her oven take on the silhouette of a dog and the board is in the shape of the bone, 3:22 really cute! also grandmother's hat at 9:29 is really cute too xd",刚刚意识到她的烤箱沿着狗的轮廓搭配，木板处于骨头的形状上，3:22真的很可爱！还有祖母的帽子在9:29真的很可爱xD
32160,Ugx1LXTsr5AkRIsGb_p4AaABAg,144,4 years ago,"i love that anyone can watch these amazing videos, there is no real language barrier or anything! i wish i was as talented as her",我喜欢任何人都可以观看这些令人惊叹的视频，没有真正的语言障碍或其他任何东西！我希望我像她一样有才华
5993,UgzEqCYo4MWItFFqut54AaABAg,143,2 years ago,"every time when i feel overwhelmed by all the annoying things in life, i'd come back to her videos. her videos really sooth me and help me find peace.",每当我对生活中所有烦人的事情感到不知所措时，我都会回到她的视频上。她的视频确实舒缓了我，并帮助我找到和平。
34949,UgxHJ5YCpiZzJNrJhHp4AaABAg,141,4 years ago (edited),"this channel is really awe inspiring. from the cooking and food presentation, and the music chosen. totally transports me to a fantastical realm. the production is really top quality. super fan here thank you!",这个频道确实令人鼓舞。从烹饪和食物演示以及选择的音乐中。完全把我带到了一个梦幻般的领域。生产确实是最优质的。超级粉丝在这里谢谢！
33679,UgzWN181mjwUa1cYTEF4AaABAg,122,4 years ago,"fairy tales type of girl, beautiful hardworking...
you are real cinderella...
your house, garden , forest., utensils , everything is like a fairy tale story...","童话类型的女孩，美丽的勤奋...
你是真正的灰姑娘...
您的房子，花园，森林，餐具，一切都像一个童话故事..."
22624,UgzSOoLeC0Mde95j3GN4AaABAg,120,3 years ago,"i really love how her puppies and sheep following her, it is so cute !",我真的很喜欢她的小狗和绵羊跟随她，真可爱！
37330,Ugx-bW43HEO4tept_-N4AaABAg,119,4 years ago,i didnโ€t realize i was so lucky while i was a kid๐๐,我没意识到我还是个孩子很幸运
21008,UgxAvEm9E-OR-TCgCHd4AaABAg,114,3 years ago,when you can smell all the foods she cooks while watching. this girl is really really good at cooking.,当您可以在观看时闻到她烹饪的所有食物时。这个女孩真的很擅长做饭。
37022,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uV19axRRTq,114,4 years ago,wait- i thought this was from a drama. wow canโ€t believe this is real. she is my aesthetic lmfao,等待 - 我以为这是一部戏剧。哇不敢相信这是真实的。她是我的美学lmfao
27181,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zPo9chpbST,108,3 years ago,but is it real? because im a big fan of her๐,但是它是真的吗？因为我是她的忠实粉丝
30504,UgyyuLcCHPvAm002yMt4AaABAg,103,3 years ago,we can see that she really works total hard for this video.. her messy hair describes everything. thank you for the beautiful video โค๏ธ,我们可以看到她确实为这段视频完全努力。她的头发描述了一切。谢谢您的美丽视频❤️
3070,UgycWxbG6LfdBuBlkXd4AaABAg,101,1 year ago,"those two puppies are so cute, and there is a goat, it is really a fairyland on earth",那两只小狗太可爱了，还有小山羊 ，真是人间仙境
11412,Ugw4x88DGNwK73gpB6l4AaABAg,101,2 years ago,"she is so strong,she did so many thingsssssssss from collecting,cooking until serving,wonderwoman in real world๐๐๐",她是如此坚强，她从收藏，烹饪直到服务，在现实世界中的奇妙女性做了很多事情。
29303,UgwdVDks-QjjWNlASBl4AaABAg,95,3 years ago,when i watch her videos i feel in fairy world..so emotionally appealing!! i really want to meet this chinese angel and hug her !! lots of love from india,当我观看她的视频时，我会在童话世界中感到。我真的很想见这个中国天使，拥抱她！来自印度的很多爱
26237,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zpaKgdDgF0,95,3 years ago,oh i know how you feel. i'm really proud of you!,哦，我知道你的感觉。我真的为你感到骄傲！
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,4 years ago,fantastic fantastic fantastic really i liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy chinese new year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
9712,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9H-bByCbp4x,90,2 years ago,"in my humble opinion maybe it's because by default we humans used to live like that way, to peacefully co exist with our surroundings. we're trapped in a society where we live for work and superficial power and success. maybe we just gotta accept that those things weren't really our nature but to rather live peacefully just like her would be much more fulfilling eh?",我的拙见，也许是因为默认情况下，我们人类曾经像这样生活，与周围环境保持和平。我们被困在一个生活，肤浅的力量和成功的社会中。也许我们只能接受那些事情并不是我们的本性，而是像她一样和平地生活，就像她更充实吗？
25298,UgxpiJzgA6cyWozX9R54AaABAg,89,3 years ago,who the hell are these 15k+ dislikers? i really am curious now! the dislikes seem disproportionate somehow. anyone else agree?,这些15k+不喜欢的人到底是谁？我现在真的很好奇！不喜欢的人似乎不成比例。还有其他人同意吗？
26238,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zqFED0sAeY,89,3 years ago,hi i'm from india.. she is really amazing.. lot of love from india ๐ค—,嗨，我来自印度..她真的很棒..来自印度的很多爱
9206,Ugw_Sq-asajwM0tM-JV4AaABAg,81,2 years ago,"she's like a real life anime character.
very wholesome video!","她就像现实生活中的动漫角色。
非常有益健康的视频！"
23132,Ugwgt34w5aNKf6467zt4AaABAg,77,3 years ago (edited),"i really like the japanese and chinese culture, filled with peace, harmony, in love with nature, satisfying.. it's such an exquisite thing to watch. god bless that girl and you all. thanks for reading my comment. have a great day ahead!",我真的很喜欢日本和中国的文化，充满了和平，和谐，爱上自然，令人满意..这是一件精美的事物。上帝保佑那个女孩和你们所有人。感谢您阅读我的评论。祝您有美好的一天！
15611,Ugwdi_W_rfeZrUhMWa14AaABAg,77,3 years ago,suddenly the my microwave popcorn seems really underwhelming,突然，我的微波爆米花似乎真的很卑鄙
33214,UgyZlshMYDW0_Bc6rcJ4AaABAg,75,4 years ago,"i really enjoy this video. itโ€s so nice and homely... but the digimon music turned me nostalgic and more comfy. 
hugs from mexico","我真的很喜欢这个视频。真是太好了...但是，数码兽音乐使我怀旧，更舒适。
从墨西哥拥抱"
37025,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uX2M8LDrvr,74,4 years ago,"it is like a tv show. 
this is not her real life. she is doing all those things for the camera and her subscribers.","就像电视节目。
这不是她的现实生活。她正在为相机和她的订户做所有这些事情。"
6328,UgyPM-2Yk_fhUweauTB4AaABAg,71,2 years ago,"i also grew up in rural china, and although the content of the video is very different from the real-life of most of us rural people, i have to admit that her videos are exceptionally well done, and i really like her videos",我也在中国农村长大，尽管视频的内容与我们大多数农村人的现实生活截然不同，但我必须承认她的视频做得非常好，我真的很喜欢她的视频
960,UgxrOfdEb8ZfmYaauWl4AaABAg,71,7 months ago,"i have been reminiscent of n times, and i have been watching it all the time. it โ€s really a lot of wonders. when will li ziyi come back? wait for a long time and miss it!",我已经回味N次了，一直看一直看，真的是百看不厌，李子柒什么时候回来呢？等好久、好怀念啊！
15558,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p99dXFjJWa4h,71,3 years ago (edited),@lindseyrubenstein6028 oh really you don't get scared by loud noices what a braveheart. i'm still get scared by loud noices. and i think it's normal for humans to get scared by loud noices. you must be an extraordinary person,@lindseyrubenstein6028哦，真的，你不会因为大声的勇气而害怕。我仍然被大声的声音吓到了。而且我认为人类被大声的声音吓到是正常的。你必须是一个非凡的人
21222,UgzU8EfG12_tYDCexlh4AaABAg,70,3 years ago,"it's like watching and historical drama with soothing music and deep down she seems like a special girl...sticks tot the traditional way... for some reason, although she didn't say anything just do her work it means she's focusing and confidence of her ability....its really good to watch...sooo calming",这就像看着和历史戏剧，充满舒缓的音乐，深处她看起来像个特殊的女孩...以传统的方式粘贴在一起...由于某种原因，尽管她什么都没说，但她的工作没有做任何事情，这意味着她正在集中精力和自信她的能力....真的很好看...太平静了
47819,UgzPMa0eCR_UApYar1R4AaABAg,69,4 years ago,"hi. . i come from russia. thank you. i got a lot of fun. beautiful videos, beautiful music. really like.",嗨。 . 我来自俄罗斯。多谢。 . 我得到了很多乐趣。美丽的视频，优美的音乐。真的很喜欢。
33762,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vdso7ou4My,68,4 years ago,"i really wish to experience lifestyle like this someday. if not now, then when i retire.",我真的很想有一天能体验到这样的生活方式。如果不是现在，那我退休。
4532,Ugyp7-T49IaiYft3_It4AaABAg,65,1 year ago,i really like watching your videos and as someone who’s really into cultural history and related topics it’s very nice to see traditional chinese methods that you use ! loads of love from bangladesh,我真的很喜欢观看您的视频，并且作为真正从事文化历史和相关主题的人，很高兴看到您使用的传统中国方法！来自孟加拉国的大量爱
43781,UgyyBm-8_ZYK8anhOLN4AaABAg,64,4 years ago,is this real? i mean she has everything fresh. it is too good to be true and im sure they have production crews. i mean come on camera man are sure everywhere!,这是真的吗？我的意思是她有新鲜的一切。真是太好了，我确定他们有生产人员。我的意思是，摄影师肯定到处都是！
29927,Ugzqygpa7z5-mKY8azh4AaABAg,63,3 years ago,"i really love the nature around you so much, wonderful girl

wish you good health!","我真的很喜欢你周围的大自然，很棒的女孩

祝你身体健康！"
4231,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9SJwqBQjELa,62,1 year ago,"@quito787 staged in what way? well, of course she has to prepare certain camera angles before she records her actions... but are you implying that her ""real"" lifestyle is not according to the way that she shows in her videos?",@quito787以什么方式上演？好吧，当然，她必须在记录自己的动作之前准备某些相机角度……但是您是否暗示她的“真正”生活方式并不符合她在视频中显示的方式？
51106,Ugwz9VJ9cLA6bf7noER4AaABAg,60,4 years ago,"apple 
there is also there too
looks delicious
chestnuts also look delicious

in such a nice place
making sweets, cooking,
i really yearn for it ✨

is the camera improved?
the image quality is very beautiful ✨","苹果
也有
看起来很美味
栗子也看起来很美味

在这么好的地方
做糖果，烹饪，
我真的很渴望

相机改善了吗？
图像质量非常漂亮✨"
21207,UgxPn91sUsWYBwhEF1J4AaABAg.93uKWsEplVV93x_937hx_a,60,3 years ago (edited),elns watching people making popcorn like that was one of the happiest things in my childhood. back then we had very few snacks or food. the popcorn guy walked town to town. when he came to our neighborhood we were really happy. we brought our own rice or corn kernel and only paid him several cents for making popcorn. he roasted his tightly sealed pot over fire. at the end he released the lid and it made a super loud sound. and we the children just jumped away with laughter.,Elns看着人们做爆米花的人是我童年时代最快乐的事情之一。那时我们有很少的小吃或食物。爆米花的家伙走到城镇。当他来到我们附近时，我们真的很高兴。我们带来了自己的米饭或玉米仁，只付了他的几分钱来制作爆米花。他在火上烤了紧密密封的锅。最后，他释放了盖子，它发出了超大的声音。我们的孩子们只是大笑起来。
45269,Ugy7Zl3Xx4CNZLu90Jx4AaABAg,60,4 years ago,i really want to try/make the snow crisp...,我真的很想尝试/使雪酥脆...
33774,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w0tzQivjZv,59,4 years ago (edited),"maria moonsoon thank you! edit: people need to start differentiating stuff seen on screen and stuff seen in real life. yes, it looks beautiful on screen, but i doubt many people would truly enjoy this life style in real life. the stuff on screen only seems beautiful because it has scenes cherrypicked from reality.",玛丽亚·穆恩（Maria Moonsoon）谢谢！编辑：人们需要开始区分屏幕上看到的东西和现实生活中看到的东西。是的，它在屏幕上看起来很漂亮，但我怀疑许多人会真正享受现实生活中这种生活方式。屏幕上的东西似乎很漂亮，因为它的场景是从现实中挑选出来的。
39694,UgwQcWZrlXAU2kq2xUp4AaABAg,58,4 years ago,"i scared and jumped up, it's really cute
่ฑ seeing the full english comments below, i really feel happy for you. people in different countries like your videos very much, and people who watch it also feel easy and happy. i wish you and grandma who can live a happy and healthy manner every day like now ๐","吓到跳起来那下真的太可爱了
"
15936,Ugy8Uw6Od4_Wr7nvFkR4AaABAg,58,3 years ago,"i don't understand why there are 25,000 people who don't like this video. such an excellent work is really beautiful. i hope li ziyi's life will continue to be so beautiful.",我不懂为什么会有2万5千人不喜欢这个视频。这么优秀的作品真是太美了，希望李子柒的生活继续这么美好。
14512,UgyJkhMiaXH04REetKp4AaABAg,55,2 years ago,"girl zi, you are great! your video is exquisite and real, which inspires my memories as the chinese. for thousands of years, our ancestors have been diligent and capable like you, and they are working hard, sunrise, and chunhua qiu shi ... i hope that the chinese can return to the original origin of life. one day, oriental civilization returns.",子柒姑娘，你太棒了! 你的视频精致而又真实，激发了我作为中国人的回忆。几千年来，我们的祖祖辈辈就是象你这样勤劳、能干，日出而作，春华秋实…… 希望中国人能回归生活的本原，有朝一日，东方文明回归。
38165,UgwSit0PDbvMnU3tayJ4AaABAg,51,4 years ago,it's a real life fairytale๐ a world full of beauty and no technology ๐,这是一个现实生活中的童话，一个充满美丽的世界，没有技术
16845,Ugye3sesHYiU8p75_dd4AaABAg,50,3 years ago (edited),"this life is commendable for innumerable reasons. it is self-sustainable (which is something we can only wish we had), there are healthy and nutritious food options provided by nature's bounty, there is little to no need of harmful chemical-based products, and more importantly all the members of the ecosystem are benefitted. i hope people realize just how wonderful living like this is.",由于无数的原因，这一生活值得称赞。它是自我维持的（这是我们只希望拥有的东西），有自然的赏金提供的健康且营养的食物选择，几乎不需要有害化学物质的产品，更重要的是所有成员生态系统受益。我希望人们意识到这样的生活多么美好。
2974,UgxG_0rGSXX1DvWsRxF4AaABAg,48,1 year ago,it was quite sometime when i realize that thid wasn’t her first video but this was the first one i saw and i keep coming back. the shots and the blend pf the music is almost fairy tale like. everyone should know and appreciate how much hard work went into this video and i love every second and minute of it.,有时我意识到，这不是她的第一个视频，但这是我看到的第一个视频，我一直回来。镜头和混合PF音乐几乎是童话故事。每个人都应该知道并欣赏这段视频中的辛勤工作，我喜欢它的每一分钟和分钟。
14119,UgwdK_RLg87nT1M_T2d4AaABAg,47,2 years ago,i don't know why i really like liziqi.. so natural.. cute.. wnderfull life in her village make my heart so happy.. love you liziqi.. from indonesia,我不知道为什么我真的很喜欢Liziqi ..如此自然..可爱.. Wnderfull的生活使我的心变得如此快乐..爱你Liziqi ..来自印度尼西亚
30289,Ugy6JrTPht_jLiRRDm94AaABAg,46,3 years ago,there are not so many girls like her nowadays. a hard working girl and i'm really imprrssed with the way picking up 2 basket full of fruits is impressive. salute for girl like her,如今，没有那么多女孩。一个努力工作的女孩，我真的很不满意，因为捡起2个装满水果的篮子的方式令人印象深刻。像她一样向女孩致敬
35574,UgxMNV1wT5Az_R6nxqd4AaABAg,45,4 years ago,i just discovered the real life mulan. this is my new favourite channel,我刚刚发现了现实生活中的木兰。这是我最喜欢的频道
5399,Ugwqvmf7kfb71sksyB94AaABAg,44,1 year ago (edited),"something great to watch when i’m stuck in bed, depressed and sick. it definitely brings me joy to see people like this out there

i have a bad immune system, soo it’s really disappointing to me when i get sick..again","当我躺在床上，沮丧和生病时，值得一看的东西。看到这样的人，我肯定会让我高兴

我的免疫系统不好，当我生病时，我真的很失望。"
22113,Ugz_rMHrYJ9bOe3QpG94AaABAg,44,3 years ago,"she's living the real life. while we all are here gossiping ,scamming ,runnin after money .hurting each other .political issues. she's living the life that i wish i had ,one with nature .all the freshness around her....i really love and admire her hard work ๐ข๐ข๐ข๐ง๐๐",她过着现实生活。虽然我们所有人都在这里闲聊，骗子，奔跑，互相抚养。政治问题。她过着我希望的生活，与大自然的生活。她周围的新鲜感。。。
446,UgzmRKNOgAD9sE9Bpd14AaABAg,42,3 months ago,i really miss the new videos and constantly review the old ones. never tired of it!) i really hope that lee and her grandmother are fine!,我真的很想念新视频，并不断地评论旧视频。永远不要厌倦！）我真的希望李和她的祖母很好！
33776,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w2JTvzeW-S,42,4 years ago,"justicefornichole hmm, i wouldnโ€t say the entire thing is faked. but i do think that the video only shows the positives of living in rural areas (which gives people a false/delusional sense of what itโ€s really like to live in the rural areas).",JusticeFornichole嗯，我不会说整个事情都是假的。但是我确实认为该视频仅显示了生活在农村地区的积极因素（这使人们对生活在农村地区的真正感觉有着错误/妄想的感觉）。
4236,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9SWvVdjSGgl,41,1 year ago (edited),"more of a real life recording than staging. incredible genius and artist 

of course now ziqi can afford any kind of “staging “ . but she does not need it. 

her cost of making each video is almost neglect-able relative to the money she is getting out of it. 

a real person in life. a loving granddaughter. a real “people’s artist “and, an amazingly hard worker 

ziqi is going to write a book 《the art of making money 》","更多的是现实生活中的录制，而不是舞台。令人难以置信的天才和艺术家

当然，现在Ziqi可以负担任何类型的“分期”。但是她不需要。

相对于她从中赚钱的钱，制作每个视频的成本几乎是可忽略的。

生活中的真实人。一个充满爱心的孙女。一个真正的“人民艺术家”，一个非常勤奋的人

Ziqi将写一本书《赚钱的艺术，并将在第一张印刷品上打印100万张。"
34588,UgwsmwvcLDkPPQyKcIB4AaABAg.8uzOrtFqjkV8vCg0LASNUG,41,4 years ago,that was really cute honestly haha she's covering her grandmas ears and then she freaks out,老实说，那真的很可爱，哈哈，她遮住了祖母的耳朵，然后她吓坏了
18779,UgzKtMUUDBRw818B_xp4AaABAg,39,3 years ago (edited),"watch more than 49 million times. essence it's almost 5 million real cows
when she looks at what she does, she has appetite and wants to eat, especially the snowflake crispy mango. essence","四千九百多万次观看。。快五千万了 真的牛
她做的东西看着就有食欲 想吃 尤其是那个雪花酥 芒果干。。"
28829,UgzdklCZxyqZVL_9pL14AaABAg,38,3 years ago,"day by day i am watching her video.....i am speechless......speechesss.....what is she....?????!!!!
awesome....she just live in heaven.......really.....can not believe my eyes.so relaxing .i am just adicted....anyone else?","我每天都在观看她的视频.....我无语......演讲.....她是什么.......... ????? !!!!
太棒了....她只是住在天堂....真的.....真的.....不敢相信我的眼睛。"
22742,UgzE89dV4ZcNMcuX4bF4AaABAg,37,3 years ago,disney princesses in real lifeโค,现实生活中的迪士尼公主
23362,Ugwogx_XFxCEMi5X33N4AaABAg,36,3 years ago,"if you look at her hands closely u can tell she is really farmer , really real videos ,i love it",如果您仔细地看着她的手，您可以告诉她她真的是农民，真的很真实的视频，我喜欢它
10852,Ugx9y9WodGdbDIsyOBh4AaABAg,36,2 years ago,"this is my favorite video. all work, finish, landscape, and women's gestures are really healed.",这是我最喜欢的视频。所有的工作，饰面，景观和女性手势都已得到治愈。
29428,Ugz2Afpf5mcATfidphd4AaABAg,34,3 years ago,"the real question is ""who is the camera man?""",真正的问题是“摄影师是谁？”
7525,UgzNrsIZv0w0zdk12vd4AaABAg,33,2 years ago,"when i watched this, i was really impressed to see her very diligent and skillful daily activities...",当我看这件事时，看到她非常勤奋和熟练的日常活动给我留下了深刻的印象。
9095,UgwFRntsacD5CTCgP_l4AaABAg,31,2 years ago,i just realized that the tiny lamb is following her around like her tiny dogs hahah so cute,我只是意识到那只小羔羊像她的小狗一样跟随她，哈哈太可爱了
28682,UgzzufmWX44VML3gKRN4AaABAg,31,3 years ago,"good friends: there are no background music, nuts, cut vegetables and water, and the surrounding birds are called insects, or grandma and animals have sounds. the real voice is the essence of everyone. we have no nature, no fields, no zen. without slow man's life, please give us these people who live in the city. everything is used to buy money. the people who are controlled by money are alive. please, thank you.",好朋友:没有背景音乐，坚果，切菜洗水跟周围的鸟叫虫鸣或是奶奶跟动物生声音，真实的声音才是阅众要的，我们没有大自然，没有田，没有禅意，没有慢曼的生活，请给我们这些生活在城市里，每一样东西都用钱买，被金钱控制的人一点活着的感觉，拜托，谢谢。
51663,UgxsxcKZBTEGLcFy4n54AaABAg,30,4 years ago,amazing video. the nature is so beautiful and the food looks really delicious. i love it how you show everyone how our ancestors lived⚒️because of your videos i want to visit china. greetings jasmin,惊人的视频。大自然是如此美丽，食物看起来真的很美味。我喜欢它，您如何向所有人展示我们的祖先如何居住⚒️，因为我想访问中国的视频。问候茉莉
14040,UgwKBmmKyRns1xTtCuR4AaABAg,30,2 years ago (edited),"i really want to meet her.

who else wants too!!","我真的很想见她。

还有谁也想要！"
6497,UgxzX06sixTQGjcrUbV4AaABAg,28,2 years ago,watching these videos makes me realize how terrible and far we have detached ourselves from true life. no wonder people have some much chronic stress and health issues.,观看这些视频使我意识到我们已经与真实生活脱节了。难怪人们会有很多慢性压力和健康问题。
52310,UgxNkvEez1G1DIlPjZ94AaABAg,26,4 years ago,10 minutes ..... ziyi rarely has such a long film. this issue can be really enjoyable! ... i hope the future films can be longer .. otherwise,10分钟.....子柒很少有时间这么长的影片.这期看得真过瘾!...希望以后的影片也都能加长些..不然总是意犹未尽❤❤❤
23129,UgxOxDUMwQ6VYP3KV-l4AaABAg,26,3 years ago,talents are definitely talents. this is the real short video,人才，绝对是人才。这才是真正的短视频
23453,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92Q88Gm8euL,26,3 years ago,"so i hope china is still around the wall, otherwise there are some fools to spray again. since going abroad, some people have really been unable to describe in china. it is really a good thing to give foreigners such an impression, let them understand the cultural traditions and scenery of china.",所以我希望中国还是一直墙着吧，不然有一些傻子又要喷了。自从出国以后越发觉得国内有一些人真的无法形容。能给外国人一个这样的印象真的是好事，让他们了解中国的文化传统，风景。
25681,Ugy-FaJ7VGenIajsHHp4AaABAg,26,3 years ago,"there are a lot of fans abroad ...
ziyi's video is really super high quality","国外的粉丝好多..
子柒的影片真的超级优质"
5575,UgzUF5WipaM77Mhs8Kx4AaABAg,25,2 years ago,this makes me want to detached myself from reality and just peacefully lived in the mountains.,这使我想脱离现实，并和平地生活在山上。
10870,UgyPnd9ImxLsy8UKjuF4AaABAg,25,2 years ago,oh no those baskets looks really heavy.and she's carrying them on the ahoulders. poor girl.shes amazing in whatever she does,哦，没有那些篮子看起来真的很重。可怜的女孩。她做什么
9037,Ugz2_YEwH8ojWbwh4ph4AaABAg,24,2 years ago,ziyi showed the real farmers of rural china and ordinary daily life so beautiful!,子柒把中国农村的真实农作及平凡的日常生活展示的如此美丽！
34371,Ugy9Gua_ThhMeAwifHN4AaABAg.8v49t1LxqD68v9t5zxZ-cv,24,4 years ago,those are the people who just realized how much they are wasteing their life,那些只是意识到他们浪费自己的生活的人
