,cid,votes,time,含real,含real中文翻译
15849,UgzXqMmiTZGBoG3lg7x4AaABAg,135,3 years ago,"as a european, i have never had the tangent with the specific food to the area you are from, what you cook, i call healthy food, all kinds of nutrients and vitamins etc, exactly what the body needs. i really like your lifestyle, even if you do not show it all, but seeing from the big perspective you lead a healthy life, we should take an example from you. greetings from romania :)",作为欧洲人，我从来没有与您来自该地区的特定食物，您烹饪的东西，我称之为健康食品，各种营养素和维生素等，这是身体所需的。我真的很喜欢您的生活方式，即使您不展示所有的生活方式，但是从大的角度来看，您过着健康的生活，我们应该以您的榜样为例。罗马尼亚的问候:)
24279,Ugw6-Fyh1Ixq0BuXkIZ4AaABAg,125,3 years ago,"everytime i watch your video, feels like i'm on the fairytale. the water sound, the animal sound, even the tree when the wind blow it feels so real in my beside",每次我观看您的视频时，都会感觉就像我在童话中。水的声音，动物的声音，甚至在风吹时，在我旁边感觉如此真实
17966,Ugy9Dzd0HKEAe92QJqh4AaABAg,111,3 years ago,am i only one feel cooking a real chinese traditional food is complicated like alchemy. lol,我只有一个人觉得烹饪真正的中国传统食物像炼金术一样复杂。哈哈
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,3 years ago,"in order to write the college entrance examination composition to watch my sister's video ... i really envy my sister's life like this. after reading it, i was so moved. i was very happy to see foreign netizens' messages! intersection thank you sister for the help of spreading chinese culture, and thank you for your dreams for so many people. this may be your dream ~ i'm happy for you. thanks a lot! intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
19034,UgyhSJHbnccPmF2NewB4AaABAg,95,3 years ago,"as a chinese, i must tell you all that the river snail rice noodle is smelly(because the sour bamboo shoot is smelly) but taste really good.",作为中国人，我必须告诉你所有的蜗牛米面条臭（因为酸竹芽臭），但味道真的很好。
23434,UgzUJFsjexVHtAYIVQp4AaABAg,95,3 years ago,"whoever is married to this woman is one lucky dude!
she is a real artisan. 
this like what my grandma and mother used to do, everything from scratch. wonderful.","与这个女人结婚的人是一个幸运的家伙！
她是一个真正的工匠。
这就像我奶奶和母亲过去所做的一切一样，一切都从头开始。精彩的。"
997,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9bu9UTZZM0D,88,1 year ago,i also think that no one can surpass ziyi's video works. i really want to see her new work again,我也这么觉得，没有人可以超过子柒的视频作品，真的好想再看看她新的作品
19350,UgxWWLZSky29EJsezpp4AaABAg,83,3 years ago,"this is basically studio ghibli in real life... so peaceful, so beautiful, so natural and so holistic, what a life.",这基本上是现实生活中的吉卜力工作室……如此宁静，如此美丽，如此自然，如此整体，多么美好。
7695,UgwEHsAWBrM1DUp09dN4AaABAg,77,2 years ago,"the real question is when shes gonna drop a cookbook! every time i watch a video, i have to leave and cook something bc everything she makes looks delicious and it makes me hungry lmao",真正的问题是她何时会放下一本食谱！每次我观看视频时，我都必须离开并烹饪一些她所做的一切看起来很美味的东西，这让我饿了
31839,UgwcNqMFyyFbcw-g-Eh4AaABAg,72,3 years ago,"while i'm laying in this bed... in this boring hospital.. while watching your video suddenly my tears just fall down.. my mom ask me why i'm crying i just answered "" mom, can we visit her before i die"" my mom came and hug me while crying...... "" sure baby but promise me you need to be strong, ok"" 
"" sure mom""... 
thank you for making this movie. i really love it❤️❤️❤️ i wish someday soon i will going to be in a place like that","当我躺在这张床上...在这家无聊的医院中..当您的视频突然看我的眼泪时。死了“我妈妈在哭泣的时候来拥抱我..............................................
“确定妈妈” ...
感谢您拍这部电影。我真的很喜欢它❤️❤️❤️我希望有一天我很快就会成为这样的地方"
3613,UgxDrz78yz2MbmuWXKd4AaABAg,67,2 years ago,hello from spain: i impatiently expected a new video you are an artist cooking and doing everything i look reflected in you i also make the arrangements of the casa del campo and the animals we live in the field and we take care of our animals that feed us. keep doing videos i really like a very strong hug,来自西班牙的您好：我不耐烦地期待一个新视频，您是一名艺术家烹饪，并做我看起来很反映在您身上的一切，我也做了Casa del Campo和我们生活在田间的动物的安排，我们照顾好我们的动物我们。继续做视频，我真的很喜欢一个非常强烈的拥抱
4187,Ugz0fOYcp3pdjVTAsdt4AaABAg,67,2 years ago,"this is really the favorite channel. i often look at the whole family, while watching the distant motherland, is there the same as me?",这真的是最爱的频道了，经常全家四口一起看，边看边想着遥远的祖国，有和我一样的吗？
27148,UgyRv5uEXzE0WSsa04x4AaABAg,66,3 years ago (edited),"as far as the video is concerned: we live in the earth, princess lives in fairy tales, and you live in poetry. of course, reality is not so beautiful, but you let us experience it in the video, which is enough for our audience! thank you, come on.",就视频而言：我们活在尘世，公主活在童话，而你 生活在诗里。当然，现实没那么美好，但你让我们在视频中 体验了一下，对我们观众而言 足够了！谢谢，加油。
18377,UgwdzQh2Ul3-G5iLe_F4AaABAg,60,3 years ago,"it's really a beautiful life! not to mention foreigners, i am envious of my chinese people seeing ~ come on, zi yan",真真是意想中的美好生活!别说外国人了，我一个中国人都看的心生羡慕~ 加油，子柒
24867,UgwNbCpU6Bu3-5x6qAV4AaABAg,60,3 years ago,i really love your channel and what you do. i finally found a channel with no hate comments . who could any one not like this. i actually started a garden because of you . thank you so much for the inspiration❤️❤️,我真的很喜欢您的频道以及您的工作。我终于找到了一个没有仇恨评论的频道。谁能不这样的人。我实际上是因为你而开了一个花园。非常感谢您的灵感❤️❤️
29809,Ugx2hZVd-RV0W0AJc114AaABAg,58,3 years ago,"really adorable videos, great movie experience!",真的很可爱的视频，很棒的电影体验！
1651,Ugx4g3-WEQ5O85RbgLd4AaABAg,58,1 year ago,"i've tried some dishes of oriental cuisine, especially china and japan and say: there is a natural sensitivity in the way of doing and proving! i really like!!
congratulations to this beautiful girl!","我尝试了一些东方美食，尤其是中国和日本的菜肴，并说：做和证明的自然敏感性！我很喜欢！！
祝贺这个美丽的女孩！"
30193,UgxrXJV7z1h2IN21zHZ4AaABAg,57,3 years ago,"i really want to meet her and say...
thank you... those twenty minutes were completely worth it...","我真的很想见她说...
谢谢...那二十分钟完全值得..."
30049,UgzkWjFKEzhvJhGj4Bp4AaABAg,55,3 years ago,"i am really gonna visit this place 
who all are coming with me","我真的要去这个地方
谁都和我一起去"
4551,UgzsYjL8Vp2YVP-cX894AaABAg,53,2 years ago,"hello, li ziqi. i am from indonesia and i really like you. the spirit of making videos. and don't forget to take care of your health. because many people like your video, i love you. bleak",你好，李子琦。我来自印度尼西亚，真的很喜欢你。制作视频的精神。并且不要忘记照顾自己的健康。因为很多人喜欢你的视频我爱你。
30836,Ugzf-Ba_7Ta567eN_m94AaABAg,50,3 years ago,she’s got a shit ton of produce but wat really is impressive that she finds a way to preserve it,她有很多农产品，但沃特确实令人印象深刻的是，她找到了一种保存的方法
17443,UgyxjCNw7PcHy00mFTh4AaABAg,45,3 years ago,now that is real chinese food not the fake stuff i just ordered.,现在，这是真正的中国食品，而不是我刚刚订购的假物品。
33416,Ugy03CkKsPIFS7k_9nV4AaABAg,44,3 years ago,"i bet her life is so peaceful...and yet again she is a huge role model for all of us in this materialistic world
...
proud of her... i thank youtube for recommending this channel to me.......
its really great....","我敢打赌，她的生活是如此和平……而且她又是这个唯物主义世界中所有人的巨大榜样
...
为她感到骄傲...我感谢YouTube向我推荐此频道。
它真的很棒。"
15371,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss93PXkeXUCEo,42,3 years ago (edited),"lumine moon, oh.... even here in india, it's not rare. but the beautiful farms, woods and the great weather really makes the video like a fairytale.",Lumine Moon，哦。。。即使在印度，也不是罕见。但是美丽的农场，树林和伟大的天气确实使视频像童话一样。
20621,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg,41,3 years ago,it's really great video! thanks to the girl to show more people's lives to more people! i wish you and your grandma healthy and happy! i do n’t know who has such a good blessing to marry such a daughter -in -law!,真的是很棒的视频啊！感谢姑娘把真实的美好的中国人的生活展现给更多人!祝你和你奶奶健康快乐!不知道谁有这么好福气能够娶到这样的媳妇啊！
32757,UgyYDVEOAlXNCukIO0R4AaABAg,40,3 years ago,"she is the real princess she lives in beautiful paradise she love her grandma &people around her,she loves working,harvesting,cooking and everything there and one they she will find the future prince they will life happy in peace forevr",她是她生活在美丽的天堂中的真正公主
17923,UgxVd4SOGXAYOUDQbkJ4AaABAg,39,3 years ago,"admire. i need to change the water to the food snail powder once and the people who feel troublesome to add a bag of condiments to see it. seeing that the production process of this snail powder is actually comfortable. sometimes the fast -paced life of the city really makes people upside down, but despise the most basic clothing, food, housing and transportation in life",佩服。我连买速食螺蛳粉需要换一次水和把一袋袋佐料往里加都觉得麻烦的人，看这个螺蛳粉制作过程居然产生舒适。有时候都市快节奏生活确实让人本末倒置，反而轻视生活中最基本的衣食住行
27667,Ugw5SPAaBjoM3msS03V4AaABAg,36,3 years ago,this seem like i watched an hour and a half long movie! so tranquil i really enjoy,好像我看了一个半小时的电影！所以我真的很喜欢
23930,UgxHG0C2hISPwXyfeud4AaABAg,30,3 years ago,"your such an amazing lady, you make me realize to go back to my province",你真是个了不起的女士，你让我意识到要回到我的省
12015,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s986q6hjVcZ9,29,3 years ago,"@mahie56 i don't think she is an actress, these scenes, is her real life and also the real life of most chinese people who live at rural area.",@mahie56我不认为她是女演员，这些场景是她的现实生活，也是大多数居住在农村地区的中国人的现实生活。
27613,UgyQ5qViNvz63BDZfG94AaABAg,27,3 years ago,"hi, from chile, i really love your channel!",嗨，来自智利，我真的很喜欢您的频道！
25578,Ugyto8ccNQrr-DC3A_B4AaABAg,25,3 years ago,"i really amaze and envy also with her ""natural"" life - your new fans from indonesia.",我也对她的“自然”生活感到惊讶和嫉妒 - 您来自印度尼西亚的新粉丝。
16352,Ugz-PxPeXDViQ__23cl4AaABAg.92w9T32MS-2931-cj6qM1j,25,3 years ago,"it’s even more amazing how she knows almost everything! her cooking recipes are so complicated and different too every time! not to mention her knowledge in farming, crafting, sewing, etc. real life harvest moon protagonist, lol.",她几乎知道一切都更加了！她的烹饪食谱每次都如此复杂和不同！更不用说她在耕作，制作，缝纫等方面的知识。现实生活收获月亮主角大声笑。
15380,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss940kXrtZsuM,24,3 years ago,"strait arrow nmsl, your whole life is fake, so your dead brain could never believe anything in china is real",海峡箭头NMSL，您的一生都是假的，所以您的死脑永远无法相信中国的任何东西是真实的
34066,UgwyEMDGXKtRSLbR5GN4AaABAg,24,3 years ago,really so beautifull your videos i love your videos sister,真是太美了你的视频，我爱你的视频姐姐
26758,UgxV4FnquLweO_BNs-14AaABAg,24,3 years ago,"you're really good at cooking.
i really envy you for living in nature.
i don't have much credit.
i've seen","你真的很擅长做饭。
我真的很羡慕你生活在大自然中。
我没有太多的荣誉。
我见过"
23338,UgxxzZYtmymnL-RTVTl4AaABAg.8zlR9Q4Tov68zszmd-jfcE,24,3 years ago,no you can't use tap water. it's really important to use authentic ingredient in every step. you should go buy a mountain first.,不，你不能使用自来水。在每个步骤中使用真实成分非常重要。您应该先去买山。
16786,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92zrvrZ1LXm,24,3 years ago (edited),"@tehkettybear you definitely know a lot about china, i appreciate that.
i just have to remind you 2 things:
1. she's not filming documentary, it's an art work based on her dream of life
2. she's not actress, she's actually filming her hometown. they're real: the house, granny, field, and her personality, her willingness to learn skills on various works.
those real things add up to a seemingly unreal event, just because we can't do it doesn't mean she can't. i think she deserves this fame.","@tehkettybear，您肯定对中国有很多了解，我很感激。
我只需要提醒您2件事：
1.她不是在拍摄纪录片，这是基于她的生活梦想的艺术作品
2.她不是女演员，实际上是在拍摄自己的家乡。他们是真实的：房子，奶奶，田野和她的个性，她愿意学习各种作品的技能。
这些真实的事情加起来似乎是虚幻的事件，只是因为我们做不到，并不意味着她不能做。我认为她值得这个名声。"
34103,UgwntbwTrLS87gWdbwR4AaABAg,23,3 years ago,bamboo shoots are really delicious.,竹芽真的很美味。
3670,UgyqqtMxwUh9iG1BJoN4AaABAg,22,2 years ago,she's really amazing. uses each and every thing fully and never wastes anything. hats off to you ma'am,她真的很棒。充分利用每一件事，永远不会浪费任何东西。对你敬畏女士
34936,UgyWoKUW3E9J-T9K7714AaABAg,21,3 years ago,"i wish my mother -in -law healthy and long -lived ... ❤❤, i also bless the girl who is young and beautiful forever ... 's really wise ...",祝福婆婆身体健康、长命百岁……❤❤，也祝福柒姑娘永远青春美丽……
32333,UgyT5YqHs_v8ffhNx6F4AaABAg,21,3 years ago,"i really wish there was english subtitle or something , really wanna know what theres written there etc ^^",我真的希望有英文字幕之类的东西，真的想知道那里写了什么等等^^
1887,Ugww5ol5GJURmwgV0yR4AaABAg,21,1 year ago,i wish i could admire the landscape & experience real life with youtuber. thank you for contributing the truth of the peaceful countryside. i am vietnamese and i admire her.,我希望我可以欣赏景观并与YouTuber体验现实生活。感谢您贡献和平乡村的真相。我是越南人，我很欣赏她。
21488,UgxbGliUZtu7vULZE5R4AaABAg,21,3 years ago,this woman really deserves to be loved by her household.,这个女人真的应该受到她的家庭爱。
26999,UgySTRxH_M-qBYqsoGx4AaABAg,20,3 years ago,"i visited in a korean news article. the video is really pretty, and she is also quite beautiful. the whole green-colored video is really amazing. it's a comfortable video to watch.",我在韩国新闻文章中访问了。该视频真的很漂亮，她也很漂亮。整个绿色视频真的很棒。这是一个舒适的视频。
2783,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9TGliqAjNSs,20,1 year ago (edited),"you would want to live this kinda life for maybe 2months at best then you start missing all the convenience we have today. nobody really wants to do backbreaking work on fields all day with insects and other stuff. raising lifestock is also smelly as heck. don't forget all the mosquitoes and flies.

its also not all that uncommon to get parasites in you.

country life is hard and there are no rainbows.","您希望充其量可以过2个月的生活，然后您开始错过我们今天拥有的所有便利。没有人真正愿意整天用昆虫和其他东西在田野上做艰难的工作。升起的生命力也像Heck一样臭。不要忘记所有的蚊子和苍蝇。

在您里面得到寄生虫并不是那么罕见。

乡村生活很艰难，没有彩虹。"
20499,Ugz1ec5y2Fi5N2CAyFF4AaABAg,20,3 years ago,"seeing me is intoxicated, people are beautiful, li ziyi should really be a fairy",看得我如痴如醉，人美手巧，李子柒真的应该就是仙女了
11109,UgyU5DcrSTwyHceU6Ax4AaABAg,19,3 years ago,"her place,just like a real life ""paradise""..she's so talented,esp.in cooking,.fruits organic and,veggies.",她的位置就像现实生活中的“天堂”。她是如此有才华，尤其是在烹饪中，有机和蔬菜。
2366,UgydjI962gS1QDC0BVt4AaABAg,18,1 year ago,"you're so hardworking and beautiful, i love the simplicity. also you're a great cook, i would really like to learn some of your recipes",您是如此的努力和美丽，我喜欢简单性。另外，您是一个很棒的厨师，我真的很想学习您的一些食谱
11551,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw97uMqZ9iQ9n,18,3 years ago,"@riyaguria9609 i thought she didn't need a man to hold the camera, i mean she really can do something to hold it :) :))",@riyaguria9609我以为她不需要一个男人拿着相机，我的意思是她真的可以做一些事情来握住它:)）
26967,UgwITGMJzwNv1VoBUpV4AaABAg,17,3 years ago,i am chinese，i really love your videos.i hope that one day i can go home where my motherland.,我是中国人，我真的很喜欢你的视频。我希望有一天我能回家祖国。
22403,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-lhOpwUxK4,17,3 years ago,"@cyouchin5381 nope, as a chinese actually we hold cellphone whole day and busy in city life, that's why we love this lady so much either...she really doing what we enjoyed. in the deep mind of chinese , everyone is a farmer. we want to plant something but we have no time/skill.",@cyouchin5381 nope，作为一个中国人实际上，我们整天都拿着手机，在城市生活中忙碌，这就是为什么我们如此爱这位女士……她真的在做我们喜欢的事情。在中国人的深处，每个人都是农民。我们想种植东西，但我们没有时间/技能。
4164,UgwLNu47aRbiovdaVCF4AaABAg,16,2 years ago,"wonderful nature, i really miss my childhood memories in the village",奇妙的天性，我真的很想念我在村庄的童年记忆
17850,UgyleL6uGY8mI9t3PUx4AaABAg,16,3 years ago,"the color tone of the film has a lot of credit. i do n’t want to do this kind of farm work under the real color: think about how poisonous the sun is under the cicada, there are a lot of mosquitoes in the ground, and the courtyard of the chickens will not be the yard. there will be animals' feces, and it will be more troublesome to burn the pot and brush the pot. but the artistic conception of the video is very beautiful and yearn for it.",影片色调调的好有很大功劳，真实色彩下这种农活我是一点不想去干的：想想蝉鸣下的阳光有多毒，地里的蚊虫有多多，鸡鸣鹅叫的院子会不会有动物的屎尿味儿，土炕烧锅刷锅多麻烦，算了还是窝在家里吹空调舒服。但是视频展现的意境很美好，向往之。
25843,UgyyRYO-d4a-dm-sMKN4AaABAg,15,3 years ago,"zi yan is really good at cooking, depending on your ingredients can be so delicious, you want to eat",子柒真的好会料理，看你每一样食材都可以做到如此美味，看的都想食
17792,UgzNjAlpW0sWSQUe5HF4AaABAg,15,3 years ago,"i really like her food making video, my sister is great",真的是很喜欢她的美食制作视频，小姐姐太棒了
32622,Ugye2ai1nuuRTzO_MeJ4AaABAg,15,3 years ago,one of the best channel on earth. i really like ur place. i hope someday i will visit ur place.,地球上最好的渠道之一。我真的很喜欢你的地方。我希望有一天我会去你的地方。
30623,UgwTwt_-KvmkjNiWK654AaABAg,14,3 years ago,her life is so wonderful and beautiful and she's also so talanted and strong real wonder woman,她的生活是如此美好而美丽，她也是如此善良而坚强的真实神奇女侠
11601,UgyYloXo5WqBJR7gcqJ4AaABAg,14,3 years ago (edited),"live such a good life, xiao nizi, you are so amazing, and filial piety is really beautiful",过着这样的生活不错啊 小妮子 你很了不起呢 又孝义 真是人美心善
21305,UgyVO8b_zk21ygbAcjB4AaABAg,14,3 years ago,"this person is very beautiful,
the food looks really delicious, and the dogs are always shaking their tails and it looks fun

i wonder if i'm happy","这个人很漂亮，
食物看起来真的很美味，狗总是在摇尾巴，看起来很有趣

我想知道我是否开心"
29851,Ugycl10QiFuIyr9ALVx4AaABAg,14,3 years ago,"i have followed you from ordering 20,000 people. it ’s two years old. it’ s really good, come on!",从订购两万人就跟着你了，到现在两年了吧，真的好好看，加油！
3043,Ugz_hjghNsX4bW7zDrZ4AaABAg,14,1 year ago,i really bought it back ~ it is the best version i have ever eaten because i have sour because i love the sour person ~ thank you little fairy,我还真的买回来吃了~是我吃过最好吃的版本因为偏酸~个人好爱偏酸的口味~谢谢小仙女
22398,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-RKeLIpay7,14,3 years ago,"@cyouchin5381 now you are fucking kidding me, what you think china is? third world country? pretty sure almost 90 % of china city have better development than usa, and you really think this channel didnt earn her any money?, let me approximate the number of how much she earns from this channel, around 10 k usd at least pre month",@Cyouchin5381现在您他妈的在开玩笑我，您认为中国是什么？第三世界国家？可以肯定的是，近90％的中国城市的发展比美国更好，您真的认为这个频道没有赚钱吗？让我大概她从这个频道中赚取了多少钱，至少一个月前约10 k美元
32086,UgyUnJZ0IDQgDStbWwt4AaABAg.8yV-q8eXOYt8yVCn8RY7l5,14,3 years ago,tung pham i don't think that vietsub suitable for the video. it seems that the one who add that sub just do for fun. the content and style of that sub really doesn't fit in her video at all.,Tung Pham我认为不适合视频的Vietsub。似乎添加Sub只是为了娱乐而做的那个人。该潜艇的内容和样式根本不适合她的视频。
6966,UgwoDzwa3rNT2t6BSs94AaABAg,14,2 years ago,i literally just ate a large bowl full of li ziqiโ€s river snail luosifen! yum... it was delicious! i really recommend buying some if you can find it.,我实际上只是吃了一个装满了李齐的河蜗牛Luosifen的大碗！百胜...很美味！我真的建议您找到一些。
16785,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92znD8m4jum,13,3 years ago (edited),"it's because the rural areas in china are nothing like this. if you go, the reality actually looks quite decrepit, and you will see lots of poverty and trash everywhere. you also have to shit in an outhouse in a pit with no running water. she doesn't show that. the videos are heavily edited to make them beautiful. even the vegetation. she probably uses her youtube money and hires landscapers to grow all that for her videos.

i'm just providing an explanation for why some people might hate this because it's not accurate depiction of reality. i still appreciate it because it's beautiful art even if it's fake.","这是因为中国的农村地区与众不同。如果您走了，现实实际上看起来很破旧，您会看到许多贫穷和垃圾。您还必须在没有自来水的坑里的外屋里屎。她没有表明。这些视频经过大量编辑，以使其美丽。甚至植被。她可能会用YouTube的钱，并雇用园丁来为自己的视频发展所有这些。

我只是为为什么有人可能讨厌这一点提供了解释，因为这不是对现实的准确描述。我仍然很感激它，因为它是美丽的艺术，即使它是假的。"
3362,UgyY2ZuRGSZMSq0ofth4AaABAg,13,1 year ago,"ziyi, you are great! i really like your work 的",子柒妳好棒啊！好喜欢妳的作品
