,cid,votes,time,含beautiful,含beautiful中文翻译
7305,Ugxbf2_7_rr9S72PRON4AaABAg,702,2 years ago,"i can tell you, o beautiful girl, that you are a gift from heaven from the lord of the worlds! <3",美丽的女孩，我可以告诉你，你是来自世界之王的天堂的礼物！ <3
34352,UgzxESlYraLU_em4Oo54AaABAg,561,4 years ago,"wow, talk about living a life with purpose. this is beautiful. the satisfaction you get from making with your own hands.",哇，谈论有目的的生活。这很漂亮。用自己的手做出的满足感。
42956,UgwAj8uciEHxoCx5Afd4AaABAg,479,4 years ago,i’m so glad youtube suggested me this video! it’s for sure among the most beautiful videos i’ve ever watched. everything is so carefully done and the editing is so sensible. i’m just in love with the channel. and the girl who cooks and does everything (haven’t found out her name yet) is precious. she looks like a green/forest fairy... please keep doing this amazing job :),我很高兴YouTube建议我这个视频！可以肯定的是，这是我看过的最美丽的视频。一切都非常小心，编辑是如此明智。我只是爱上了频道。做饭和做所有事情的女孩（尚未找到她的名字）是宝贵的。她看起来像个绿色/森林仙女...请继续做这项出色的工作:)
35007,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8uz1hMMzRmI,338,4 years ago,brandon shorkey exactly.... i mean look at her beautiful life. and look at mine... i just eat junk food n surf the net. what shit,布兰登·肖尔基（Brandon Shorkey）正好....我的意思是看她的美丽生活。看看我的...我只是吃垃圾食品，n浪费了网。什么屎
1766,Ugxx_UFKQg4oB36qtSN4AaABAg,310,1 year ago,everyone who watches these equally loves her couldn’t we all get along and be friends no matter what country you are from and we could grow our beautiful gardens like liziqi,每个同样爱她的人都无法相处并成为朋友，无论您来自哪个国家，我们都可以像Liziqi一样种植美丽的花园
39885,Ugzyd6YIBPmBDwWvsJd4AaABAg,305,4 years ago (edited),"o my god, what is this place called, heaven ? amazing how the young woman (can i call her angel) is doing all the cooking, feeding her grandma, everything is just so precious to watch. 
i'm glad this video showed up in my recommendation. so beautiful โค๏ธ๐","我的上帝啊，这个地方叫什么，天堂？惊人的年轻女子（我可以称呼她的天使）正在做所有的烹饪，喂养她的祖母，一切都很珍贵。
我很高兴在我的建议中出现了这段视频。如此美丽的❤️"
6265,Ugx8nG2qhN8UfEgsh5R4AaABAg,301,2 years ago,"imagine how beautiful is to have a life like this. living in harmony witg nature,no social media,so there is no insecurities or body shaming,just care about you and the biotic organisms around you,life will be at its best.",想象一下，拥有这样的生活有多美好。生活在和谐的维格大自然中，没有社交媒体，因此没有不安全感或身体羞辱，只是关心您和周围的生物生物，生活将处于最佳状态。
27183,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zRyXpDFtLl,290,3 years ago,heart breaking story. no wonder her videos are so beautiful. her past has formed her into a masterpiece.,令人心碎的故事。难怪她的视频是如此美丽。她的过去使她成为杰作。
42238,UgzKAGhaRYYakmfPB014AaABAg,286,4 years ago,such a beautiful environment and delicious food. wonderland!,如此美丽的环境和美味的食物。仙境！
26996,UgyUuyuyl9JkP3v5kA54AaABAg,286,3 years ago,is this the real life version of studio ghibli's ? a life so simple and beautiful nature it brought tears to my eyes t_t,这是吉卜力工作室的现实生活版吗？生活如此简单和美丽的自然，使我眼中的眼泪T_T
40251,UgzYbWUYEozAK3uZ8Jd4AaABAg,254,4 years ago,she is very hard working woman and she is sooo beautiful i love it,她是非常努力的女人，她太漂亮了，我喜欢它
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,4 years ago (edited),"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
37303,Ugz6mbRxUYbd8kXFoBN4AaABAg,204,4 years ago (edited),this like melted my heart. this is so beautiful. she's like a real life heroine of a drama. her life is so romantic.,这就像融化了我的心。这真是太美了。她就像一部现实生活中的女主角。她的生活是如此浪漫。
17462,UgwjwUJ64AMEJt0Mruh4AaABAg,203,3 years ago,"see how they treat their parents ,grand parents...they respect them most.....what a beautiful country.....what a beautiful life........i love china 
i wish i would be a chinese guy .....love you guys ,.love your country, truly from the bottom of my heart....thank you","看看他们如何对待父母，祖父母...他们最尊重他们.....多么美丽的国家.....多么美好的生活........我爱中国
我希望我会成为一个中国人.....爱你们，爱你的国家，真的是我心底的。"
32246,UgwIVJ8VTRpVAYBYhCh4AaABAg,201,4 years ago,i just found a virtual paradise! ๐ญ๐’• this is so beautiful. ๐’•,我刚刚找到了一个虚拟的天堂！
44595,UgwrDbC6fT5Dglnm0eF4AaABAg,178,4 years ago,"i’m amazed every time by her. she is the hardest working girl i’ve ever seen (sure there are many others but speaking for myself). beautiful life, beautiful being, and beautiful work. ❤️",每次她都会惊讶。她是我见过的最努力的女孩（确定还有很多其他人，但为我自己说话）。美丽的生活，美丽的存在和美丽的工作。 ❤️
50888,UgxmG2wdFYPjiTnHSth4AaABAg,176,4 years ago,"happy chinese new year beautiful lady and to popo 

i'm so inlove with all your videos... well done","春节快乐美丽的女士和popo

我对你所有的视频都很热爱...做得好"
40526,UgzKSj6Ebb_2_1z7bXl4AaABAg,169,4 years ago,damn she's good at cooking and making videos plus she's beautiful,该死的她擅长烹饪和制作视频，加上她很漂亮
33764,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vg79vEiJqM,167,4 years ago,"yes. that's what i thought and felt too. it looks amazing but also it's alot of hard work. who works on the fields, planting, watering, who cuts the trees, who prepares the fire places, cleans up all the tools, cleans the kitchen, the oven after cooking. in the video, we only see the romantic side, with a very bussy beautiful girl. it's a professional production and a bit like a fairytale.",是的。那就是我的想法和感觉。看起来很棒，但也很多辛勤工作。谁在田野上工作，种植，浇水，砍伐树木的人，准备大火，清理所有工具，清洁厨房，烹饪后烤箱。在视频中，我们只看到一个浪漫的一面，有一个非常繁忙的美丽女孩。这是一种专业的作品，有点像童话。
44960,Ugzkyht9GJ-UWBb8pBV4AaABAg,155,4 years ago,"what a beautiful faerie like place in which you live! a lot of lovely fruits, nuts and resources to make your treats with as well. you are obviously very talented and the calm, hard-work and dedication can be seen in your videos... passion, too",您居住的地方多么美丽的仙境！许多可爱的水果，坚果和资源也可以使您的零食。显然，您很有才华，您的视频中可以看到镇定，努力和奉献精神……激情，所有食物看起来都很好吃！你和你的祖母太可爱了。
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,4 years ago,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
35010,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v0Uis9_0dM,128,4 years ago,right we are just so simple and we make life so stressful when it can be more beautiful and peaceful...,是的，我们是如此简单，当生活变得更加美丽和和平时，我们会让生活如此压力。
33679,UgzWN181mjwUa1cYTEF4AaABAg,122,4 years ago,"fairy tales type of girl, beautiful hardworking...
you are real cinderella...
your house, garden , forest., utensils , everything is like a fairy tale story...","童话类型的女孩，美丽的勤奋...
你是真正的灰姑娘...
您的房子，花园，森林，餐具，一切都像一个童话故事..."
49725,UgwYmNRBOuu1iRDmVBF4AaABAg,118,4 years ago,dear god! the amount of work this beautiful woman does is insane!! and with such finesse too... it's wonderful to see her share the fruits of her hardwork with her grandmother...,亲爱的上帝！这个美丽的女人做的工作数量太疯狂了！！而且也这样的技巧……很高兴看到她与祖母分享辛勤工作的果实...
38721,Ugzpj0cN60cZqkqz4uh4AaABAg,117,4 years ago,that's the most beautiful thing i've ever seen on youtube ๐,那是我在YouTube上见过的最美丽的东西
37426,Ugw_P4dhqLVd_6bCODl4AaABAg,112,4 years ago,it is very beautiful when the sheep thinks of itself as a dog ๐ฉ=๐‘=๐’,当绵羊认为自己是狗
41570,Ugzy49yiAI1nowp4QCR4AaABAg,111,4 years ago,"what a beautiful place and people, those dogs are very cute.",多么美丽的地方，那些狗很可爱。
40196,UgyPjH9TA52o85Jn9RZ4AaABAg,110,4 years ago,this beautiful young woman makes everything look so easy and very attractive!!! she is a unique and extremely talented lady. her work is always amazing and so very fun to watch. beautiful in all aspects!!,这个美丽的年轻女子使一切看起来如此轻松，非常吸引人！！！她是一位独特而极其才华的女士。她的作品总是很棒，而且非常有趣。各个方面都很美丽！
30504,UgyyuLcCHPvAm002yMt4AaABAg,103,3 years ago,we can see that she really works total hard for this video.. her messy hair describes everything. thank you for the beautiful video โค๏ธ,我们可以看到她确实为这段视频完全努力。她的头发描述了一切。谢谢您的美丽视频❤️
38135,Ugy8CJb9b_jxCIPeNVh4AaABAg,102,4 years ago,"how the heck did this come in my recommendation??
but soo beautiful tho woww!!","这是我的建议是如何出现的？
但是太漂亮了！"
14198,Ugwshm7LLdVtz0RqS854AaABAg,91,2 years ago,beautiful..talented..respectful to her elders knows how to do everything..if the apocalypse ever happens i’m looking for her!,美丽的..致命..对她的长者的尊重知道如何做一切。
30745,Ugwa7gDHnFadb3OG1yd4AaABAg,85,3 years ago,i've binge watched this beautiful womens videos for the past hour and i'm just at awe by how much she knows.,在过去的一个小时里，我一直在狂欢观看了这个美丽的女子视频，我对她知道多少感到敬畏。
48934,Ugy_Uy_ejNzufvE5Irx4AaABAg,82,4 years ago (edited),wow. she is a hardworking young lady and beautiful. she was so cute when she went to cover her grandmas ears. then she was the one who jumped. lol.,哇。她是一位勤奋的小姐，很漂亮。当她去遮住祖母耳朵时，她真可爱。然后她是跳跃的人。哈哈。
42241,Ugw1Xz4KR_ZFthpEpXt4AaABAg,81,4 years ago,"every time i’m watching her video , it reminds me how beautiful the world we leave in....",每次我观看她的视频时，它都会让我想起我们留下的世界多么美丽。
2963,UgxNvbg3jVHWU7L27AB4AaABAg,75,1 year ago,"i admire you, beautiful girl! you are an extraordinary sorceress! give the lord to your health, your grandmother. you are a huge female happiness! i constantly watch all your issues, naturally signed. how i want to visit such a place, get acquainted with you, to adopt something interesting for yourself. live happily and happily, beauty",我很欣赏你，美丽的女孩！你是一个非凡的女巫！给予主，使您的健康，祖母。你是一个巨大的女性幸福！我不断地观察您的所有问题，自然而然地签名。我想如何去这样的地方，结识您，为自己采用有趣的东西。幸福快乐地生活，美丽
47093,UgzfVM2xoQeYFYLSx8x4AaABAg,75,4 years ago,"hahaha has a shot and put back many times by me: when the popcorn is going to explode, zi zi zhe ran away quickly and covered her mother -in -law's ears and was afraid that she was scared. as a result, i was scared to jump. a weak girl also wanted to protect her mother -in -law, cute mother -in -law, beautiful and kind zi yan, hoping her mother -in -law to be healthy!",哈哈哈 有一个镜头被我回放好多遍： 爆米花要爆炸时子柒笨笨的飞快跑去捂着婆婆耳朵怕她被吓着，结果自己被吓得跳起来，好可爱呀。 一个弱小的女孩还想着去保护婆婆，可爱的婆婆，美丽善良的子柒
12982,UgzkSMBnaPYBcYc26id4AaABAg,75,2 years ago,"sixty years i have lived on this earth, and this beautiful human being has accumulated & demonstrated more wisdom and knowledge in her young years than i have in my entire lifetime.
i kneel before you humbled, li ziqi. you are amazing.

you are exactly what we should all aspire to be like. i wish you a long and wonderful life, and may the gods reward you and your generations to come.","我已经生活在地球上了六十年，这个美丽的人在她的年轻时代积累并展现了比我一生中更多的智慧和知识。
李齐（Li Ziqi），我跪下来。你很棒。

你们正是我们都应该渴望的。祝您悠久而美好的生活，并愿众神奖励您和您的几代人。"
36593,UgzQNc8ceqoOm2ZnvXl4AaABAg,74,4 years ago (edited),"beautiful to watch the process, and encouraging. life is harder but more valuable when we work with nature (earth's bounty) instead of against it.",美丽地观看过程和鼓励。当我们与自然合作（地球的赏金）而不是反对时，生活更加艰难，但更有价值。
47819,UgzPMa0eCR_UApYar1R4AaABAg,69,4 years ago,"hi. . i come from russia. thank you. i got a lot of fun. beautiful videos, beautiful music. really like.",嗨。 . 我来自俄罗斯。多谢。 . 我得到了很多乐趣。美丽的视频，优美的音乐。真的很喜欢。
51106,Ugwz9VJ9cLA6bf7noER4AaABAg,60,4 years ago,"apple 
there is also there too
looks delicious
chestnuts also look delicious

in such a nice place
making sweets, cooking,
i really yearn for it ✨

is the camera improved?
the image quality is very beautiful ✨","苹果
也有
看起来很美味
栗子也看起来很美味

在这么好的地方
做糖果，烹饪，
我真的很渴望

相机改善了吗？
图像质量非常漂亮✨"
33774,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w0tzQivjZv,59,4 years ago (edited),"maria moonsoon thank you! edit: people need to start differentiating stuff seen on screen and stuff seen in real life. yes, it looks beautiful on screen, but i doubt many people would truly enjoy this life style in real life. the stuff on screen only seems beautiful because it has scenes cherrypicked from reality.",玛丽亚·穆恩（Maria Moonsoon）谢谢！编辑：人们需要开始区分屏幕上看到的东西和现实生活中看到的东西。是的，它在屏幕上看起来很漂亮，但我怀疑许多人会真正享受现实生活中这种生活方式。屏幕上的东西似乎很漂亮，因为它的场景是从现实中挑选出来的。
44580,Ugy3t4kz3rEpPzV8rY54AaABAg,59,4 years ago,the beautiful puppies,美丽的小狗
15936,Ugy8Uw6Od4_Wr7nvFkR4AaABAg,58,3 years ago,"i don't understand why there are 25,000 people who don't like this video. such an excellent work is really beautiful. i hope li ziyi's life will continue to be so beautiful.",我不懂为什么会有2万5千人不喜欢这个视频。这么优秀的作品真是太美了，希望李子柒的生活继续这么美好。
37918,Ugz4J84OBqwxJuH93hB4AaABAg.8tkNoWBxn9R8txyYiGCRjd,57,4 years ago,"she is from sichuan, that place has a nickname ""kingdom of heaven"", and is home to jiuzhai valley national park, google it, its quite beautiful.",她来自四川，那个地方有一个绰号“天国”，并且是柔泽谷国家公园的所在地，Google It，它非常漂亮。
38436,Ugw6VX6WzlIr6pAa93Z4AaABAg,57,4 years ago,oh my god am i only want this beautiful place ??,哦，天哪，我只想要这个美丽的地方？
46558,UgxR2ZXCkTAfDHvb0et4AaABAg,56,4 years ago,why do i feel suddenly want to cry watching this beautiful girl work out on all that foods??,为什么我觉得突然想哭泣看着这个美丽的女孩在所有食物上锻炼呢？
45196,UgwkDPqmPWCWdXCPOo14AaABAg,55,4 years ago,beautiful girl and chinese culture ❤️,美丽的女孩和中国文化❤️
22395,Ugy1rajoRJlJJZvua7t4AaABAg,54,3 years ago,she's the most beautiful woman i've ever seen.,她是我见过的最美丽的女人。
3492,UgxFGmJnw9Qi2DoUydB4AaABAg,53,1 year ago,she is beyond perfection ❤ how beautiful omg this video healed my mind,她超出了完美的❤❤OMG多么美丽，这段视频康复了我的想法
28540,UgyK7Z_kq1QFfkrjgZN4AaABAg,53,3 years ago,"beautiful girl!!! she can do anything, this is so good, i like that ๐๐๐",美丽的女孩！！！她可以做任何事情，这太好了，我喜欢
39290,Ugys-Ns2U6_pWEu3XRV4AaABAg,52,4 years ago,"insanely beautiful and professional shots, amazing landscapes!",疯狂美丽而专业的照片，令人惊叹的风景！
25348,UgwJVpehKaKELcdYy8p4AaABAg.9-RhCpaDX1W902RsjUdBuk,50,3 years ago,"@sonnen-bogenmensch8694 my life is good and i love ziqi's videos. if it was show it would not matter to me, i would still love the message and warmth she sends. but i believe ziqi's heart is good and that is enough for me. beautiful girl with a sweet grandma making down to earth videos, what's not to love? i think my friend you need to check your own life and see why your so unhappy and attack others for being happy. take care.",@sonnen-bogenmensch8694我的生活很好，我喜欢Ziqi的视频。如果显示出对我来说并不重要，我仍然会喜欢她发送的信息和温暖。但是我相信Ziqi的心是好的，这对我来说就足够了。美丽的女孩，有一个甜美的奶奶播放地球视频，什么不爱？我认为我的朋友您需要检查自己的生活，看看为什么您如此不开心并攻击他人快乐。小心。
14584,UgylFxkG40bbZWf9_hl4AaABAg,49,2 years ago,"she is beautiful
she good at cooking
she is hard working
she is love her grandmother","她很漂亮
她擅长烹饪
她在努力工作
她爱祖母"
3638,UgwpJAISk1bI-XpaJWt4AaABAg,47,1 year ago,this is beautiful just in the way like it’s so peaceful and fulfilling,就像它是如此和平与充实一样，这是美丽的
46642,Ugx5gB9wa8dY6p_AupV4AaABAg,46,4 years ago,beautifully made. feast to the eye. so many product made in one video. awesome,制作精美。盛宴。一个视频中制造的许多产品。惊人的
49557,UgyidXRXRSH_MAKrKKB4AaABAg,46,4 years ago,"i like how she takes care of her grandmother, it shows how much she loves her. beautiful and fascinating video as usual!",我喜欢她如何照顾祖母，这表明她有多爱她。像往常一样美丽而有趣的视频！
48386,UgxFR6K19eEc6NJcB7p4AaABAg,46,4 years ago,"482 ppl disliked her video? wtf is wrong with these ppl, this women is beautiful, hard working, smart and so talented, i envy her.",482 PPL不喜欢她的视频？ WTF对这些PPL是错误的，这个女人是美丽，努力工作，聪明和才华横溢的，我羡慕她。
44528,Ugw4B_1b5i7OnS16bS14AaABAg,45,4 years ago,why is everything in this video so beautiful? just beautiful.,为什么这个视频中的一切都如此美丽？只是美丽。
21166,UgzAKSpnhIUI9E3VkgV4AaABAg,42,3 years ago,what amazed me is she turns ordinary life to be extraordinary. it's so please to follow her eyes to see such beautiful life.,令我惊讶的是，她使普通的生活变得非凡。请跟随她的眼睛看到如此美好的生活。
13845,UgwC3w1V9TVaQSDZPA94AaABAg,42,2 years ago,"how to love your homeland in order to be able to show the nature and everyday life of people in rural areas so beautifully and unobtrusively! bravo! very talented! and what a rich nature of china, just delight!",如何爱您的家园，以便能够如此美丽，毫不客气地展现人们在农村地区的自然和日常生活！勇敢！很有天赋！中国的丰富本质，只是高兴！
23192,UgxTJwLDiF3UbnXmjg14AaABAg,42,3 years ago,this is so pure and beautiful. this makes the world quiet and heart melt,这是如此纯洁和美丽。这使世界变得安静和内心融化
4045,UgzUVCZTimFeB4vl6pd4AaABAg,41,1 year ago,"when i see the negative video of smearing china, then i have to take a look at ziqi's life to purify my mind❤️life is so beautiful❤️",当我看到涂抹中国的负面视频时，我必须看看Ziqi的生活才能净化我的思想❤️Life是如此美丽❤️
13817,UgxTPEhZueXTD1lsRfF4AaABAg,41,2 years ago,"i don't know why, i am a big man, watching this video crying. perhaps it is moved in the world to have such a peaceful, beautiful, close life of nature, and then look at the mediocre and complicated and complicated work every day in the city. ziyi wishes you and mother -in -law who has always been healthy and happy, thank you for your video.",不知道为什么，我一个大男人，看这视频哭了。也许是感动世上有这么宁静的，美好的，亲近大自然的生活，再看看自己每天在城市里庸庸碌碌紧张复杂地打拼着，很向往。子柒祝福你和婆婆一直健康快乐，谢谢你的视频。
13697,UgwoGipw8OgTdT4h0qB4AaABAg,40,2 years ago,grandma is so lucky that she's got such a beautiful and a hard working granddaughter who looks after her. keep up the good work lizigi ♥️,奶奶很幸运，她有一个如此美丽而勤奋的孙女，照顾她。保持良好的工作Lizigi♥♥
52888,UgxJg4gO5o4mQ86CGp54AaABAg,39,4 years ago,she's getting more and more beautiful living in such peaceful and fresh area.,她在如此宁静和新鲜的地区过着越来越美丽的生活。
42715,UgykQi5WLI8pw7KzNat4AaABAg,38,4 years ago,i just thought to myself 'this is beautiful' when i saw the beginning but when the digimon music actually kicked in at 5:16 i genuinely fell in love with this channel.,当我看到开始时，我只是想着自己“这是美丽的”，但是当数码兽音乐实际上在5:16开始时，我真正地爱上了这个频道。
37577,UgzyTwBIRtNni_75EWt4AaABAg,37,4 years ago,you are the most beautiful and talented youruber from china. love you.,您是来自中国最美丽，最有才华的您。爱你。
47324,UgyokK6B7E47XLXi7OJ4AaABAg,37,4 years ago (edited),"happy chinese new year to u and grandma!!! 
i love watching ur videos! the life u live is beyond beautiful...","在春节快乐，你和奶奶！！！ 
我喜欢看你的视频！你的生活超越美丽..."
29208,Ugxv_7H9TgQSuRMBx-94AaABAg,36,3 years ago,beautifulโคโคโค i can not stop watching. i think it is not melon seeds its sunflower seeds,美丽❤❤❤我不能停止观看。我认为这不是瓜子的葵花籽
42727,UgzOCk-ppOEVPQ7xDEZ4AaABAg,36,4 years ago,not only is the area beautiful but she is beautiful as well and the food looks amazing ❤️❤️❤️,不仅美丽的地方，而且她也很漂亮，食物看起来很棒❤️❤️❤️
38241,UgyU4uwfnfmX2h2YL8l4AaABAg,34,4 years ago,"all those work and still have beautiful hands 
while me ugh nevermind","所有这些工作，仍然有美丽的手
当我没关系"
40578,Ugy9hIfVYANKS6enqBd4AaABAg,34,4 years ago,"i feel like i'm in the mulan movie. very peaceful, natural, and beautiful. thank you! ❤",我觉得我在木兰电影中。非常和平，自然和美丽。谢谢你！ ❤
16215,UgxdQfzTWvSo8cY000B4AaABAg,34,3 years ago,"no word to describe how beautiful this is, it looks like a fairy tale and she is the princess in it..",没有一句话可以描述这有多美丽，它看起来像个童话，她是公主。
45333,UgwA3tbrbc7jlGRBkSt4AaABAg,33,4 years ago,"a great video, you don't have to learn it, just watch it quietly, you have a good pressure effect. thank you, a beautiful and serious girl!",好棒的视频，不一定要跟着学，只需静静的看，就有很好的舒压效果。谢谢您，美丽而认真的女孩！
45109,UgyJgsDlPebcN5HbriZ4AaABAg,33,4 years ago,wanted to cook something...but instead i ended up looking at this beautifull girl for more thank 2 h! 'm just in love with this channel! congrats,想煮一些东西...但是我最终看着这个美丽的女孩，更多地感谢2小时！
52600,Ugyl4asfIIhmYLWGkyl4AaABAg,33,4 years ago,what a beautiful life ♥ ️ ♥ ️,多么美好的生活♥谢♥♥
6922,UgyrQ9K7L0e09rYxm1t4AaABAg,32,2 years ago,it's very interesting i found myself productive throughout the day lately after i started watching this channel. she is not only a beautiful lady .. but everything she does is beautiful. every dish she makes looks soooooo delicious. even da land where she lives must be how the paradise is. priceless.,我开始观看此频道后，最近一天整天都发现自己很有成果。她不仅是一位美丽的女士..而且她所做的一切都是美丽的。她让她看起来很美味的每道菜。即使是她所居住的da土地也必须是天堂的样子。无价。
52646,UgyoY7W6u6xsPg6lNkt4AaABAg,31,4 years ago,"i could't resist to make comment,those puppies and a little sooooo adoreableeee ,and of course with such a beautiful owner .",我无法抗拒发表评论，那些小狗和有点太可爱的人，当然还有一个如此美丽的主人。
37239,UgzDyOGv9HFuNVAYXuh4AaABAg,31,4 years ago,"i have been on youtube for eight years. for the first time i wrote a comment, thank you for showing the traditional chinese things in a beautiful expression. follow you",上youtube八年了，第一次写评论，谢谢你把中国传统东西以唯美的表现出来。关注你
44661,Ugzw8ufn3nE9Aftb0aB4AaABAg,31,4 years ago,"i‘m speechless.. this video is so beautiful, and how she manages to do this all alone amazes me.",我很无语..这个视频是如此的美丽，她如何设法独自做这件事令我惊讶。
28180,Ugwog3eU6SdvvmNLfHp4AaABAg,30,3 years ago,"beautiful relaxing nature. beautiful woman. cute grandma. sweet animals. delicious foods.
amazing, just amazing. i love that.","美丽的轻松自然。美丽的女人。可爱的奶奶。甜动物。美味的食物。
太神奇了，真是太神奇了。我喜欢那个。"
51663,UgxsxcKZBTEGLcFy4n54AaABAg,30,4 years ago,amazing video. the nature is so beautiful and the food looks really delicious. i love it how you show everyone how our ancestors lived⚒️because of your videos i want to visit china. greetings jasmin,惊人的视频。大自然是如此美丽，食物看起来真的很美味。我喜欢它，您如何向所有人展示我们的祖先如何居住⚒️，因为我想访问中国的视频。问候茉莉
26997,UgzUg4W-7_viuJW4-OF4AaABAg,29,3 years ago,what a beautiful world she lived in๐ญ,她生活在多么美丽的世界
43186,UgzCdhQDdF_wbCps-rl4AaABAg,29,4 years ago,"it's a very beautiful video.
it is very healed.","这是一个非常漂亮的视频。
它非常治愈。"
