,cid,votes,含beautiful,含beautiful中文翻译
15371,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss93PXkeXUCEo,42,"lumine moon, oh.... even here in india, it's not rare. but the beautiful farms, woods and the great weather really makes the video like a fairytale.",Lumine Moon，哦。。。即使在印度，也不是罕见。但是美丽的农场，树林和伟大的天气确实使视频像童话一样。
24900,UgxnmzxyolLKwv4xRT14AaABAg,41,"this beautiful girl lives my dream everyday of her life , what a peace providing video ! i felt like i was on a journey of my dreamland. thanks",这个美丽的女孩过着我一生中每天梦想的梦想，这是一个提供视频的和平！我觉得自己正在梦境。谢谢
32757,UgyYDVEOAlXNCukIO0R4AaABAg,40,"she is the real princess she lives in beautiful paradise she love her grandma &people around her,she loves working,harvesting,cooking and everything there and one they she will find the future prince they will life happy in peace forevr",她是她生活在美丽的天堂中的真正公主
15641,UgwEvrHNRKRMDYjhB-N4AaABAg,38,minimal make-up and simple hairstyle yet she's one of the most beautiful gal i've seen. and is a master chef too!,最少的妆容和简单的发型，但她是我见过的最美丽的女孩之一。而且也是大厨！
17083,UgwoGmYYcukjLHjpxMp4AaABAg,35,"i about 5 years of using youtube, this the first and the only youtube channel that i subscribed just after watching a single video. you are amazing and everything about you is so so beautiful.
love and respect from india","我使用YouTube大约5年了，这是我观看单个视频后唯一订阅的第一个也是YouTube频道。您真是太神奇了，关于您的一切都如此美丽。
印度的爱与尊重"
32579,Ugx9jRTrOEWpq0cDNQt4AaABAg,33,"the coolness of summer, the sound of suzumushi, the flowing water, and the image, and the refreshing feeling of summer is irresistible. it matches with bgm and is beautiful. thank you for watching for free",夏天的凉爽，苏津岛的声音，流动的水和图像以及令人耳目一新的夏天感觉是不可抗拒的。它与BGM匹配，很漂亮。感谢您免费观看
30835,UgxCu5OSfZhBvzyVaJh4AaABAg,31,"the small bamboo shoot look so cute 
lately they say snails has lots of good things to healthy young skin 

so beautiful peaceful video
thank you","小竹芽看起来很可爱
最近他们说蜗牛对健康的年轻皮肤有很多美好的事物

如此美丽的和平视频
谢谢"
26522,UgzebhcISvLjdUki5bZ4AaABAg,30,"i wonder if there's a single man won't fall in love to this sweet beautiful lady....


im your biggest fan from philippines..

wo ai ni liziqi","我想知道是否有一个单身男人不会爱上这个可爱的美丽女士。


我是菲律宾最大的粉丝。

wo ai ni liziqi"
4365,UgyFlsWsHOhC2C22Pe94AaABAg,29,"this is my first time watching her video, i love how they made this kinda content seriously, with great editing. this is the content we need. imagine if local content like this were made from all over the world, how beautiful it gonna be.",这是我第一次观看她的视频，我喜欢他们如何通过精彩的编辑来认真对待这种内容。这是我们需要的内容。想象一下，如果这样的本地内容是由世界各地制成的，那将是多么美丽。
27336,Ugy98sOwqzBFNiI1K014AaABAg,28,"hello i'm from indonesia, and l like your content because its very traditional and look so beautiful flores, your very creatif and smart women and then my hobby is cooking and eat hehe so i very like your cooking with fresh vegetable and fruit 
i wish i had vegetable and fruit plants in my house too","您好，我来自印度尼西亚，我喜欢您的内容，因为它非常传统，看起来很漂亮，您非常有创造力和聪明的女人，然后我的爱好是烹饪和吃饭，所以我非常喜欢您用新鲜的蔬菜和水果
我希望我家里也有蔬菜和水果植物"
13989,UgxQ0ijZvbspl30fZHd4AaABAg,28,she is living my dreams!!! their way of life is beautiful and perfect!!! the way god meant it to be for us all !!!,她正在实现我的梦想！！！他们的生活方式是美丽而完美的！！！上帝意味着对我们所有人的意义！！！
24611,UgzoKu7yIdHzVtpuSzt4AaABAg,27,"these videos are so beautiful, and interesting! love from poland i love your channel :)",这些视频是如此美丽，有趣！来自波兰的爱我爱你的频道:)
29570,Ugwozk571R6pngLuXUp4AaABAg,26,youtube was pushed and found that i watched a lot of videos in one breath. the shooting is so beautiful. thank you for spreading the traditional chinese culture.,YouTube推送发现的，一口气看了好多视频，拍的真美，谢谢你传播中华传统文化。
25874,UgxF_uE6rJ9PUj3-aj14AaABAg,26,this is so beautiful! thanks to arin and dan for bringing us here. <3,这真是太美了！感谢Arin和Dan将我们带到这里。 <3
17481,UgzYg9lV4WPYoS1mPOd4AaABAg,26,wow. what a pure beautiful life. this is how humans are supposed to live.,哇。多么纯洁的美丽生活。这就是人类应该生活的方式。
12998,Ugw9aYFo_Rzsb57Ca214AaABAg,26,"she is so good at cooking and rich of vegetable at their backyards,most of all she is so beautifull",她是如此擅长烹饪，在他们的后院里有丰富的蔬菜，最重要的是她是如此美丽
17240,UgyRAAwaHpoqdBOn9IZ4AaABAg,25,her videos are all beautiful.,她的视频都很漂亮。
20185,UgwZtKiAAF_J4x5Vjoh4AaABAg,25,"she is so beautiful to watch, it is so tranquil, i could have a hard day and i find her and watch her on my phone or tablet and she is so tranquil - i love it, i love her, she is absolutely awesome!!!!!!!",她是如此美丽，它是如此的宁静，我可能会度过艰难的一天，我找到她，在我的手机或平板电脑上看着她，她是如此宁静 - 我爱它，我爱她，她绝对很棒！ !!!!!!
26681,UgxtHBgpI_cOqCjmupB4AaABAg,24,i just love her videos. makes me love china even more. beautiful china.,我只是喜欢她的视频。让我更爱中国。美丽的中国。
3471,UgyTXA9v0XHnuPKGjIV4AaABAg,24,"what i like the most about ziqi's videos: 1. she is so pretty and pleasant to look at; 2. the food looks so beautiful; 3. the countryside, the environment... everything in her videos, from the person to the environment, are just so beautiful and pure. i am glad that there are no men in her videos except the occasional appearance of the camera man.",我最喜欢Ziqi的视频：1。她看起来很漂亮和愉快； 2.食物看起来很漂亮； 3.乡村，环境...从人到环境的视频中的所有内容都是如此美丽和纯洁。我很高兴她的视频中没有男人，除了偶尔的摄影师外观。
34066,UgwyEMDGXKtRSLbR5GN4AaABAg,24,really so beautifull your videos i love your videos sister,真是太美了你的视频，我爱你的视频姐姐
5139,Ugx_O0en6tcxq1H97Q94AaABAg,22,"90% of which is prepared, i do not understand, but how all this looks beautiful.",我不明白其中的90％已经准备好了，但是所有这些看起来都很漂亮。
29590,UgwFOGIGEeMz7wVYh2x4AaABAg,22,"you are beautiful, i have been watching your videos for a long time, i all like them. thank you!!!",你很漂亮，我一直在观看你的视频已经很长时间了，我都喜欢他们。谢谢你！！！
34936,UgyWoKUW3E9J-T9K7714AaABAg,21,"i wish my mother -in -law healthy and long -lived ... ❤❤, i also bless the girl who is young and beautiful forever ... 's really wise ...",祝福婆婆身体健康、长命百岁……❤❤，也祝福柒姑娘永远青春美丽……
20499,Ugz1ec5y2Fi5N2CAyFF4AaABAg,20,"seeing me is intoxicated, people are beautiful, li ziyi should really be a fairy",看得我如痴如醉，人美手巧，李子柒真的应该就是仙女了
10957,UgyRiG2IBV89oXP20SZ4AaABAg,20,"it is very tired to do these labor services, but also take care of the pictures of beautiful pictures, it is worth so many fans",做这些劳务已经很累了还要兼顾把画面拍唯美 值得这么多粉丝
24095,Ugxr7k8x-jVgzUhb-h14AaABAg,20,"my mind:why i'm watching this video?
my heart:only for beautiful lady","我的想法：为什么我正在观看此视频？
我的心：只为美丽的女士"
26999,UgySTRxH_M-qBYqsoGx4AaABAg,20,"i visited in a korean news article. the video is really pretty, and she is also quite beautiful. the whole green-colored video is really amazing. it's a comfortable video to watch.",我在韩国新闻文章中访问了。该视频真的很漂亮，她也很漂亮。整个绿色视频真的很棒。这是一个舒适的视频。
33733,UgztOIkTepGJIhCTZqZ4AaABAg,20,liziqi be like i need no man!!...one women army....super strong super beautiful,liziqi就像我不需要男人！！ ...一支女子军队....超强超级美丽
31409,Ugyw0ySv-9xJpIveof54AaABAg,20,"i love your vidios
beautiful place where you live favor","我爱你的vidios
美丽的地方你有青睐"
29732,Ugz3SQWDuku2EyRlrQV4AaABAg,19,"the first time you follow you are in a beautiful shot. at that time, the update was too slow. i repeatedly read the previous works every day. later, i was too busy to forget it. i did n’t expect yesterday to search for the youtube channel on tv yesterday. see your work again! intersection it's great. every time you look at your work, you just enjoy it. from raw materials to the last finished product, it is like showing the life of each food.",第一次关注你是在美拍，那时候更新太慢了，每天就重复的看之前的作品，后来太忙就慢慢给淡忘了，没想到昨天无聊在电视上搜YouTube频道竟然在油管又重新看到你的作品！！太棒了，每次看你的作品简直就是享受，从原材料到最后的成品，简直就像展示每个食物的一生归宿
30841,Ugz_WWXANDgdgqZRqo54AaABAg,19,when i watch her videos i feel so tranquil and beautiful. i love everything she does. grandmother has beautiful soul as well.,当我观看她的视频时，我感到如此宁静和美丽。我爱她所做的一切。祖母也有美丽的灵魂。
13349,Ugy2EFfv0hjylyXBje54AaABAg,19,"she is pretty, and calm.. how beautiful..",她很漂亮，镇定..多么美丽。
32829,Ugz3Z-lWwV0-ffXBZHF4AaABAg,19,your channel is beautiful and the land around you is stunning nature and wonderful views and take you to another world.,您的频道很美，您周围的土地是令人惊叹的自然和美景，并带您前往另一个世界。
11155,Ugx2ecOjOYh5ShKvRRp4AaABAg,18,"i appreciate myself very much. when i saw a lot of videos of the beautiful paradise you have, i wanted to come here to live, my greetings, mexico.",我很欣赏自己，当我看到许多您拥有的美丽天堂的视频时，我想来这里生活，我的问候，墨西哥。
4262,Ugz4ZThxmr5nBN62K5Z4AaABAg,18,people are beautiful and good. it's a goddess. essence essence,人又美厨艺又好。简直是个女神太棒了。。。
2366,UgydjI962gS1QDC0BVt4AaABAg,18,"you're so hardworking and beautiful, i love the simplicity. also you're a great cook, i would really like to learn some of your recipes",您是如此的努力和美丽，我喜欢简单性。另外，您是一个很棒的厨师，我真的很想学习您的一些食谱
3864,Ugw975T5rYma0PdJIbF4AaABAg,18,"this is no mere mortal, this is an elf ! so magical and so beautiful ! i am in love with these videos !",这仅仅是致命的，这是精灵！如此神奇和美丽！我爱上了这些视频！
19408,Ugw9srPFbFr5a4rcjOl4AaABAg,17,she's absolutely beautiful!,她绝对美丽！
33124,UgxU8sHB2LekqzQgAud4AaABAg,17,heaven is a place on earth right where you live!. i admire your beautiful lifestyle filled with nature's abundance! always making full use of the resources. thank you for all the videos that brightened our life!,天堂是您居住的地球上的一个地方！我欣赏您充满大自然的美丽生活方式！始终充分利用资源。感谢您的所有启发我们生活的视频！
28572,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8zy1IBXM_PX,16,"franz peters are you mentally okay? do you need someone to talk to? there’s absolutely no need for such a negative view and or opinion, on a beautiful, inspirational, amazing channel/video! don’t dwell on negativity.",弗朗兹·彼得斯（Franz Peters）你在精神上还好吗？您需要有人与之交谈吗？绝对不需要在美丽，鼓舞人心，惊人的频道/视频上使用如此负面的视野和或意见！不要沉迷于消极情绪。
17850,UgyleL6uGY8mI9t3PUx4AaABAg,16,"the color tone of the film has a lot of credit. i do n’t want to do this kind of farm work under the real color: think about how poisonous the sun is under the cicada, there are a lot of mosquitoes in the ground, and the courtyard of the chickens will not be the yard. there will be animals' feces, and it will be more troublesome to burn the pot and brush the pot. but the artistic conception of the video is very beautiful and yearn for it.",影片色调调的好有很大功劳，真实色彩下这种农活我是一点不想去干的：想想蝉鸣下的阳光有多毒，地里的蚊虫有多多，鸡鸣鹅叫的院子会不会有动物的屎尿味儿，土炕烧锅刷锅多麻烦，算了还是窝在家里吹空调舒服。但是视频展现的意境很美好，向往之。
20144,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91GbGtBlYoG,15,"it would be beautiful, but the amount of effort to keep such nature alive and thriving is equally as difficult. i would love to move to somewhere away from modern civilization and just learn how to live in such an environment..... it would be so worth it.",这将是美丽的，但是保持这种天性和繁荣的努力同样困难。我很想搬到远离现代文明的地方，只是学习如何在这样的环境中生活.....这是非常值得的。
32403,UgwqJxznO9sIJi-NOmd4AaABAg,15,i swear youre the most beautiful asian girl on earth. <3,我发誓你是地球上最美丽的亚洲女孩。 <3
34933,UgxtVJ5IFTQrlOzVRcR4AaABAg,15,"it's so good that the update is super fast, it is fun to see, people are beautiful and wise",太好了更新的超级快 ，看的过瘾，人美又有智慧
29819,UgxUXvTlOvZOkFyubr54AaABAg,15,"after seeing your youtube
i was interested in china.
china, which has such a beautiful living culture, is wonderful!
modern life is also fun
i want you to protect this wonderful culture.
i want to go to china ✈️","看到您的YouTube之后
我对中国感兴趣。
拥有如此美丽的生活文化的中国真是太好了！
现代生活也很有趣
我希望您保护这种美好的文化。
我想去中国✈️"
11601,UgyYloXo5WqBJR7gcqJ4AaABAg,14,"live such a good life, xiao nizi, you are so amazing, and filial piety is really beautiful",过着这样的生活不错啊 小妮子 你很了不起呢 又孝义 真是人美心善
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
21305,UgyVO8b_zk21ygbAcjB4AaABAg,14,"this person is very beautiful,
the food looks really delicious, and the dogs are always shaking their tails and it looks fun

i wonder if i'm happy","这个人很漂亮，
食物看起来真的很美味，狗总是在摇尾巴，看起来很有趣

我想知道我是否开心"
30623,UgwTwt_-KvmkjNiWK654AaABAg,14,her life is so wonderful and beautiful and she's also so talanted and strong real wonder woman,她的生活是如此美好而美丽，她也是如此善良而坚强的真实神奇女侠
34524,UgyUieem38jTnsuUj_x4AaABAg,14,"perfect, everything perfect... her so cute and beautiful. i love her and nature here",完美，一切完美...她如此可爱和美丽。我在这里爱她和自然
34799,Ugzn7GEQyTJdnfDNNsN4AaABAg,14,"the only channel for the convict i signed up .. the whores of dirt and politicians, without vulgarity and jaundice. all beautiful, and most importantly with meaning. surgery!",我签署了罪犯的唯一渠道。.污垢和政治的妓女，没有粗俗和黄疸。一切都很美丽，最重要的是意义。手术！
18499,UgwFsgKBe50sBFkQ9xF4AaABAg,13,"it is true that rural life in many places is more boring and not beautiful in the video, but this is not a documentary in science and education. what is wrong with the lens more wrong with the beautiful side? those who are not absolutely opposed because these videos are true? journey to the west is true? is avatar real? is the avengers really? those films that are completely unreal can be exported as a culture. why can't qi videos? at least the fresh ingredients, forests, sunlight, white clouds, and morning fog in the video are not props. this is a decompression window for people in the metropolis",诚然，实际很多地方的农村生活比视频里的更枯燥、不美丽，但是这又不是拍科教纪录片，镜头更多地对着美好的一面有什么错呢？那些因为这些视频不是绝对真实就反对的人，西游记真实吗？阿凡达真实吗？复仇者真实吗？那些完全不真实的影视都能作为文化来输出，柒的视频为什么不能呢？ 至少视频里的新鲜食材、森林、阳光、白云、晨雾、都不是道具，这是大都市苦逼人士的一个减压窗口
20313,Ugx6wfqqbyfeSS_RSpJ4AaABAg,13,"no one's life is perfect but her's is just beautiful, as beautiful as she is",没有人的生活是完美的，但她的生活很漂亮，就像她是
9135,UgxfZGWrlWvdO6E-l814AaABAg.9APD1y8AgAS9AojaTdWDgj,13,"drama ? it looks like heaven to me, everything รฎs natural and green all around her, what more one can wish for, beautiful nature, rich habitat...",戏剧 ？在我看来，它看起来像天堂，周围的一切都自然而绿色，一个人想要的东西，美丽的大自然，丰富的栖息地...
25518,Ugx75j2_9PlBs-274oF4AaABAg,13,"ohhhh! the shallow creek, the crops, the frog jumps, and the background music!!! such a brain trash releasing moment!!! it was beautiful.",哦！浅溪，农作物，青蛙跳和背景音乐！！！这样的大脑垃圾释放时刻！！！它过去挺美。
