,cid,votes,含heaven,含heaven中文翻译
17548,UgyAwTFGRCIsFEBJazh4AaABAg,21,"you have a beautiful life with your grandmother. homely clean surroundings, serene atmospheres, picturesque gardens, well-managed fields of crops, handmade crafts, etc. you are in heaven and you are so lucky. 
others are stuck in towns or cities laden with daily problems like, pollutions, litter, crimes, slums, vandalism, etc.","您和祖母过着美好的生活。家常清洁的环境，宁静的气氛，风景如画的花园，管理良好的农作物，手工制作的工艺品等。您在天堂，很幸运。
其他人则被困在每日问题，例如污染，垃圾，犯罪，贫民窟，故意破坏等的城镇中。"
41638,UgwR6QLPgkYbDF1Qc4J4AaABAg,16,it seems like she's living in a totally different world. some heavenly unimaginable beautiful world. so calm so relaxing,看来她生活在一个完全不同的世界中。一些天堂般的美丽世界。如此镇定如此放松
45781,UgxyF6EtxppIRP5tSul4AaABAg,15,"does she live in heaven?
if this is china, i hope to leave india and obtain citizenship in china.","她住在天堂吗？ 
如果这是中国，我希望离开印度并在中国获得公民身份。"
12011,UgwMefpZ7ECwSgwsdIx4AaABAg,12,this beautiful young lady lives in heaven. she is caring and kind.,这个美丽的小姐住在天堂。她在关怀和友善。
16801,UgxLbA8BT79T3l5C2Jp4AaABAg,10,okay we all know she is from heaven but can we appreciate this little cute puppies running around?,好吧，我们都知道她来自天堂，但我们能欣赏这只可爱的小狗吗？
33674,UgzS1pIrhjlIqfoVtmF4AaABAg,10,"""heaven"" is here on earth only and you, an angel living in it.",“天堂”仅在地球上，您是一个生活在其中的天使。
37470,UgzKdL9ilNwVVlwLinJ4AaABAg,10,you're living in the heaven ๐๐๐โค๏ธ love from algeria ๐ฉ๐ฟ,你住在天堂
7092,UgwxvShUzgmMWfhxelF4AaABAg,7,"our families watch this clip together even we live in different countries. we agree that watching her life story allowing us to gain more understand of chinese nowadays in china which is different from what we learned in schools in western countries. (better thank listen to any formal ambassador)
this is heaven on earth that we want to have an opportunity just at least once in our lives to have such direct experiences like ziqi. 
thank you for sharing many things with us. also thank to her cameraman & assistant who is also her cousin, min guo for being with her to create many wonderful videos.","即使我们住在不同的国家，我们的家人也会一起观看这个剪辑。我们同意，看着她的人生故事使我们能够对中国的中国人有更多的了解，这与我们在西方国家中学到的东西不同。 （最好谢谢听任何正式大使）
这是地球上的天堂，我们希望在生活中至少有一次机会拥有像Ziqi这样的直接经历。
感谢您与我们分享很多东西。还要感谢她的摄影师和助手，她也是她的堂兄，明尼·郭（Min Guo）与她一起制作了许多精彩的视频。"
12363,Ugwj4ruPSjGFourk-394AaABAg,7,"""truth shall spring out of the earth; and righteousness shall look down from heaven.
yea, the lord shall give that which is good; and our land shall yield her increase.""

- psalms 85:11-12","“真理将从地球上弹出；公义将从天上俯视。
是的，耶和华要奉献好东西。我们的土地将产生她的增加。”

- 诗篇85：11-12"
538,UgwMIyhkXPcl2ZiZzPV4AaABAg,7,"love this girl so much! ❤ she’s truly an inspiration… i admire how she lives her life to its fullest. simple but more meaningful life♥️ and i can see how she loves and cares for her grandma. makes me miss my own grandma who’s in heaven now 
looking for your comeback! ❤ god bless you","非常爱这个女孩！ ❤她确实是一个灵感……我很欣赏她如何充实自己的生活。简单但更有意义的生活♥️和我可以看到她的爱和照顾奶奶。让我想念自己的祖母，他现在在天堂
寻找您的卷土重来！ ❤上帝保佑你"
3630,UgxBAWnduyrKBfNPB0t4AaABAg.9TZB63cH9z69byU2c7MxL6,6,nah sis she made it look like heaven,不，她使它看起来像天堂
31969,UgzEkrQekheBiIkcQOJ4AaABAg,5,"dude, imagine if we have vr version video of her lifestyle ๐ฒ uuugh straight to the heaven",杜德，想象一下，如果我们有她的生活方式的VR版本视频
37185,UgwzHj09Xa_FJN9qzeJ4AaABAg,5,"truly village life, girl and her pets and the nature all seems to come from heaven,love your simple pure life,from india wb",真正的乡村生活，女孩和她的宠物和自然似乎来自天堂，爱你简单的纯净生活，来自印度
15033,Ugw-F3AWt21kRGcRhkl4AaABAg.99zjzXzXvaX9AecPA5CG78,4,welcome to heaven,欢迎来到天堂
13508,UgyJTC6BRjGBJt2on7B4AaABAg,3,"everytime i watch this video, it gives me kinda satisfaction and chill. li qi ki lives in a heaven.",每当我观看此视频时，它都会让我感到满意和寒意。 Li Qi ki住在天堂。
48176,UgyP6fWoaCNpohvpL6N4AaABAg,3,why there is some dislikes for this video????? i think those persons are not eligible to go heaven !!!,为什么对此视频有一些不喜欢？？？？我认为那些人没有资格去天堂！！！
24203,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF91jXGDCuSz4,2,arabic the heaven is more beautiful than this,阿拉伯语天堂比这更美丽
28857,UgwOq7hvfbFrgTmapN94AaABAg,2,you are blessed with talent and nature .heavenly place .serene,您拥有才华和自然的祝福。
24218,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF92QyAYpMHiU,2,china is heaven for life,中国是生命的天堂
24216,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF92MEiRt6wlZ,2,"it is like heaven life from what she has showed, also it's the real life involved hard and happiness in our countryside",就像她所展示的那样，这就像天堂的生活一样，这也是现实生活中的辛苦和幸福
17050,UgzxRrLfelT6vRTg84F4AaABAg,2,where is this heaven???????love this channel...it is like therapy...for me.,这个天堂在哪里？
39668,UgwRiXCjFPETa0VP34t4AaABAg,2,"she is so busy in her life and enjoying her life 
other girls are busy and crying for boys relationship problems lol this is not a life 
this is life that she is living... heaven place โฅ๏ธ","她的生活很忙，享受着自己的生活
其他女孩正忙着哭泣男孩关系问题大声笑这不是生活
这就是她过着的生活...天堂之地♥♥"
24347,UgyQAMmANW_77J2u1xt4AaABAg.91AgDmPxghl92G4n-IgAP2,2,actually she is an angle with a power to make heaven gardens and she made her own,实际上，她是一个有力量制作天堂花园的角度，她做了自己的角度
24984,Ugw04Uimwmp5r-6XhsZ4AaABAg.9-yq5NvA-dW90JcDUkaR2n,2,"that's impossible, our land cannot afford 1.4 billion people living like that, only industrialization and modernization can do that and make our life become better and keep our country developing. ziqi shows a heavenly beautiful country life but that was echo of our past, and our job is to ensure anyone who live on this land can live freely without starving and freezing, and make their contributions to the overall society.",这是不可能的，我们的土地无法负担得起这样的14亿人，只有工业化和现代化才能做到这一点，并使我们的生活变得更好并保持我们的国家发展。 Ziqi展示了一种天堂般的美丽乡村生活，但这是我们过去的回应，我们的工作是确保居住在这片土地上的任何人都能自由生活而不会饥饿和冻结，并为整个社会做出贡献。
21347,UgwNl5e5cdithfPGP1F4AaABAg,2,this is like heaven... i want to come here...,这就像天堂...我想来这里...
25526,UgyRi9iCUNzJnRYIds54AaABAg,2,"i wana visit your place once ..lovely ..its like heaven๐
love from india","我想拜访你的家一次.. lovely ..它像天堂
来自印度的爱"
39139,Ugw0FARd-Z8u-DKb_QV4AaABAg,2,"i live in nepal but i also want to 
live in that place. where is that heaven located? which country does it lie?","我住在尼泊尔，但我也想
住在那个地方。天堂在哪里？它躺在哪个国家？"
18329,UgzRKs4d9NmwMOL5lQx4AaABAg.97427EejB2G97RMkPByDwq,2,we used to bring our own corn or rice to the guy and waited very impatiently while it was cooking in that thing... and that big sound waooo just like the music from heaven to the kids,我们曾经把自己的玉米或米饭带到那个家伙，在那件事做饭的时候非常不耐烦……就像从天堂到孩子们的音乐一样，声音很大
500,Ugwtv3KGvqjt0h4LxPB4AaABAg,2,i think 2/3years back am watching this women.... i feel she's in heaven of nature like all fruits veggies raw flesh i envy her's leàding it's so healthy it never look like she's one among us...... with all so much stuff around her.,我认为2/3年的回头看着这个女人。...我觉得她像所有水果一样在大自然中，就像所有的蔬菜生肉一样，我羡慕我的肉，但她的生活真是太健康了，看起来永远不会像我们中间一样。 .....周围有很多东西。
24345,UgyQAMmANW_77J2u1xt4AaABAg.91AgDmPxghl92EX2iAowUa,2,"@softclouds123 i am sorry about my english if i did any mistake but.. can i really advice onething ; if you really want to learn this story you should read "" quran-i kerim"" with mean.. there explaining so perfect. they ate this fruit and allah make them out of heaven cos allah (cc) was told them "" dont eat. "" allah check them only.. but at end they ask forgiveness perfectly... talking about this like that is not good.. they are our "" mother and father "". they are father and mother for all muslims..",@softclouds123我对我的英语感到抱歉，如果我犯了任何错误，但是..我真的可以建议吗？如果您真的想学习这个故事，则应该以卑鄙的方式阅读“古兰经”。他们吃了这种水果，真主使他们离开天堂，cos cos cos Allah（CC）被告知他们“不要吃。他们是我们的“母亲和父亲”。他们是所有穆斯林的父亲和母亲。
6138,Ugw98_3a1pgXaAGTG3Z4AaABAg,2,life is beautiful in liziqi's life. i can visualize heaven from her garden.,生活在利兹奇的生活中是美丽的。我可以从她的花园里想象天堂。
6781,UgwMn9j2DmEbNjzOSCZ4AaABAg,2,i don't know what to say i am speechless 's like heaven on earth thanks god for youtube and your channel ❤️,我不知道该说些什么，我是无语的
43576,UgzBggbotwWpOGoAZY94AaABAg,1,can i know where exactly this place is? really like heaven!,我能知道这个地方到底在哪里吗？真的很喜欢天堂！
43358,UgykzcaWyuVBUwZkArd4AaABAg,1,is this heaven ?,这是天堂吗？
3886,Ugz7PTytwuYrN8eG1vp4AaABAg,1,"rural life, food is heaven, hard work for hard work, and the fireworks on the world have lived poetic and painted [like]",田园生活，食为天，勤劳为乐，人间烟火，都活出了诗情画意了[赞]
7131,UgzXzuS6Qf1UOPoKlBZ4AaABAg,1,is that heaven ??,那是天堂吗？
33500,UgylHIZf8nDc4RND9Td4AaABAg,1,"what a remarkable women! she herself is like the beautiful lotus flower and what it stands for. exquisite in every possible way, living a life most could never dream of, in total harmony with herself and her surroundings. what i love so much about the chinese people in these out of the bustling city life environment. heaven with an angel",多么了不起的女人！她本人就像美丽的莲花及其代表。精致的生活方式，过着与自己和周围环境完全和谐相处的绝对无法梦想的生活。在繁华的城市生活环境中，我非常喜欢中国人。天堂与天使
38399,Ugz5I11h3q3056d1_Fd4AaABAg,1,you live in heaven? amazing amazing amazing women!!!,你住在天堂吗？惊人的神奇女人！！！
22826,UgymFulWpLcPMDIGmGl4AaABAg,1,she lives in a heaven...,她住在天堂...
17203,UgyMOcoMzCoJUi90uRF4AaABAg,1,"if this is not heaven, what is?",如果这不是天堂，那是什么？
31184,Ugy6Bz9LF4KwV2sfCOt4AaABAg,1,she lives in heaven๐’๐’๐’...,她住在天堂...
17917,UgyoqGArAljShImtHkt4AaABAg,1,this is a true heaven for me wow ❤️❤️,这对我来说是一个真正的天堂哇❤️❤️
24870,Ugw7YQ5GfxWbobIz7QR4AaABAg,1,is this what it's called heaven and the maiden ???,这就是所谓的天堂和少女吗？？？
2414,UgwugfAAIREjNEniNGJ4AaABAg,1,she lives in heaven❣️,她住在天堂❣资我也想去那里
42771,UgxB7U_3Bk_OGsd1Zrh4AaABAg,1,i just visit heaven ☺️,我只是去天堂☺️
18448,UgzA_66RlLPYe7pMd4B4AaABAg,1,you truly live in the earth's heaven.....,您真正生活在地球的天堂.....
11117,Ugx9D8Gl1i7mSB6fm514AaABAg,1,heaven way of living โค๏ธโค๏ธโค๏ธ,天堂的生活方式❤️❤️❤️
22463,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN93n7r7stFrh,1,yes....heavenly on earth. can hardly wait for the new jerusalem to come down from the heavens to earth.,是的。。。几乎不能等待新耶路撒冷从天堂降落到地球上。
5706,Ugz3bbOqBNWYvu8dUoN4AaABAg,1,"is this heaven ?
-yes!!!","这是天堂吗？
-是的！！！"
41980,UgxCxsdUeFk0iLliQQp4AaABAg.8roqfh3F7vs8s2UOXm6hpA,1,humans lived in such harmony heaven once.,人类曾经生活在如此和谐的天堂中。
39452,UgxQpbdGjyRqqrFzKQx4AaABAg,1,"righteousness, utter righteousness. blessed with necessary skills. heaven smiles upon thee.",公义，完全公义。有必要的技能。天堂对你微笑。
41946,Ugyjsb1X-zUpcoIIyn14AaABAg,1,heaven...,天堂...
19702,Ugw8zVfijnF81fkgXTV4AaABAg,1,i want to visit this place ... lovely ❤️❤️ heaven on the earth ...i'm stuck of this city and its pollution and fucking office work.. really i ❤️ their work,我想去这个地方...可爱的❤️❤️天堂在地球上...我被这座城市及其污染和他妈的办公室工作。
21647,Ugw3xASut1jUTXaFI-N4AaABAg,1,"is this heaven.... i want to be your partner, i have lot of energy and stamina can work with you and lead a peaceful life...",这是天堂。。。我想成为你的伴侣，我有很多精力，耐力可以与您合作，过着和平的生活...
31372,UgxJ8T5zsvT368LozK54AaABAg,1,"a wife like this, heaven on earth",像这样的妻子，地球上的天堂
39364,UgxyMj1Z6XzsKT2w1gR4AaABAg,1,its look like heaven of nature omg i wanna love there,它看起来像自然的天堂，我想在那里爱
4474,Ugwt_97yviu72pes2YZ4AaABAg,1,is this a heaven,这是天堂
43556,Ugw41RNzkj8DLGzlbyx4AaABAg,1,is this how heaven is supposed to look? sooooo beautiful!!!!!!,这是天堂的外观吗？太漂亮了!!!!!!
37915,Ugz6g8fQo9-RtnRomgN4AaABAg,1,how can anyone dislike this video? this is how heaven should look like. amazing.,谁能不喜欢这个视频？这就是天堂的样子。惊人的。
23468,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92ZVUNa32WO,1,the walls of the heavens are actually protecting these foreigners. hehe,天朝的墙其实是在保护这些老外。呵呵
965,UgxJIZQuME0CqcXbWDN4AaABAg,1,"glory be to god, the badi ... how will heaven be !!! oh lord, grant us paradise",荣耀归于上帝，巴迪...天堂将如何！！！哦，主，给我们天堂
24267,UgwCvD111I9iR69sDnF4AaABAg,1,wow how a beautiful heaven and the animals and the place looks so beautiful,哇，美丽的天堂，动物和地方看起来如此美丽
40012,UgygvfKEvZ2H3M1KIrF4AaABAg,1,what place was it .is it heaven ?,它是什么地方。它是天堂？
12524,UgwW1bHmxyuU9-RotSp4AaABAg,1,she lives in heaven,她住在天堂
46581,UgyZKLANMDq2uctGTll4AaABAg.8qt6fMEP0wz8qwtyk6A9yO,1,such a woman is only available in heaven. few worldly men are worthy. even if you.,这样的女子天上才有。没几个世俗男人配得上。你就算了。
12735,UgyhR3mSSzpyOiFHC_J4AaABAg,1,"good life, good food , good healthy , so nature, like in heaven , peacefully...i love it",美好的生活，美味的食物，健康，所以自然，就像天堂一样，和平...我喜欢它
29410,UgzDHh_7JLXM_97TSrh4AaABAg,1,"no doubt , sheโ€s really living in heaven โบ๏ธ",毫无疑问，她真的住在天堂☺️
24224,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF92j0ZTXD6UY,1,you suppose to rest in heaven not working.,您想在天堂休息不起作用。
24223,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF92bgMV4_jHM,1,heaven is uncountable times better than this,天堂比这更好的时代要好
546,UgyHFn5k4so1h35fWAB4AaABAg,1,"all of this is provided, the earth ... the sun ... heaven ... everything. amazed with actor who has the skills to produce art in video? but not amazed by those who provide everything on earth that humans need? of course, what makes everything in this universe must be unbeaten, there will be no rival, it will not resemble it because it is so stuck. to give an example to humans a good way of life, it only needs to send a similar creature, the best human (prophet). so that there is no more reason not to recognize the truth by saying ""what is sent by angels, we humans will not be able to emulate it"".

where did the fish come from?","所有这些都提供了，地球...太阳...天堂...一切。对在视频中有艺术技能的演员感到惊讶？但是，那些提供人类需要的一切的人都不会惊讶吗？当然，使这个宇宙中的一切都必须保持不败，不会有竞争对手，因为它被卡住了。为了为人类提供一个良好的生活方式，它只需要发送类似的生物，最好的人（先知）即可。因此，没有更多的理由通过说“天使发送的内容，我们人类将无法效仿”来认识到真相。

鱼是从哪里来的？"
9767,UgwFvaw8LwOOIPX3u6t4AaABAg,1,liziqi heaven ❤❤❤,liziqi天堂
43656,UgwTc_fI7gQHGRqoV-F4AaABAg.8rJh5hdNwin8rShinV6hsT,1,hitting on her may bring you to heaven right!?,击中她可能会把你带到天堂！？
9582,Ugxv1BeTXRzUC-ej7oh4AaABAg.9H4PahxTxp29HH6_j-_7AB,1,"@gorillaknuckles3976 ultimately, it matters because if she does not truly know and believe in jesus, she will not receive the gift of everlasting life. and she will not be able to enjoy the many gifts of heavenly living.
-
i originally said, “christian”, referring to the lady, because she reminded me of the many christian friends i have within my church community.","@gorillaknuckles3976最终，这很重要，因为如果她不真正了解和相信耶稣，她就不会收到永恒的生活的礼物。她将无法享受天堂般的许多礼物。
- 
我最初说：“基督徒”，指的是那位女士，因为她让我想起了我教会社区中的许多基督教朋友。"
24206,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF92-Jx6cbFZp,1,arabic is living in heaven,阿拉伯语生活在天堂
13815,Ugy5F48YoRg_MZymWMh4AaABAg,1,it's heaven!,是天堂！
1652,UgyUskTKJkKlict5rbt4AaABAg,1,this right here is heaven on earth.,这就是地球上的天堂。
2067,UgxMZdjPd4jKMRXhEPd4AaABAg,1,"no doubt . she is living in a part of heaven.
after watching her inspirational movies i also want to see her life which is so beautiful.it is unbelieveable that a beautiful girl is living in a beautiful place. its like a dream","毫无疑问 。她住在天堂的一部分。
看完她的鼓舞人心的电影后，我也想看看她的生活如此美丽。令人难以置信的是一个美丽的女孩住在一个美丽的地方。就像一个梦"
30309,UgxcmLOLxd9yCtgqSnt4AaABAg,1,may be you guys in heaven,可能是你们在天堂
23698,UgwpCFZj1EV4wAug2dt4AaABAg.92EmGfLmzQZ92jxTMSxHAe,1,heaven is better :),天堂更好:)
14802,UgyXxS50z1HqPOW-zOF4AaABAg,1,that mango looks heavenly,那个芒果看起来天堂
9567,UgxmBIW4ny7XOMobT1J4AaABAg,1,"she's very helpful hand ☺️to her grandy

also you are very scary while popcorn man pulluped the bucket 
also without death how someone can reach in heaven like this,and shes work perfectly doing like i want like she girl for whole life","她很有帮助

另外，当爆米花男子推着水桶时，您非常可怕
同样没有死，有人可以这样在天堂到达，她的工作正常像我想要的那样，就像她一生一样，她想要像她一样"
24405,Ugwd1FaHPgwp2JNLw0t4AaABAg,1,i think she lives in heaven,我认为她住在天堂
527,UgyoVcx73Vd-HljSyEx4AaABAg,1,i feel like watching something came from heaven. this lifestyle was the most beautiful thing i saw for the day.,我觉得看着天堂来了。这种生活方式是我当天看到的最美丽的东西。
