,cid,votes,含food,含food中文翻译
7821,UgzbZsdwFVGgHSA12yl4AaABAg,165,"bamboo shoots are very popular as food in northeast, india.",在印度东北部的食物作为食物非常受欢迎。
19039,Ugxx0C0wczLWx2DIaoJ4AaABAg,159,"i just love asian food. last year i visited the philippines for 3 weeks. my next stop will definitely will be japan, china or korea. asian people are so friendly and kind.",我只是喜欢亚洲美食。去年，我访问了菲律宾3周。我的下一站肯定会是日本，中国或韩国。亚洲人是如此友好和友善。
3950,UgwGF-mfOEwIG9tT5714AaABAg,138,grandma is so lucky! she is eating good food made with lots of love!,奶奶很幸运！她正在吃充满爱的美食！
15849,UgzXqMmiTZGBoG3lg7x4AaABAg,135,"as a european, i have never had the tangent with the specific food to the area you are from, what you cook, i call healthy food, all kinds of nutrients and vitamins etc, exactly what the body needs. i really like your lifestyle, even if you do not show it all, but seeing from the big perspective you lead a healthy life, we should take an example from you. greetings from romania :)",作为欧洲人，我从来没有与您来自该地区的特定食物，您烹饪的东西，我称之为健康食品，各种营养素和维生素等，这是身体所需的。我真的很喜欢您的生活方式，即使您不展示所有的生活方式，但是从大的角度来看，您过着健康的生活，我们应该以您的榜样为例。罗马尼亚的问候:)
17966,Ugy9Dzd0HKEAe92QJqh4AaABAg,111,am i only one feel cooking a real chinese traditional food is complicated like alchemy. lol,我只有一个人觉得烹饪真正的中国传统食物像炼金术一样复杂。哈哈
17332,Ugz_7s6SA3hDL7Can_t4AaABAg,97,damn....this video....i order chines food after this video,该死的视频....我在此视频之后订购了Chines食物
31539,Ugzonvb4zsPJxUzVih54AaABAg,91,"hello 
i am from manipur,a north eastern state of india 
i would like to say that we have similar kind of lifestyle and food habits 
we also eat this kind of food
love from manipur,india","你好
我来自印度东北部的曼尼普尔
我想说我们有类似的生活方式和饮食习惯
我们也吃这种食物
来自印度曼尼普尔的爱"
4872,UgwBdL8RFnlKoh0KJ0V4AaABAg,90,"oh my god, korean people! stop this meaningless hateful attack! what is the matter with you ? you own this food, too?",哦，天哪，韩国人民！停止这种无意义的仇恨攻击！你怎么了？你也拥有这种食物吗？
4766,Ugz-9AfuXVyzFJJ4yi54AaABAg,78,"me：i think there is no doubt that it's chinese food.
south koreans:","我：我认为毫无疑问是中国菜。
韩国人："
11493,UgzuYMkkhXq4BtWGQE94AaABAg,77,is “casual foods from different corners of the kitchen” liziqi’s way of saying “yea i threw some random shit in a pan” lmaoo,是“厨房不同角落的休闲食品” Liziqi说“是的，我在锅中扔了一些随机的狗屎” lmaoo
23083,Ugw2I75G3YNmfMa4Q254AaABAg,74,"casually braising foods from different corners of the kitchen' 
i'm done","从厨房的不同角落随便炖食物'
我完成了"
30893,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yZyHcD47Jg,73,she is ranked seventh among the top ten online food authors in china.she is very famous,她在中国十大在线食品作家中排名第七。
6573,UgyJYKtGZcL-3TvQYDt4AaABAg,72,"the house is nice and i want to live there. delicious food...every time i see it, i admire it.๐‘๐‘๐””๐",房子很好，我想住在那里。美味的食物...每次看到它，我都很佩服。
19354,Ugwft_uJNxwGwSQ-GQR4AaABAg,70,"too powerful, i started to make snail powder from raw materials ~ the saliva, jingmei, food beauty, beauty, and more beautiful! intersection intersection",太厉害了，竟然从原材料开始做螺蛳粉~ 看的口水直流，景美，食美，手艺美，人更美！！！
30749,Ugy0v6tq6tPqlR2Pldh4AaABAg,65,"heathy food, i guess you have a pharmacy in your garden, when someone begin to seeing your videos he can't stopped until he finish it",Heathy的食物，我想您在花园里有一家药房，当有人开始看视频时，他才能停止，直到他完成它
6288,UgyFdhbWHCZe1PyLh2V4AaABAg,63,i supposed anyone who eats this nutritious food would reached the age of hundred years and aboved still strong and healthy ๐—๐‘,我以为吃这种营养食品的人会达到百分之一的年龄，并且仍然坚强健康
4366,UgzTV687H9RI-AJwf3B4AaABAg,61,"watching her cooking while eating was so satisfying, my ordinary food become delicious because what? we shud appreciate what nature gave us to eat.",看着她吃饭时的烹饪是如此令人满意，我的普通食物变得美味，因为什么？我们欣赏大自然给我们吃的东西。
10607,UgxXJJCLlh5MKZVn1xN4AaABAg,58,"when eating, ziyi always prepares a small bowl for grandma. essence essence but recently, grandma is not always suspected.
could it be that ziyi's food has made grandma return to old age!","吃饭时，子柒总是先给奶奶准备一小碗。。。可最近奶奶总嫌不够呢。
难道子柒的美食让奶奶返老还童了！"
21597,UgxmqdZOcxxK0Zco7ld4AaABAg,57,i think about how much fake food i eat and how weak i always feel... this almost makes me cry. someday i'm going to live like this too. its beautiful.,我想到我吃了多少假的食物，以及我总是感到多么虚弱……这几乎使我哭泣。总有一天，我也会像这样生活。很美丽。
11182,UgynGfWD46lnUaJcKwR4AaABAg,55,"the ultimate way of “shelter in place”. the narrative less making focuses all on her beauty, the food harvest and preparation.",“庇护所”的最终方式。叙事较少的叙事集中在她的美丽，食物收获和准备上。
13915,UgzgJjGL0q4IQHjGl7J4AaABAg,53,i want your grandmothers life: relaxing on the swing watching my food being prepared!,我想要你的祖母生活：放松秋千，看着我的食物正在准备！
5627,UgwpUI0m8Mk-QT1ICNl4AaABAg.9G4tMmRfxew9GAL19rXl0S,47,"@tomrauhe do you think humans aren't all flesh and blood animals that are part of the same food chain? humans have the same basic right to hunt and kill for food as any other animal. maybe if you were more connected to nature, you would understand that. if something comes to harvest me and i can't fight it off, i guess i'm gonna get ate. it's just the nature of things, dude.",@Tomrauhe您认为人类并不是同一食物链中一部分的肉体和血液动物吗？人类具有与其他动物相同的基本权利进行狩猎和杀害食物的权利。也许，如果您与自然之间的联系更加紧密，您会明白这一点。如果要收获我，而我无法与之抗争，我想我会吃饭。伙计，这只是事物的本质。
14790,UgyX2fojD4McHy5R2l94AaABAg,46,"i miss this kind of life in our province.those kind of foods, the way she cooked thats how we cook our food before its a healthy living. this shows simple life in a province. peaceful and contented with what you have.",我想念我们各省的这种生活。这些食物，她烹饪的方式就是我们在健康生活之前烹饪的方式。这显示了一个省的简单生活。和平，满足于您所拥有的。
23908,UgyTYTiQ_9w46NMVZj94AaABAg,45,"last time i cooked the luosifen, my spanish roommate came out to kitchen and asked me ""what the hell are you burning? the kitchen?"" 
frankly speaking, luosifen is an super ""unique"" food which smells like shit but tastes god-damn fantastic.","上次我烹饪Luosifen时，我的西班牙室友出来厨房问我：“你到底在燃烧吗？厨房？”
坦率地说，Luosifen是一种超级“独特”的食物，闻起来像狗屎，但味道众多的美妙。"
17443,UgyxjCNw7PcHy00mFTh4AaABAg,45,now that is real chinese food not the fake stuff i just ordered.,现在，这是真正的中国食品，而不是我刚刚订购的假物品。
3038,UgxKtHuOHYK2IvYq_Pd4AaABAg,45,liziqi and dianxi are seriously living my true life dream of living off the land in the countryside making food for the family everyday with wild natural ingredients or plants/livestock i planted and raised from the start. i wish there were areas that are as abundant with farm land and wild edibles as their countryside but i live southern california where the only thing in the wilderness is dead grass and mountain lions lol there are a lot of squirrels rabbits and skunks for a source of meat but i wouldn’t be able to grow or pick any of the amazing types of fruits and vegetables they have in their videos,Liziqi和Dianxi认真地实现了我的真实生活梦想，即生活在乡村的土地上，每天用野生天然成分或植物/牲畜从一开始就植入并养育了植物/牲畜。我希望有些地区与农村一样丰富，但我住在南加利福尼亚州，那里的荒野中唯一的东西是死草和山狮，大声笑有很多松鼠兔子和臭鼬，以提供一种来源肉，但我将无法在视频中种植或选择任何令人惊叹的水果和蔬菜
6103,Ugw1Ac16L1muZXCfxKd4AaABAg,44,"i'm so ashamed of myself, i'm not even patient enough for the microwave. her food looks so fresh and healthy",我为自己感到羞耻，我什至对微波炉的耐心还不够。她的食物看起来很新鲜和健康
19802,UgzCEkY0funS2x3TS914AaABAg,39,"bamboo the most versatile plant (grass) ever.
1. food✅
2. shelter✅
3. eating utensils ✅
4. and many more ✅","竹子有史以来最通用的植物（草）。
1.食物✅
2.庇护✅
3.吃餐具✅
4.还有更多✅"
17923,UgxVd4SOGXAYOUDQbkJ4AaABAg,39,"admire. i need to change the water to the food snail powder once and the people who feel troublesome to add a bag of condiments to see it. seeing that the production process of this snail powder is actually comfortable. sometimes the fast -paced life of the city really makes people upside down, but despise the most basic clothing, food, housing and transportation in life",佩服。我连买速食螺蛳粉需要换一次水和把一袋袋佐料往里加都觉得麻烦的人，看这个螺蛳粉制作过程居然产生舒适。有时候都市快节奏生活确实让人本末倒置，反而轻视生活中最基本的衣食住行
18126,UgwFFHbGBnpCqZxUaYx4AaABAg,37,在 国外 的 孩子 看 水 ， ， ，哭辽！！ 吃 想 想 吃！ 超级 ！！ ！！ ！！ i miss chinese food i miss china very much.,在在的孩子，，，，，，，，我想念中国菜，我想念中国食品我非常想念中国。
19939,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91S5fCNXtd0,37,"your name says it all :) but in all seriousness i agree. people say it’s all for money yet how do they know? are they liziqi? no. so they can’t say wether or not it’s fake and anyway she does it for her grandma (whose ill) i’ve seen some people say her products are over priced, but she took several hours of her day to prepare the food. so thank you for your comment.",您的名字说明了一切:)，但我同意，但我同意。人们说这一切都是为了钱，他们怎么知道？他们是liziqi吗？否。 。因此，谢谢您的评论。
33606,Ugy-ecltfma1pIQ9t7d4AaABAg,34,"螺蛳粉,river snails rice noodle，a delicious traditional food with special taste in guangxi,china.",螺蛳粉，河蜗牛面条，是一种美味的传统食物，在中国广西地区具有特殊的味道。
26257,UgzA1Q8HkCOrZHYuKeF4AaABAg,33,wow chinese food is so great. will surely visit the middle kingdom on day. love from india!,哇，中国菜真棒。一定会在当天参观中间王国。来自印度的爱！
19941,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91Xmied6iFl,33,"hi w. w., i saw a clip posted by (very likely) american white males denouncing chinese enterprises that presented food products as clean and healthy but actually filthy and dangerous to health. when some viewers see miss li's clips, they may over-generalize / stereotype and guess miss li is faking everything. many dislikes are definitely from rival camps, many of which are in china.",嗨W。 w。，我看到（很可能）美国白人男性发布了一个剪辑，谴责中国企业，这些企业将食品表现为清洁，健康但实际上对健康的危险。当一些观众看到李小姐的剪辑时，他们可能会过分刻板 /刻板印象，并且猜猜李小姐正在伪造一切。许多不喜欢的人肯定来自竞争对手营地，其中许多是在中国。
9490,UgxUq-fp5ESkSEntd4V4AaABAg,32,"every food she make, makes me drool and wanting to taste it๐ฅ",她制作的每种食物，让我流口水，想品尝它
8822,UgzDfAKViIMTcjDaZON4AaABAg,32,i love that her main dinning area is out door! what a blessing to be enjoying the food surrounded by nature!,我喜欢她的主要用餐区不在门外！享受享受大自然包围的食物的祝福！
16778,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92w1ZbbFbCE,31,"her life is boring, she should eat more gmo vegetables that's contaminated by pesticides, work harder 12hours daily in small office, and not forget she not eat any junk food at all so they decided to dislike it.",她的生活很无聊，她应该吃更多被农药污染的转基因蔬菜，每天在小型办公室里努力工作12小时，并且不要忘记她根本不吃任何垃圾食​​品，所以他们决定不喜欢它。
9355,UgwMBWwVim-_JtQ3vXp4AaABAg,29,she gon live till 100 with these natural organic foods everyday,她每天都有这些天然有机食品直到100
30226,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yuAZ98N03M,29,don't you worry her grandma will live for 200 yrs because of the healthy and natural foods she eats,您不担心她的奶奶会因为她吃的健康和天然食品而活了200年
20842,Ugzfk2U1ZDYl5ypDmgV4AaABAg,28,"“casually braising foods from different corners of the kitchen” 
i love this woman","“随便从厨房的不同角落炖食物”
我爱这个女人"
9154,UgxTTEaqCGfOX461hbt4AaABAg,25,"sichuan is blessed with its natural magnificent landscape, unique culture, food and many historical wonder.. yading, jiu zhai gou is definitely one of my favourite.",四川拥有其自然宏伟的景观，独特的文化，食物和许多历史奇观。
7174,UgyKvog_WwPdF2uOBkl4AaABAg,25,"wow. chinese have a great traditional food clothes house and life style.one day i hope i will able to visit this country as a tourist. 
from bangladesh ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ","哇。中国人有一个很棒的传统美食屋和生活方式。我希望我能够作为游客访问这个国家。
来自孟加拉国"
3471,UgyTXA9v0XHnuPKGjIV4AaABAg,24,"what i like the most about ziqi's videos: 1. she is so pretty and pleasant to look at; 2. the food looks so beautiful; 3. the countryside, the environment... everything in her videos, from the person to the environment, are just so beautiful and pure. i am glad that there are no men in her videos except the occasional appearance of the camera man.",我最喜欢Ziqi的视频：1。她看起来很漂亮和愉快； 2.食物看起来很漂亮； 3.乡村，环境...从人到环境的视频中的所有内容都是如此美丽和纯洁。我很高兴她的视频中没有男人，除了偶尔的摄影师外观。
1799,UgzafBF-nlayWxz9jRx4AaABAg,22,so much love goes into her food. watching her and mom relaxing makes me feel good. i want to visit.,她的食物如此之多。看着她和妈妈放松，让我感觉很好。我想参观。
29732,Ugz3SQWDuku2EyRlrQV4AaABAg,19,"the first time you follow you are in a beautiful shot. at that time, the update was too slow. i repeatedly read the previous works every day. later, i was too busy to forget it. i did n’t expect yesterday to search for the youtube channel on tv yesterday. see your work again! intersection it's great. every time you look at your work, you just enjoy it. from raw materials to the last finished product, it is like showing the life of each food.",第一次关注你是在美拍，那时候更新太慢了，每天就重复的看之前的作品，后来太忙就慢慢给淡忘了，没想到昨天无聊在电视上搜YouTube频道竟然在油管又重新看到你的作品！！太棒了，每次看你的作品简直就是享受，从原材料到最后的成品，简直就像展示每个食物的一生归宿
19145,UgyL36VAr3xFKNwipyt4AaABAg,19,"your way of life looks very peaceful, and your food looks 好吃。",您的生活方式看起来很宁静，您的食物看起来好好。
27031,UgwGlXbdzgnihHJfG094AaABAg,18,"that's why people there have less cardiovascular disease and cancer. they live in harmony with and from nature. in our high industry, only the profit of the pharmaceutical and food industry counts at the expense of health. finally wake up ...",这就是为什么那里的人患心血管疾病和癌症的原因。他们与自然和谐相处。在我们的高层工业中，只有制药和食品行业的利润才能以牺牲健康为代价。终于醒了...
32736,UgwiHkjG3EMehpceRAt4AaABAg,18,"haha, she chomps her food with her leg up on the stool",哈哈，她用腿上的脚在凳子上把食物粉碎了
1274,UgyH3nU0RVYslOlnZp54AaABAg,18,that important a life where so many food resources is obtained thanks to the work of a woman who lives in harmony with nature. it is also an excellent cook.,由于一位与自然和谐相处的妇女的工作，获得了如此多的食物资源的重要生活。这也是一位出色的厨师。
8378,Ugw3U6xghZ0xT9Re6LV4AaABAg,17,"100% organic food, sourced locally, what could be more satisfying! but she must spend a lot of time preparing food & cooking! which must also be satisfying for her.",100％有机食品，本地采购，可能会更令人满意！但是她必须花费大量时间准备食物和烹饪！这也必须让她满意。
17375,UgzpONnO8ysIUopexzB4AaABAg,16,don’t care about the government stuff and come china. i’m absolutely sure that you will love the food there.,不在乎政府的东西，来中国。我绝对确定您会喜欢那里的食物。
17792,UgzNjAlpW0sWSQUe5HF4AaABAg,15,"i really like her food making video, my sister is great",真的是很喜欢她的美食制作视频，小姐姐太棒了
31161,UgyNPP-Toq36eMKGNYl4AaABAg,15,"she starts collecting ingredients in the morning and having the meals in the evening..
no food during that time?","她早上开始收集食材，晚上吃饭。
那段时间没有食物？"
25915,UgxDDqbewBEVqPFraQl4AaABAg,15,"iam a pure vegetarian.
i dont like non vegetarian food but i like to watch her cooking style","我是纯素食主义者。
我不喜欢非素食，但我喜欢看她的烹饪风格"
11023,UgzxCAS0Jrwg6fsStv54AaABAg.984qUe8j7ci98hqLx8Aalm,15,good quality food and lots of outdoor living plus that amazing natural environment,优质的食物和大量的户外生活以及那个惊人的自然环境
8096,UgwlfskWSjrMDsi5bBx4AaABAg,15,"in my country ๐ฒ๐พ we called this type of cooking or foods 'kampong style',...soooooo delicious๐",在我的国家 /
17301,UgwE2kJ033T-s7sPYQF4AaABAg,14,"the food,the mood,scenery and the cinematography.
perfect.","食物，心情，风景和摄影。
完美的。"
21305,UgyVO8b_zk21ygbAcjB4AaABAg,14,"this person is very beautiful,
the food looks really delicious, and the dogs are always shaking their tails and it looks fun

i wonder if i'm happy","这个人很漂亮，
食物看起来真的很美味，狗总是在摇尾巴，看起来很有趣

我想知道我是否开心"
19695,UgxEf5ucZJK9SR8qPSp4AaABAg,14,she shows how you can make food from literally anything.,她展示了您如何从几乎任何东西中制作食物。
30625,UgyQAUUTLKxFmVf_xUt4AaABAg,14,"because i want to be chinese, the japanese are just to make these foods


because i want to be a chinese, the japanese can make these foods","因为我想成为中国人，日本人就是为了制作这些食物


因为我想成为中国人，所以日本人能够制作这些食物"
18431,Ugx8y9urQgd10hph1x14AaABAg,14,"this bamboo shoots have been split with so much moisture. it must be very delicious. can you go to your house as a guest? unfortunately, i did n’t make pork ribs soup, very sweet and delicious and healthy food.",这笋一刀劈开就这么多水分想必好吃极了 。到你家做客好吗？可惜没做排骨荀汤，很甘甜的极美味健康美食的 。
11624,Ugx7H5PE15ss_n6ZinN4AaABAg,13,08:00 in my village that plant is weeds. it's becomes a delicious food in the liziqi's hand.,08:00在我村庄，植物是杂草。它变成了利兹奇手中的美味食物。
10364,UgzOhAf0sg2LzijmoAR4AaABAg.98ojNybWPIt98rG-rLjeNS,13,"she's a very busy woman. she's always out doing things, so she barely snacks. she's more focused on feeding her family, and prefers to eat with them. 
in asian cultures, it's more known to savour food with family, because of how hard they work together to grow and create amazing dishes. 
you don't really think about food when you go buy it from the store. however, when i was in asia, you can see all the hard work people put in to make a filling meal. eating a whole pot of anything would be very disrespectful and a waste of food. 
eat until your full please, don't over eat, and please, please don't waste food when others can have it.","她是一个非常忙碌的女人。她总是在做事，所以几乎没有零食。她更专注于为家人喂养，并且更喜欢和他们一起吃饭。
在亚洲文化中，众所周知，与家人一起品尝食物，因为他们如何共同努力生长和创造令人惊叹的菜肴。
从商店购买食物时，您并没有真正考虑食物。但是，当我在亚洲时，您可以看到人们为填充餐的所有辛勤工作。吃一整锅任何东西都是非常不尊重的，并且浪费食物。
吃饭，直到您吃饱，不要吃饭，请，请不要在别人拥有的时候浪费食物。"
15280,Ugwg2v98YNGIkwlhtnt4AaABAg,12,food with nature is what we miss in this mechanical world. we are forgetting our interaction with nature. thess video tells what i really missing,在这个机械世界中，我们错过了与自然的食物。我们忘记了我们与自然的互动。 Thess视频告诉我我真正想念的
3131,UgzSeu0fmWnTjJUSMZJ4AaABAg,12,i have never tried this dish but i already know it's my favourite food - can anybody else relate?,我从未尝试过这道菜，但我已经知道这是我最喜欢的食物 - 其他人可以联系吗？
27654,UgwFV-nELZzCVufZkxl4AaABAg,12,watching you make food makes me so hungry! even the snail soup looks sooo good and i don't even like snail!,看着你让食物让我如此饿！甚至蜗牛汤看起来都很好，我什至不喜欢蜗牛！
32025,UgwaJkkIiTT3KCcCCtZ4AaABAg,11,"if it's possible i wanna visit this beautiful place 
wonderful place guys!!
everytime i watches her videos i too get to have love for the place apart from organic foods ♥️","如果有可能，我想参观这个美丽的地方
很棒的地方的家伙！
每当我观看她的视频时，我也都会爱上这个地方，除了有机食品♥️"
26471,UgyfGuFAaJcps3oWHdB4AaABAg,11,dang... this lady n her mom / granny blessed with a great foods. so yummy!,ang ...这位女士n她的妈妈 /奶奶祝福了美味的食物。很好吃！
30900,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8ytWCxtiBol,10,"bramha's astra well... that is what cooking is... its definitely not ""food eating"" or ""food storing""... putting together dishes doesnt need to be original or super creative. i really dislike how americans are looked down on on everything. im not saying american cuisine is anything impressive, weve been around for a handful of generations tbh and were all just bunch of cultural foods mixed together, but dont disrespect american chefs or food lovers that genuinely enjoy their creations...",布拉姆（Bramha）的阿斯特拉（Astra）很好...那就是烹饪...绝对不是“食物吃”或“食物存储” ...将菜肴放在一起不需要原始或超级创意。我真的不喜欢美国人如何看待一切。我并不是说美国美食令人印象深刻，我们已经待了几代人，只有一堆文化食品混合在一起，但不要不尊重美国厨师或食物爱好者，这些爱好者真正喜欢他们的创造...
16689,UgxR31wOJ8YAGz-4YYV4AaABAg,10,i wish i could taste her food.,我希望我可以品尝她的食物。
