,cid,votes,time,含food,含food中文翻译
21008,UgxAvEm9E-OR-TCgCHd4AaABAg,114,3 years ago,when you can smell all the foods she cooks while watching. this girl is really really good at cooking.,当您可以在观看时闻到她烹饪的所有食物时。这个女孩真的很擅长做饭。
49212,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmOFMZhd4u,90,4 years ago,all the recipes will be very spicy so just true spicy-food lovers will appreciate,所有食谱都会非常辣，所以只有真正的辛辣食物爱好者会喜欢
49215,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmkfWvd8Yr,84,4 years ago,she is doing many things in a traditional way. for instance the black machine that she use to make the popcorn is a traditional chinese machine which is hardly seen in big cities in china. and the sugar hawthorn which is is also fabulous is a food in the memory of childhood.,她以传统方式做很多事情。例如，她用来制作爆米花的黑色机器是一种传统的中国机器，在中国的大城市几乎看不到。而且，也很棒的糖山楂是纪念童年的一种食物。
47584,UgwgzydsHM_WqD7TLO54AaABAg,73,4 years ago,"i think this must be one of the best videos in this channel. all the foods prepared by li are very delicious. i like those puppies who have been following her. watching such a video makes me happy and calm my thoughts. you are great, li ziyi",我认为这必须是这个频道中最好的视频之一。李准备的所有食品都非常好吃。我喜欢那些一直跟着她的小狗。观看这样的视频让我感到高兴，让我的思绪平静下来。你太棒了李子柒
33753,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vNj_ZzB3uY,65,4 years ago,@funwithfood7451 for sure! i can see that!,@funwithfood7451肯定！我理解了！
15678,UgzRD_h-oSYNTld1II54AaABAg,64,3 years ago,she told me how to make those food from nature materials. we grow up in city and only know buy food from supermarket,她告诉我如何从自然材料中制作这些食物。我们在城市长大，只知道从超市购买食物
32972,UgzV2ihMMGPTnGE66Rp4AaABAg,61,4 years ago,"she always makes food in a big portion, and various style.
it's a feast for sure!!","她总是以各种风格制作食物。
肯定是一场盛宴！！"
21207,UgxPn91sUsWYBwhEF1J4AaABAg.93uKWsEplVV93x_937hx_a,60,3 years ago (edited),elns watching people making popcorn like that was one of the happiest things in my childhood. back then we had very few snacks or food. the popcorn guy walked town to town. when he came to our neighborhood we were really happy. we brought our own rice or corn kernel and only paid him several cents for making popcorn. he roasted his tightly sealed pot over fire. at the end he released the lid and it made a super loud sound. and we the children just jumped away with laughter.,Elns看着人们做爆米花的人是我童年时代最快乐的事情之一。那时我们有很少的小吃或食物。爆米花的家伙走到城镇。当他来到我们附近时，我们真的很高兴。我们带来了自己的米饭或玉米仁，只付了他的几分钱来制作爆米花。他在火上烤了紧密密封的锅。最后，他释放了盖子，它发出了超大的声音。我们的孩子们只是大笑起来。
33571,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r28vychKOUbhG,57,4 years ago,"valeria blanco like how my asian family says ""one plate of food isn't enough""",瓦莱里亚·布兰科（Valeria Blanco）喜欢我的亚洲家庭如何说“一盘食物还不够”
46558,UgxR2ZXCkTAfDHvb0et4AaABAg,56,4 years ago,why do i feel suddenly want to cry watching this beautiful girl work out on all that foods??,为什么我觉得突然想哭泣看着这个美丽的女孩在所有食物上锻炼呢？
28881,UgwYc4ASszZs8Lu5LV14AaABAg,56,3 years ago,this is my favorite video of herโบ๏ธ๐’•i binge watch her videos and this young lady is amazing!!! i wish i could taste her yummy food ๐ฅ,这是我最喜欢的Her☺️
16845,Ugye3sesHYiU8p75_dd4AaABAg,50,3 years ago (edited),"this life is commendable for innumerable reasons. it is self-sustainable (which is something we can only wish we had), there are healthy and nutritious food options provided by nature's bounty, there is little to no need of harmful chemical-based products, and more importantly all the members of the ecosystem are benefitted. i hope people realize just how wonderful living like this is.",由于无数的原因，这一生活值得称赞。它是自我维持的（这是我们只希望拥有的东西），有自然的赏金提供的健康且营养的食物选择，几乎不需要有害化学物质的产品，更重要的是所有成员生态系统受益。我希望人们意识到这样的生活多么美好。
4138,UgwFwTgWme_yL7LQ6tR4AaABAg,47,1 year ago,"if i can live with here, my age probably be over 100 years! i love the nature around her home... especially the natural and fresh foods. good luck for you!",如果我能在这里生活，我的年龄可能超过100年！我喜欢她家周围的大自然……尤其是天然和新鲜食品。祝你好运！
42727,UgzOCk-ppOEVPQ7xDEZ4AaABAg,36,4 years ago,not only is the area beautiful but she is beautiful as well and the food looks amazing ❤️❤️❤️,不仅美丽的地方，而且她也很漂亮，食物看起来很棒❤️❤️❤️
48961,Ugzl7yNt25-t1p3MdHN4AaABAg,35,4 years ago,"all those colours so beutifull, food looks delicious",所有这些颜色如此beutifull，食物看起来很美味
36000,UgyhyXflybsr2hUCb_B4AaABAg.8uYsqKM0ju78ujHKECo9NE,33,4 years ago,"โ€ @bellabana โ€ bellabana no, it's more a culture thing. in some countries, they don't feed pets pet food, they feed them with whatever they're eating, i.e, human food. so pets get used to the smell & whenever they smell human cooking, they think it's meal time. they might beg for food but that doesn't mean they're hungry. my family used to have pet cats, they're just like that. we could be just feeding them two full plates, they'd still come & meow at our dinner table. 

our cats eat everything, rice, broccoli, tomato, lettuce... besides meat. you wonder why, huh? because that's what they grew up eating, and that's what they know as food. as long as it's food to them, they'd follow, even if they're fed. if you own pets, you would know about this. 

my neighborhood doesn't raise our pets like in the west, where owners usually lock them indoor all the time. we let them roam around freely. they all go around begging for food when neighbors are cooking. as a result, we all know about others' pets, and we are fine with them. people don't always feed them, so they know they have to come home for a proper meal, but they'd get a piece here & there, so it's like snacks for them. 

every once a while a neighborhood auntie would come up to my mom, beaming, and said, hey your cat just frequented me yesterday! ... oh do you hear him? he's frequenting someone else now...! my mom be like, yeah... guess my cooking is his least favored... the auntie be like, that's not true! pets are like that, they go around for food but they know they can always have it back home.... and then they both laugh it off.... 

this is just a different culture of doing things, it's not necessarily bad or cruel just because it's different from your way of doing it. calling ppl out without knowing their background is judgmental, and kinda condescending, you know, not nice. so yeah....","@bellabana bellabana不，这更多是一种文化。在某些国家，他们不喂宠物宠物食品，而是用他们吃的任何东西，即人类食品喂食。因此，宠物习惯了气味，每当闻到人类烹饪的气味时，他们都会认为这是用餐时间。他们可能乞求食物，但这并不意味着他们饿了。我的家人曾经有宠物猫，他们就是这样。我们可能只是在给他们喂两个完整的盘子，他们仍然会在我们的餐桌旁来和喵。

我们的猫吃了所有东西，米饭，西兰花，番茄，生菜...除了肉。你想知道为什么，是吗？因为那是他们长大的饮食，这就是他们所知道的食物。只要对他们来说食物，即使他们被喂食，他们也会遵循。如果您拥有宠物，您会知道这一点。

我的邻居不会像西方那样养宠物，那里的业主通常一直在室内锁定它们。我们让他们自由地漫游。当邻居在做饭时，他们都四处乞求食物。结果，我们都知道别人的宠物，我们对它们很好。人们并不总是喂他们，所以他们知道他们必须回家做适当的饭菜，但是他们在这里和那里都会得到一块，所以这就像小吃一样。

每隔一段时间，一个附近的阿姨会来找我妈妈，笑着说，嘿，你的猫昨天只是经常光顾我！ ...哦，你听到他的声音吗？他现在正经常去别人...！我妈妈就像，是的...猜猜我的烹饪是他最不喜欢的……阿姨就像，那不是真的！宠物就是这样，他们四处寻找食物，但他们知道他们总是可以把它放回家。...然后他们俩都笑了...。

这只是做事的一种不同的文化，不一定是坏事或残酷的，因为它与您的方式不同。在不知道自己的背景的情况下召集PPL是有判断力的，有点屈服，您知道，不好。嗯是的...."
51663,UgxsxcKZBTEGLcFy4n54AaABAg,30,4 years ago,amazing video. the nature is so beautiful and the food looks really delicious. i love it how you show everyone how our ancestors lived⚒️because of your videos i want to visit china. greetings jasmin,惊人的视频。大自然是如此美丽，食物看起来真的很美味。我喜欢它，您如何向所有人展示我们的祖先如何居住⚒️，因为我想访问中国的视频。问候茉莉
28180,Ugwog3eU6SdvvmNLfHp4AaABAg,30,3 years ago,"beautiful relaxing nature. beautiful woman. cute grandma. sweet animals. delicious foods.
amazing, just amazing. i love that.","美丽的轻松自然。美丽的女人。可爱的奶奶。甜动物。美味的食物。
太神奇了，真是太神奇了。我喜欢那个。"
10688,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9FizG66SKWG,30,2 years ago,"yes it might not be easy lifestyle but better than urban city life where people are obessed with all junk food, unhealthy lifestyle, smoke of vehicles and factories.",是的，这可能不是一个容易的生活方式，而是比城市城市生活更好的生活方式，在这些生活中，人们遵守了所有垃圾食品，不健康的生活方式，汽车和工厂的烟雾。
10533,Ugy2e8U3iB3iLgiO7J94AaABAg,29,2 years ago (edited),"i yearn for such a life!
and the food looks delicious!","我渴望这样的生活！
食物看起来很美味！"
30991,Ugydkky0Y9Q4-sD5NJF4AaABAg,29,3 years ago,"oh my god, i'd buy this food in a heart beat, it's amazing, the marshmallow thingy ๐ฅ๐ฅ i wanna cry๐ซ",哦，天哪，我会心跳加速，真是太神奇了，棉花糖的东西
52311,UgxzMNnK_Bl8Ecfhykt4AaABAg,25,4 years ago (edited),"when picking up at night, korean red coating ranch gloves
i would recommend it ~^* (all weather)
ah! gangjeong has been made pretty.
make a pretty and delicious food and pack it
it's done! there is no korean subtitle, so it is inferred ~*
brushing your teeth in the video is so cute, and it's cool to wear boots when you work.
when you feel, the main winter is very beautiful to alternate several colors of long mango. ~ ^^
i have the same name in my name! ~ ♥","晚上捡起时，韩国红色涂料牧场手套
我会推荐它〜^*（所有天气）
啊！ Gangjeong变得漂亮。
做一个漂亮可口的食物并打包
完成！没有韩国字幕，因此可以推断〜*
在视频中刷牙是如此可爱，上班时戴靴子很酷。
当您感觉到时，主要的冬天非常美丽，可以交替使用多种颜色的长芒果。 〜^^
我的名字中有相同的名字！〜♥"
32603,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8w-cJxkTj0s,24,4 years ago,my parents use to live like that in vietnam but they were kind of poor. they usually make traditional foods like these and now we live in australia.,我的父母曾经在越南生活过这样的生活，但他们有点贫穷。他们通常制作这样的传统食物，现在我们住在澳大利亚。
9711,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9GzFLymFaox,24,2 years ago,probably because u get to like have fun and get food free i think and u can make ur own items to cook with,可能是因为您喜欢玩得开心并免费获得食物
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,3 years ago,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
17391,UgxhpHKWwREZM47yMXx4AaABAg,21,3 years ago,"all the foods she have can get in her garden or storage .

me : i have to buy first","她所拥有的所有食物都可以在花园或储藏室里得到。

我：我必须先购买"
41668,UgygfZkP2BFGpqc1uUh4AaABAg,21,4 years ago,4.1k eat only junk food and wont live longer,4.1k只吃垃圾食品，不会寿命更长
32491,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18wPRCfk5isn,20,3 years ago,"โ€ @ultramaryna00 oh you just think you're smart, but one thing you're not is clever. here's her story in english: https://raknife.com/li-zi-qi/. she's a food vlogger and now an entrepreneur with her own food product line. an actress? you're funny, in a very self-righteous way. guess the old saying is true, stupid people always think they're smart. lmao",@ultramaryna00哦，您只是认为自己很聪明，但是您并不聪明。这是她的英文故事：https：//raknife.com/li-zi-qi/。她是一名食品视频博物馆，现在是一名拥有自己食品产品系列的企业家。一个女演员？你很有趣，以一种非常自以为是的方式。猜猜这句话是真的，愚蠢的人总是认为自己很聪明。 lmao
38041,UgwNz57LmVDeT1qu-RJ4AaABAg,19,4 years ago,"nice life
it looks like a story!
the food looks delicious, but the small items used are wonderful.
cat -shaped kamado, i laughed too cuteness lol","美好的生活
看起来像个故事！
食物看起来很美味，但是所使用的小物品很棒。
猫形的卡马多，我笑了太可爱大声笑"
49214,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmcjPFqwAr,19,4 years ago,@sergeypogreban i'm quite partial to spicy food,@sergeypogreban我很喜欢辛辣食物
43027,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8rYsQ1QYmfr,19,4 years ago,@user-ic5sb7zi5f it's not that easy to change your habits and life i live in ny and i work 2 jobs so much stress i eat fast food like everyday i missed healthy food and silence and peace this video made me cry,@user-ic5sb7zi5f，改变你在纽约生活的习惯和生活并不容易，我在纽约工作了2个工作，我的压力很大，我每天都在吃快餐，就像我每天都错过了健康的食物，沉默和和平这个视频让我哭泣
52522,Ugz6zhVMWxiZJw83dmx4AaABAg,19,4 years ago,she prepared food for chinese new year,她为农历新年准备食物
16377,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G98rRJFgPtSt,18,3 years ago (edited),"@skylerx i know, that’s what makes it all the more stupid. i saw an innocent video of a guy in china eating street food and almost all the comments were racist. saying stuff like ‘oh when are they gonna bring out the bat soup’ ‘chinese people are animals, eating anything that walks’ stuff like that.
i really don’t understand how people can be so ignorant.","@skylerx我知道，这就是使它变得更加愚蠢的原因。我看了一个无辜的视频，其中一个人在中国吃街头食品，几乎所有评论都是种族主义者。说诸如“哦，他们什么时候要带出蝙蝠汤”之类的话“中国人是动物，吃任何走路的东西”类似的东西。
我真的不明白人们如何如此无知。"
3814,UgzO7c_nDK_QStIlCI14AaABAg,18,1 year ago,you have impressive food affair with food! must have a lot of knowledge with root medicine and herbs,您与食物有令人印象深刻的食物！必须对根医学和草药有很多知识
37119,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uUg2AbDcpx,17,4 years ago,be mindful of the word โ€productivityโ€ tho. she produces for herself and maybe those around here. that it. if thereโ€s something to โ€envyโ€ is the peaceful of where she lives and her relationship with food/clothing,注意“生产力”一词。她为自己以及周围的人制作。那。如果有什么要“嫉妒”的是她的住所的和平，她与食物/衣服的关系
8047,Ugzjt55awiemH-SiklB4AaABAg,17,2 years ago,trust me! don’t watch this lady’s video at deep night. i can’t control to order food.,相信我！不要在深夜观看这位女士的视频。我无法控制订购食物。
2626,UgwPqnH1HfJzwIQtd7t4AaABAg,17,1 year ago,"oh my god,how i feel so happy when liziqi has answered all my questions on how they make many food such us, peanut 's.your idea ,your perfect",哦，天哪，当liziqi回答了我如何制作这样的许多食物，花生
31201,UgwwGGbu0wy9AfHEKU54AaABAg,16,3 years ago (edited),its so cute when she takes a bite of the foods that she made while packaging them,当她咬一口食物时，它是如此可爱
32589,Ugzt2MilbG8g3PAkTEJ4AaABAg,16,4 years ago,"i am so grateful that you allow us a peek into your very practical way of living and in that you have incorporated a healthy eating and living style. i have witnessed so many resourceful ways you process your food, i am definitely enviable. chinese art is the greatest teacher of survival.",我非常感激，您可以让我们窥视您非常实用的生活方式，并且您已经融入了健康的饮食和生活方式。我目睹了您处理食物的许多足智多谋的方式，我绝对令人羡慕。中国艺术是最伟大的生存老师。
23122,Ugy4jXItRyEda70YHsl4AaABAg,15,3 years ago (edited),"i am a chinese who lived in the village when i was child. through we didn't have her so exquisite life. but i remember, we had a little gardon of my house. in the spring and summer, our gardon had so many green food to eat. and my mother cooked them for me. then i grow up, we all move in the city. we have a better life now, not poor any more . but we nerve have the gardon any more.",我是一个中国人，小时候住在村里。通过我们没有她那么精致的生活。但是我记得，我们家里有一点加尔顿。在春季和夏季，我们的Gardon有很多绿色食物可以吃。我妈妈为我做饭。然后我长大了，我们都搬到了这座城市。我们现在的生活更好，不再贫穷了。但是我们不断拥有加尔顿。
12064,Ugy63yHCjdSemiORjqV4AaABAg,15,2 years ago,"i love how everything is natural food and prepared using natural methods. also, you can see how the animals, puppies and sheep, love her. heartwarming.",我喜欢一切都是天然食品并使用自然方法准备的。另外，您可以看到动物，幼犬和绵羊如何爱她。令人心动的。
986,Ugz4U2BlrY_GhxALcmF4AaABAg,14,7 months ago (edited),"i loved it so much, so nice snacks, the nut bar and gourd candy are also indian traditional sweets. also the fried peanuts.
so got a lot of similarities, also came to know about such delicious food.","我非常喜欢它，非常好吃的小吃，坚果棒和葫芦糖也是印度的传统糖果。还有炸花生。
因此，有很多相似之处，也知道这种美味的食物。"
6770,Ugx6Rv0a-GKFibXYAnN4AaABAg,13,2 years ago,"➡️ hotslut.live/653stripmaturexxx ⤵️
b.e.s.t f'u'l'l's
—lo-vo-e-s-e-x ——— ❤️
..



! 

說 food, unnecessary, so naive people who are rejected. contrary, other 們 們 們 們 會 會 會 會 忽 忽 忽 忽 忽 忽 忽 忽 忽 忽 忽 忽 忽other 們 們 們 會 會 會 會 會 會 會 會 會 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 燉 蔬 燉 蔬 燉 蔬 燉 （蔬 蔬 蔬 蔬 （蔬 （（（ seasoning g food boiled weather &","➡️hotslut.live/653Stripmaturexxx⤵️
B.E.S.T f'u'l'l's
- lo-vo-e-s-e-x ——————❤️
..



！

说食物，不必要的，如此天真的人被拒绝。相反，其他们们们会会忽忽忽忽忽忽忽忽忽忽忽其他们们会会会会会会炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖炖蔬蔬蔬蔬（调味G食品沸腾的天气和"
48898,UgxUxrzh2_nXib9I-4h4AaABAg.8qmM3fEmDnz8r5wlZgJiEV,13,4 years ago (edited),you people are projecting your prejudices just because she's chinese. there's even a comment that mentions about asians. the way i see it this is really common amoung farmers or people in rural areas anywhere around the world. you don't see people treating their pets like how city dwellers treats their expensive store bought chihuahuas. they are very used to these animals and to them they're part of the environment and nature. these animals don't need special pet food or weekly baths and grooming. bear in mind that these animals are naturally bred and thus may not fit your typical breeder aesthetics but it doesn't mean that they're malnourished or not taken care of.,您的人们只是因为她是中国人而投射出您的偏见。甚至有关于亚洲人的评论。我看到的方式确实是世界各地的农村地区的普通农民或农村地区的人们。您看不到人们像城市居民如何对待他们昂贵的商店购买的奇瓦瓦人一样对待宠物。它们非常习惯这些动物，它们是环境和自然的一部分。这些动物不需要特殊的宠物食物或每周的洗澡和修饰。请记住，这些动物是天然繁殖的，因此可能不符合您典型的育种者美学，但这并不意味着它们是营养不良或不照顾的。
16302,Ugyl6BAyt6f-kggeWyh4AaABAg.98llsjx6THb98mtrfJkzzj,13,3 years ago,"when i was a kid, i was looking forward to the new year every day. there are delicious foods, there are new year's money, you can put firecrackers, wear new shoes and new clothes, and you don't need to learn to play every day. what's more important is that until the fifteenth day of the first month, the parents' mood was particularly good. they did not teach the person casually, and the smile was warm. essence essence",小时候天天盼着过年，有好吃的，有压岁钱，可以放鞭炮，穿新鞋新衣服，还能不用学习天天玩。更重要的是一直到正月十五，父母俩的心情都特别好，不随便发牢骚教训人，笑容很温暖。 。 。
4253,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UMR55s_ngs,13,1 year ago (edited),"@diogomelo3705 i mean if she's purely a chinese farmer, there's no way she can afford such good food and ingredients. this is an ideal rural life style but definitely not the real lifestyle unless she's a very rich person who retired from work.",@diogomelo3705我的意思是，如果她纯粹是中国农民，她就无法负担得起这种美味的食物和食材。这是一种理想的乡村生活方式，但绝对不是真正的生活方式，除非她是一个非常有钱的人，他退休了。
20963,UgzDA7LvsQaDocWgzfh4AaABAg.944JVs0uHe0949vfDbs7pc,12,3 years ago,"cherry w. mann i was thinking the same too. but she had been living in city before. she know how to do photo and etx. she is liziqi girl who raised by her grandma, then going to the capital city(beijing)to take her career, later she was going back to village in sichuan, china to take care of her grandma.
she is hoping that all of people who are living in city know how the food come from.","Cherry W. Mann我也在想。但是她以前曾住在城市。她知道如何拍照和ETX。她是Liziqi女孩，她是由祖母抚养长大的，然后去首都（北京）去职业生涯，后来她回到中国四川的村庄照顾祖母。
她希望所有住在城市的人都知道食物的来源。"
10239,UgwANVw5Z9JnuV5YHMZ4AaABAg,12,2 years ago,"are there arabs here and wearing, i love to watch food and nature",这里有阿拉伯人穿着，我喜欢看食物和大自然
48720,UgxG1NnEvR0e-Iqjam54AaABAg,12,4 years ago,i absolutely love this channel i first found her through facebook and kept searching and finally found her channel! so much amazing food and such a hard working girl that loves her grandmother!!! also does anyone notice that the grandma has cute little ears on her hat!!!!!,我绝对喜欢这个频道，我首先通过Facebook找到了她，并一直在搜索并终于找到了她的频道！如此多的美食和如此努力的女孩，爱她的祖母！！！还有人注意到奶奶的帽子上有可爱的小耳朵！
37574,UgzKgStERLWe_ssi3kR4AaABAg,12,4 years ago,"me: ahhh i cant do this there is firez
she: * casually making food","我：啊，我不能这样做
她： *随便做饭"
26998,Ugw91qCHqH9O7yiFqPd4AaABAg,12,3 years ago,"peaceful land vs. overstimulated city. this kind of things makes value those litle moments, sunrises, good food and company. bring my grandma back to life and share this kind of journey with her, would be the most priceless experience. if you read this comment, wish you the most beautiful trip to the happiness.",和平土地与过度刺激的城市。这种事情使那些散布的时刻，日出，美食和公司都珍视。将我的祖母重新栩栩如生，与她分享这种旅程，这将是最无价的经历。如果您阅读此评论，请祝您幸福的最美丽之旅。
30087,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78xZmErTbscV,11,3 years ago,they follow her because she give them food you genius,他们跟随她，因为她给了他们你天才的食物
8520,UgwOstbYE7ECosxz8dN4AaABAg,11,2 years ago,"well liziqi doesn’t mean to express kimchi is chinese food right? she is chinese but she can cook food from other cultures, what’s the problem? only korean can make kimchi???",好吧，liziqi并不意味着表达泡菜是中国食品吗？她是中国人，但她可以从其他文化中烹饪食物，这是什么问题？只有韩国人可以做泡菜？？？
52387,Ugyysb8Wj8X2I1kY6QN4AaABAg,10,4 years ago,5:40 popcorn machine = food amplifier,5:40 爆米花机=粮食放大器
10802,UgzurebVFtZzvwnsHr54AaABAg,10,2 years ago,her everything is neat and clean. hygiene food,她的一切都整洁干净。卫生食品
51347,UgwtVFyJjQZ1Ltcx0sN4AaABAg,10,4 years ago,happy chinese new year! could someone please translate for us? i'm so lost and the food looks amazing.,农历新年快乐！有人可以为我们翻译吗？我迷失了，食物看起来很棒。
28151,UgxV6wwjOWPppmiiUF54AaABAg.8ylbPgnyalM8zGQ-N5ibE5,9,3 years ago,china has a rich a beautiful culture which is evident in the many exquisite chinese dishes. i think chinese food is the most flavorful and unique experiences i've had. definitely have a lot of respect for chinese culture.,中国拥有丰富的美丽文化，在许多精美的中国菜肴中都很明显。我认为中国菜是我拥有的最美味和独特的体验。绝对对中国文化有很多尊重。
43740,UgwAGZH5fxhe2azrTvt4AaABAg,9,4 years ago,"greetings from new york!!!! it's my very first time viewing your channel!! 
i don't speak chinese, but i enjoyed watching it! i was impressed with 
this young, petit woman being so strong & resourceful! it really is fun to see the different culture & its food!(^^). looks like a great new year celebration!!(^^)(^^)","来自纽约的问候！这是我第一次查看您的频道！！
我不会说中文，但我喜欢看它！我印象深刻
这个年轻的小女人是如此坚强和足智多谋！看到不同的文化及其食物真的很有趣！（^^）。看起来像是一个很棒的新年庆祝活动！（^^）（^^）"
15433,UgzD12Q99xkqhJjvWWV4AaABAg,9,3 years ago (edited),"this lady is amazing her life is one i would want in future it's to die for; simple yet has like no expenses; she's so creative in what she does from sewing,making food staff,makeup,farming wow✨
her future husband is lucky 't get but oh well...

i started watching her videos today and you just can't stop they are so entertaining 's&i have watched her videos like all day
her skin too is beautiful","这位女士真是太神奇了，她的生活是我将来想要死的一生。简单但没有支出；她在缝制，制作食品员，化妆，耕种wow wow的方面都很有创造力。
她未来的丈夫是幸运的。

我今天开始观看她的视频，而你只是不能停止他们很有趣
她的皮肤也很漂亮"
