,cid,votes,time,含fuck,含fuck中文翻译
28589,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-NHjY3uBbn,3,3 years ago,@franzpeters3824 fuck off please lol,@franzpeters3824他妈的请大声笑
23397,Ugys54iUj9TTs_NqgDB4AaABAg.8zk0PxB5igA9-2tbNrg_yJ,2,3 years ago,you fucktards live to talk about that stupid game don't you?,你他妈的直播来谈论那个愚蠢的游戏吗？
19987,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92xeGG9DXmk,2,3 years ago,"shut up,ppl!!! just enjoy the fucking video. why fighting here?",闭嘴，ppl ！！！只需享受他妈的视频即可。为什么在这里打架？
16877,UgyV5WdeGEk-44uM2gl4AaABAg,1,3 years ago,"grandma behind the camera 
just get me a fucking cup ramen!!!!!!!!!","镜子后面的奶奶
只是给我一个他妈的杯拉面！"
10518,UgyH98IEJlwazVr76PN4AaABAg,1,3 years ago (edited),"beautiful aunt people don't like chinese cook e why do you welly bound the fields of jungle cooked fucking cooking all the free people to do not get dwet for blonjo
- greetings to jowo, indonesia","美丽的姨妈人们不喜欢中国厨师e e为什么你为什么要束缚丛林烹饪的田野，煮熟的所有自由人都不会为布隆霍
- 给印度尼西亚乔沃的问候"
17429,UgwV-uzw6206Qx2IoKZ4AaABAg.92kaKG0I8dO92znZJU6FFV,1,3 years ago,and fucking occasionally,偶尔他妈的
25904,UgztQUXiZ2hfNW8SQ9N4AaABAg.8yx7ougTfJq8z-3sE9NqJ1,1,3 years ago,nobody fucking cares! who the fuck is dan and arin anyway?,没有人他妈的在乎！无论如何，丹和阿林是谁？
26268,UgzA1Q8HkCOrZHYuKeF4AaABAg.8yrxhB0t7-C8yw5ncz53ns,1,3 years ago,"@mehere8821 go to see the news on youtube, some westerns fuck cows and goats. do all the westerns like to fuck their domestic animals? you idiot!",@mehere8821去YouTube上查看新闻，一些西方人他妈的牛和山羊。所有的西方人都喜欢他妈的家畜吗？你个傻冒！
27057,UgzfOdQXR-kL9LG-pdt4AaABAg.8yiuN41pbwu8yot7gZfWDJ,1,3 years ago,"it's about nature, traditional ! plz don't mention the fucking country or policy ! (i'm chinese)",这是关于自然的，传统的！请不要提及他妈的国家或政策！ （我是中国人）
19539,UgyueOQM524DKikvhMZ4AaABAg.91qMKgcDG7O91xikNiBWeG,1,3 years ago,@noahstwest why you fucking talk like that?,@noahstwest为什么你该怎么说话？
12522,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96lgfuocGzM,1,3 years ago,oh my fuck sorry to offend you all,哦，我妈的对不起，冒犯了你们所有人
11332,Ugz-mSWg1rD27k81VMh4AaABAg,1,3 years ago,"grandmother always eats all that she cooks and fuckers, why is it all tanned ?? ,,",祖母总是吃她做饭和混蛋的所有东西，为什么要晒黑？
19538,UgyueOQM524DKikvhMZ4AaABAg.91qMKgcDG7O91x6OJJgWCy,1,3 years ago,"@shem who fucking cares? even if she did had 3 people behind her, i'm sure she has more people backing her than you.",@shem谁在乎？即使她在她身后确实有3个人，我敢肯定，她支持她的人比您多。
28730,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g94bshR33o__,1,3 years ago,@franzpeters3824 excuse me what the fuck,@franzpeters3824对不起我他妈的什么
9059,UgwUMvdNuovQeW3Z0rN4AaABAg.9AWrca44ayZ9B1mNPqWXgg,1,2 years ago,"fuck12
acab
blm
dump trump 2020
๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐
there are your feelings hurt yet?","他妈的12
Acab
BLM
垃圾场特朗普2020

有你的感受伤害了吗？"
30088,UgxDGMOPe2DNdpYYoFh4AaABAg,1,3 years ago,damn fuck them snails then,该死的他妈的蜗牛
4486,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9Lxiooux3P8,1,2 years ago,"i hate fucking china

xi jinping and mao zedong ruptured sexual intercourse in the market outlook. is the anus?
(it means xi jin ping and mao ze dong are sax together haha)","I HATE FUCKING CHINA 

习近平和毛泽东在后市进行性交的破裂,肛门是不是 
(It means xi jin ping and mao ze dong are sax together HAHA)"
12814,UgydqN1TJD8ImDLV6Jt4AaABAg,1,3 years ago,"fucking for granny is scared, so she will eat her someday.",为奶奶他妈的很害怕，所以她有一天会吃掉她。
28754,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g96_X-lEBX-U,1,3 years ago,"@franzpeters3824 yes shes most likely far more productive than you. 
farmimg is hard fucking work dude. 
youtube may be a means of making a monetary income but her job is her farm, and shes probably doing far better than anyone watching these videos.","@franzpeters3824是的，她的生产力比您的生产力要高得多。
Farmimg是艰苦的工作伙计。
YouTube可能是赚取货币收入的一种手段，但她的工作是她的农场，而且她的表现可能比看这些视频的任何人都要好得多。"
9016,UgwUMvdNuovQeW3Z0rN4AaABAg,1,2 years ago,fuck u china ๐–•๐–•๐–•๐–•๐–•๐–•,他妈的你中国
28882,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9AZ3cYhy8nW,0,2 years ago,"@cathyliu8694 fuck u if u don't know english , illetrate people",@cathyliu8694他妈的你，如果你不认识英语，私人的人
29702,UgzpH3BE2koNS4RrEgp4AaABAg.8yWSez1D5Ga8yYHSjwX3jL,0,3 years ago,just fuck it ！！！come on,只是他妈的！！！来吧
30428,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39Lxin85s58D,0,2 years ago,"i hate fucking china

xi jinping and mao zedong ruptured sexual intercourse in the market outlook. is the anus?
(it means xi jin ping and mao ze dong are sax together haha)","I HATE FUCKING CHINA 

习近平和毛泽东在后市进行性交的破裂,肛门是不是 
(It means xi jin ping and mao ze dong are sax together HAHA)"
21086,UgwmbtbnfEPpUTPMSrh4AaABAg,0,3 years ago,she can't fuck. becaube she is a boy,她不能他妈的。因为她是男孩
30379,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39AxyR9_TS5t,0,2 years ago,@colinseet7710 what the fuck i didn't understand anything from you,@colinseet7711我该死的我什么都不了解你
30376,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39AWrfqHOxKK,0,2 years ago,@slee-lx1fg fuck u china,@slee-lx1fg他妈的你中国
21484,Ugxo1FXpQX1JSBHjp1p4AaABAg,0,3 years ago,"bruh fr, like is anyone can say it or not, she’s cute as hell like fuck",Bruh fr，就像任何人都能说的那样，她像他妈的一样可爱
21706,UgwBRxLOi-ZesieYcjN4AaABAg.9-_KlQ8-Npx90YGtJCY36b,0,3 years ago,"fortunately, i am friendly, i finish, i fuck, eh eh, eh, dinner from now on",还好友好吃完唷喔我操诶诶诶诶从此晚餐
21853,Ugyc6bK-HU1raM6VqG14AaABAg,0,3 years ago,bamboo fuck but so big,竹他妈的，但是很大
22292,UgyXQ5VwS7zRlKbFm814AaABAg,0,3 years ago,nijole i don't know that he is throwing so much but i do fuck some bamboo outbreak tacos with japanese chuti soup with his respective soy saucea with chili ... and the japanese then hahahaha,妮可（Nijole
30375,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39AWrduLA-uy,0,2 years ago,fuck u china,他妈的你中国
22557,UgzhFFUmhMf_V6A9tRR4AaABAg,0,3 years ago,i fucked all day to eat) cooked),我整天都吃饭）煮）
22589,Ugw3kawLdFhIagmjIAl4AaABAg.9--00QSmqnH9-2v9VKoKZa,0,3 years ago,"it's ""more than"", not ""more then"", dumbass. the term ""then"" indicates something happening after another event, as in ""you fucked up, then you got schooled"". unfuck yourself.",它是“不仅仅是”，而不是“更多”，笨蛋。 “然后”一词表示另一个事件发生后发生的事情，如“你搞砸了，然后你上学”。解开自己。
29759,Ugx6GTlDoz24u_1BHlV4AaABAg,0,3 years ago,fuck mother vietsub heavy vler =)),他妈的母亲vietsub heavy vler =））
22802,UgxzMYk9rlwzg8KZeDF4AaABAg,0,3 years ago,china get out fuck you china communits,中国出去他妈的你中国社区
20634,UgwNeownqjkcY900zR14AaABAg,0,3 years ago,i love u fuck,我爱你他妈的
28879,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9AQc46UAOM1,0,2 years ago,"@franzpeters3824 oye pussy, whether she get's more money or not. your just a dirt comparing to her. fucker..",@franzpeters3824 oye pussy，无论她是否有更多的钱。与她相比，您只是一个污垢。笨蛋..
23847,UgwrxmjLCSqhL7eciYl4AaABAg,0,3 years ago,fuck colleague,他妈的同事
24039,Ugz5QaVyG1whrvdc9oV4AaABAg,0,3 years ago,im so fucking hungry right now,我现在饿了
25189,UgzEcCvphmD3WqnWIHB4AaABAg,0,3 years ago,"xd how rich everything and fucking nature, not like here we have a supermarket and we don't know what to do for dinner",XD多么富有一切和他妈的性质，不像在这里我们有一家超市，我们不知道该怎么做晚餐。
25342,UgzZAl1YwKJI-SNj-q54AaABAg,0,3 years ago,"""alright, let's check what dan and arin recommended this time!"" 10 minutes passes ""...the fuck did the time go!?""",“好吧，让我们检查一下Dan和Arin这次推荐的内容！” 10分钟过去了：“ ...他妈的去了！？
29326,Ugy_dNps2bz_3pQ9eGR4AaABAg,0,3 years ago,that fuckin bowl of noodles is a fucking work of art.,那个碗面条是一件艺术品。
28896,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9AiayQ0BhSq,0,2 years ago,@yreinyvana6214 fuck u all this things r scripted she use to eat just bcz of youtube money rip for those who think it's real,@yreinyvana6214他妈的你所有这些都用脚本脚本而来，她用来吃youtube的youtube钱，那些认为这是真正的愚蠢的人
26001,UgyN_mbE2X_eXZpliUd4AaABAg,0,3 years ago (edited),which cheek vietsub accepts e 1 bow =)) sub who fuck,哪个脸颊vietsub接受e 1 bow =））sub谁他妈的
28893,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9AiaeY4UFTJ,0,2 years ago,@user-kz8pm3te6x fuck off,@user-kz8pm3te6x他妈的
28884,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9AaUQolYogS,0,2 years ago,@bhatkahuabalak3778 what the fuck! what is wrong with you! being rude to strangers who had nothing to do with you? did your mom teach you how to behave like a human being?,@bhatkahuabalak3778他妈的！你怎么了！对与您无关的陌生人无礼？您的妈妈教您如何表现得像人吗？
27729,UgzQujGL0sdUjFyI8n94AaABAg,0,3 years ago,"liziqi, i love u fuck",liziqi，我爱你他妈的
27995,UgxFPtHVvUO_qzvFvYF4AaABAg,0,3 years ago,ok but fr she is a fucking legend. love you queen,好的，但是她是一个他妈的传奇。爱你女王
29434,UgzgAx48DdKREPyrHS54AaABAg,0,3 years ago,i fucking love this girl bro,我他妈的爱这个女孩兄弟
426,UgxRZFwMkUnrlnGVtop4AaABAg,0,5 months ago,what the fuck are you saying,你在说什么
20465,UgzOZCSyXEdQnLPLtWh4AaABAg.90q_A-BmXoV916NnGXvXlQ,0,3 years ago,"who cares about ur stupid language, shat the fuck up.",谁在乎你的愚蠢的语言，他妈的。
7659,UgyP5aHuqFN-Pwo2fEB4AaABAg,0,2 years ago,fuck mom toan advertising,他妈的妈妈托恩广告
12759,Ugw39L5nsNrciYxc7Sd4AaABAg,0,3 years ago,i really hate the vietsubs and then jostle the cute. but fucking cheeks is disgusting. each time i have to turn off vietsub. proposal next time vietsub is normal,我真的很讨厌vietsubs，然后徘徊可爱。但是他妈的脸颊令人恶心。每次我都必须关闭Vietsub。下次vietsub的提案正常
12124,UgyYPB7wNQ0FmPpB3bN4AaABAg,0,3 years ago,"you fucked the mother of the world, but i can't get out of the video like hypnosis.",你操了世界的母亲，但我无法摆脱诸如催眠之类的视频。
11942,UgxwDHPBM4vw2MBHlWF4AaABAg,0,3 years ago,"whenever i watch her videos, i will scroll down the comment just to read positive comments and it pains me when all i see is hates and ""china propaganda"" like bitch who cares if it's propaganda or not, is liziqi promoting her stuffs here? no? she's just showing us her fantasy life. get off the fucking internet yall close minded shits",每当我观看她的视频时，我都会向下滚动评论只是为了阅读积极的评论，当我看到的只是讨厌和“中国宣传”时，我会像bit子一样，让我感到痛苦，他是否在乎，如果是在乎宣传，liziqi是否在这里宣传她的东西？不？她只是向我们展示了她的幻想生活。脱离他妈的互联网
9105,UgzOQAe49IsHkXZyHz94AaABAg.9AR2BJC_FsJ9AWwi5B5_KP,0,2 years ago,"i also feel that this is not only done, the performance, but also the shooting, the editing, the dubbing, and understanding the artistic conception. actor, director, screenwriter, camera, later, dubbing. also, it will operate and maintain. what a fucking talent.",我也觉得如此，不但会做，会演，还会拍，会剪辑，会配音，懂意境。演员，导演，编剧，摄像，后期，配音。还特么会运维。真他妈的是个人才。
9058,UgwUMvdNuovQeW3Z0rN4AaABAg.9AWrca44ayZ9AYmiCZCQwW,0,2 years ago,fuck,Fuck 憨批
8444,Ugx5H3PEjPuvH5ulGTZ4AaABAg,0,2 years ago,fuck you bitch,操你bit子
8366,UgwpGkpafjXJ_Cf-GzV4AaABAg,0,2 years ago,i am fucking hungry from china at midnight o(โ•ฅ๏นโ•ฅ)o,我在午夜饿o（╥﹏╥）o饿了
8028,Ugx7hI7282eZctm9ST54AaABAg.9CAcV1428LB9CMrkoRqtHR,0,2 years ago,weh haha dogs fuck lock,韦哈，哈哈狗他妈的锁
7936,UgxOTbocxwBN_dqyzAh4AaABAg,0,2 years ago,fuck what tranquility it would be to live in the field (forest),他妈的生活在田野里（森林）将是什么宁静
7387,UgwPGq0QDyhuNfBVhQd4AaABAg,0,2 years ago,fuck the mother of the chinese race. cut the stir -fried bamboo shoots into bamboo shoots.,他妈的中国种族的母亲。将搅拌的竹芽切成竹芽。
20072,Ugxjkr2MyFUqGdMUPJV4AaABAg,0,3 years ago,she said fuck them snails lmaooooo,她说他妈的他们蜗牛lmaooooo
7039,UgwIHDAlfb0mFZRnVgF4AaABAg,0,2 years ago,fuck china,他妈的中国
6322,Ugz6wgBMu1fPEol6xV54AaABAg,0,2 years ago,"i want to fuck there so, let me forgive me for the mat, but this is the very expression of my painting to these plots.",我想在那里他妈的，让我原谅我的垫子，但这是我的绘画对这些地块的表达。
4024,UgyVmZzKofvmZ18ccMd4AaABAg,0,2 years ago,the frog is fucked away from sin,青蛙从罪恶中搞砸了
3938,Ugw_VFCnEAP9oUL_quV4AaABAg,0,2 years ago,she fucking steals korean culture per ccp request,她他妈的根据CCP要求偷走韩国文化
3860,UgyiVeuHNv_m_zYCmPp4AaABAg,0,2 years ago,"i hate fucking china

xi jinping and mao zedong ruptured sexual intercourse in the market outlook. is the anus?
(it means xi jin ping and mao ze dong are sax together haha)","I HATE FUCKING CHINA

习近平和毛泽东在后市进行性交的破裂,肛门是不是
(It means xi jin ping and mao ze dong are sax together HAHA)"
3685,UgzN_B6DnRr57B87_bd4AaABAg,0,2 years ago,this is a fucking woman. feminists will never know what this is.,这是一个他妈的女人。女权主义者永远不会知道这是什么。
3123,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9kbySbllX2-,0,5 months ago,@user-xf9er7dm9z real life record is shit to sleep? you fucking sick,@user-xf9er7dm9z 真实的生活记录是拉屎睡觉吗？你他妈有病
2208,UgwKiic19bdZSfx2Spp4AaABAg,0,1 year ago,"the heart first fucked by the kwaksha, fu passed ...",fu首先是由夸克莎（Kwaksha）搞砸的，fu过去了...
2144,UgwtHZhUNRorhQax0NR4AaABAg,0,1 year ago,fuck china,他妈的中国
13230,UgymLuJOPvFSzLtXdxV4AaABAg,0,3 years ago,thirsty ass fuckers in the comments,口渴的屁股混蛋在评论中
13524,UgxZEFg-VdSn5uc2F-V4AaABAg,0,3 years ago,fuck her plate,操她的盘子
13620,UgyBMxNtPHdVqzHmJrV4AaABAg.9568akOSnd29568ta7psM5,0,3 years ago,"ren laping, you fucking your brain",任喇平 你他妈脑子有屎
14402,UgwoYcnzaqygJ9UDj_V4AaABAg,0,3 years ago,"25 million views, in 5 months, what the fuck is wrong with you all",2500万观看次数，5个月后，大家他妈的怎么了
20039,UgxEeHEzp4mfC8IPq714AaABAg,0,3 years ago,i'm fuck she is,我他妈的她是
2121,UgxktuBNAyvYgZBhf514AaABAg,0,1 year ago,fuck china,他妈的中国
18628,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92ipmqOidIo,0,3 years ago,"@alexandernorrie said that if you can't use vpn, the criminal is really laughing. lao tzu suspects that you are only 16. lao tzu tells you that i will work in a state -owned military industry enterprise. when she is an official, her mother uses vpn to work. you can tell me that it is a criminal based on law. you fucking is afraid that he has never even been to the network? the chinese communist party has given me a moisturizing life now. i am too grateful to be too late. only the abandoned waste and the dead mother will hate the chinese communist party so much. you are one of them.",@alexandernorrie 还说什么不能用VPN用了就是罪犯真是笑死老子了，老子怀疑你年龄不过16。老子告诉你，我就在国营军工企业上班，当官的都她妈用VPN办公你搁这跟我说依据法律就是罪犯，你他妈怕是连网吧都没去过吧？中共给了我现在中产滋润的生活我感激还来不及，也就只有被生活抛弃的废物和死妈轮子会这么恨中共，你也就是他们的一员
18547,Ugw0ea2VpTXoUcih3n54AaABAg,0,3 years ago,fuck it fucking !!! 0_0,他妈的我妈的！！！ 0_0
18357,Ugx-IkMAJ1BV9-qUaY14AaABAg,0,3 years ago,"in 3 months, i watched more than 21 million, so fucking!",3个月，2100多万观看，太他妈牛逼了！
18238,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92mxBnbD67E,0,3 years ago,it's fucking raw!!!,他妈的原始！！！
18011,UgytpKGTEf2F49-42n14AaABAg,0,3 years ago (edited),"god fuck, the asmr",上帝他妈的，asmr
17760,UgwMdrhf7-GUJy1-_-94AaABAg,0,3 years ago (edited),"you could say right,im not rich enough like those millionaires,but im more handsome or beautiful than em.you could say i dont care if he/she more handsome or beautiful than me ,take my money and shut the fuck up. 
when u stand before liziqi,ok girl.you win.totally win.","您可以说对了，我不像那些百万富翁那样富有，但是我比Em更帅或美丽。您可以说我不在乎他/她是否比我更帅或美丽，拿我的钱闭嘴。
当你站在liziqi面前时，好吧，你赢了。"
17374,UgwvTVto4_Dme4K_VgB4AaABAg,0,3 years ago,"this is literally the best chef i have ever seen. i am so blown away, regardless of production value, i can't even fathom having all this available to me. i'd be a fucking king!",这实际上是我见过的最好的厨师。无论生产价值如何，我都被吹走了，我什至无法理解所有这些可用的东西。我会成为一个他妈的国王！
16573,UgwNGOuRANb6qpm0GNh4AaABAg,0,3 years ago,"i really can't stand it. a bunch of chinese people in the comment area said there that they were so tender and not as acting as farming. i just want to ask, even if the performance is, watching this video is definitely a professionals. there is such a professional team that people who have such a heart can sink their hearts in this deep mountain lao lin silently record life to spread our culture. can you do this like this, people offend you or what happened, you just work hard. when others make achievements, you continue to bumper. some people may not be as good as others. really fucking waste, i fuck your mother, a group of waste, continue to force, and lose our chinese face!",我真就受不了了，评论区一堆中国人在那儿杠说人家手这么嫩不像干农活还说就是表演。我就想问，即使是表演怎么了，看这个视频运镜绝对是专业人士，有这样一个专业团队，有这样有心的人们能把心沉下来在这深山老林默默记录生活来传播我们的文化，你能做到人家这样么，人家是得罪你还是怎么了，你们就使劲杠吧，当别人做出成就之时，你们继续杠，可能有些人都不如人家子柒，还在这酸，杠，真他妈废物，我操你们妈的，一帮废物，继续逼逼，丢咱中国人的脸！
16550,Ugwbi3DhyUw2y7hnjK14AaABAg,0,3 years ago,fuck you china fuck you tiongkok im from indonesia im islam fuck you china is tiongkok stupid,他妈的你中国他妈的你tiongkok im来自印度尼西亚伊斯兰教，他妈的你中国是愚蠢的
16479,Ugz5VhUz6Zdw5_xr1PB4AaABAg,0,3 years ago,puta that the paril that fuck,puta那个他妈的帕里尔
16457,Ugz6hMTwuMs3GdoLert4AaABAg,0,3 years ago,"fuck, it's all over the world. the pioneer of chinese culture, the powerful li ziyi.",卧槽，红遍全球了啊。中国文化输出的先锋，牛逼的李子柒。
