,cid,votes,含fuck,含fuck中文翻译
18760,UgxHgxC_TtlsICBOHuh4AaABAg,1,fucking a fucking wax,他妈的他妈的蜡
31680,Ugygomh0nMsyfZbDLCl4AaABAg,1,i fucking love gram gram,我他妈的爱克克
46471,Ugwy63DmtuUhWkQl4Nd4AaABAg,1,whoever subtitiled it is a fucking legend,无论谁字样，这都是一个他妈的传奇
31941,UgyD8MduSh-4vXy2lOx4AaABAg,1,she's fucking amazing,她他妈的很棒
46305,UgwDNJDkv249axIj8xx4AaABAg,1,5:57 grandma don't give a fuck.,5:57奶奶不要他妈的。
42310,UgyLK3iwxb5JxQZIJCV4AaABAg.8rh52eewHSP8ri9gzPj9GR,1,"fuck you 
she sent to her fans.","去你的
她寄给了粉丝。"
14749,UgzAh4JqVcEo9-l5rel4AaABAg,1,this fuck is the most peaceful comment area i have ever seen !!,这他妈是我见过最和平的评论区!!
14582,Ugy1zqbJpHVEVOhRTEt4AaABAg,1,fuck u china,他妈的你中国
33827,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48z0MRVXGAHi,1,@ingestrauss3826 fuck no,@ingestrauss3826他妈的不
33907,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd496aFL-D9L6H,1,"@ingestrauss3826 ngl, i'd love to have a life that she's experiencing. people in this day and age in america for example; we're told that as long as we work hard in life then we can be successful. that's not true at all. these days, even if you work hard toward something, you still have tests or requirements you have to have for a certain job you may want, maybe you have to be a certain age, etc. what honestly defines how successful you're in america now is based on how smart you're. if you're smart and get a good education which is sometimes hard even for people who are actually smart, then you will more than likely get a good high paying job and be set in life. if you're not that smart, struggle with a physical or mental disability, or you're smart, but something in life is setting you back to fail in life, then you're basically fucked. what i can at least tell from our life in the us, you're entire life depends on 2 pieces of paper.... your high school diploma and then a college degree. if you have both of those papers in life then you're set, if you only have one, you might be able to get a job, but it will be hard. if you have neither, then have fun working at mcdonalds for your entire life. the life that this chick has though, is honest hard work. it's not work that requires you to be something you're not or whatever. she's living a nice hard working life. it's simple sometimes, satisfying, honest, maybe it's a struggle sometimes, but it's not a pain to where you want to have a mental breakdown or it's gonna make you fail in life. her life is what i think everyone wishes they can have. that's why her vids are addicting to at least me since i long for a life like that.",@Ingestrauss3826 NGL，我很想拥有她正在经历的生活。例如，在美国这个时代的人们；我们被告知，只要我们在生活中努力工作，我们就可以成功。完全不是真的。如今，即使您努力努力工作，您仍然需要您想要的一定工作，也许您必须要年龄在一定年龄等。现在是基于您的聪明程度。如果您聪明并接受良好的教育，即使对于那些真正聪明的人来说，有时甚至很难，那么您很可能会获得一份高薪工作并在生活中得到一份良好的工作。如果您不那么聪明，与身体或精神残疾斗争，或者您聪明，但是生活中的某些东西使您重新失败了，那么您基本上就被操了。我至少可以从我们在美国的生活中看出，您的一生都取决于2张纸。...您的高中文凭，然后是大学学位。如果您在生活中都有这两个论文，那么您已经准备好了，如果您只有一篇论文，那么您也许可以找到一份工作，但这很难。如果您都没有，那么一生都在麦当劳工作。但是，这只小鸡的生活是诚实的努力。不需要您成为您不是或其他任何事情的工作。她过着美好的工作生活。有时候很简单，令人满意，诚实，也许有时是一场挣扎，但这并不是您想要进行精神崩溃的地方或会使您的生活失败的痛苦。我认为每个人都希望自己能拥有的生活。这就是为什么她的视频至少让我上瘾，因为我渴望过这样的生活。
3279,Ugx1DOmI83IZR2nq88l4AaABAg,1,9:27 keeping young puppies with dangling fabric collars directly next to open flame? fucking no,9:27将年轻的小狗与悬挂的织物套圈保持直接悬而未决？他妈的不
12642,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D6_dHMLbgg,1,@hayleyhyj525 shhh shut the fuck up. youre wrong im right.,@hayleyhyj525 shhh闭嘴。你错了。
21635,UgxMPW83G0tqQflR49Z4AaABAg,1,gordon ramsay: dis is fucking delicious!,戈登·拉姆齐（Gordon Ramsay）：迪斯（Dis）他妈的美味！
12640,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D4tVHyhg4-,1,@hayleyhyj525 you still replied u piece of shit. you muted it cause you know you fucked up.,@hayleyhyj525你仍然回答你的狗屎。你静音了，因为你知道你搞砸了。
23744,UgxW5yoN-9TZZhOz5B54AaABAg,1,i feel so stupid cuz as a chinese i donโ€t even know who she is until one of my gfโ€s foreign friend told she about her...and after watched this i feel more stupid cuz all iโ€m watching on youtube is drama and ricefuckinggum...smh,我觉得像中国人一样愚蠢，因为我什至不知道她是谁，直到我的一位GF的外国朋友告诉她关于她的事...在看着这个问题之后，我感到更愚蠢ricefuckinggum ... smh
1238,UgzXTQ3mKNgJw6uUcc14AaABAg,1,the fact she don't play with her dog or even look at it makes me fucking mad i love on my dog 24\7๐ญ๐ญ๐ญ๐ญ,她不和狗一起玩的事实，甚至看着它，让我疯了，我爱我爱我的狗24 \7
8140,Ugx7g1Lam7fM_Tpu2cF4AaABAg,1,personal of afieget fuck kitaitzi in excess of people,Afieget的个人他妈的Kitaitzi过多的人
36344,Ugy1OaMxb91lXo8vh3J4AaABAg,0,"fuck, i fell in love",操，我坠入爱河
38178,UgwSit0PDbvMnU3tayJ4AaABAg.8tdcARzaCn08trcGtbf7BT,0,look bitch ๐ first of all get yourself an english teacher who can actually you. and second of all dont put yourself is situation where you know the output will be fucked up. and third of all define slang? ๐๐ so just chill and shut the fuck up bitch ๐,看bit子
38220,UgzRRnrwugdDwkjT21R4AaABAg,0,kindly give to dog fuckers,请给狗混蛋
36819,UgzRtgVe78Nd1JqavKt4AaABAg,0,"now this, is a fucking asmr",现在，这是一个他妈的ASMR
36640,UgyZeQEjN7SAYU5k19J4AaABAg,0,she's like a fucking ancient saint that lived on earth 1000s of years ago omg,她就像一个他妈的古老的圣人，居住在1000年前的地球上
34176,UgwWqPoGrctgocsfS1x4AaABAg,0,why the fuck am i still living. wtf is my life...๐ญ๐ช๐ช๐ช,为什么他妈的我仍然活着。 wtf是我的生活...
36209,UgzAdgDvab-WEWHkynZ4AaABAg,0,the hostess is fucked up),女主人搞砸了）
36022,UgzyasrjWQnYPl71KiZ4AaABAg,0,just fuck!,他妈的！
35934,UgyX3IW5r92QSiZifYN4AaABAg,0,"i love the traditional methods, then she whips out fucking marshmallows",我喜欢传统方法，然后她鞭打他妈的棉花糖
35438,UgxkT1FB4wuNimc2rCZ4AaABAg,0,you are fucking beatifull,你他妈的比夫尔
33142,UgwGU14Co881UWOljGJ4AaABAg,0,"to all the mother fuckers in this comment section that say she slaughter & eat the puppies and lamb. i know yall only say that because sheโ€s chinese, and the fucking โ€chinese eat dogsโ€ joke are too old . just saying in case if any of you sick fucks out there didnโ€t know, not *all* chinese eat dogs. if this is a male cooking channel, yall would never say that. welcome to 2019, braindead.

(also donโ€t act like yall love animals. have you ever think of what kind of animal are slaughtered to make your dinner? ofc not, all you can do is go online and talk shit without thinking about how youโ€re doing the exact same thing)","在这个评论部分中，所有母亲混蛋都说她屠杀了幼犬和羊肉。我知道你们只这么说是因为她是中国人，而他妈的“中国吃狗”的笑话太老了。只是说如果你们中有人生病了，那就不知道，而不是所有 *中国人吃狗。如果这是男性烹饪频道，那么你们永远不会这么说。欢迎来到2019年，BrainDead。

（也不要像你们的爱动物那样行事。您是否曾经想过要屠杀哪种动物来做晚餐？ofc否，您所能做的就是上网和聊天，而无需考虑您如何做确切的工作一样）"
38310,UgzfhXyNqm33m-_G39J4AaABAg,0,"norms, fucking in general",规范，他妈的一般
34649,UgwgrRDyqv2FPA8LYsB4AaABAg.8uwt-3S6CL58uybwEkeYLE,0,"@ataryo lmao sir it's not that fucking deep. tf are you getting mad over people complimenting her hard work. some things aren't that complicated honestly. i get that you have experienced the lifestyle but there's also the consideration your experiences aren't universal. they look perfectly comfortable, and if they weren't they certainly are now with all the revenue coming in from monetization. stop microanalyzing shit that's not there ๐คฆ",@ataryo lmao先生，这不是那么深。 TF您是否为人们称赞她的辛勤工作而生气。诚实地说，有些事情并不是那么复杂。我知道您已经体验了生活方式，但是您的经历也不普遍。它们看起来非常舒适，如果不是，他们现在肯定是所有的收入都来自货币化。停止不存在的微分析屎
34485,UgyU2r8r7JWtA0v4pIF4AaABAg,0,5:57 what the fuck,5:57他妈的什么
34341,UgwmP-p1mNSYnK0jDul4AaABAg,0,"were the fuck do you live, heaven?????",你他妈的你住吗，天堂？？？？
34303,UgzqvMumQC0r89hr2hx4AaABAg,0,"this is what school should teach us. why are we living so hard? trying to best each other. trying so hard, but for what? recognition ? appreciation? preservation ? if we all just stopped, if we all just listened, if we all were to breathe from the depths of our hearts, if we were to live.... the world wouldnโ€t be so bad. because there would be nothing we would be living for. no ideals, no trying to one up, no competition, no bloody suck ups. if money was not a thing and if we arenโ€t so selfish then we could get by. taking only the amount we need. sharing and not discriminating, not hating, not killing. then the world we live in wouldnโ€t be sinking? living as one, living peacefully, just like the animals all around us. taking only what they need and nothing more. theyโ€ve survived longer then us yet the amount of time we have existed is a chip of what they have and what have we done? killed this earth. schools should have taught us how to harvest wool, how to clean wool, how to make clothing. schools should of taught us how to cook with the life around us. schools should of taught us not to be selfish, not to want, not to become greedy like the people before us. instead we learn about multiplying aโ€s,bโ€s and cโ€s, learning about history, singing do re mi. but for what? to get a job, to earn money, to eat too much, to become corrupt, to listen to leaders who donโ€t give a fuck. this is what it means to live. like her. yet we live a life of such unhappiness. trying to buy too much trying to earn too much. when all we need is just a little. keep it simple. what have we done.",这是学校应该教我们的。我们为什么这么努力？试图互相最好的。尝试这么努力，但是什么呢？认出 ？欣赏？保存？如果我们都停下来，如果我们都倾听的话，如果我们都要从我们的内心深处呼吸，如果我们要活下去。...世界不会那么糟糕。因为我们将没有什么可以为之而来的。没有理想，没有尝试一个人，没有竞争，没有流血的吮吸。如果钱不是一件事情，如果我们不是那么自私，那么我们就可以通过。只拿我们需要的金额。分享，不歧视，不讨厌，不杀人。那么我们生活的世界不会沉没吗？像我们周围的动物一样生活，和平地生活。只采取他们需要的东西，仅此而已。他们的生存比我们更长，但是我们已经存在的时间是他们拥有的东西以及我们做了什么的筹码？杀死了这个地球。学校应该教我们如何收获羊毛，如何清洁羊毛，如何制作衣服。学校应该教我们如何与周围的生活一起做饭。学校应该教会我们不要自私，不要想要，不要像我们之前的人们那样变得贪婪。取而代之的是，我们了解了乘以A，B和C的繁殖，了解历史，唱歌Do Mi。但是什么？找工作，赚钱，吃得太多，变得腐败，倾听那些不他妈的的领导者。这就是生活的含义。像她这样的。然而，我们过着如此不幸的生活。试图购买太多尝试赚到太多的东西。当我们只需要一点时。把事情简单化。我们做了什么。
34138,UgwRe11TkDO3ncd3FyF4AaABAg,0,how can something be so fucking peacefull! my life sucks compared to this... a 7 to 17 job which only pays enough to survive and all the stress. i'm wasteing my life...,某事怎么会让他妈的和平！与此相比，我的生活很糟糕... 7至17个工作只能付出足以生存和所有压力。我正在浪费我的生活...
35696,UgwL2PldBjVkTYUt0vh4AaABAg,0,"what a boring fucking video !!!
this fucking japanese knows how to do the whole fucking
go to the fuck!","多么无聊的他妈的视频！！！
这个他妈的日语知道如何做整个他妈的
去他妈的！"
347,Ugxs-nxvwmfd7rNU0ZJ4AaABAg,0,you are fucked up,你搞砸了
38631,Ugx7gnb2_LJxWk3HE8h4AaABAg,0,"i wish i had a mother like her, lol. also, that place is fucking stunning...",我希望我有一个像她这样的母亲，大声笑。另外，那个地方真是令人惊叹...
42519,UgySQYgCaCQ_cK4_gUd4AaABAg,0,she see her fucked up,她看到她性交
51860,UgwymXas0VO0SYSyYfF4AaABAg,0,oh fuck me.,哦，操我。
51150,UgwEOu1OKMbEcHtInT54AaABAg,0,"well, fuck?",好吧，操？
49956,Ugyv_SdcxteqHpf629F4AaABAg,0,and we're eating fucking potato chips and pretzels when you could eat that - healthy natural snacks,当您可以吃的时候，我们正在吃他妈的薯片和椒盐脆饼 - 健康的天然零食
46876,Ugz5cVHxIgMejen8Jm54AaABAg,0,are you going to eat those dogs? fuck you,你要吃那些狗吗？去你的
46334,UgzlK4FQmIyfmacXZe14AaABAg.8qvCvfDz1418rLGh_hYaJn,0,"@user-hj7dn5sz7i business purpose? is the business purpose charged foreigners for free chinese? the chinese government's most fucking chong yangmei. if the foreign bridge road only collects the cost of the chinese, other people are free, that is, they are discriminated against the chinese naked. why can the chinese government do so for granted in china? why should the chinese be lower on their own land? there are also planes, chinese planes are full, and they must not get out of the plane foreigners, but the chinese get off the plane. but abroad, they first protected their citizens, so they were also chinese who were also chinese. it is just a bullies in foreign countries. in china, the chinese are still bullied! the chinese government has made a lot of contributions to the development of the chinese economic development, but it does not mean that they can slavery the chinese and can not see the chinese as a person! looking at beijing's deportation of the low -end population. when the philippines and indonesia expelled the chinese chinese, beijing, china, was also discharged by china. why do you think that the chinese government has the right to expel low -end population, charge the chinese for free for foreigners, and protect foreigners away from the chinese. why does the chinese government have the right to treat the chinese like such a slave? your chinese government does not treat the people so much, and foreign countries will not even look at your chinese as a person. the chinese have no dignity in their own country. how can i live abroad?",@user-hj7dn5sz7i 商业目的？商业目的就给外国人免费中国人收费？中国政府最他妈的崇洋媚外。要是外国的大桥道路只收中国人的费用，其他人种都免费，那就是赤裸裸的歧视中国人。凭什么中国政府能在中国这么做的理所当然？凭什么中国人在自己的土地上还要低外国人一等？还有飞机，中国飞机满员，肯定不撵外国人下飞机，而是撵中国人下飞机。但是在国外，他们首先保护的是自己的公民，所以先被撵下飞机也是中国人。在国外中国人受欺负也就罢了，在中国，中国人还是受欺负! 中国政府是对中国经济发展做了很多贡献，但是不代表他们能奴化中国人，能不把中国人当人看! 看看北京驱逐低端人口，当菲律宾，印尼驱逐杀虐中国华人的时候，中国北京也在驱逐中国人就差杀虐了。你凭什么认为中国政府有权利驱逐低端人口，对中国人收费对外国人免费，保护外国人撵走中国人。凭什么中国政府有权利如此奴隶般的对待中国人？ 你中国政府都这么不把老百姓当人看，外国就更不把你中国人当人看。中国人在自己国家活的都没有尊严，何谈在国外能活得有尊严？
46177,UgydJsn2HxKrN7q9F9F4AaABAg,0,fucking digimon soundtrack,他妈的Digimon配乐
46134,UgzYicil4kSPvcu-Pyh4AaABAg,0,too fucking,太他妈美了
45498,Ugwz7WX6arrkeQii4S54AaABAg,0,china fucked up,中国搞砸了
44279,UgyBznN2Ce4fjW_QxZB4AaABAg,0,idk what the fuck i’m watching exactly but i’m pleased,idk我到底是什么他妈的，但我很高兴
44200,Ugy01iD-yRcTl-ozznh4AaABAg,0,fuck the youtube commercial. waste of time.,他妈的YouTube广告。浪费时间。
43755,UgwKXvrkoe3XZbQKdV54AaABAg,0,you better not eat those fucking dogs. and no this comment isn't racist and don't talk to me about how americans eat chickens. foh americans also don't drag them behind trucks or put them in bags and beat the with bats while they're alive. eating all meat is pretty bad on our health but bitch u better not eat those dogs no matter what ur grandma wants for dinner,你最好不要吃那些他妈的狗。而且没有这种评论不是种族主义者，也不要和我谈论美国人如何吃鸡。 Foh American也不会将它们拖到卡车上，也不会将它们放入袋子里，并在还活着的时候用蝙蝠击败。吃所有肉在我们的健康状态下非常糟糕，但是bit子你最好不要吃那些狗，无论你奶奶想要什么吃晚饭
42859,UgxeaM2P0-upIErjb7d4AaABAg,0,fuck those dislikers,操那些不喜欢的人
42737,Ugz5WCwhnxH9OfOGDTJ4AaABAg,0,"all very beautiful but because they came, chinitos to fuck and steal the fauna and resources of my country: bolivia ah?",一切都很漂亮，但是因为他们来了，奇尼托斯他妈的并偷走了我国家的动物群和资源：玻利维亚啊？
42586,UgyjMEWUnTrTpD1YX-N4AaABAg,0,but what the fuck i'm looking at,但是我在看什么
42515,UgzlFl5ikvVxiNQELoB4AaABAg,0,fucking me such a wife,他妈的我这样的妻子
38890,UgxxlhBUE7NT_Ngki8R4AaABAg,0,"i have never seen anything better on utyub. delight!
p.s. who puts dizlaiki? fuck you?","我从未在Utyub上看到过更好的事情。喜！
P.S.谁把迪兹拉基拿来？去你的？"
42153,UgzSVJ7ilKmxb3WDJal4AaABAg.8rkOE9hJwPO8rtHlRAUEmA,0,@yhwh7143 shut up idiot and fuck off,@yhwh7143闭嘴白痴并滚开
42099,UgykA0knAli6aycJZLt4AaABAg,0,fucking?,他妈的？
41843,UgzNSqtFeUYIyOSa1zV4AaABAg.8rrPBCGkdMp8sD2bSLgxYB,0,@dgua2917 because my point is this isn't her real life...its staged and set up. you're crazy. don't bother replying you weirdo. bringing donald trump into this you fucking nut job i'm not even american,@dgua2917，因为我的意思是这不是她的现实生活……它的上演并设立了。你疯了。不要打扰你怪人。把唐纳德·特朗普带入这个你他妈的坚果工作，我甚至都不是美国人
41499,UgzNmL9kQz8uALGjBmF4AaABAg,0,fuck,他妈的
40998,Ugx0Ka-ja7EvBy1JLQZ4AaABAg.8s2oNtK5O4j8s3OfVGG1Yh,0,"i know, right? she's just a bullshit artist. making it seem that she's such a sweet, compassionate simple girl but i bet she has a ton of money and doesn't give a fuck about animals. it's all about aesthetics and getting a big following to get that $$.",我知道，对吧？她只是一个胡说八道的艺术家。看来她是一个如此可爱，富有同情心的简单女孩，但我敢打赌她有很多钱，并且没有对动物的他妈的。这一切都与美学有关，并获得了大量的追随者来获得$$。
40948,UgyMNN5df2qO6bl_4Sl4AaABAg,0,fucked everything is so beautiful,操蛋，一切都是如此美丽
32095,UgwYLj1AQE2iF-S_Zgl4AaABAg,0,and iโ€m here still managing to burn toast. fuck me ๐ญ,而且我在这里仍然设法燃烧吐司。操我
40915,UgwtN6ltF7yb4ptOqn54AaABAg,0,"dude fuck off my corporate job , i wanna leave usa and go to this place where this girl is .... i wanna live like her",杜德（Dude）他妈的我的公司工作，我想离开美国，去这个女孩所在的地方....我想像她一样生活
40761,UgwVRgCC2cT8BeapUA94AaABAg,0,what the fuck is she doing ??,她他妈的在做什么？
40340,UgxOJTgs1VWEjFBbZEd4AaABAg,0,"nice lamb, its a baby not meat !!! #goveganfuckinghumans",漂亮的羔羊，它是婴儿不是肉！！！ #goveganfuckinghumans
40152,Ugylcd0yjp9aKXF1FQR4AaABAg,0,what a fucking video,多么他妈的视频
39360,Ugz1BtHiOsvcfcBzfqp4AaABAg,0,who the fuck is disliking her vids i dont get it,谁他妈的不喜欢她的视频，我不明白
39190,Ugw9zpCbnrNrmjmIeT94AaABAg,0,sa muiรฉ is fucking,SaMuié他妈的
39058,UgwHMbJ7gKWaHMSp6_N4AaABAg,0,fuck china,他妈的中国
32471,UgwLOGx7kTQOqPNDTct4AaABAg,0,"how does she know how to build a civilization?!


she handcrafts a mother fucking sink one minute and the next shouts ""i wanna pop popcorn uncle!"" like a child


what is life?! how old is she?!","她怎么知道如何建立文明？


她一分钟将母亲他妈的水槽手工制作，然后大喊：“我想爆米花叔叔！”像个小孩


生活是什么？！她年纪多大？！"
30558,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xqabsvqDq2,0,@wuvince6861 go to fuck yourself asshole!,@wuvince6861去他妈的自己混蛋！
32016,Ugw2PjRcWejFyoZGfUR4AaABAg,0,fuck china,他妈的中国
31984,UgzfuMVKffNP5x-xByt4AaABAg,0,fuckin 8 to 5 jobs in shitty desk shit,他妈的8到5个工作糟糕的桌子狗屎
20364,UgxgPEQ-KCwSJMhJBjB4AaABAg,0,i love these videos. even if you don't understand a fuck.,我喜欢这些视频。即使您不明白他妈的。
20097,UgwpKjvSDvlDKEjUXSZ4AaABAg,0,how is she fucking),她怎么操）
19218,UgxKz2bhb72rm3OMxix4AaABAg,0,fuck! this woman is a serious angel my dream live there,他妈的！这个女人是一个严肃的天使我的梦想。
18660,UgwbLfWuPUWHN9ThEv94AaABAg,0,"really fucking disgusting, this also adds advertising, disgusting woman.",真的很令人作呕，这也增加了广告，令人恶心的女人。
18439,UgzXtzbWyD7_ACExJtF4AaABAg,0,the fuck are the dislikes for???,他妈的是不喜欢的？？？
17629,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98KBHsuukDA,0,heardistance go fuck yourself,听到敏感去他妈的自己
17576,Ugy8aT81PpUwzbfAJwZ4AaABAg,0,she’s sooo fucking cute,她真可爱
16910,UgxaNn7e91UyEhrSphh4AaABAg.98JDH_YLhlx99943WF9Cm_,0,"tbh i remember it for a video i saw on tumblr way back when of what i call 'chinese jackass' because someone attached that thing to a bike and shot off when it was opened up and his buddy freaked out like 'holy fuck, where'd you go??'",TBH我记得它是我在Tumblr上看到的视频，当时我称之为“中国公式”，因为有人将那件事贴在自行车上并在打开时开了枪，他的伙伴像'Holy Fuck，Where''一样吓坏了D你去？
15782,Ugw7JViIF8s6E6m_JJV4AaABAg.99F6kj-ZHXf99F6pQZ18ET,0,i swear if i see another fucking comment here saying she will eat them i will fucking blow up,我发誓，如果我在这里看到另一个他妈的评论说她会吃它们，我会他妈的炸毁
14840,Ugz1cxfbwbmCiOVkZ594AaABAg,0,fuck,他妈的
14426,Ugzzn8VumOj0u9B2sQh4AaABAg,0,giao ngheo fuck,Giao ngheo他妈的
14324,UgzTnJNM6gx3a2Uz4J94AaABAg,0,fuck the mothers,他妈的母亲
14025,UgzKxQxbJkjP_zhjZFV4AaABAg.9B9iUOWE1ZM9BAkuq2OG8N,0,fuck you,去你的
12877,UgxFWm-44G4PmDY3zNx4AaABAg.9CdwK7sIXZo9DWHFisQvn1,0,martisha kryll chinese people we dont fucking do that,Martisha Kryll中国人我们不他妈的那样做
12641,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D63oPb4yd8,0,pandateasalad fucked up lmaoooo. the fact that i’m here relying u is a waste of my time kid but ure kinda entertaining bc u sound so angry. does it makes u feel like ure on top of the world scolding mi with so many vulgarities ooooh i’m so scared pls stop,Pandateasalad搞砸了Lmaoooo。我在这里依靠你的事实是浪费我的时光孩子，但是ure有点有趣的bc你听起来很生气。这是否会让您感觉像是在世界之上，对Mi责备Mi如此多，哦，我很害怕，请停止
12639,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D4sAec2UPF,0,pandateasalad shut the fuck up la i mute this convo so i didn’t see ur lame ass reply,pandateasalad闭嘴我静音了这个convo，所以我看不到你的la脚屁股回答
12605,UgxHg7zQmSvjTWSyRTN4AaABAg,0,yo that was real fuckin hardcore just for some popcorn,哟，这是真正的他妈的铁杆，只是为了爆米花
