,cid,votes,含fruit,含fruit中文翻译
32801,Ugzdz9B1qq9i0ys8Jb54AaABAg.8yUmLaS9As08yVBQGA-N9p,6,i want to ditch civilization and live there where it's fruitful of everything,我想抛弃文明，居住在那里，在那里富有成果
18268,Ugy16ZH4s7aNsTlNpmt4AaABAg,6,"this place is so lovely.... there have so vegetables, fruits and everything.......",这个地方太可爱了。...有蔬菜，水果和一切。
7679,UgwjOzqXfhZu_E5TQ9h4AaABAg,5,"hi liziqi, your life is so inspiring! i really enjoy watching your video. i think you are so lucky to live a life full of nature. i wish your life be more fruitful and more exciting. thank you and god bless to your channel and your family!",嗨，利兹奇，你的生活真是令人鼓舞！我真的很喜欢看你的视频。我认为您很幸运地过着充满自然的生活。我希望您的生活更加富有成果，更令人兴奋。谢谢您，上帝保佑您的频道和家人！
20331,UgwxJeF5iyf1Rgwl8WJ4AaABAg,4,i wonder...did she plant all of those veggies and fruits trees?,我想知道...她是否种植了所有这些蔬菜和水果树？
31614,UgxlIGJXXNNrFdBALC54AaABAg.8yVA6raRS7Q8yV_GZRWY2M,3,"i think ziqi is super busy. she probably doesn't have enough time to take good care of her hair and skin. most of girls in sichuan where ziqi lives with good skin. i guess it's just about genetic background, climate(sichuan is surrounded by mountain and with less sunshine and more humidity ) and eating habit(a lot of vegetables, fruit and spicy food).",我认为Ziqi超级忙。她可能没有足够的时间来照顾自己的头发和皮肤。 Ziqi的大多数女孩在Ziqi的皮肤良好的地方。我想这只是遗传背景，气候（四川被山所包围，阳光更少，湿度更多）和饮食习惯（很多蔬菜，水果和辛辣食物）。
6602,Ugy3xkTYxlTAID94IdJ4AaABAg.9EeYlTw0XI49EiLR8OFVHU,3,"live in asia mr. this is what our life is alhamdulillah ๐๐...fresh fruits, fresh vegetables, fresh cut animals, fresh air....and beautiful nature...at least try to go visit asia...like philippines, china, thailand, taiwan, singapore, malaysia, cambodia and vietnam...this is mostly the life we have......... especially in provinces....๐‘โ๐๐",住在亚洲先生。这就是我们的生活是Alhamdulillah
9049,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9BNoJdgVRd_,2,"if i told you i only have a few flowers to help with pest control and attract pollinators, would you be surprised? (many of the flowers i grow are also edible) my garden is full of many vegetables, herbs and fruit. i also trade cuttings and clippings with people so they may grow plants as well... i am american. many of my friends in canada are also self sufficient gardeners.",如果我告诉您我只有几朵花可以帮助控制害虫并吸引传粉媒介，您会感到惊讶吗？ （我种的许多花也可以食用）我的花园里到处都是许多蔬菜，草药和水果。我还与人交易剪裁和剪报，以便他们也可以种植植物...我是美国人。我在加拿大的许多朋友也是自给自足的园丁。
30905,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yzKV4YekrM,2,"bramha's astra do you actually watch any food network chefs? ina garten/barefoot contessa frequently uses fresh ingredients, either grown herself or from her local shops. alton brown (who recently started brand new episodes of good eats) does the same. even on those cooking competition shows (e.g. chopped), they pick fresh fruits and vegetables from the pantry, not from a can. 


the only show where the food was consistently canned/boxed was ""semi-homemade"" with sandra lee and that terrible show was cancelled in 2011, thank god. 


i feel like you are just so obstinately anti-american, you refuse to acknowledge anything positive about the us. and don't say it isn't true. i can tell by the way you falsely described food network shows and american cooking in general.","布拉姆（Bramha）的阿斯特拉（Astra）您实际上看过任何食品网络厨师吗？ Ina Garten/Barefoot Contessa经常使用新鲜食材，无论是自己还是从当地的商店种植。奥尔顿·布朗（Alton Brown）（最近开始了全新的《好吃》剧集）也是如此。即使在那些烹饪比赛中（例如切碎），他们也从储藏室中挑选新鲜的水果和蔬菜，而不是从罐头中挑选。


唯一与桑德拉·李（Sandra Lee）一起罐装/盒装食物的唯一表演是“半摩托马”，而这场可怕的表演在2011年被取消了，感谢上帝。


我觉得您是如此顽固的反美，您拒绝承认对美国的任何积极。而且不要说这不是真的。我可以通过错误地描述食品网络节目和美国烹饪的方式来分辨。"
19125,UgxqKGCp80V6zbdnys94AaABAg.9268Q1-hNy492CuCp65skp,2,"hi richard, thank you for praising li ziqi's loving care for the granny. from the perspective of many asians, the granny now is reaping the fruit of loving care for liziqi who was suffering in the abusive hands of the stepmother back then. i guess granny brought up and educated ms. li well, resulting in ms. li being knowledgeable, honourable, adorable, generous and benevolent. what goes around comes around.",嗨，理查德，谢谢您称赞李Ziqi对奶奶的关爱。从许多亚洲人的角度来看，奶奶现在正在为利兹奇（Liziqi）收获爱心的果实，他当时在继母的虐待手中遭受痛苦。我猜奶奶长大并对李女士进行了教育，导致李女士知识渊博，光荣，可爱，慷慨和仁慈。善有善报恶有恶报。
20349,UgwxJeF5iyf1Rgwl8WJ4AaABAg.90ye7n6aTzY910wWt_ZyPy,2,"some veggies and fruit are from neighbors' garden. in the country, people share their harvest to each others to get ingredients which their don't plant.",一些蔬菜和水果来自邻居的花园。在该国，人们与彼此分享收获，以获取不种植的食材。
12182,UgycBYapKu7TH6vb3Ed4AaABAg.96zCrvM37vj97zBs1rUxOG,2,"i used to live like that, i miss climbing trees to get fruits to eat and collecting spices and veggies for my mom to cook. good times.",我曾经这样生活，我想念爬树去吃水果吃饭，并收集香料和蔬菜供我妈妈做饭。美好时光。
22645,UgxS9qH-s7dLvlE-GY94AaABAg,2,"who will find a talented woman? her value is superior to pearl. the heart of a husband trusts in her, he will not lack benefit. all of her life makes her husband gain benefits, do not hurt. she looked for sheep's wool and thorns, lac-italy took her hand to do the work. she was like a merchant ship, she came back from afar. she woke up when it was still dark, gave food to her family members, and cut jobs for her servants. when she thought of a field, she could buy it; thanks to the fruit of her hands, she planted a vineyard. she strapped with force, and made her arms strong. she felt that her work was being beneficial; her lights did not go out at night. she put her hand on the spinning top, and her fingers held him down. she extended her hand to help the needy, raised her hand to meet the poor and needy. she was not afraid of her family being frozen in snow, because all the families were dressed in deep red fur. she took the blankets; her t-shirt made of fine red linen. at the gate of the city of her husband is known to them, when they sit with the elders of the land. she made a bra and sold it; also gave belts to traders. she put on strength and imposing, and when she thought of the next day, she laughed. she opened her mouth wisely, the merciful principle at her tongue. she takes care of the way of her house, and doesn't eat the bread of idleness. her children rise up, wish her blessed; her husband also rose, and praised her, saying, 
proverbs 31: 10-28 vb1925 
https://bible.com/bible/193/pro.31.10-28.vb1925","谁会找到一个才华横溢的女人？她的价值优于珍珠。丈夫的心信任她，他不会缺乏利益。她的一生都会使丈夫受益，不要伤害。她寻找绵羊的羊毛和刺，Lac-titary握住她的手做这项工作。她就像一艘商船，从远处回来。当天黑时，她醒了，给家人吃了食物，并为她的仆人裁员。当她想到一个领域时，她可以买到。多亏了她的手的果实，她种了一个葡萄园。她用武力束缚，使自己的手臂坚强。她觉得自己的工作是有益的。她的灯在晚上没有熄灭。她把手放在旋转的顶部，手指将他压低。她伸出手来帮助有需要的人，举起手来遇到穷人和有需要的人。她不怕家人在雪中冻结，因为所有家庭都穿着深红色的皮毛。她拿了毯子。她的T恤由精美的红色亚麻制成。当他们与土地长老坐在她的丈夫城市的大门上。她制作了胸罩并卖掉了。也给贸易商带来了腰带。她发挥了力量和强烈的态度，当她想到第二天时，她笑了。她明智地张开嘴，舌头上的仁慈原则。她照顾房子的方式，不吃闲散的面包。她的孩子起床，祝她祝福。她的丈夫也升起，称赞她，说，
谚语31：10-28 VB1925
https://bible.com/bible/193/pro.31.10-28.vb1925"
11041,UgxXFZ-jwymPMtvu2qp4AaABAg,1,"so just random question i’ve had while watching her videos, is she chef before? and that was all their backyard as their own? you can’t just chop off a tree or fruits if that wasn’t yours",那么，我在观看视频时只有随机的问题，她以前是厨师吗？那就是他们自己的后院吗？如果不是您的
16461,UgxZtMzUcUNvdGOscyt4AaABAg,1,"all sorts of herbs, exotic fruits, some root crops eat. i like it. at the same time, these people cook very tasty. with spices. spices regulate the metabolism in the body with proper use. health and good luck to everyone.",各种草药，异国果实，一些根作物吃。我喜欢。同时，这些人烹饪非常好吃。带有香料。香料可通过适当使用来调节体内的新陈代谢。健康和祝你好运。
26895,UgzQ4OBGGGIyUq7xGMV4AaABAg.8ykJlulry208ytCd7bAAHS,1,"@chevvy427 it is just a small village in china. in the countryside, most people in the countryside go to work in the city. they only go home when the spring festival is over. as you can see in the video, there are organic vegetables and melons grown everywhere. fruit",@Chevvy427它只是中国的一个小村庄。在乡村，乡村的大多数人都在城市工作。他们只有在春节结束后才回家。正如您在视频中看到的那样，到处都有有机蔬菜和瓜。水果
12178,UgycBYapKu7TH6vb3Ed4AaABAg.96zCrvM37vj97XeR5QBDh7,1,爸爸 people would come in and pick the flowers or steal the vegetables/fruits. we tried to grow them and that's what happened. :(,爸爸人们会进来摘花或偷蔬菜/水果。我们试图发展它们，这就是发生的事情。 :(
12938,UgytWROnurt7fOcPZJp4AaABAg.968AXRHyf1Z96sZe2fRra2,1,"udi-netts actually taking any of the 5 food groups out of you diet is actually really bad if you don’t know the five food groups they are meat, fruit, vegetables, dairy, grain",Udi-nett实际上将饮食中的5个食物组中的任何一个中的任何一个都取出，如果您不知道五个食物组是肉，水果，蔬菜，乳制品，谷物
14072,UgwMMchXSHiNr6Dp4714AaABAg.94X-OXeU5p895p0bl10x0f,1,"i felt bad for what was mentioned in the video. i’m a chinese and honestly i love philippine cuz they got so many delicious tropical fruit and they keep their environment well

but pls don’t be racist to chinese or filipino cuz its just a part of the people’s fault but not all 
thanks","我对视频中提到的内容感到难过。我是中国人，老实说，我爱菲律宾，因为他们得到了很多美味的热带水果，并且保持环境良好

但是请不要对中国人或菲律宾人种族主义者，因为它只是人民错的一部分，但不是全部
谢谢"
30497,UgwNZUcP_13EYmIibpx4AaABAg,1,"ah (д) you can eat it in china. it's delicious, subereli yyu is a mayonnaise. but what is the green fruits that appear in the video several times? 。 (´- ｀)",啊（д）你可以在中国吃它。它很美味，Subereli Yyu是蛋黄酱。但是，几次在视频中出现的绿色水果是什么？ 。 （´-｀）
25506,Ugxkaczi3rRY4eft6Y54AaABAg.8z1M5cLp9qc8zJh-1QP2Du,1,"not me. came from that life ... was hard and unfruitful ...

why do you think they make these videos to earn some cash?","不是我。来自那一生...艰难而朴素...

您为什么认为他们制作这些视频以赚取一些现金？"
7242,Ugwn75RJqOhnL55peit4AaABAg,1,"plz dont kill them plz๐ฅบ๐ฅบ๐ฅบ๐ฅบโน๏ธโน๏ธ
love your videos from india๐ฎ๐ณ๐ฎ๐ณ
you can eat more vegetables and fruits๐“๐“๐ฅฌ๐ฅ’๐ฅฌ๐ฅฆ๐ฐ๐‘๐๐๐๐๐","请不要杀死他们plz
爱印度的视频
您可以吃更多的蔬菜和水果"
6399,UgzOccj6G8HDTl-MVut4AaABAg,1,"your videos are like artificial artwork.. it's manmade to attract fans.. it comes from life but not realistic for ordinary people to practice.. who the heck can work like this?? what you present is not your real life, if it's true, you must have owned the eden garden to grow all vegetables and fruits in the world.. how realistic that is???",您的视频就像人造艺术品一样。它是人为吸引粉丝的人为。它来自生活，但对于普通百姓而言，练习并不现实。.谁可以这样工作？您所面临的不是您的现实生活，如果是真的，那么您必须拥有伊甸园才能种植世界上所有的蔬菜和水果。这是多么现实？？？
6362,UgzMu7_CGZ_Jz-B92T94AaABAg,1,"is she hiring? 

i can work for her, can water all plants, daily wake up early, climb trees, pluck fruits, cut herbs.etc","她在招聘吗？

我可以为她工作，可以给所有植物浇水，每天醒来，爬上树木，摘下水果，切割草药。ETC"
31687,UgwkEqaJbzFImvNs_AB4AaABAg,1,"low -desired lifestyle, sunrise and sunset zhang luo eats major things, and make full use of the earth's sparse fruits produced in the four seasons, and do one thing seriously, a happy life every day. ❤️ come on 油",低欲的生活方式，日出日落的张罗吃饭大事，充份利用大地随着四季产出的疏果，认真的做一件事，快乐的生活每一天。 ❤️加油
5632,UgwpUI0m8Mk-QT1ICNl4AaABAg.9G4tMmRfxew9GU8Hhi_sre,1,"@icecoolguita grains, nuts, veggies and fruits? or are we going into the ""plants have feelings"" and ""there's rabbits in the corn field"" discussion?",@icecoolguita谷物，坚果，蔬菜和水果？还是我们进入“植物有感觉”和“玉米领域中有兔子”的讨论？
4589,UgwvTSx2InKXqlHYop54AaABAg,1,"brazilian cuisine is the result of a mixture of european, indigenous and african ingredients. many of the components of the recipes and preparation techniques are of indigenous origin, having undergone modifications by the portuguese and slaves from africa. these made adaptations of their typical dishes replacing the missing ingredients with local correspondents. the brazilian feijoada, a typical dish of the country, is an example of this. the slaves brought to brazil since the middle of the 16th century added elements such as palm oil and couscous to national cuisine. and the waves of immigrants received by the country between the 19th and 20th centuries, coming in large numbers from europe, brought some novelties to the national menu and concomitantly strengthened the consumption of various ingredients.

daily food, made in three meals, involves the consumption of coffee with milk, bread, fruits, cakes and sweets for breakfast, beans and rice for lunch - the brazilian's basic meal, to which are sometimes added pasta , meat, salad and potatoes - and, for dinner, soups and also the various regional foods.

distilled beverages were brought by the portuguese or, like cachaça, made on the land. wine is also widely consumed, sometimes added to water and sugar, in the well-known sangria. beer in turn began to be consumed in the late 18th century and is today one of the most common alcoholic drinks.

the most visible regional cuisines belong to the states of minas gerais and bahia, with minas gerais cuisine marked by european influence in delicacies and dairy products such as tropeiro beans (also a dish from são paulo cuisine), cheese bread (which is equivalent to paraguayan chipa, differing in format) and the cheese from minas frescal, and bahian cuisine due to the presence of african delicacies such as acarajé, abará and vatapá. pernambuco's cuisine stands out for its so-called ""pernambuco sweets"", that is, the sweets developed during the colonial and imperial periods in its sugar mills such as the bolo de bolo, souza leão cake and top hat, and also for drinks and savory delicacies discovered or probably originated in the state, such as cachaça, beiju and feijoada à brasileira.","巴西美食是欧洲，土著和非洲成分混合的结果。食谱和制备技术的许多组成部分都是土著起源，对葡萄牙人进行了修改和非洲的奴隶进行了修改。这些对其典型的菜肴进行了改编，用当地的记者代替了缺失的成分。巴西Feijoada是该国典型的菜肴，就是一个例子。自16世纪中叶以来，这些奴隶带到了巴西，增加了棕榈油和国家美食等蒸粗麦的元素。该国在19至20世纪收到的移民浪潮，来自欧洲的数量很大，为国家菜单带来了一些新颖性，并加强了各种成分的消费。

每日食物，三顿饭，涉及牛奶，面包，水果，蛋糕和糖果的咖啡，午餐的豆类和米饭 - 巴西的基本餐，有时会添加意大利面，肉，沙拉，沙拉和土豆 - 而且，晚餐，汤以及各种区域性食品。

蒸馏饮料是由葡萄牙人或像Cachaça一样在土地上制成的。葡萄酒也被广泛消耗，有时在著名的桑格利亚汽酒中添加到水和糖中。反过来，啤酒在18世纪后期开始消耗掉，如今已成为最常见的酒精饮料之一。

最明显的区域美食属于Minas Gerais和Bahia的州，Minas Gerais美食在美味佳肴和乳制品（例如Tropeiro Beans）（也是Tropeiro Beans）（也是圣保罗菜的菜肴），奶酪面包（与Paraguayan相当于Paraguayan ance of Paraguayan breads of tropeiro beans and Dish菜肴）。 Chipa，格式不同）和来自Minas Frescal的奶酪，以及由于存在Acarajé，Abará和Vatapá等非洲美食而导致的Bahian Cuisine。 Pernambuco的美食以其所谓的“ Pernambuco Sweets”而脱颖而出，也就是说，在其糖厂的殖民时期和帝国时期开发的糖果，例如Bolo de Bolo，SouzaLeão蛋糕和顶级帽子，也用于饮料，饮料，咸味发现或可能起源于该州的美味佳肴，例如Cachaça，Beiju和FeijoadaàBrasileira。"
33052,Ugwbq6sJ-mAR2gbcvIl4AaABAg,1,"wow, liziqi i love that recipe, thanks!
you know what we also have that here in the pilippines which we call tabagwang in the bicol region.
but in tagalog it's called susò.
we normally cook it with coconut milk and other green leaves (could be ferns, and many others which are compatible with coconut milk.)
raw jackfruit, green papaya, and string beans. hope you try these ones and let us know how much you enjoyed it. :)
be blessed!","哇，liziqi我喜欢那个食谱，谢谢！
您知道我们在Pilippines的这里也有什么，我们称之为BICOL地区的Tabagwang。
但是在他加禄语中，这就是苏苏。
通常，我们用椰奶和其他绿叶（可能是蕨类植物，还有许多与椰奶兼容的其他叶子。）
生菠萝蜜，绿色木瓜和血豆。希望您尝试这些，并让我们知道您有多喜欢。 :)
祝福！"
24236,UgxUQ3JBrdK5FGmKlYl4AaABAg,0,wow .... her farm full of fruit n plant...,哇....她的农场里到处都是水果n植物...
22696,UgwcajtoDMpROjIF1Jh4AaABAg,0,"thats a lot of food fir an tiny gurl and grandma
god bless their garden!! they have all kind of vegetables and fruits there","多数民众赞成在很多食物中，小家伙和奶奶...
上帝保佑他们的花园！他们那里有各种蔬菜和水果"
22321,UgxpXV4BEcvLf2ZDipJ4AaABAg,0,"i think i want to live a life like her, healthy and delicious foods, an organic way of planting fruits and vegetables, peaceful place, beautiful views and fresh air",我想我想像她一样生活，健康可口的食物，一种种植水果和蔬菜的有机方式，宁静的地方，美丽的景色和新鲜空气
472,UgzPF09v63eVl8eNhIZ4AaABAg,0,i'm jealous to liziqi because all the fruits ang vegetables are already there.,我嫉妒利兹奇，因为所有水果ang蔬菜已经在那里。
27776,Ugw5J1vSnwC70CCDwD54AaABAg,0,"the place near your house, the garden, vegetable plants, fruits all are awesome .... feel like to visit the place....",您家附近的地方，花园，蔬菜植物，水果都很棒。
26023,UgyyK86aAC05CRB-Pqx4AaABAg,0,"she is surrounded by a massive garden with a nice variety of fruits and vegetables, very organic.",她被一个庞大的花园包围，有各种各样的水果和蔬菜，非常有机。
31525,UgzA7XhtwNxtKgj79394AaABAg,0,when i was about 7 i used to live in the mountain where my grandma sister was a farmer and it was just like that fruitful of everything.,当我7岁左右的时候，我曾经住在祖母姐姐是农民的山上，就像一切富有成果一样。
34049,UgzMyL0UzaOjA7ejzkp4AaABAg,0,"so i am a huge fan of super-woman li ziqi, i've managed to get my parents addicted, also. this episode, again so beautiful, and i'm watching as i'm eating a slightly burned hotdog that started a small fire in my toaster oven tonight. so. that. every episode i am so fixated on the pummelo tree right by the house. where i live these are imported and was only get them in the winter, only a couple stores carry them, do it's just hard to find them, and often they are old, and dried out, or they were picked too soon and just don't ripen the way i like best. at best i might get 6 or so in a year. and they are no where near as big as the ones growing outside the front door. i hope no one is standing there if one falls, it looks like it would knock you out, cold. are there others that like this fruit and have a hard time finding them?",因此，我是超级女性Li Ziqi的忠实拥护者，我也设法使我的父母上瘾了。这一集又是如此美丽，我正在看着我吃了一个有点燃烧的热狗，今晚在我的烤箱里开始了小火。所以。那。我的每一集都被固定在房子的Pummelo树上。我住的地方是进口的，只有在冬天才能将它们拿到，只有几家商店携带它们，很难找到它们，而且常常是老的，又干了，或者被挑选得太早了，只是不穿' T以我最喜欢的方式成熟。充其量我可能会在一年内得到6个左右。而且，它们的大小不像前门外面的那样大。我希望没有人站在那儿，如果一个人跌倒，看起来它会把你撞倒，冷。还有其他喜欢这种水果并且很难找到它们吗？
33811,UgxApkQNIDqvkdsVnZF4AaABAg,0,"after so many videos i have seen on her gathering and cooking, i am still impressed each time of her garden that grows so many kinds of vegetable, fruits, herbs and gather nearby so many other fresh produce. simply amazing.",在她的聚会和烹饪上看到了这么多视频之后，每次在她的花园里，我仍然给我留下了深刻的印象，它们种植了许多种类的蔬菜，水果，草药，并在附近收集了许多其他新鲜农产品。简直太神奇了。
32640,UgzT52bypdyvocjZIbV4AaABAg,0,"lizi you have all the vegetables,fruits, flowers etc..
great job...
may god bless you","lizi你有所有的蔬菜，水果，鲜花等。
做得好...
愿上帝保佑你"
32637,Ugy5j0GNNxijYqzjy9p4AaABAg,0,"i really want to eat oh oh woohoo, snail powder and oil and fruit perfection ~",好想吃呜呜呜呜螺蛳粉 加上油果完美～
32301,Ugxou_WT8SwZAWd3CK94AaABAg,0,"full of good taste, fast mid -autumn festival, is the next film a grapefruit and moon cake?",满满的好味道，快中秋了，下一部影片是柚子与月饼吗？
31782,UgwU4pkcLEeX9EK9uyN4AaABAg,0,very nice... i love the vegetables... i love to watch ur videos very relaxing easy cooking... easy picking veg. and fruits.. i love it i love u... i feel hungry always u watching u❤️❤️❤️❤️,非常好...我爱蔬菜...我喜欢看您的视频非常轻松的烹饪...轻松挑选蔬菜。和水果..我爱它，我爱你...我总是饿了，你总是看着u❤️❤️❤️❤️
31271,UgyEdoz273awfyrbekd4AaABAg,0,i wonder how many veggie and fruits you plant in your garden?,我想知道您在花园里种了多少种蔬菜和水果？
26366,Ugw6MEvF8yebJrrFM7F4AaABAg,0,"which little girl is this ~ how can i steal other people’s farm work everywhere, fruits ~",这是哪家小姑娘~怎么到处偷采别人的农作，水果~
30180,UgwsF6ozUV0ug0Dq7wJ4AaABAg,0,i want to join her for just one day. what she does seems like a lot of work at times but it has got to be that much more satisfying to enjoy the fruits of your labor at the end of the day.,我想加入她的一天。她所做的有时似乎是很多工作，但是在一天结束时享受劳动的成果一定要令人满意。
28373,UgxNZMVNjDKDdcK_h2x4AaABAg,0,your garden is like a paradise all the fruits and vegetables are delicious,您的花园就像天堂一样，所有的水果和蔬菜都很美味
28293,Ugw0ng88auBqj2KZ3dt4AaABAg,0,"you too need to cover up a little bit more. and please just don't eat pork. it is forbidden meat.. like a forbidden fruit... when you take it, you will be out from the heaven.",您也需要掩盖更多。而且请不要吃猪肉。它是禁忌的肉..就像禁止的果实...当您拿走它时，您将从天堂出来。
21869,Ugwkvkt9d_wNW0fDHvx4AaABAg,0,i envy you for having a house that has a vegetable and fruit garden:)),我羡慕你有一所植物和水果花园的房子:)）
26773,UgyU8HhkCaN4bTTVV294AaABAg,0,the sub fruit is heartwarming :))),亚果令人心动:)）））
26708,UgwTdYlTOfHvuwYMBUx4AaABAg,0,"it's like a pretty countryside, but the dishes are fashionable. i always harvest vegetables and fruits, but there are no videos to plant. many crops are planted on a vast site. who earns cash income and buy these seedlings and fertilizers? the more you watch the video, the deeper the question.",这就像一个漂亮的乡村，但是菜很时尚。我总是收获蔬菜和水果，但是没有播放视频。许多农作物被种植在庞大的地点。谁赚取现金收入并购买这些幼苗和肥料？您观看视频的越多，问题就越深。
