,cid,votes,含fruit,含fruit中文翻译
52940,UgxmIR5buVHcjEeFB_B4AaABAg,49,"nougat (roasted chestnut, dried strawberry, raisin & crackers), candied fruit skewer, jerky, dried mango, peanut & sesame brittle, toasted peanuts & sunflower seeds, wafer rolls, popped rice and corn
did i miss anything?","牛轧糖（烤栗子，干草莓，葡萄干和饼干），蜜饯串，生涩，干芒果，花生和芝麻脆，烤花生和葵花籽，晶圆面包卷，炒饭和玉米
我想念什么吗？"
36512,Ugwif1pfLtIEW9vXyBR4AaABAg,48,"guys: need some help??
liziqi: lift 2 big baskets full of fruits


guys:
(questiong their mascumantality)","伙计们：需要一些帮助吗？
Liziqi：升降机2个大篮子装满水果的大篮子


伙计们：
（问他们的男性）"
30289,Ugy6JrTPht_jLiRRDm94AaABAg,46,there are not so many girls like her nowadays. a hard working girl and i'm really imprrssed with the way picking up 2 basket full of fruits is impressive. salute for girl like her,如今，没有那么多女孩。一个努力工作的女孩，我真的很不满意，因为捡起2个装满水果的篮子的方式令人印象深刻。像她一样向女孩致敬
48589,UgyTBvQ7nse-MDxc8814AaABAg,35,"would love to live there, smell the nature, grow your own fruits and vegetables, no pollution",很想住在那里，闻到大自然，种植自己的水果和蔬菜，没有污染
34857,UgwP5FF76KuKUHPyWiJ4AaABAg.8uqyQmGVoGe8uwi97Y7JOc,33,yo did you see those grapefruits,你看到那些葡萄柚了吗
21301,UgyKDxEppPesHumoT5l4AaABAg,30,even the way she cuts fruit is soothing.,即使她切成水果的方式也很舒缓。
38729,Ugw11hJJQ5uGC3ivwx14AaABAg,27,"woww that place, full of fruits and vegies!! i want to live there!!!",哇，那个地方充满了水果和蔬菜！我想住在那里！！！
2505,UgzFi44Jx2eoY8Gtgh94AaABAg,25,i’d love to have a area to have the access to fruit/veggies and vegetation that she does. gardening brings me such joy.,我很想有一个可以进入她所做的水果/蔬菜和植被的区域。园艺给我带来了如此快乐。
46908,Ugxt_UgIcBmTXIOOGpt4AaABAg,24,"i love this episode the most! especially when she go cover her grandma ear lol. happy chinese new year to you and your grandma!

scene that you may miss the small cute details
0.42 when she crack the chestnut and puppy feet try to steal it. great shot!
3.33 i guess everyone who cook would want to get that wooden ingredient tray! 
5.55 when they open the popcorn pot 
8.47 the pomelo street look like a fairy tale but you all know that you should not eat those fruit on the floor. (except chestnut and ginko of course!) 
9.30 the puppies look like they gonna jump into fire! and her grandma giggle is adorable! 
9.48 you can see all the love in there","我最喜欢这一集！尤其是当她去遮盖奶奶耳大声笑时。在春节快乐，祝您和您的祖母！

您可能会想念小的可爱细节的场景
0.42当她破裂栗子和小狗时，试图偷走它。好球！
3.33我想每个厨师都想得到那个木制成分托盘！
5.55当他们打开爆米花锅时
8.47 Pomelo Street看起来像个童话，但大家都知道您不应该在地板上吃那些水果。 （当然除了栗子和银杏！）
9.30幼犬看起来像是要跳火了！她奶奶咯咯笑！
9.48您可以看到所有的爱"
9324,Ugy3C0BEFl3Uww9xseR4AaABAg,23,"i love when puppies and sheep are around her, following her to collect a fruit. i have been in china one time and have test a fruit on a stick with sugar, it's seem like a normal snack for chinese, they sell everywhere in town.",我爱幼犬和绵羊在她身边，跟随她收集水果。我一次去过中国，并用糖粘在糖果上，这似乎是中国人的普通小吃，它们在镇上到处都有销售。
46796,UgzbIS4Nqo4EJO8bweJ4AaABAg,23,"i only discovered your videos in youtube. i really have such a life. i just imagined life in the novel. girl, you are really great, not only representing many chinese people, but how to coexist with human beings in harmony with nature, even if human beings are livable in the future, you need your spirit. i am glad to see your video, thank you.
suddenly i thought of the man who met your heart in the future. someone helped you lift your bamboo to make new sofas. some people pick fresh fruits and vegetables with you. one more person at the dining table with you. with cute children, one, two. essence essence then i have always made such a love video for us, oh no, enjoy. essence essence
hope this wish will come true.","我竟然在YouTube才发现你的视频，真的感概还有这样子的人生，只在小说中想象到的人生，姑娘，你真的很棒，不仅代表了华人的许许多多的优秀品质，和文化，甚至代表了人类，要如何与自然和谐共存，即使人类未来宜居其他星球，也需要你这种精神。很高兴看到了你的视频，感谢。
忽然想到了你日后遇到了你心怡的男子，有人帮你抬竹子做新的沙发，有人和你一起采摘新鲜的水果蔬菜，多了一个人在饭桌和你，婆婆谈笑风生，然后不就以后你们有了可爱的孩子，一个，两个。。。然后一直一直做这么有爱的视频给我们看，哦，不，享受。。。
希望这个愿望成真。"
4211,UgyKc23AuiJNHvuCVi14AaABAg,22,"i am still baffled how citrus fruits can grow there when they actually have cold winters. if that's the case, why can't these fruits grow in tennessee, usa bc it's something i want to plant lol.",我仍然感到困惑的是，当柑橘类水果实际上有冷冬季时，它们如何在那里长大。如果是这样，为什么这些水果不能在美国田纳西州，不列颠哥伦比亚省田纳西州生长。
16477,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l98vH2r7_rxU,20,"this life is luxury, but we can't afford it, so much land that you have your own everything, from fruit trees, to vegetables to cereals etc etc.",这种生活是奢侈的，但我们买不起，这么多土地，您拥有自己的一切，从果树，蔬菜到谷物等。
51744,Ugw2lxEEB2FRKKUkHyN4AaABAg,19,"it is so big, and for the first time, i can get a lot of sunflower seed fruit!
the whole film surprised me, leaving a word, applauding xiao yan, looking forward to the lower film, haha!","长这么大，头一次看到葵瓜子果实是这么简单就能弄出一大堆！
整部片让我惊喜连连，留个言，掌声鼓励小柒，期待下部片子，哈哈！"
27918,UgyqQiTJLZDpM5SmvK54AaABAg,17,when she was cutting that fruit i was like don't cut you finger,当她割那个水果时，我就像不割你手指
754,UgxA1cX9CwUQ3y4vbM14AaABAg,16,all fruits are so neat and bulk,所有水果都是如此整洁且散装
48481,UgxLwfeU2A0IaiF7paF4AaABAg,14,"love to see how she harvested the fruits and vegetables, prepare and cook those delicious meals. a must see video before i go to sleep. thank you for all the tranquil country life experiences that i may not have. happy chinese new year.",喜欢看到她如何收获水果和蔬菜，准备和烹饪那些美味的饭菜。我睡觉之前必须看视频。感谢您所没有的所有宁静的乡村生活经历。农历新年快乐。
17646,Ugxsruyd554Y0USBUb54AaABAg,14,everywhere u see there's fruits in her place....i wanna go there too,到处都看到她的地方有水果。...我也想去那里
19040,UgyUvOyOo_MY2ntappp4AaABAg,14,"so freaking cute..lol..i love how those puppy’s and that baby lamb (who probably thinks it’s just another dog..lol) follows her every where she goes....i love watching liziqi, she has inspired me to live a much simpler life, i have a huge back yard that i plan on converting to a garden, won’t be easy i know this, but i have such a passion to help others out especially families with small children and the elderly...where i come from fruits and vegetables are ridiculously expensive that we (most people) cant afford it, so i do without (lost my husband to als so having only 1 income makes it virtually impossible to buy what my body needs...good nutrition) so why not plant my own, unfortunately i don’t know how well it will work or succeed as winters here last 6 months out of the year, summers are an average 3 months long, then it cools off....but i’m going to give it a college try!",太可爱了..大声..我喜欢那些小狗和那只小羊羔（可能认为这只是另一只狗..-大狗）跟着她的每一个去的地方....我喜欢看Liziqi，她启发了我活着一个简单得多的生活，我有一个巨大的后院，我打算转换为花园，这并不容易，但我非常热衷于帮助别人，尤其是有小孩和老年人的家庭...我来自水果和蔬菜的地方是我们（大多数人）负担不起的昂贵的，所以我没有（我的丈夫失去了丈夫，只有1个收入，因此几乎不可能购买我的身体需要的东西...好营养）那么为什么不种自己的种植，不幸的是，我不知道它在一年中六个月的冬天，夏季的冬天，平均有3个月的时间，然后冷却了。。。 '我会尝试大学！
34859,UgwP5FF76KuKUHPyWiJ4AaABAg.8uqyQmGVoGe8v2ksbCgyDx,13,reagan green those are called yuzu. a cross between grapefruit and lemon,里根绿色称为Yuzu。葡萄柚和柠檬之间的十字架
25179,Ugxbq_HD1pFNYQhJX-h4AaABAg,12,i would live 1000 years if i eat this fresh vegetables and fruits,如果我吃这些新鲜的蔬菜和水果，我会居住1000年
28572,UgxVRrBlZkBLwu7cJRF4AaABAg,12,i love her and her sweet little animals . she lives such a wholesome life . the fruit nougat she made looks delicious .. well everything she made looks delicious ...bless her and her family.. may her family always prosper โค๏ธ,我爱她和她可爱的小动物。她过着有益健康的生活。她制作的水果牛轧糖看起来很美味..她所做的一切看起来都很好吃...祝福她和她的家人..愿她的家人永远繁荣❤️
19828,UgyTQdr4ht2C6TjRvft4AaABAg.95I2cr0D_Rv96E1ZXKbSCI,11,"@egoegoegosum https://raknife.com/li-zi-qi/ this article has all the information about her, this is not staged: she started out doing everything alone before she became more famous, earned a bit more money and could therefore hire an assistant and a cameraman. this is the life that she's been living since she was small, and many years of doing such hard labour as this on a daily basis tends to make one stronger. you get used to having to pick up a couple of kilos of fruit if you have to do it every time there's a harvest, and out in the countryside, you've got no choice but to do these kinds of things on your own. there's a ton of footage you have to take of many many different camera angles and when editing, almost half of these are discarded because you're supposed to pick the best angles to give you the feeling in the video that you want to. editing is a form of magic in its own way, just ask anyone who's working in editing",@egoegoegosum https://raknife.com/li-zi-qi/本文拥有有关她的所有信息，这不是上演的：她在她变得更加出名之前就开始独自做所有事情，赚了更多的钱，因此可以雇用助手和摄影师。这是她从小就一直过着的生活，而且每天都在做这类艰苦的工作很多年，往往会使一个人变得更强大。如果您必须每次收获时，就必须习惯于捡起几公斤水果，而在乡村，您别无选择，只能自己做这类事情。您必须了解许多许多不同的摄像头角度，并且在编辑时，几乎其中一半被丢弃，因为您应该选择最佳角度，以使您的视频中的感觉。编辑是一种魔术的形式，只需询问任何正在编辑的人
43795,UgyyBm-8_ZYK8anhOLN4AaABAg.8rIMvIWiIC08rL0ogRYx2o,11,well she has a garden and livestock and is clearly seen picking fruits off trees. i don't see any reason it couldn't.,好吧，她有一个花园和牲畜，清楚地看到从树上摘下水果。我看不出任何理由。
50529,UgyTzzrrIoCrRplPS-d4AaABAg.8qlhbruXDvb8qlwMAvvmZ3,11,"let me help you a litch bit.

chinese tradingal snacks for the chinese new year

chinese sugar-coald fruit
spicy beef jerky spicy beef jerky
dried mango mango dry
peanut sesame brittle peanutscell
roasted chestnuts baking chestnut
popcorn popcorn
salty sunflower seeds salted melon seed
fried peanuts fried peanuts
crispy fried egg rolls crispy egg roll (egg liquid 50g, milk 120g, plain flour 100g, honey, granulated sugar 50g, corn oil/unsalted butter)
snowflake crisp snowflake crispy (non-stick pan: important, marshmallow 200g, milk powder 130g, cranberry, chestnuts, cookies, dried strawberries, corn oil/unsaltd b utter 40g. the rodio of marshmallow, milk popder and butter is so important. the crisp will not be so hard or too soft, but chewy at the right ritio.)","Let me help you a little bit.

Chinese Traditional Snacks For The Chinese New Year 

Chinese sugar-coated fruit 冰糖葫芦 
Spicy beef jerky香辣牛肉干 
Dried mango芒果干 
Peanut sesame brittle花生芝麻糖 
Roasted chestnuts烤板栗 
Popcorn爆米花 
Salty sunflower seeds咸味瓜子 
Fried peanuts炒落花生 
Crispy fried egg rolls香酥蛋卷(egg liquid 50g, milk 120g, plain flour 100g, honey, granulated sugar 50g, corn oil/unsalted butter 50g) 
Snowflake crisp雪花酥 (non-stick pan: important, marshmallow 200g, milk powder 130g, cranberry, chestnuts, cookies, dried strawberries, corn oil/unsalted butter 40g. The ratio of marshmallow, milk powder and butter is so important. The crisp will not be so hard or too soft, but chewy at the right ratio. )"
34654,UgwIubx7mqS6SYaXx_x4AaABAg,11,"i wish could live like her...
she beautiful,clever and do everthing alone...love you girl...the village so nice and eating fresh fruit and vege...so good...","我希望能像她一样生活...
她美丽，聪明，独自一人做事...爱你的女孩...村庄真好，吃新鲜的水果和蔬菜...太好了..."
50575,UgyIf9B7LC3o_ShFBdJ4AaABAg.8qlh0C1jtGZ8qlkR_xmOvJ,10,@camilledelfinado1186 it is hawthorn fruit. the hawthorn fruits with the stick is a common snack called tanghulu in china.,@camilleffinado1186它是山楂的水果。霍索恩（Hawthorn）的果实用棍棒是一种普通小吃，称为中国的Tanghulu。
37336,Ugx-bW43HEO4tept_-N4AaABAg.8uAnhgpFVKS8uH09sreHqV,10,i am from states and iโ€d love to live where she lives itโ€s so beautiful and quiet and so many fruits itโ€s like eden โค๏ธ,我来自州，我很想住她住的地方，它是如此美丽，安静，如此多的水果，就像伊甸园❤️
44150,UgxLARdL-tabpquuInx4AaABAg,9,"i liked their country full of fruits
and to me attracted me more fog, calm and fictional atmosphere","我喜欢他们充满水果的国家
对我来说，吸引了我更多的雾，平静和虚构的气氛"
14186,UgxUTMsIUuBAwoeci1V4AaABAg,8,"the pastoral planting 100 kinds of fruits, the handwriting twist is the diverse food of the ingredients
world ranking bread masters have pk","田园自栽种百种果实,信手捻来都是食材做出多样化的美食
世界排名面包师傅都有得pk"
10691,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9FsuAU3EM8j,8,"everything shown in the video is the result of refined processing on the basis of ordinary chinese farmers. maybe you donโ€t know that every farmer in china has a lot of land for farming, and the video has such an effect. it is inseparable from the help of the whole team behind li. my hometown is in the same state as li, so i have many of the same memories in my memory. for example, picking grapefruit accidentally will hit the head or something...",视频中显示的所有内容都是基于普通的中国农民进行精制加工的结果。也许您不知道中国的每个农民都有很多耕种土地，并且视频具有如此效果。这与Li背后的整个团队的帮助密不可分。我的家乡与李处于同一状态，所以我的记忆中有许多相同的记忆。例如，偶然地采摘葡萄柚会击中头部或其他东西...
50576,UgyIf9B7LC3o_ShFBdJ4AaABAg.8qlh0C1jtGZ8qllrZq4adL,6,"@camilledelfinado1186 picking up from those trees which we call them ""citrus"" 柑橘. small ones named: hawthorns 山楂 for chinese sugar-coated fruit 冰糖葫芦串","@camilledelfinado1186 Picking up from those trees which we call them ""Citrus"" 柑橘. Small ones named: Hawthorns 山楂 for Chinese sugar-coated fruit 冰糖葫芦串"
48609,UgwDDg4p6jvMWDfV3SV4AaABAg,6,"there are many grapefruit on the ground, i really want to help you pick it up ...",地上好多柚子，好想帮你去捡...
34860,UgwP5FF76KuKUHPyWiJ4AaABAg.8uqyQmGVoGe8v5_-avLChx,6,"@gravitysdaughtr pomelos most likely, not grapefruits or yuzu.",@gravitysdaughtr pomelos很可能，而不是葡萄柚或Yuzu。
39239,UgwndvFwBbUcZD4nSX14AaABAg,6,"what a place so beautiful, it seems that there is everything someone may need, these fruits looks so good, it's all very beautiful.",多么美丽的地方，看来有人可能需要的一切，这些水果看起来很棒，都非常漂亮。
10692,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9Ft1MHa6Gk8,6,"not really, i used to live in a tropical village close to the mountain ,people were poor in money but rich in nature ,they didn't need a lot of money bec everything was there ,fruits , vegetables, etc ,you don't need a big land to live like this ,if you live in the village that whole village is yours bec it's for everyone",不是真的，我曾经住在靠近山附近的热带村庄，人们的钱很差，但大自然，他们不需要很多钱，因为一切都在那里，水果，蔬菜等，你不需要如果您住在整个村庄是您的村庄，则需要一个大土地才能这样生活
30037,Ugxqyerx-UFwycbRcr54AaABAg,6,"hi ms liziqi....a few hours ago i started watching your video. 1st video with the lotus... hooked up.. now i don't know how many of your videos i've watched already.. and it's 12midnight here. thank you for the videos... i love how you take good care of your grandmother. you are a smart, loving, talented being.
i just wish and hope to live with you there even just for few days to join you and experience harvesting and eating fresh vegetables and fruits and taste your recipes. take care ๐ค—๐ค—๐ค—๐ค—","嗨，Liziqi女士....几个小时前，我开始观看您的视频。第一个视频与Lotus ...连接。.现在我不知道您已经看过多少个视频了..在这里是12mmid night。谢谢您的视频...我喜欢您如何照顾祖母。您是一个聪明，充满爱心，才华横溢的存在。
我只是希望并希望在那里与您同住，甚至只有几天的时间就可以加入您的行列，体验收获和吃新鲜蔬菜和水果并品尝您的食谱。保重"
52984,UgzVUw4UnqLW7N-jjil4AaABAg.8qlJT4zF0708qlOC0G-ANW,6,"traveling and living is two different things. rural life is not a paradise. the author just edits the best side to everyone. behind it is invisible hardships. for example, with a series of oranges and a basket of grapefruit, this is not that we can bear it all day long in the air -conditioned room.",旅游和居住是两回事，农村生活并不是世外桃源，作者只是把最好的一面剪辑给大家而已，背后是看不到的辛苦。就拿有一段挑着一筐橘子一筐柚子来说，这就不是整天呆在空调房的我们能受得了的。
18664,UgwXLmOP4e4YHuc-_WJ4AaABAg,5,"i love all of your videos, but this one makes me feel especially joyful. it reminds me of my grandmother, we called her nanny (very common here in the southern united states) making candied apples just like you did, and she would make caramels and rice krispy treats, and we would always have a box or two of citrus fruits from florida. that is the southernmost state in the united states and it has a subtropical climate so it grows the best fruits especially citrus. and every year over christmas holidays when we got out of school, we would always have all of those wonderful treats. i grew up on a 30 acre farm in rural south carolina in the southern part of the united states. we did not have a lot of money, but we always had wonderful home grown and home raised food like you liziqi, only we could not grow all of the things you grow there in the mountains, it was way too hot and humid in the southern united states. many days in the summer, it gets over 100 degrees fahrenheit which is over 37.7 celsius, and the humidity is always in the high 80's and 90's in the summer, sometimes it is 100% humidity and it can go over 100 degrees like 105-110 which is 40.5-43.3 celsius.",我喜欢您所有的视频，但是这让我感到特别快乐。这让我想起了我的祖母，我们称她的保姆（在美国南部很普遍）像您一样制作蜜饯的苹果，她会做焦糖和米饭krispy的零食，我们总是会有一个或两个盒子的柑橘盒来自佛罗里达的水果。那是美国最南端的州，它具有亚热带的气候，因此它可以种植最好的水果，尤其是柑橘。在圣诞节假期的每一年，当我们辍学时，我们将永远拥有所有这些美好的款待。我在美国南部南卡罗来纳州农村一个30英亩的农场长大。我们没有很多钱，但是我们总是有美好的家园，像您这样的家园里饲养了食物，只有我们无法在山上种植所有的东西，它在南部太热又潮湿了美国。夏季的许多天，它的华氏度超过100摄氏度，超过37.7摄氏度，夏季始终处于夏季的80和90摄氏度，有时是100％的湿度，它的湿度可能超过100度，例如105-110摄氏度。是40.5-43.3摄氏。
