,cid,votes,time,含sharing,含sharing中文翻译
3446,Ugz52awlurniXXBVGwx4AaABAg,3,2 years ago,"so beautiful, amazing, lovely, and wonderful. much blessings to you. thanks for sharing, lord-jesus-christ com",如此美丽，惊人，可爱和美妙。祝福你。感谢您的分享，耶和华 - 基督教
15539,UgxNyjjavjQctyku0zN4AaABAg,2,3 years ago,"the photography and editing is beautiful, thanks for sharing",摄影和编辑很漂亮，感谢您的分享
6023,Ugz_EGAhpDoQTcyVPS14AaABAg,2,2 years ago,"wow, well, i have seen a few.of your videos, i am utterly stunned at your skill, and beauty. thank you very much for sharing with the world.",哇，好吧，我看过几个视频，我对您的技巧和美丽完全震惊。非常感谢您与世界分享。
29473,Ugy5rFXMCgk-3KQP9o94AaABAg,2,3 years ago,every day i check for new videos from you. i wish i could go outside and have everything i need to make beautiful meals... i would be lying if i said i wasn’t a bit jealous. thank you so much for sharing this part of your life with us. also your grandmother makes me so happy!,每天我都会检查您的新视频。我希望我可以出去吃美食所需的一切……如果我说我有点嫉妒，我会撒谎。非常感谢您与我们分享生活的这一部分。您的祖母也让我很高兴！
1115,Ugy21NHjfaMsCAUdVUJ4AaABAg,2,1 year ago,thank you for sharing your paradise with us. and thank you for the english subtitles.,感谢您与我们分享您的天堂。并感谢您的英文字幕。
20877,Ugw6BrmR8HouM_p-7Cd4AaABAg,2,3 years ago,everything done with care. i'll eat your food any day because of the respect you show it. thanks for sharing.,一切都要谨慎。由于您表现出的尊重，我每天都会吃您的食物。感谢分享。
24361,UgwR_WKapgXFAJ0wbIl4AaABAg,2,3 years ago,"another wonderful and inspiring video, thanks for sharing a bit of your life.",另一个精彩而鼓舞人心的视频，感谢您分享您的一生。
19971,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92OfFvu5vAB,2,3 years ago,"@xiwang9653 no i think they are from chinese as well. there are a lot of chinese people that try to discredit her and what she does. it's sad because people from other countries generally support her, it's always the chinese comments that try to defame her. instead of supporting her for sharing our culture and heritage with the world, they choose to attack her. so shame on them",@xiwang9653不，我认为它们也来自中文。有很多中国人试图抹黑她和她的工作。这很可悲，因为来自其他国家的人们通常会支持她，这总是中国的评论试图诽谤她。他们选择攻击她，而不是支持她与世界分享我们的文化和遗产。所以对他们感到羞耻
31769,UgxWpYcXSNIh7WVNNuF4AaABAg,2,3 years ago,this video conveys peace! thank you for sharing,该视频传达了和平！感谢你的分享
22371,UgxaM_0wHJwmPrlFmFZ4AaABAg,2,3 years ago,i love all your videos. i watch them at the end of my long day as it helps me relax and de-stress. thank you for sharing your life with the world. i'd love to come visit!,我喜欢你所有的视频。我在漫长的一天结束时看着它们，因为它可以帮助我放松和减轻压力。感谢您与世界分享生活。我很想来参观！
3091,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9S2X2s3CDVG,2,1 year ago,thank you for the insights and for sharing your story!!! ❤️,感谢您的见解并分享您的故事！！！ ❤️
11740,UgxKP5VYJYBQ9Lfycf14AaABAg,1,3 years ago,"beautiful video! the most beautiful i saw, thanks for sharing it! i fell in love with the lady .saludos flash argentine",美丽的视频！我看到的最美丽，感谢您分享！我爱上了女士.Saludos Flash Argentine
8688,UgwKID90_7o2yHJZWVZ4AaABAg,1,2 years ago,"these videos are incredible, thank you for sharingโค",这些视频令人难以置信，谢谢您的分享❤
794,UgyowN13RiRW8jejRv14AaABAg,1,10 months ago,wonderful video. you made my day. thanks for sharing,精彩的视频。你让我今天一整天都感觉很好。感谢您分享
21604,UgzmsphLRPUD42AhbWF4AaABAg,1,3 years ago,"thank you for sharing, very delicious!",谢谢您的分享，非常美味！
8478,UgwVGIutXNdC6-q1af94AaABAg,1,2 years ago,beautiful videos! beautiful life. thank you for sharing.,美丽的视频！美丽的生活。感谢你的分享。
1211,UgyP4JWrW34s2c-rpIJ4AaABAg,1,1 year ago,"hello beautiful, i would like to be sharing those delights at your table that rich",您好，美丽的人，我想在您的桌子上分享那些愉快的乐趣，邀请我邀请我邀请我成为一个梦想，那就是您与祖母分享的那个天堂，这是您的
2563,UgyXvq0tiVgho-Z2u014AaABAg,1,1 year ago,"it's a elegant and gorgeous lady
the scenes of the videos are so amazing and incredible
really like the country side's life and the hard working lady you are 
thanks for your sharing","这是一位优雅而华丽的女士
视频的场景是如此的惊人和不可思议
真的很喜欢乡下的生活和努力工作的女士
感谢您的分享"
5897,Ugxzw7a4e9amPV9oPtl4AaABAg,1,2 years ago,"hello!, my name is ariel, i am from mexico. i am trying to raise funds to be able to return to university since i had to abandon it to help my mother and my brother, i currently work repairing clothes, and i do some work such as rehearsals or crafts but i cannot go back to school, i am trying to develop bags for myself, my idea is to incorporate organic materials that do not pollute the planet, so i can help myself to work and thus be able to go back to school, i want to study architecture, please take the time to read my story and my idea to get ahead, if you can help me by donating or sharing my message to more people i would appreciate it, if you have questions ask me, the least i want is for them to think that i want to scam them when all i am looking for is to achieve my dream of being an architect.
this is my campaign where i explain my situation and my idea i hope you can help me:
https://www.airfunding.net/project/173862?hl=es&utm_source=copied_url&utm_medium=social&utm_campaign=project_first_shares&utm_content=project_id_173862
i also made a video that is on youtube if you want to see it:
https://youtu.be/e6xn4etzc5k
you can also make a direct donation in paypal which is linked to my fundraising campaign:
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=sxu2euq899gqu&source=url
with all my heart thank you for taking the time to read my situation, thank you very much, blessings!!.","您好！，我叫Ariel，我来自墨西哥。我试图筹集资金以便能够返回大学，因为我不得不放弃它来帮助母亲和兄弟，我目前正在修理衣服，我做了一些工作，例如排练或手工艺品，但我不能回到学校，我正在尝试为自己开发袋子，我的想法是纳入不污染地球的有机材料，以便我可以帮助自己工作，因此能够回到学校，我想学习建筑，请进行是时候阅读我的故事和我的想法来取得成功，如果您可以通过向更多的人捐款或分享我的信息来帮助我，如果您有问题问我，我最不想要的就是让他们认为我想要当我想要的只是实现成为建筑师的梦想时，骗它们。
这是我的竞选活动，我在这里解释我的情况，我的想法希望您能帮助我：
https://www.airfunding.net/project/173862？hl = es＆utm_source = copied_url＆utm_medium = social＆campaign = proaign=proight = proign = proign_first_first_sshares&utm_content = prodeject=proteject_proteject_id_id_173838888882
如果您想看到的话，我还制作了一个视频：
https://youtu.be/e6xn4etzc5k
您还可以在PayPal中直接捐款，这与我的筹款活动有关：
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id = sxu2euq899gqu&source=url
全心全意，感谢您抽出宝贵的时间阅读我的情况，非常感谢，祝福！"
5264,UgwFsLxwtqMEMi8urzh4AaABAg,1,2 years ago,wow this food so yummy. thank you for sharing,哇，这食物好吃。感谢你的分享
34272,UgzqVhOhYCkzIATG8xd4AaABAg,0,3 years ago,love your videos... you are amazing cooking thanks for being sharing your hard work by cooking...and to be showing how you love to cook...,喜欢您的视频...您真是太棒了，感谢您通过烹饪分享您的辛勤工作...并展示自己喜欢做饭...
23731,UgxGkA6SigRoge5Q6JF4AaABAg,0,3 years ago (edited),"you are such an amazing woman. i'm so amazed i can't even believe this could possibly be real. right in the middle of making her soup she has to walk out into the environment, then find the particular ingredients she needs and and then she has to extract them from the earth which takes time, and then she has to bring them all the way back to her house and and then she has to wash them and prep them and then she has to wash her hands which they also don't show on camera and all this time the fire is still cooking the rest of the ingredients while she's doing all this. i don't see how this could be possible. if you add up all the time it takes to do that it would seem that the food would have been long boiled away. but in the next camera shot it appears as though she's only been gone a few minutes. i still think she is the most amazing woman i've ever seen though.so much talent and knowledge at a young age.your culture is very very beautiful in your home too. everybody should try to live their life like you do. thank you for sharing with us.",你真是个了不起的女人。我很惊讶，我什至不敢相信这可能是真实的。就在做汤的过程中，她必须走进环境，然后找到所需的特定成分，然后她必须从地球上提取它们需要时间，然后她必须将它们一路带回到她的房子，然后她必须洗净并准备它们，然后她必须洗手，这些手也不在相机上显示，而这一切都在做所有这些时仍在烹饪其余的食材。我看不出这是怎么可能的。如果您所有的时间都需要做，那么似乎食物将长期沸腾。但是在下一个相机拍摄中，看起来她好像只有几分钟了。我仍然认为她是我见过的最神奇的女人。这很小的人才和知识。您的家中的文化也非常美丽。每个人都应该像您一样尝试过自己的生活。多谢与我们分享。
32366,Ugw0LqRtsXHpWV5O7NJ4AaABAg,0,3 years ago,wow my fave viane u have a lots of menu u can make in this bamboo shoot.thank liziqi for sharing knowledge how to cook bamboo shoot..i luv u grandma mwah!,哇，我最喜欢的viane，你有很多菜单，你可以在这张竹脚射击中做很多菜单。
29202,Ugz3wryxnwJrDqyKQ0Z4AaABAg,0,3 years ago,"bamboo shoots, one of my favorite plants. so artistic. thanks for sharing again.",竹芽，我最喜欢的植物之一。如此艺术。感谢您再次分享。
22534,UgzIo_ekc9SZiRWY-Fx4AaABAg,0,3 years ago,"thanks to girl li for their sharing, and the photographer's shooting technique. very comfortable film makes people look strong. great sharing! keep it up",感谢李姑娘的分享，还有摄影师的拍摄手法。非常舒服的影片让人看起来思乡味浓。好棒的分享！继续努力
22597,Ugw5OHgkf0Ll5ErkzeZ4AaABAg,0,3 years ago,foods culture art the new era is coming... i hope. thx for sharing beautiful!,食品文化艺术新时代即将到来...我希望。 THX分享美丽！
22671,UgwqxpjrqdXq5NGYWEx4AaABAg,0,3 years ago,she is a beautiful person. thank you for sharing.,她是一个美丽的人。感谢你的分享。
22678,UgyjePu7ytPRLIVgRA94AaABAg,0,3 years ago,thank you very much for sharing these lovely videos! your cooking is so very charming!,非常感谢您分享这些可爱的视频！您的烹饪非常迷人！
22972,UgzswEXTMHAUSJ-UKzh4AaABAg,0,3 years ago,thank you for sharing! looking so tasty!,感谢你的分享！看起来很美味！
23081,UgwdMOfTAJ5rhpI10Vl4AaABAg,0,3 years ago,she does it again - sharing a window into heaven. what are we doing wasting our lives in the rat race - for nothing?,她再次做 - 分享进入天堂的窗户。我们在浪费我们的生活中的生活是什么 - 一无所有？
23105,UgyomfSe9v-C3HyTel14AaABAg,0,3 years ago,thanks for sharing video wow like 's support each other♻️♻️,感谢您分享视频WOW，例如Connect My NewFriend
31407,Ugy7WL4u54Gj1aOMBvF4AaABAg,0,3 years ago,another great video! thank you for sharing!,另一个很棒的视频！感谢你的分享！
27048,UgwhceNZEhRwGZi0w8h4AaABAg,0,3 years ago,hi li ziqi.thanks for sharing ur videos.i really love it.so natural full of plants...god bless you☺️,嗨，李Ziqi。感谢分享您的视频。我真的很喜欢它。如此自然的植物...上帝保佑你☺️
24533,UgxRYjUQAvJckq8cRWh4AaABAg,0,3 years ago,"this is my favorite, thank you for sharing this video, hope you visit also in my small channel,",这是我的最爱，谢谢您分享此视频，希望您也会在我的小频道中访问
30737,UgzL5nyy2lVkZjq6So14AaABAg.8yVUkjucOnr8yWnH2ykIyG,0,3 years ago,like yours northeast india we also have that in philippines just sharing hehe,像您的印度东北部一样
25078,UgzWsY2uMvIbVBq3MKt4AaABAg,0,3 years ago,"hi, im your new fans from hong kong. this is so unbelievable that you know so many living skills in rural area and especially at your age! your videos film so beautiful! thx for sharing yours living style to us.",嗨，我是您来自香港的新粉丝。这真是令人难以置信，以至于您在农村地区，尤其是在您年龄段的农村地区都知道这么多的生活技能！您的视频电影真漂亮！ THX向我们分享您的生活方式。
25202,UgyYIUMm7wDCVbDcCwN4AaABAg,0,3 years ago,"awwwww so peaceful there, to live there until the end would be awesome, away from all the dramas. even the food is lovely. as for the hard working young lady she's beautiful, princess of the garden. thanks for sharing your paradise with us.",在那里如此宁静，到那里住在那里，直到最后会很棒，远离所有戏剧。甚至食物也很可爱。至于勤奋的小姐，她很漂亮，是花园的公主。感谢您与我们分享您的天堂。
25564,UgxhJ35THpnbFDk3u2J4AaABAg,0,3 years ago,"ziyi's pastoral video is so beautiful, thank you for sharing. do you want to see the pastoral life in france? i am a youtuber in france, and i will share some of france every week. @jssc i'm a chinese youtuber who is living in france, happy to share with you france countryside life","子柒的田园视频太唯美了，感谢分享。大家想不想看一下法国的田园生活呢？ 我是一个在法国的youtuber，每周给大家分享些法国的日常。​@jSsc I'm a chinese youtuber who is living in France, happy to share with you France countryside life"
26392,UgzTOYogtvza1azaAIt4AaABAg,0,3 years ago,in philippines we have our way to cook those baby bamboos. thank you for sharing this. gonna try it,在菲律宾，我们可以烹饪那些婴儿竹子。感谢您分享这一点。要尝试
26607,UgzCW2EH0dukGJbhu1N4AaABAg,0,3 years ago,wow. i never knew bamboo looked like that. kind of looks like cabbage and asian radish. very cool! thanks for sharing such wonder full videos~~,哇。我从来不知道竹子看起来像那样。看起来像白菜和亚洲萝卜。很酷！感谢您分享如此奇迹的完整视频~~
26609,Ugx4P_DEcvEU_RMfCAd4AaABAg,0,3 years ago,you are phenomenal liziqi...a true artist. thank you for taking the time and inviting us into your life & sharing all the recipes that are so imporatant to your culture. ♥️,你是一个了不起的liziqi ...真正的艺术家。感谢您抽出宝贵的时间并邀请我们进入您的生活，并分享所有对您文化如此重要的食谱。 ♥谢
28374,Ugw3I-zwJyWtXKBzKIh4AaABAg,0,3 years ago,i wish i were there for awhile sharing this relaxing moments and eating healthy foods,我希望我在那里有一段时间，分享了这种轻松的时刻和吃健康的食物
33091,UgxG8hroGY5xTeIye054AaABAg,0,3 years ago,thank you for sharing these video ❤️ love it,谢谢您分享这些视频❤️喜欢它
17216,UgwAoOPE44ZKCBvkM8h4AaABAg,0,3 years ago,lovely young woman who works her tail off and appears to make it look easy.thank you for sharing your beautiful life for this brief video,可爱的年轻女子，她的尾巴努力，似乎使它看起来很容易。谢谢您为这个简短的视频分享美丽的生活
20811,UgwKeVgZoaekArc0xZ54AaABAg,0,3 years ago,"firstly thank you for sharing your amazing videos. this is by far my favourite channel, there is something special about the traditional ways and you are mesmerising to watch.",首先，感谢您分享您的惊人视频。到目前为止，这是我最喜欢的频道，传统方式有一些特别之处，您正在关注。
11257,Ugwv0g2pGipa0JOG3L94AaABAg,0,3 years ago,you are so great ~ thank you for your video sharing,你真的好棒哦～谢谢你的视频分享
10592,UgxLte90zy-IGwbZn6Z4AaABAg,0,3 years ago,you are a very talented and strong woman. very proud of you to be able to live off the land that way. amazing!! thank you for sharing,你是一个很有才华和坚强的女人。为您能够以这种方式生活在土地上而感到自豪。惊人的！！感谢你的分享
9776,UgzRPWo81V3zkSCM0ed4AaABAg,0,3 years ago,you are a very wise sage. thank you for sharing your life script.๐ฆ,你是一个非常明智的圣人。感谢您分享您的生活脚本。
8405,UgyT6A0VU6a_a3Jb5Mt4AaABAg,0,2 years ago,thanks for sharing.,感谢分享。
8306,UgwyMmRzXXe2-nJYOtB4AaABAg,0,2 years ago,linda young i love how kitchens thanks for sharing,琳达（Linda Young）我喜欢厨房如何感谢您的分享
6801,UgxVjgaATwmdCCU1-ql4AaABAg,0,2 years ago (edited),thanks for your sharing! i love it!,感谢您的分享！我喜欢它！
6760,UgyCCc1XsFRLAfO8cbh4AaABAg,0,2 years ago,"really inspiring the way you cook i love it 
i will cook this also on my my next vlog thanks for sharing.","真的鼓舞了你做饭的方式，我喜欢它
我将在我的下一个视频博客上也要在我的下一个视频博客上做饭。"
6530,UgxPhn8d3opWo0od7kB4AaABAg,0,2 years ago,https://youtu.be/9rctdxdyfji please support a naga dude in chennai by sharing and subscribing ๐,https://youtu.be/9rctdxdyfji请通过共享和订阅
4848,UgyiWGypET2FOiKSPCV4AaABAg,0,2 years ago,life is sharing love,生活正在分享爱
4454,UgxcbCi8PvgNrAxmVbB4AaABAg,0,2 years ago,"nice
thank you for sharing..kiss from indonesian","很好
谢谢您的分享。"
3523,UgxaCEtZyle2x4PQEul4AaABAg,0,2 years ago,"thanks for sharing, nice video!
shnrkx0zxci","感谢您的分享，不错的视频！
shnrkx0zxci"
3112,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9cA_WOtBvpE,0,1 year ago (edited),"thank you for your sharing. if grandma is over 76 years old, she is no more a baby boomer. baby boomers are those who were born between 1946 and 1964, that is, after the 2nd world war which ended in 1945.",感谢您的分享。如果奶奶已经超过76岁，她将不再是婴儿潮一代。婴儿潮一代是1946年至1964年之间出生的人，即在1945年结束的第二次世界大战之后。
3025,Ugxt1Z-hha71k4fEYpl4AaABAg,0,1 year ago,wow really great video and superb sharing my friend,哇，真的很棒的视频，很棒分享我的朋友
2680,UgwrDyUt4LEPzA10wlh4AaABAg,0,1 year ago,"thank you for sharing your video. 
@ dapur susi perth","感谢您分享视频。
@ Dapur Susi Perth"
2373,UgzM2s9IPNTSOjacsE94AaABAg,0,1 year ago,thank you for sharing this video,谢谢您分享此视频
667,Ugy_BrKK3cwd5b0N8e14AaABAg,0,9 months ago,"i have seen your sharing many years ago, and i wish you peace, healthy and happy.",多年前见过你的分享真好、祝你平安健康快乐。
11089,UgxiFhmOHMzIcvwnlhV4AaABAg,0,3 years ago,"hello good afternoon, you have everything at hand thanks for sharing vi rl video me facino",你好下午好，您有所有的一切，感谢您分享vi rl视频me facino
11688,UgwC_S8d39tAIMRk5hR4AaABAg,0,3 years ago,thank you for sharing sister... i cook bamboo shoots too... please visit my kitchen too.,谢谢你分享姐姐...我也做竹脚的摄影...也请参观我的厨房。
20121,UgwsFfSjyJtwf7sGGeh4AaABAg.919gPRUhD4C91I--GQijyx,0,3 years ago,"wouldn't you like your hard work to pay off? she is sharing and introducing dishes to us we should we might never have access to. 
i believe that taking care of her grandma, especially, she wants us to enjoy as much as she can while healthy.","您不想辛勤工作吗？她正在向我们分享并介绍我们应该无法获得的菜肴。
我相信，尤其是照顾她的祖母，她希望我们在健康时尽可能多地享受。"
12579,UgxkSuhcZOghHsyaGW54AaABAg,0,3 years ago,yum this food looks delicious and healthy. thank you for sharing such a great peaceful video.,yum这种食物看起来很美味又健康。感谢您分享如此出色的和平视频。
19915,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx92E97OqG3pT,0,3 years ago,"david hutchins there are still many people living similar lifestyle like she does in china. one point i really like about ziqi is that she has a dedication and passion of sharing chinese culture to the world. it’s something that many people would like to do but somehow lack of ability or determination. we should all believe her because as audiences, we feel it. we should offer more encouragement and appreciation. what’s most important that she really delivers peace and calmness to audiences and we all receive positive influences or energy from her videos. and i reallyyyy like her temperament.",大卫·哈钦斯（David Hutchins）仍然有许多人过着与中国相似的生活方式。我真的很喜欢Ziqi的一点是，她对与世界分享中国文化的奉献精神和热情。这是许多人想做的事情，但某种程度上缺乏能力或决心。我们都应该相信她，因为作为观众，我们感受到了。我们应该提供更多的鼓励和赞赏。最重要的是，她真正为观众提供和平与平静，我们都从她的视频中获得了积极的影响或精力。我真的很喜欢她的气质。
19667,Ugx71AYPvGVMAhM8AB54AaABAg,0,3 years ago,"thank you for sharing with us these lovely videos. may god bless you, continue to provide for you, and keep you & your grandma safe and healthy. remember that he loves you.",感谢您与我们分享这些可爱的视频。愿上帝保佑您，继续为您提供服务，并确保您和您的奶奶安全健康。记住他爱你。
19430,UgznjGfyZ0DJPfz1jPh4AaABAg,0,3 years ago,"loving nature and her cooking style is awesome,i love it i want to have a wife like her.tq for sharing with us,may god bless you...",爱的大自然和她的烹饪风格很棒，​​我喜欢它，我想和她这样的妻子与我们分享，愿上帝保佑你...
19295,UgwCzD8DiUiVzwgY6KJ4AaABAg,0,3 years ago,"liziqi is a beautiful young lady exceptional chef very sweet and kind to her grandmother. i enjoy watching all of her educational and beautiful videos, thank you for sharing your beautiful way of life",利兹奇（Liziqi）是一位美丽的年轻女士，对她的祖母非常友善和友善。我喜欢观看她所有的教育和美丽的视频，谢谢您分享您美丽的生活方式
19262,Ugzm4OoUilenI4z8Yal4AaABAg,0,3 years ago,this was so lovely to watch. thank you for sharing your life with us ❤️,这真是太可爱了。感谢您与我们分享生活❤️
339,Ugwd-IFChhRIsIWrJcB4AaABAg,0,3 months ago,many greetings thanks for sharing,许多问候感谢您的分享
16748,UgxVexhs2macqr2EzNR4AaABAg,0,3 years ago,everything you cook looks so natural and tastey. thank you for sharing.,您烹饪的一切看起来都很自然和美味。感谢你的分享。
16656,UgxMeKYhrG0V2YIGoax4AaABAg,0,3 years ago,it's so beautiful where you are. thank you for sharing this.,你在哪里真漂亮。感谢您分享这一点。
16269,Ugy8bhJLMAZvh_8pUH14AaABAg,0,3 years ago,100k kitchen thousands worth of high quality french pots plus superior german knives... hehehe thx for sharing it looks so delicious & amazing area,100k厨房价值数千种高质量的法国锅以及优质的德国刀...呵呵分享它看起来如此美味和惊人的区域
16088,UgybjbmasTSpm_hRh2h4AaABAg,0,3 years ago,you make this so easy! everything looks good and delicious looking. wow.. thanks for sharing.. love love love,您使这个变得如此简单！一切看起来都不错又美味。哇..谢谢你的分享..爱爱爱
15529,UgxFdmd0DScMUezAIYp4AaABAg,0,3 years ago,"thank you for sharing. i am seller, sell hairstyle and household products on amzon. it is really pretty and quality. now i need some people to help me test my quality hair flat iron and share your experience(you will get free product). if anyone see this post and is interested. please send me email for further information. ipromise you will get a quality flat iron. email: masonzheng220@gmail. thank you.",感谢你的分享。我是卖家，在Amzon上出售发型和家用产品。它真的很漂亮和质量。现在，我需要一些人来帮助我测试我的优质头发扁铁并分享您的经验（您将获得免费产品）。如果有人看到这篇文章并有兴趣。请给我发送电子邮件以获取更多信息。 ipromise您将获得优质的扁铁。电子邮件：Masonzheng220@gmail。谢谢。
14318,Ugw_D5OTg13-9Xye63F4AaABAg,0,3 years ago,this is the real life of human being. thanks to you for sharing your video with us,这是人类的现实生活。感谢您与Us
14227,UgyJvnr9zH8xEA84jvx4AaABAg,0,3 years ago,"thank you very much lizi for sharing.... please, would it be possible to know about time preparation (written in your language i do not understand)... it would be so nice if we could have translation... in comments... or with your language and we could use automatic translation... thank you again for your sharings... wonderful and so instructive and inspiring in this world nowadays...",非常感谢Lizi的分享。...请，可以知道时间准备（用您的语言写作） ...或使用您的语言，我们可以使用自动翻译...再次感谢您的分销...如今这个世界上很棒，具有启发性和鼓舞人心...
13863,UgwtUIWGzgLnNmNQw7V4AaABAg,0,3 years ago,"i do not believe that ths is an impoverished unfortunate soul. ths woman is of noble means, which is why she able to find & harvest fresh original bamboo shoots ages old for their size & able too harvest fresh river shellfish . but i am not a hater. i appreciate & admire her fortune to be able to share with the global community her blessings and happenstance. it's a relief to those of us less fortunate fighters of presence & human being. i have subscribed to this channel. i am an african-american blk male taking pleasure in viewing this asian woman sharing her story to the world. i know she is much more than she appears...but she holds to her legacy of tradition & privilege by sharing her views to the world. a most beautiful & amazing view from her post. i pray she honors and give respect to the lives of the souls who sustain her privileges that we do not see on you tube!",我不相信Ths是一个贫穷的不幸灵魂。这位女人是高尚的手段，这就是为什么她能够找到并收获新鲜的原始竹芽，因为她们的尺寸是老化的，并且能够收获新鲜的河贝类。但是我不是仇恨者。我感谢并钦佩她的命运，能够与全球社区分享她的祝福和偶然性。这让我们中的那些人不幸的战斗机和人类感到欣慰。我已经订阅了这个频道。我是一名非裔美国人的男性男性，很高兴观看这位亚洲妇女向世界分享她的故事。我知道她比她看起来更重要……但是她通过向世界分享自己的观点来掌握自己的传统和特权。她的帖子中最美丽，最神奇的景色。我祈祷她的荣誉，并尊重灵魂的生活，这些灵魂维持她在你看来没有看到的特权！
