,cid,votes,time,含sharing,含sharing中文翻译
49172,Ugw_zhQvf3oMZ6r_fph4AaABAg,0,4 years ago,happy chinese new year! thank you so much for sharing your life with us. i just adore your videos. lots of love from alaska!,农历新年快乐！非常感谢您与我们分享生活。我只是喜欢你的视频。来自阿拉斯加的很多爱！
49006,UgxFxiF3A6WdYtVjqth4AaABAg,0,4 years ago,"happy new year li ziqi & to ur grandmother &happiness ❤❤❤❤❤ ur are 1 in a million unique talented kindhearted young lady 
thank u very much for sharing all your beautiful awesome videos .... iam learning alot from your talent & creative healthy cooking & handicraft & ur grandmother","新年快乐李Ziqi＆tor ur祖母
非常感谢您分享您所有美丽的令人敬畏的视频。...我从您的才华和创意健康烹饪和手工艺品中学习了很多❤"
48729,Ugx5BfB6qwEmpyniKit4AaABAg,0,4 years ago,puppies are sooo cute. beautiful scenery. thanks for sharing!,小狗太可爱了。美丽的风景。感谢分享！
48209,Ugx0cTYSDdWsAuoxUvp4AaABAg,0,4 years ago,"this was such a surreal experience, thank you very much for sharing ♡",这是一次超现实的经历，非常感谢您分享♡
47336,UgwOokGv-PYtH2CQAGZ4AaABAg,0,4 years ago,"you are very pretty when you present your great and delicious delicacies that you prepare, i really do not understand your language but thank you for sharing your videos",当您展示您准备的精美美味佳肴时，您真的很漂亮，我真的不理解您的语言，但感谢您分享您的视频
47204,UgzR5mifbU6CV2hPR5Z4AaABAg,0,4 years ago,happy new year from america :-) i love your videos and so wish i could learn all your creative methods of making sweets! thank you for sharing! <3,来自美国的新年快乐：-)我喜欢您的视频，因此希望我能学习所有制作糖果的创意方法！感谢你的分享！ <3
47117,UgxZmLzgSu6N67zDyD54AaABAg.8qpzniBVj1S8qsARV8N9UX,0,4 years ago,"426firefly bilibili is one of the top video sharing sites in china. you saying that is kinda proving my point. plus, what does it matter? i'm not saying almazankitchen is super popular necessarily. it's already been shown that she started posting videos on weibo in 2016, while they started in 2015. it may also be that she and almazankitchen got their style from some other channel or she got her style from someone copying almazankitchen. it doesn't matter. i'm just saying that it looks really similar, so i wanted to ask her if she was inspired by almazankitchen. not as an insult, but simply as a way of sharing in the joy over the style. now, i'm sorry that you feel i offended the dignity of your goddess.",426firefly bilibili是中国顶级视频共享网站之一。你说这有点证明了我的观点。另外，这有什么关系？我并不是说Almazankitchen一定是超级受欢迎的。已经显示出她于2016年开始在微博上发布视频，而他们于2015年开始。这也可能是她和Almazankitchen从其他一些频道中获得了他们的风格，或者她从复制Almazankitchen的人那里获得了风格。没关系。我只是说它看起来真的很相似，所以我想问她是否受到Almazankitchen的启发。不是作为侮辱，而只是作为分享风格的喜悦的一种方式。现在，很抱歉您感到我冒犯了您女神的尊严。
46927,Ugwju7ZH9_vpa4VE8L54AaABAg,0,4 years ago,she’s just so happy to live that way thanks for sharing this❤️,她很高兴以这种方式生活，感谢您分享此❤️
46869,Ugzy9Ytt29Kbh9V16id4AaABAg.8qr3JM5GtN28qyXifG62sd,0,4 years ago (edited),thanks @shu wang for sharing her name.....from india,感谢@shu Wang分享她的名字.....来自印度
46586,UgzwJiXjiDlGLbHHyzp4AaABAg,0,4 years ago,so nostalgic. one thing i regret is that i didn't record more of my time with my grandma. thanks for sharing.,如此怀旧。我后悔的一件事是，我没有在祖母身上记录更多的时间。感谢分享。
46413,UgzLDnRKk7GtdSk-LDl4AaABAg,0,4 years ago,"this is so peaceful, everything in this video is so beautiful, thank you so much for sharing this amazing video with us",这是如此宁静，这段视频中的所有内容都非常漂亮，非常感谢您与我们分享这个令人惊叹的视频
45609,UgwadGDIuNalvzlSG7d4AaABAg,0,4 years ago,"should i point out that what was labelled as ""roasted melon seeds"" was actually very obviously sunflower seeds? that part was a bit weird.
apart from that, i loved watching this, and have watched many other vids of yours, and they're all so beautiful! 
you're living in a dream village that ever so many people wish they could escape to - such is the stressful complexity of our lives.
i legit expected totoro to show up or something, lol! that's how surreal your lifestyle is to the rest of us. :) 
thank you for sharing! your camera person is on point! :)","我是否应该指出，标有“烤瓜子”的标签实际上是非常明显的葵花籽？那部分有点奇怪。
除此之外，我喜欢观看它，并且已经看过您的许多其他视频，而且它们都很漂亮！
您住在一个梦想中的村庄，有很多人希望他们能逃脱 - 这就是我们生活中压力很大的复杂性。
我合法期望托托罗出现，大声笑！这就是您的生活方式对我们其他人的超现实。 :)
感谢你的分享！您的相机人在点！ :)"
45167,UgxsxD13jLquP9l1moZ4AaABAg,0,4 years ago,"wow, nice video! thanks for sharing! i am looking forward your next video!!! thumbs up!",哇，不错的视频！感谢分享！我期待您的下一个视频！！！竖起大拇指！
44575,UgxlJBvxJDvYtQo4hdN4AaABAg,0,4 years ago,"i started watching your videos 2 hours ago and i cant seem to stop watching them,great job and awsome videos please keep sharing your knowledge,oh i also hope grandmother is good and ok...",我2小时前开始观看您的视频，我似乎不能停止观看它们，出色的工作和出色的视频，请继续分享您的知识，哦，我也希望祖母很好，还可以...
44396,Ugw4deBazQF9G6gziZZ4AaABAg,0,4 years ago,"waaa so pretty, thank you for sharing this with us!",Waaa非常漂亮，谢谢您与我们分享！
43686,UgyYxevpF3Sq-tmTobB4AaABAg,0,4 years ago,hi. your way of life is so inspiring and very relaxing to watch since my day is full of stress from studying and exams. thank you for sharing this. i aspire to live a life this peaceful and wholesome,你好。您的生活方式是如此的鼓舞人心，非常放松，因为我的一天充满了学习和考试的压力。感谢您分享这一点。我渴望过上这种和平和有益健康的生活
43677,UgweTSApuzTTne-gQCl4AaABAg,0,4 years ago,"hi, you deserve one who gives him like, sharing, and i don't know, and the diamond shield is that i just see my purchases and cook, and i got out, and i don’t see the scarf",嗨，你应该得到一个给他的人，分享，我不知道，而钻石盾牌是我只是看到我的购买和烹饪，我出去了，我看不到围巾
43667,UgzbHAam_UDv4xx2qH54AaABAg,0,4 years ago,wonderful!!! yesterday i saw this video. i fell in love with your channel. i am your subscriber already. what a beautiful place where you live and what a beautiful young man you are. thanks for sharing everything. i love nature and your funny animals relax your videos a lot for the rhythm of life. greetings from el salvador america central.,精彩的！！！昨天我看了这个视频。我爱上了你的频道。我现在是您的订户。您住的地方多么美丽，您是一个美丽的年轻人。感谢您分享所有内容。我喜欢大自然，您的有趣动物在生活的节奏中非常放松您的视频。来自El Salvador America Central的问候。
42985,UgxA-N0AprMBuScf5QN4AaABAg,0,4 years ago,"i would love to write in words what i feel to see this video but it is impossible, thanks for sharing.",我很想用文字写我想看这段视频的东西，但这是不可能的，感谢您的分享。
42960,UgxP73KmZcwB8sVj7SJ4AaABAg,0,4 years ago,"beautiful! ❤thank you for sharing this amazing atmosphere, it gives calmness and peaceful joy. but where all that incredible organic sweets are going, to local market?",美丽的！ ❤感谢您分享这种令人惊叹的气氛，它带来了平静和和平的喜悦。但是，所有这些令人难以置信的有机糖果都在哪里？
37476,Ugyndh60NIzjCRSMCKh4AaABAg,0,4 years ago,thanks for sharing your life. i can watch it all day long,感谢您分享您的生活。我可以整天看
31968,UgyKovflMNkNPYywXO94AaABAg,0,4 years ago,"thanks for sharing this to the world, the history of humanity is very grateful with all of you!",感谢您与世界分享这一点，人类的历史对你们所有人都非常感激！
36701,UgxMNjc2yDGD_kL1jJ94AaABAg,0,4 years ago,i like it. thank you for sharing!,我喜欢。感谢你的分享！
19121,UgzDl9CegwH_3fMIAcV4AaABAg,0,3 years ago,wow!! thank you so much for sharing that pop-corn experience!!!,哇！！非常感谢您分享那种流行乐的经历！！！
18383,Ugz02iI6L6UBhOhtxhV4AaABAg,0,3 years ago,thank you thank you for sharing this video. i smiling the whole time. ❤❤❤❤,谢谢谢谢您分享此视频。我一直在微笑。 ❤❤❤❤
18144,Ugzq5Ar2lP4HuWB0oFJ4AaABAg,0,3 years ago (edited),"xanadu miji
the hostess diligent 达 foodist 
all foods are diligent and diligent in doing things in a simple life

in such a beautiful world of taoyuan life, i can still think of sharing life and food with people all over the world through shooting videos and editors that not only convey chinese culture and food, but also see how smart you are.

do you still have it?
but to be honest, people in the first -tier cities may not be so rich in your family.

it is indeed all right 有


i suddenly gave birth to a thought that mr. photographer (lady) found that the potential of the heroine was moved by some things to help her? did she live with grandma since she was a child?","世外桃源 美极了
女主 勤奋
所有的食物都是亲自做出来的 勤勤恳恳的做事 朴实的生活

在这么美的世外桃源生活依然能想到通过拍视频和编辑 把生活和美食分享给全世界的人看 不仅传达了中国文化和美食 还看到了你是多么聪明伶俐的一个人 像女主这样的人世间难求

你还有不会的吗？
不过说实话 一线城市的人也未必有你们家这么富有

确实是应有尽有啊 


我突然萌生了一个念头 是不是摄影师先生(女士)发现了女主的潜力 被某些事所感动 特地帮助她的呢？她是从小跟奶奶生活的吗？"
16028,UgyWfEenMgnm7qmhZ-J4AaABAg,0,3 years ago,let me guess ... this must be in lijiang somewhere ... because of the diversity of fruits in one place ... am i right? just wondering from what i have been told. thanks for sharing.,让我猜...这一定是在Lijiang的某个地方...因为一个地方的水果多样化...对吗？只是想知道我被告知的内容。感谢分享。
15832,UgzOd7NubKpib0sYRaN4AaABAg.99CnmKxuO6V99HkTSVS4By,0,3 years ago,this is some of the author's daily sharing of your hometown cuisine (˃᷄˶˶̫˶˂᷅),这个是作者的一些日常 分享家乡的美食( ˃᷄˶˶̫˶˂᷅ )
14721,Ugxssyz70F1-vUZmCPZ4AaABAg,0,2 years ago,hello you video very nice thank you sharing,您好，您的视频非常好，谢谢分享
13792,Ugz3VE9XKSoKGQ0e8Mt4AaABAg,0,2 years ago,hello friend greetings and thanks for sharing your respect,你好朋友问候，感谢您分享您的尊重
12620,UgwhCSwMrhbatRuRwkB4AaABAg,0,2 years ago,i do really like your videos. thank you so much for sharing with us,我真的很喜欢你的视频。非常感谢您与我们分享
12421,UgxaamRnvii4Vh4uYNt4AaABAg,0,2 years ago,https://l.facebook.com/l.php?u=https%3a%2f%2fdocs.google.com%2fdocument%2fd%2f1lzbz8avd0zdux9pgpixpyysi02hn6uwzrb6cuhiiaeq%2fedit%3fusp%3dsharing&h=at31mbpcnhzea8l3s5whxh-a5pwea-odxin4maryzuqkvzcwougfh16aurjukibgshuj-sthghsxghgtmwvkj3nls7xzkjckdok3vwlkqk8-n2vk1uje3u4ug5glnfw2eptdvbrg1g,https://l.facebook.com/l.php?u=https%3A%2F%2FDocs.google.com2fdocument％2FDOCUMEMEN S5WHXH-A5PWEA-ODXIN4MARYZUQKVZCWOUGFH16AURJUKIBGSHUJ-STHGHSXGHSXGHGTMWVKJ3NLS7XZKJCKJCKDOK3VWWWWWWWLKQKQK8-N2VK1UJE3UJE3U4U4UG5GLNFWWW2EPTDVBBRG1G
12128,UgzQReBfyGQly1H_Tdh4AaABAg,0,2 years ago,when your hungry. and see this video my tummy is super noisy. lol thank you for sharing. pls continue vlogging. keep safe always. new friend here,当你饿了。并观看此视频，我的肚子超级嘈杂。大声笑谢谢您的分享。请继续视频博客。始终保持安全。新朋友在这里
11967,UgwvVLVUo_fyzjlhgwZ4AaABAg,0,2 years ago,"this was an amazing video!
it's an awe inspiring beautiful, & timeless representation of how families continue to use longstanding recipes to intice & inspire their children..and their children's children..to pass these traditions on to generations to come! 
the video is well produced & makes one long for simpler times when you & your family actively worked the land to provide for your family, & countless others in the neighborhood & in the community. 
many of their traditions are thousands of years old & just prove that instant gratification isn't always the most appreciated. 
now! i'm worried about your grandma! 
thank you both for sharing your world with other societies who are dumbstruck by your experience & attention to detail. simple... yet intricate.
.","这是一个了不起的视频！
这是一个令人敬畏的美丽而永恒的表现，表明家庭如何继续使用长期使用的食谱来掌握和启发他们的孩子。.将这些传统传给后代！
当您和您的家人积极地为您的家人提供土地，以及社区和社区中的其他其他人时，该视频的制作良好，并使您和您的家人积极地为您的家人提供土地时，使一个漫长的时间变得更加简单。
他们的许多传统已有数千年的历史，只是证明即时的满足并不总是最受赞赏的。
现在！我担心你的祖母！
感谢您俩与其他社会分享您的世界，这些社会因您的经验和对细节的关注而笨拙。简单...尚未复杂。
。"
11797,UgyijpIDR-pZFjbKmIh4AaABAg,0,2 years ago,"thank you for sharing your daily life through videos and making people jealous of your life ๐ and realize that life is beautiful. this world is beautiful without war.
๐ greetings of peace ๐","感谢您通过视频分享您的日常生活，并使人们嫉妒您的生活，并意识到生活是美好的。没有战争，这个世界是美丽的。
"
10703,Ugy5btnDpndQUW4NPWh4AaABAg,0,2 years ago,"very, very well done video, thanks a ton for sharing. just... one little thing, isn't it the soundtrack from digimon, first season, the one that you're using for almost the whole video? (shouri zen) it really surprised me xd",非常非常出色的视频，感谢您的分享。只是...一件小事，这不是Digimon的原声带，第一个季节，您几乎是整个视频的配乐吗？ （Shouri Zen）真的让我感到惊讶
10527,Ugx-diWImGY-MKvi3kV4AaABAg,0,2 years ago,"https://youtu.be/4mdsjykcypa
please watch this. this is sung by a non renowned singer. if you guys help her then she can go far away. please support her by sharing this...","https://youtu.be/4mdsjykcypa
请注意。这是由一位非著名歌手演唱的。如果你们帮助她，那么她可以走很远。请通过分享这一点来支持她..."
9300,Ugx6Bdqt8PFDacKONOB4AaABAg,0,2 years ago,your love for your grandmother is so good to see. many happy memories will carry you through hard times. thank you for sharing your talents and letting the world see a part of china they don't see in the world news.,您对祖母的热爱真是太好了。许多快乐的回忆将带您度过艰难的时期。感谢您分享自己的才华，并让世界看到他们在世界新闻中看不见的中国的一部分。
8831,UgwiQMlv4SvVAaKAE7N4AaABAg,0,2 years ago,wow nice thank you for sharing super yummy,哇，很好，谢谢您分享超级美味
6854,UgzXHI5xLsOd3Id0BnF4AaABAg,0,2 years ago,i love your videos so much.after seeing your videos i started farming .the thing which i had never done before thankyou for sharing your beautiful life with us .luv you keep going all the best,我非常喜欢您的视频。看到您开始耕种的视频后，我从未做过的事情，谢谢您与我们分享美丽的生活。
6661,Ugy53NupspRWmCjYYl94AaABAg,0,2 years ago,great mother earth gifts to you and your skills and hard work thank you for sharing with the machinery and electronics world,伟大的地球母亲礼物给您，您的技能和辛勤工作，感谢您与机械和电子世界分享
6141,Ugw-IV4xCDgrLU3zMbp4AaABAg,0,2 years ago,great video my friend. thank you for sharing. have a wonderful day. i can’t wait to see your next video.,我的朋友很棒的视频。感谢你的分享。祝您有美好的一天。我等不及要看你的下一个视频。
4956,UgxHBC2tA81cykRdOM54AaABAg,0,1 year ago,this video is my all time favorit. i appreciate your hard work. thanks for sharing beautiful video with us,该视频是我一直以来的最爱。感谢您的辛勤工作。感谢您与我们分享美丽的视频
4523,UgziMZQcqlFqhGeLxxl4AaABAg,0,1 year ago,"could you share us the ingredients of your recipes, they are amazing, thank for sharing all the best of you",您能否与我们分享食谱的成分，它们真是太神奇了，感谢您分享您所有的一切
4354,Ugzjo1OuHCqdY6Gyhj94AaABAg.9RSiWZjWhKZ9Rh-_ponpaN,0,1 year ago,"@user-hj3gc5tp8l i mean why do u wanna make that video political? it's just a relaxing video sharing our colorful culture. and fyi, we chinese eat paocai instead of kimchi, that's totally a different thing, some other countries also has a similar thing like pickles.",@user-hj3gc5tp8l我的意思是你为什么要制作该视频政治性？这只是一个放松的视频，分享了我们丰富多彩的文化。仅供参考，我们中国人吃paocai而不是泡菜，这完全是另一回事，其他一些国家也有类似的东西。
4021,UgwMdl69my5MH-2pRFF4AaABAg,0,1 year ago,thank for sharing,谢谢分享
3923,UgzGdtPvUYlM3HSm31p4AaABAg,0,1 year ago,"nice food , i like your creative. for me makes traditional food too. thank you so much for sharing.",美味的食物，我喜欢你的创意。对我来说，也制作传统食物。非常感谢你的分享。
2835,Ugyd_9qHQtL-4NLEmuN4AaABAg,0,1 year ago (edited),"so beautiful, amazing, lovely, and wonderful. ❤️ much blessings to you. ✝thanks for sharing, lord-jesus-christ com",如此美丽，惊人，可爱和美妙。 ❤️祝您很多祝福。 ✝感谢分享，耶和华 - 基督的com
2408,Ugwg9SHHeuf_HkL5Vix4AaABAg,0,1 year ago,nice sharing,不错的分享
1993,Ugzr5iZXt3JN53uCtUJ4AaABAg,0,1 year ago,zaberdust sharing,Zaberdust共享
1850,UgxuiTxlzHdlzoW0lM14AaABAg,0,1 year ago,thanks for your sharing !,感谢您的分享！
18722,UgyMhBPlKMV7WTbzVVx4AaABAg,0,3 years ago,i love country life!! thank you for sharing,我喜欢乡村生活！感谢你的分享
19316,Ugw_JQG3iJSiPKZYVfZ4AaABAg,0,3 years ago,"wow ...such hard work,made to look so beautiful.inspiring people.thank you for sharing.x",哇...如此艰苦的工作，看起来如此美丽。吸引人们。谢谢您分享
36526,Ugzj0fdOhw2otO_oDbR4AaABAg,0,4 years ago (edited),i remember her now when she made that oven i knew she looked familiar...i love her video the absolute simplicity and contentment in her completion of her goal marvelously done. thank you for sharing,我现在记得她，当她做烤箱时，我知道她看起来很熟悉...我爱她的视频绝对简单和满足，她完成了她的目标。感谢你的分享
20023,UgyymBKU48XZ67vBY7d4AaABAg,0,3 years ago,love watching the foods being cooked. would you mind sharing your recipe on the pancake batter?,喜欢看煮食物。您会介意在煎饼面糊上分享食谱吗？
36176,UgyL1ivv8TVGn9uwoQR4AaABAg,0,4 years ago,"this is living! beautiful videos, beautiful food and cute animals. so much color and happiness. thank you for sharing! :d",这是活的！美丽的视频，美丽的食物和可爱的动物。如此多的色彩和幸福。感谢你的分享！ ：d
35753,Ugy6qNbSFd6gOIwwTVN4AaABAg,0,4 years ago,this girl is so hard working! her videos look like scenes from an ang lee movie. thank you for sharing your simple but awesome life to us.,这个女孩是如此努力！她的视频看起来像是一部Ang Lee电影中的场景。感谢您向我们分享您简单但很棒的生活。
35701,UgxZyHzmMxeDYF72VAV4AaABAg,0,4 years ago,thank you for sharing your culture with us โค,感谢您与我们分享您的文化❤
34426,Ugw44kjAdie2ogniddt4AaABAg,0,4 years ago,"wow, your husband must be so lucky to have you. thanks for sharing.",哇，你丈夫一定很幸运能拥有你。感谢分享。
34303,UgzqvMumQC0r89hr2hx4AaABAg,0,4 years ago,"this is what school should teach us. why are we living so hard? trying to best each other. trying so hard, but for what? recognition ? appreciation? preservation ? if we all just stopped, if we all just listened, if we all were to breathe from the depths of our hearts, if we were to live.... the world wouldnโ€t be so bad. because there would be nothing we would be living for. no ideals, no trying to one up, no competition, no bloody suck ups. if money was not a thing and if we arenโ€t so selfish then we could get by. taking only the amount we need. sharing and not discriminating, not hating, not killing. then the world we live in wouldnโ€t be sinking? living as one, living peacefully, just like the animals all around us. taking only what they need and nothing more. theyโ€ve survived longer then us yet the amount of time we have existed is a chip of what they have and what have we done? killed this earth. schools should have taught us how to harvest wool, how to clean wool, how to make clothing. schools should of taught us how to cook with the life around us. schools should of taught us not to be selfish, not to want, not to become greedy like the people before us. instead we learn about multiplying aโ€s,bโ€s and cโ€s, learning about history, singing do re mi. but for what? to get a job, to earn money, to eat too much, to become corrupt, to listen to leaders who donโ€t give a fuck. this is what it means to live. like her. yet we live a life of such unhappiness. trying to buy too much trying to earn too much. when all we need is just a little. keep it simple. what have we done.",这是学校应该教我们的。我们为什么这么努力？试图互相最好的。尝试这么努力，但是什么呢？认出 ？欣赏？保存？如果我们都停下来，如果我们都倾听的话，如果我们都要从我们的内心深处呼吸，如果我们要活下去。...世界不会那么糟糕。因为我们将没有什么可以为之而来的。没有理想，没有尝试一个人，没有竞争，没有流血的吮吸。如果钱不是一件事情，如果我们不是那么自私，那么我们就可以通过。只拿我们需要的金额。分享，不歧视，不讨厌，不杀人。那么我们生活的世界不会沉没吗？像我们周围的动物一样生活，和平地生活。只采取他们需要的东西，仅此而已。他们的生存比我们更长，但是我们已经存在的时间是他们拥有的东西以及我们做了什么的筹码？杀死了这个地球。学校应该教我们如何收获羊毛，如何清洁羊毛，如何制作衣服。学校应该教我们如何与周围的生活一起做饭。学校应该教会我们不要自私，不要想要，不要像我们之前的人们那样变得贪婪。取而代之的是，我们了解了乘以A，B和C的繁殖，了解历史，唱歌Do Mi。但是什么？找工作，赚钱，吃得太多，变得腐败，倾听那些不他妈的的领导者。这就是生活的含义。像她这样的。然而，我们过着如此不幸的生活。试图购买太多尝试赚到太多的东西。当我们只需要一点时。把事情简单化。我们做了什么。
33492,Ugzu2h_E7vP-vCbCa3R4AaABAg,0,4 years ago,absolutely heavenly. one day i wish to visit this place. thank you so much for sharing this amazing video and creating videos to be shared. so beautiful. not seen any thing like this.,绝对天堂。有一天，我想去这个地方。非常感谢您分享这个令人惊叹的视频并创建要分享的视频。如此美丽。没有看到这样的事情。
33343,UgyqOem4n5-ckmfqiM94AaABAg,0,4 years ago,thank you so much for sharing <3,非常感谢您分享<3
32067,UgxkezsB2jYdRjAnO5J4AaABAg,0,4 years ago,"the dessert made with my heart evokes my childhood memories, thanks for sharing with your heart",用心做的甜品，勾起我童年的回忆，感谢有你用心的分享
29578,Ugwhna7rZiY2BTKQuux4AaABAg,0,3 years ago,thank you for sharing this awesome lifestyle โฅ๏ธ,感谢您分享这种很棒的生活方式♥️
28914,UgxiCuTm-_94wAqKuoR4AaABAg,0,3 years ago,"dear liziq, i love watching all the contents you creat. today i found this you tube channel ,""https://youtu.be/g9zlkdafjgy"". sharing your content . i was very angry knowing some one steeling your content. as a well wisher i thought of letting you know.",亲爱的利兹克，我喜欢看您创建的所有内容。今天，我发现了这个You Tube频道，“ https://youtu.be/g9zlkdafjgy”。分享您的内容。我很生气，知道有人弄清了您的内容。作为一个良好的愿望，我想让您知道。
27342,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9483U6EZjx0,0,3 years ago,"@am a huv me lam
greetings!

thank you so very much for sharing the story of her life journey. i believe this was her life in the videos. i never doubted it. i love visiting her channel. i love your culture. 

i hope you also do a video soon. i will subsvribe to your channel as well.

~shabbat shalom~
๐๐‘๐๐•๐๐‘๐","@AM我lam
问候！

非常感谢您分享她的人生旅程的故事。我相信这是她在视频中的生活。我从不怀疑。我喜欢访问她的频道。我爱你的文化。

希望您也能尽快制作视频。我也将向您的频道子接下来。

〜shabbat shalom〜
"
27307,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92pru8z8NXl,0,3 years ago,"great sir, thanks for sharing",先生，感谢您的分享
27304,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92pIQSmCISO,0,3 years ago,"thx for sharing, it's really hard to read through with so much words but its really great to know this, glad she is doing all great now",thx可以分享，很难用太多的话来读书，但是很高兴知道这一点，很高兴她现在做得很好
27283,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92S075pFYA5,0,3 years ago,thank you for sharing!,谢谢分享！
27282,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92OzpfBmmnU,0,3 years ago,thank you for your sharing,感谢您的分享
26611,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9J_K888vS8O,0,2 years ago,"thank you for sharing your life, you're great!",感谢您分享您的生活，您很棒！
25827,UgxbAsPP1at3K6wzI8t4AaABAg,0,3 years ago,very nice these videos thank you for sharing them!,这些视频非常好，谢谢您分享它们！
25623,UgyhefZvK29iF7FHqQN4AaABAg,0,3 years ago,thank you for sharing chinese food recipes. liziqi,感谢您分享中国食谱。 liziqi
25250,UgxfvTJsOrdggkxc9HR4AaABAg,0,3 years ago (edited),cc i love your channel you were too great the kitchen makes us want to eat thank you for sharing. all this wealth that you find in the forest and the courage you have and i tell you bravo and see you soon ๐๐โค ๐’๐’,CC我爱您的频道，您太棒了，厨房让我们想吃，谢谢您的分享。您在森林和勇气中发现的所有财富，我告诉您Bravo，很快见到您
23903,UgyEtZgsrRWpwmQJuKt4AaABAg,0,3 years ago,thank you for sharing all of these cooking ideas ๐,感谢您分享所有这些烹饪想法
22557,UgyZSyP3uNOwYjJsvil4AaABAg,0,3 years ago,inspiring. tq for sharing,鼓舞人心。共享的TQ
22488,Ugw9oA5v8NMO7KmU2Kp4AaABAg,0,3 years ago,"it's a bit moved, thank you for sharing so seriously.",看的有点感动，谢谢你那么认真的分享。
22237,Ugz2SEc757W6E4P-MIx4AaABAg.931JFxIKjY3931rxBv_Zfz,0,3 years ago (edited),people who living in village tends and love to sharing foods with neighbours and sell some of it in the nearer town/market. 8:00,居住在村庄的人们倾向于与邻居分享食物，并在近乎城镇/市场上出售其中的食物。 8:00
21412,Ugx-KnYYPoQ1XL7PNlJ4AaABAg,0,3 years ago,"your videos, the production, your spirit, your lifestyle, the way you love your elders and animals, and the way you respect the earth, it gives me great peace, serenity, and i feel nothing but love from watching your videos. thank you for sharing, my friend! sending great love from dallas, texas, usa. ๐’",您的视频，制作，精神，生活方式，您爱长者和动物的方式以及您尊重地球的方式，它给了我极大的和平，宁静，我除了观看视频而没有爱。谢谢您的分享，我的朋友！从美国德克萨斯州达拉斯发出伟大的爱。
21080,Ugw4O62oOoWVzBkkEch4AaABAg,0,3 years ago,"you can do it. essence essence

however, there should be some boys sharing part of the work. because, since ancient times, china has believed that women are hard to be virtues. most men are not diligent.

it is a woman who is too capable of working hard. essence

hope, you can meet men who take the initiative to share your work and have a sense of responsibility. this is also my expectations for women in china.","你很能干。。。

只是，应该有些个男生分担部分工作。因为，自古以来，中国都认为女人艰苦是美德。男人大都四肢不勤。

是我们太能干的女人早就了懒惰的男人。。

希望，你能遇到主动为你分担工作，有责任感的男人。这也是我对全中国女人的期望。"
20548,UgwR9egSk9R8F_toDxR4AaABAg.94QViAM7gf-94XR3u0NETy,0,3 years ago,dig bick so interesting! thank u for sharing :),挖比克很有趣！谢谢你的分享:)
20049,UgzCX1DVi1FUEJoZE3R4AaABAg,0,3 years ago,how i wish i live there๐ thanks for sharing your life to us. your such a influencer. alot of us watching you is envying you for have a wonderful talent.,我希望我住在那里吗？感谢您与我们分享您的生活。您这样的影响者。我们中的很多人看着你羡慕你，因为有着出色的才能。
52551,UgzwtYFTWIJcgLk_9KJ4AaABAg,0,4 years ago,"i was just thinking about hiw much i love your videos, this morning; and here you are! thank you for sharing another piece of your life",我只是在想嗨，我很喜欢你的视频，今天早上。你在这里！感谢您分享您的一生
