,cid,votes,含video,含video中文翻译
4619,UgypwRZi7D8Xx3AObhV4AaABAg,367,"oh my gosh, she's so amazing! the cooked food is above all excellent. lots of goji berries and cakes she makes! if i were a man, i would do my best to win liziqi's heart >3
i always use liziqi as my inspiration for my videos!
i love liziqi <3","哦，天哪，她真是太神奇了！煮熟的食物首先是很棒的。她制作了很多戈吉浆果和蛋糕！如果我是一个男人，我会尽力赢得利兹奇的心> 3
我总是以liziqi作为视频的灵感！
我爱liziqi <3"
777,UgyRITwQZG9tKfNwfy94AaABAg,361,i come back to all your videos again and again until you come back with new videos. hope you're okay. i really miss you. you've been a big part of my life. take care,我一次又一次地回到您的所有视频，直到您回来新视频。希望你还好。我真的好想你。你是我一生的重要组成部分。照顾好
6783,Ugyz_bH0B_MbQFGW1nV4AaABAg,356,"what i absolutely love about her videos is she doesn't really care that the camera is there, even though it's there she's still living in the moment. she's still doing those things because she loves doing them, not for the sole purpose of recording and posting it",我绝对喜欢她的视频的是她并不真正在乎相机在那里，即使它仍然在那一刻。她仍然在做这些事情，因为她喜欢做这些事情，而不是为了录制和发布它的唯一目的
4154,UgwLpqWdlXqbbaIslTd4AaABAg,351,watching your videos can calm me down and forget the fatigue of my body,看你的视频可以让我心静下来，忘记身体的劳累
30200,UgzXdzPPTN6NDtHcj2Z4AaABAg,329,"this video shows the most traditional way of chinese making popcorns, oh dear lord, all my childhood memories. ziqi, love you.",该视频显示了我所有童年的回忆，最传统的中国人制作爆米花的方式。 Ziqi，爱你。
4108,UgyUrXRsMA8pgAIACYd4AaABAg,327,this video is pure love harmony and the perfect definition of a healthy life,该视频是纯粹的爱情和谐，是健康生活的完美定义
43836,Ugzvt3VyGfyew7mfnxN4AaABAg,310,"that physical type of life full of colours, fresh air, products straight from the nature, organisation to every preparation creates calmness in my soul! your videos are an oasis in my difficult, anxious city life. i love watching you! you make my day! god bless you! keep it that way!",从大自然，组织到每种准备工作的那种充满颜色，新鲜空气，产品的物理类型，都会在我的灵魂中镇定！您的视频是我艰难而焦虑的城市生活中的绿洲。我喜欢看你！你让我开心！上帝祝福你！保持这种方式！
12995,UgwcbgECnovACeF3dcx4AaABAg,308,plz make a video on your garden tour.. i am very interested to see your garden.. plz. hit like if u agree guy's,请在您的花园之旅中制作视频。.我很想看到您的花园。如果你同意盖伊的
39885,Ugzyd6YIBPmBDwWvsJd4AaABAg,305,"o my god, what is this place called, heaven ? amazing how the young woman (can i call her angel) is doing all the cooking, feeding her grandma, everything is just so precious to watch. 
i'm glad this video showed up in my recommendation. so beautiful โค๏ธ๐","我的上帝啊，这个地方叫什么，天堂？惊人的年轻女子（我可以称呼她的天使）正在做所有的烹饪，喂养她的祖母，一切都很珍贵。
我很高兴在我的建议中出现了这段视频。如此美丽的❤️"
27183,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zRyXpDFtLl,290,heart breaking story. no wonder her videos are so beautiful. her past has formed her into a masterpiece.,令人心碎的故事。难怪她的视频是如此美丽。她的过去使她成为杰作。
26234,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zomQfp5qkZ,246,watch her videos ..... and did remind how lazy i am... i definitely have to do something meaningful..,观看她的视频.....并提醒我有多懒...我肯定必须做一些有意义的事情。
31186,UgxBPmGw0xIG1aIl6ZF4AaABAg,225,"as a chinese,i am really happy to see people from different countries appreciate and love ziqi's video.",作为中国人，我真的很高兴看到来自不同国家的人们欣赏并喜欢Ziqi的视频。
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
3212,UgynOaVEsdMUOikfYZ14AaABAg,221,"im so happy to see 1 million and more likes on her video ❤️ im watching her videos when there was only 1k likes i found her video on youtube after i randomly searched chinese food , i was so glad i did...and always thought she must have to get a million and more for this precious videos",我很高兴在她的视频上看到100万及更多喜欢的喜欢❤️我在观看她的视频时，当我随机搜索中国菜后，我在youtube上找到了她的视频，我很高兴我做到了……而且总是以为她必须为此宝贵的视频获得一百万和更多的东西
36766,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx8uUymXj5Q1d,220,"i think of harvest moon every time i see her videos! seriously though, she's maxed out all her stats and ascended to god tier girl.",每次看到她的视频时，我都会想到收获月亮！认真地说，她最大程度地提出了所有的统计数据，并登上了上帝层的女孩。
39844,UgyO3Z2tzQA_VEFvmVN4AaABAg,218,"his name is li ziqi. she was orphaned since an early age, so she was raised by her grandparents.


he moved to the city and lived there for a while since he was 14 years old he had to work as a waitress and then had the opportunity to work as dj, but when his grandfather died, he returned to the field to take care of his grandmother. especially she was the one who raised her.


now load videos in weibo, a chinese platform, since people in china do not have access to youtube or facebook, etc. and his fans raise their videos on youtube so that the other part of the world can enjoy this beauty.


here is an edition to answer your questions:


1-this is an official youtube account and she benefits from this account but is not sure of the other channels.


2 - it used to produce its content alone, but after receiving recognition she began working with a small team to help her photograph, but i think she is not pretending the way she lives.


3-vive in sichuan (china).


i translated it from another message, so that people who do not understand english very well, or just prefer to read it in spanish, or many more reasons. you are welcome! :^




ps: thank you for reading it, i wait for my likes! > :, 3","他的名字叫李齐。她从小就开始孤儿院，所以她是由祖父母抚养长大的。


他搬到这座城市，从14岁起就在那里住了一段时间，他必须担任女服务员，然后有机会担任DJ，但是当他的祖父去世时，他回到野外照顾他祖母。特别是她是抚养她的人。


现在，在中国平台上加载视频，因为中国的人们无法访问YouTube或Facebook等。他的粉丝在YouTube上提出了视频，以便世界的另一部分可以享受这种美丽。


这是回答您的问题的版本：


1-这是一个YouTube官方帐户，她从该帐户中受益，但不确定其他渠道。


2-它曾经单独生产其内容，但是在得到认可之后，她开始与一支小型团队一起帮助她的照片，但我认为她没有假装自己的生活方式。


3-Vive在四川（中国）。


我从另一条消息中翻译了它，以便那些不太了解英语的人，或者只是更喜欢用西班牙语阅读或更多原因。不客气！ ：^




PS：谢谢您阅读，我等待我的喜欢！ >：，3"
35540,UgxVuu5NNW7ilUTNYWR4AaABAg,200,omg that's how they made popcorn? that bit was so funny and this entire video is so wholesome,天哪，这就是他们制作爆米花的方式？那一点很有趣，整个视频都很健康
52911,Ugwvbi63GNuAAeiGk654AaABAg,192,i love your videos from india,我喜欢你来自印度的视频
18774,UgwbibGMiyzwPEpnF_94AaABAg,186,"wait a minute , there are dislikes for this ? really ? 

sick people 

they are the reason our lives isn't heavenly like the one in the video","等一下，对这个不喜欢吗？真的 ？

生病的人

这是我们的生活不像视频中的天上的原因"
50888,UgxmG2wdFYPjiTnHSth4AaABAg,176,"happy chinese new year beautiful lady and to popo 

i'm so inlove with all your videos... well done","春节快乐美丽的女士和popo

我对你所有的视频都很热爱...做得好"
40526,UgzKSj6Ebb_2_1z7bXl4AaABAg,169,damn she's good at cooking and making videos plus she's beautiful,该死的她擅长烹饪和制作视频，加上她很漂亮
33764,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vg79vEiJqM,167,"yes. that's what i thought and felt too. it looks amazing but also it's alot of hard work. who works on the fields, planting, watering, who cuts the trees, who prepares the fire places, cleans up all the tools, cleans the kitchen, the oven after cooking. in the video, we only see the romantic side, with a very bussy beautiful girl. it's a professional production and a bit like a fairytale.",是的。那就是我的想法和感觉。看起来很棒，但也很多辛勤工作。谁在田野上工作，种植，浇水，砍伐树木的人，准备大火，清理所有工具，清洁厨房，烹饪后烤箱。在视频中，我们只看到一个浪漫的一面，有一个非常繁忙的美丽女孩。这是一种专业的作品，有点像童话。
23629,UgwpCFZj1EV4wAug2dt4AaABAg,166,sounds stupid but i have to say that i really want to cry after seeing this video. the heaven should be like this!,听起来很愚蠢，但我不得不说我真的想在看这部视频后哭泣。天堂应该这样！
29423,UgzZzJbuNnUNCMBVlIR4AaABAg,165,"tens of thousands of overseas democratic movements tossed for decades tens of thousands of videos click volume, there is no episode of li ziyi, a video click dorhahahahahahahahahahahahaha",几万海外民运 轮子 电视台折腾几十年上万视频 点击量还没有李子柒一集视频点击量多 哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了
40550,UgyUVF-ukZhG5S_N7a54AaABAg,164,"her youtube channel is only 1 year old and she already has 3m subscribers and more that 1m views on every single video, some of them have more that 5m views.this girl is amazing!",她的YouTube频道只有1岁，她已经拥有300万订阅者，并且在每个视频中有100万次观看次数，其中一些视频具有5m的视图。这个女孩真是太神奇了！
44960,Ugzkyht9GJ-UWBb8pBV4AaABAg,155,"what a beautiful faerie like place in which you live! a lot of lovely fruits, nuts and resources to make your treats with as well. you are obviously very talented and the calm, hard-work and dedication can be seen in your videos... passion, too",您居住的地方多么美丽的仙境！许多可爱的水果，坚果和资源也可以使您的零食。显然，您很有才华，您的视频中可以看到镇定，努力和奉献精神……激情，所有食物看起来都很好吃！你和你的祖母太可爱了。
40283,Ugw-aEsAm6XHGhkx0kZ4AaABAg,153,"every time watch ms. li the video, i feel like i’m inside the villages",每次观看视频李女士时，我都会觉得自己在村庄里。非常爱
28918,UgwBVfqxOlRK4Uuhbv54AaABAg,151,i cried when i was watching this video. i don't know why.,当我看这部视频时，我哭了。我不知道为什么。
16363,Ugza1oioWbMGLjNHtRV4AaABAg,145,litterly who are the 24k people who dislike her videos??? why do that she's not doing anything bad to you just peaceful cooking videos,"谁是不喜欢她的视频的24,000人？？？为什么她只是对你做任何不好的事情只是和平的烹饪视频"
32160,Ugx1LXTsr5AkRIsGb_p4AaABAg,144,"i love that anyone can watch these amazing videos, there is no real language barrier or anything! i wish i was as talented as her",我喜欢任何人都可以观看这些令人惊叹的视频，没有真正的语言障碍或其他任何东西！我希望我像她一样有才华
51248,UgzI831i3irtE8a4DJl4AaABAg,144,i love your videos,我爱你的视频
5993,UgzEqCYo4MWItFFqut54AaABAg,143,"every time when i feel overwhelmed by all the annoying things in life, i'd come back to her videos. her videos really sooth me and help me find peace.",每当我对生活中所有烦人的事情感到不知所措时，我都会回到她的视频上。她的视频确实舒缓了我，并帮助我找到和平。
20419,Ugw-yXWHCd-PwfvFmhZ4AaABAg,143,"i used to have sleeping problems and most of the time i just couldn't sleep, not even a wink but since i started watching her videos, my mind was more at ease. her videos are so soothing. she calms me down, i'm speechless",我曾经遇到睡眠问题，大多数时候我无法入睡，甚至不是眨眼，但是自从我开始观看她的视频以来，我的头脑更加轻松。她的视频是如此舒缓。她让我平静下来，我无语
49776,UgxYLjNZHC2ZCH5UdHt4AaABAg,139,this is the first youtube's channel where i watched all the videos. you always amaze me !!!,这是我观看所有视频的第一个YouTube频道。你总是让我惊讶！！！
11707,UgzEkJsoQd5Xczy3RF14AaABAg,138,she's so lucky she still have her grandma with her.i miss my grandma ..always love her videos .they're very inspiring,她很幸运，她仍然和她在一起。我想念我的祖母..永远喜欢她的视频。他们非常鼓舞
2933,Ugy9DdebnQ6uvBpZcMZ4AaABAg,134,"i keep coming back on this video of her. i'm so glad she made this so far, i'm her top subscriber and i'm so proud for her. its been a while since she post another video. hope she come back sooner.",我不断回到她的视频。我很高兴她能做到这一点，我是她的顶级订户，我为她感到骄傲。自从她发布另一个视频以来已经有一段时间了。希望她早日回来。
7585,UgzxlPsU44VpexDLA5F4AaABAg,133,"li ziqi, and your family, and other chinese people, happy chinese new year! this video was very amazing!",Li Ziqi，您的家人和其他中国人，新年快乐！这个视频非常了不起！
27721,UgzccLbaP8YfTilsZcF4AaABAg,117,"this is my favourite video by ziqi so far, it has such a comforting effect, reminds me of spending chinese new year at home with my family.",到目前为止，这是我最喜欢的Ziqi视频，它具有如此舒适的效果，使我想起了与家人一起度过农历新年。
33756,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vUbAYC6qrQ,114,kathaleen wood i made it 667 likes because we need to keep the devil away from this precious video,凯瑟琳·伍德（Kathaleen Wood
52053,UgxxvHG2mGuYRI4mst94AaABAg,109,hello my talented sis love u and ur video love u so much love from pakistan,你好我才华横溢
16566,UgzlpPc-Ymml4G00nv94AaABAg,104,this entire video is just 10 minutes but i feel like i lived one eternity peacefully while watching it,整个视频只有10分钟，但我觉得我在观看时和平地生活了一个永恒
30504,UgyyuLcCHPvAm002yMt4AaABAg,103,we can see that she really works total hard for this video.. her messy hair describes everything. thank you for the beautiful video โค๏ธ,我们可以看到她确实为这段视频完全努力。她的头发描述了一切。谢谢您的美丽视频❤️
42612,Ugx7O2f_d5NDecHu3Vx4AaABAg,100,i'm so glad i found this channel. something about watching people do what they love so skillfully is just so satisfying. idk how else to explain it. i love these videos to pieces. please keep them coming! <3 <3 <3,我很高兴找到了这个频道。看着人们如此熟练地做自己喜欢的事情是如此令人满意。 idk还有其他解释。我喜欢这些视频。请让他们来！ <3 <3 <3
29303,UgwdVDks-QjjWNlASBl4AaABAg,95,when i watch her videos i feel in fairy world..so emotionally appealing!! i really want to meet this chinese angel and hug her !! lots of love from india,当我观看她的视频时，我会在童话世界中感到。我真的很想见这个中国天使，拥抱她！来自印度的很多爱
28580,UgzIOB13gZ2nytgghjd4AaABAg,93,i don't know how i got to her videos but man am i so happy to know about this woman! im def. a fan,我不知道我是如何看她的视频的，但是伙计，我很高兴知道这个女人！ IM DEF。粉丝
2258,UgwojBqA1rIKuxWouGZ4AaABAg.9ZO-yY69gDD9aVWnPdqKZi,92,"for those who wonder why ziqi hasn’t uploaded any new video, she is going through some tough time fight for the fair share of her name brand. her mcn makes huge money in china selling liziqi brand merchandises, but liziqi did not get much because of her lack of experience when she signed those contracts. that’s why she stopped creating new content to protest. hopefully this whole thing can be settled in her favour and she can get her name brand back.",对于那些想知道Ziqi为什么没有上传任何新视频的人来说，她正在经历艰难的时光争取自己的名字品牌的份额。她的MCN在中国赚了大笔钱，出售Liziqi品牌商品，但是Liziqi签订了这些合同时缺乏经验，没有得到太多。这就是为什么她停止创建新内容进行抗议的原因。希望整个事情能够得到她的青睐，她可以将自己的名字品牌恢复。
10293,UgwhkO_8YggeV7basZ54AaABAg,91,iโ€m obsessed with these videos they remind me of my mother land country of romania canโ€t wait to go back,我痴迷于这些视频
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,fantastic fantastic fantastic really i liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy chinese new year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
558,UgxxOfivTNQOd4Vv43N4AaABAg,89,"this is one of my favorite videos of hers, because i love it when she's worried about protecting her grandma and it jumps so cool.",这是我最喜欢的视频之一，因为当她担心保护奶奶并且跳起来很酷时，我喜欢它。
25676,Ugy6RKxBfIBxOuWcg9B4AaABAg,88,have anyone are watching the video while seeing the comments too?,有没有人在看评论时观看视频？
4950,UgzC97-HLWTIURvWxc94AaABAg,86,"thank you for giving up for your hard work and insisting on being harmed by gossip
dig in the ordinary life and the beauty of life and nature
i also look forward to this video exceeded 1 billion","感谢你一直努力 坚持 没有被流言蜚语伤害而放弃
在平凡的生活中 挖掘着生活和自然的美好
也期待这个视频突破一个亿"
30745,Ugwa7gDHnFadb3OG1yd4AaABAg,85,i've binge watched this beautiful womens videos for the past hour and i'm just at awe by how much she knows.,在过去的一个小时里，我一直在狂欢观看了这个美丽的女子视频，我对她知道多少感到敬畏。
45866,UgxVK8SbphPNjXXksal4AaABAg,84,"they live in an enchanted kingdom and i wonder if they even know it!? what a wonderful video to transport me into that place full of traditions, and old ways and all the smells, tastes, and warm feelings. thank you so much for the video. it is a treasure!",他们生活在一个迷人的王国中，我想知道他们是否知道！将我带入充满传统，古老的方式以及所有气味，品味和温暖的感觉的地方真是一个很棒的视频。非常感谢您的视频。这是宝藏！
19430,UgwpepipdU3nh_-URFF4AaABAg,82,this girl deserves the game for her struggle and hard work . i mean who the hell disliked her video . love from india,这个女孩应该为她的斗争和辛勤工作而获得比赛。我的意思是谁不喜欢她的视频。来自印度的爱
39609,UgwyQBO-haOzzx3wwhB4AaABAg,82,a cup of coffee would watch these videos to get motivated in the morning. love it.,一杯咖啡会观看这些视频，以便早晨动机。爱它。
9206,Ugw_Sq-asajwM0tM-JV4AaABAg,81,"she's like a real life anime character.
very wholesome video!","她就像现实生活中的动漫角色。
非常有益健康的视频！"
42241,Ugw1Xz4KR_ZFthpEpXt4AaABAg,81,"every time i’m watching her video , it reminds me how beautiful the world we leave in....",每次我观看她的视频时，它都会让我想起我们留下的世界多么美丽。
25683,Ugxwxl0rWPEg8TGb1Gd4AaABAg,80,"i don't understand! why is such a sincere and kind girl who work hard to take a video alone and some people will follow the negative reviews.
ziyi, don't be discouraged! compared to negative evaluations, it is hundreds of times the negative review!
i am your fan in taiwan
you are so amazing, you will do everything
come on ๏ธ ๏ธโฅ ๏ธ โฅ ๏ธ","我不懂！为什么这么真诚善良的女孩，这么努力自己一个人独自拍下的视频会有人按负评
子柒，别气馁！比起负评的，按赞的可是负评的上百倍！
我是妳台湾的粉丝喔
妳好厉害，什么都会做
加油♥️♥️♥️"
34141,UgwwsJPvwbrWOMAkqUF4AaABAg,77,"it was all the traditional memories and things that i could not see in today's impetuous society. it was shocked that so many foreigners liked and commented. seeing li zizhen's announcement video learned that many foreigners did not know that this was china. i do nโ€t know that li ziyi is the chinese. let them also see that china is not just a world factory, not only haze and industry ... we also have inheritance and good life. let them see chinese characters comment! welcomed to china",全是传统的小时候的回忆和当今浮躁的社会看不到的东西，很震惊有这么多外国人点赞和评论，看到李子柒的申明视频得知，老外有很多并不知道这是中国，不知道李子柒是中国人
52114,Ugzs5gxT0CEiwFvlQ8t4AaABAg,76,"these videos are little gems. i treasure each one and marvel at your life. you bring such joy to the tasks of your days, joy to your grandma and i hope and believe to the people around you. i have gained a whole different perspective of china from watching these glimpses into a way of being i had no concept of before. today i saw some humour in you, the little kick and jump from the loud bang, so cute. you are a blessing to this world.",这些视频是小宝石。我珍惜每个人，并惊叹于你的生活。您为自己的日子的任务带来了如此快乐，对奶奶感到高兴，我希望并相信周围的人们。我从看着这些瞥见的一种方式中获得了一种完全不同的中国观点。今天，我看到了你的幽默，小踢从大声的爆炸中跳了起来，真可爱。你是这个世界的祝福。
50202,UgxTXDY2WzPeajjE1TV4AaABAg,76,happy chinese new year!! this video is awesome. god bless you and your family.,农历新年快乐！该视频很棒。上帝保佑你和你的家人。
19048,Ugw0U3HcaI-WINoQCrx4AaABAg,75,i've seen several channels like this and all that i can do is heavily admire the cinematography and quality. imagine doing all that work plus taking a video of everything,我已经看到了这样的几个渠道，而我所能做的就是欣赏摄影和质量。想象一下所有的工作，并拍摄所有内容
33214,UgyZlshMYDW0_Bc6rcJ4AaABAg,75,"i really enjoy this video. itโ€s so nice and homely... but the digimon music turned me nostalgic and more comfy. 
hugs from mexico","我真的很喜欢这个视频。真是太好了...但是，数码兽音乐使我怀旧，更舒适。
从墨西哥拥抱"
30044,Ugxqwf4_jQnXz64cKqt4AaABAg,73,ive watched this video countless times since last night :/ the puppies and the lamb are so cute,自昨晚以来，我看了这段视频无数次：/幼犬和羔羊是如此可爱
47584,UgwgzydsHM_WqD7TLO54AaABAg,73,"i think this must be one of the best videos in this channel. all the foods prepared by li are very delicious. i like those puppies who have been following her. watching such a video makes me happy and calm my thoughts. you are great, li ziyi",我认为这必须是这个频道中最好的视频之一。李准备的所有食品都非常好吃。我喜欢那些一直跟着她的小狗。观看这样的视频让我感到高兴，让我的思绪平静下来。你太棒了李子柒
52840,UgyPtSCSjH1mCfKP52x4AaABAg,73,your video is so amazing. love from indonesia. ❤️,您的视频太棒了。来自印度尼西亚的爱。 ❤️
32600,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8vt7B78NnH8,72,"the video reminds me of my childhood, many chinese people used to live a life like that!",该视频使我想起了我的童年，许多中国人曾经过上这样的生活！
49181,Ugy7ko4BH_vUfS_hcY14AaABAg,71,another lovely video!! thank you so much,另一个可爱的视频！非常感谢
6328,UgyPM-2Yk_fhUweauTB4AaABAg,71,"i also grew up in rural china, and although the content of the video is very different from the real-life of most of us rural people, i have to admit that her videos are exceptionally well done, and i really like her videos",我也在中国农村长大，尽管视频的内容与我们大多数农村人的现实生活截然不同，但我必须承认她的视频做得非常好，我真的很喜欢她的视频
28002,UgyyrbUKYWOw4sOzJgt4AaABAg,70,"i'm addicted to her video๐ just subscribe after watching the bamboo version, found her video accidentally for my bamboo diy project and now i'm becoming addicted ๐๐",我沉迷于她的视频
8694,UgxTrdQpB5pxOySrAHt4AaABAg,70,"this video exceeded 80 million people to watch! in the same period last year, it was 60 million, and ziyi could always create miracles. how many happiness she brings to this world!",此视频突破八千万人观看了！去年同期还是六千万，子柒总是能不断创造奇迹。她给这个世界带来了多少快乐!
12604,UgwkeqJWwAdu2Rb2pr94AaABAg,70,this video should be watched by people who wants do world war 3,想要做第三次世界大战的人应该观看此视频
47819,UgzPMa0eCR_UApYar1R4AaABAg,69,"hi. . i come from russia. thank you. i got a lot of fun. beautiful videos, beautiful music. really like.",嗨。 . 我来自俄罗斯。多谢。 . 我得到了很多乐趣。美丽的视频，优美的音乐。真的很喜欢。
