,cid,votes,time,含video,含video中文翻译
31115,Ugw2WElkzBoP_jXGvpJ4AaABAg,373,3 years ago,"i always love your videos! soothing to the spirit. i wish you had the recipes in english. i want to make them so bad! maybe you can create a cookbook and publish it in various languages. living near seattle, washington in the united states, i know i could find all the ingredients in our international district. thank you so much for sharing one aspect of your beautiful life with us.",我总是喜欢你的视频！抚慰圣灵。希望您有英语食谱。我想让它们如此糟糕！也许您可以创建一本食谱并以各种语言发布。居住在美国华盛顿的西雅图附近，我知道我可以在国际区找到所有成分。非常感谢您与我们分享美丽生活的一个方面。
22960,UgzH7KKKJzSidK9EZ9d4AaABAg,303,3 years ago,watching her videos have become my stress reliever from the crowded and busy city. it’s so peaceful and makes me love nature even more! ♥️,观看她的视频已成为我拥挤而繁忙的城市的压力减轻。它是如此的和平，使我更加爱大自然！ ♥谢
25059,Ugytvmc3UbnvGly8w114AaABAg,237,3 years ago,"accidentally click the video too,after that could not get enough of it!!...much more better than watching the kardashian/jenner all the time.i'm just so sick of watching the superficial world,where every girls on ig tries to have lips injection and buttock implants.this is the real world,where you could see the beauty of nature,calm,peace of mind and happiness!",偶然地单击视频，之后无法获得足够的时间！！……比整个观看Kardashian/Jenner都要好得多。要注射嘴唇和臀部植入物。这是现实世界，您可以看到大自然的美丽，镇定，心灵和平和幸福！
34243,Ugztc4zDHo36WMYUpj14AaABAg,216,3 years ago,"세상에.. 3 videos in a week ?? 
we dont deserve you, liziqi. thank you so much.","一周内的3个视频？
利兹奇，我们不应该得到你。太感谢了。"
35351,Ugz1sIYY5K8sxHEOe7d4AaABAg,212,3 years ago (edited),"can't believe early to watch her video 
.
.
omg this is my 1st time comment since i've been watching all of her videos, tq for 'ur thumbs up guys! i know this is cuz of ziqi's lovers!","不敢相信她的视频
。
。
天哪，这是我第一次评论，因为我一直在观看她的所有视频，即“您的大拇指”的TQ！我知道这是Ziqi恋人的Cuz！"
31913,Ugz5SQzSVIB9U4-q1np4AaABAg,211,3 years ago (edited),"after observing for a period of time, i found that there are the following characteristics of the ziqi channel:
the first is that the fan base is wide and thick. as a oil pipe channel that is not managed by myself,
and there is no interaction with the fans on the oil pipe, and it is not easy to achieve the current scale.
after all, the channel originally started from the help of fans, and it felt a bit ""inadvertently inserted willow and willow"";
secondly, the video praise rate is high, which is nearly 10 times higher than the general channel. this is amazing.
explain that the quality of the video is high, unlike the channels that have a lot of subscriptions on the oil pipe are the same as scum.
after all, there are too many channels on the channels that scam money every day after they are named.
the last is that the channel is highly popular, and the number of comments itself explains everything.
and i dare to ensure that there are few big channels such as such a harmonious channel on the entire oil pipe.
ziyi here is one of them, like a world of integration in the world.","观察了一段时间，发现子柒频道有以下几个特点：
首先是粉丝群又广又厚，做为一个不是自己亲自管理的油管频道，
而且在油管上和粉丝毫无互动，能做到目前这样子的规模很不容易，
毕竟频道最初是从粉丝帮忙搬运起家，多少有点“无心插柳柳成荫”的感觉；
其次是视频点赞率高，比一般频道高出近10倍的点赞率，这点很了不起，
说明视频质量高，不像油管上好多千万订阅的频道都是渣一样的点赞率，
毕竟出了名之后每天发点烂片混日子骗钱的频道油管上太多太多了；
最后就是频道人气高，评论数量自身就说明了一切，
而且我敢保证整个油管上这么和谐的大频道根本就没几家，
子柒这里就是其中一家，俨然一副世界大融合的景象。"
28531,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8yfhKmZypkM,208,3 years ago,"hey guys, to 'she has nothing to do' i want to explain for ziqi, she does public benefit very long time, let alone not to mention how much housework she does(plant vege, fruit...), she joys us by her videos and that isn't a easy thing to make such video.",大家好，我想为Ziqi解释“她无关”她的视频，制作这样的视频并不是一件容易的事。
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,2 years ago,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
12674,UgwLIbEhSyqs7-CqzEN4AaABAg,194,3 years ago,"i miss her videos so much,i'm binge watching all her older videos.

take care everyone! stay at home, drink water and take vitamin c!","我非常想念她的视频，我狂暴地看着她所有的旧视频。

照顾大家！待在家里，喝水，服用维生素C！"
17533,Ugz7qOySXHjdxny0QiZ4AaABAg,190,3 years ago,"i think this is what we call ""inner peace"" - all of us, literally, are desperately pursuing some kind of life like this. it is escapism but not 100 percent, as it is more positive. really really nice, heart-warming video. thank you.",我认为这就是我们所说的“内在和平” - 从字面上看，我们所有人都在拼命追求像这样的生活。它是逃避现实的，但不是100％，因为它更积极。真的很好，令人心动的视频。谢谢。
31588,UgwXcDyacnoVwyUcMid4AaABAg,189,3 years ago,"dear miss lizqi , the bamboo forest looks wonderful , there is always true beauty captured in every amazing video that you make. i wish you mighty blessing to you and your loving grandmother. please continue to share your vast wisdom with us all around the world. the videos you make are truly priceless , the love , the beauty and the healthy life style that you promote is amazing indeed. you help many people to find peace , joy and true releif from the hardships of this life. thanks miss lizqi for you are a wonderful gift to us all. may god bless your videos always. your friend from canada!!!!!!!!!!!!!!!!!!!!!!!!!",亲爱的利兹小姐，竹林看起来很棒，在您制作的每一个令人惊叹的视频中，总会捕捉到真正的美丽。我希望您对您和您充满爱心的祖母祝福。请继续与世界各地的我们分享您的巨大智慧。您制作的视频确实是无价的，您推广的爱，美丽和健康的生活方式确实令人惊讶。您可以帮助许多人从今生的艰辛中找到和平，喜悦和真实的宗教。感谢Lizqi小姐为您提供给我们所有人的美好礼物。愿上帝永远保佑您的视频。您来自加拿大的朋友!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
24866,Ugz732P_cYX2F7Gyz7h4AaABAg,184,3 years ago,i don't know what brings me here but i love watching all the videos in this channel. amazing!,我不知道是什么把我带到这里，但我喜欢观看此频道中的所有视频。惊人的！
18791,Ugws-cr34RVZokUlHr14AaABAg,182,3 years ago,what kind of losers would dislike such video? cant figure out.,什么样的失败者会不喜欢这种视频？无法弄清楚。
24815,UgwwB40SUYLdqXWt2pp4AaABAg,175,3 years ago,"who's watching this video, please raise your hand. i am from vietnam",谁在观看此视频，请举手。我来自越南
32352,UgxHrpF8FQeeEcny9RZ4AaABAg,168,3 years ago,"more than 500k views in 4 hours .... wow! her following is very huge, but understandable coz her video indeed are very good. keep it up... liziqi.",4个小时内的50万次浏览量超过50万次。她的关注非常巨大，但可以理解的，因为她的视频确实非常好。继续... liziqi。
23472,Ugyemwddq3XxO4I_VYp4AaABAg,168,3 years ago,"hello, greetings from peru south america, i watch your videos and every time i love your lifestyle, they are so relaxing the life you lead, i wish you many successes ...",您好，来自秘鲁南美洲的问候，我看着您的视频，每次我爱您的生活方式时，他们都会如此放松您的生活，希望您能取得许多成功...
30890,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yWTZXn3Lhi,166,3 years ago,"and it’s addictive. when i first saw her videos i was determined to watch em all from the very beginning until right now where i’m painfully waiting for new ones. but everytime, it is worth it. it’s really relaxing to watch.",而且令人上瘾。当我第一次看到她的视频时，我决心从一开始一直到现在一直在等待新的视频。但是每次都值得。观看真的很放松。
16590,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H92vr3X8k5uX,166,3 years ago,"teo shui tong i am from china, her
fan. all the videos actually all made byherself at first, until 2017 she found a photograher to help her , she is really independent and jack of all trades","teo shui tong我来自中国，她
扇子。最初，所有视频实际上都制作了Byherself，直到2017年，她找到了一个可以帮助她的Photograher，她真的是独立的，而且所有行业的杰克"
15086,UgzYaG8q1xN2uXktZBp4AaABAg,156,3 years ago,i don't understand why would someone unlike this video...,我不明白为什么有人会和这个视频不同...
2932,Ugy7h3cSkkY8ae7r6eJ4AaABAg,154,1 year ago,"thank you liziqi. 
whenever i've had a tiresome workday... i lied down getting to watch ur videos which soothes me and my mind n gives me a pleasing rest well.","谢谢Liziqi。
每当我度过一个令人讨厌的工作日时...我都撒谎看着您的视频，这使我和我的思想舒适地让我感到愉悦。"
31663,UgxHNMm2NE0yst3B9Ex4AaABAg,150,3 years ago (edited),"i notice you always do more then one meal for every video, and always keep me enjoying them. no doubt you are absolutely the best.",我注意到您总是为每次视频做更多的一顿饭，并始终让我享受它们。毫无疑问，您绝对是最好的。
29675,Ugzg8N-zNQuI6a4Fwe14AaABAg,146,3 years ago,i discovered her at 2am and i literally think there is no better channel. her videos are soothing and educating and honest content.,我在凌晨2点发现了她，我从字面上认为没有更好的频道。她的视频正在舒缓，教育和诚实的内容。
11379,Ugx-5d2aAZv1U6QtBMx4AaABAg,144,3 years ago,"hi to all who's reading this, please continue supporting her. she's a very hardworking person so please do avoid skipping ads and continue commenting for engagement and for her videos to be seen on a bigger audience.",嗨，所有正在阅读此书的人，请继续支持她。她是一个非常勤奋的人，所以请避免跳过广告，并继续评论参与，并在更大的观众身上观看她的视频。
18895,UgxLNsP-0aqASJwOqrN4AaABAg,142,3 years ago,"seeing her video reminds me of my childhood life, it is really that. my hometown is in rural sichuan. what? because it is shooting videos, many scenes have beautified, in fact, the process will be very hard.",看到她的视频让我想起小时候的生活，真的就是这样，我的老家就在四川农村，然而我们却拼命努力去了城市，为了生活奔波，看了她的视频让我怀疑生活究竟是为了什么？因为是拍摄视频，把很多场景都美化了，其实过程会很辛苦。
30009,UgzLwzHtzrVkM2FQjEB4AaABAg,140,3 years ago (edited),"warning: make sure you're full enough before watching this video. 


or you'll probably get more hungry.","警告：在观看此视频之前，请确保您足够饱。


否则您可能会更加饥饿。"
33384,UgwyyTX_11oSpbqFpYl4AaABAg,139,3 years ago,"3 new videos in a week? 
wow!! i feel like i got a big diamond's ring....
thank you so much for you, grandma and your team's hard work, liziqi....
can't wait for another new video, because your videos always amazed me.
lots of love from indonesia 
❤❤❤","一周内的3个新视频？
哇！！我觉得我有一个大钻石的戒指。
非常感谢您，奶奶和您团队的辛勤工作，Liziqi。
等不及另一个新视频，因为您的视频总是让我惊讶。
来自印度尼西亚的很多爱
❤❤❤"
24279,Ugw6-Fyh1Ixq0BuXkIZ4AaABAg,125,3 years ago,"everytime i watch your video, feels like i'm on the fairytale. the water sound, the animal sound, even the tree when the wind blow it feels so real in my beside",每次我观看您的视频时，都会感觉就像我在童话中。水的声音，动物的声音，甚至在风吹时，在我旁边感觉如此真实
25611,UgyiJ3TxcwrGU9EDWlh4AaABAg,125,3 years ago,i accidentally clicked on this video ..i'm glad i did that,我不小心点击了这段视频..我很高兴我做到了
21324,Ugw6bGalG6GxpFvlT0B4AaABAg,122,3 years ago,"i am from rural china. many of the pictures in the video remind me of my life, but the clothes i wear when i was young were not so clean.
i am very fortunate to be born in rural china. although there are houses and cars in shenzhen now, i still like and miss the life in rural areas when i was a kid. ... especially in the summer, the air is cool, there are many wild fruits, and you can swim to catch fish in the clear river.
my wife always complains to me why i have to return to the remote countryside every long vacation. where did she understand that only when i returned to the countryside i was familiar with, i could enjoy the peaceful peace of mind.","我来自中国农村，视频里面的很多画面让我想起小时候的生活，只不过我小时候穿的衣服可没这么干净。
我很庆幸出生自中国农村，虽然现在在深圳有房有车了，但我还是喜欢也很怀念小时候在农村的生活。.....尤其是夏天的时候，空气凉爽，野果又多，还可以到清澈的河里游泳抓鱼。
老婆老是向我抱怨，为什么每次长假都要回到边远的农村。她哪里明白，只有回到我熟悉的农村，我才能享受几天心的安宁。"
31737,Ugy1APBoqaMkvK4EwIB4AaABAg,120,3 years ago,please english title! i always wait for your new videos!,请英文标题！我总是等您的新视频！
18717,UgzFqkSJdWbabJELw6d4AaABAg,120,3 years ago,"this is the first video i see about liziqi, oh my god, i'm totally in love.",这是我看到的关于利兹奇的第一部视频，哦，天哪，我完全恋爱了。
28545,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8z-PihOBIfu,113,3 years ago,"franz peters and she becomes much richer than u by producing videos, loser. i guess you can only speak english, i can speak more than four languages, loser.",弗朗兹·彼得斯（Franz Peters），通过制作视频，失败者，她变得比你变得比你更富有。我想你只能说英语，我可以说四种以上的语言，失败者。
23354,UgyCBlPGeBrVIIXxSlR4AaABAg,112,3 years ago,"every time ziyi watched your videos specially healed, especially in foreign countries that make people have a strong nostalgia. thank you! ""snail powder is particularly delicious""",子柒每次看你的视频特别的治愈，特别是在国外让人产生浓浓的思乡情。谢谢你！“螺蛳粉特别的好吃”
11150,Ugwvka4Yj4Kg_oibcz94AaABAg,110,3 years ago,i am watching her videos in quarantine days.. when i watch her videos i just forget what happening out side and my mind fill with peace..,我在隔离的日子里观看她的视频..当我观看她的视频时，我只是忘记了发生的事情，我的思想充满了和平。
29079,Ugy_rv69BA1VHfhSQsR4AaABAg,107,3 years ago,"hello,i'm from vietnam,my grandfather often watch your videos and he very like it. he said : "" you very beautiful and you cook very well"" .he wishes he had a peaceful life like you . love you",您好，我来自越南，我的祖父经常观看您的视频，他非常喜欢。他说：“你很漂亮，你做得很好。”他希望他过着像你一样和平的生活。爱你
9101,UgwfzJm9c_AVWwZPV694AaABAg,104,2 years ago,"she is a life artist, she make picking vegetable, cooking , so graceful and peaceful. present it so well. love to watch her video.",她是一位生活艺术家，她做菜，烹饪，如此优雅而宁静。很好地呈现。喜欢看她的视频。
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,3 years ago,"in order to write the college entrance examination composition to watch my sister's video ... i really envy my sister's life like this. after reading it, i was so moved. i was very happy to see foreign netizens' messages! intersection thank you sister for the help of spreading chinese culture, and thank you for your dreams for so many people. this may be your dream ~ i'm happy for you. thanks a lot! intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
23800,UgzDgXwbZH9f6pbHyZZ4AaABAg,100,3 years ago,"i love the way she made this video - no talking, but let the sounds fulfill screen",我喜欢她制作此视频的方式 - 不说话，但是让声音满足屏幕
17332,Ugz_7s6SA3hDL7Can_t4AaABAg,97,3 years ago,damn....this video....i order chines food after this video,该死的视频....我在此视频之后订购了Chines食物
5405,UgzopX7Yr44Dc0Gv2cZ4AaABAg,93,2 years ago,the most impressed is her knife. it appears in every video. it looks like made in qin density (2000 years ago).,印象最深刻的是她的刀。它出现在每个视频中。它看起来像是在秦密度（2000年前）制造的。
3418,UgzNKYkV0tCUPFX9ZQp4AaABAg,89,2 years ago,"every time i saw ziyi's video, i felt very calm in my heart ... this is her unique charm, right?",每次看到子柒的视频心里就觉得很平静.....这就是她独特的魅力吧
997,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9bu9UTZZM0D,88,1 year ago,i also think that no one can surpass ziyi's video works. i really want to see her new work again,我也这么觉得，没有人可以超过子柒的视频作品，真的好想再看看她新的作品
32893,Ugz3FH_-93t-gEqVUdx4AaABAg,87,3 years ago (edited),"li ziyi ~ always gives people a total fresh and refined, traditional chinese women's beauty. the image that can be great !!
please continue to cheer !! do more and more high -quality and simple chinese style videos to educate more people ~ thank you for your efforts !!","李子柒~总是给人总清新脱俗，传统中国女性的美。能干了不起的形象!! 
请李小姐继续加油!! 做更多更多优质纯朴的中国风视频，来教育更多人~ 感谢有妳的付出!!"
24114,Ugx5Uhn6MDqEgKe2x_N4AaABAg,77,3 years ago,i love your videos. they help me with my anxiety,我爱你的视频。他们帮助我焦虑
7695,UgwEHsAWBrM1DUp09dN4AaABAg,77,2 years ago,"the real question is when shes gonna drop a cookbook! every time i watch a video, i have to leave and cook something bc everything she makes looks delicious and it makes me hungry lmao",真正的问题是她何时会放下一本食谱！每次我观看视频时，我都必须离开并烹饪一些她所做的一切看起来很美味的东西，这让我饿了
22562,Ugw3kawLdFhIagmjIAl4AaABAg,75,3 years ago,"don't get it twisted they do more work in a week then most do in a year video just makes it look easy, it's not, this women is super human.",不要让它扭曲，他们在一周内做更多的工作，大多数在一年中进行的视频都使它看起来很容易，不是，这个女人是超级人类。
25343,Ugz38EA5dToJR4R-RF94AaABAg,75,3 years ago,your channel is a true gem! a diamond that shines and sparkles! i love your videos more than i can say!,您的频道是一个真正的宝石！钻石闪闪发光的钻石！我比我所说的更爱你的视频！
32287,Ugw2HubadSjHVIMlgvd4AaABAg,73,3 years ago,just make a video of how u maintain ur beautiful garden pls,只需制作一个视频，说明您如何维护您的美丽花园
31839,UgwcNqMFyyFbcw-g-Eh4AaABAg,72,3 years ago,"while i'm laying in this bed... in this boring hospital.. while watching your video suddenly my tears just fall down.. my mom ask me why i'm crying i just answered "" mom, can we visit her before i die"" my mom came and hug me while crying...... "" sure baby but promise me you need to be strong, ok"" 
"" sure mom""... 
thank you for making this movie. i really love it❤️❤️❤️ i wish someday soon i will going to be in a place like that","当我躺在这张床上...在这家无聊的医院中..当您的视频突然看我的眼泪时。死了“我妈妈在哭泣的时候来拥抱我..............................................
“确定妈妈” ...
感谢您拍这部电影。我真的很喜欢它❤️❤️❤️我希望有一天我很快就会成为这样的地方"
22664,Ugy8X7MrTe5F-llrgkp4AaABAg,72,3 years ago,"you can imagine how busy it would be, to make a such relaxing video",您可以想象制作如此轻松的视频会多么忙碌
11553,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw97v3ZT0OXyN,71,3 years ago,"riya guria after june, 2017, she hired the cameraman and a young assistant. before that, she was a one girl team and did exactly what you said to finish the shooting tasks. almost impossible while she made it with her incredible persistence. as for the proof, she showed all the raw materials on chinese webo, a chinese social media platform. one perfect scene may just come from tens of reshoots, especially when she did it alone at the time. and those early elaborate masterworks make her videos go viral.",Riya Guria在2017年6月之后，聘请了摄影师和年轻助手。在此之前，她是一个女团队，并按照您所说的完成射击任务。当她以她令人难以置信的毅力做到这一点时，几乎是不可能的。至于证明，她在中国社交媒体平台中国韦伯（Webo）上展示了所有原材料。一个完美的场景可能来自数十个重新拍摄，尤其是当她当时独自做的时候。那些早期精心制作的杰作使她的视频传播开来。
28552,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8zF7j7MJpc7,71,3 years ago,@franzpeters3824 nothing to do?... i can see she is working hard... and she posting videos which watch by over 1 million people.. and she get a pretty nice income...,@franzpeters3824无所事事吗？...我可以看到她正在努力工作...她发布了一张超过100万人的视频。
28198,UgzvUXzlx4Hpc_AfBAB4AaABAg,71,3 years ago,i wonder who makes the videos.. they have such perfect cinematography..,我想知道谁制作了视频..他们有如此完美的摄影。
3613,UgxDrz78yz2MbmuWXKd4AaABAg,67,2 years ago,hello from spain: i impatiently expected a new video you are an artist cooking and doing everything i look reflected in you i also make the arrangements of the casa del campo and the animals we live in the field and we take care of our animals that feed us. keep doing videos i really like a very strong hug,来自西班牙的您好：我不耐烦地期待一个新视频，您是一名艺术家烹饪，并做我看起来很反映在您身上的一切，我也做了Casa del Campo和我们生活在田间的动物的安排，我们照顾好我们的动物我们。继续做视频，我真的很喜欢一个非常强烈的拥抱
27148,UgyRv5uEXzE0WSsa04x4AaABAg,66,3 years ago (edited),"as far as the video is concerned: we live in the earth, princess lives in fairy tales, and you live in poetry. of course, reality is not so beautiful, but you let us experience it in the video, which is enough for our audience! thank you, come on.",就视频而言：我们活在尘世，公主活在童话，而你 生活在诗里。当然，现实没那么美好，但你让我们在视频中 体验了一下，对我们观众而言 足够了！谢谢，加油。
30749,Ugy0v6tq6tPqlR2Pldh4AaABAg,65,3 years ago,"heathy food, i guess you have a pharmacy in your garden, when someone begin to seeing your videos he can't stopped until he finish it",Heathy的食物，我想您在花园里有一家药房，当有人开始看视频时，他才能停止，直到他完成它
12364,UgygGphu6PgOX7YaItl4AaABAg,64,3 years ago,how do you even dislike these videos they are literally a grace from god,您甚至不喜欢这些视频，它们实际上是上帝的恩典
