,cid,votes,time,含wow,含wow中文翻译
31540,UgwAujlrORFp_eu4JBh4AaABAg,3,3 years ago,"wowww always your food is delicious and excellent i love all your videos such a beautiful house and beautiful landscapes that always accompanies music always your videos transmits me peace, tranquility and harmony always so cute and kind with your sweet grandmother how cute you look together in that beautiful house that looks like a fairy tale i admire you a lot thanks for some very beautiful videos this girl impresses me more every day, knows how to do everything and works hard i admire her a lot i love you friend greetings from spain
","WOWWW总是您的食物美味，很棒，我喜欢您的所有视频，如此美丽的房屋和美丽的景观，总是伴随音乐的视频，您的视频会传递我的和平，宁静和和谐总是如此可爱和友善，与您甜美的祖母一起友善，您可以在那样的可爱在一起看起来像童话的美丽房子，我非常佩服你，谢谢你的一些非常漂亮的视频，这个女孩每天都给我留下更多的印象
"
14443,UgwBBS-lDYxOdFh-KFl4AaABAg,3,3 years ago,wow...i’m in impressed. it looks so magical. amazing beautiful!,哇...我印象深刻。看起来很神奇。令人惊叹的美丽！
29489,UgwjnQM9l_qyJwn9K914AaABAg,3,3 years ago,"wow, love this video remind me of my childhood",哇，喜欢这个视频让我想起我的童年
19042,UgzCIsvjP7T0N5d3O-54AaABAg,3,3 years ago,wow that lifestyle is so beautiful i wish i could live that life surrounded by beautiful nature and beautiful wife away from all the negativity of the world,哇，这种生活方式是如此美丽，我希望我能过着被美丽的自然和美丽的妻子所包围的生活，远离世界的所有消极情绪
935,Ugzj3mOdBOjHgbn6Wr94AaABAg,3,1 year ago,wow! ziyi has a big bamboo shoots so big! grandma's smile is really cute with zi yan!,哇！子柒自己种的山笋好大一颗喔！奶奶的笑容陪伴着子柒真的很可爱喔！
5676,UgwoVwKtjWAhazfBoyp4AaABAg,3,2 years ago,wowwww look nice place n verry delicious ur food n presentation..i like your style๐,wowwww看起来不错的地方n verry美味的食物n呈现..我喜欢你的风格
4152,UgwZQZ1L6Qd2jr-spa94AaABAg,3,2 years ago,"wow. wonderful, i love to see you when you are working, you are a wonderful girl, i wish for you to succeed with my regards and my love for you to follow you from iraq.",哇。太好了，当你这样做时，我很喜欢见你。
28512,UgzIlPfMgT8UA49gInF4AaABAg.8yY8UP_8odR8yaAqhD0sY_,3,3 years ago,@frankhsu7344 wow. people really ruin stuff.,@frankhsu7344哇。人们真的毁了东西。
29189,UgzdaeDTZhLXSrxonp94AaABAg,3,3 years ago,"wow, the fairy is here
my hands are too bad and i can't do anything
who is taking pictures of the video?
too pretty ❤️","哇，仙女在这里
我的手太糟糕了，我什么也没做
谁在为视频拍照？
太漂亮了❤️"
24623,UgzxqrM7qB7raqvHyn94AaABAg,3,3 years ago,webkingston company views - wow i love this woman. she beautiful and kind wow if i find this woman i love here' more than and my company.,Webkingston公司的观点 - 哇，我爱这个女人。如果我在这里找到我爱的女人，她比我的陪伴更美丽而善良。
23891,Ugz5VVNjAvtGED9UzlN4AaABAg,3,3 years ago,wow nice vedio i'love the nature hope someday i came that pls pls sponsor me,哇，尼斯·韦迪奥，我爱大自然，有一天我来了，请赞助我
11482,UgzR0OW8k9dCN0m1oNJ4AaABAg,3,3 years ago,wow...i'm new to this channel and you are so beautiful and talented. i enjoy your videos and food. i love your culture and country. so so beautiful !,哇...我是这个频道的新手，您是如此美丽和才华。我喜欢你的视频和食物。我爱你的文化和国家。如此美丽！
24316,Ugys0uBN-NXOjdqx8tB4AaABAg,3,3 years ago,"wow, spicy. essence essence essence i love spicy food, and my saliva has flowed out",哇，辣的。 。 。 。我超爱吃辣，口水都流出来了
13948,UgxoDmuQ3i_a1fGSzeN4AaABAg,2,3 years ago,"wow, it's really all -round",哇，实际上是全部 -
4128,UgwHheqfR31l6sGOhfN4AaABAg,2,2 years ago,"wow, it's natural",哇，很自然
6269,UgwFw7cBzy5eMiqWy2h4AaABAg,2,2 years ago (edited),"wow!!! thats my favorite bamboo shoots in the philippines.
islang in bicol term
#lets hug each other small youtuber here(:","哇！！！那就是我在菲律宾最喜欢的竹芽。
iSlang in Bicol术语
#lets在这里互相拥抱小YouTuber（："
14064,UgwMMchXSHiNr6Dp4714AaABAg.94X-OXeU5p894kNfABM8qB,2,3 years ago,"wow wow wow....come on, man..!",哇，哇....来吧，伙计..！
14110,Ugz2oZtI38Qv7E9a8w14AaABAg,2,3 years ago,"wish i knew what sum of her ingredients she uses. she's beautiful, intelligent and independent, jus wow! her camera operator is awesome as well, that out of focus shot at the end is masterful. great vid!!",希望我知道她使用的成分总和。她美丽，聪明，独立，jus哇！她的相机操作员也很棒，最后拍摄的焦点很精通。很棒的vid！
31280,UgzKbjbciWq_U6Pq7yF4AaABAg,2,3 years ago,"after watching this episode, my tears are almost falling. i was also a person who could eat snail powder before! however, after moving abroad, the appetite gradually faded due to conditions and environmental reasons. a year ago, i flew back to china while holidays, thinking about eating snail powder, but once, i was spicy enough to use half of the box to draw paper + diarrhea. now there is no condition to eat (whether it is objective or subjective). wow wow wow wow, making sad crying.",看完这一集我眼泪都快落下来，之前我也是能吃螺蛳粉的人！但在搬到国外后因为条件和环境原因胃口渐渐变淡，现在连辛拉面(方便面)都吃不了。一年前趁放假飞回中国，心心念念想着要吃螺蛳粉，结果就那么一次，我被辣到用完大半盒抽纸＋拉肚子。现在想吃也没条件了(不管是客观还是主观的原因)。呜哇哇哇哇哇，发出悲痛的哭嚎声。
29441,UgzSke45zDzA_f0zEHB4AaABAg,2,3 years ago,"wow, a picturesque nature, god willing",哇，风景如画的天性，上帝愿意
14997,Ugy6PrxqWKGEd3ZtPut4AaABAg,2,3 years ago,"wow, she can literally transform any raw material into something delicious and appealing to the eye... yummy!!",哇，她可以从字面上将任何原材料变成美味的东西，对眼睛的吸引力...好吃！
6023,Ugz_EGAhpDoQTcyVPS14AaABAg,2,2 years ago,"wow, well, i have seen a few.of your videos, i am utterly stunned at your skill, and beauty. thank you very much for sharing with the world.",哇，好吧，我看过几个视频，我对您的技巧和美丽完全震惊。非常感谢您与世界分享。
7117,UgxBR9hm-8B_4drCP-R4AaABAg,2,2 years ago,"wow, this looked really magical",哇，这看起来真的很神奇
7596,UgyfwqgqwceapZFb78R4AaABAg,2,2 years ago,"wow, this is so similar with my tradition!!!",哇，这与我的传统非常相似！！！
32850,UgzmoSiBJm372qxQoQp4AaABAg,2,3 years ago,"wow... my day nite wud finished with you liz
biggest fan of you .. pls give oke chance to visit you r place and have lunch with you 
from india","哇...我的一天nite wud和你结束了
您的最大粉丝。
来自印度"
25636,UgzRm3TSbebVHhoDTtN4AaABAg,2,3 years ago,wow wow & wow..... i have no word to say. your new friend here.❤❤❤,哇，哇.....我无话可说。你的新朋友在这里。
32227,UgyadoOTI2fraLkpbW14AaABAg,2,3 years ago,"wow xiaoqi's device is really careful
can capture the slow lens of the water frog

your fans really want to be in the mountains
don't hurt your feet in a shoes to protect your feet","Wow 小柒的设备真的用心 
能顺间捕捉水蛙的慢镜头 

妳的粉丝真心希望在山采时
要穿个鞋子保护脚 别受伤了"
3445,UgzWLZJR7u3fs9so9G94AaABAg.9OLD3HXAE3r9PHT9QLdt6e,2,1 year ago,"wow, i love ksks, her videos brings me a peace, a very good vibe!",哇，我爱KSK，她的视频给我带来了一个和平，一个很好的氛围！
24289,UgypzaPOZRvfsC_Xnm14AaABAg,2,3 years ago,wow what a wonderful cool lifestyle is why these oriental asian women are so beautiful wonderful,哇，真是一种美妙的生活方式，这就是为什么这些东方亚洲妇女如此美丽的奇妙之处
982,UgxjOeil4Ti0KsFr1N94AaABAg,2,1 year ago,wow what a healthy food i just loved it♥️,哇，我只是喜欢它的健康食品♥♥
8013,UgyCh5Zw4_5ZLUwk9PR4AaABAg,2,2 years ago (edited),wow!thats cool the shape of that so cool๐ค—,哇！那很酷的形状很酷
11926,UgxOPdfkgxROJLP3RcJ4AaABAg.976j6BZrFRh97iP2gxX-Vy,2,3 years ago,"after 00, the elementary school girl, cheer, wow, the passing senior expressed envy of you, come on! ~",00后小学弟小学妹加油哇，路过的学长表示羡慕你们，加油！~
13245,UgwTmcPvp9pjdCl6PCd4AaABAg,1,3 years ago,wow is so beautiful,哇好漂亮
11900,Ugya59lE4NmgwnvsByh4AaABAg,1,3 years ago,wow,哇
29253,UgzAq4wIvKpcA9DZxt54AaABAg.8yXMamV9ZC48ycHQLaktGj,1,3 years ago,"wow, it's similar, in indonesia we called that rebung.",哇，这是类似的，在印度尼西亚，我们称之为重居。
11755,UgyUKntNva6RIEK3pOd4AaABAg,1,3 years ago,"woww,that's my favourite food item❤️",哇，那是我最喜欢的食品❤️
6257,Ugwngm74kdAPDsu05KZ4AaABAg,1,2 years ago,wow good job๐ผ๐ฆ๐’•๐’๐ธ๐บ๐นโค๏ธ๐‘๐ปโจโ๏ธ๐๐ท๐ป๐,哇好工作
9464,UgwVthmqOSHZqtB5m314AaABAg,1,2 years ago,"wow you are very great and amazing, you can make very delicious food, you eat with your parents, in my place young bamboo is called rebung, on the second day you also make food that is no less delicious and you serve it to your parents, me really really like your video, greetings from indonesia, i like 477, i pray that your mother is always healthy",哇，你很棒和很棒，你可以做非常美味的食物，你和父母一起吃饭，在我的家中，年轻的竹子叫雷恩，第二天你也做的食物也很美味，我真的很喜欢你的视频，印度尼西亚的问候，我喜欢477，我祈祷你的母亲总是健康的
24850,Ugyt2ChOd652Sd5SuNh4AaABAg,1,3 years ago,wow...so damn good...love from india,哇...真是太好了...来自印度的爱
23823,UgypUsjT0Uy2CUwFzqR4AaABAg,1,3 years ago,wow,哇
10958,UgyZgsmniW8OxLCWvLt4AaABAg,1,3 years ago,"yummmmeee! wow! i live in liuzhou a few months a year and ""lousifen"" at the yellow restaurant is my all time favorite. i miss that meal!",Yummmmeee！哇！我一年几个月住在刘州，而“ Lousifen”在黄色餐厅一直是我的最爱。我想念那顿饭！
10853,UgwszvdGkl5cWbeJlMx4AaABAg,1,3 years ago,wow,哇
9930,Ugz7nqMl2Z4akpECoAh4AaABAg.99M9Z9YChfd9AMXIqB61W7,1,2 years ago,"iโ€m so sorry if anyone feels offended. i think iโ€ve chosen the wrong emoji. what i meant was โ€wow sheโ€s tough and amazing ๐คฉโ€ 
while the 2nd line means i am not used being barefoot like that i donโ€t know what i step on iโ€m afraid of worms or something like that and it would feel a little uncomfortable at first.","如果有人感到生气，我很抱歉。我认为我选择了错误的表情符号。我的意思是“哇，她坚强而令人惊叹
虽然第二行意味着我不像那样赤脚，但我不知道自己踩什么，但我害怕蠕虫或类似的东西，一开始会感到有些不舒服。"
10202,UgxbtMjMG0WcZeZHaVd4AaABAg,1,3 years ago (edited),i am curious who is shooting this while she does activities? if it’s her i am absolutely empresses with her cinematic scope!! what can’t she do? wow you are a superwoman!! and your grandmother’ hero!! one can only hope to have a child / grandchild this talented.,我很好奇谁在做活动时正在拍摄这件事？如果是她的话，我绝对是她的电影范围！她不能做什么？哇，你是一个超级女性！还有你祖母的英雄！一个人只能希望有一个有才华的孩子 /孙子。
24438,UgyI8NoCPH0vb1MxbkJ4AaABAg,1,3 years ago,"wow amazing cooking skills beautifull scenery
mouth water recipesthanks for shareing","哇惊人的烹饪技巧美丽的风景
口水食谱共享"
10809,UgwlCZW2gd-NYZQd6d54AaABAg,1,3 years ago,saw first time ... watching her vdo’s non stop now ... before watching feeling not good upset and after her vdo’s am feeling sooo good and thinking yes i can do my household work am energetic now ... lethargic to energetic wowww.....,第一次看到...现在看着她的vdo现在不停了...然后看着感觉不好，在她的Vdo感觉很好，并认为是的，我可以做家务活动，现在可以做到……昏迷的wowww .. ...
29241,UgxXNs2BnJ0zfVjLgfZ4AaABAg,1,3 years ago,wow she should be replaced in 5 stars hotel,哇，她应该在5星级酒店被替换
23286,Ugxe5e3fIautK1xmID14AaABAg.8zmp2MZnUA68zt2CGRKATa,1,3 years ago,@mj-dh6pu wow. what a lady☺☺. superb.,@mj-dh6pu哇。真是个女士。高超。
29236,Ugz9IdJCDGLMEZnQ3B94AaABAg,1,3 years ago,wow good,哇好
22435,Ugx0y03yQ2qO15UdrSR4AaABAg,1,3 years ago,oh my god it's really really amazing and your place wow wow wow wow,哦，天哪，这真是太神奇了，你的地方哇，哇哇
13786,UgwjVPb7r_ckIZr_z_h4AaABAg,1,3 years ago (edited),"wow i love that in my country we called that tambo. i cook that with saluyot and coconut milk. with shrimp...

","哇，我喜欢在我的国家，我们称之为Tambo。我用saluyot和椰奶做饭。用虾...

"
27711,UgzX9ow_xBdXZ26fYb54AaABAg,1,3 years ago,wow it is my dream to live a simple life just like her,哇，我的梦想是像她一样过上简单的生活。
7228,UgzPWOxGEdFoFoacl7t4AaABAg,1,2 years ago,wow storge girl right every on if a am right please like this comment,哇，斯托尔·女孩，如果是正确的话，请像这样的评论
27047,Ugx3chwJX-2F0jltdHd4AaABAg,1,3 years ago,wow wife ideal banget,哇妻子理想班泰特
23095,Ugzr4pAqxjPaqnsEdHh4AaABAg,1,3 years ago,wow，it's gorgeous! i love this lifestyle!,哇，太漂亮了！我喜欢这种生活方式！
22117,UgyEoB_3u-u2gu5hxwB4AaABAg.9-DULagrwm89-kNd6zSqRF,1,3 years ago,laoziagainstthemachine wow! it's moon represents my heart. very famous chinese song!,LaoziAgainstTheMachine wow!It's 月亮代表我的心. Very famous Chinese song!
12888,Ugw5VrRGjscw-VcVjL54AaABAg,1,3 years ago (edited),wow!!! it is delicious to dry it. thank you for the video,哇！！！干燥它很美味。谢谢你的视频
6632,UgxyAAkKZUt-kfiqfMZ4AaABAg,1,2 years ago,wow she is the best video ever!!!!!!!!,哇，她是有史以来最好的视频！
23116,UgyXwbl95V1jxwTru-V4AaABAg,1,3 years ago,"wow, grandma has a big appetite ,they should open up a bed and breakfast.",哇，奶奶的胃口很大，他们应该打开床和早餐。
7891,UgwXvwYbi6BnuOLeA2R4AaABAg,1,2 years ago,wow ! i feel like i've been in medieval china.,哇 ！我觉得我去过中世纪的中国。
14084,UgwBKgrO_81zWwSyF_54AaABAg,1,3 years ago,wow i’ve never seen a bamboo that huge in my life....,哇，我一生中从未见过竹子。
25837,UgwbQP7ThXf5Bt_4wuh4AaABAg,1,3 years ago,wow yummy and beautiful village please try indian dishes from india,哇，美味而美丽的村庄，请尝试印度的印度菜肴
23282,UgxOLqCoVPoXz-_wmiV4AaABAg,1,3 years ago,wow so organic.....i really want to live like this,哇好有机.....我真的很想这样生活
28746,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9691nemFwa2,1,3 years ago,@franzpeters3824 wow try learning manderian,@franzpeters3824 WOW尝试学习Manderian
80,UgyLmaByuMxpH9YfDDJ4AaABAg,1,2 weeks ago,wow girl you are really cute marry me i'll take care of your family too,哇，你真的很可爱嫁给我，我也照顾你的家人
24340,UgzZogxeE0P2SzNkS7d4AaABAg,1,3 years ago,wow,哇
14777,Ugw2QfIAFCsBFVXENsZ4AaABAg,1,3 years ago,"i can tell by her hands.she is a hard working princess!!!!wowwwwww
make me chill♡","我可以用她的手告诉她。她是一个努力工作的公主！
让我放松♡"
5115,UgyWlq1Hd8N_ShkWN7t4AaABAg,1,2 years ago,wow nyc natural vegitables,哇，纽约天然蔬菜
33052,Ugwbq6sJ-mAR2gbcvIl4AaABAg,1,3 years ago (edited),"wow, liziqi i love that recipe, thanks!
you know what we also have that here in the pilippines which we call tabagwang in the bicol region.
but in tagalog it's called susò.
we normally cook it with coconut milk and other green leaves (could be ferns, and many others which are compatible with coconut milk.)
raw jackfruit, green papaya, and string beans. hope you try these ones and let us know how much you enjoyed it. :)
be blessed!","哇，liziqi我喜欢那个食谱，谢谢！
您知道我们在Pilippines的这里也有什么，我们称之为BICOL地区的Tabagwang。
但是在他加禄语中，这就是苏苏。
通常，我们用椰奶和其他绿叶（可能是蕨类植物，还有许多与椰奶兼容的其他叶子。）
生菠萝蜜，绿色木瓜和血豆。希望您尝试这些，并让我们知道您有多喜欢。 :)
祝福！"
32582,UgxM9tStLii9n8zx-dp4AaABAg,1,3 years ago,wow ~ **,哇〜**
20896,UgzYeKuFdtxFvbEjcQF4AaABAg,1,3 years ago,wow you sart,哇，你拉了
2581,Ugy9P87lbDeppHYf9JJ4AaABAg,1,1 year ago,"wow okay ,,, greetings from indonesia",哇好吧，来自印度尼西亚的问候
16278,UgwsPwFlu7QXKNdvYPR4AaABAg,1,3 years ago,"wow , thank you youtube algorithm",哇，谢谢YouTube算法
20336,UgxYesoD3KIL41HGiNx4AaABAg,1,3 years ago (edited),wow! she makes hard work look so easy! i know it is delicious. what area are you in?,哇！她使辛勤工作看起来如此简单！我知道这很美味。你在哪个区域？
4046,UgxpcDvtnQ5hvUQgre94AaABAg,1,2 years ago,wow. what. shout,哇。什么。喊
21238,UgyMxVRrBQ-ZB43UCU94AaABAg,1,3 years ago,"wow, you're making beautiful and you deserve the support of 
music + photography + place 
✔️♥️","哇，你变得美丽，你应该得到
音乐 +摄影 +地方
✔️♥谢"
34302,UgxMz-P2FPnKIpYyI2h4AaABAg,1,3 years ago,wow giant big bamboo shoots,哇巨型大竹芽
34396,UgzymzM30h1WGcSyyo54AaABAg,1,3 years ago,wow nice...,喔不错哟...
4449,UgwA0YJbcqg55c4CukB4AaABAg,1,2 years ago,"wow, let's take a look at this video of more than 50 million playback volume. ziyi is really a miracle.",哇哦，我来看看这条5000多万播放量的视频，子柒你真的是个奇迹呀。
4651,Ugz8lOsjLS00xeNElp54AaABAg,1,2 years ago,wow,哇
15540,UgycChJkGhQihDEaTX94AaABAg,1,3 years ago,"wow, everything is comfortable video.
","哇，一切都是舒适的视频。
"
18227,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92gE58Xy5cD,1,3 years ago,"have you ever tried chinese food? i visited china, actually i can not eat almost their food, excluding dimsum. too much oil and too spicy. before i visited there, i had watched every video of this chanel and thought, wow look so delicous. but reality....",你曾经尝试过中国菜吗？我去了中国，实际上我几乎不能吃他们的食物，不包括迪姆斯。油太多，太辣。在我访问那里之前，我已经观看了这个香奈儿的每一个视频，并想到了，哇看起来很美味。但是现实...
15147,UgxyHRrQyFjENdn7BkV4AaABAg,1,3 years ago,wow i legit found something legit...new sub...,哇，我合法找到了合法的东西...新的sub ...
20109,Ugx8r8d5mopheR0tHoJ4AaABAg,1,3 years ago,wow wish l can have you food,哇，希望我能给你食物
