,cid,votes,含wow,含wow中文翻译
44725,UgwmMM5jCjZBbP14M8x4AaABAg,0,wow ilove all you did happy new year and always be happy,哇，你们所有新年快乐，永远快乐
44720,Ugx_YIkeimUN49jEuP54AaABAg,0,wow your look so pretty,哇，你的外观真漂亮
44694,Ugw8nHiAK0QYlK9Aufd4AaABAg,0,woww i love china . can you write tge recipes?,哇，我爱中国。你可以写TGE食谱吗？
44258,UgyQ9EF4hLJ3Kj5aNvR4AaABAg,0,"wow, i fell in love with you",哇，我爱上了你
44281,UgzmSieNTF446GIPMVF4AaABAg,0,"it felt like i was watching a movie, wow.",感觉就像我在看电影，哇。
44289,UgzibZh3ksfA_KK0Pfx4AaABAg,0,"wow! the quality is super! everything's perfect. 
new subscriber here.","哇！质量是超级！一切都是完美的。
这里的新订户。"
44343,UgwdGDcfoMumHLxXNKN4AaABAg,0,wow,哇
44347,UgzSYJXH7lcibe36RCd4AaABAg,0,wow....i'm gonna make a ham cheese sandwich...,哇....我要制作火腿奶酪三明治...
45906,Ugx4ayvdhZrryK0q_T14AaABAg,0,wowww,哇
45631,UgwpdgOToXDxtVLXmyN4AaABAg,0,wow this video was amazing! first one i've ever seen from this channel. thank you youtube for this recommendation!,哇，这段视频很棒！我从这个频道见过的第一个。谢谢YouTube的建议！
44385,UgwZtS0tNraZH_srgo14AaABAg,0,wow... this is fresh content. asmr-calming and just satisfying? how do i describe this. it's like a high quality movie production! this is better than a documentary! is this like a calming vlog-cumentary??? i love this but idk how to describe it,哇...这是新鲜的内容。 ASMR镇压和令人满意？我如何形容这个。就像一部高质量的电影制作！这比纪录片好！这就像一个平静的视频博物馆纪录片吗？？？我喜欢这个，但是idk如何形容它
45596,UgzpXlsgXnpX8N-hDwJ4AaABAg,0,"wow, how to make a popcorn is the same as you saw in the market when you were young.",哇，如何制作爆米花与您年轻时在市场上看到的相同。
45547,Ugw_d_N0e6iGN_XU7El4AaABAg,0,"wowww... what a beautiful place!!!
very much relaxing vdo to watch...","哇...多么美丽的地方！！！
非常放松的VDO观看..."
44411,Ugx8x4gY71ZJsnOfOQN4AaABAg,0,wow,哇
44417,UgxEX98mCbvdmdCl6AR4AaABAg,0,fairy garden wowww,仙女花园哇
44427,UgzJ-9O9X5AgDl3aw4Z4AaABAg,0,woww yummy,哇好吃
44439,UgxskgsL2owIwJJ9QXp4AaABAg,0,wow,哇
44450,UgzgMNvE1MH0XO8LFTZ4AaABAg,0,woww the first time i know ' holo candy' make from ^^ sr,哇，我第一次知道'Holo Candy'从^^ Sr
44491,UgyXyMxXXOEy2QD9kmt4AaABAg,0,wow very nice & i appreciate your hard work keep it up & and chinese people,哇，非常好
44524,Ugz2IeEl6HoN0SmUtmB4AaABAg,0,"wow, i saw li ziyi on youtube",哇塞居然在YouTube上看到李子柒
44553,Ugwo9_ZgZ-XYEmAFV394AaABAg,0,wow it's really amazing,哇，真的很棒
44554,UgzJv4-NtIC05JyHscV4AaABAg,0,wow,哇
45503,UgzA7INXPVbEGzM8JTV4AaABAg,0,wow,哇
44606,UgyVUylcNI_lbyLexvl4AaABAg,0,wow! my chinese princess cooked up a storm of fruits and nuts!,哇！我的中国公主煮了一片水果和坚果的风暴！
44608,UgxwmM1A4ipd8oxM7up4AaABAg,0,wow great!! :),哇，太好了！ :)
44634,UgzB92aBu1Uow9qGNot4AaABAg,0,wow!!! the original air fryer! lol,哇！！！原始的空中油炸锅！哈哈
44659,UgxprQVWY_TvSZXFGZN4AaABAg,0,"wow she's adorable to watch. very energetic and responsible in doing her works. and much lovable too
may god bless her and fulfill all her wishes..","哇，她很可爱。非常有活力，负责做她的工作。还有很多可爱的
愿上帝保佑她并实现她所有的愿望。"
44663,UgwHBfKtvqpmjC5J1mN4AaABAg,0,wow beautiful,哇好漂亮
42267,Ugy2S6chmmzyfl34E1x4AaABAg,0,wow,哇
46809,UgwQPjLnxp8SJPci7_14AaABAg,0,wow amazing. i want to live there ❤,哇，太棒了。我想住在那里❤
42261,UgwsL1vhmu7sB-yrNn14AaABAg,0,wow,哇哦
40385,UgwrVybKSDxe4I5a_zR4AaABAg,0,wow,哇
48046,Ugyg10zHPzWiJ4XJcnh4AaABAg,0,wow..wow..wow,哇哇哇
39964,UgwZUrRqKZYj4fejDMh4AaABAg,0,"wow, you are a hard working woman",哇，你是一个勤奋的女人
48020,UgwmbUBCVrjc7AY-Wrh4AaABAg,0,wow ... you do it so well,哇...你做得很好
40038,UgxG80g5j5HZZeg2wxZ4AaABAg,0,dude... this woman is so... wow,杜德...这个女人是如此...哇
40102,UgxFntYKGgCUIJYWg-d4AaABAg,0,wow,哇
47903,UgyXyZUTlMrPFK1lY2J4AaABAg,0,wow you are amazing,哇，你很棒
40124,UgwwRhjXP6w_jqsJH4l4AaABAg,0,wow its beautiful,哇，它美丽
40148,UgwK9wIHs1_-1BlPDiR4AaABAg,0,wow,哇
40227,Ugz2vfeimtrWNg1Rp254AaABAg,0,wow,哇
40228,UgzvpUgTeXoneUWs-j94AaABAg,0,wow amazing,哇，太神奇了
40273,UgzyhQ21HMD273d7T594AaABAg,0,wow i want those meals,哇，我想要那些饭
40359,UgyeeRU4FUVqFTAU7-14AaABAg,0,wow......,哇......
47878,UgxaPZYDtPioOyq09794AaABAg,0,wowwwww,wowwwww
42164,UgzK_HLv1UDQXg54aPZ4AaABAg,0,how can i get this amazing food to me??? can that amazing woman send these to europe? wow wow,我怎么能给我这个惊人的食物？？？那个了不起的女人可以把这些送到欧洲吗？哇
47796,UgwzNE0o7hgohQPIuOp4AaABAg,0,wow so much food,哇，这么多食物
47781,UgzxW5FrYSuk_xViRdR4AaABAg,0,wow i like ur video its verry fantastick,哇，我喜欢你的视频，它的verry幻想
40409,UgwadtPOiQr_k0Pc5_l4AaABAg,0,wow awesome and beauty,哇很棒和美丽
47750,Ugwi22OY8j4CuHPJQOx4AaABAg,0,wow. thanks god youtube recommend your video on me.. i've watch your videos on facebook and i can't search you on you tube because its in chinese writing.. i really love your videos..its very amazing unique.... i'm from philippines...,哇。谢谢上帝youtube推荐您的视频。我在Facebook上观看了您的视频，我无法在您的管子上搜索您，因为它是中文写作的..我真的很喜欢您的视频..它非常了不起。我来自菲律宾...
47748,UgwW6dlvIPSrgRY--Sd4AaABAg,0,ohhhhhhhhhh wow those ladies apple are delicious very expensive here canada,哦，那些女士苹果在加拿大非常昂贵
47694,UgzY5a8fRER_8eXRHg54AaABAg,0,"what does liu shuren say? wow, this is too good .jpg",刘树人怎么说？ 哇这也 太牛了吧.jpg
40480,UgwdMzwWEK0R7_tB8Xl4AaABAg,0,wow,哇
40521,UgwYFNLY7EACTcunawV4AaABAg,0,"wow, if you come out of this three or three meals, it will be awesome ..",哇，如果您从这三餐中出来，那将太棒了。
47648,UgxecQNoaWyilEDTOcd4AaABAg,0,"wow, such a nature rich and beautiful land.",哇，如此丰富而美丽的土地。
40551,Ugzsa4nNIjXhRoGvjzV4AaABAg,0,wow i like. from indonesia. thank you.,哇，我喜欢。来自印度尼西亚。谢谢。
47548,Ugwamus_Wniy2hS0_Zx4AaABAg,0,"clean environment, peace place, sweets organic fruits wow",干净的环境，和平的地方，糖果有机水果哇
47429,Ugw0MGWDgEo7dzOmG-54AaABAg,0,wow,哇
39959,UgzSKE0kBywpGs59Hep4AaABAg,0,wow๐ฐ๐ฐ๐๐๐๐๐,哇
39950,Ugy5FhMH24Xm_EnqmDx4AaABAg.8sf38g003e_8sk6D_Azl0m,0,"@shenshenh8176 wow, i love china although i have never gone ๐ง๐ท๐’",@shenshenh8176哇，我爱中国，尽管我从未走过
48133,Ugy-dB8DVJMs9brZzrV4AaABAg,0,wow! those sunflower seeds are gigantic! :o <3,哇！那些葵花籽是巨大的！ ：o <3
39941,UgxzrQyhbf8fwHi-NNZ4AaABAg,0,wow,哇
39199,UgyXlBz_v_i-IwoNNxR4AaABAg,0,wow those all looked so amazing,哇，那些看起来很棒
39263,UgzTQTRWdd1C8LLGRTd4AaABAg,0,wow! :),哇！ :)
39301,UgxAgdeK6gXvsYbsaGl4AaABAg,0,wow this lady is amazing.,哇，这位女士很棒。
39404,UgyzWG8NgZvpMrjN1dh4AaABAg,0,wow. im very impressed. she's different from a lot of millennial girls.,哇。我印象深刻。她与许多千禧一代的女孩不同。
39451,Ugxv76gx9Wi1Lrhd2Ut4AaABAg,0,wow,哇
39501,UgwajVZPwcGMC1THFv94AaABAg,0,"wow, i felt like ๐๐๐ง๐ท๐ง๐ท",哇，我觉得自己像
45025,UgxgBiADK7vOyCl6n-V4AaABAg,0,wow,哇
48368,UgwXXoyLYDN7f1PyB_B4AaABAg,0,wow,哇
39570,Ugw2z9uzwA0UrLiK_Al4AaABAg,0,"wow, it's very fast for us",哇，对我们来说很快
39574,UgwB37sLUdYtHWtzN9V4AaABAg,0,wow the girl is beautiful,哇，女孩很漂亮
39578,Ugw7MAyS9O3HJlEWct94AaABAg,0,wow,哇
39598,Ugy4_WGvLixaxvcvEXl4AaABAg,0,wow!,哇！
39628,UgxEXZ9sBino5k84OY14AaABAg,0,just woww sis๐’–,只是哇
39645,Ugwe-uPsTpSxn3L5MER4AaABAg,0,"wow woman just wow!!!
completely mesmerized ๐
i can watch her cook and do things all day long ๐คฉ","哇，哇！！！
完全迷住了
我可以看她做饭，整天做事"
39730,UgyvG6eSh1ZDdNn070h4AaABAg,0,wow :) amazing! everything looks really good.,哇:)太棒了！一切看起来都很好。
39738,Ugw2IxWzLxB8OUWUfGx4AaABAg,0,"i dont know who produces these videos but, wow it is so much more than a cooking show",我不知道是谁制作了这些视频，但是，哇，这不仅仅是一个烹饪表演
39746,UgzYvSZD3dehT58Gqz94AaABAg,0,wow ... it's the same as korea,哇...和韩国一样
48318,Ugw1RLr12Hb_0CtZl6h4AaABAg,0,"wow, this is amazing, everything you need is around your house",哇，这太神奇了，您需要的一切都在您家附近
39786,UgzGx76IQ0wKI6ETnBJ4AaABAg,0,wow i wish i could live with them for a while๐,哇，我希望我能和他们一起生活一段时间
48249,UgyFkob5ISZyz09SXJd4AaABAg,0,wow wow very impressive. she is like marie kondo and martha stewart combined. hope someone guides her and mentors into the right direction.,哇，令人印象深刻。她就像玛丽·昆多（Marie Kondo）和玛莎·斯图尔特（Martha Stewart）合并。希望有人指导她并指导正确的方向。
39790,Ugw1MGYbjTlZjtxW86d4AaABAg,0,"wow wow wow !!!
super 
extra 
beautiful 
๐‘โค๐","哇哇哇 ！！！
极好的
额外的
美丽的
"
48240,Ugyrp47Ji9ioceQ-OPF4AaABAg,0,wow you know you are great taking care of your grandma,哇，你知道你很高兴照顾奶奶
39823,UgzXUhUoKEOUV9mCuih4AaABAg,0,wow,哇
48228,Ugw1YlOh4rOQ0fiBBLJ4AaABAg,0,"wow,very good ,i like you",哇，很好，我喜欢你
48202,UgySClifE5XgQy7IDWB4AaABAg,0,where can i buy it ~~ wow wow ~ the saliva is dripping down,要在哪里买呀~~哇哇哇~口水都滴下来了
40742,UgyCuH4mYWVq4e_7bwh4AaABAg,0,wow so amazing,哇，太神奇了
40744,UgzZ3CVFDZw15lHEyG54AaABAg,0,oh wowwww,哦，哇
47423,UgyKjvyuRdu-vr7deQ94AaABAg,0,"wow i have never seen this kind of popcorn machine , & i also love your all desert that you make today ...you just perfect for all kind of things.",哇，我从未见过这种爆米花机器，
41471,Ugyil1FwoCwdAwGmkgR4AaABAg,0,"wow!!! i love you , you are very strong ,but are you beautiful !!you are really !!! you are wonder woman thank for you videos!!!!",哇！！！我爱你，你很坚强，但是你是美丽的！你真的是！！！你是神奇女侠，谢谢你的视频！
47007,Ugw9oRPKcAgIjVZwW9p4AaABAg,0,"wow , your popcorn is really popping",哇，你的爆米花真的在爆炸
41603,Ugy3eNQGJbjsSG0M-RN4AaABAg,0,"wow, food looks delicious!",哇，食物看起来很美味！
41616,Ugx3lVHp7Bz2nMU50Xt4AaABAg,0,"what a beautiful lifestyle, this is how we all could live,wow!!!!",多么美好的生活方式，这就是我们所有人都可以生活的方式，哇！！！
41619,UgwW0aorn73pM2scHL54AaABAg,0,wow... m speechless.. is there anything she can not do,哇... m无言..她做什么她不能做的
41663,UgxP_Cj06aZmLa2bSqp4AaABAg.8ruzrnHtE3L8s9JRTa9hJ7,0,wow really. so she doesn’t really live out in the country?,哇塞！真的么。所以她并不是真的在乡下生活吗？
41718,UgzBrpUdU1y9Uw9mhlR4AaABAg,0,wow i envy everything about her,哇，我羡慕她的一切
41728,UgxZ5wZurjQVcvsDAs54AaABAg,0,wow,哇
41813,UgyWa4ZYgsC9abBV5C14AaABAg,0,wow ho love this .........i wish,哇，我喜欢这个.........我希望
41867,Ugy1OfuJWrdLq6Zm5v14AaABAg,0,wow!!! i want to live there.. so refreshing❤️..,哇！！！我想住在那里..真是令人耳目一新。
41880,UgxQaEbCg-KdH60gQIZ4AaABAg,0,wow ! i cried of happiness !,哇 ！我哭了！
46990,UgzuMf3omjT_YgrVKB94AaABAg,0,wow,哇
46984,UgxQz2oVCdjru9H7gJB4AaABAg,0,"wow, you are a great sister",哇塞，你太棒了妹妹
41916,UgyRAj2bFvQpWHPbvbl4AaABAg,0,wow you are wonderful,哇，你很棒
46955,UgzetSrv_N06jgV0VpV4AaABAg,0,wow ...,哇...
41960,UgyjOSYllVgQoTZIWzx4AaABAg,0,"wow, you guys don't mess around when making popcorn over there! thanks for another relaxing video.",哇，你们在那边做爆米花时不会乱七八糟！感谢您的另一个轻松视频。
46954,Ugx8FLPaByYLnscezMd4AaABAg,0,wow. wow. and wow.,哇。哇。和哇。
42019,Ugy-wHTn8AKRYUEdp2l4AaABAg,0,wow ..,哇 ..
42058,Ugz023yTOzD7WWwFZm14AaABAg,0,"wow i will find her , and will see",哇，我会找到她，会看到
42097,UgxP_OtfhfENPIZMTyh4AaABAg,0,"wow, god willing",哇，上帝愿意
46932,UgyC6yU2ebtq3ZQmf2t4AaABAg,0,wow,哇
31168,Ugzk4nVJHZNRBQKuO1R4AaABAg,0,wow what a life๐,哇，真是一生
46831,UgzLvwJ7ClM7BPSBBBB4AaABAg,0,"have you heard the background music of digimon in the second half? wow, full of memories.",有听出后半段的数码宝贝背景音乐的吗？哇，满满的回忆。
42140,UgwUgFUCjOtaA8JZPaR4AaABAg,0,wow..shes so lovely...i would love to live with her and her family and help out...this is how you truly live!!!,哇。
42141,UgxChAB0HBoExPOXZsN4AaABAg,0,wow sweet nature,哇，甜美的自然
42161,UgwpEd5GXSOSniEvGcJ4AaABAg,0,wow it's so good namn its i love it,哇，真是太好了，我喜欢它
41501,Ugx8oSe4NEmXrbbE6tx4AaABAg,0,wow. thank you youtube. this is the best recommendation,哇。谢谢YouTube。这是最好的建议
47017,Ugza64nSfNLaO2-tclN4AaABAg,0,"wow!! magical lady!!
i wished my chestnuts would unshelled themselves in 5 seconds 3:40–3:45 lol","哇！！神奇的女士！
我希望我的栗子能在5秒内脱下自己的脱落3：40–3：45大声笑"
40770,UgwH7DHgytGAuLOx6fB4AaABAg,0,wow wonderful,哇很棒
41463,UgwcJOXhne30xdHm8fF4AaABAg,0,wow...who is this girl,哇...这个女孩是谁
47360,Ugxx_Y_LUgGNN4j3ij54AaABAg,0,"so many delicious snacks! wow, i really want to eat it, it's drooling! bleak",这么多的好吃的小吃！哇，好想吃，都流口水了！
47309,UgwSpDMxCEQ1UpzWX_94AaABAg,0,wow!,哇！
40788,UgwQWaZ1pcgBOEHtUvZ4AaABAg,0,wow.......love u ms li,哇.......爱你李女士
47302,Ugz5TxR-co-brCd1HW54AaABAg,0,"at first i was like ""wow this is a lot of food. i wonder what it's for?"" then i realized that it's chinese new year. so happy new year!!",起初，我就像“哇，这是很多食物。我想知道它的用途是什么？”然后我意识到这是农历新年。新年快乐！
47285,UgyNLnl8A5xq2P-jFcR4AaABAg,0,this was amazing wow,这真是太神奇了
40940,UgynzmRSmffEGVxG-Kt4AaABAg,0,wow there's so many fruit.. can i know where is this place?? i wanna go..,哇，有很多水果..我能知道这个地方在哪里吗？我想去..
40955,Ugz1tQYPaVNSdxxc4CZ4AaABAg,0,wow awesome video,哇很棒的视频
40956,UgwarWYJw-CJ3pbuv6J4AaABAg,0,wow cj really good,哇CJ真的很好
40982,UgxCD3_jOzOy9zTT7eN4AaABAg,0,its wow,它的哇
41073,UgyoBOGwA4ZhvN4OfuR4AaABAg,0,"wow, such a happy video.",哇，如此快乐的视频。
41075,UgzdPXQR7htJEsyc_np4AaABAg,0,wow,哇
41076,Ugw0AeMHJXef2166MYl4AaABAg,0,wow wow wow,哇哇哇
41085,Ugzjwvipk4_zxcpKN-h4AaABAg,0,woww superbe,woww superbe
47223,UgyZDXVbhCGxLH_AR9F4AaABAg,0,"wow, i think the core is only unique to us",哇，我认为核心只是我们独特的
41124,UgzBzj_B2fLozy8s2h94AaABAg,0,just wow,只是哇
41128,Ugy61xm-EH38x-niPyR4AaABAg,0,"wow that looks so delicious 
greetings from germany","哇，看起来很美味
来自德国的问候"
41130,UgyDbf7NEVStiQiE3JN4AaABAg,0,wow u are a true genius.. thanks to grandma i guess she might have taught u all the wonderful things,哇，你是一个真正的天才。多亏了奶奶，我想她可能会教你所有奇妙的事情
47125,UgyDLKucjRcu14Ga2CV4AaABAg,0,"wow, is she so hot in youtobe?",哇，她在youtobe这么火的吗？
41227,UgwLV_jOF1xC80IenHZ4AaABAg,0,wow so sweet,哇好甜蜜
47064,UgxLUKhKXKJiciRGWY14AaABAg,0,wow wow,哇
41228,UgyiQpIh3HBPOSt2Km54AaABAg,0,wow i love her n sheep they look so cute,哇，我爱她n绵羊，它们看起来很可爱
41331,UgyI3RInTBm9WIz6xld4AaABAg,0,wow. she is busy.,哇。她很忙。
41366,UgwmWo1JYZNIpKZm7IZ4AaABAg,0,could you be anymore perfect...wow..(sigh)..too bad u can like only one time..,你能再变得完美了吗...哇..（叹气）..太糟糕了，你只喜欢一次。
41429,Ugx2iy6y5FF4NhuRHTh4AaABAg,0,wow ur incredible,哇，你不可思议
41462,UgzWOXxErU6R13_3vwB4AaABAg,0,what a woman wow,什么女人哇
31196,UgzWtMDQo6norBYzST94AaABAg,0,"wow, beautiful",哇好漂亮
70,UgxnYT2ULlSBo-X5e8B4AaABAg,0,feminin beatiful world romantic dream wow how she success to do ....amazing bravo,女性化的美丽的世界浪漫梦想哇，她如何成功。
31112,Ugw3JY3k0ydzm9QpdXJ4AaABAg,0,"wow one life very beautiful
it is peaceful and gentle","哇，一生非常美丽
这是和平而温柔的"
9665,Ugzelf1mEPISWgPexqF4AaABAg,0,wow,哇
8936,Ugx45x-zGypb1oMtn4J4AaABAg,0,wow,哇
8981,Ugwmj5b3D4KsnesDmMp4AaABAg,0,wow amazing,哇惊人的
9007,UgyteG2ZukMXCc1Ijzl4AaABAg,0,wowww,哇
9062,UgyZpp0omh3ZGY_TUdl4AaABAg,0,wow,哇
9075,UgzFB-o_VLbZsIGi3N94AaABAg.9HoXVrN47TY9HpOmgs80V9,0,wow,哇
9190,UgxzrDVJQoacpwU9fop4AaABAg,0,wow. like it,哇。喜欢它
9195,UgxrN_dcNXtvspGHQFZ4AaABAg,0,wow,哇
9215,Ugw_Sq-asajwM0tM-JV4AaABAg.9HWwgBF_95v9JLk2xekZT2,0,"@wowok2rlover581 wibu it is a term for people outside japan who really like the japanese, if the original japanese are called wibu",@wowok2rlover581 wibu这是一个真正喜欢日语的日本人的术语，如果原来的日语被称为wibu
9323,UgyoIcR4zblTswcGrQF4AaABAg,0,wow so good,哇这么好
9418,UgzsaImzrNL1adCXra14AaABAg,0,wow... nice video....,哇...不错的视频...
9450,Ugy0pA3cf060462dEeh4AaABAg,0,wow wow.,哇。
9522,UgxqCtHrvTzS35Wy--l4AaABAg.9H9CoV7Y4L-9Iq1ZLiN3dF,0,wow... which country language?,哇...哪种国家语言？
9539,Ugz07zIZJQLr3DlrCch4AaABAg,0,wow... nice place,哇...好地方
9663,UgyF9ONH0Fw9h_oCgM94AaABAg,0,wow. just wow.. what a fantastic lifestyle.,哇。哇..多么美好的生活方式。
9682,Ugx3gy0fr71g7ioivq54AaABAg,0,wow.i like video,哇，我喜欢视频
10345,UgwoMsPIkOxvpTJhLVB4AaABAg,0,"wow, i love you liziqi โฅ ๏ธ โฅ ๏ธ",哇我爱你Liziqi♥️♥️
9807,UgyWU8vBn8dXE6uxyn54AaABAg,0,wow! amazing! you are my role model!,哇！惊人的！你是我的榜样！
9825,UgxbJoB13eipBhivyAt4AaABAg,0,wow,哇
9851,Ugyu4LY0kPqbMxE2wC94AaABAg,0,wow!,哇！
9857,Ugzaxs0WMH_rN9wumUJ4AaABAg,0,wow amazing fantastic,哇，太棒了
9911,UgwO-hZLgsMOtatqrXF4AaABAg,0,wow 2h50,哇2H50
9969,Ugw4M9U5RmdvecE3LAR4AaABAg,0,wow,哇
9972,Ugw5XuVMqnsNNbYQUTB4AaABAg,0,wow.. its beatiful making hats off,哇..美丽的制作帽子
10065,UgwhworhCJDPQAiQfPh4AaABAg,0,"wow, canโ€t believe what i am watching. itโ€s like watching a fairytale in real life!",哇，不敢相信我在看什么。就像在现实生活中观看童话！
10113,UgxOgBsAEqlqXovKPcl4AaABAg,0,wow it makes me want to go to china :0,哇，这让我想去中国：0
10116,UgwRzNm4QGTUpj_Qtgx4AaABAg,0,"wow, both beautiful and good. i like it.",哇，既美丽又好。我喜欢它。
10129,UgyGqbjSTJqSnMPkShZ4AaABAg,0,wow.if i could only have my own land,哇。如果我只能拥有自己的土地
10223,UgxtB0gUhxG5uunf5yZ4AaABAg,0,wow osm ๐๐๐๐,哇OSM
10301,UgwD5KULTO_vVCJnq_J4AaABAg,0,wow..she and this video,哇..她和这个视频
10333,UgyAcNXVjEj6AXsH_YJ4AaABAg,0,wow just wow,哇，哇
8920,UgzWFlLYFrdNPqW-ebB4AaABAg,0,wow,哇
8903,UgzlgDUVLRN1QHr_6KB4AaABAg,0,"wow, it's healing, but it's not a good idea to eat it with your hands.",哇，这是在治愈，但用手吃它不是一个好主意。
8873,UgyqqsWWYZLLx8t3r2N4AaABAg,0,wow very beautyful,哇，非常美丽
8851,Ugztx1HH7QOraOWYS8N4AaABAg,0,wow,哇
7216,UgwitIFDBhmDH2m_WQ94AaABAg,0,wow amazing channel such a hard working girl.,哇惊人的频道如此努力的女孩。
7299,UgwXjFo1HNkSvGLCdZp4AaABAg,0,wow,哇
7366,Ugy8yceuCc1YLIL9hQ94AaABAg,0,wow everywhere you can created the wonderful food .awesome!!,哇，您可以创建美妙的食物。
7419,UgyYEp3JtfOMQFJmgqV4AaABAg,0,wow,哇
7420,Ugzm8rbv_-sm7lomjuh4AaABAg,0,wow,哇
7426,UgxiOzwmOxlze8QNQiV4AaABAg,0,damn wwiwowowowowowowoowwowowowowow yes cool,该死的wwiwowowowowowowowowowowwowowowowowowowoow是的
7513,UgxpOYTYvdVmtDWRfrp4AaABAg,0,"wow ,hello liziqi,love also to see ur cute little sheep, following u.philippines",哇，你好liziqi，也喜欢看到你可爱的小绵羊，跟随u.philippines
7520,UgwEaeU_tqPf5QQS5IF4AaABAg,0,wow,哇
7627,UgwGjBwpA7I_NFkbS414AaABAg,0,wow,哇哦
7662,UgyP64IHcf-KTaMtm5x4AaABAg,0,wow,哇
7668,UgxspIplMrQ4pMVcNLh4AaABAg,0,wow,哇
7770,Ugw1ZAJVy0oazrT6TQp4AaABAg,0,wow i love it,哇，我喜欢它
7772,UgzXhraZhqeZK7B-dx54AaABAg,0,wow 1 million like,哇100万
7778,UgyHWLcS0ffHm2jyUjF4AaABAg,0,woww ice kerenn,WOWW ICE KERENN
7973,UgxvPulB-2rcyGmJq1N4AaABAg,0,"wow, she is a wonder women!",哇，她是个神奇的女人！
8034,UgxGYmbPv8DnGBPnMYJ4AaABAg,0,wow,哇
8128,Ugy-1EmJ5BXAFosgwo94AaABAg,0,wow nice sister,哇好姐姐
8134,UgzbO4Sz4gLQWAqRV8d4AaABAg,0,wowwwww,哇
8281,Ugy_Kv3OF4yQBeObFXt4AaABAg,0,wow you have fourteen millon cograjulation,哇，你有14米牛
8412,UgzW2-5iLPjj6MVbFkN4AaABAg,0,wow she's beautiful o.o,哇，她很漂亮O.O
8429,UgxPIz6MQUwSR-DdzT54AaABAg,0,wow,哇吗？
8480,Ugxi7BQUN2_S0fjGU-54AaABAg,0,wow,哇
8563,Ugycegyk0oOoK_z4qzB4AaABAg,0,wow,哇
8691,UgxJOX2TBZ8mgKSDuZZ4AaABAg,0,"woww, ❤️",哇，❤️
8696,UgwfzWKy_rWhcdXCm794AaABAg,0,wow,哇
8729,UgzgmnJdVMf3klHITFJ4AaABAg,0,wow very good mom's videos.,哇，妈妈的视频非常好。
8789,UgzpYfdt5KJcGqQF5z14AaABAg,0,wowww. you do so well i am a fan for a long time,哇。你做得很好，我很长时间
8798,UgxfsRWZJyAZBnS4yxJ4AaABAg,0,wow,哇
8831,UgwiQMlv4SvVAaKAE7N4AaABAg,0,wow nice thank you for sharing super yummy,哇，很好，谢谢您分享超级美味
10344,UgwAvqhzXRD9cqtwVgZ4AaABAg,0,wow! where did you live? bleak,哇！您是在哪儿住的呢？
10357,UgyVf6luZ8qd4gW38054AaABAg.9G8LthQBLi-9Hryc0pylCl,0,@cheshireerlinberts5806 wow amazing,@cheshireerlinberts5806哇很棒
31105,UgzeQNAgDe7HLB49_iJ4AaABAg,0,wowow,哇
12756,UgwsU4K56X2sgPpYxuF4AaABAg,0,wow you love in heaven,哇，你爱在天堂
11771,UgzHCjTqp6Dgwx4Ih794AaABAg,0,woww chinese chestnut ๐ฐ my favorite ๐คฉ๐‘๐ป๐‘๐ป,WOWW中国栗子
11819,UgyODlh9H2fIPJav7AJ4AaABAg,0,wow apple i love apple,哇苹果我爱苹果
11821,Ugw_8xjbVY9yuiEgmgJ4AaABAg,0,wow,哇
11862,Ugz8alOI39dGahQCsMh4AaABAg,0,"wow, who's good daughter? marrying her is a blessing that she has been cultivated in her life, and i have to cherish it.",哇，谁家的好女儿？娶到她是前辈子修来的福喔，得好好珍惜。
11912,UgxFz60TXqlej6FiYaF4AaABAg,0,wow.,哇。
11952,Ugwv0sUHlqVpnmaoDQl4AaABAg,0,wow good,哇好
11953,Ugxxql-NZJPp1SPf4k54AaABAg,0,wow.,哇。
12030,Ugz1HPD9x7uw1T65EWl4AaABAg,0,wow. kyut,哇。 Kyut
12218,Ugw2CiL9mGrmLRPV1NF4AaABAg,0,wow you are very good at cooking,哇，你很擅长做饭
12225,UgzbEoXCPHZwsbrAt8J4AaABAg.9DTEly-Zzlv9DTm-yWpEb3,0,"ture wow!! she just looks like a 16 yrs old girl... ,!!",哇！她看起来像个16岁的老女孩...，！
12394,UgyxVx6c7pwS49FMpvh4AaABAg,0,how much money she must be making i wonder 12 million subsciber and 66 million views wow amazing,她必须赚多少钱，我想知道1200万个订阅者和6600万次观看次数惊叹不已
12498,UgyaSPMOb6bo6zTVx314AaABAg.9D46DbEnF1v9DYClorV3Xf,0,@jiddah7478 wow my dad went egypt in africa,@jiddah7478哇，我父亲去了非洲埃及
12502,UgzzUNDiB2t_hm5mbat4AaABAg,0,wow,哇
12755,UgxWnADIrX8t1LvIfbp4AaABAg,0,wow you love in heaven,哇，你爱在天堂
12795,UgzaXkjuEqcGY-Oh2sR4AaABAg,0,wow indonesian subtitles?omg i can't believe it!good job!,哇，印度尼西亚字幕？我不敢相信！干得好！
10379,Ugzhvze05uTwTCsaECB4AaABAg,0,"wow, i love your channel liziqi",哇，我爱你的频道Liziqi
12839,UgyNx8QxU-2ISWlvcAR4AaABAg,0,wow very nice,哇，很棒
