,cid,votes,time,含oh,含oh中文翻译
28603,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-zEyLn98f5,7,3 years ago (edited),"@franzpeters3824 ok can you speak chinese?! i'm obviously assuming not, so why would expect her to know the whole english language when she lives in china!!!! please use ur head when u think and talk. obviously, english isnt spoken everywhere or it is not needed when u live in ur home country. so if u r criticizing her for not speaking english what about you? can u speak chinese?! guess not... absolutely hypocritical. i think u r just hating on her cause she is way more talented and successful. she is obviously smarter and skillful. knowing how to make, grow, and take care of these stuff is very hard... which u cant do. who has millions of subscribers again? oh that's right, her! cuz she is such a hardworker, and what do u do come again? smh",@franzpeters3824好吧，你会说中文吗？我显然没有假设，所以当她住在中国时，为什么要期望她知道整个英语！当您想和交谈时，请使用您的头。显然，当您住在您的祖国时，无处不在，或者不需要英语。因此，如果您批评她不说英语，那您呢？你能说中文吗？猜不要...绝对虚伪。我认为您只是讨厌她，因为她的才华和成功。她显然更聪明和熟练。知道如何制作，成长和照顾这些东西非常困难……你不能做。谁又有数百万订户？哦，是的，她！因为她是一个勤奋的人，你又来了什么？ SMH
33185,UgxIZ6pHZ81fuMf3VJV4AaABAg,6,3 years ago,"oh,her garden i can't even thought of that coz i'm",哦，她的花园，我什至不想念那个我很棒的工作。谁同意？
31725,UgzXGcQUxZHhzvFjDeR4AaABAg.8yV6J2m_P458yVT8y1gWOK,6,3 years ago,@sietohojoin it's like everyone who watches her videos are the chosen ones. they are so therapeutic and relaxing. it's like being transported to ancient china.,@sietohojoin就像每个观看视频的人一样。他们是如此的治疗和放松。就像被运送到古代中国一样。
20808,Ugw8avLwiBM_Sj4v57N4AaABAg,6,3 years ago,"oh my god, ziyi fairy is down, i want to go too much",天呐，子柒仙女下凡，太想往了
24570,Ugzmf6LXKaNdM1_y_TB4AaABAg,5,3 years ago,"cinderella, oh cinderella where's my dinner, i don't want to be late for the ball",灰姑娘，哦，灰姑娘我的晚餐在哪里，我不想迟到球
23455,UgwBNQDYwhYRutE00xF4AaABAg.8zj0F8MxqZ48zrtR8NLDxz,5,3 years ago,@yarmohsin that's funny coming from a male bottom. you pole dancers love to harass straight women.,@yarmohsin很有趣。你的钢管舞者喜欢骚扰直女。
33637,UgzD32VatiXq8IT-BeR4AaABAg,5,3 years ago,"bamboo shoot, pork, roasted chillies, fresh water snails, lotus roots.......oh my, oh my
i wish i was home","竹芽，猪肉，烤辣椒，淡水蜗牛，莲根.......哦，我的，哦，我的
我希望我在家"
13015,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96GAcGQKcD-,5,3 years ago,"oh, you mean the era before industrial revolution?",哦，您的意思是工业革命之前的时代吗？
20153,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91o-5lg7zpI,4,3 years ago (edited),"@johnvuu4679 there is so much land on this earth, have you even driven anywhere? have you ever left the city you live in? cities are tiny little specs compared to what is out there. 

and yes, not all land is fertile, that's why you don't try to live in a desert like all the morons in arizona and many other places. you can turn many deserts into grassland: https://www.youtube.com/watch?v=vpthi7o66pi&t=4s 

we grow fields upon fields upon fields of corn and soy to make garbage food that makes us sick while having useless lawns to show off to our neighbors that we can use a lawnmower when we could be making prime habitats for massive herds of animals that we can use as never ending food sources.

you can't afford to live off the land? that makes no sense, do you understand the concept here? you're living off the land, you don't need money.. nobody needs money for anything. it's worthless paper and digits in computers. you realize a couple hundred years ago people just rode wagons across america and picked a spot to settle right? i don't know the immediate answer to how to get land distributed to people who are willing to homestead, that's the hard part. i definitely wouldn't want the government involved. there is no easy solution for it, but the alternative is much worse. houses will be completely unaffordable throughout the world some day, and we'll all be even more of slaves to the corporate systems and governments than we already are. just wait, or just wait for your children to see... it's going to be a fucking nightmare. and it's going to happen, you're not getting the world to homestead, nobody is doing it. we're going the other direction and it's not stoppable.

ya, the population is growing, but as i said, you don't seem to have a clue how much land is out there, and people who cannot live off the land shouldn't be living.. why do you think we got into this situation? we cater to every little desire and whim of everybody all in the name of profit. if you have a strong family and community you can live off the land, anybody can do it, it's just a matter of not being a coddled sheltered half ass human being.

sure.. we've dug ourselves into a hole by chasing the dollars and carrots in front of our faces for centuries, but the solution has been staring us in the face the entire time.. most people are just too lazy and don't want to give up their lives of convenience for an honest living off the land. if you don't want an honest lifestyle living off the land and you want to live in a city full of conveniences and cancers then you're the problem. but you're in good company, probably 99% of people think that way. 

social backlash? like the social backlash from politics, unjust laws, and profiteering? just wait, you haven't even seen social backlash yet, this world is about to explode with social backlash. you're going to wish you had a homestead off the grid when it does.

the fact that i have to explain this to people shows how far gone the majority of mankind is. it's almost a shame that god has promised not to flood the earth again, we could really use a reset.","@johnvuu4679地球上有很多土地，你甚至在任何地方开车吗？您是否曾经离开过您居住的城市？与那里的城市相比，城市的规格很小。

是的，并非所有的土地都是肥沃的，这就是为什么您不像亚利桑那州和其他许多地方那样尝试生活在沙漠中的原因。您可以将许多沙漠变成草地：https：//www.youtube.com/watch?v=vpthi7o66pi&t=4S

我们在玉米和大豆的田地上种植田地，以制作垃圾食品，使我们生病，而无用的草坪可以向我们的邻居炫耀，我们可以在我们可以为大量动物群创造主要栖息地时使用割草机，我们可以使用割草机。用作永无止境的食物来源。

您负担不起居住的土地吗？那没有道理，您在这里了解这个概念吗？您在土地上生活，不需要钱..没人需要任何钱。这是毫无价值的纸和计算机中的数字。您意识到几百年前，人们只是骑着货车在整个美国都骑着货车，并选择了一个地点来定居吗？我不知道如何将土地分配给愿意居住的人的直接答案，这是困难的部分。我绝对不希望政府参与其中。没有简单的解决方案，但是替代方案更糟。有一天，全世界的房屋将完全负担不起，与我们现在相比，我们所有人都将成为公司系统和政府的奴隶。等一下，或者等待您的孩子看到...这将是一场他妈的噩梦。这将发生，您不会让世界进入宅基地，没有人在做。我们朝另一个方向前进，这是不可停止的。

是的，人口正在增长，但是正如我说的那样，您似乎不知道那里有多少土地，而无法生活的人不应该生存。这个情况？我们以利润的名义迎合每个人的每一个小小的渴望和兴起。如果您有一个强大的家庭和社区，您可以在土地上生活，任何人都可以做到这一点，这只是一个不做一个顽固的庇护半屁股人的问题。

当然..我们已经通过在脸前追着美元和胡萝卜数百年来挖掘了一个洞，但是解决方案一直在整个脸上盯着我们。想要放弃他们的便利生活，以诚实地生活在土地上。如果您不希望诚实的生活方式在土地上生活，而是想住在一个充满便利和癌症的城市中，那么您就是问题所在。但是您的公司很好，大概有99％的人以这种方式思考。

社交反弹？就像政治，不公正法律和盈利的社会反对一样？等一下，您甚至还没有看到社交反弹，这个世界即将在社交反弹的情况下爆炸。您将希望在电网上拥有一个宅基地。

我必须向人们解释这一事实，这表明了大多数人类已经走了多远。上帝已承诺不要再次淹没地球几乎是可惜的，我们可以真正使用重置。"
4695,UgwPyeChqFOjUTcCfYt4AaABAg,4,2 years ago,"oh my god, all of which are all foreigners' comments",哦我的天哪，居然全都是老外的评论
32348,UgxqE9Nwo6qx2TDHnZd4AaABAg,4,3 years ago (edited),"oh, it's slippery!
i knew it was a good food, but i saw it for the first time in cooking!","哦，这很滑！
我知道那是一种美味的食物，但我第一次在烹饪中看到了它！"
18934,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92ZOOBC3QJc,4,3 years ago (edited),"chinese culture is so wide, tao yuanming's rural life and the life of ordinary farmers are part of chinese culture. li ziyi shows tao yuanming's rural life. people who are tired of urban life seeks spiritual comfort through her videos. it is why many people watch this video. the movies are all produced in the later stage. it can be moved. if you are true, you can go to the documentary. oh, if the chinese on the tip of the tongue are so beautiful in the countryside, is it the real rural area in your heart? as long as it is not different from the rural areas in your heart, it is not rural, it is fake? what made me most angry was li ziyi shot a video. foreigners were praised. at this time, someone jumped out. everyone was drunk and i woke up alone. this is not a real countryside. well, this shooting method is very professional ... just like when everyone just watched the four in foreign countries, everyone was very moved. at this time, someone jumped out and told them that it was false. in reality, it was not like this. there is no iron man in reality, there is no spider -man in reality",中国文化这么广博，陶渊明式的田园生活和普通农民的生活，都是中国文化的一部分，李子柒表现的是陶渊明式的田园生活，厌倦了都市生活的人们通过她的视频来寻求精神的慰藉这就是很多人看这个视频的原因。电影都是后期制作出来的，照样能感动人，你要真实你可以去看纪录片，哦对了舌尖上的中国把农村拍的这么美这个难道是你心中真实农村的样子吗？只要不和你心中农村的样子不一样就都不是农村了，就都是假的了？最让我气愤的是 李子柒拍一个视频，外国人都是一片赞美，这时候有人跳出来了，众人皆醉我独醒，这不是真的农村，这是经过美化的，这是后期做出来的，这拍摄手法很专业…就像在外国大家刚看完复联四，大家看的都很感动，这时候有一个人跳出来了，和他们说这是假的，现实中不是这样子的，现实中没有钢铁侠，现实中没有蜘蛛侠
23886,Ugw3Cxr5gIo_5_pT_454AaABAg.8z_VHkNqWWZ8zmdM9ODNcE,4,3 years ago,christopher johnson there is only three of them doing all the production. her interview is available in youtube. never believe western media. their journalism is a failure,克里斯托弗·约翰逊（Christopher Johnson）只有三个人在做所有的作品。她的采访在YouTube上可用。永远不要相信西方媒体。他们的新闻是失败的
24536,Ugytrq4-TNi6cBd3mFp4AaABAg,4,3 years ago,"oh my how i wish my life was like that, you're very lucky to be living such a beautiful and calming life i really like your videos they make me relax but a little bit sad because i could never have such life :p i really wish i could visit you it would be like a dream ❤️",哦，我的我希望自己的生活是那样的，你很幸运能过着如此美丽而平静的生活，我真的很喜欢你的视频，让我放松，但有点难过，因为我永远不会过这样的生活：P我真的希望我可以拜访你，就像一个梦想❤️
3966,UgzddFErU7M5OM42IZ94AaABAg.9Lavf9Moto19MjmeJK8YqO,4,2 years ago,@roh-moo-hyeon you are absolutely insane.,@roh-moo-hyeon你绝对疯了。
15400,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97P3yJBgMVq,4,3 years ago,"@jeffcohens1563 if you dont enjoy lies......i invite you to stop watching any television, hanging out with any family, friends, or coworkers, stop reading and partaking of any media or social networking...it's obvious you are being lied to... frankly, watching a video such as this one and expecting it to be real is a little sad....i pity you.",@jeffcohens1563如果您不喜欢谎言……我邀请您停止看电视，与任何家人，朋友或同事一起出去玩，停止阅读和参与任何媒体或社交网络...很明显，您是您的坦率地说，被撒谎，观看这样的视频，并期望它是真实的。
24423,UgyLylMarp6kcOgj_J94AaABAg,3,3 years ago,"congratulations on your excellent work, you eat better than in the united states
hello europe
mana
aloha
namaste","恭喜您的出色工作，您的饮食量要比美国更好
你好欧洲
法力
阿罗哈
纳马斯特"
10676,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_77-l3-eY,3,3 years ago,"@mohammedharoon8453 i dont have sth against moslem. but i dislike that everybody tend to associate chinese & the culture with ccp while theyre not... just like the name mohammad gets associated with terrorist. boy! what a world! even u mr. mohammad haroon... u know how it feels to be bullied by western people just bc of ur name. .. but u do that also to the chinese! its u who had started to say bad things about liziqi... despite her awesome work & talents !!
its useless to speak to someone like u. byeee!","@Mohammedharoon8453我没有STH对阵穆斯林。但是，我不喜欢每个人都倾向于将中国和文化与CCP联系在一起，而他们却没有……就像穆罕默德这个名字与恐怖分子相关。男生！真是个世界！甚至你，穆罕默德·哈伦（Mohammad Haroon）先生...你知道只有你名字的西方人被西方人欺负的感觉。 ..但是你也对中国人做到了！它开始对利兹基说坏话...尽管她的工作和才华很棒！！
与像你这样的人说话是毫无用处的。 byeee！"
33032,UgxQu7BUCyV71sy_XYF4AaABAg.8yUhf0M8vfE8yUxuaZDLfc,3,3 years ago,"@eugenediengdoh252 we call that bamboo shoot ""usoi"" lol..""tharoi""",@eugenedienengdoh252我们称竹芽为“ usoi”大声笑。
10677,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_8zJZc5TY,3,3 years ago,"@mohammedharoon8453 china has existed for 5.000 years. loooong before marxis lenin was even born...
telling that all chinese r ccp is simply idiot !","@Mohammedharoon8453中国已经存在了5。000年。马克思·列宁（Marxis Lenin）甚至出生之前。
告诉所有中国R CCP都是白痴！"
20155,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91oJHVgZu8a,3,3 years ago,"@johnvuu4679 no... it's not unrealistic. explain why? you have no argument, you're just saying no. this is likely your reaction to your subconscious that has already reasoned that you don't want to give up your current lifestyle so you respond with some general nonsensical garbage like 'it's unrealistic' with no explanation whatsoever as to why, because there is none. 

i was right with my 'insults' you're just another brick in the wall so to speak, readily admitting that you're too afraid to make any real changes in your own life that will actually make the world a better place for everybody while trying to grandstand about some humanitarian work or something that is completely unrelated... go back to your pasta, plastic goods, cheap cars and 9 to 5. you know you're never going to make a difference, you've already given up.","@johnvuu4679不...这不是不现实的。解释为什么？你没有争论，你只是说不。这很可能是您对潜意识的反应，已经认为您不想放弃当前的生活方式，因此您会以一些普遍的荒谬垃圾做出反应，例如“它是不现实的”，而没有任何解释，因为没有任何解释。

可以这么说，我对我的“侮辱”是对的，你只是墙上的另一砖试图看台一些人道主义工作或完全无关的东西...回到面食，塑料商品，便宜的汽车和9至5。您知道您永远不会有所作为，您已经放弃了。"
21327,Ugz6uw1lxYJruHt5_sJ4AaABAg,3,3 years ago,"oh 
she works hard and also have good qualities and fresh green vegetables","哦
她努力工作，还具有良好的品质和新鲜的绿色蔬菜"
11405,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97v4uAZ_y-l,3,3 years ago,"logicone oh, one more thing. these videos don’t even show you english subtitles to let you know what she says in the videos. and a few fans need to make their own for her. what a lousy and lazy propaganda! lol",逻辑哦，还有一件事。这些视频甚至没有显示您的英文字幕，让您知道她在视频中所说的话。一些粉丝需要为她创造自己的东西。多么糟糕而懒惰的宣传！哈哈
20151,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91nqHK_iwRR,3,3 years ago,"@johnvuu4679 ok, so everybody lives on farms/homesteads and lives off the land like mankind did all throughout history. any questions?",@johnvuu4679好的，所以每个人都住在农场/宅基地上，像人类一样在整个历史上都生活在土地上。任何问题？
26885,UgzQ4OBGGGIyUq7xGMV4AaABAg.8ykJlulry208yqhiYnBhiy,2,3 years ago,john smith haha，i don’t know you know now in china many mountains or cultivated land or a house in the country can be rent by private person to do what you want (legal things) for 22 years in the first tenancy term.you can plant trees or raise animals or reconstruct the house to live by yourself or as a homestay in the area. many chinese people have rent them to create their own beautiful life.,约翰·史密斯·哈哈（John Smith Haha），我不知道您现在在中国知道许多山脉或耕地或该国的房屋可以由私人人士租用，以便在第一个租赁期限内做您想做的22年（合法的事情）。可以种植树木，养育动物，或重建房屋以自己或该地区的寄宿家庭生活。许多中国人有租金来创造自己的美丽生活。
20641,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE913ffVhocuG,2,3 years ago,"jacky phantom i am speechless. know part of a country's history and attack people from there for that reason because it has to be their fault! you, wherever you are from, please stop insulting your origin by talking to me like that. i had no ill intentions replying to you in the first place, but i don't like how you brought our conversation to this end. what does this piece of information has to do with what i said or what ziqi posted? this is not somewhere you want to brag about you newly-learned knowledge towards someone's homeland and come up showing off with them because it gets personal. many ethnic minorities are not driven out, but the people choose to convert because that fits the modern lifestyle better. plus, many southern ethnic minorities are getting awareness from the government and given protection by helping them booming tourism so that they can make a living withholding their traditions and customs. on the other hand, the u.s. undoubtedly invaded the indigenous people on n.a. and hawaii islands, and try talk to americans with that piece of information and see if they would think you so genius or the other way around. if you happen to be american, perfect, seems like my country isn't hardly as bad as yours speaking of invading, oh no, killing, indigenous people, let alone the culture. i know that i won't be able to overturn your negativity towards china and i don't want to leave you even more downside impressions on us, but i sincerely hope that you would one day drop that bias and look slightly more into the positive side -- because every country is more than what you can read in the media.",Jacky Phantom我无语。知道一个国家历史的一部分，并因此从那里攻击人们，因为这必须是他们的错！无论您来自哪里，请不要再与我交谈，不要再侮辱您的来源。首先，我对您没有任何不良意图，但是我不喜欢您将我们的谈话带到这一目标。这条信息与我所说的内容或Ziqi发布的内容有什么关系？这不是您想吹牛的地方，因为您是个人的，因为它是个人的，因此对某人的家园进行了新的知识并与他们一起炫耀。许多少数民族并没有被驱逐出境，但是人们选择convert依，因为这更适合现代生活方式。另外，许多南部少数民族正在从政府中获得认识，并通过帮助他们蓬勃发展的旅游业来保护他们，以便他们可以谋生自己的传统和习俗。另一方面，美国无疑入侵了北卡罗来纳州和夏威夷群岛的土著人民，并尝试用这片信息与美国人交谈，看看他们是否会认为您是如此天才或相反的方式。如果您碰巧是美国人，那么完美，看来我的国家并不像您说入侵的人那样糟糕，哦，不，杀人，土著人，更不用说文化了。我知道我将无法推翻您对中国的消极情绪，我不想让您对我们有更多的下行印象，但我真诚地希望您有一天会放弃这种偏见，并使您更加偏向积极方面 - 因为每个国家都比您在媒体上阅读的内容还要多。
28612,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g902sLw33jPG,2,3 years ago,"@franzpeters3824 so can u speak proper chinese?no?oh,you have nothing to do,right? :>",@franzpeters3824那么你会说适当的中文吗？不？哦，你无事可做，对吗？ ：>
31723,UgzXGcQUxZHhzvFjDeR4AaABAg.8yV6J2m_P458yVMn4vVXwV,2,3 years ago,@sietohojoin yes... me too..its so amazing what you can discover here in youtube by accident ..makes you wonder ..,@sietohojoin是的...我也..太神奇了，您可以在YouTube中发现的东西。
10531,UgyBw9PEGP_lHQwxqEl4AaABAg.98e8mRXCz-o99sJGMQOFid,2,3 years ago,maya loka pip [iu0oh,Maya Loka Pip [IU0OH
10668,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799ZlVNAuw2a,2,3 years ago (edited),"@mohammed haroon after her vids became successful , she got many sponsors.
imo ccp now is also one of her sponsors. not from the beginning , but after she got famous n paparazis n flying drones were around her house!!
she then received ccp sponsorship & gets some security guards in return...

u r mohammad but lives in a western country?? so pls dont be a hypocrite n talk bad about ccp & liziqi. being a chinese doesnt mean being a fanatic ccp. just like a name mohammad doesnt mean a terrorist ! u r only jealous... liziqi is indeed far better than u or any of us☺️","@mohammed Haroon成功后，她获得了许多赞助商。
IMO CCP现在也是她的赞助商之一。不是从一开始，而是在她获得了著名的狗仔队之后，她的房子周围就在屋子里！
然后，她获得了CCP赞助，并获得了一些保安人员的回报...

穆罕默德（Mohammad），但住在一个西方国家？因此，请不要对CCP＆Liziqi的伪君子n不好。作为中国人并不意味着成为狂热的CCP。就像穆罕默德（Mohammad）的名字并不意味着恐怖分子！你只嫉妒... liziqi的确比你或任何一个us☺️好得多"
19458,UgxsHq8VfoGHPAP1qUx4AaABAg,2,3 years ago,oh my goodness that looks deeeeeeeeeeelish. bravo .,哦，我的天哪，看起来是deeeeeeeeeeeelish。布拉沃。
30020,UgzLwzHtzrVkM2FQjEB4AaABAg.8yVqoJo7C7f8yX_fFz1IH8,2,3 years ago,oh hell no wat is wrong with you?,哦，地狱没有你错了吗？
15287,Ugxexk1e5khyQbMLV-Z4AaABAg,2,3 years ago,4:22 oh i miss those moments walking bare foot,4:22哦，我想念那些赤脚行走的时刻
20149,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91mvXXXtCY2,2,3 years ago,"@johnvuu4679 ya, i bet stalin and mao thought similarly.",@johnvuu4679是的，我敢打赌，斯大林和毛泽东也同样想。
14204,Ugy0YPy116yqdepP3u94AaABAg,2,3 years ago,so many people say: oh this should be the way we are living our life. but how many of them will give up their wifi and fast food and all those so called fancy lifestyles,很多人说：哦，这应该是我们生活的方式。但是，其中有多少人会放弃他们的wifi和快餐，以及所有所谓的幻想生活方式
10673,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_3glC_4LY,2,3 years ago,"@mohammedharoon8453 im not a ccp... but im an overseas chinese...
thats why i know that it is vids about 5.000 years of chinese village culture... not about ccp
actually liziqi only needs ccp support for security guards
i feel very proud that chinese has the most advanced culinary& farming culture in the world
a peaceful culture , not a civilization/culture that based on guns bombs / robberies
ur just jealous. shame on u","@Mohammedharoon8453我不是CCP ...但是我是海外的中国人...
这就是为什么我知道这是中国乡村文化约5。000年的视频...与CCP
实际上，利兹奇（Liziqi）只需要CCP支持安全警卫
我为中国人拥有世界上最先进的烹饪和农业文化而感到自豪。
一种和平的文化，而不是基于枪支炸弹 /抢劫的文明 /文化
你只是嫉妒。对u"
1175,UgzF7E8SQQdW6317tFt4AaABAg,1,1 year ago,oooooh that noodle,哦，那个面条
29033,UgyESDbJD32KjnrPOZ14AaABAg,1,3 years ago,"oh my good
nice video","哦，我很好
不错的视频"
30022,UgzLwzHtzrVkM2FQjEB4AaABAg.8yVqoJo7C7f8yYInxtsZYg,1,3 years ago,"oh hell no lol do you even know what she meant lol, and what so ugly about being black",哦，地狱不，你甚至知道她的意思，大声笑，黑人有什么丑陋
10670,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_1PmOu6qC,1,3 years ago,"@mohammedharoon8453 im a female ...yeah whatever... its vids about chinese 5000 years cultural village heritage... not about ccp culture! pls just try not to be hypocrite , mr. mohammad
bye2!","@Mohammedharoon8453我是一位女性...是的，无论如何...关于中国5000年文化村庄遗产的视频...与CCP文化无关！请尽量不要做伪君子，穆罕默德先生
bye2！"
18463,UgwYUCaJOOzgFYoFrBF4AaABAg,1,3 years ago,ohh i thought liziqi made a huge ice cream,哦，我以为利兹奇做了一个巨大的冰淇淋
18153,UgyOi8WybALqh3CrM4d4AaABAg,1,3 years ago,"oh god, please me, so the comment",哦，天哪，请我，所以评论
18653,UgypQZCQXma8Eja0LMh4AaABAg,1,3 years ago,"oh，her videos are the best of chinese traditional food ，i promise.not only because of her beauty,but also her videos let me know so much about traditional food and traditional culture in countryside,which i hardly heard before.as you can see im a chinese.",哦，她的视频是中国传统食物中最好的，我保证。不仅是因为她的美丽，而且她的视频也让我知道了很多关于乡村的传统食物和传统文化的信息，我以前几乎听不到。我是中国人。
1357,UgyWwZCCQX09YjU3dJp4AaABAg,1,1 year ago,oh mom,哦，妈妈
25288,Ugz5Uzo_kzEtnwBFiwt4AaABAg,1,3 years ago,"oh my goodness, chinese are so much like naga tribe people from nagaland. wish you visit nagaland, n enjoy naga biggest festival (hornbill festival).",哦，天哪，中国人非常像纳加兰的纳迦部落人。希望您访问纳加兰，享受纳迦最大的节日（Hornbill Festival）。
