,cid,votes,time,含oh,含oh中文翻译
36000,UgyhyXflybsr2hUCb_B4AaABAg.8uYsqKM0ju78ujHKECo9NE,33,4 years ago,"โ€ @bellabana โ€ bellabana no, it's more a culture thing. in some countries, they don't feed pets pet food, they feed them with whatever they're eating, i.e, human food. so pets get used to the smell & whenever they smell human cooking, they think it's meal time. they might beg for food but that doesn't mean they're hungry. my family used to have pet cats, they're just like that. we could be just feeding them two full plates, they'd still come & meow at our dinner table. 

our cats eat everything, rice, broccoli, tomato, lettuce... besides meat. you wonder why, huh? because that's what they grew up eating, and that's what they know as food. as long as it's food to them, they'd follow, even if they're fed. if you own pets, you would know about this. 

my neighborhood doesn't raise our pets like in the west, where owners usually lock them indoor all the time. we let them roam around freely. they all go around begging for food when neighbors are cooking. as a result, we all know about others' pets, and we are fine with them. people don't always feed them, so they know they have to come home for a proper meal, but they'd get a piece here & there, so it's like snacks for them. 

every once a while a neighborhood auntie would come up to my mom, beaming, and said, hey your cat just frequented me yesterday! ... oh do you hear him? he's frequenting someone else now...! my mom be like, yeah... guess my cooking is his least favored... the auntie be like, that's not true! pets are like that, they go around for food but they know they can always have it back home.... and then they both laugh it off.... 

this is just a different culture of doing things, it's not necessarily bad or cruel just because it's different from your way of doing it. calling ppl out without knowing their background is judgmental, and kinda condescending, you know, not nice. so yeah....","@bellabana bellabana不，这更多是一种文化。在某些国家，他们不喂宠物宠物食品，而是用他们吃的任何东西，即人类食品喂食。因此，宠物习惯了气味，每当闻到人类烹饪的气味时，他们都会认为这是用餐时间。他们可能乞求食物，但这并不意味着他们饿了。我的家人曾经有宠物猫，他们就是这样。我们可能只是在给他们喂两个完整的盘子，他们仍然会在我们的餐桌旁来和喵。

我们的猫吃了所有东西，米饭，西兰花，番茄，生菜...除了肉。你想知道为什么，是吗？因为那是他们长大的饮食，这就是他们所知道的食物。只要对他们来说食物，即使他们被喂食，他们也会遵循。如果您拥有宠物，您会知道这一点。

我的邻居不会像西方那样养宠物，那里的业主通常一直在室内锁定它们。我们让他们自由地漫游。当邻居在做饭时，他们都四处乞求食物。结果，我们都知道别人的宠物，我们对它们很好。人们并不总是喂他们，所以他们知道他们必须回家做适当的饭菜，但是他们在这里和那里都会得到一块，所以这就像小吃一样。

每隔一段时间，一个附近的阿姨会来找我妈妈，笑着说，嘿，你的猫昨天只是经常光顾我！ ...哦，你听到他的声音吗？他现在正经常去别人...！我妈妈就像，是的...猜猜我的烹饪是他最不喜欢的……阿姨就像，那不是真的！宠物就是这样，他们四处寻找食物，但他们知道他们总是可以把它放回家。...然后他们俩都笑了...。

这只是做事的一种不同的文化，不一定是坏事或残酷的，因为它与您的方式不同。在不知道自己的背景的情况下召集PPL是有判断力的，有点屈服，您知道，不好。嗯是的...."
30991,Ugydkky0Y9Q4-sD5NJF4AaABAg,29,3 years ago,"oh my god, i'd buy this food in a heart beat, it's amazing, the marshmallow thingy ๐ฅ๐ฅ i wanna cry๐ซ",哦，天哪，我会心跳加速，真是太神奇了，棉花糖的东西
44632,Ugy0__yIcYQW0eVFT6J4AaABAg,27,4 years ago,"oh god, is it creative",哦，天哪，它是有创造力的
40209,UgzferxdwFJwRAu12NV4AaABAg,26,4 years ago,"oh god, the creator of what he sees, and the sweetest sees, praise be to god.",哦，上帝，他看到的东西的创造者，也是最甜蜜的看到，赞美上帝。
10870,UgyPnd9ImxLsy8UKjuF4AaABAg,25,2 years ago,oh no those baskets looks really heavy.and she's carrying them on the ahoulders. poor girl.shes amazing in whatever she does,哦，没有那些篮子看起来真的很重。可怜的女孩。她做什么
46796,UgzbIS4Nqo4EJO8bweJ4AaABAg,23,4 years ago,"i only discovered your videos in youtube. i really have such a life. i just imagined life in the novel. girl, you are really great, not only representing many chinese people, but how to coexist with human beings in harmony with nature, even if human beings are livable in the future, you need your spirit. i am glad to see your video, thank you.
suddenly i thought of the man who met your heart in the future. someone helped you lift your bamboo to make new sofas. some people pick fresh fruits and vegetables with you. one more person at the dining table with you. with cute children, one, two. essence essence then i have always made such a love video for us, oh no, enjoy. essence essence
hope this wish will come true.","我竟然在YouTube才发现你的视频，真的感概还有这样子的人生，只在小说中想象到的人生，姑娘，你真的很棒，不仅代表了华人的许许多多的优秀品质，和文化，甚至代表了人类，要如何与自然和谐共存，即使人类未来宜居其他星球，也需要你这种精神。很高兴看到了你的视频，感谢。
忽然想到了你日后遇到了你心怡的男子，有人帮你抬竹子做新的沙发，有人和你一起采摘新鲜的水果蔬菜，多了一个人在饭桌和你，婆婆谈笑风生，然后不就以后你们有了可爱的孩子，一个，两个。。。然后一直一直做这么有爱的视频给我们看，哦，不，享受。。。
希望这个愿望成真。"
49230,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qyatE61fC5,21,4 years ago,@allisgoodallisbad oh my god that's what you came back at me with? oh no some rude person on youtube made me feel bad! look you can't take it don't be rude to other maybe? your just mad you got called out for saying something rude sounding for no reason. the point stands however. the popping device is still a popping device reguardless who owns it.,@allisgoodallisbad哦，我的上帝，这就是你回到我身边吗？哦，YouTube上没有一个粗鲁的人让我感到难过！看，你不能对别人不礼貌吗？您只是疯了，您被召唤出来，因为无缘无故地说些粗鲁的声音。但是，这一点是。弹出设备仍然是拥有它的弹出设备。
35550,UgxiUINVJgbHGlMZLHB4AaABAg,21,4 years ago (edited),"no electric gizmos, no plastic utensils 
just ceramics wood , bamboo and metal tools!
and oh my...she is so beautiful!!","没有电力小无，没有塑料器皿
只是陶瓷木材，竹子和金属工具！
哦，我的...她真漂亮！"
32491,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18wPRCfk5isn,20,3 years ago,"โ€ @ultramaryna00 oh you just think you're smart, but one thing you're not is clever. here's her story in english: https://raknife.com/li-zi-qi/. she's a food vlogger and now an entrepreneur with her own food product line. an actress? you're funny, in a very self-righteous way. guess the old saying is true, stupid people always think they're smart. lmao",@ultramaryna00哦，您只是认为自己很聪明，但是您并不聪明。这是她的英文故事：https：//raknife.com/li-zi-qi/。她是一名食品视频博物馆，现在是一名拥有自己食品产品系列的企业家。一个女演员？你很有趣，以一种非常自以为是的方式。猜猜这句话是真的，愚蠢的人总是认为自己很聪明。 lmao
21035,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO94RdnOOD1m_,18,3 years ago,"oh! please, for god's sake don't say the word ""disney"" here. they'll raze that village to the ground, buy rights for her name and sell cheap plastic toys at walmart!",哦！请为了上帝的缘故，不要在这里说“迪斯尼”一词。他们会把那个村庄夷为平地，以她的名字购买权利，然后在沃尔玛出售廉价的塑料玩具！
16377,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G98rRJFgPtSt,18,3 years ago (edited),"@skylerx i know, that’s what makes it all the more stupid. i saw an innocent video of a guy in china eating street food and almost all the comments were racist. saying stuff like ‘oh when are they gonna bring out the bat soup’ ‘chinese people are animals, eating anything that walks’ stuff like that.
i really don’t understand how people can be so ignorant.","@skylerx我知道，这就是使它变得更加愚蠢的原因。我看了一个无辜的视频，其中一个人在中国吃街头食品，几乎所有评论都是种族主义者。说诸如“哦，他们什么时候要带出蝙蝠汤”之类的话“中国人是动物，吃任何走路的东西”类似的东西。
我真的不明白人们如何如此无知。"
2626,UgwPqnH1HfJzwIQtd7t4AaABAg,17,1 year ago,"oh my god,how i feel so happy when liziqi has answered all my questions on how they make many food such us, peanut 's.your idea ,your perfect",哦，天哪，当liziqi回答了我如何制作这样的许多食物，花生
37013,UgxYTMrxOTvWAg4hDth4AaABAg.8uKWCkOsw3w8uZr7BOVJFh,17,4 years ago,karen johnosn this is how life should have always been,凯伦·约翰斯（Karen Johnosn）这就是生活应该是的方式
37120,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uVRYcwo2Ar,16,4 years ago,@conjae8474 most girls ? oh please lmao she's stronger than most grown men lmaooo,@conjae8474大多数女孩？哦，请lmao她比大多数成年男子更强壮
28932,UgwMqsCihChClZzuD7p4AaABAg,15,3 years ago,"glory be to god, the greatest creation.
this beauty is on earth?!
so how about the paradise in which mulla ain rat, no permission, have heard, and there is no danger to my heart.
oh god, we see you the highest paradise of paradise","荣耀归于上帝，是最伟大的创造。
这种美丽在地球上吗？
因此，穆拉·艾因·鼠（Mulla Ain Rat）的天堂，没有许可，听到，对我的内心没有危险。
哦，天哪，我们看到你是天堂的最高天堂"
40054,UgygK98eVwoBeT_8F1R4AaABAg,15,4 years ago,"oh what a beautiful video !!!! ... so much peace transmitted to me, and the girl is so beautiful and so hardworking,",哦，多么美丽的视频！
51038,UgwOY6_RorHhx71sZid4AaABAg,15,4 years ago (edited),"oh my gosh, she used music from the digimon soundtrack. makes sense since digimon is quite popular in china.",哦，天哪，她使用了Digimon配乐中的音乐。由于Digimon在中国很受欢迎，因此很有意义。
35032,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vE5yI2EshD,14,4 years ago,"@jadesohpuppy you guys are missing the entire point to his comment. we can all ""learn stuff"" but if our modern lifestyle does not require certain things, it's not the same as years worth of culture past down as a means to survival. 
if she was thrown into city life, she would still have the knowledge, of course but she wouldn't need to do and couldn't do most of these things.","@jadesohpuppy你们错过了他的评论的全部要点。我们都可以“学习东西”，但是，如果我们的现代生活方式不需要某些事情，那与过去的文化年代不一样，而不是生存的一种手段。
当然，如果她被扔到城市生活中，她仍然会有知识，但是她不需要做，也不能做大多数事情。"
42704,UgxIaG1LWazvJiUh5Pp4AaABAg,13,4 years ago,"oh wow that is so unique , i'm so happy to watch your video ,,你好 from egypt",哦，哇，这是如此独特，我很高兴观看您的视频，从埃及来看
9842,UgzNdGEMOITOYf6gMfd4AaABAg,12,2 years ago,i have 2 puppies that follow me around everywhere too! oh wait...... i live in london..... it's two grubby pigeons,我也有2只幼犬在任何地方都跟随我！哦，等等......我住在伦敦.....这是两只肮脏的鸽子
46727,UgzDfaNMLkaseqxDfUZ4AaABAg,12,4 years ago,"sign in in kaohsiung, taiwan, happy new year, i wish you a safe and healthy family","台湾高雄Art签到,新年快乐,祝你全家平安健康"
14276,Ugzep9gjfBURyWfZMid4AaABAg,10,2 years ago,oh my god puppies and sheep look cute walking behind her footsteps,哦，我的上帝幼犬和绵羊看起来很可爱
39488,UgxB16sC9dJ7B2MI5fV4AaABAg,9,4 years ago,oh for god i became addicted to his videos๐๐,哦，对于上帝，我沉迷于他的视频
15433,UgzD12Q99xkqhJjvWWV4AaABAg,9,3 years ago (edited),"this lady is amazing her life is one i would want in future it's to die for; simple yet has like no expenses; she's so creative in what she does from sewing,making food staff,makeup,farming wow✨
her future husband is lucky 't get but oh well...

i started watching her videos today and you just can't stop they are so entertaining 's&i have watched her videos like all day
her skin too is beautiful","这位女士真是太神奇了，她的生活是我将来想要死的一生。简单但没有支出；她在缝制，制作食品员，化妆，耕种wow wow的方面都很有创造力。
她未来的丈夫是幸运的。

我今天开始观看她的视频，而你只是不能停止他们很有趣
她的皮肤也很漂亮"
38994,UgyJGu_lDI1qrnFJCwt4AaABAg,9,4 years ago (edited),"6:00 
li ziqi: oh my lord, iss the demon
grandma: ppfffttt... kids these days","6:00
李齐（Li Ziqi）：哦，我的主人，恶魔
奶奶：PPFFFTTT ...这些天的孩子"
19273,Ugyu1QJf2bIQAoUYpv94AaABAg,8,3 years ago,"oh my... i remember my late grandmother making roasted peanut with the sand, it really brings back old good memories, thank you...",哦，我的...我记得我已故的祖母用沙子做烤花生，这确实带回了旧的美好回忆，谢谢...
43028,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8rZ-hhjKGfp,8,4 years ago,@roseangel7903 oh i understand that life. and you're not easy to change your life but i trust you that you will have good way to change your life.good luck.,@roseangel7903哦，我知道那一生。而且您不容易改变自己的生活，但我相信您将有良好的改变生活的方式。运气好。
21780,Ugx09g4cLEGcqI9Axu94AaABAg,8,3 years ago,"when i was 7: oh hey, you make popcorn by putting it in the microwave.




me now: wait what.","当我7岁的时候：哦，嘿，您将爆米花放入微波炉中制作爆米花。




我现在：等等。"
13407,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9C0VZTTyONZ,8,2 years ago,@mrpharoh321 yes i make cringe jokes but i do like her story and while i was reading the story i was thinking about bread thats she makes,@mrpharoh321是的，我开玩笑，但我喜欢她的故事，当我阅读故事时，我在想面包，这是她制作的
30900,UgxbyZkascI2oe0y3w94AaABAg,8,3 years ago (edited),oooh dried mango...this makes me hungry now..,哦，干芒果...这让我现在饿了..
9476,UgxqCtHrvTzS35Wy--l4AaABAg.9H9CoV7Y4L-9HoxEzR5Jne,7,2 years ago,@naimahkhoiroh8991 india ... (kerala),@naimahkhoiroh8991印度...（喀拉拉邦）
24380,Ugzpl0UNkc7Sdjcaac94AaABAg.9198C8X3Wbs92DDujMYIIT,6,3 years ago,"yeo oh you should, i see these as normal snacks you can find on the table where mum put there ๐",Yeo哦，您应该，我认为这些是普通小吃
3778,Ugz4w8t_zj5Uc9K0FA94AaABAg,6,1 year ago,"oh my god, it's too good, right?",天啊太厉害了吧一亿播放量了
39282,UgwiUx2Wr99inTbPZ5t4AaABAg,6,4 years ago (edited),"oh, nice. that's how i remembered how life used to be...๐•",不错哦。这就是我记得生活的方式...
18202,UgzJBhuaA5svpXUcve94AaABAg,6,3 years ago (edited),"i love how that puppy at the beginning was watching her do that like ""ooh maybe i learn something. wait what was that?"" hahaha

edit: also the stuff she is cooking looks sooo good. it makes me hungry.

edit #2: meanwhile i'm still growing potatoes.

edit #3: that puppy near the end was like: ""awww i want some "" haha he/she is so cute.","我喜欢那只小狗一开始看着她做的，就像“哦，也许我学到了一些东西。等等？”哈哈哈

编辑：她正在烹饪的东西看起来很好。这让我饿了。

编辑＃2：与此同时，我仍在种土豆。

编辑＃3：末尾的那只小狗就像：“噢，我想要一些"
21387,UgyVpb8AHhpysfs4TMV4AaABAg,6,3 years ago,ooh...the cute animals following her everywhere...that means she treats all creatures oook,哦...到处都是她的可爱动物...这意味着她对待所有生物oook
18368,UgwpohfHbjreIwtoLDp4AaABAg,5,3 years ago,"this make me feel ""oh this is how our grandparents are grown being busy the whole day , in a productive way "" 

now it becoming my dream to be like this atleast in near future....","这让我感到“哦，这就是我们的祖父母以一种富有成效的方式整天忙碌的方式”

现在，在不久的将来像这样至少成为我的梦想。"
23461,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92W8I_MqF25,5,3 years ago,"himawari nohara i have a spray below. i can't see others show some good things in china, and i can't see others studying abroad. i donโ€t understand, this is the quality of those chinese people, shameing to china",Himawari Nohara 我下面就有一个喷子，看不得别人展示中国一些好的东西，也看不得别人出国读书，自己不行就仇富。搞不明白，这就是那些中国人的素质，给中国丢脸
12284,UgwtNVPqMzds7pPj0IJ4AaABAg,5,2 years ago (edited),oh my god the little sheap,哦，天哪，小sheap
38789,UgxLOJzCLiFNyI5GCW14AaABAg,5,4 years ago,"oh my god, that egg roll is what i like the most when i was a kid.",天啊，那个 蛋卷是我小时候最喜欢吃的东西。
24879,UgzfMc1C_7aPwwHjG2h4AaABAg,5,3 years ago,"oh, it's cute ....",哦，很可爱。
31521,UgxuR62736yWQCwXAwV4AaABAg,5,4 years ago,ohh the lil dog and the two goats and how they follow her around at the beginning of the video just made my day,哦，小狗和两只山羊，他们在视频开始时如何跟随她，这让我很高兴
26285,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-TvXQRT7Rp,5,3 years ago,"ohh! so it was you?!..was wondering who was that awesome person,whose comment i just passed by!๐ keep going.",哦！那是你吗？！
11565,UgyU7R1O-9-gK1ELWPZ4AaABAg,5,2 years ago,"john 3:16

for god so loved the world that he gave his only-begotten son (jesus christ), so that everyone who believes in him may not perish, but have eternal life. ๐’–๐’•","约翰福音3:16

因为上帝如此爱这个世界，以至于他赐给了唯一的儿子（耶稣基督），以使每个相信他的人都不会灭亡，而是拥有永生。"
30211,Ugxi75m3jfJ6iANBcfR4AaABAg.8xFrJVAC6OH8xN3UX2wzB4,5,3 years ago,"as a kid, i thought it's the explosion process that transforms the boring rice into much better pop version, then i tried to make it myself, with easy explosion material i can get--fireworks. oh boy! at least it was fun for a moment.",小时候，我认为正是爆炸过程将无聊的大米转变为更好的流行版本，然后我尝试自己制作出来的爆炸材料，可以得到我的爆炸材料。好家伙！至少有一会儿很有趣。
24562,UgzjEmiJEQMksxwriRh4AaABAg,4,3 years ago (edited),oh my god! this channel! i won't skip ads for contents like this! infacts we need more ads so the creator can make more.,我的天啊！这个频道！我不会跳过这样的内容！实际上，我们需要更多的广告，因此创建者可以制作更多广告。
24165,UgyzelBmx3xU_6SIPDp4AaABAg,4,3 years ago,"oh she has so cute company ,little dogs and sheep,birds are singing,cows,pigs,grass,flowers,unusual nice fruits and vegetables,garden,nice old village house,no plastic,nothing artificial, simply people,life without stress",哦，她有如此可爱的陪伴，小狗和绵羊，鸟儿在唱歌，牛，猪，草，花，不寻常的水果和蔬菜，花园，漂亮的老村房子，没有塑料，没有人造的，简单的人，没有压力的生活
47834,UgzBKSWpjoOqA0RADDh4AaABAg,4,4 years ago,oh gosh! i love this vid,哦，天哪！我喜欢这个vid
14615,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AgqP_Zcrzo,4,2 years ago,"@user-ce5xg9ko6m ohhahaha, the title of the film is really good, from time to time, you have to come and look at it. it's too delicious. look at the big screen super comfortable. the heroine should win the academy award.
7 brothers vividly and appropriate text descriptions are particularly powerful. essence essence princess qi is coming to take this person into the team and play.","@user-ce5xg9ko6m 呵呵哈哈哈，片名取得真好，时不时就要来重看一下的，太有滋味了这部，看大屏幕超舒心，女主角很该得奥斯卡奖的
7兄生动贴切的文字描述特厉害。 。 。柒公主快来将此人揽入团队效力呀"
46739,UgyOUssndE0VZgxNk6B4AaABAg.8qrt3VhOP998r2-8hIYbN9,4,4 years ago,@xiaohan feng i lol at your response did i say anything bad for you to call me stupid? please read my comment clearly.,@xiaohan Feng i在您的回复中我说什么不好，让您称我为愚蠢？请清楚地阅读我的评论。
29746,UgzenTanNdrVJ8K6X4B4AaABAg,4,3 years ago,"oh she's so cool, fantastic i wanna be like her๐ญand the animals so cute ๐",哦，她太酷了，很棒，我想像她一样和动物一样可爱
31767,UgwAKNy42sN7QW9nuIR4AaABAg,4,4 years ago,oh my gosh the puppies are so cute ๐ถ๐’•,哦，天哪，小狗真可爱
30630,UgwBxxvSNnIa4c9cBxh4AaABAg,4,3 years ago,"oh god what a climate, her cooking simply super",哦，天哪，她的烹饪只是超级
51477,UgyEGv8Ois3Dsjb5cHF4AaABAg,4,4 years ago,"0:02 i was like ""wait, one of dogs seems a bit... different? ohh yeah"" 
nice video ! really enjoyable to watch.","0:02我就像“等等，其中一只狗似乎有点...哦？哦，是的”
不错的视频 ！真的很有趣。"
47367,UgxdFLhERRBfP1AGQ594AaABAg,4,4 years ago,oh come on! feed those puppies already! look at those faces! omgsh!,哦，来吧！已经喂那些小狗了！看那些面孔！天哪！
9614,UgwiUKs9CznPh4uh4AJ4AaABAg.9H1aNavRHpS9HOJuxzpdGp,4,2 years ago,@thatone6342 ohh really,@thatonone6342哦
51391,Ugz4T9MJPXg4TiuE5o54AaABAg.8qlWUCBsGdF8qlnv-im8H0,4,4 years ago,"oh my god, i used to take a screenshot of li ziyi's video to the wechat circle of friends, saying that this is the cleanest place in youtube. you can see the praise of many languages ​​in the world. in such a good place, it was finally polluted. it doesn't matter. a certain island, i have sent screenshots of the vicious comments under the dai ziying incident to weibo/post bar/friend's circle, so that more kind chinese people can see hate, visualize it, see what a treasure method is alishan sun moon lan treasure island in textbooks. dai ziying's incident has an islander commented: the woman is a bad kind and other races. the world only has confinement to stretch. if they do not sit, they will die. japan and south korea do not need to applaud the cow fork! haha, in the past few years, i have worked hard to promote friendship between the two sides of the strait in my life and youtube, and i have no longer worked hard since september 18. now i often send a comment on a certain island in youtube to the circle of friends. hehe, and personally persuaded a few elderly relatives and friends who want to travel to a certain island, let them go to new matthew, support our friendship and overseas chinese, ha ha","我的天啊，我之前把李子柒视频下的评论截屏发到微信朋友圈，说这是YouTube里面最干净的地方，你可以看到全世界很多语言的赞美之词。这么好的地方，最终还是被污染了一下下，没关系啦，某岛，我已经把戴资颖事件下的恶毒评论截图发到微博/贴吧/朋友圈，让更多善良的中国人民看到仇恨，visualize it, 看看教科书里的阿里山日月潭宝岛是怎么个宝法。戴资颖事件有个岛民评论: 支那女人是劣等人种，全世界只有他们坐月子来苟延残喘，如果不坐，就会死，日韩就不需要坐 鼓掌"
48524,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qnAMCv3_lm,3,4 years ago,laohu oil pipe research institute haha ​​is very cute,老胡油管研究院 哈哈 说的很可爱
35765,UgxBws1KEuWZaE4_SN54AaABAg,3,4 years ago,oh my god i just realised those pancake roles were the same eggrolls shishimanu from ninja hattori liked!,哦，天哪，我刚刚意识到那些薄煎饼角色是忍者Hattori喜欢的Eggrolls Shishimanu！
30505,UgzVPhYJhtJe1Eyz9hh4AaABAg,3,3 years ago,oh! i do need that place to revamp my soul from scratch and be away from city's riot !,哦！我确实需要那个地方来从头开始改造我的灵魂，并远离城市的骚乱！
4316,UgyE6dyIHnuMSUZIqhF4AaABAg,3,1 year ago,98m oh my god...waiting for 100m view,98m哦，我的上帝...等待100m的视图
18369,UgwP9Ell0IiEMc7bhIh4AaABAg,3,3 years ago,"omg she has 3 escorts, two dogs oh wait is that a goat",天哪，她有3个伴游，两只狗哦，等等是一只山羊
46732,UgyOUssndE0VZgxNk6B4AaABAg.8qrt3VhOP998qxmqa0BPJy,3,4 years ago,"steven universe do you realise that there are people in this world that have a severe medical condition which causes them to be that way? my mother for instance is one of those people. she is a truck driver that has bad knees and a bad back from driving the truck but you probably do not care about that case either. oh well i am not one of those people i am 6'4"" 245lbs and i exercise every day. i would love to see you say something like to my mother in front of me. probably never happen though you are probably just an internet tough guy. i doubt very seriously you would say that to someones face. just my thought.what do you think. oh i am sorry you probably do not have a brain. i on the other hand will be happy to buy you a plane ticket to come here and see if you have the nerve to say that to someone i know.",史蒂文宇宙，您是否意识到这个世界上有些人患有严重的医疗状况，导致他们这样做？例如，我的母亲就是其中之一。她是一名卡车司机，膝盖不好，驾驶卡车的后背不好，但您也可能不在乎这种情况。哦，好吧，我不是我6'4“ 245磅的人，我每天都在运动。我很想看到你对我面前的母亲说的话。尽管您可能只是一个互联网，但可能永远不会发生伙计。我非常怀疑你会对某人说的。只是我的想法。你想什么。哦，对不起，你可能没有大脑。另一方面，我很乐意为您买一张机票来这里，看看您是否有胆量对我认识的人说。
17064,Ugwm1u1JybX-VWxgaDV4AaABAg,3,3 years ago,"when ever i watch liziqi's videos, there is always that small, repetitive, semi-reasonable voice in the back of my head begging: ""teach me your way, oh great one!"" who else would want to learn from liziqi?",每当我观看Liziqi的视频时，我的脑海中总会有那么小，重复，半合理的声音：“教我您的方式，哦，哦，伟大的一个！”还有谁想向利兹基学习？
46686,Ugx2RrdPy-6RTIujGnJ4AaABAg,3,4 years ago,"what’s funny is that all of our lives can be this relaxed and simple, no matter where we live. yet, we keep looking to other cultures, history, groups, movements, to find the answers. but it’s truly right in front of us. love to you all. oh, and i make music on my channel if you care to look. much love",有趣的是，无论我们住在哪里，我们的一生都可以轻松而简单。但是，我们一直在寻找其他文化，历史，群体，运动来找到答案。但这确实就在我们面前。爱大家。哦，如果您想看，我在频道上做音乐。非常喜欢
3879,Ugxr0TP6OoIK96HlZ5Z4AaABAg,3,1 year ago (edited),ohh my god i haven't seen like this scenery in my hole 15 years of life,哦，我的上帝，我没有在我的洞15年的洞中看到这种风景
16379,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G98rUGT3m-k6,3,3 years ago,@angelina_allanson8759 oh wow that's awful i don't get it eithier :(,@angelina_allanson8759哦，哇，真糟糕，我不知道它:(
34473,UgwC72wbL_HvXEoXb414AaABAg.8v1GcQpcY7U8vWqtE2pVQB,3,4 years ago,"samira kohistany it makes us realize, we're stuck to our phones doing absolutely nothing in life.",Samira Kohistany使我们意识到，我们坚持使用人生绝对没有做任何事情。
39173,UgxRepg-7U0OEGxhz0N4AaABAg,3,4 years ago,"john 14:6 new international version (niv)

6 jesus answered, โ€i am the way and the truthand the life. no one comes to the father except through me.
jesus loves you, only he can forgive all your sins and give you eternal life","约翰14：6新国际版（NIV）

6耶稣回答：“我是道路和真理和生活。除了通过我，没有人来找父亲。
耶稣爱你，只有他才能原谅你所有的罪过，给你永生"
24461,UgzbuqXXYtNJwmQy5iB4AaABAg,3,3 years ago,"me: oh what a neat antique popcorn popper, i guess that's just how it's done without a microwave, i always thought it was done in a pot. huh, i wonder why ziqi is freaking ou--
popcorn popper: boom
me: ๐‘€","我：哦，多么整洁的古董爆米花波普尔，我想这正是在没有微波炉的情况下完成的，我一直认为它是在锅中完成的。嗯，我想知道为什么Ziqi吓坏了 - 
爆米花流浪汉：繁荣
我："
19565,UgxINQObN9vLMxn464p4AaABAg,3,3 years ago,"oh, it's very healing .. ,,","哦，这是非常康复的.. ,,"
