,cid,votes,含happy,含happy中文翻译
47782,UgxSOYwNbzpl1wzQazh4AaABAg,141,"i wish you all the happy new year, congratulations to your fortune and good health! blessings from malaysia",祝各位同胞们，新年快乐 恭喜发财 身体健康 万事如意！来自马来西亚的祝福
28148,UgxV6wwjOWPppmiiUF54AaABAg,139,so happy to see that so many people in the world love chinese traditional culture.,很高兴看到世界上有这么多人喜欢中国传统文化。
51686,UgxYasu9FDqzWgUHqsl4AaABAg,134,"happy chinese new year 

","春节快乐

"
7585,UgzxlPsU44VpexDLA5F4AaABAg,133,"li ziqi, and your family, and other chinese people, happy chinese new year! this video was very amazing!",Li Ziqi，您的家人和其他中国人，新年快乐！这个视频非常了不起！
47987,UgwLW4o1hqOj1Kt0IX14AaABAg,130,happy chinese new year,春节快乐
1653,UgxpCNf78P4NrPxdAlF4AaABAg,129,wonderful woman. imagine a job so happy living your normal life and get paid so well,了不起的女人。想象一份工作如此快乐，过着自己的正常生活，并获得良好的薪水
46170,UgwmcXaCHC83nLj3DVJ4AaABAg,126,happy chinese new year❣ thank you very much for the beauty❣❣❣ with love from russia❣❣❣,春节快乐❣非常感谢您的美女❣❣❣俄罗斯的爱
48260,UgwBblU4QoNakBytV7p4AaABAg,124,"dear ziyi, you bring hold to people on economic! no wars, face, point, disease and sorrow if everyone learns to be loving and self-sufficient like you. you're an e ncyclopedia for us to standy forever:) happy chinese new year from eagle mountain, utah, usa.
dear ziyi, you bring hope to world peace.
if everyone learns love and self -sufficiency like you, war, famine, poverty, disease and sadness will completely disappear. you are our eternal encyclopedia:)
happy new year-greetings from yingshan, utah, usa.","Dear 子柒, you bring hope to Peace on Earth ! No wars, famine, poverty, disease and sorrow if everyone learns to be loving and self-sufficient like you. You're an encyclopedia for us to study forever : ) Happy Chinese New Year from Eagle Mountain, Utah, USA. 
亲爱的子柒，你为世界和平带来希望。 
如果每个人都像你一样学会爱和自足，战争、饥荒、贫穷、疾病和悲伤将彻底消失。你是我们永远的百科全书 : ) 
新年快乐--来自美国犹他州老鹰山的问候。"
52326,UgyXY00bdu8Z3KpM2ZN4AaABAg,114,"leave a name, i wish all the chinese pigs a happy year, their own blessings, healthy and peaceful!",留个名，祝所有华人猪年快乐，各有其福，健康平安！
51691,UgzJF68EYULJZmn7f5l4AaABAg,97,happy chinese new year my motivated girl ❤❤❤ wish you luck in your life.,春节快乐，我的积极进取的女孩❤❤❤祝你一生好运。
28580,UgzIOB13gZ2nytgghjd4AaABAg,93,i don't know how i got to her videos but man am i so happy to know about this woman! im def. a fan,我不知道我是如何看她的视频的，但是伙计，我很高兴知道这个女人！ IM DEF。粉丝
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,fantastic fantastic fantastic really i liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy chinese new year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
47388,UgyPAmvkUntYoit6SJJ4AaABAg,90,happy chinese newyear. say hi to your lovely grandma.,快乐中纽约。对你可爱的祖母打招呼。
45779,Ugw5E_fX8RAn-9bIRsx4AaABAg,87,happy chinese spring festival to you and your grand mother (love u grand maa),中国春节快乐给您和您的祖母（Love U Grand Maa）
43448,Ugx9ruLaofWW27tWLNF4AaABAg,86,that’s the coolest popcorn! happy lunar new year miss li!!,那是最酷的爆米花！李小龙小姐李小龙！
51901,UgzTBLVKdNYJAFiv7T14AaABAg,78,"the lunar new year is almost the same as li ziyi bless you every day, happy, carefree health, and blessing your grandma longevity and longevity.",农历新年 快到了 李子柒 祝福妳 每天都快乐 无忧无虑 身体健康 也祝福妳奶奶 长命百岁 万寿无疆 来自台湾地区 一个平凡人的祝福
48806,UgyHuwpbOpHWwevzdEh4AaABAg,76,happy chinese new year,春节快乐
50202,UgxTXDY2WzPeajjE1TV4AaABAg,76,happy chinese new year!! this video is awesome. god bless you and your family.,农历新年快乐！该视频很棒。上帝保佑你和你的家人。
47153,UgwRgCDaUhzvBuYPQjp4AaABAg,73,"all plants growing and well maintained,,, all delicious fruits gained easily,,,surrounding by happy puppies ... you are living in heavenly garden",所有生长且维护良好的植物，所有美味的水果都很容易获得，周围是幸福的小狗……您住在天上的花园里
47584,UgwgzydsHM_WqD7TLO54AaABAg,73,"i think this must be one of the best videos in this channel. all the foods prepared by li are very delicious. i like those puppies who have been following her. watching such a video makes me happy and calm my thoughts. you are great, li ziyi",我认为这必须是这个频道中最好的视频之一。李准备的所有食品都非常好吃。我喜欢那些一直跟着她的小狗。观看这样的视频让我感到高兴，让我的思绪平静下来。你太棒了李子柒
12707,UgwWCHWN-u-UvxCoPPZ4AaABAg,65,"i wish i had her life.. i'd be happy to do the hardworks than watching netflix and playing mobile legends,",我希望我有她的生活。
51500,Ugw11-qq_fElFiXqNZZ4AaABAg,63,happy chinese new year! don't forget to invite me,农历新年快乐！别忘了邀请我
48671,UgwfR-8XXg2vnDU4RTd4AaABAg,63,happy chinese new year,农历新年快乐
24297,UgxX3-kNRDI1OS4QRcJ4AaABAg,61,she just inspire everyone to live a simple but a meaningful happy life ..,她只是激励每个人过上一个简单但有意义的幸福生活。
36715,UgzhgXVpL3E3YQ3N9FN4AaABAg,60,i found this in my 1am scrolling on youtube and i'm so happy i did,我在YouTube上的1am滚动中找到了这一点，我很高兴我做到了
21207,UgxPn91sUsWYBwhEF1J4AaABAg.93uKWsEplVV93x_937hx_a,60,elns watching people making popcorn like that was one of the happiest things in my childhood. back then we had very few snacks or food. the popcorn guy walked town to town. when he came to our neighborhood we were really happy. we brought our own rice or corn kernel and only paid him several cents for making popcorn. he roasted his tightly sealed pot over fire. at the end he released the lid and it made a super loud sound. and we the children just jumped away with laughter.,Elns看着人们做爆米花的人是我童年时代最快乐的事情之一。那时我们有很少的小吃或食物。爆米花的家伙走到城镇。当他来到我们附近时，我们真的很高兴。我们带来了自己的米饭或玉米仁，只付了他的几分钱来制作爆米花。他在火上烤了紧密密封的锅。最后，他释放了盖子，它发出了超大的声音。我们的孩子们只是大笑起来。
39694,UgwQcWZrlXAU2kq2xUp4AaABAg,58,"i scared and jumped up, it's really cute
่ฑ seeing the full english comments below, i really feel happy for you. people in different countries like your videos very much, and people who watch it also feel easy and happy. i wish you and grandma who can live a happy and healthy manner every day like now ๐","吓到跳起来那下真的太可爱了
"
48076,UgzQ0ZHjeB3O_R4NCvV4AaABAg,58,happy chinese new year . from viet nam,农历新年快乐。来自越南
44884,UgwvadNSiPiMMzuZfJV4AaABAg,56,"translated into russian:

translation: in this video, is it preparing snacks for the chinese new year. year of pig. here is the list of what she did: she climbed the mountain, gathered several chestnuts and fried them in the oven, which she herself built. tsukati from hawthorn on a stick (bing tan hulu). she covered the berries with chinese stone sugar. sesame and peanut sweets. dried mangoes. zephyr squares. spicy and numb, sluggish beef. frying seeds. arachis fried. egg roll note: ms. lee lives in the province of sichuan, china. sichuan from ancient times is called the earth of abundance. you can literally throw the seed to the ground, and the plant will grow like crazy. they have everything there. some of those whom she uses can be inaccessible to people in other countries. a couple of her happy followers on weibo will receive these snacks from her. she loves to give out free things to her followers. she said that she did not exist if her followers had not supported her.","翻译成俄语：

翻译：在此视频中，是为农历新年准备小吃。猪年。这是她所做的事情的清单：她爬上山，收集了几个栗子，然后在烤箱里炸了它们，她自己建造了。 Tsukati来自霍索恩（Hawthorn）的棍子（bing tan hulu）。她用中国石糖覆盖了浆果。芝麻和花生糖。干芒果。 Zephyr正方形。辣，麻木，牛肉缓慢。油炸种子。阿拉奇炸。鸡蛋卷注意：李女士住在中国四川省。来自古代的四川被称为丰富的地球。您可以从字面上将种子扔到地上，植物会疯狂地生长。他们在那里有一切。她使用的一些人在其他国家可能无法访问。她在微博上的几个幸福的追随者将从她那里收到这些小吃。她喜欢给她的追随者免费提供东西。她说，如果她的追随者不支持她，她就不存在。"
49842,UgwjeVj4yhpd281--314AaABAg,55,"happy chinese new year li ziqi. you're amazing and talented
love from philippines","农历新年快乐李齐。你很棒，才华横溢
来自菲律宾的爱"
49610,UgzVYLxmZPrmN3BCGLF4AaABAg,55,"i'm so happy that this vídeo is 10 minuts long ! 
thank you","我很高兴这个Vídeo长达10次启发！ 
谢谢"
51946,UgyRqoq4BU372cgEWup4AaABAg,53,"a few days will be the new year of the lunar calendar, i wish you all a happy new year! the chinese nation is great because of everyone!",过几天就农历新年了，祝各位同胞新年快乐！中华民族因各位而伟大！
48335,UgzNachsIUghyMWqZHt4AaABAg,53,the smell of fresh made egg rolls and nut crunch! it's chinese new year for sure. happy chinese new year to everyone and may everyone have good fortune and prosperity in the year ahead,新鲜制成的鸡蛋卷和坚果紧缩的气味！肯定是农历新年。每个人都祝大家新年快乐，愿每个人在即将到来的一年都有好运和繁荣！
50376,UgwH_tgqjcUGWbgHUjl4AaABAg,52,i wish all chinese and non -chinese chinese happy and happy,我祝愿所有中国人和非中国人的中国人幸福快乐
46784,UgxAZIpHVhLv5gWAjoF4AaABAg,51,"i’m so happy to see someone who can show the the different life of chinese people, neither just the miserable one in some chinese movies and western news, nor modern good life in some big cities from chinese media. from the comments, i found most of us, no matter where are you from, share the similar value and aesthetics. we are not so different.",我很高兴见到一个可以展示中国人民生活的不同生活的人，既不只是中国电影和西方新闻中的痛苦，也不是中国媒体上一些大城市的现代美好生活。从评论中，我发现了我们大多数人，无论您来自哪里，都分享相似的价值和美学。我们没有那么不同。
25348,UgwJVpehKaKELcdYy8p4AaABAg.9-RhCpaDX1W902RsjUdBuk,50,"@sonnen-bogenmensch8694 my life is good and i love ziqi's videos. if it was show it would not matter to me, i would still love the message and warmth she sends. but i believe ziqi's heart is good and that is enough for me. beautiful girl with a sweet grandma making down to earth videos, what's not to love? i think my friend you need to check your own life and see why your so unhappy and attack others for being happy. take care.",@sonnen-bogenmensch8694我的生活很好，我喜欢Ziqi的视频。如果显示出对我来说并不重要，我仍然会喜欢她发送的信息和温暖。但是我相信Ziqi的心是好的，这对我来说就足够了。美丽的女孩，有一个甜美的奶奶播放地球视频，什么不爱？我认为我的朋友您需要检查自己的生活，看看为什么您如此不开心并攻击他人快乐。小心。
50413,UgwmMZ5xdhF2Ac0JS9l4AaABAg,48,i love your videos. god bless!!! happy chinese new year,我爱你的视频。上帝保佑！！！农历新年快乐
14119,UgwdK_RLg87nT1M_T2d4AaABAg,47,i don't know why i really like liziqi.. so natural.. cute.. wnderfull life in her village make my heart so happy.. love you liziqi.. from indonesia,我不知道为什么我真的很喜欢Liziqi ..如此自然..可爱.. Wnderfull的生活使我的心变得如此快乐..爱你Liziqi ..来自印度尼西亚
47829,UgxzMiKny8M3HW1inYZ4AaABAg,45,wonderful! happy new year from australia,精彩的！澳大利亚新年快乐
49527,UgxKGc98LbV5EVRPIqh4AaABAg,45,"this was pure heaven. 
happy chinese new year to all.","这是纯粹的天堂。
所有人的农历新年快乐。"
50059,UgxvLkvJocwCYEfl_W94AaABAg,44,happy new year from germany. may you and your family be blessed with health and luck. and may your hard work bring you prosperity. your videos are always so relaxing and help to calm down in this stressfull days.,来自德国的新年快乐。愿您和您的家人拥有健康和运气。愿您的辛勤工作带给您繁荣。您的视频总是如此放松，并有助于在这种压力的日子里平静下来。
7774,Ugx9CQFCvBhTm5r0Gk54AaABAg,43,"new year is coming. this video is still my favorite. happy chinese new year, ziqi!",新年即将到来。该视频仍然是我的最爱。农历新年快乐，Ziqi！
46857,UgxyHdNFG8GxD0TWdWJ4AaABAg,43,"bless the chinese new year of the world. the new year this year can not return to china because of the exam. ziyi and i came from the same place. when i saw her video, i thought of her grandma, because ziyi did something that many sichuan women would do, passed down from generation to generation. unfortunately, many people in the mother are unwilling to learn. they are very happy to see that young people inherit these things. in addition, i will make most of the dishes she will make. it is also what grandma taught me before i went abroad. i was afraid that i could not eat the taste of my hometown outside. i hope that young people can take the initiative to inherit the traditional culture of our chinese nation ~ i hope to graduate soon and return to sichuan as soon as possible.",祝福全球华人新年快乐。今年过年因为要考试没办法回国啦。我和子柒来自同一个地方，看到她的视频就想起了自己的奶奶，因为子柒做的就是很多四川女人会做的东西，代代相传。可惜到了妈妈辈很多人都不愿意学习了，很开心看到还有年轻人传承这些东西。另外，她做的菜我会做大半部分，也是奶奶在我出国之前教我的，怕我在外面吃不到家乡的味道。希望年轻人都能主动传承发扬我们的中华民族的传统文化吧~ 希望早日毕业，早日回到四川。
50315,Ugyv4PCsL3UpbiQ0fi14AaABAg,42,"happy new year dear may your life full of love,happy and gratitude... love you dear...",新年快乐亲爱的愿你的生活充满爱，快乐和感激...爱你亲爱的...
13817,UgxTPEhZueXTD1lsRfF4AaABAg,41,"i don't know why, i am a big man, watching this video crying. perhaps it is moved in the world to have such a peaceful, beautiful, close life of nature, and then look at the mediocre and complicated and complicated work every day in the city. ziyi wishes you and mother -in -law who has always been healthy and happy, thank you for your video.",不知道为什么，我一个大男人，看这视频哭了。也许是感动世上有这么宁静的，美好的，亲近大自然的生活，再看看自己每天在城市里庸庸碌碌紧张复杂地打拼着，很向往。子柒祝福你和婆婆一直健康快乐，谢谢你的视频。
48641,UgzqTdOund5JJ71uno54AaABAg,37,"thank you, and happy chinese new year.",谢谢你，春节快乐。
47324,UgyokK6B7E47XLXi7OJ4AaABAg,37,"happy chinese new year to u and grandma!!! 
i love watching ur videos! the life u live is beyond beautiful...","在春节快乐，你和奶奶！！！ 
我喜欢看你的视频！你的生活超越美丽..."
47902,Ugwxb_pQgGhGPj7AkIN4AaABAg,37,happy chinese new year !!! love from india,农历新年快乐！！！来自印度的爱
48052,UgxSlmgJ76fpxtlh0pl4AaABAg,36,happy chinese new year miss li!,李小读李小姐快乐！
32985,UgwQs0yX0gqfp6dq9eR4AaABAg,36,quality content like this here on youtube are very rare! i'm so happy i found this channel! ๐๐๐ญ,YouTube上这样的优质内容非常罕见！我很高兴找到这个频道！
53026,Ugw0nRtPV2JZB2Hayed4AaABAg,36,happy new year ... angel ...,新年快乐...天使...
46306,Ugx7UxP47xFbaayUuQV4AaABAg,34,happy chinese new year,春节快乐
46911,Ugw5hxcQINMIaUYcc0p4AaABAg,33,"hi... from thailand.
i very like this channel.
happy chainese new year!!","嗨...来自泰国。
我非常喜欢这个频道。
链链新年快乐！！"
50784,UgzL2o4__dbstWrlFOR4AaABAg,33,i wish you all a happy new year and the year of the pig!,祝在座各位大家新年快乐，猪年大吉！
15324,Ugw-OoR0dTxKFyeP31p4AaABAg,33,"obight after this video
97%likers: happy new year! three%of people: tears new year!","此视频观后感
97%点赞者： 快乐新年！ 3%采的人： 泪洒新年！"
38471,Ugwbxyiat2vTu2Jfcep4AaABAg,33,best video iโ€ve seen in my life.. donโ€t know why... maybe itโ€s knowing the old lady must be happy makes me happy.. uau,我一生中见过的最好的视频..不知道为什么...也许是知道老太太一定要快乐让我开心。
48599,Ugx-fy1U_RaFVlXu3fh4AaABAg,32,"to ziqi and to everyone, happy chinese new year! i'm gonna eat some sticky rice cake here on the day of chinese new year",Ziqi和所有人，春节快乐！我要在农历新年那天在这里吃一些粘米蛋糕
50038,UgxHMaRcAUqVKMIAxIl4AaABAg,31,happy chinese new year <3 love from malaysia,农历新年快乐<马来西亚的爱
50036,UgyQLkCzrfLZfBONlFh4AaABAg,30,happy chinese new year to li zi qi & lovely popo :),李齐和可爱的popo的农历新年快乐:)
48132,Ugys051YCooFfA4pyaF4AaABAg,30,happy chinese new year,农历新年快乐
51490,UgyobaIqVKJhF0zht0V4AaABAg,30,happy chinese new year,春节快乐
50685,Ugx0RV8ktB83UZC8OBB4AaABAg,29,"happy chinese new year
i'm from north-east india and our tribe name is karbi... we karbi people also celebrate our new year on 1st february","农历新年快乐
我来自印度东北部，我们的部落名称是卡比...我们卡比人民也在2月1日庆祝我们的新年"
22206,UgznGHvFZd5j5UdQYxp4AaABAg,29,"rural life is everyone's yearning and desire, full of beauty.of course, there are also hard work, but happy days.",乡村生活是每个人的渴望和渴望，充满了美丽。当然，也有艰苦的工作，但快乐的日子。
50256,UgzEMEDhpwtgD3IMPRF4AaABAg,28,happy chinese new year from indonesia,来自印度尼西亚的农历新年快乐
9088,UgxA8_b7MyADM9PfLl54AaABAg,27,"just amazing.the place is so beautiful, happy in knowing that still these types of places exists in this world",真是太神奇了。这个地方是如此美丽，很高兴知道世界上仍然存在这些类型的地方
4210,UgzooBw5L5LBqVxY5_54AaABAg,27,these videos are very useful for those who want peace of mind.it feels so happy and peaceful to see this way of life.the pleasure of living in harmony with nature is something else.,这些视频对于那些想要安心的人来说非常有用。
49826,Ugys_wXtzKAaP1ppMLF4AaABAg,27,happy chinese new year,春节快乐
43625,UgwEjFsNd0cxZjZo9sN4AaABAg,26,"everything about this channel is so soothing and relaxing, the best way to end the day! very thank you! happy new year! may you be happy and prosperous!","Everything about this channel is so soothing and relaxing, the best way to end the day! 很谢谢！ 新年好！ 恭喜发财！"
27189,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zYEyAklC6G,24,i have a chinese friend and her mother is also like that btw i hope li zizqis happy right now,我有一个中国朋友，她的母亲也像这样，我希望李Zizqis现在快乐
51678,UgyNaIpO8VnwyflZDM14AaABAg,24,"open the video, i saw ziyi again. you are a great girl! find your own fun in your life! doing something is the tao, what do you have, you can be too grocery store. i hope you will introduce you to the cooking techniques for us for a year! i wish you a happy and happy grandma!",打开视频， 我又见到子柒了。你是一个很了不起慨女孩子! 在生活里面找寻自己慨乐趣! 做起事来头头是道， 你有什么事情难道你， 你可以太杂货店了。希望你你来 一年 介绍你多啲烹饪技术给我们睇! 祝你和奶奶幸福 快乐!
46908,Ugxt_UgIcBmTXIOOGpt4AaABAg,24,"i love this episode the most! especially when she go cover her grandma ear lol. happy chinese new year to you and your grandma!

scene that you may miss the small cute details
0.42 when she crack the chestnut and puppy feet try to steal it. great shot!
3.33 i guess everyone who cook would want to get that wooden ingredient tray! 
5.55 when they open the popcorn pot 
8.47 the pomelo street look like a fairy tale but you all know that you should not eat those fruit on the floor. (except chestnut and ginko of course!) 
9.30 the puppies look like they gonna jump into fire! and her grandma giggle is adorable! 
9.48 you can see all the love in there","我最喜欢这一集！尤其是当她去遮盖奶奶耳大声笑时。在春节快乐，祝您和您的祖母！

您可能会想念小的可爱细节的场景
0.42当她破裂栗子和小狗时，试图偷走它。好球！
3.33我想每个厨师都想得到那个木制成分托盘！
5.55当他们打开爆米花锅时
8.47 Pomelo Street看起来像个童话，但大家都知道您不应该在地板上吃那些水果。 （当然除了栗子和银杏！）
9.30幼犬看起来像是要跳火了！她奶奶咯咯笑！
9.48您可以看到所有的爱"
51350,Ugzr-KAy15lIgbdS19p4AaABAg,24,happy chinese new year! happy new year of the world,Happy Chinese New Year! 祝全球华人新年快乐
46837,UgxtV8e_RT_lfXV5xJN4AaABAg,24,"li ziyi's film can express one thing. no matter where you live, you can live very delicately. everyone is almost new year, i wish you all a happy new year in advance.",李子柒的影片能表达一件事，无论你生活在什么地方，你都可以活的很精致。各位快新年了，提前祝大家新年快乐啊。
47682,UgxVLaRdVsKdAsuwfEN4AaABAg,24,"happy chinese new year,,,
gong xi fat cai,,,","农历新年快乐
Gong Xi Fat Cai ,,"
48021,UgxYP_vQz74x8dPn7id4AaABAg,23,happy chinese new year....love from kerala......,农历新年快乐....来自喀拉拉邦的爱......
50834,UgyhoGmp8z0d7AfeO7t4AaABAg,23,happy chinese new year,农历新年快乐
48332,Ugyff1sCUTwgrhhFv2t4AaABAg,22,"ziyi new year, happy i like this channel too much",子柒新年快乐 我太喜欢这个频道了
48435,UgzX3I_1VpyiGc_z1sl4AaABAg,22,"happy new year
god
i started tracking from about the year's vegetable film
it's been a year
nice to have you","新年快乐
天啊
之前大约从年菜影片开始追踪的
也已经一年啦
有你真好"
48447,UgzTs5i_jogSDa26tyR4AaABAg,22,happy chinese new year to all!\^o^/,所有人的农历新年快乐！\^o^/
47407,UgzbcofIwUzW9dxL4hl4AaABAg,22,happy chinese new year everyone,春节快乐大家
49503,UgxaE7KhdDZT9yFA_NZ4AaABAg,22,happy chinese new year!! i never lost any video of you !! wish you all the best!!! ❤,农历新年快乐！我从来没有失去过你的视频！祝你一切顺利！！！ ❤
52502,Ugydt0wkhHMcm9dSOZB4AaABAg,22,"hello, how are you ? i love grilled chestnuts ! in my region ""limousin (france) we have a specialty that is ""black pudding with chestnuts"".. thank you to you ! happy thursday.",你好吗 ？我爱烤栗子！在我的地区，“法国劳蒙（法国），我们有一个特色菜是“栗子黑布丁” ..谢谢你！星期四快乐。
49720,UgwgGQZpgbqF9Yn1xzl4AaABAg,22,happy chinese new year beautiful lady 'm from indonesia .,春节快乐美丽的女士
49738,UgwntZXtpLsKRc0zjtZ4AaABAg,21,"happy new year, i am a happy new year.
fans from malaysia 亚","祝子柒新年快乐，
来自马来西亚的粉丝"
50129,UgzPrd-kgjP8l8MsH6x4AaABAg,21,happy chinese new year!! your video is amazing! you are amazing,农历新年快乐！您的视频很棒！你很棒
50325,UgxrFG_Ce_P4HNyIje94AaABAg,21,happy chinese new year ! thank you !,农历新年快乐！谢谢 ！
50665,Ugw8WHTQlwHEWgI5Me14AaABAg,21,"wan'an ;),,,,, happy chinese new year,..... i'm from indonesia. :)",wan'an;） :)
45932,Ugz168wNlbRHQ1J66rx4AaABAg,21,"u r my favourite... my 5 year old daughter also like u. she always tell dat""mamma am watching ur friend video."" dat makes me happy",你是我最喜欢的...我5岁的女儿也喜欢你。她总是告诉dat“妈妈正在看你的朋友视频”。 DAT让我开心
48038,Ugx66RCcuwyp8lwHBVN4AaABAg,21,happy chinese new year,农历新年快乐
52016,UgwMVaA3eg9Qs7AjyjR4AaABAg,20,your videos are always beautiful and peaceful that inspire me a lot! happy chinese new year ! love from london,您的视频总是美丽而宁静的，可以激发我的灵感！农历新年快乐！来自伦敦的爱
26126,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-06TkIai9_,20,"@user-sc8cy5qc6e it doesn't matter if her videos are fake or real, what matter is the positive vibes it brings to it viewers. real life is very stressfull and suffocating watching her videos make us calm and happy and it doesn't matter if she makes billions or trillions out of it.",@user-sc8cy5qc6e她的视频是假的还是真实的，它带给观众带来的积极共鸣。现实生活中的压力很大，看着她的视频令人窒息，使我们平静而快乐，无论她赚了数十亿美元或数万亿美元都没关系。
51765,UgypMK7-JIFFl7toDP54AaABAg,20,happy chinese year,中国年快乐
50856,Ugxk7Tr2ABeYCHcVdTt4AaABAg,19,happy chinese new year...gong xi fat choi,农历新年快乐...锣Xi Fat Choi
43593,UgzQChUEr94VTZK5wVB4AaABAg,19,happy valentines day,情人节快乐
25636,Ugx9lb8B3rtMtybYACV4AaABAg,19,"to people who disliked her video: 
you missed a great opportunity to be happy. 
life is short, focus on the positive side, otherwise you're just wasting your life.","给那些不喜欢她的视频的人：
您错过了一个快乐的机会。
生活很短，专注于积极的一面，否则您只是在浪费自己的生活。"
50403,UgyBCstQm1VsXADTpWN4AaABAg,19,happy new year!! i wish i could taste all these lovely things!!!,新年快乐！！我希望我可以品尝所有这些可爱的东西！！！
47577,UgyjrSwO6s5kpZ0GkMZ4AaABAg,19,"happy spring festival, grandmother and your team, dear li ziyi",祝你春节快乐，祖母和你的团队，亲爱的 李子柒
