,cid,votes,含happy,含happy中文翻译
29942,Ugyk_1KX-HhWt6B0aXl4AaABAg.8yVuvTRQd_W8yWa06ioL1G,5,"nusrat jahan, a happy eid to you as well.",努斯拉特·贾汉（Nusrat Jahan），也是一个快乐的愤怒。
32610,UgygQcrl6tmVJ46y3lx4AaABAg,5,"after pulling the bamboo shoots and grabbing the tian snail, i was happy to get a bowl of powder. what is the immortal life!",拔完了竹笋抓完田螺竟然开心地搞了碗粉来嗦，这是什么神仙人生啊！
21769,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t90H5qQmYAoG,5,your words touched my heart. i hope that you have a happy life with great memories.,你的话触动了我的心。我希望您过着美好的回忆。
5904,UgxTppqJZwwpwH5jSYJ4AaABAg,4,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
18501,UgwrB6WCTNGENqjFQTR4AaABAg,4,"according to western feminism, she is phenomenally unhappy.",根据西方女权主义的说法，她非常不高兴。
15033,UgyXH86aratmIk_ecy54AaABAg,4,happy new year i wish you a happy life ❤️❤️❤️,新年快乐祝你幸福生活❤️❤️❤️
33534,Ugy2wgwteNfK09oVhih4AaABAg,4,"love those veggies picking sound, cutting sound, the beetles, insects nature’s happy laughter amidst such beautiful climate",喜欢那些蔬菜采摘声音，剪裁声，甲虫，昆虫大自然在如此美丽的气候中的笑声
34326,UgykDos0OqGt0YwQoK54AaABAg,4,the first time i saw such a big bamboo shoot! rural life is a happy lifestyle!,第一次见到这么大的竹笋！田园生活是幸福的生活方式！
33659,UgxFyDDM9XsX0q0evCx4AaABAg,4,it made me happy everytime i got notif from ur channel,每当我从Ur Channel
9417,UgwAPSdUjO4kV_2A80h4AaABAg,4,"maybe there are still women like this, really happy if you have it hehe

maybe there are still women like this, very happy if you can have it hehe","也许还有这样的女人，如果你有呵呵，真的很高兴

也许仍然有这样的女人，如果你能拥有的话，很高兴"
2476,UgzUNAKuffcHpH0PSGt4AaABAg,4,i love seeing granny happy and healthy.,我喜欢看到奶奶快乐健康。
31849,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVDVoxraGV,4,"come on, hope you are healthy and happy and then come to sichuan",加油 希望你健康快乐 然后来四川
15375,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss93f20i-ssb2,4,happy mi xiaomi yes in norway,Happy Mi在挪威的小米 yes
29947,Ugyk_1KX-HhWt6B0aXl4AaABAg.8yVuvTRQd_W8yYHcIuDrKt,4,happy eid from,来自摩洛哥的快乐开斋节
15538,Ugym95lIZzwQdXifoVh4AaABAg,3,that amazing and beautiful to see this it's like watching the old school moives of china the ancestors would be proud and happy to see this would bring tears,看到这一点的令人惊叹和美丽
5930,Ugxbo9UV7tJZLo3Ydc14AaABAg,3,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
16930,UgxJYvl-p7IYAGwuQcV4AaABAg,3,"the video is beautiful, but i like it, but i want to sue you. this kind of video is easy to mislead and be happy. the video is made by beautiful special,",视频很美我也喜欢但我要告你的是这种视频容易误导容易被幸福那些为生话而忙碌还不能幸福的老百女姓，你应该注解此视频不代表所有生活中的农民，此视频经过唯美特一制作，
33180,UgzJP9h-JYhu_hWa1dd4AaABAg,3,#liziqi im so happy bcoz u have another video for this week.. .ur videos gives me peace of mind.. .thanks a lot from philippines,#liziqi我很高兴BCOZ您本周还有另一个视频。。。。。。。。。。。。。。。。。。。。。。。。。
18155,UgzaYwrEWpgVijUTvXB4AaABAg,3,is this a daughter -in -law really happy in life?,有这样的媳妇真的是人生幸福之事啊
29114,UgyrqQ2CYFCYTsyST2d4AaABAg,3,yes... thank you liziqi..may god bless you and your grandma.. hope you and your grandma in good health and happy always.,是的...谢谢Liziqi ..愿上帝保佑您和您的奶奶..希望您和您的祖母永远健康和快乐。
33882,UgzwlzDg3cIKQeQtWd54AaABAg,3,your notifications are my happiness.keep up the good work thank you for make us happy.,您的通知是我的幸福。保持良好的工作，谢谢您让我们快乐。
21861,Ugx0s0ob1pWVxMz3gh94AaABAg,3,"i am living precariously through her, i really wish i could have her lifestyle but i'll be happy just distressing watching her videos",我过着她的生活，我真的希望我能拥有她的生活方式，但我会很高兴看她的视频
3197,UgyjtHhIQK1faITfrLF4AaABAg,3,"liqizi wishing you a happy birthday that you spend beautiful in your grandmother's company and your friends, you are a very pretty girl, one day travel to meet you, just want you to spend a very beautiful day and wishing you a long life, chauuuu",Liqizi祝您生日快乐，您在祖母的陪伴和您的朋友中度过美好的生日，您是一个非常漂亮的女孩，有一天旅行去见您，只希望您度过一个非常美好的一天，并祝您长寿，Chauuuu
3102,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9ZUm5Jh_zMx,3,"this is my dream life! im in canada right now, and my dream would be to asap buy a big portion of land, so i can then go and with the money i am investing right now as a child, with my father, i hope its enough for me to start this. i already have plenty of ideas and watched a lot of videos of people like etienne levesque, who has a aquatonic greenhouse that works really well, even in the cold winters of quebec. im engaged in this, and im already learning my survival instincts as a chef corporal in cadet army. i dont know if i want to have an educaation to be a doctor, or to have and education about greenhouses and such. with my cadet background, i could join the army for a bit, or have a doctorate and be a family doctor, but in the army. with that, i have money, survival instincts and a plan b if anything goes wrong. a passion of mine is cooking and piano, so learning to cook is perfect for having a huge farm like this. i want for me and my family to live in one of those huge house for generations to live in, and my dad would love to help us with all the technologie. my dream would to use mash the ways of my ancestors and the technologie we have now. my dad can help me build the greenhouse and my grandpa too, be grandpa was an architect and my dad is a engineer but in computers. if we use the technologie and the modern world in farming and other stuff like this, and not like we did with machines and stuff. like the futuristic solar boards that capt the sun energy ( english is not my first language sorry haha). what im trying to say, you can see what im talking about by googling : futuristic greenhouse . this is what technology should be used for! i know it may be a really big dream, but i am ambitious and i know that my dreams wont come true unless i start making actions about it. if this comes true, i dont even have the words to say how happy i would be.",这是我的梦想生活！我现在在加拿大，我的梦想是尽快买大部分土地，这样我就可以去，然后用我小时候投资的钱，与父亲一起，我希望它足以让我开始这。我已经有很多想法，并且观看了许多像伊蒂安·莱维斯（Etienne Levesque）这样的人的视频，他的水上园林温室甚至在魁北克寒冷的冬季都非常有效。我从事这一点，我已经在学习我的生存本能，是学员军队中的厨师下士。我不知道我是否想接受教育作为医生，还是要接受有关温室等的教育。在我的学员背景下，我可以加入军队，或者拥有博士学位并成为家庭医生，但在军队中。这样，如果有什么问题，我有钱，生存的本能和计划B。我的热情是烹饪和钢琴，因此学习做饭非常适合拥有这样的巨大农场。我希望我和我的家人住在那些巨大的房子中，供几代人居住，我父亲很想帮助我们所有的技术。我的梦想将使用我的祖先和我们现在拥有的技术的方式。我父亲可以帮助我建造温室，而我的爷爷也是爷爷是一名建筑师，而我父亲是工程师，但在计算机中。如果我们在农业和其他类似的东西中使用技术和现代世界，而不是像机器和东西一样。就像太阳能上尉的未来派太阳能板一样（英语不是我的第一语言，对不起哈哈）。我想说的是，您可以看到我在说什么通过谷歌搜索：未来派温室。这是应该使用的技术！我知道这可能是一个非常大的梦想，但我雄心勃勃，我知道我的梦想不会实现，除非我开始采取行动。如果这是真的，我什至没有话可以说我会多么高兴。
16664,Ugz1aYSqAeSw6KAdil54AaABAg,3,i grew up like this. a simple life its a happy life,我这样长大。简单的生活是幸福的生活
8955,UgxUqA9kGjrprC8BKxB4AaABAg,3,"2:18 the perspective of picking beans seemed to have returned to my childhood. at that time, i was only 5-7 years old. i was really happy to make my soul briefly back to the happy time before. i was moved again, but my mother is not as good as before. i like the wonderful gesture of picking beans!",2:18那摘豆子的视角仿佛回到了我的童年，那时我才5-7岁真的很开心能让我心灵短暂的回到以前的快乐时光，看着妈妈认真做事的模样，好开心又感动，但是妈妈现在体力不如从前。超喜欢摘豆子的那美妙姿态！
32172,Ugw36KyYF9VMQxtbGeV4AaABAg,3,"seeing you living in abundance, i am so happy for you. may god continue to bless for you are a blessing to us.",看到你生活丰富，我为你感到高兴。愿上帝继续祝福你是我们的祝福。
1640,Ugw1cLd97MqI6VEU9ZB4AaABAg,3,"grandma makes me very happy!
","奶奶让我很开心！
"
10647,UgzwPrgav2gX-nw97C94AaABAg,3,"i wanna live a life like hers. i know it's gonna be hard but you know, who would not like to live a life eating only organic foods. it's healthy plus we can live a happy and a long life.",我想过像她一样的生活。我知道这会很难，但是你知道，谁不想过着只吃有机食物的生活。这是健康的，而且我们可以过着快乐和长寿。
22496,UgwqGhI4f5pSLMt_EfF4AaABAg,3,"seeing her be happy with her grandma...
makes me happy :')
hope my grandma is still healthy and happy, miss you grandma!","看到她对祖母感到满意...
让我开心 ：'）
希望我的祖母仍然健康快乐，想念你奶奶！"
12480,UgxHzBHmSViLYHxKkgt4AaABAg,2,"she's is living the life i always wanted deep in my heart but never did. she's the woman i always wanted but i am not good enough for her. her skills impress me so much. i am jealous of her peaceful life, art and style. she must be a happy person. she deserve it.",她过着我一直想深入的生活，但从未过。她是我一直想要的女人，但我对她还不够好。她的技能给我留下了深刻的印象。我嫉妒她的和平的生活，艺术和风格。她一定是一个快乐的人。她应得的。
32800,Ugzdz9B1qq9i0ys8Jb54AaABAg.8yUmLaS9As08yVA06gobgU,2,"that was so cheesy also you do have to have peace of mind, a healthy body and especially a calm life to live a happy life because everyone would be so alike and it would make life seem sooo damn boring but i do agree with you.",那真是太俗气了，您确实必须安心，健康的身体，尤其是一种平静的生活才能过上幸福的生活，因为每个人都会如此相似，这会使生活看起来如此无聊，但我同意您的看法。
31169,UgzHLhEsTMGDPTPQUfd4AaABAg.8yVKj-sQ5iK8yVM9mE3hP1,2,"that is to say, our son is too hard to work too hard ~~ however, i am selfish, i'm so happy ~ i can see the new video of zi zifa in such a short time ...",就是说嘛，我们的子柒太拼太辛苦了~~不过，自私的说，我好高兴啊～在这么短的时间内就可以看到子柒发新视频……
29473,Ugy5rFXMCgk-3KQP9o94AaABAg,2,every day i check for new videos from you. i wish i could go outside and have everything i need to make beautiful meals... i would be lying if i said i wasn’t a bit jealous. thank you so much for sharing this part of your life with us. also your grandmother makes me so happy!,每天我都会检查您的新视频。我希望我可以出去吃美食所需的一切……如果我说我有点嫉妒，我会撒谎。非常感谢您与我们分享生活的这一部分。您的祖母也让我很高兴！
29949,Ugyk_1KX-HhWt6B0aXl4AaABAg.8yVuvTRQd_W8yYaKngEUp6,2,happy eid from indonesia,来自印度尼西亚的开斋节快乐
6326,UgxNKPVRZF3EbgA1FBB4AaABAg,2,i would be happy if there was such a wife!,如果有这样的妻子，我会很高兴！
29948,Ugyk_1KX-HhWt6B0aXl4AaABAg.8yVuvTRQd_W8yYX2ffMvEj,2,"congratulations to you, too, every year, and you're fine. 
god willing, all your days are happy 
from iraq","每年也要恭喜您，您很好。
上帝愿意，你所有的日子都快乐
来自伊拉克"
28771,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g976jXJ86ctO,2,@franzpeters3824 she produces the video not for communicating but for showing her happy life that u will never enjoy. u r so shallow!,@franzpeters3824她制作的视频不是为了交流，而是为了展示她永远不会享受的幸福生活。你是如此浅！
5309,Ugx5Wq-go-vkut4rQMZ4AaABAg,2,"i am very happy to play your video during class, it looks good!",很高兴在上课的时候老师也在播放您的视频，很好看呀！
18920,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92S2h5gzbe8,2,@is jealous and unhappy!,@墨竹 一般黑别人的人都是自己活的极为失败，看别人成功嫉妒不开心的人！
26729,Ugze688B8IuYBaXQljR4AaABAg,2,i just so happy after seeing your video❤,看到您的视频❤，我很高兴
5946,UgwU66laJlR65br34pB4AaABAg,2,i would like to start with a friendship and maybe develop into a long term relationship in the future. you're also interested and looking for the same thing as me. i would like a happy family with someone who is ready to build a future together.,我想从友谊开始，也许将来发展成为长期的关系。您也有兴趣，并且与我一起寻找同一件事。我希望一个幸福的家庭和一个准备共同建立未来的人。
5929,UgwJcwx-JzLheCCtaDF4AaABAg,2,i would like to start with a friendship and maybe develop into a long term relationship in the future. you're also interested and looking for the same thing as me. i would like a happy family with someone who is ready to build a future together.,我想从友谊开始，也许将来发展成为长期的关系。您也有兴趣，并且与我一起寻找同一件事。我希望一个幸福的家庭和一个准备共同建立未来的人。
22184,Ugzt5VGHr6znPhq6-k14AaABAg.9-AalxXxrkw9-u30NLG9pA,2,"wrong, people who live in the mountains in china are still very happy. my family is also in the countryside, the small mountain ditch. if the mountains are deep, the self -sufficient sunset and the sunset should be good.",错了，中国有隐居在深山里的人还是很幸福的，我家也在农村，小山沟子，如果大山深处的话，自给自足日出而作日落而息应该也还不错
28364,Ugw4oagRSrnkZ2PMqUR4AaABAg.8yZ1XUUU0pf8yduaog1-KE,2,"chad hk your tribe and culture is beautiful, one of india’s best part our lovely northeast! happy independence day girl",乍得香港您的部落和文化很美，这是印度最好的东北地区之一！独立日快乐的女孩
35332,UgxDmckdiFAiwhUTtwV4AaABAg.8yURkxD2htf8yUSiXxn6pF,2,happy eid sis.,快乐的开斋节。
5440,Ugx4Ao2n0p7gIm25IFd4AaABAg,2,"all grandparents living on earth i wish such a granddaughter as liziki, and that our life in old age be happy and secure.",我希望所有居住在地球上的祖父母这样的孙女像利兹基（Liziki）一样，我们在老年时的生活变得幸福和安全。
23124,Ugx36mmuXyMakzfJm954AaABAg,2,happy mid -autumn festival ~ people watching your videos overseas are really a kind of enjoyment and want to return to china to eat chinese food,中秋节快乐呀～人在海外看你的视频真的是种享受 好想回国吃中国美食
5947,UgxBZlK643skj4gvMxZ4AaABAg,2,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
18581,UgyKTj7Hyokpcbw6A7Z4AaABAg,2,"this girl is worth marrying home, so happy with her",这个姑娘值得娶回家，和她一起太幸福了
22766,UgzpI_qc5O0Z63HRIHJ4AaABAg,2,i'm happy living in a beautiful village,我很高兴住在一个美丽的村庄
767,UgyKcc7zDypxaSi4UOR4AaABAg,2,"good morning, a happy morning, and success in life, and make food, delicious, wish everyone, everywhere good",早上好，早上快乐，生活成功，做饭，美味，祝大家，任何地方都好
827,UgxTmj_ofeSXahyJ8RF4AaABAg,2,"i am very happy for the enthusiastic audience of this channel. i'm watching this li ziyi channel, from 5 million subscribers to 17 million now .. it's great

i am your fan five years ago","我为这个频道的热情观众感到非常高兴。我在看这个李子柒频道，从订阅人数还是500万到现在1700万..太棒了 

我是你五年前的粉丝"
22639,UgyASWejBaqg5M32ITB4AaABAg,1,"who can find the wife of xiande? her value is far better than jewelry. her husband trusted her and lacked anything. she was beneficial to her husband in her life. she was looking for wool and fine numbness, and she made his own clothes happily. she seemed to be a merchant ship, which was transported from a distance. tian weibai got up, prepared food for the whole family, and assigned maids to do housework. she chose nakada to buy it and make money to plant vineyards. she is energetic and her arms are powerful. she is well versed in business, and her lights will not turn off at night. she holds a roller and holds a spinning hammer. she is happy to help the poor and reach out to help the hardships. she is not worried about her family because of snow, because the whole family is wearing zhu hong warm clothes. she sews embroidered blankets for herself and made clothes with fine numbness and purple cloth. her husband sat with the local elders at the gate of the city and was respected. she sewed thin hemp clothes for sale, and made a belt to a businessman. she was full of power and honor, and she greeted the future with a smile. what she said was wisdom, and her training was full of love. she cooks all the housework and never eats her leisure. her children stood up and blessed her. her husband also praised her, saying, ""there are many women in the world, only you are unparalleled."" gorgeous is false, beauty is short, only women who fear the lord are worthy of praise essence
proverbs 31: 10-30 ccb
https://bible.com/bible/36/pro.31.10-30.ccb","谁能找到贤德之妻？ 她的价值远胜过珠宝。 她丈夫信赖她， 什么也不缺乏。 她一生对丈夫有益无损。 她寻找羊毛和细麻， 愉快地亲手做衣。 她好像商船， 从远方运来粮食。 天未亮她就起床， 为全家预备食物， 分派女仆做家事。 她选中田地便买下来， 亲手赚钱栽种葡萄园。 她精力充沛， 双臂有力。 她深谙经营之道， 她的灯彻夜不熄。 她手拿卷线杆， 手握纺线锤。 她乐于周济穷人， 伸手帮助困苦者。 她不因下雪而为家人担心， 因为全家都穿着朱红暖衣。 她为自己缝制绣花毯， 用细麻和紫布做衣服。 她丈夫在城门口与当地长老同坐， 受人尊重。 她缝制细麻衣裳出售， 又制作腰带卖给商人。 她充满力量和尊荣， 她以笑颜迎接未来。 她说的话带着智慧， 她的训言充满慈爱。 她料理一切家务， 从不偷懒吃闲饭。 她的儿女肃立， 为她祝福， 她的丈夫也称赞她， 说：“世上贤德的女子很多， 唯有你无与伦比。” 艳丽是虚假的， 美貌是短暂的， 唯有敬畏耶和华的女子配得称赞。 
箴言 31:10‭-‬30 CCB 
https://bible.com/bible/36/pro.31.10-30.CCB"
23833,UgwlwR7KcDBqO4RvFMJ4AaABAg,1,she's always happy me❤️❤️,她总是很高兴我❤️❤️
16831,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI93HwwU5gTQN,1,"when you think li ziyi's video is fake, the rural areas are not like this at all. i want to tell you that rural china is indeed not like this.
but showing the true appearance of rural china is not the theme of her video at all. the reason why you see such a beautiful video will cause discomfort because it subverts your impression of china, this is not china you know.
the real china should be messy and the people's quality is low. you are embarrassed and even painful for this. you instinctively resist the beautification of china, so you are skeptical of the video here.
many people have ""escaped"" or hope to ""escape"" china because of the status quo of contempt china. however, they may not expect that inferiority in their hometown will always be wrapped like a nightmare. when people enjoy the beauty and tranquility of li zihuan's video, they feel dislike and anger; when people admire china's development and progress, they will not have a hint of joy; a developed country feels that china's threats want to curb china some people even become accomplices. those who despise themselves are actually scornful. china is their demon, as long as they mention them, they will suffer.
i want to remind these people that 1.4 billion people living in china are also flesh and blood, and they are pursuing a happy and peaceful life. they also have their own creativity and imagination. why can't they create such high -level works? why can't china be beautiful?
those who feel that you are offended, if you are abroad, please leave this channel quietly, forget everything about china, and hope that you can live easily and have dignity. if you are in china, please open your eyes and look at everything around you, maybe more beautiful things are waiting for you to discover. even if you can't find it, spend more time to accompany your family, it is a beautiful thing.


——the above is just written to those chinese who have been demon","当你们觉得李子柒的视频是假的，中国的农村根本不是这个样子，我想对你们说，中国的农村确实不是这个样子。
但展示中国农村的真实面貌根本不是她视频的主题。你们之所以看到如此唯美的视频时会产生不适，是因为它颠覆了你们对中国的印象，这不是你们了解的中国。
真实的中国应该环境脏乱，人民素质低下。你们为此感到难堪，甚至痛苦。你们本能的抵制美化中国的事物，因此才对这里的视频持怀疑态度。
有许多人因为鄙夷中国的现状“逃出”了或希望“逃出”中国，然而他们也许没料到，对于自己故乡的自卑将永远如梦魇一般缠绕。在人们享受李子柒视频的唯美与恬静时，他们感到的是厌恶和愤怒；在人们赞叹中国的发展进步时，他们也不会有一丝喜悦；某发达国家感受到中国的威胁想要遏制中国时，有些人甚至成为了帮凶。那些鄙夷自己出身的人，其实也在鄙夷着自己。中国是他们的心魔，只要一提起他们就受煎熬。
我想提醒这些人，生活在中国的14亿人口，他们个个也都是有血有肉，他们都在追求幸福平静的生活。他们也都有各自的创造力和想象力，怎么就不能创造出这么高水平的作品来呢？中国怎么就不能有美好的事物了呢？
那些觉得自己受到冒犯的人，如果你身在国外，请你安静的离开这个频道，忘掉关于中国的一切，同时希望你活得轻松些，有尊严些。如果你身在国内，请你睁开眼重新打量一下周围的一切，也许还有更多美的事物等着你去发现。即便发现不了，多花些时间陪陪家人，也是美事一桩。


——以上只是写给那些着了魔的中国人"
12379,UgzyPWaCePKx7n94m1h4AaABAg,1,"happy pastoral life, carefree.",快乐的田园生活，无忧无虑。
22894,UgymxalCiD4Huii3wIl4AaABAg.8zuNQpbMst59-YRBpSxpjg,1,i was so happy and motivated watching her videos and everything got ruined reading the comments because some people feel the urges to offend for free...as always. i just don't understand you people...relax please.,我很高兴和有动力观看她的视频，所有的事情都被毁了，因为有些人觉得自己像往常一样觉得自己要免费冒犯。我只是不了解你们的人...请放松。
25481,UgwqtDwWLh5VCLUhX6h4AaABAg,1,hi the first one i think seeing an animation this girl live in dreamland and need a man to why? be happy baby you are fantastic,嗨，第一个我认为看到这个女孩住在梦境中的动画，需要一个男人到为什么？宝贝，你真是太棒了
