,cid,votes,含hardworking,含hardworking中文翻译
31411,UgyWGukZU2jM-A2Wrqx4AaABAg,0,"liziqi didi, your grandma is so cute. she is lucky to have hardworking and caring granddaughter like you. bless you both! wish i had the opportunity to taste what you cook, your dishes look so delicious.",利兹奇·迪迪（Liziqi Didi），你的祖母真可爱。她很幸运能像您一样勤奋和关怀孙女。祝福你们俩！希望我有机会品尝您的烹饪，您的菜看起来很美味。
31715,UgzoHUKPEn7Oc9qNOYl4AaABAg,0,my mom likes to watch her videos sometimes.. and i admitted that she is talented and hardworking.. i find peace in every videos she made.. i wonder she had a husband to take care of her yet.. if anyone find a girl like would be so happy,我妈妈有时喜欢看她的视频。.我承认她很有才华和勤奋。.我在她制作的每个视频中都能找到和平..我想知道她有一个丈夫可以照顾她。如果有人找到一个女孩就像很高兴
34106,UgwVp-GyblfYdYzyERB4AaABAg,0,eventhough i don't eat nonveg food... still i like watching her making non-veg food... and such a hardworking women she is... true inspiration,尽管我不吃不吃蔬菜的食物...但我仍然喜欢看着她做非蔬菜食物……而且她是一个勤奋的女人，她是...真正的灵感
1911,Ugy2zj6pod9pdU64MH14AaABAg,0,thank you for the opportunity to contemplate your spiritual hardworking life. it is extremely rare to meet such a soul. does the bamboo you collect give seeds?,感谢您有机会考虑您的精神勤奋生活。遇到这样的灵魂是极为罕见的。您收集的竹子给种子吗？
20911,Ugxp5VXHHckoluFAaTx4AaABAg,0,hardworking people,勤劳的人
17398,UgzKg8WKZTfBELDfwtR4AaABAg,0,"hope i can marry a strong woman like her... hardworking, very capable, woman of few words and beautiful...(quite rare these days)...",希望我能嫁给一个像她这样的坚强的女人...勤奋，能力很强，几乎没有言语和美丽的女人...（这些天很少见）...
3483,UgxBaesxCmMphAQQzWd4AaABAg,0,in their house. there's a lot of vegetables they plat. you won't get hungry and out of vian if you were a hardworking to do a stuff. i love that place.,在他们的房子里。他们有很多蔬菜。如果您努力工作，您不会感到饥饿，也不会离开Vian。我爱那个地方。
13365,UgxVj695fumLsZlEJhd4AaABAg,0,this girl is very hardworking and cooks.,这姑娘好勤劳，还会做饭。
6527,UgxVYDwReyM-KwxmcBl4AaABAg,0,"if ziyi is not hardworking, eat like this every day, it is not strange to be fat.",子柒要不是勤劳，天天这样吃，不痴肥才怪。
8108,Ugw8dPoULJQiviy2zLZ4AaABAg,0,cute and hardworking girl,可爱而勤奋的女孩
8349,Ugzqtm9daExYA7NBNjp4AaABAg,0,"very very hardworking girl
god blessed her","非常勤奋的女孩
上帝祝福她"
8761,UgyjQAAwdGIcw4RwQal4AaABAg,0,i like every video hardworking girl good skills,我喜欢每个视频勤奋的女孩良好的技能
5383,Ugyq6VuL9Qs60ear4DB4AaABAg,0,"i look for hours ... i like to look so much. after work i lie rest and look .. it soothes so, looking at how they work and prepare something very tasty and beautiful. there is no translation, i try to understand so. i find a useful one for myself .. i am also interested in the garden and landing ... i really want to learn something to cook something else .. the girl is very cute and beautiful, hardworking .. it is very nice to look at her labors . everything is very beautiful, and i really like that they love my grandmother so .. i donโ€t even know .. i wonโ€t be young with a young one .. but i would like at least a little, such care in old age .. thank you! your videos let your soul enjoy and rest.",我看几个小时...我喜欢看很多。下班后，我躺在休息和看。没有翻译，我试图理解。我为自己找到了一个有用的。我也对花园和着陆感兴趣...我真的很想学习一些东西来烹饪其他东西。美丽，勤奋..看着她的劳动真是太好了。一切都很漂亮，我真的很喜欢他们爱我的祖母，所以..我什至不知道..我不会和一个年轻的人在一起..但是，我至少想要一点点，这样的照顾。.谢谢！您的视频让您的灵魂享受和休息。
9082,Ugxs36aSWO27HFvWFqN4AaABAg,0,"nature-super, the girl is so hardworking",大自然，这个女孩是如此努力
5335,Ugxg_AgRj66lqRsoMqJ4AaABAg,0,"i am new in here i don't know that where is she from i am so curious. she is so hardworking girl. sometimes i think when my life would be like that peace full, relaxing and calming.",我是新来的，我不知道她从哪里我好奇。她是如此勤奋的女孩。有时，我认为当我的生活就像和平一样，放松和平静。
11748,UgwWuFkQ1qoL6J-xwN14AaABAg,0,how nice if we can live in such a place like this and be as hardworking as she is.... lovely. she is gifted. she must have learnt a lot from her appoh... grandma...we are gifted too... we get the chance to watch these videos...,如果我们能住在这样的地方，并且像她一样勤奋。她有天赋。她一定从她的appoh中学到了很多东西...奶奶...我们也有天赋...我们有机会观看这些视频...
12403,UgzvEWfa2k9bBcF8QGh4AaABAg,0,"smart girl, hardworking and kind, athena",智慧的女孩，勤劳善良，雅典娜
12596,UgxfkAvR8W3DvvBqd3V4AaABAg,0,she's so beautiful and hardworking.,她是如此美丽而勤奋。
13184,UgzOpEhj1IUqoEbggNF4AaABAg,0,"ống kính tây bắc subscribers
guys, i hope that you can see my comment. i'm here to tell you something about her childhood and now. as far as i'm concerned, her mother passed away when she was little. soon after, her father married another woman. her stepmother was mean, she was like every stepmother you've read about in the fairy tales. ziqi was forced to do all the housework, she didn't even get to go to school usually. her grandparents were very supportive to her and protected her, they are the most important people to her. her father passed away then, and idk what happened to her stepmother after that. she then quit school and came to the cities to work as much as she could to help her grandparents. she has been a waitress, a dj and all the other stuffs. but then, her granddad passed away, and her grandmother as you all see in the videos was sick. so she quit everything and came back to her hometown to take care of her grandmother although she knew that the finance would be a burden. she then figured out how to make a video. she made the video how to dye cloth by grapes' skin and people love it. she did all the work by herself and try again countless times. one video that is making chinese noodles, everytime she has set the camera angle, the dough got dry and she cannot use it anymore. so she had to make the dough by scratch again and again to record. the dough that was dry, she then baked them into bread for her and her mother to eat. she then said that she was scared just looking at the bread for a while. when she had some money earned from the videos, she hired some camera men, just 2 or 3, to support her. but the fame and popularity have led to her lack of privacy. papparazi, fly cams are all over her house, she feels really sorry and somehow guilty to her grandmother because of that. she suggested moving to another house but her grandmother told that she had lived in the house for her entire life, so she wouldn't want to move. some people may say that the videos are fake, that she didn't actually do what was shown in the videos, she just shows her hardworking hands. she really has had an unfortunate childhood, so she deserves what she has today. please, if you find my comment interesting, leave a like. this is based on my own knowledge so if i'm wrong, let me know. you can support her by clicking the ads or watching it till the end. thank you ❤","ốngkínhtâybắc订户
伙计们，希望您能看到我的评论。我在这里告诉您有关她的童年和现在的信息。就我而言，她的母亲小时候去世了。不久之后，她的父亲嫁给了另一个女人。她的继母是卑鄙的，她就像您在童话故事中读过的每个继母一样。 Ziqi被迫进行所有家务劳动，她通常甚至都没有上学。她的祖父母对她非常支持并保护她，他们是她最重要的人。她父亲那时去世了，在那之后她的继母发生了什么事。然后，她退出学校，来到城市尽可能多地工作以帮助她的祖父母。她一直是女服务员，DJ和所有其他东西。但是随后，她的爷爷去世了，当你在视频中看到的那样，她的祖母病了。因此，她辞去一切，然后回到家乡照顾祖母，尽管她知道财务将是一个负担。然后，她想出了如何制作视频。她制作了视频如何用葡萄的皮肤染色布，人们喜欢它。她自己做所有的工作，然后无数次重试。一个正在制作中国面条的视频，每次设置相机角度时，面团都会干燥，她再也无法使用它了。因此，她不得不一次又一次地划痕才能记录下来。干燥的面团，然后将它们烤成面包供她和她的母亲吃。然后，她说她只是害怕看面包一段时间。当她从视频中赚钱时，她雇用了一些只有2或3个相机的人来支持她。但是，名望和受欢迎程度导致她缺乏隐私。帕帕拉西（Papparazi），苍蝇凸轮都在她的房子上，因此，她对祖母感到非常抱歉，并以某种方式感到内gui。她建议搬到另一所房子，但她的祖母告诉她一生都住在房子里，所以她不想搬家。有些人可能会说这些视频是假的，她实际上没有做视频中显示的事情，她只是展示了勤奋的手。她确实有一个不幸的童年，所以她应该得到今天的一切。请，如果您觉得我的评论很有趣，请留下类似。这是基于我自己的知识，所以如果我错了，请告诉我。您可以通过单击广告或观看直到最后来支持她。谢谢"
13686,UgxO1CHi6NDvqp-Jyod4AaABAg,0,very beautiful and very hardworking girl.,非常美丽，非常勤奋的女孩。
19801,Ugxg4RJ2ECK45XeSY0x4AaABAg,0,"i thought that beautiful and hardworking girls were only in fairy tales.
you are just amazing!!!","我以为美丽而勤奋的女孩只是在童话中。
你真是太神奇了！！！"
13702,UgyIC-K8JcdsbFYQ39p4AaABAg,0,"he is beautiful, very hardworking and a true chef",他很漂亮，很努力，是一个真正的厨师
14280,Ugw0CwhDwXPF22nYrzB4AaABAg,0,"she's so resourceful, inspiring, hardworking, absolutely gorgeous and brilliant and everything! ❤️",她是如此的足智多谋，鼓舞人心，勤奋，绝对华丽，聪明，一切！ ❤️
14635,UgxxWBz1kMp66nYIz-h4AaABAg.944lnZoE4bt94AMkqpIczA,0,"hi laobu, ziyi, in the highest value of all human beings, has reached the top of the top: filial piety, intelligent, hardworking, good learning, dedication, neighborhood, constant, benefit from the poor to repay the society ... who can't get used to her and stepping on her, i dismissed counterattack. ms. li has the lftiest virtues of us human kind: filial piety toward grandma, brilliant, diligent, eager to learn, ultra-dedicated, neighbourly caring, p. erseverant and donate money to help the underprivileged .... as they are not word any efforts.","Hi Laobu, 子柒在全人类最高价值中，达到不能再高的绝顶：孝亲，聪慧，勤劳，好学，笃敬业，睦邻，有恒，施惠于穷苦报答社会....谁看不惯她而踩她，我不屑反击。 Ms. Li has the loftiest virtues of us human kind: filial piety toward grandma, brilliant, diligent, eager to learn, ultra-dedicated, neighbourly caring, perseverant and donate money to help the underprivileged....I do not refute those attackers as they are not worth any efforts. My family praises her from north America."
15017,UgzlrDrrjkiFM_nq36Z4AaABAg,0,"i go up the mountain every day, and i still shoot videos when i cook again. i ’m too hardworking",每天上山，又在我做饭还拍视频，太勤劳了
5211,Ugz8aBLB1hTfTw6AjI14AaABAg,0,hello my love good morning little beautiful my oriental princess you are very hardworking and you deserve the best,你好，我的爱早安小美丽我的东方公主你很努力，你应该得到最好的
15634,Ugz-k1V6SFEIkA6LkGB4AaABAg,0,she is hardworking and an inspiration for the young ones,她努力工作，是年轻人的灵感
3602,UgwLaHitXdDOOo2Kn4x4AaABAg,0,"what a pretty hardworking girl. she is also very good at cooking. a dream woman, right?",多么勤奋的女孩。她也很擅长烹饪。一个梦dream以求的女人，对吗？
16321,Ugy3_NC5BHdvi--yTEB4AaABAg.92wSGEE7rcY92wZzQ3MaDL,0,"this is absolutely not traditional farmer's life in china, nobody said it is. why not focus on the food, the lifestyle, the sense of aesthetic in it? that's all this video about. if you expect to see poor people and miserable life in china, you are at wrong place.
btw, she gets rich by hardworking as a video content maker. watch more, and you'll see why","没人说，这绝对不是传统农民的生活。为什么不专注于食物，生活方式，美学感？这就是所有有关的视频。如果您期望在中国看到穷人和悲惨的生活，那您就在错误的地方。
顺便说一句，她作为视频内容制造商的努力工作变得富有。观看更多，你会明白为什么"
17155,UgyrrL9NnEdErcmlXnx4AaABAg,0,i need a hardworking wife like her,我需要一个像她这样勤奋的妻子
7683,Ugz1o1sijp5IYgTkuYp4AaABAg,0,very hardworking girl,非常勤奋的女孩
19754,UgxC1ZXyBMu0zghVK6B4AaABAg,0,what a wonderful and hardworking girl,多么伟大而勤奋的女孩
423,UgxhDYr8HOcij3W39c94AaABAg,0,very hardworking they care what grown at the land,他们非常勤奋，他们关心在土地上生长的东西
