,cid,votes,time,含hero,含hero中文翻译
32817,UgxdTWXq3OBazhmVI9J4AaABAg,1,4 years ago,"all the supplications in the qurโ€an are also salary according to the arrangement of the honorable press. make it ongoing charity*

1- our lord accepts us that you are the hearing of the knowledge, and we have the right to the mercy.

2- our lord came to us in the world, and in the other, we are good, and we were tormented by the fire.

3- our lord, we have been patient, and we have proven to us and supported us on the infidels.

4- our lord, do not take us if we forget or sin, our lord, and do not carry us as an insignificant as you carried it over those before us.

5- our lord, and do not carry what we have no energy, and forgive us, and we forgive us, and may you be our money, and we will be pleased with the infidels.

6- our lord, we do not have our hearts after our gossip, and we are gave to us, with the mercy of you, you are the ghosts.

7- our lord, you are the people of the people for a day that there is no doubt that god does not leave the good.

8- our lord, we believed, so we forgive us, our sins, and we are the torment of the light.

9- rabbi, i have a good atmosphere, you will hear the supplication.

10- our lord, we believed in what i went down and followed the messenger, so we wrote with the two testimonies.

11- our lord forgive us, our sins, and our secrets in our matter, and we have proven our feet and supported us on the infidels.

12- our lord, as long as you created this, we have lost the torment of the fire.

13- our lord, you are the one who entered the fire, as you have been treacherous, and for those who are supporters.

14- our lord, that we have heard a call that calls for the days that they believe in your lord, our lord, our lord, forgive us, our sins, and disbelieve us, our misfortunes, and we will fulfill the righteous.

15- our lord has come to us and our promises to your messenger and do not store the day of the resurrection. you do not leave the customer.

16- our lord was brought out of this free village.

17- our lord, our souls, we have not forgiven us, and we have mercy on us.

18- our lord opens between us and our people in truth and you are the best of the sides

19- our lord, we have been patient, and we have fulfilled muslims.

20- our lord does not make us a fatwa for the people of the people, and we escaped from the infidels.

21- rabbi, i will seek you to ask you for what i do not have knowledge, and only forgive me, and may god bless me.

22- rabbi, you are the first of me in the world, and the other one will give me a muslim and my injecting is good.

23- our lord, you know what we hide, and what we declare, and what is hidden from god in the land, or in the heavens.

24- rabbi make me the place of prayer and from my atom, our lord, and accept a supplication, our lord, forgive me and the parent

25- rabbi enter me with a honesty, and i will be shocked by a shock, and make me from you.

26- our lord came to you from your soul, and we have a gift from us.

27- rabbi explain to me my chest, and i am pleased with my matter, and i will analyze a contract from sani who understand my saying, lord of my knowledge.

28- there is only god, but you are your grace that i was one of the oppressors.

29- rabbi, do not infer me, and you are the best of the two.

30- i am the harmful one and you are the most merciful.

31- the lord of mubbar, you are the best of the home.

32- rabbi, i will see you from the thunderbolts, and i will seek your lord to attend.

33- our lord, our safe, forgive us, and may you be merciful.

34- our lord, we have been tormented by the torment of its torture, that it was overwhelmed, as it was stable and stable.

35- our lord, we gave us from our grooves and our warnings, and we made us to the righteous in front.

2- others and make me from the heirs of the inauguration of the soul, and do not store me a day they send a day that does not benefit the money, and if only the one who will come to god with a sound heart.

37- lord of najji and my family from what they are doing.

38- rabbi, give me to thank you, which i have been blessed with my parents, and that i work as good as you satisfy it, and enter me with your mercy in your good worship.

39- lord, i wronged myself, forgive me, lord, i will support me, the people.

40- our lord expanded everything, and when he was forgiven to those who repented, they followed your way and their torture of hell

41- our lord and entered them with the ages of the one who are their promises and who reconciled their fathers and their grooves and their warning his merciful, and this is the greatest.

42- our lord revealed the torment that i am believers.

43.

44- our lord forgive us and our brothers who preceded us with faith and do not make in our hearts to the one who are in.

45- our lord, you see a mercy, may god bless you, and you, our prophet, and you, the destiny, our lord does not make us a girl to those who disbelieved, and forgive us, our lord, you are the dear, the government.

46- our lord, we are blessed with us, and we forgive us, that you are very rare.

47- rabbi, do not be at the ground from the infidels, you will be attempted to mislead your worship, and they will only be born with disbelief.

48- the lord of my father, and whoever enters our believer and the believers and the believers and does not increase the oppressors except to be confused.

the one who will know the supplications is because of you, ""you will be surprised, god willing, on the day of the mountains of good deeds ... and the world in the waterfall of the values โ€โ€that are fulfilled ... god willing.
.
and call on god, god bless you","《古兰经》中的所有恳求也根据荣誉新闻的安排而薪水。使其持续慈善机构*

1-我们的主接受您是您的知识听证会，我们有权享有怜悯。

2-我们的主来到世界上，另一方面，我们很好，我们被大火折磨。

3-我们的主，我们一直耐心，我们已经证明了我们并支持我们的异教徒。

4-我们的主，如果我们忘记或犯罪，我们的主，不要带我们去，不要像您将其携带到我们面前的那些人一样无关紧要。

5-我们的主，不要携带我们没有精力的东西，原谅我们，我们原谅我们，也许您是我们的钱，我们会对异教徒感到满意。

6-我们的主，我们在八卦之后没有我们的心，而我们被您的怜悯赐给了我们，您就是鬼魂。

7-我们的主，你是人民的人民，毫无疑问，上帝不会留下善。

8-我们的主，我们相信，所以我们原谅了我们，我们的罪，我们是光的折磨。

9-拉比，我的气氛很好，您会听到恳求。

10-我们的主，我们相信我走了下来并跟随Messenger，所以我们写了两个证词。

11-我们的主原谅我们，我们的罪过和我们的秘密，我们证明了我们的脚，并在异教徒身上支持我们。

12-我们的主，只要您创造了这一点，我们就失去了火灾的折磨。

13-我们的主，您是您一直在危险的人，也是那些是支持者的人。

14-我们的主，我们听到了一个呼吁，呼吁他们相信您的主，我们的主，我们的主，原谅我们，我们的罪过，不相信我们，我们的不幸，我们将实现义人。

15-我们的主来找我们和我们的信使的承诺，不存储复活的日子。您不会离开客户。

16-我们的主被带出这个自由的村庄。

17-我们的主，我们的灵魂，我们没有原谅我们，我们对我们有怜悯。

18-我们的主在我们和我们的人民之间以真理开放，而您是最好的一方

19-我们的主，我们已经耐心了，我们已经实现了穆斯林。

20-我们的主不会使我们成为人民的胖子，我们从异教徒逃脱了。

21-拉比，我会寻求您向您询问我没有知识，只原谅我，愿上帝保佑我。

22-拉比，你是我第一个世界上的第一个，另一个人会给我一个穆斯林，我的注射很好。

23-我们的主，你知道我们隐藏了什么，我们宣告了什么，以及在土地上或天堂中隐藏的是什么。

24-拉比使我成为祈祷的地方，并从我的原子，我们的主那里接受恳求，我们的主，原谅我和父母

25-拉比诚实地进入我，我会震惊的是，让我感到震惊。

26-我们的主从你的灵魂来到你身边，我们得到了我们的礼物。

27-拉比向我解释了我的胸部，我对我的事情感到满意，我将分析萨尼的合同，他理解我的意思，我的知识。

28-只有上帝，但是你是你的恩典，我是压迫者之一。

29-拉比，不要推断我，你是两者中最好的。

30-我是有害的人，你是最仁慈的。

31-穆巴尔之王，你是家中最好的。

32-拉比，我会从雷电上见到你，我会寻求你的主参加。

33-我们的主，我们的安全，原谅我们，愿你仁慈。

34-我们的主，我们因其酷刑的折磨而遭受了折磨，因为它是稳定且稳定的，因为它不知所措。

35-我们的主，我们从凹槽和警告中给了我们，我们把我们带到了前面的义人。

2-其他人，让我从灵魂就职典礼的继承人中学到我，不要将我存放一天，他们寄来的一天，这不会使金钱受益，如果只有那些愿意以声音的心来到上帝的人。

37-纳吉勋爵和我的家人从他们的工作中。

38-拉比，请感谢我，我对父母很幸运，我的工作和您满意的一样好，并在您的良好崇拜中怜悯我。

39-主，我委屈自己，原谅我，主，我会支持我，人民。

40-我们的主扩大了一切，当他被宽恕的人宽恕那些悔改的人时，他们跟随你的路和对地狱的折磨

41-我们的主与他们的年龄成为他们的诺言，和解父亲，凹槽和警告他仁慈的人的年龄，这是最伟大的。

42-我们的主透露了我信徒的折磨。

43。

44-我们的主原谅了我们和我们的兄弟，他们以信仰为先于我们的兄弟，并不是在我们的心中向所在的人做。

45-我们的主，你看到怜悯，愿上帝保佑你，你，我们，我们的先知，你，命运，我们的主不让我们成为那些不相信的人，原谅我们，我们的主，你是亲爱的，政府。

46-我们的主，我们很幸运，我们原谅您，您非常罕见。

47-拉比，不要从异教徒那里站在地面上，您将试图误导您的崇拜，而它们只会出生于怀疑。

48-我父亲的主，以及谁进入我们的信徒，信徒和信徒，除了感到困惑之外，没有增加压迫者。

一个会知道恳求的人是因为你，“在善行的山上，你会感到惊讶，上帝愿意……以及所实现的价值观的瀑布中的世界...天意。
。
并呼唤上帝，上帝保佑你"
26263,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zx2KXOEUNf,1,3 years ago,"finally, you become a hero!",最后，您成为英雄！
39658,Ugw6VqK6aIg-3F1xlvl4AaABAg,0,4 years ago,"if you do nโ€t pretend, you can rely on your face value, but you rely on your own ability. what kind of hero can match you. watch your video is a kind of enjoyment. recently, i was in a bad mood, but i watched your video and laughed. although i don't necessarily see this comment, i have to bless you! come on!",不矫情不做作，明明可以靠颜值，你却靠自己的能力。什么样的英雄才能配上你。看你的视频是一种享受。最近心情非常差，却看你的视频看笑了。虽然不一定能看到这个评论，但是我还要祝福你！加油！
41804,UgxMPD5PCLLWVNf6_kZ4AaABAg,0,4 years ago (edited),"women three trifles are extremely pampered husband. ask me whether i am blessed or not. they are small stupid. ask me western department of hero? (boi, boi ngoc, boi tran, boi chan, boi linh ....)",妇女三个琐事是极其受宠若惊的丈夫。问我是否有福。他们很愚蠢。问我西方英雄部？
39322,Ugy6zsTNcfPpAxec4f94AaABAg,0,4 years ago,she is a studio ghibli heroine,她是吉卜力录音室女主角
28244,UgzfZ940jb0MsVwrw-94AaABAg,0,3 years ago,well.. not all superheroes wear capes. ๐๐’•,好..并非所有超级英雄都戴斗篷。
38641,UgwQoNX2thl6BoiWAUh4AaABAg,0,4 years ago,"powerful production team, powerful procurement and marketing team, very good! if the heroine is more respectful to the ingredients, it will be more perfect ... i wish the business prosperous ...",强大的制作团队，强大的采购营销团队，非常好
44461,UgxgJITskoliLr-IHV14AaABAg,0,4 years ago,i really don't have words to describe you....you are super hero i like the pmace where you live,我真的没有话可以形容你。...你是超级英雄，我喜欢你所居住的pmace
44764,UgzS2EHdf7wcGinh4eF4AaABAg,0,4 years ago,addicted (heroine) brought me here. #tunghulu,上瘾（女主人公）把我带到这里。 #tunghulu
36449,UgxrtvAmM5E7eYFSQ9J4AaABAg,0,4 years ago,she's like my superhero now,她现在就像我的超级英雄
46230,Ugz5TS14uhjYwMKFRGZ4AaABAg,0,4 years ago,"you are my hero , inspire me to get back to what is real",你是我的英雄，激励我回到真实的
30538,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xYh2o714CX,0,3 years ago,"@hongweigeng5546 hey, you know what, that guy is exactly correct! because we are here at youtube, so everything bad about china is true, and everything good is fake and is sponsored by the chinese government! everything is just a show! i mean, millions, if not billions, of videos saying good things on different aspects of china, made by different youtubers from all kinds of countries, are all just manipulated by the chinese government! this is so scary! omg! no wonder trump wanna fight a trade war with china! oh donald trump you are our hero, you are the saver of this world! ;)",@hongweigeng5546嘿，你知道吗，那个家伙是正确的！因为我们在YouTube上，所以关于中国的一切都是真实的，一切都是假的，是中国政府赞助的！一切只是一个节目！我的意思是，数以百万计的视频（即使不是数十亿美元）在中国政府的各种Youtuber制造的各个国家的不同方面都说出了好事，而中国政府都在操纵中！这太可怕了！我的天啊！难怪特朗普想与中国进行贸易战！哦，唐纳德·特朗普（Donald Trump），您是我们的英雄，您是这个世界的节省者！ ）
956,UgwO0Oi7WnoPXI2rQ0B4AaABAg,0,7 months ago,5:30 music in the digital heroes ๐ซ๐ญ โฅ ๏ธ โฅ ๏ธ โฅ ๏ธ โฅ ๏ธ,5:30数字英雄中的音乐
27401,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB96R6XAtilWb,0,3 years ago,whoever translates for the hero. too curious. ๐๐,谁为英雄翻译。太好奇了。
2529,Ugybki6FJoKmRXAxChZ4AaABAg,0,1 year ago,like the hero of ghibli,像吉卜力的英雄
24135,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92QFIwdUC7P,0,3 years ago,@hasdhajohn8267 is that most of the domestic keyboard heroes are best at most good in china.,@hasdhajohn8267 因为撕b引战是国内大多键盘侠最擅长的
23610,UgwoawYuZAWgMZqf0yt4AaABAg.92GnstOh6bj92H_6bb42Iy,0,3 years ago,"sun sodo, do you say where i hacked her? instead, because i said that i was different, i said that i would resist my personality and mentality? i feel unreal? as a chinese, you must applaud the videos of chinese people? no matter how good a movie is shot, someone feels very boring. even if you have won the international award, let alone go to n places in rural areas to feel the despair of farmers' survival and the many levels of farmers in the future. it is not true, but does not deny the shooting technology and the heroine's efforts, do you have the ability to understand the question?",Sun Sodo 你倒是说说我哪里黑她了？反而是你因为我说了异见所以说抵毁我的人格和心态了？我就觉得不真实不可以吗？身为中国人，一定要把中国人拍的影片说声叫好？一部电影拍得再好都有人觉得很无聊哪怕已经得到国际奖项，更何况去过农村n 个地方感受过农民对生存的绝望和农后代在前途上的重重关卡和障碍的我就是觉的影片中不真实，但没有否认拍摄技术和女主角的努力，你有没有审题理解能力？
22469,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN97fDTgOUSYv,0,3 years ago,@theroyalfight ยฃ,@theroyalfight£
19850,Ugxawr6uwgS5sB615u94AaABAg,0,3 years ago,what remembers the tone of the digital heroes like,纪念数字英雄喜欢的语气
18144,Ugzq5Ar2lP4HuWB0oFJ4AaABAg,0,3 years ago (edited),"xanadu miji
the hostess diligent 达 foodist 
all foods are diligent and diligent in doing things in a simple life

in such a beautiful world of taoyuan life, i can still think of sharing life and food with people all over the world through shooting videos and editors that not only convey chinese culture and food, but also see how smart you are.

do you still have it?
but to be honest, people in the first -tier cities may not be so rich in your family.

it is indeed all right 有


i suddenly gave birth to a thought that mr. photographer (lady) found that the potential of the heroine was moved by some things to help her? did she live with grandma since she was a child?","世外桃源 美极了
女主 勤奋
所有的食物都是亲自做出来的 勤勤恳恳的做事 朴实的生活

在这么美的世外桃源生活依然能想到通过拍视频和编辑 把生活和美食分享给全世界的人看 不仅传达了中国文化和美食 还看到了你是多么聪明伶俐的一个人 像女主这样的人世间难求

你还有不会的吗？
不过说实话 一线城市的人也未必有你们家这么富有

确实是应有尽有啊 


我突然萌生了一个念头 是不是摄影师先生(女士)发现了女主的潜力 被某些事所感动 特地帮助她的呢？她是从小跟奶奶生活的吗？"
16825,UgyaSHW7JbDX61k_fbt4AaABAg,0,3 years ago,"god bless you, heroine",上帝保佑你，女主人公
16052,UgwYJeLWTqKGx0xbmOh4AaABAg,0,3 years ago,you are my heroine girl. i love watching your videos. ❤️,你是我的女主人公。我喜欢看你的视频。 ❤️
13262,Ugwsk7USsYBTAArQXxl4AaABAg,0,2 years ago,"the puppy is cute, but the heroine never ignores ... haha",小狗很可爱，但是女主从来不搭理……呵呵
10805,Ugwp2OgtxzZVxZ6esEx4AaABAg,0,2 years ago,this woman is a superhero'''''''''''''''' ;|),这个女人是超级英雄''''''''''''''''; |）
9145,Ugz8i7FkVXqSl8UrXBJ4AaABAg,0,2 years ago,real life heroins...angel of the earth...,现实生活中的海洛因...地球的天使...
8461,UgwPoTpWMAaTT5If8QB4AaABAg,0,2 years ago,"@(now china) 10 civilizations.
let's understand the culture that began in the country on the mainland when there was a country in china and the culture that started in china.
in summary, it can be said that it is the top 10 civilizations of the mainland.
that is the plague (pest), foot binding, burning books, confucianism, mao zedong, cultural revolution, tiananmen revolution, sars (sars), huangsha, wuhan pneumonia (covid-19), fake imitation row.

the four major inventions advocated by modern china or most of the culture of china called the originator of their originator are false, or the culture of other countries, and advocate that china is the originator.
regardless of the past mainland countries and modern china, people's minds are empty.
in particular, the recent chinese people have been cross -wisdom by the communist party, and they have lost their wisdom of independent judgment.
therefore, they really believe that the communist party's false institutional is shouting the communist party every day, and china is the world's highest country.
the chinese who lived with the slavery of the communist party felt very desolate.
however, there is no need to feel pitiful or regretful, because the chinese are very happy because they do not realize their own situation.
so outsiders have no reason to destroy their happiness.

there are very few chinese people who know the heroes of chinese heroes mao zedong, and even those who know they dare not say.

mao zedong is a lascivious. he especially likes a 10 -year -old girl who is not adults and women.
it is said that the older women knew too much about the world and said that there was no innocence.
moreover, it is said that a woman who likes to have husbands, especially the low education level with low education level.
when he was in his 70s, in the local guidance, there was a husband who was in his early 20s. after asking the name, mao zedong wrote his name on the manual. dongxing encouraged the husband of the husband to divorce and dedicated it to mao zedong.
it is said that he and a husband who had a husband gave birth to a few illegitimate children.

mao zedong's sexual desire is very strong, and he is basic to his wife. he has a sexually transmitted disease and melamine disease.
therefore, women who have sex with mao zedong have this disease.
but those women were proud of the disease.
at that time, mao zedong, who was worshiped in china at the same time as the living god, was in the same bed, which was a very proud thing in itself.
instead, the facts of being infected with mao zedong's sexually transmitted diseases are used as a medal. this phenomenon can be said to be crazy.

mao zedong has never washed his genitals in his life.
once, his attending doctor li zhisui mentioned health issues. mao zedong said: ""i have been bathing in a woman's body, so it doesn't matter.""
not only that, the body itself did not clean it, and the river people wiped them with a wet towel.

mao zedong's tooth health is really bad, there is no brushing, and a bit of bitter tea from chinese tea often instead of brushing your teeth with bitter tea. a lot of.

@cannot be managed by this image to manage their own leaders, the chaotic leaders in private life, and the chinese brain of the chinese who regard the people who regard the people as a hero.
the chinese do have serious mental illness.
they should be locked in mainland china and should not let them come to the world to pollute the earth.
china is a malignant tumor of the earth, and the chinese are cancer cells that torture the earth.
therefore, in order to prevent the earth's disaster, all the chinese must be located in mainland china.","@亚洲大陆东部的国家(现在中国)10大文明。
让我们来了解一下大陆上存在中国以前的国家时开始的文化和现在始于中国的文化。
综合起来，可以说是大陆起源的10大文明。
那个是鼠疫(PEST)、缠足、 焚书坑儒、毛泽东、文化大革命、天安门革命、非典(SARS)、黄沙、武汉肺炎(COVID-19)、假货模仿排场。

现代中国主张的4大发明品或中国称其鼻祖的大部分文化是假的，或者偷窃其他国家的文化，主张中国是鼻祖。
无论是过去的大陆国家，还是现代的中国，人们的头脑都是空空的。
特别是最近的中国人被共产党所弩化，丧失了自主判断的智慧。
因此，他们真的相信共产党的虚假煽动，天天喊着共产党万岁，中国是世界最高的国家。
以这种共产党的奴隶生活的中国人感到非常凄凉。
但是，没有必要对此感到可怜或惋惜，这是因为中国人没有意识到自己的这种处境而感到非常幸福。
所以外人没有理由破坏他们的幸福。

@了解中国人英雄毛泽东现实的中国人很少，即使是知道的人也不敢说出口。

毛泽东是个好色之徒，特别喜欢不是成人女性的10多岁少女。
据说，上了年纪的女子们对世事过于了解，而且说没有纯真的味道。
而且据说喜欢有夫之妇，特别是喜欢教育水平较低的纯朴的农村妇女。
70多岁的时候，在当地指导时，有一个20岁出头的有夫之妇，毛泽东在问完名字后，在手册上写上自己的名字，非常喜欢，看到此情此景的心腹汪东兴怂恿有夫之妇的丈夫离婚，并献给了毛泽东。
据说他和有夫之妇生下了几个私生子。

毛泽东性欲很旺盛，对妻子不伦不类是基本，患有一种性病，三聚氰胺的疾病。
因此，与毛泽东发生性关系的女人都得了这种病。
但是那些女人反而为得了那个病而自豪。
当时与中国崇拜得如同活生生的神一样的毛泽东同床共枕，这本身就是一件非常值得骄傲的事情。
反而把一起感染毛泽东性病的事实当作一种勋章，这种现象可以说是疯了。

毛泽东一辈子都没有亲手洗过自己的生殖器。
有一次，他的主治医生李志绥提到卫生问题，毛泽东说:""一直在女人的体内洗澡，所以没关系。"" 
不仅如此，身体本身也没有洗干净，河人们用湿毛巾擦身。

毛泽东的牙齿健康确实很糟糕，没有刷牙，而且经常喝中国茶的一种苦茶，用苦茶代替刷牙，所以牙齿健康非常不好，牙石和食物残渣很多，牙龈都积满了脓，蛀牙也很多。

@不能用这种形象管理自己的领导人、私生活混乱的领导人、把百姓视为自己玩物力的领导人视为英雄的中国人的大脑，不能不说是研究对象。
中国人确实患有严重的精神病。
应该把他们关在中国大陆，不应该让他们来到世界污染地球。
中国是地球的恶性肿瘤，中国人是折磨地球的癌细胞。
因此，要想阻止地球发生大灾难，必须将中国人全部关到死为止中国大陆内。"
6820,UgyigHyMeT9Gly-qVN94AaABAg,0,2 years ago,what is this lady some kind of superhero?? lol crazy,这位女士是什么超级英雄？大声笑疯狂
48420,Ugwo2xtYTnjP0fXZOqZ4AaABAg,0,4 years ago,"the picture is beautiful to cry, excitement, appetite, and other positive emotions.

the heroine is an indispensable goddess.","画面美得让人想哭，兴奋，食欲大开等各种正面的情绪混合在一起。

女主是一个不可亵渎的女神。"
