,cid,votes,含princess,含princess中文翻译
24361,UgzLwLKR8vnAGKTdwHR4AaABAg,221,"you look like a princess with an animal friends
edit: wait am i dreaming i got so many like ๐ thank you this literally make my day","你看起来像一个公主和动物朋友
编辑：等等，我在做梦，我有很多喜欢"
5384,UgzednDKU2tsKV4VLGZ4AaABAg,166,omg the way the animals were following her at thw beginning shes like a princess,天哪，动物像公主一样在她开始时跟随她的方式
28211,UgzzzxPrPa_O232kTbZ4AaABAg,122,"and why people compare her with disney princess? 
she is much more than that !!","为什么人们将她与迪士尼公主进行比较？
她不仅仅是那样！"
19356,UgxrGL_gZgLw_j9TS1t4AaABAg,87,"she is like a dream princess. best of luck dear.

from,
bangladesh.","她就像一个梦想的公主。祝您好运。

从，
孟加拉国。"
16007,UgwAtUIdnEhNCE2qgg54AaABAg,78,she's literally a disney princess before they meet their prince... kind caring and hard working,在遇见王子之前，她实际上是迪斯尼公主...善良和努力工作
22363,UgxeFpyrL7XWhqRU1PN4AaABAg.92xnq6f9oza933yKZo7FJw,50,like a disney princess. mulan maybe,像迪斯尼公主。也许是木兰
22742,UgzE89dV4ZcNMcuX4bF4AaABAg,37,disney princesses in real lifeโค,现实生活中的迪士尼公主
16215,UgxdQfzTWvSo8cY000B4AaABAg,34,"no word to describe how beautiful this is, it looks like a fairy tale and she is the princess in it..",没有一句话可以描述这有多美丽，它看起来像个童话，她是公主。
17926,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv986dlK3KR7i,31,"@anniearevalo3157 mulan is a badass warrior princess, lizqi seems like she can hold her own but i think she's more like belle...",@Anniearevalo3157 Mulan是一位坏蛋公主，Lizqi似乎可以握住自己的人，但我认为她更像Belle ...
21518,Ugy_rDs8BM0sdE53Xk54AaABAg.93Zm-mIdXXA946pSnKx02v,31,"disney princess can't do anything, just married with princess and lived happily days forever.",迪士尼公主无能为力，只是与公主结婚，永远幸福地生活。
22370,UgxeFpyrL7XWhqRU1PN4AaABAg.92xnq6f9oza93Ait2Za1NJ,17,"sheโ€s literally a disney princess. but she actually works hard. this is who girls should look up to, not the kardashians!",她实际上是迪斯尼公主。但是她实际上努力工作。这是女孩应该仰望的人，而不是卡戴珊人！
28386,UgwAmh9mwbsNn2MrK6F4AaABAg.8y_gWQmCqaX8zRjHkMPUWv,15,she's like a disney princess who doesn't need a prince to survive.,她就像迪士尼公主，不需要王子才能生存。
36679,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ8uZ6pw_Ey8k,15,sheโ€s a princess ๐,她是公主
19518,UgxWYh3tKEOvDyMqR1J4AaABAg.95ghD49koAg96GUnNRLwrH,13,"yeah i don’t think she cares at all. she is no one’s princess. she’s her own king, and queen, and knight, and maiden, and farmer, and court wizard, and little fairy. and most importantly, a loving grand daughter. real chinese woman is like this: strong and independent, responsible and free-willed. no princess can bring the joy when she sees her grandmother’s smile on the face.",是的，我认为她根本不在乎。她不是人的公主。她是自己的国王，皇后，骑士，少女，农民，法院向导，以及小仙女。最重要的是，一个充满爱心的大女儿。真正的中国妇女就是这样：坚强，独立，负责任和自由意志。当公主看到祖母在脸上的微笑时，没有公主能带来欢乐。
32494,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18y_b39qwBk5,12,"@jewel_sapphire she said in some interviews that she used to work as a waitress and dj in the city because her family was poor. her mother passed away when she was really young so she lived with her father and her step mother. she was mistreated by her step mother so she moved to live with her grand parents when her dad passed away. yeah her grandfather was a chef and she probably learnt a lot from him but we have to agree that her cooking skills and other skills are so amazing, which she must work so hard to gain them. she's a real life princess to me because she doesn't hesitate to do anything, even the tough ones. we all know that she definitely earn a lot money from her videos but come on don't we feel relaxed and satisfied watching her videos? she's successful and she deserves it.",@jewel_sapphire她在一些采访中说，她曾经在城市里担任女服务员，因为她的家人很差。她的母亲在她真的很小的时候就去世了，所以她和父亲和继母住在一起。她的继母虐待她，所以当父亲去世时，她搬到了与祖父的父母住在一起。是的，她的祖父是一名厨师，她可能从他那里学到了很多东西，但我们必须同意她的烹饪技巧和其他技能是如此出色，她必须努力工作才能获得。她是我的现实生活公主，因为她毫不犹豫地做任何事情，甚至是艰难的人。我们都知道她肯定会从视频中赚到很多钱，但是来吧，看着她的视频，我们不感到放松和满意吗？她很成功，她应该得到。
8329,UgzD1JIFsj25MSyj17l4AaABAg,10,she's so amazing and beautiful... she's a 'modern' princess,她是如此的神奇和美丽...她是一位“现代”公主
30099,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78yENepOerfA,8,@janicetarot mulan is a story about a girl who goes off to train in the army and goes to war to take her father's place. love how people say she's mulan just because she's chinese and mulan is the only disney princess they know about. ๐,@Janicetarot Mulan是一个讲述一个女孩，她在军队中训练并参加战争以取代父亲的位置。喜欢人们说她是花木兰，只是因为她是中国人，而花木兰是他们唯一知道的迪士尼公主。
31653,UgxoJ3LKcV-lAyEyPz54AaABAg.8w6EOq7RXc18wv5JJ5efwo,7,she's like a real disney princess,她就像一个真正的迪士尼公主
19519,UgxWYh3tKEOvDyMqR1J4AaABAg.95ghD49koAg96KY653L3V9,5,"a princess often needs a prince, but she doesn't",公主经常需要王子，但她不
25847,UgzgDn-7iorwhifBC6Z4AaABAg,5,hopefully my litle princess will be like you someday,希望我的公主有一天会像你一样
14612,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9Agg5a_3Qpd,5,"@jane-ni5qb thank you for your encouragement! this is the popular sichuan fairy film now, princess universal and her little animals, which are definitely suitable for large screen viewing and have three -dimensional audio effects, haha",@Jane-ni5qb 谢谢邱兄的鼓励！ 这是现在很有人气的四川童话片≪万能公主和她的小动物们≫，绝对适合大屏幕观看，并有立体音响效果哟，哈哈
32493,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18yIaTyYBL7j,5,"cyndri ana this is her grandparent's property. she has shown in her video she lives with her brother and other family members. she is also a millionare. she has a contract with companies who offer her many business opportunities as an entrepreneur. she has her own brand..and she sells food products online. she also launched a clothing line. so she isn't a real life disney princess. she worked in the city and was a dj at a club at night. she's the exact opposite of what everyone think she is. she is not self taught. her grandpa was a very successful chef and this land, garden and house belonged to him. he taught her how to cook and create things. grandma makes vegetables and fruits. she will inherit everything in the end.",Cyndri ana这是她祖父母的财产。她在视频中展示了她与哥哥和其他家庭成员一起生活。她也是一百万。她与为企业家提供许多商机的公司签订了合同。她有自己的品牌..并在网上销售食品。她还推出了一条服装系列。因此，她不是现实生活中的迪士尼公主。她在这座城市工作，晚上是俱乐部的DJ。她与每个人的想法完全相反。她不是自学的。她的爷爷是一位非常成功的厨师，这座土地，花园和房屋属于他。他教她如何做饭和创造东西。奶奶制作蔬菜和水果。她最终将继承一切。
31933,Ugytz33sw9utXZ0XKlJ4AaABAg.8w1ISxTIhfc8w5CTh7ZAPr,4,shes like a princess,她像公主
14615,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9AgqP_Zcrzo,4,"@user-ce5xg9ko6m ohhahaha, the title of the film is really good, from time to time, you have to come and look at it. it's too delicious. look at the big screen super comfortable. the heroine should win the academy award.
7 brothers vividly and appropriate text descriptions are particularly powerful. essence essence princess qi is coming to take this person into the team and play.","@user-ce5xg9ko6m 呵呵哈哈哈，片名取得真好，时不时就要来重看一下的，太有滋味了这部，看大屏幕超舒心，女主角很该得奥斯卡奖的
7兄生动贴切的文字描述特厉害。 。 。柒公主快来将此人揽入团队效力呀"
30092,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78xzDdVe3t6Z,4,disney princesses with servants don't work (*at all or *that much) except cinderella hahaha,迪士尼公主和仆人不工作（完全 *或 *太多），除了灰姑娘哈哈哈
26921,Ugz8Z8xxVAdXFmj9yAB4AaABAg,3,this girl is the real life version of a disney princess,这个女孩是迪士尼公主的现实生活版本
16740,Ugx53dRaunGipg_w8uF4AaABAg,3,"i just love liziqi. she is a modern princess and is just amazing. but... she is not a goddess like all ya’ll think she is. she is human just like us. this video is proof that humans are not perfect, even is they are hardworking and talented. (https://www.youtube.com/watch?v=auw1_2xbywm) watch till the end and you’ll see what i mean.",我只是爱Liziqi。她是一位现代公主，真是太神奇了。但是...她不是像所有人一样的女神。她像我们一样是人类。该视频证明了人类并不完美，即使他们在努力工作和才华横溢。 （https://www.youtube.com/watch?v=AUW1_2XBYWM）直到最后，您就会明白我的意思。
38918,UgzaXiSdXlj-zXxpMEV4AaABAg,3,"i love how she does all the gathering, cleaning, cooking, tending, creating, all the while looking perfectly dainty as a princess and cute as a pea, with her beautiful hair and face, and nimble hands! watching this girl go about her day is almost therapeutic! โค๏ธ",我喜欢她如何完成所有聚会，清洁，烹饪，养育，创造，同时看起来像公主一样精致，像豌豆一样可爱，拥有美丽的头发和脸，还有敏捷的手！看着这个女孩去看她的一天几乎是治疗性的！ ❤️
22368,UgxeFpyrL7XWhqRU1PN4AaABAg.92xnq6f9oza936vq8r12H8,2,cuz she a freakin disney princess,因为她是一个怪胎迪斯尼公主
12721,UgwBhSSLuzs3tB58r9V4AaABAg,2,she's a princess,她是公主
36686,UgylTM1tk7rRFvWtYkJ4AaABAg.8uRIOVFo2EQ8ucsUjr1DfS,2,so basically a disney princess ๐‘ธ,所以基本上是迪士尼公主
10313,Ugxdyfl_Y3pcJ-z3_Vh4AaABAg,2,i think this is a disney princess who can cook... while i eat chipotle with my mouth drooling at this and not my food,我认为这是一位迪士尼公主，可以做饭...当我用嘴巴流口水而不是我的食物时，我可以做饭
19527,UgxWYh3tKEOvDyMqR1J4AaABAg.95ghD49koAg96kuWVCyr4V,2,princesses don't cook.,公主不做饭。
22640,UgzSOoLeC0Mde95j3GN4AaABAg.92q8DHNw_Ua92yBoBWoXjS,2,"she reminds me of a disney princess, or a studio ghibli protagonist.",她让我想起了迪士尼公主或吉卜力馆的工作室。
30765,Ugxu_vDAl1HcDCmG18d4AaABAg,2,"you beyond beautiful and arrested+ princess !!!! give a very tasty hug in grandma ... i am delighted with so many beautiful roses and hot fruits..and the snacks and a delight only health
the meat was beautiful !!! then you all his.๐ท๐ฒโ๐ป๐’๐‘๐‘๐‘๐‘","您超越了美丽而被捕+公主！！！在奶奶中给一个非常美味的拥抱...我对这么多美丽的玫瑰和热水果感到高兴。
肉很漂亮！！！那你全都是他。"
34173,UgzolRmhutGm186GvLt4AaABAg,1,disney princess... perhaps disney u should start to take notes,迪士尼公主...也许迪斯尼你应该开始做笔记
2492,UgwtbADk5TuD8lBYTUh4AaABAg,1,you look like a chinese princess and you follow traditional l love traditional so much,您看起来像中国公主，并且遵循传统的L爱传统
29680,UgyVEe5HuRYjR7WmFqt4AaABAg,1,your video is calming me. i love the nature around you. i have a dream to live in this kind of place. i like planting and i love vegetables than meat. i'm so glad i found your channel youtube. i agreed with all the people's comments. you're deserve when we call you princess. stay healthy and you can continue making videos for us.,你的视频使我平静。我爱你周围的大自然。我有一个梦想在这种地方生活。我喜欢种植，我喜欢蔬菜，而不是肉。我很高兴找到您的YouTube频道。我同意所有人的评论。当我们称您为公主时，您应该得到。保持健康，您可以继续为我们制作视频。
19726,UgxT3YcVAi0yU79t81R4AaABAg,1,i keep on watching this since last year. all i can say is paradise. she is a hardworking and loving princess in this paradise,从去年开始，我一直在观看。我只能说是天堂。在这个天堂中，她是一位勤奋而充满爱心的公主
29643,UgwPoCP9K2k7VVMj9qd4AaABAg,1,good morning dear li i turned your fan n1 of heart i would like to meet you princess beautiful hug jรขnio luiz botucatu sp interior brazil,早上好，亲爱的李，我转过你的粉丝n1，我想见你公主美丽的拥抱jânioluiz botucatu s s s s s s s s s in trag
47454,UgzfG2f-bcK44njgnSJ4AaABAg,1,she’s a disney princess,她是迪士尼公主
3830,UgyJM9saThP8rNUl_0h4AaABAg,1,what a princess . but the question is when will she meet her prince?,真是公主。但是问题是她什么时候见王子？
5138,UgwJrb5BeTSQYCzOFHR4AaABAg,1,"incredible magic! there are no words. beauty, fell in love with these 10 minutes. i want to go there to this princess!",令人难以置信的魔术！没有话。美丽，爱上了这10分钟。我想去那个公主！
33521,UgxkoTim07Y47rCiJO54AaABAg,1,"im telling you, shes a disney princess with all the animals always following her.",我告诉你，她是一位迪斯尼公主，所有动物总是跟随她。
27548,Ugwf9rN7LY_9jQ43BIF4AaABAg,1,a princess from the real world!,现实世界中的公主！
28173,UgxBvYQps39KP7Zm3554AaABAg,1,none of the disney princesses can make food. most of them just enjoy the fantasy from the power and beauty that god give them.,迪士尼公主都没有做饭。他们中的大多数人都享受上帝赋予他们的力量和美丽的幻想。
13599,Ugzb2hyWGva6Zl5_1SV4AaABAg,1,she should be in disney as princess,她应该在迪斯尼作为公主
22122,UgwO4KbJh7BKRV6hKT14AaABAg,1,wow a real disney princess.,哇，一个真正的迪士尼公主。
35416,UgyIlNkDFoFy949wgSV4AaABAg.8uf_EUKhc8j9295vwaOAoj,1,"this lady is a real life disney princess, iโ€m telling ya. ๐",这位女士是现实的迪士尼公主，我告诉你。
24166,Ugy9jAtz45iHEFvwNU54AaABAg,1,she reminds me soo much of a disney princess ๐‘‘,她让我想起了迪斯尼公主的很多
1173,UgysgTqhCU-ySIQFtMd4AaABAg,1,real-life princess ๐ฅบโค๏ธmiss you please come back ๐ฅฒ,现实生活公主
17149,UgzPpNULJ3ZtgYT1XAF4AaABAg,1,"the puppies and the lamb love li ziqi as if she were their mom...maybe adopted mom...i would follow her around if i could, chestnuts roasting on a kitty fire....:) wow, so many healthy snacks..amazing princess! god bless you and your grandmom...from texas ...usa.ni shi hen hao...:) in 14 years in china, i never trust those popping machines...dangerous...for ears...best spring festival food in the world...done by li ziqi....so great!",小狗和羔羊爱李齐qi好像她是他们的妈妈...也许是收养的妈妈...如果可以的话，我会跟着她，栗子在小猫的火上烤... :)哇，哇，很多健康的零食..杰出的公主！上帝保佑你和你的祖母...来自德克萨斯州...美国。世界上春节的食物...由李Ziqi完成。。。太棒了！
6027,Ugwv8jPrBP-xz7Hagdt4AaABAg,1,real princess,真正的公主
15361,UgwspAEJhGr7yItITQN4AaABAg,1,she is a princess,她是公主
36153,UgwVKURBMt8Q5i2LdPF4AaABAg,1,she is a living disney princess ๐‘‘,她是一个活着的迪士尼公主
12652,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9DVbq60jRXA,1,"princess mae i understand and it’s totally fine, but aq2388k (prev. pandateasalad) replied so rudely to me first hence i returned back the attitude lol",梅公主我理解，这完全很好，但是AQ2388K（pandeasalad）对我很粗鲁地回答，因此我回到了态度
29040,UgzxsuI4FcnipymZoAR4AaABAg,0,she is the real life disney princess....... love you,她是现实生活中的迪士尼公主....爱你
27702,UgzZZQLX22kqn4NYYQt4AaABAg,0,"hi ,liziqi. you are do very well on your work..but just one thing that i feel bad about ..you 're not love the animal much..and even not care about them..that's make me hurt my little princess..",嗨，liziqi。您在工作上做得很好。.但是我对..你不爱动物的一件事。甚至不在乎它们。这让我伤害了我的小公主。
29158,UgwX2JLhos62nAltEAh4AaABAg,0,"look at the cuties following her, she is a real life disney princess.",看看跟随她的美女，她是现实生活中的迪士尼公主。
27838,UgyddGytgXkD_8mUeCp4AaABAg,0,"she has to be a disney princess, look at all the small animals that follow her lol. so adorable",她必须是迪士尼公主，看看她大声笑的所有小动物。好可爱
29030,Ugw-gwmo9MCW2mP6d7t4AaABAg,0,"she's a disyy princess. essence essence mainland china ss/ssr turning over the wall airport ladder vpn is here, supporting the wall to return to china, ultra -low monthly fees, only 11.9 yuan/100g of traffic per month! 4k seconds, unlimited speed, 50+lines options, free experience url: shidonglivip point top",She's a Disney princess.。。。中国大陆ss/ssr翻墙机场梯子VPN来了，支持翻墙回国，超低月费，每月仅需11.9元/100G流量！4K秒开，不限速，50+条线路任选，免费体验网址：shidonglivip点top
28221,UgwYX9RnEA0MqlvRzid4AaABAg,0,she is princesses snow from disney โค๏ธ๐‘‘๐,她是迪士尼公主的雪❤️
27963,Ugzgi4BYl9ZZY3z__p14AaABAg,0,if she were a disney princess she'd be mulan.... because of her strength,如果她是迪士尼公主，她将成为木兰....因为她的力量
29580,UgyF1YMFOJCTutvqIPx4AaABAg,0,disney should make a chinese princess based off of her,迪士尼应该根据她的中国公主
29190,UgxKFZGHGlMAjjX1UKJ4AaABAg,0,you are beautiful i like this video is so funny i like your home is very fantastic you are a beautiful princess i am siham from algeria ๐ฉ๐ฟ,你很漂亮，我喜欢这个视频很有趣，我喜欢你的家很棒你是一个美丽的公主，我是阿尔及利亚的西哈姆
381,Ugz1iAItxgKhCwwyH-N4AaABAg,0,whomever decided to mess up her business needs some major karma. weinian company sucks buttmonkeys. down with corrupt stupid third party leches. i hope she is happy kicking lifes ass and surpassing everyone as she has always done. i'm glad she's done with being used by gross corrperations to make them money. be well princess. shes a fucking national treasure.,决定弄乱她的业务的人需要一些主要的业力。 Weinian Company糟透了Buttmonkeys。与腐败的愚蠢的第三方Leches一起。我希望她很高兴能像她一直这样做的那样踢生活屁股，并超越所有人。我很高兴她完成了被总体关联用来赚钱的工作。做好公主。她是一个他妈的国宝。
30751,UgwJZdlpES0a7890c2B4AaABAg,0,sheโ€s like a fucking disney princess,她就像他妈的迪士尼公主
39339,Ugzzf_vCspb6chIGpZp4AaABAg,0,her gang of animals following her everywhere just gives me chinese disney princess and itโ€s so adorable ๐ญ,她的一群动物随着她的到处都给了我中国迪斯尼公主，真是太可爱了。
47982,UgxpcOKtR3AUp-qyNiJ4AaABAg,0,you can be a ghible princess,你可以成为可悲的公主
47201,UgyHcBOUWKlNvTT17md4AaABAg,0,omg she's like a disney princess w/ her little animals!,天哪，她就像迪斯尼公主，有她的小动物！
47162,UgyySAA6OZChi0jxuaR4AaABAg,0,woo lives in a paradise and she is a princess,Woo住在天堂，她是公主
44606,UgyVUylcNI_lbyLexvl4AaABAg,0,wow! my chinese princess cooked up a storm of fruits and nuts!,哇！我的中国公主煮了一片水果和坚果的风暴！
44203,UgxvpxsjR_omDyTJrcp4AaABAg,0,this is real life disney princess. doing chores and still beautiful while cute animals follow you around.,这是现实的迪士尼公主。做家务，仍然很漂亮，而可爱的动物则跟随你。
43864,UgxNCaFgKkbvgfxzruF4AaABAg,0,"its so whimsical, like a disney princess movie coming to life",它是如此的异想天开，就像一部迪士尼公主电影《栩栩如生》
43583,UgycRGG2KfHXElP-Hox4AaABAg,0,she is a disney princess,她是迪士尼公主
43173,UgxRnUrlzloslQ-ndjh4AaABAg,0,she is princess no crown no dress :),她是公主没有皇冠没有衣服:)
43003,Ugy3CULZdfWcZrIryad4AaABAg,0,00:14 jesus is this the next disney princess movie?,00:14耶稣这是下一部迪斯尼公主电影吗？
41755,UgysJD0VJmiYrC7ch-t4AaABAg,0,"im in love, she is like a real life princess",我恋爱了，她就像一个现实生活中的公主
40749,UgyNnoZhAxnGFE_yQF14AaABAg.8s9f9Go_PRX8s9gc2AwPDd,0,"sparklesugarkawaiiprincess but we can use vpn to watch youtube⁽⁽ଘ( ˊᵕˋ )ଓ⁾⁾. now i am in
china.","Sparklesugarkawaiiprincess，但我们可以使用VPN观看YouTube⁽⁽（ˊᵕˋ）ଓ⁾⁾。现在我在
中国。"
40702,Ugy6Vc2nSaQ1YByLeGV4AaABAg,0,just gathering nuts and seeds in the forest with two puppies and a lamb as her gentle animal companions...i think she’s actually a disney princess,只是用两只小狗在森林里收集坚果和种子作为她温柔的动物同伴...我认为她实际上是迪士尼公主
40394,UgwStt64D8F_mmOptW54AaABAg,0,she looks like a disney princess,她看起来像迪斯尼公主
39468,UgwyqxdFXrigL3pH1f94AaABAg,0,you are princess in fairytale! i thought house of flying daggers is unicue movie by its beauty but your videos and great views of nature is much beautifull then this movie!,你是童话中的公主！我认为飞行匕首之屋是统一电影的美丽电影，但是您的视频和对自然的美景和这部电影的美景非常美丽！
38030,Ugya4_JTl65Dc4zTRFt4AaABAg,0,"this girl is beautiful, and her video is just a miracle of taste and aesthetics of manual labor. in our country, many women, in the presence of modern household gadgets, manage to look like lust, and here is a young woman who lives in harsh conditions of peasant life, without convection furnaces and multi -sides, manages to look like a chinese princess. how much hard physical labor! but she is so fragile, tender, with such elegant fingers! beauty in everything - in the surrounding nature, fruits of this earth, noble work and the results of this work, in it!",这个女孩很漂亮，她的视频只是味觉和手工劳动美学的奇迹。在我国，许多妇女在现代家用小工具的面前看起来像欲望，这是一个年轻的女人，她生活在农民生活的恶劣条件下，没有对流炉和多种方面，它看起来像中国人公主。多少艰苦的体力劳动！但是她是如此脆弱，温柔，手指如此优雅！一切都在所有事物上 - 在周围的本质上，地球的果实，高贵的作品以及这项工作的结果！
31124,UgxLSin8avXJhFw-dN94AaABAg,0,you know she's a real princess when the lil pups and lamb follow her around ๐ท๐ผ๐,你知道她是一个真正的公主
37818,UgyU789kpysM6T5nlx54AaABAg,0,she's like a disney princess,她就像迪斯尼公主
36433,UgzNk2P7ygnAYm9fHs14AaABAg,0,"wow, what a wonderful life she is living! kudos to her, including the one whoever handles the camera and editing! it is amazing how she does all these things! i don't knnow if she does it all by herself, but all this preparation must take a long time! love the little animals that surround her, she is a real life princess living the simple life!",哇，她过着多么美好的生活！对她的敬意，包括处理相机和编辑的人！她如何做所有这些事情真是太神奇了！如果她自己做所有的事情，我不会知道她的一切，但是所有这些准备都必须花很长时间！爱她周围的小动物，她是一个现实生活中的公主，过着简单的生活！
36411,UgwcXASF02dAqlMusrx4AaABAg,0,real life disney princess,现实生活中迪士尼公主
35965,UgyWclVHJZ7jBf0OjQF4AaABAg,0,is she a disney princess?,她是迪士尼公主吗？
35664,UgwkS3lTq41fJe7CzS54AaABAg,0,disney make a movie about this girl she is a princess,迪士尼拍了一部关于这个女孩的电影，她是公主
35245,Ugx_Y5-yUdlWRsIajhZ4AaABAg,0,sheโ€s like a real disney princess!,她就像一个真正的迪士尼公主！
34843,Ugzb2ORhmlLvBYWkYIl4AaABAg,0,i felt like i am watching a real life princess..,我觉得自己正在看一位现实生活中的公主。
34744,Ugxco_-7PMOnDdV4pNd4AaABAg,0,"two words: disney princess. i need a two hour animated feature film of her running around collecting things, taking care of her mom, being followed around by a lamb and two pups....i honestly don't know what the plot would be because how can there be conflict in this perfect world? but it's just brilliant. she leads a very rich life.",两个词：迪士尼公主。我需要一部两个小时的动画故事片，她跑来跑去收集东西，照顾她的妈妈，紧随其后的是羔羊和两个小狗。...老实说，我不知道该情节是什么在这个完美世界中的冲突？但这真是太好了。她过着非常富裕的生活。
27578,UgzL46_7OQJc9Okq_3R4AaABAg,0,"you were so cute when you ran off to cover grandma's ears from the explosion (5:55) and to avoid the corn kernels popping, pretty princess!๐

and when they popped, that was like a funny jumping jack that you did!!!๐

9:48 is so sweet. because of that act, you are so lovable here in this video.๐๐๐","当您逃跑以掩盖爆炸（5:55）的耳朵并避免玉米内核弹出时，您真可爱，漂亮的公主！

当他们弹出时，那就像一个有趣的跳跃插孔！

9:48太甜了。由于这种行为，您在此视频中真是太可爱了。"
34233,UgzX8CbPmuxMdeEXn2B4AaABAg,0,actual disney princess,迪士尼公主
33478,UgxweL16i4KNd5vCziB4AaABAg,0,shes an actual disney princess with animal sidekicks ๐๐๐,她是一个真正的迪士尼公主，有动物搭档
33161,UgwzJVVC930fZEw79rV4AaABAg,0,she is a real disney princess. her two pups and little lamb! my crush on her is growing!,她是一位真正的迪士尼公主。她的两个小狗和小羊肉！我对她的迷恋正在成长！
32924,UgydSim5LnFSusW8o354AaABAg,0,lol baby animals following you around...you really are irl disney princess. :d,大声笑的婴儿动物跟随你……你真的是迪斯尼公主。 ：d
31523,Ugw8cQQKxd3JYF8DzSp4AaABAg,0,shes a real lide disney princess!,她是一个真正的迪士尼公主！
34453,UgwZmxbjBbUDYrqzTUV4AaABAg,0,i'm convinced she's a disney princess because she has animals following her everywhere she goes,我坚信她是迪士尼公主，因为她到处都有动物跟随她
22309,Ugx2haRhTFA_HxuzdZV4AaABAg,0,ok she might be a disney princess,好吧，她可能是迪士尼公主
27406,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB96V1f9GEFTQ,0,she is the real princess,她是真正的公主
12817,Ugxkl019Ecfs8mzq_WF4AaABAg,0,this is what we call a real life princess everybody.,这就是我们所说的现实生活公主。
17943,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9AH7N4en_6T,0,"seriously, we need a disney princess like li ziyi",说真的，我们需要一个李子柒那样的迪士尼公主
17938,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv98pzH_iT8qr,0,she is a real disney princess..,她是一个真正的迪士尼公主。
17429,UgzBoelKyQQ1oej5afV4AaABAg,0,a real disney princess,真正的迪士尼公主
16579,Ugz1Wc9vM9ZHfkxa85N4AaABAg.98bPkd9Z2En99dEc2kCuu-,0,i’m starting to see a pattern with disney princess and animal’s,我开始看到迪士尼公主和动物的模式。
16293,UgwvNCDWDlBD1OPKi8x4AaABAg,0,"dear liziqi , you are amazing so beautiful, so elegant, you are a real princess",亲爱的liziqi，你真是太漂亮了，如此优雅，你是一个真正的公主。你的祖母真可爱！！！
