,cid,votes,含princess,含princess中文翻译
25202,UgyYIUMm7wDCVbDcCwN4AaABAg,0,"awwwww so peaceful there, to live there until the end would be awesome, away from all the dramas. even the food is lovely. as for the hard working young lady she's beautiful, princess of the garden. thanks for sharing your paradise with us.",在那里如此宁静，到那里住在那里，直到最后会很棒，远离所有戏剧。甚至食物也很可爱。至于勤奋的小姐，她很漂亮，是花园的公主。感谢您与我们分享您的天堂。
11438,Ugy3-AJ1fDv-lm6RnLh4AaABAg,0,she's my princess ideal.,她是我的公主理想。
2213,Ugxq_eH1OQ5kmlMyfCt4AaABAg,0,princess taiping,太平公主
2300,UgwkokJL_XnIeLrP-Wd4AaABAg.9UdU840_FyM9Udzjb3orsR,0,"you're like the equivalent of explaining to people why disney princesses and happy endings aren't real. like, dude, everyone knows. but life in the countryside can also be very relaxing for some people. i've lived in the countryside and my people do as much work as liziqi shows in her videos. sure life in the countryside isn't as pretty as she makes it look, but it's achievable and a dream for some people. some of yall are so bitter and for what.",您就像向人们解释为什么迪士尼公主和幸福的结局不是真实的。就像，伙计，每个人都知道。但是，对于某些人来说，乡村生活也很放松。我住在乡村，我的人民做的工作与Liziqi在她的视频中所显示的一样多。当然，乡村的生活并不像她看起来那样漂亮，但是对于某些人来说，这是可以实现的和梦想。你们的一些人是如此的痛苦，并且是什么。
2390,Ugym5jWFHMW5FrIhsPF4AaABAg,0,she is the real life disney princess,她是现实生活中的迪士尼公主
4295,UgzNoMOAznzqSZYcJyV4AaABAg,0,well you have to be realistic you are the princess and i am not going to become a prince but you are a princess and very noble,好吧，你必须要现实，你是公主，我不会成为王子，但你是公主，很高
5211,Ugz8aBLB1hTfTw6AjI14AaABAg,0,hello my love good morning little beautiful my oriental princess you are very hardworking and you deserve the best,你好，我的爱早安小美丽我的东方公主你很努力，你应该得到最好的
5276,UgyRTZeBA43_yE-7lpB4AaABAg,0,"this video reminds me that anime that spoke of a phantom ""princess of bamboo sprout"" very nice, alternative and colorful with only watercolors the plot reminded a little the novel cime stormy โค๏ธ",这段视频提醒我，动漫谈到了一个幻影“竹子公主”，非常好，替代品，只有水彩画，情节使小说cime cime cime cime storky❤️
5343,UgxUvd1_957Lo_YxaGB4AaABAg,0,a real princess,真正的公主
6564,UgxPqeuNGblBU8YdTQ94AaABAg,0,"oh my, you up to 12.7 million subscribers? well deserved. the wife that i never get. the disney princess that disney will never get.",哦，我，您最多可达1270万订户？应得的。我永远不会得到的妻子。迪士尼永远不会得到的迪士尼公主。
8374,Ugyzq448DSK1y8Y0edd4AaABAg,0,"how many wonderful things are you doing with your hands, you are a mystical princess that everything transforms it seems magic, the princesses eat pink petals my heart my precious one that you are very happy",你用手做了多少奇妙的事情，你是一位神秘的公主，一切都变化了，它看起来魔术了，公主吃了粉红色的花瓣，我的心我的心，你很高兴
8610,UgwDiA9iaqtDgX-DTyh4AaABAg,0,all i can remember while watching this is the tale of princess kaguyaki. ..,我所记得的只是喀格亚崎公主的故事。 ..
9413,Ugy__rBDj6gJwiTJ6Fl4AaABAg,0,i hav fallen in lov wid u yaa princess plzz do rply to it....lov u so mch ya..xcpt ma proposal plz,我陷入了lov wid u yaa prins plzz plzz to to to to to。
11361,UgzBqqbkRcMz4XqyAQp4AaABAg,0,the viking spartan warrior princess,维京斯巴达战士公主
11989,UgyzGYkt9TBWNJGnI2x4AaABAg,0,princess kaguyo,Kaguyo公主
24395,UgwOicg0YZfugoXiQOx4AaABAg,0,i want to marry you princess,我想嫁给你公主
12409,Ugx9zOpmH9txlWqFhLR4AaABAg,0,princess kaguya has entered the chat...,Kaguya公主进入了聊天...
12670,Ugwt4Kba54qMvNGFH6N4AaABAg,0,"it's magical to watch you, at times of so many speculation, boundless hatred and accusations, your video is like a filter for my soul.
thank you princess.","在如此众多的猜测，无限的仇恨和指控时，您的视频就像我的灵魂的过滤器一样，这是神奇的。
谢谢公主。"
12813,Ugz2FvZrf5r9raH7fUN4AaABAg,0,a true princess.... how i wish one day she will notice me,真正的公主....我希望有一天她会注意到我
14817,UgyiFc5SAiu8PV3IO0h4AaABAg,0,i am from peru but my father was from china. he cooked very delicious. you remember me my dad. thanks princess liziqi.,我来自秘鲁，但我父亲来自中国。他煮得很美味。你记得我爸爸。感谢Liziqi公主。
15445,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9GXfN5fDl3j,0,we need a disney princess made from her. she would make such an admirable princess for all esp young girls.,我们需要一个由她制成的迪士尼公主。她会为所有ESP年轻女孩做这么令人钦佩的公主。
15448,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9I8c5O2dPnv,0,"@justbb1415 , she is a disney princess.",@justbb1415，她是迪士尼公主。
15881,Ugx8udKwceQ57AShCQp4AaABAg,0,and they say that princess is fictional,他们说公主是虚构的
17322,UgxpeaPCZd5cJL94CbJ4AaABAg,0,modern day princess,现代公主
20817,UgwJiWhXYYGYOQgP9DN4AaABAg,0,@0:45 i really thought she was going to find princess kaguya at some point lol,@0：45我真的以为她会在某个时候找到Kaguya公主
21613,UgxUN38IW5zLVEt24014AaABAg,0,she reminds me of princess kaguya from the fairytale,她让我想起了童话中的Kaguya公主
507,Ugyo0Bp-UNJatY3t3Ft4AaABAg,0,you're a princess.,你是公主。
24135,Ugzb3uBYmxLogawI5eZ4AaABAg,0,princess,公主
34925,UgwFBgXwZMFTy9q6rzh4AaABAg,0,"earlier i used to wonder how princess look like , now i don't",早些时候我想知道公主的外观，现在我没有
