,cid,votes,time,含thank,含thank中文翻译
31588,UgwXcDyacnoVwyUcMid4AaABAg,189,3 years ago,"dear miss lizqi , the bamboo forest looks wonderful , there is always true beauty captured in every amazing video that you make. i wish you mighty blessing to you and your loving grandmother. please continue to share your vast wisdom with us all around the world. the videos you make are truly priceless , the love , the beauty and the healthy life style that you promote is amazing indeed. you help many people to find peace , joy and true releif from the hardships of this life. thanks miss lizqi for you are a wonderful gift to us all. may god bless your videos always. your friend from canada!!!!!!!!!!!!!!!!!!!!!!!!!",亲爱的利兹小姐，竹林看起来很棒，在您制作的每一个令人惊叹的视频中，总会捕捉到真正的美丽。我希望您对您和您充满爱心的祖母祝福。请继续与世界各地的我们分享您的巨大智慧。您制作的视频确实是无价的，您推广的爱，美丽和健康的生活方式确实令人惊讶。您可以帮助许多人从今生的艰辛中找到和平，喜悦和真实的宗教。感谢Lizqi小姐为您提供给我们所有人的美好礼物。愿上帝永远保佑您的视频。您来自加拿大的朋友!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2932,Ugy7h3cSkkY8ae7r6eJ4AaABAg,154,1 year ago,"thank you liziqi. 
whenever i've had a tiresome workday... i lied down getting to watch ur videos which soothes me and my mind n gives me a pleasing rest well.","谢谢Liziqi。
每当我度过一个令人讨厌的工作日时...我都撒谎看着您的视频，这使我和我的思想舒适地让我感到愉悦。"
25210,Ugz-A59dg4f8r_byoJR4AaABAg,148,3 years ago,thank you! finally i found a place no argument exists in youtube!,谢谢你！最后，我发现YouTube中没有一个论点！
33384,UgwyyTX_11oSpbqFpYl4AaABAg,139,3 years ago,"3 new videos in a week? 
wow!! i feel like i got a big diamond's ring....
thank you so much for you, grandma and your team's hard work, liziqi....
can't wait for another new video, because your videos always amazed me.
lots of love from indonesia 
❤❤❤","一周内的3个新视频？
哇！！我觉得我有一个大钻石的戒指。
非常感谢您，奶奶和您团队的辛勤工作，Liziqi。
等不及另一个新视频，因为您的视频总是让我惊讶。
来自印度尼西亚的很多爱
❤❤❤"
23354,UgyCBlPGeBrVIIXxSlR4AaABAg,112,3 years ago,"every time ziyi watched your videos specially healed, especially in foreign countries that make people have a strong nostalgia. thank you! ""snail powder is particularly delicious""",子柒每次看你的视频特别的治愈，特别是在国外让人产生浓浓的思乡情。谢谢你！“螺蛳粉特别的好吃”
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,3 years ago,"in order to write the college entrance examination composition to watch my sister's video ... i really envy my sister's life like this. after reading it, i was so moved. i was very happy to see foreign netizens' messages! intersection thank you sister for the help of spreading chinese culture, and thank you for your dreams for so many people. this may be your dream ~ i'm happy for you. thanks a lot! intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
32893,Ugz3FH_-93t-gEqVUdx4AaABAg,87,3 years ago (edited),"li ziyi ~ always gives people a total fresh and refined, traditional chinese women's beauty. the image that can be great !!
please continue to cheer !! do more and more high -quality and simple chinese style videos to educate more people ~ thank you for your efforts !!","李子柒~总是给人总清新脱俗，传统中国女性的美。能干了不起的形象!! 
请李小姐继续加油!! 做更多更多优质纯朴的中国风视频，来教育更多人~ 感谢有妳的付出!!"
7623,UgwWWfHuFaBsk2bQqhd4AaABAg,82,2 years ago,"many years ago, i was in a small village like hers. it brings me back a lot of stories.. thanks liziqi",很多年前，我在像她这样的小村庄里。它给我带来了很多故事..谢谢Liziqi
31839,UgwcNqMFyyFbcw-g-Eh4AaABAg,72,3 years ago,"while i'm laying in this bed... in this boring hospital.. while watching your video suddenly my tears just fall down.. my mom ask me why i'm crying i just answered "" mom, can we visit her before i die"" my mom came and hug me while crying...... "" sure baby but promise me you need to be strong, ok"" 
"" sure mom""... 
thank you for making this movie. i really love it❤️❤️❤️ i wish someday soon i will going to be in a place like that","当我躺在这张床上...在这家无聊的医院中..当您的视频突然看我的眼泪时。死了“我妈妈在哭泣的时候来拥抱我..............................................
“确定妈妈” ...
感谢您拍这部电影。我真的很喜欢它❤️❤️❤️我希望有一天我很快就会成为这样的地方"
27640,Ugw7ELr8s9-jBJQO1M94AaABAg,68,3 years ago,omg you have a little paradise there...thanks for sharing!,天哪，您在那里有一点天堂...感谢您的分享！
27148,UgyRv5uEXzE0WSsa04x4AaABAg,66,3 years ago (edited),"as far as the video is concerned: we live in the earth, princess lives in fairy tales, and you live in poetry. of course, reality is not so beautiful, but you let us experience it in the video, which is enough for our audience! thank you, come on.",就视频而言：我们活在尘世，公主活在童话，而你 生活在诗里。当然，现实没那么美好，但你让我们在视频中 体验了一下，对我们观众而言 足够了！谢谢，加油。
3909,UgxgK05InVePyfFVu_14AaABAg,62,2 years ago,"this is another incredibly good, brilliant, beautiful, and inspiring video from ms. liziqi (who is also beautiful, hardworking, and brilliant.). we over here in los angeles, love your videos so much. the videos are also very therapeutic, soothing, and relaxing. thank you so much for sharing all your videos, and for all your hard work.",这是Liziqi女士的另一个令人难以置信的好，辉煌，美丽，启发性的视频（他也很漂亮，勤奋且出色。）。我们在洛杉矶，非常喜欢您的视频。这些视频也非常治疗，舒缓和放松。非常感谢您分享所有视频，以及您的辛勤工作。
2740,UgzEDsZzmYAPNawTzGh4AaABAg,62,1 year ago,"its so nice to watch this kind of videos, because this pandemic limits us to travel places, but because of your video i have the luxury to see your place in my own home and this makes me learn something from your beautiful culture!
and most specially thank you for inspiring me to create countryside life content, love from the philippine countryside ❤️","观看这种视频真是太好了，因为这个大流行使我们限制了旅行的地方，但是由于您的视频，我很奢侈地看到您在自己家中的位置，这使我从美丽的文化中学到了一些东西！
最特别感谢您激发我创造乡村生活内容，菲律宾乡村的爱情❤️"
24867,UgwNbCpU6Bu3-5x6qAV4AaABAg,60,3 years ago,i really love your channel and what you do. i finally found a channel with no hate comments . who could any one not like this. i actually started a garden because of you . thank you so much for the inspiration❤️❤️,我真的很喜欢您的频道以及您的工作。我终于找到了一个没有仇恨评论的频道。谁能不这样的人。我实际上是因为你而开了一个花园。非常感谢您的灵感❤️❤️
30791,UgzmqjkWfDbMH9dZX1t4AaABAg,57,3 years ago,"everytime i watched her vids, i heard the nature singing.. nice one. all in all. a million thanks for this wonderful vids! im still amazed",每当我看着她的视频时，我都会听到大自然在唱歌。总而言之。一百万感谢这个美妙的视频！我仍然惊讶
30193,UgxrXJV7z1h2IN21zHZ4AaABAg,57,3 years ago,"i really want to meet her and say...
thank you... those twenty minutes were completely worth it...","我真的很想见她说...
谢谢...那二十分钟完全值得..."
32501,Ugy7pHjjt2tGgtdwxip4AaABAg,53,3 years ago,"today i found this video of her and i can't stop watching it.i feel inspired and positive thought flowing all over me .thank u for opening my eyes.save earth

those who are reading my comment may have a great healthy long life","今天我找到了她的视频，我无法停止观看。

那些正在阅读我的评论的人可能会有很大的健康寿命"
22172,Ugzt5VGHr6znPhq6-k14AaABAg,49,3 years ago,"the first time i saw this film was moved by ""a simple life is a kind of happiness"", thank you.
whenever you watch the films you take, you have an inexplicable sense of happiness.","第1次看到这部影片很感动〝简简单单的生活就是一种幸福〞，谢谢妳。
每每看妳拍的影片就有一种莫名的幸福感。"
33416,Ugy03CkKsPIFS7k_9nV4AaABAg,44,3 years ago,"i bet her life is so peaceful...and yet again she is a huge role model for all of us in this materialistic world
...
proud of her... i thank youtube for recommending this channel to me.......
its really great....","我敢打赌，她的生活是如此和平……而且她又是这个唯物主义世界中所有人的巨大榜样
...
为她感到骄傲...我感谢YouTube向我推荐此频道。
它真的很棒。"
34854,Ugww8WabgL_AcHDqfb94AaABAg,44,3 years ago,"thank you sooooo muchhhhh for uploading your videos frequently 
god bless you for moving and helping all the people emotionally.
you are such a great person and i want to remind it to you in case if you feel like you havent been told enough how admiring and beautiful young lady you are","谢谢您soooo muchhhhh经常上传您的视频
上帝保佑您动摇和帮助所有人情感上的人。
你真是个好人，我想提醒你，以防万一你觉得自己还没有被告知足够钦佩和美丽的小姐你是"
29683,UgzpH3BE2koNS4RrEgp4AaABAg,44,3 years ago,thank you for the english sub-titles. your videos are amazing. my neighbor has bamboo. hmmmmm,谢谢您的英语子贴。您的视频很棒。我的邻居有竹子。嗯
24900,UgxnmzxyolLKwv4xRT14AaABAg,41,3 years ago,"this beautiful girl lives my dream everyday of her life , what a peace providing video ! i felt like i was on a journey of my dreamland. thanks",这个美丽的女孩过着我一生中每天梦想的梦想，这是一个提供视频的和平！我觉得自己正在梦境。谢谢
20621,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg,41,3 years ago,it's really great video! thanks to the girl to show more people's lives to more people! i wish you and your grandma healthy and happy! i do n’t know who has such a good blessing to marry such a daughter -in -law!,真的是很棒的视频啊！感谢姑娘把真实的美好的中国人的生活展现给更多人!祝你和你奶奶健康快乐!不知道谁有这么好福气能够娶到这样的媳妇啊！
19939,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91S5fCNXtd0,37,3 years ago,"your name says it all :) but in all seriousness i agree. people say it’s all for money yet how do they know? are they liziqi? no. so they can’t say wether or not it’s fake and anyway she does it for her grandma (whose ill) i’ve seen some people say her products are over priced, but she took several hours of her day to prepare the food. so thank you for your comment.",您的名字说明了一切:)，但我同意，但我同意。人们说这一切都是为了钱，他们怎么知道？他们是liziqi吗？否。 。因此，谢谢您的评论。
32579,Ugx9jRTrOEWpq0cDNQt4AaABAg,33,3 years ago,"the coolness of summer, the sound of suzumushi, the flowing water, and the image, and the refreshing feeling of summer is irresistible. it matches with bgm and is beautiful. thank you for watching for free",夏天的凉爽，苏津岛的声音，流动的水和图像以及令人耳目一新的夏天感觉是不可抗拒的。它与BGM匹配，很漂亮。感谢您免费观看
30835,UgxCu5OSfZhBvzyVaJh4AaABAg,31,3 years ago,"the small bamboo shoot look so cute 
lately they say snails has lots of good things to healthy young skin 

so beautiful peaceful video
thank you","小竹芽看起来很可爱
最近他们说蜗牛对健康的年轻皮肤有很多美好的事物

如此美丽的和平视频
谢谢"
33917,UgwWzHvkZtzjRE4rhb94AaABAg,30,3 years ago,"liziqi and team thanks for all your video, such a great work, everything is awesome
♥from indonesia","Liziqi和Team感谢您的所有视频，如此出色的工作，一切都很棒
♥来自印度尼西亚"
3704,Ugw32GE2AijQGiO_GQl4AaABAg,30,2 years ago,"luosifen！! as a chinese living abroad, sometimes i want to eat a bowl of luosifen. i love the liziqi video.she advertised china to the world on video. thank her. look forward to her other videos.",luosifen！！作为一个居住在国外的中国人，有时我想吃一碗luosifen。我喜欢Liziqi视频。她在视频中向世界宣传了中国。谢谢她。期待她的其他视频。
7357,UgxG_gXd-Xm6SLPJ5Sh4AaABAg,30,2 years ago,some of the things she does reminds me of my childhood watching my parents do the same things...fond memories..thank you.,她确实做的一些事情让我想起了我的童年看着父母做同样的事情……美好的回忆..谢谢你。
29029,UgwvRhh4scShFWQR6I14AaABAg,27,3 years ago,"without the concept of how i ended up here, but i am definitely glad of this. thanks for such a pacifying video ~
subscription from me))","没有我如何最终到达这里的概念，但我绝对为此感到高兴。感谢您这样的安抚视频〜
我的订阅））"
26920,UgzDyqv-TlQCmsqRViB4AaABAg,26,3 years ago,"all throughout the world, you are influencing people to rethink the idea of what it means to be truly wealthy. thank you :)",在全世界，您都在影响人们重新考虑真正富有的意义的想法。谢谢 ：）
29570,Ugwozk571R6pngLuXUp4AaABAg,26,3 years ago (edited),youtube was pushed and found that i watched a lot of videos in one breath. the shooting is so beautiful. thank you for spreading the traditional chinese culture.,YouTube推送发现的，一口气看了好多视频，拍的真美，谢谢你传播中华传统文化。
25874,UgxF_uE6rJ9PUj3-aj14AaABAg,26,3 years ago,this is so beautiful! thanks to arin and dan for bringing us here. <3,这真是太美了！感谢Arin和Dan将我们带到这里。 <3
30093,UgxqdRKZj8iudjgcdM94AaABAg,24,3 years ago,thankyou for sharing your gifts with the world,谢谢您与世界分享您的礼物
27040,UgzfOdQXR-kL9LG-pdt4AaABAg,23,3 years ago,"thank you for the video, li ziqi. in fact, many foreigners have a lot of misunderstandings about our china, i hope they will change after reading it",谢谢您的视频，李齐。实际上，许多外国人对我们的中国有很多误解，我希望他们在阅读后会改变
29590,UgwFOGIGEeMz7wVYh2x4AaABAg,22,3 years ago,"you are beautiful, i have been watching your videos for a long time, i all like them. thank you!!!",你很漂亮，我一直在观看你的视频已经很长时间了，我都喜欢他们。谢谢你！！！
13416,UgyWW8OH0WIdH9YNC-J4AaABAg,22,3 years ago,"i'm in love with the chinese traditional music so soothing so relaxing.... thank you ,, love you guys from india",我爱上了中国的传统音乐，所以舒缓如此放松。....谢谢你，爱你们来自印度的你们
999,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9c6vvb4w606,21,1 year ago (edited),"do you know what happens with liqi that i can't see the new videos?
i'm worried about if she and her grandmother are fine. could you count? thank you","您知道我看不到新视频的Liqi会发生什么？
我担心她和她的祖母都很好。你能数数吗？谢谢"
1887,Ugww5ol5GJURmwgV0yR4AaABAg,21,1 year ago,i wish i could admire the landscape & experience real life with youtuber. thank you for contributing the truth of the peaceful countryside. i am vietnamese and i admire her.,我希望我可以欣赏景观并与YouTuber体验现实生活。感谢您贡献和平乡村的真相。我是越南人，我很欣赏她。
32412,UgyDKVH_WtjF6r-Gd2d4AaABAg,21,3 years ago,always an amazing education as well as joy watching your video and your neverending skills. thank.,始终是一个了不起的教育，也可以喜悦观看您的视频和您永无止境的技能。感谢。
11557,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw984jlweWVxd,20,3 years ago (edited),@verratenda304 i guess you should watch her video how she used to film everything and instead of blabbering here just watch her videos and please enjoy it . thank you very much!!,@verratenda304我想您应该观看她的视频如何拍摄所有内容，而不是在这里观看她的视频，而不是在这里观看她的视频。非常感谢！！
1274,UgyH3nU0RVYslOlnZp54AaABAg,18,1 year ago,that important a life where so many food resources is obtained thanks to the work of a woman who lives in harmony with nature. it is also an excellent cook.,由于一位与自然和谐相处的妇女的工作，获得了如此多的食物资源的重要生活。这也是一位出色的厨师。
3036,UgxRBV2GuNmq6g5LyzV4AaABAg,17,1 year ago,it's just great !!! thank you my friend!!!,太好了！！！谢谢，我的朋友！！！
5185,Ugy--BL0yiraW9vw5cB4AaABAg,17,2 years ago,"a! japanese!
thank you (*ยด๊’ณ`*)
japanese is difficult, so i am happy to explain only in the outline column.","A！日本人！
谢谢（*´꒳`*）
日本人很困难，所以我很乐意在大纲列中进行解释。"
33124,UgxU8sHB2LekqzQgAud4AaABAg,17,3 years ago,heaven is a place on earth right where you live!. i admire your beautiful lifestyle filled with nature's abundance! always making full use of the resources. thank you for all the videos that brightened our life!,天堂是您居住的地球上的一个地方！我欣赏您充满大自然的美丽生活方式！始终充分利用资源。感谢您的所有启发我们生活的视频！
28113,UgxqG4i13OFFztHYbnN4AaABAg,17,3 years ago,"where were you when i was going up? i could have learned so so much from you.
you do amazing every video you make
thank you
peace","我上去的时候你在哪里？我本可以从你那里学到很多东西。
您制作的每个视频都会做到很棒
谢谢
和平"
13373,UgwnLuxTVFStfbkxItJ4AaABAg,16,3 years ago,"it was made to think about the current state of japan and how to live.
thank you. thank you.","它是为了考虑日本的当前状况以及如何生活。
谢谢。谢谢。"
30962,UgwGX1sHl7MMpdVWlXx4AaABAg,16,3 years ago,i am a liuzhou people who saw ziyi for doing snail powder. thank you for your wisdom for your hometown.,我是柳州人 看到子柒做螺蛳粉好感动 感谢家乡人的智慧 让我在海外也能随时饱尝到从小到大依恋的美味。
23566,UgxX1MKDT7B0IWzMaf14AaABAg.8zfpS_f3W7x8zmwQqBF7Qv,15,3 years ago,"lei ye that makes more sense! haha, thank you(:",lei ye更有意义！哈哈谢谢你（：
30101,UgwYTyhj3mXPz7gIDBd4AaABAg,15,3 years ago,let's take a moment to thank the cameraman for filming all these stuff she did.,让我们花点时间感谢摄影师拍摄了她所做的所有这些事情。
10329,UgzSRnA7_urjUQ_vzzp4AaABAg.98qQ9IjkkeR99S5JeCHTOa,14,3 years ago,i always do this whenver i'm inspired by someone's channel. and so far i watched all her ads as a way of thanks for her.,当我受到某人的频道启发时，我总是这样做。到目前为止，我看了她所有的广告，以感谢她。
3043,Ugz_hjghNsX4bW7zDrZ4AaABAg,14,1 year ago,i really bought it back ~ it is the best version i have ever eaten because i have sour because i love the sour person ~ thank you little fairy,我还真的买回来吃了~是我吃过最好吃的版本因为偏酸~个人好爱偏酸的口味~谢谢小仙女
5287,UgwVJv15vgyGlHe9lm54AaABAg,14,2 years ago,"your work is soo inspiring ,in the world full of stress you make me see the purpose of life thank you โบ๏ธโค๏ธ",您的工作令人鼓舞，在充满压力的世界中，您让我看到人生的目的谢谢☺️❤️
11097,UgwFBvWUt-BC74PMeiJ4AaABAg,13,3 years ago,"i really loved all your videos! being indonesian we have similar culture, work ethic and the love of cooking. thank you so very much far sharing it with us!",我真的很喜欢您的所有视频！作为印尼人，我们具有相似的文化，职业道德和对烹饪的热爱。非常感谢您与我们分享！
12578,UgwiGnlwnyZ020m-lm94AaABAg,13,3 years ago,"my pretty little girl, i have a lifetime of memories thank you.",我漂亮的小女孩，我一生的回忆谢谢。
25300,Ugw_NsA30uhDT7X19k94AaABAg,13,3 years ago,"she cooks so much, there are only 2 people. i'll take the left-over. thankx!",她做得很好，只有2个人。我要左转。谢谢！
18603,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92_IhXI_D3-,13,3 years ago (edited),pedro c yes it is a lie. mao is totally a great leader in many sense from chinese perspective. he built a new regime where china enjoys real freedom post hundreds years of being slaves by foreigners. he had ego and made big mistakes but his contribution outweighs his mistakes. hence people in china still respect and thank him for what he did. western media demonizes him i believe is because he represents communism while ignoring what he did to china and chinese people. it's a totally subjective and political view. i hate they teach that in classroom to brainwash my kids.,Pedro C是的，这是一个谎言。从中国的角度来看，毛面完全是一位伟大的领导者。他建立了一个新的政权，中国在数百年之后成为外国人的奴隶。他有自我，犯了很大的错误，但他的贡献大于他的错误。因此，在中国的人们仍然尊重，并感谢他的所作所为。我认为西方媒体妖魔化了他，因为他代表共产主义，而无视他对中国和中国人民的所作所为。这是一种完全主观和政治观点。我讨厌他们在教室里教我的孩子。
5866,UgwPiTEEB_93vvu3L014AaABAg,13,2 years ago,"this is how i discovered liziqi one year ago, thanks to this video, i'll never forget ๐ฅฐโค๏ธ",这就是我一年前发现Liziqi的方式，这要归功于此视频，我永远不会忘记
33243,UgxhD663oyD5LrcSjbN4AaABAg,12,3 years ago,"i saw liziqi's 10 minutes video...m like ' m on vacation'!
thank you liziqi!!","我看过liziqi的10分钟视频...我喜欢“度假”！
谢谢liziqi！"
12154,UgyavhQao4XtLTbxgzJ4AaABAg,11,3 years ago,"occasionally i saw your work, very comfortable and admirable. thank you for your work. i also wish you health and peace.","偶然间看到妳的作品, 很舒服也很敬佩. 感谢妳用心的作品也祝妳健康平安"
25895,UgztQUXiZ2hfNW8SQ9N4AaABAg,11,3 years ago,"and just like that i have a new favorite youtube channel.
thanks dan and arin.","就像那样，我有一个新的YouTube频道。
感谢Dan和Arin。"
19956,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq920fK0OaLWV,11,3 years ago,"@metalwaves4154 thank you both. if what ms. li's observers posted on some chinese sites are true, she is making around chinese yuan 200 million a year, from videos and online store combined. yt further gives her at least an estimated 1.5 million us dollars a year due to tens of millions of viewer clicks. she disclosed she sometimes worked till 3 a. m. to edit filmed images. at a number of times, she fell ill and was hospitalized due to over-diligence. i respect her since i grew up in south china and i can do 99 % of what she did on camera (due to my deprived childhood). i read and found some dislikes came from opposing camps and competitors. like she does, my daughters and i donate funds to support underprivileged children.",@MetalWaves4154谢谢你们。如果李女士的观察者在某些中文网站上发布的内容是真实的，那么她每年从中国人民币围绕2亿人元来制作视频和在线商店。 YT进一步给她，估计每年至少有150万美元，这是由于数千万的观众点击。她透露她有时工作直到3 a。 m。编辑拍摄的图像。多次，她病了，由于过度填补而住院。我尊重她，因为我在中国南部长大，我可以做她在相机上所做的99％（由于我的童年时代）。我阅读并发现一些不喜欢的来自对立的营地和竞争对手。像她一样，我和我的女儿捐赠了资金来支持贫困儿童。
28351,UgxAGe_daw9Gl5XN_6h4AaABAg,11,3 years ago,because of her i am proud to be asian❤️❤️ thank you,因为她，我很荣幸成为亚洲❤️❤️谢谢你
26489,UgxdJlQRjMSmEdoWTzp4AaABAg,10,3 years ago,your channel is the most beloved! i always look at any time! thanks for your very work !!!)))),您的频道是最受欢迎的频道！我总是随时看！感谢您的工作！！）））））
1542,UgwuY1OI4VhOZbjxD514AaABAg,10,1 year ago,thank you so much for your videos !!!,非常感谢您的视频！！！
18552,UgyftR_VY4yxe8ZpG0N4AaABAg,9,3 years ago,"this is so amazing to watch . i wish i could live like this, i'm sure its very hard but being one with nature and being able to supply for your family from what your landscape offers is such a magical thing. i'm jealous of how you live, you are beautiful and smart and doing amazing things for the environment. thanks for letting us watch your beautiful life. its so peaceful",这真是太神奇了。我希望我能像这样生活，我敢肯定这很难，但是与大自然的人成为一个人，并能够从景观提供的东西中为您的家人提供如此神奇的事物。我嫉妒您的生活，您是美丽而聪明的，为环境做了不起的事情。感谢您让我们观看您的美丽生活。它是如此和平
23859,UgxEeHhIhitUwCNxKAp4AaABAg,9,3 years ago,videos are the best relax for me. thank for you originalisation.,视频对我来说是最好的放松。感谢您的原始化。
29335,UgzwIHGOV1nsga2taqt4AaABAg,9,3 years ago,she’s updating a lot recently! thanks for your hardwork!,她最近更新了很多！感谢您的辛勤工作！
31692,Ugzwq0QZyJaOcraGqYh4AaABAg,9,3 years ago,this meal looks absolutely delicious and healthy. thanks for sharing. this video shows great respect for the wonderful foods on earth and how we can present them.,这顿饭看起来绝对美味又健康。感谢分享。该视频非常尊重地球上美妙的食物以及我们如何展示它们。
5362,Ugz_4O1jWEihS_4uuZx4AaABAg,8,2 years ago,"hello, greetings from new mexico usa. i love watching your videos!
thank you so much for putting captions now. is it possible to slow down the caption time because they go too fast and i can't read fast enough ๐","您好，来自美国新墨西哥州的问候。我喜欢看你的视频！
非常感谢您现在放上字幕。是否可以放慢字幕时间，因为它们的速度太快了，我看不够快地阅读"
29027,UgxrxlDmInXxSqPwncJ4AaABAg,8,3 years ago,"as always, everything is divine and beautiful !!! glad to see grandmother again !!! thanks for the great video",和往常一样，一切都是神圣而美丽的！！！很高兴再次见到祖母！！！感谢您的精彩视频
25810,Ugy0z-zy7tB7Sg_2Jih4AaABAg,8,3 years ago,hello i am a thai fan. i watch you every day through youtube channel and feel happy every time but i want you to speak. ok thank you,你好，我是泰国球迷。我每天通过YouTube频道看着您，每次都会感到高兴，但我希望您讲话。好的谢谢
32922,UgwqQhKqCwu2TJuCiA54AaABAg,8,3 years ago,your videos are wonderful and always make me feel at peace! thank you for your dedication and hard work!,您的视频很棒，总是让我感到和平！感谢您的奉献精神和辛勤工作！
31603,UgxlIGJXXNNrFdBALC54AaABAg,7,3 years ago,"hey liziqi can you share you hair care and skin care routine with products that you have been using?
thanks in advance.","嘿，liziqi，您可以与一直使用的产品分享您的护发和皮肤护理程序吗？
提前致谢。"
