,cid,votes,time,含thank,含thank中文翻译
17462,UgwjwUJ64AMEJt0Mruh4AaABAg,203,3 years ago,"see how they treat their parents ,grand parents...they respect them most.....what a beautiful country.....what a beautiful life........i love china 
i wish i would be a chinese guy .....love you guys ,.love your country, truly from the bottom of my heart....thank you","看看他们如何对待父母，祖父母...他们最尊重他们.....多么美丽的国家.....多么美好的生活........我爱中国
我希望我会成为一个中国人.....爱你们，爱你的国家，真的是我心底的。"
48725,Ugz9GqrwOQjkZKeZQF14AaABAg,170,4 years ago,"i am a fan of facebook and fans on the internet. we like to watch your special show and watch you enthusiastically.
we are arabs, but i use translation procedures. i always ask my friends to follow you on facebook and youtube. thanks","我是Facebook和网络上的粉丝的粉丝，我们喜欢看你的特别节目，热情地看着你。
我们是阿拉伯人，但我使用翻译程序，我总是要求我的朋友在Facebook和YouTube上关注你。谢谢"
34949,UgxHJ5YCpiZzJNrJhHp4AaABAg,141,4 years ago (edited),"this channel is really awe inspiring. from the cooking and food presentation, and the music chosen. totally transports me to a fantastical realm. the production is really top quality. super fan here thank you!",这个频道确实令人鼓舞。从烹饪和食物演示以及选择的音乐中。完全把我带到了一个梦幻般的领域。生产确实是最优质的。超级粉丝在这里谢谢！
46170,UgwmcXaCHC83nLj3DVJ4AaABAg,126,4 years ago,happy chinese new year❣ thank you very much for the beauty❣❣❣ with love from russia❣❣❣,春节快乐❣非常感谢您的美女❣❣❣俄罗斯的爱
38639,UgxRqhnA69JbX9Pl5zp4AaABAg,125,4 years ago,the people that dislike her should know how hard she's working why don't they go live there to see how hard it is thank you for reading,那些不喜欢她
30504,UgyyuLcCHPvAm002yMt4AaABAg,103,3 years ago,we can see that she really works total hard for this video.. her messy hair describes everything. thank you for the beautiful video โค๏ธ,我们可以看到她确实为这段视频完全努力。她的头发描述了一切。谢谢您的美丽视频❤️
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,4 years ago,fantastic fantastic fantastic really i liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy chinese new year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
23633,UgwM0dySKx7ZUT-Fned4AaABAg,86,3 years ago,"thanksgiving
good to have you
especially with ah, it is even more moved
every day with the 90 -year -old mother, i will enjoy the idyllic scenery nostalgic ancient times ...
have a good mood every day
i am grateful!","感恩子柒
有妳真好
尤其与阿嫲相伴，更是感动
每天与90岁母亲乙起欣赏田园风光怀旧古厝……
每天拥有好心情
我感恩！"
4950,UgzC97-HLWTIURvWxc94AaABAg,86,1 year ago,"thank you for giving up for your hard work and insisting on being harmed by gossip
dig in the ordinary life and the beauty of life and nature
i also look forward to this video exceeded 1 billion","感谢你一直努力 坚持 没有被流言蜚语伤害而放弃
在平凡的生活中 挖掘着生活和自然的美好
也期待这个视频突破一个亿"
45866,UgxVK8SbphPNjXXksal4AaABAg,84,4 years ago,"they live in an enchanted kingdom and i wonder if they even know it!? what a wonderful video to transport me into that place full of traditions, and old ways and all the smells, tastes, and warm feelings. thank you so much for the video. it is a treasure!",他们生活在一个迷人的王国中，我想知道他们是否知道！将我带入充满传统，古老的方式以及所有气味，品味和温暖的感觉的地方真是一个很棒的视频。非常感谢您的视频。这是宝藏！
7424,UgwzWhevUJ9D6TVXfjh4AaABAg,80,2 years ago,"my 18+ photos here sexydates.live


miako -san! ฅ (̳ • · · • ̳ ฅ)
tanta beyezas que dios a hecho en este mundo asere y
disen que dios es malo si dios es malo nadie es bueno asere
mil grasias por tanta beyesas i loro stati di salute rispettivenirli
thank you for the reorganization of the live distribution! the live distribution on this day was quite ridiculous! more than 10,000 people were watching (laughs). it was also exciting that i forgot to cut the camera and did one! i feel 51x61715 in the future","我的18多张照片在这里sexydates.live


miako -san！ ฅ（̳•··•̳ฅ）
Tanta Beyezas que dios a hecho en este mundo asere y
Disen que dios es Malo si dios es Malo Nadie es Bueno Asere
Mil Grasias Por Tanta Beyesas I Loro Stati di致敬Rispettivenirli
感谢您对现场发行的重组！这一天的现场演出非常荒谬！有10,000多人在看（笑）。我忘了切开相机并做一台相机也很令人兴奋！我将来感觉到51x61715"
23132,Ugwgt34w5aNKf6467zt4AaABAg,77,3 years ago (edited),"i really like the japanese and chinese culture, filled with peace, harmony, in love with nature, satisfying.. it's such an exquisite thing to watch. god bless that girl and you all. thanks for reading my comment. have a great day ahead!",我真的很喜欢日本和中国的文化，充满了和平，和谐，爱上自然，令人满意..这是一件精美的事物。上帝保佑那个女孩和你们所有人。感谢您阅读我的评论。祝您有美好的一天！
49181,Ugy7ko4BH_vUfS_hcY14AaABAg,71,4 years ago,another lovely video!! thank you so much,另一个可爱的视频！非常感谢
47819,UgzPMa0eCR_UApYar1R4AaABAg,69,4 years ago,"hi. . i come from russia. thank you. i got a lot of fun. beautiful videos, beautiful music. really like.",嗨。 . 我来自俄罗斯。多谢。 . 我得到了很多乐趣。美丽的视频，优美的音乐。真的很喜欢。
6048,UgyXB8jHD6D2LYEos414AaABAg,62,2 years ago,i am proud to have seen this video with more than 90 million people. thank you,我很荣幸能看到这部视频，有超过9000万人。谢谢
33774,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w0tzQivjZv,59,4 years ago (edited),"maria moonsoon thank you! edit: people need to start differentiating stuff seen on screen and stuff seen in real life. yes, it looks beautiful on screen, but i doubt many people would truly enjoy this life style in real life. the stuff on screen only seems beautiful because it has scenes cherrypicked from reality.",玛丽亚·穆恩（Maria Moonsoon）谢谢！编辑：人们需要开始区分屏幕上看到的东西和现实生活中看到的东西。是的，它在屏幕上看起来很漂亮，但我怀疑许多人会真正享受现实生活中这种生活方式。屏幕上的东西似乎很漂亮，因为它的场景是从现实中挑选出来的。
49610,UgzVYLxmZPrmN3BCGLF4AaABAg,55,4 years ago,"i'm so happy that this vídeo is 10 minuts long ! 
thank you","我很高兴这个Vídeo长达10次启发！ 
谢谢"
39018,UgxwnyMKTCAQhmJB_Z14AaABAg,54,4 years ago,"this is the first video that i watched. from that moment on, i had subscribed. even my aunt, mom, uncle, dad, including my grandma now enjoy watching your videos. thank you.",这是我观看的第一个视频。从那一刻起，我已经订阅了。甚至我的姨妈，妈妈，叔叔，爸爸，包括我祖母现在喜欢看你的视频。谢谢。
818,UgzSyvl6YLaORFbQzTh4AaABAg,46,6 months ago,nice. thanks for sharing all parties to all,好的。感谢您分享所有聚会的所有聚会
28607,Ugz91dzCjK4JapBYOC94AaABAg,44,3 years ago,"we must all give thanks to the cameraman, his work is wonderful. god bless ๐ค—๐ค—๐ค—๐ค—๐ค—๐ค—",我们都必须感谢摄影师，他的工作很棒。上帝保佑
13817,UgxTPEhZueXTD1lsRfF4AaABAg,41,2 years ago,"i don't know why, i am a big man, watching this video crying. perhaps it is moved in the world to have such a peaceful, beautiful, close life of nature, and then look at the mediocre and complicated and complicated work every day in the city. ziyi wishes you and mother -in -law who has always been healthy and happy, thank you for your video.",不知道为什么，我一个大男人，看这视频哭了。也许是感动世上有这么宁静的，美好的，亲近大自然的生活，再看看自己每天在城市里庸庸碌碌紧张复杂地打拼着，很向往。子柒祝福你和婆婆一直健康快乐，谢谢你的视频。
50636,UgxL-kG-pFDEm8qdyyt4AaABAg,39,4 years ago,"thanks to all videos that i have learned to live in different ways, understand nature, love it, respect it, and enjoy my silence moment. may the universe full of your blessings.
i am a work from bolivia -south america. i hope to share some photos of my place where i live with you.","感谢所有我学会以不同方式生活的视频，要了解自然，去爱它，尊重它，享受我的沉默时刻。愿宇宙充满你的祝福。 
我是来自玻利维亚 - 南美洲的作品，我希望与大家分享一些我住的地方的照片。"
48641,UgzqTdOund5JJ71uno54AaABAg,37,4 years ago,"thank you, and happy chinese new year.",谢谢你，春节快乐。
4985,Ugxug93oZ6xYah9Kh-94AaABAg,35,1 year ago,"next to my mother, liziqi is my role model. the girl who help me a lot to fight my depression and laziness. i'm very thankful that i found your channel, you're an angel..",在我母亲旁边，利兹奇是我的榜样。那个帮助我与我的沮丧和懒惰作斗争的女孩。我非常感谢我找到了您的频道，您是天使。
40578,Ugy9hIfVYANKS6enqBd4AaABAg,34,4 years ago,"i feel like i'm in the mulan movie. very peaceful, natural, and beautiful. thank you! ❤",我觉得我在木兰电影中。非常和平，自然和美丽。谢谢你！ ❤
45109,UgyJgsDlPebcN5HbriZ4AaABAg,33,4 years ago,wanted to cook something...but instead i ended up looking at this beautifull girl for more thank 2 h! 'm just in love with this channel! congrats,想煮一些东西...但是我最终看着这个美丽的女孩，更多地感谢2小时！
45333,UgwA3tbrbc7jlGRBkSt4AaABAg,33,4 years ago,"a great video, you don't have to learn it, just watch it quietly, you have a good pressure effect. thank you, a beautiful and serious girl!",好棒的视频，不一定要跟着学，只需静静的看，就有很好的舒压效果。谢谢您，美丽而认真的女孩！
19470,UgzCoc6FhHMzKPl_LUF4AaABAg,32,3 years ago,thank you youtube for giving me a life transforming recommendation!!!!!,谢谢YouTube给我的生活转变推荐！她只是一个活泼的传奇，也是更多一代人的真正灵感。上帝给了她令人难以置信的不可能的才能和技能，她表现出了对自己所做的一切的真正热情。愿上帝保佑她，奶奶和所有宠物，让她永远像她每天的生活方式一样。
28682,UgzzufmWX44VML3gKRN4AaABAg,31,3 years ago,"good friends: there are no background music, nuts, cut vegetables and water, and the surrounding birds are called insects, or grandma and animals have sounds. the real voice is the essence of everyone. we have no nature, no fields, no zen. without slow man's life, please give us these people who live in the city. everything is used to buy money. the people who are controlled by money are alive. please, thank you.",好朋友:没有背景音乐，坚果，切菜洗水跟周围的鸟叫虫鸣或是奶奶跟动物生声音，真实的声音才是阅众要的，我们没有大自然，没有田，没有禅意，没有慢曼的生活，请给我们这些生活在城市里，每一样东西都用钱买，被金钱控制的人一点活着的感觉，拜托，谢谢。
37239,UgzDyOGv9HFuNVAYXuh4AaABAg,31,4 years ago,"i have been on youtube for eight years. for the first time i wrote a comment, thank you for showing the traditional chinese things in a beautiful expression. follow you",上youtube八年了，第一次写评论，谢谢你把中国传统东西以唯美的表现出来。关注你
26123,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zzMRAd8B_K,29,3 years ago,"@user-sc8cy5qc6e you buy or you do not buy, it's up to you. i buy nothing from her, but i enjoy her video, and i thank her giving me good feelings about life.",@user-sc8cy5qc6e您购买或不购买，这取决于您。我什么都没有从她那里买，但我喜欢她的视频，我感谢她给我对生活的好感。
38407,UgzHZsc7jjfVz-vGlER4AaABAg,28,4 years ago,"thank you youtube recommendation, you did good today :โ€)",谢谢YouTube建议，您今天做得很好：’）
22889,UgwmY7-7oRmSmYPbylZ4AaABAg,28,3 years ago,"finally youtube recommended something iโ€ll forever thankful for !!๐ญ๐ญ her channel is so relaxing and i canโ€t stop watching her vidoes 
2019/ 2020 
whereโ€s my late squad at ??!","终于，YouTube推荐了一些我永远感谢的东西！！她的频道很放松，我无法停止观看她的视频
2019/2020
我晚期的球队在哪里？"
43625,UgwEjFsNd0cxZjZo9sN4AaABAg,26,4 years ago,"everything about this channel is so soothing and relaxing, the best way to end the day! very thank you! happy new year! may you be happy and prosperous!","Everything about this channel is so soothing and relaxing, the best way to end the day! 很谢谢！ 新年好！ 恭喜发财！"
2287,UgzHgmGoevO6JnYrNuF4AaABAg,24,1 year ago,thank you! talent and beauty are brilliant together! we love the whole family,谢谢你！才能和美丽在一起！我们爱整个家庭
46796,UgzbIS4Nqo4EJO8bweJ4AaABAg,23,4 years ago,"i only discovered your videos in youtube. i really have such a life. i just imagined life in the novel. girl, you are really great, not only representing many chinese people, but how to coexist with human beings in harmony with nature, even if human beings are livable in the future, you need your spirit. i am glad to see your video, thank you.
suddenly i thought of the man who met your heart in the future. someone helped you lift your bamboo to make new sofas. some people pick fresh fruits and vegetables with you. one more person at the dining table with you. with cute children, one, two. essence essence then i have always made such a love video for us, oh no, enjoy. essence essence
hope this wish will come true.","我竟然在YouTube才发现你的视频，真的感概还有这样子的人生，只在小说中想象到的人生，姑娘，你真的很棒，不仅代表了华人的许许多多的优秀品质，和文化，甚至代表了人类，要如何与自然和谐共存，即使人类未来宜居其他星球，也需要你这种精神。很高兴看到了你的视频，感谢。
忽然想到了你日后遇到了你心怡的男子，有人帮你抬竹子做新的沙发，有人和你一起采摘新鲜的水果蔬菜，多了一个人在饭桌和你，婆婆谈笑风生，然后不就以后你们有了可爱的孩子，一个，两个。。。然后一直一直做这么有爱的视频给我们看，哦，不，享受。。。
希望这个愿望成真。"
52502,Ugydt0wkhHMcm9dSOZB4AaABAg,22,4 years ago,"hello, how are you ? i love grilled chestnuts ! in my region ""limousin (france) we have a specialty that is ""black pudding with chestnuts"".. thank you to you ! happy thursday.",你好吗 ？我爱烤栗子！在我的地区，“法国劳蒙（法国），我们有一个特色菜是“栗子黑布丁” ..谢谢你！星期四快乐。
32175,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx8w2tS7s8fI2,22,4 years ago,@sensen4161 thanks! that's very sweet! i wish the best for you too!,@sensen4161谢谢！那太好了！我也祝您一切顺利！
12148,Ugzkz5SC2EcREeVLOeR4AaABAg,21,2 years ago,"make a russian translation or subtitles, please music behind the scenes is very beautiful! thank you",制作俄语翻译或字幕，请在幕后音乐很漂亮！谢谢
4148,UgxL3GNJXi179ZSxcBx4AaABAg,21,1 year ago,"thanking you for the beautiful nature based content. just to say, in my newly released book, re-imagining mathematics, by ashna sen, i explore how the whole of mathematics can emerge from nature, the arts and even community...exactly what you do!",感谢您提供的基于自然的内容。只是说，在我新发行的书《重新想象数学》的书中，我探索了整个数学如何从自然，艺术甚至社区中浮现出来……正是您所做的！
50325,UgxrFG_Ce_P4HNyIje94AaABAg,21,4 years ago,happy chinese new year ! thank you !,农历新年快乐！谢谢 ！
43428,UgxS-cU3wreGJWZO6Fd4AaABAg,20,4 years ago,"just so you guys know that her videos don’t represent the actual living standards of chinese people living in rural areas. her home is probably the only decently organised and tidied country residence in rural areas of china. the vast majority of the people that live in rural or mountainous areas in china are poorly educated and have limited access to natural resources, let alone modern technologies. existence of conventional customs and ways of thinking that are outdated and even seem stupid can easily be found in these remote regions. dog thieves that poison and steal dogs in order to sell the meats to certain restaurants that serve dog meats are quite common in these rural areas as well. i can go on and on all day long to talk about what the actual country life in china looks like, but i want to thank her for making these peaceful videos that show the western world the beautiful side of her life as an ordinary country girl living in mainland china, and for the amazing portrait of hard working chinese people that value the idea of family, especially taking actual care of the elderly, above all.",只是让你们知道她的视频并不代表居住在农村地区的中国人的实际生活水平。她的家可能是中国农村地区唯一有组织和整洁的乡村住所。居住在中国农村或山区的绝大多数人受教育程度不佳，获得自然资源的机会有限，更不用说现代技术了。在这些偏远地区可以很容易地发现常规习俗和过时甚至看起来似乎很愚蠢的思维方式。狗盗贼毒和偷狗以将肉类出售给某些狗肉的餐馆，在这些农村地区也很普遍。我可以整天继续谈论中国的现实乡村生活，但我要感谢她制作的这些和平的视频，这些视频向西方世界展示了她作为一个普通的乡村女孩生活的美丽一面在中国大陆，以及对中国努力工作的惊人肖像，这些肖像重视家庭的想法，尤其是对老年人的实际照顾。
43903,UgyvvciMRf8_achl4HN4AaABAg,19,4 years ago,"stunning videos! i love this girl! i traveled a lot in china and with great pleasure i plunge into this calm, peaceful atmosphere of rural life. as we all, in our time, do not have enough enjoying our life, pleasure from our work, skill will focus on the beautiful present! thank you! !",令人惊叹的视频！我爱这个女孩！我在中国旅行很多，很高兴我陷入了这种镇定，宁静的乡村生活的氛围。在我们时代，我们所有人都没有足够的享受，我们的工作很高兴，技能将集中在美丽的礼物上！谢谢！
19431,Ugw8krDESej9Y8_vK1B4AaABAg,18,3 years ago,"it's really filial to a girl. you moved me. it is not easy for a girl to bear all the business. i really admire you, and it ’s not easy to worship you. i follow you, thank you for let me know something",真的很孝顺一个女孩，您让我感动了，一个女孩承担所有的业务真不容易呀，我真心佩服你，和崇拜你人又长的这么好看又能干活，真是不容易的一件事情，我关注了你谢谢你让我知道一些东西
6313,Ugy4jm1vGfNHKOrsipB4AaABAg,17,2 years ago,"88.88 million views! (tongxin big hair screenshots leave a thought 
from more than 40 million, it should not be at 88 times ... every time you can relive the beautiful childlike heart. many other spirit show works are also not tired of seeking ... i am full of motionless praise (i will continue to see it in my life), thank you from thank you !!!","8888万观次呐！ (童心大发截图留个念
从4千多万起看应不下于88观次了…每次都能重温美好童心。其他诸多灵秀作品也都让人百看不腻…满怀感动由衷敬赞(一生都会续看)，谢天谢地谢子柒!!!"
26246,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zsykX9AuMq,17,3 years ago,"@raininthesouth yes , just realized that the other day! nicely put and thanks",@raininthesouth是的，只是意识到前几天！很好，谢谢
45941,UgzHCiQ7IPMjCpCIFoN4AaABAg,17,4 years ago,thank you for the video! we love you very much and are waiting for new videos!,谢谢您的视频！我们非常爱您，正在等待新视频！
29098,UgxjjghkSMQJmxlIn3V4AaABAg,17,3 years ago,"watching your video cured my appetite ~ i may have a little bit of nickname before, i donโ€t like to eat ~ ๐ thank you ~",看妳的影片治好了我的食欲～我可能之前有一点厌世倾向，不喜欢吃东西～
6246,UgyfvAs8v50Q9qktIkx4AaABAg,17,2 years ago,"thank you ziyi! after watching the video, get healing, and you can face the new week tomorrow. may you, grandma, family members are good. bleak",谢谢子柒! 看完影片，得到疗愈，明天又可以好好面对新的一周。愿妳，奶奶，家人都好。
29842,UgzwLAANTk5m3qE9Vcp4AaABAg.8xSycDswmB_8xUAVvtRQDv,16,3 years ago,thanks.,谢谢。
45791,UgxyF6EtxppIRP5tSul4AaABAg.8r-zcZtw6-O8r1Xml211T8,15,4 years ago,"please stay in great india, thank you!",请待在伟大的印度，谢谢！
19740,UgwvgiChsbkPfMNji4J4AaABAg,15,3 years ago,"i absolutely love this channel. the beauty, wholesomeness, purity and most importantly love of family. better than any richness you can find on the planet. thank you so much and blessings to you.",我绝对喜欢这个频道。美的美感，纯洁，最重要的是对家庭的热爱。比您在地球上找到的任何丰富性要好。非常感谢您，祝福您。
47995,UgydtevGG0OGcz8ztkF4AaABAg,15,4 years ago,"nice,very nice video,im so happy.thanks so much n happy imlek,chinnese new year...gong xi gong xi pa cai",不错，非常好的视频，我很高兴。谢谢n快乐的iMlek，Chinnese新年...
30948,UgzE40l6rTlYiv3zGrt4AaABAg,15,3 years ago,"hello liziqi!
i recently found your channel. your lifestyle is very beautiful and inspiring. the videos you make are very calming. thank you!","你好liziqi！
我最近找到了你的频道。您的生活方式非常美丽和鼓舞人心。您制作的视频非常平静。谢谢你！"
2608,UgyiDLskno2ACydYJ-x4AaABAg,15,1 year ago,thank you very much for the russian subtitles,非常感谢您的俄罗斯字幕
9706,Ugxv0Kxh35MVn63dO7h4AaABAg,14,2 years ago (edited),"it is a very beautiful video. thank you for up. thank you.
this is where i want to go.
please be careful about your body and spend a good new year holiday.","这是一个非常漂亮的视频。谢谢你的起床。谢谢。
这是我想去的地方。
请小心您的身体，并度过一个美好的新年假期。"
3702,UgyfvU5uUvcOG9HtmJJ4AaABAg,14,1 year ago (edited),"very nice video! i like the funny dog so much! i'm so happy to see ""tang hu lu"" candies i like this so much when i was in china. awesome people and things in china. thanks liziqi to remember me the great time i had in your country!",非常好的视频！我非常喜欢有趣的狗！我很高兴看到我在中国时非常喜欢的“ Tang Hu Lu”糖果。令人敬畏的人和中国的事物。感谢Liziqi记得我在您国家度过的美好时光！
48481,UgxLwfeU2A0IaiF7paF4AaABAg,14,4 years ago,"love to see how she harvested the fruits and vegetables, prepare and cook those delicious meals. a must see video before i go to sleep. thank you for all the tranquil country life experiences that i may not have. happy chinese new year.",喜欢看到她如何收获水果和蔬菜，准备和烹饪那些美味的饭菜。我睡觉之前必须看视频。感谢您所没有的所有宁静的乡村生活经历。农历新年快乐。
233,UgzTividt4HonjVl8ph4AaABAg,14,1 month ago,"thank you, ziqi. thank you for giving me consolation whenever i am depressed or stressed. thank you for letting rethink what i want from life. ultimately, it’s not more money or achievements. it’s a peaceful life like yours.",谢谢，Ziqi。感谢您在我感到沮丧或压力时给我安慰。感谢您让我从生活中重新考虑我想要的东西。最终，这不是更多的金钱或成就。像你一样，这是一种和平的生活。
7348,UgzvyfEXsMTNe1M8eJ94AaABAg,13,2 years ago,"thanks a lot! delight! girl truck, well done! i watched the video different, admiration! well done :-)",多谢！喜！女孩卡车，做得好！我看了视频不同，钦佩！做得好 ：-）
22862,UgxM-6YpwtAM3Hm2aIJ4AaABAg,12,3 years ago,"thanks to ziyi to present damei china to the world, be a good herself, come on, come on",感谢子柒把大美中国呈现给世界，做好自己，加油
9619,UgwiUKs9CznPh4uh4AJ4AaABAg.9H1aNavRHpS9HTnQ3gDQ0y,12,2 years ago,@deepakjoshi664 you should be more aware of what you’re saying thank you have a nice night dipshit,@deepakjoshi664您应该更了解您的意思，谢谢您的夜晚愉快
235,UgxbcTEnmDwXY0p_B2B4AaABAg,12,1 month ago,i thank the channel for showing me the wonderful life ❤❤❤❤,我感谢频道向我展示美好的生活❤❤❤❤
48523,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qnA3WGWS8w,12,4 years ago,"yueming wu thank you, so i have to spend money when i go.老 okay, let me make money honestly. bleak",YUEMING Wu 谢谢你，所以就是去了还得花钱。
21342,UgzWu2Hf9SF5TxFXd0t4AaABAg,12,3 years ago,these types of videos really help me put my life together. it makes me want to clean and cook regardless of the hard parts because these videos show the outcome of happiness. thank you miss for your time and effort to share your life with us. thank you,这些类型的视频确实可以帮助我融合生活。无论这些视频都显示出幸福的结果，这使我想清洁和做饭。谢谢您错过了与我们分享生活的时间和精力。谢谢
50168,UgzcuCGDd_nkd_CQyll4AaABAg,12,4 years ago,"thank you again for sharing your life,
happy chinese new year!!","再次感谢您分享您的生活，
农历新年快乐！"
36616,UgxXfTt6VrYFQJURa5F4AaABAg,12,4 years ago,"youtube, sometimes i question the things you recommend to me. this isn't one of them. thank you for this, this is lovely.",YouTube，有时我会质疑您向我推荐的东西。这不是其中之一。谢谢你，这很可爱。
49490,UgyULNaSzdojjYQ_z7p4AaABAg,12,4 years ago,"ziyi is good for the new year, thank you for the tranquility and joy of bringing us a family this year. my 5 -year -old daughter also likes you very much!",子柒过年好，谢谢你这一年给我们一家带来的宁静愉悦，我5岁的女儿也非常喜欢你！
9372,UgyTMFkniKgCY9zWhPZ4AaABAg,12,2 years ago (edited),"i'm from iraq and i'm so love you thank you for your videos 
i don't know my word right or no, because i'm don't more learn the english language 
so i'm sorry
i love you liziqi 
bye","我来自伊拉克，我很爱你，谢谢你的视频
我不知道我的话对还是不知道，因为我不再学习英语
所以我很抱歉
我爱你liziqi
再见"
22086,Ugy54i6lpfFYqH64mCJ4AaABAg,11,3 years ago,my depression is choking me right now until i saw this.damn i 'm surprise that i smile and feels like giving me hope.such a beautiful human being.thank you for making a video thats so inspiring.,我的沮丧现在一直在窒息我，直到我看到这个。Damn我感到惊讶的是，我微笑着，感觉就像给了我希望。像一个美丽的人一样。谢谢您制作一个如此启发的视频。
50465,Ugzi4La8vCNpfiaBQNN4AaABAg,11,4 years ago,"thanks for the positive and beautiful video, we are waiting for the next",感谢您的积极和美丽的视频，我们正在等待下一个
173,UgzyrBVy2Dxzq0njadV4AaABAg,11,1 month ago,when ever i feel low or depressed i came here to watch your videos...right now i have head pain...it's feel so peaceful while watching your videos....thank you so much ❤,每当我感到沮丧或沮丧时，我来这里观看您的视频...现在我感到头疼...在观看视频时感觉很宁静。...非常感谢您
