,cid,votes,time,含family,含family中文翻译
34517,UgwTDwlgUDIrBM07bt54AaABAg,26,3 years ago,"ziyi's family is so rich, and a large chopstick must be used to eat.",子柒家好有钱，吃饭竟然夹这样一大筷榨菜
8642,UgwEeceQBwUWUvvNu2p4AaABAg,26,2 years ago (edited),"i used to live at my grandma's house when i was kid, it is located in countryside. watching your video makes me recall my childhood memories. now that my family move to a city, i want to enjoy this kind of nature yet i cant",我小时候曾经住在祖母的房子里，它位于乡村。观看您的视频使我回想起童年的回忆。现在我的家人搬到了一个城市，我想享受这种性质，但是我不能
27467,Ugy5blWiFhfAWUSgdbV4AaABAg,23,3 years ago,"i have also a small garden. 10 - 12 vagatables i grow every year in summer.enough for 3 family members.every time i go to pick something from my garden ,just came liziqi in my mind.i am very inspierd from liziqi.....",我也有一个小花园。我每年夏天每年都会长大的10-12个迷and。
25272,Ugz0dZAVhvUTeJ2tdi14AaABAg,23,3 years ago,enjoyed watching you again. god bless you and your family love you my friend,喜欢再次看着你。上帝保佑你和你的家人爱你我的朋友
10364,UgzOhAf0sg2LzijmoAR4AaABAg.98ojNybWPIt98rG-rLjeNS,13,3 years ago (edited),"she's a very busy woman. she's always out doing things, so she barely snacks. she's more focused on feeding her family, and prefers to eat with them. 
in asian cultures, it's more known to savour food with family, because of how hard they work together to grow and create amazing dishes. 
you don't really think about food when you go buy it from the store. however, when i was in asia, you can see all the hard work people put in to make a filling meal. eating a whole pot of anything would be very disrespectful and a waste of food. 
eat until your full please, don't over eat, and please, please don't waste food when others can have it.","她是一个非常忙碌的女人。她总是在做事，所以几乎没有零食。她更专注于为家人喂养，并且更喜欢和他们一起吃饭。
在亚洲文化中，众所周知，与家人一起品尝食物，因为他们如何共同努力生长和创造令人惊叹的菜肴。
从商店购买食物时，您并没有真正考虑食物。但是，当我在亚洲时，您可以看到人们为填充餐的所有辛勤工作。吃一整锅任何东西都是非常不尊重的，并且浪费食物。
吃饭，直到您吃饱，不要吃饭，请，请不要在别人拥有的时候浪费食物。"
29106,UgzxhBZ9r-Ug4yKsHm54AaABAg,11,3 years ago,"who planted all of the massive fields? was it her family alone over the years, i wonder? every plant & shrub looks so healthy & green! the weather for growing must be perfect there. she never has a recipe or guide, just does from memory! ♥️ to watch her busy days.",谁种植了所有大型领域？这些年来，这是她一个人的家人吗？每种植物
1367,UgyK3lkycrWXjxJDwzV4AaABAg,10,1 year ago (edited),"i love watching your videos. our family ties are very nice to take advantage of nature, nature. i am turkish, our food culture is not similar, but i am watching because you like your work and healthy diet.",我喜欢观看您的视频。我们的家庭关系非常适合利用自然，大自然。我是土耳其语，我们的饮食文化并不相似，但我正在看，因为您喜欢您的工作和健康的饮食。
18552,UgyftR_VY4yxe8ZpG0N4AaABAg,9,3 years ago,"this is so amazing to watch . i wish i could live like this, i'm sure its very hard but being one with nature and being able to supply for your family from what your landscape offers is such a magical thing. i'm jealous of how you live, you are beautiful and smart and doing amazing things for the environment. thanks for letting us watch your beautiful life. its so peaceful",这真是太神奇了。我希望我能像这样生活，我敢肯定这很难，但是与大自然的人成为一个人，并能够从景观提供的东西中为您的家人提供如此神奇的事物。我嫉妒您的生活，您是美丽而聪明的，为环境做了不起的事情。感谢您让我们观看您的美丽生活。它是如此和平
23877,Ugw3Cxr5gIo_5_pT_454AaABAg.8z_VHkNqWWZ8zcDWCCNhCh,8,3 years ago,arga _ that whole family is so damn talented!,arga _整个家庭是如此有才华！
29144,UgysSCU_3oSp6aW4psd4AaABAg,7,3 years ago,"living within nature
breathing fresh air
eating without chemical food
no tension about studies and jobs
family to care about
water full of minerals
animals in their habitat

my unachievable life goals","生活在自然中
呼吸新鲜空气
没有化​​学食品就餐
没有关于研究和工作的紧张
家庭关心
充满矿物质的水
动物在栖息地

我无法实现的生活目标"
12223,UgzeFnOthQScW-_nUZF4AaABAg,7,3 years ago,this kitchen knife from li ziyi's family is more domineering than shuangli people.,李子柒家的这把菜刀比双立人的霸气多了
15016,UgwYecw1FHL-LzOnq-x4AaABAg,6,3 years ago,good meal cooking with grandma to eat good wisdom and wishes the whole family to be healthy,好美做饭跟奶奶一起吃好贤慧，祝福全家安康
24622,UgzL01clMKAvXNSWIZV4AaABAg,6,3 years ago,"my mother was born in china, and a lot of what you shoot is my family dishes, thank you, it is so pleasant to watch",我的母亲出生在中国，您拍摄的很多是我的家庭菜肴，谢谢，看着这真是令人愉快
29943,Ugyk_1KX-HhWt6B0aXl4AaABAg.8yVuvTRQd_W8yWpaEUMEbD,5,3 years ago,"eid mubarak dear. have a great day with your friends and family.
with love, from india. ☺","开斋节穆巴拉克亲爱的。与您的朋友和家人度过美好的一天。
有爱，来自印度。 ☺"
15838,UgzNAt-JXo0IaQDL1Wl4AaABAg,5,3 years ago,this makes me feel hungry...missing my family now.,这让我感到饥饿...现在想念我的家人。
19979,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92UJia27S48,5,3 years ago,"@user-fh4rc2by4x thank you. i agree with your positive comment. i grew up in south china in the countryside. in those 1950 and 1960 years, my parents and siblings all worked hard in planting crops as ms. li for subsistence until my brothers and i could pick up part-time jobs to help with family finances. i believe ms. li is a real country girl who has great potential to become a brilliant star, which she did. some people chose not to believe her, which is ok since we all have the freedom of belief and choice. please pardon me for using english as i am old and type chinese very slowly; english is my daily medium at work, in north america.",@user-fh4rc2by4x谢谢。我同意您的积极评论。我在中国南部在乡村长大。在1950年和1960年的那段时间里，我的父母和兄弟姐妹都在努力种植农作物作为李女士的生存，直到我和我的兄弟们可以兼职工作来帮助家庭财政。我相信李女士是一个真实的乡村女孩，她有很大的潜力成为一颗辉煌的明星，她做到了。有些人选择不相信她，这是可以的，因为我们都有信仰和选择的自由。请原谅我使用英语，因为我年纪大了，并且非常缓慢地键入中文。英语是我在北美工作的日常媒介。
7679,UgwjOzqXfhZu_E5TQ9h4AaABAg,5,2 years ago,"hi liziqi, your life is so inspiring! i really enjoy watching your video. i think you are so lucky to live a life full of nature. i wish your life be more fruitful and more exciting. thank you and god bless to your channel and your family!",嗨，利兹奇，你的生活真是令人鼓舞！我真的很喜欢看你的视频。我认为您很幸运地过着充满自然的生活。我希望您的生活更加富有成果，更令人兴奋。谢谢您，上帝保佑您的频道和家人！
3744,UgzxTV12bhXF8vqOm3F4AaABAg,4,2 years ago,"this is what you gotta watch when you’re feeling lazy about which drive through to go to for lunch, then, end up going to the supermarket and buying things to cook, then, feeling like you did something great by cooking, then, realizing you still really didn’t and how you have it so well off in comparison to what others do to make a meal, then, and finally then, you actually realize you’re not that well off since no matter how much easier it is to get things as quickly and easy as you do, this person here has so much more skills and rewards of feeling the feeling she must feel on a daily basis from always learning, doing and providing for her family, in this way. amazing!!! my goodness",这就是当您对哪个开车去吃午餐的懒惰时，您必须看着什么，然后，最终去超市买东西做饭，然后，感觉就像是通过烹饪做得很好，然后才意识到自己做得很好与其他人做饭相比，您仍然真的没有以及如何拥有它，然后，您实际上，您实际上意识到自己的状况并不顺利，因为无论多么容易，像您一样快速，轻松地获得事情，这里的这个人具有更多的技能和回报，感觉她每天都会以这种方式学习，做和为家人供养，她每天都必须感到自己。惊人的！！！我的天哪
6696,UgyyDUQuQhFvOKWUTiJ4AaABAg,4,2 years ago,"i really like you, happiness to you and your family๐ง๐ท",我真的很喜欢你，祝你和你的家人幸福
15400,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97P3yJBgMVq,4,3 years ago,"@jeffcohens1563 if you dont enjoy lies......i invite you to stop watching any television, hanging out with any family, friends, or coworkers, stop reading and partaking of any media or social networking...it's obvious you are being lied to... frankly, watching a video such as this one and expecting it to be real is a little sad....i pity you.",@jeffcohens1563如果您不喜欢谎言……我邀请您停止看电视，与任何家人，朋友或同事一起出去玩，停止阅读和参与任何媒体或社交网络...很明显，您是您的坦率地说，被撒谎，观看这样的视频，并期望它是真实的。
8103,UgzP0fe-RxJuN7s_7oV4AaABAg,4,2 years ago,"when i am young my family got a paddy field.. i always take the snail.. in malaysia we call it.. ""siput pait"".. my mom always cook"" masak lemak"" use coconut milk.. sometime cook masak lemak with yam... to make it easy to eat that snail we cut at its back.. or it buttock...",当我年轻的时候，我的家人有一个稻田..我总是坐在马来西亚。山药...为了让我们很容易吃那蜗牛，我们在它的背上切下了蜗牛。或者它的臀部...
29487,UgwlutRB2F0CA-0Xt0l4AaABAg,4,3 years ago,"wow, it turned out that ziyi was a local tyrant. i even saw a large bottle of mustard vegetables in her family, a lot of tea eggs, and a few types of tea eggs. let me experience the peak of the nobles?",哇哦、原来子柒是土豪呀、我竟然看见她家有一大瓶榨菜、和好多只茶叶蛋、还分几个类型的茶叶蛋、子柒能让我嗦一下茶叶蛋和给一根榨菜我舔一下、让我体验一下贵族的巅峰吗？
18922,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92SFSmFf8Y5,4,3 years ago,"@terrykong3366 this is sichuan is not guangxi, and there are indeed there are such clear places. last time i went to lijiang to play, where the place shocked me cleanly. in fact, there are still many clean and beautiful places in mountainous areas. it's just that we can't live there because we have to work to support our family.",@terrykong3366 这是四川不是广西，还有这么清澈的地方确实是有的，上次去丽江玩，哪个地方干净的震惊我了。其实在山区还是有很多清洁优美的地方。只是我们不可能生活在那里，因为我们得工作养活家人。
20153,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91o-5lg7zpI,4,3 years ago (edited),"@johnvuu4679 there is so much land on this earth, have you even driven anywhere? have you ever left the city you live in? cities are tiny little specs compared to what is out there. 

and yes, not all land is fertile, that's why you don't try to live in a desert like all the morons in arizona and many other places. you can turn many deserts into grassland: https://www.youtube.com/watch?v=vpthi7o66pi&t=4s 

we grow fields upon fields upon fields of corn and soy to make garbage food that makes us sick while having useless lawns to show off to our neighbors that we can use a lawnmower when we could be making prime habitats for massive herds of animals that we can use as never ending food sources.

you can't afford to live off the land? that makes no sense, do you understand the concept here? you're living off the land, you don't need money.. nobody needs money for anything. it's worthless paper and digits in computers. you realize a couple hundred years ago people just rode wagons across america and picked a spot to settle right? i don't know the immediate answer to how to get land distributed to people who are willing to homestead, that's the hard part. i definitely wouldn't want the government involved. there is no easy solution for it, but the alternative is much worse. houses will be completely unaffordable throughout the world some day, and we'll all be even more of slaves to the corporate systems and governments than we already are. just wait, or just wait for your children to see... it's going to be a fucking nightmare. and it's going to happen, you're not getting the world to homestead, nobody is doing it. we're going the other direction and it's not stoppable.

ya, the population is growing, but as i said, you don't seem to have a clue how much land is out there, and people who cannot live off the land shouldn't be living.. why do you think we got into this situation? we cater to every little desire and whim of everybody all in the name of profit. if you have a strong family and community you can live off the land, anybody can do it, it's just a matter of not being a coddled sheltered half ass human being.

sure.. we've dug ourselves into a hole by chasing the dollars and carrots in front of our faces for centuries, but the solution has been staring us in the face the entire time.. most people are just too lazy and don't want to give up their lives of convenience for an honest living off the land. if you don't want an honest lifestyle living off the land and you want to live in a city full of conveniences and cancers then you're the problem. but you're in good company, probably 99% of people think that way. 

social backlash? like the social backlash from politics, unjust laws, and profiteering? just wait, you haven't even seen social backlash yet, this world is about to explode with social backlash. you're going to wish you had a homestead off the grid when it does.

the fact that i have to explain this to people shows how far gone the majority of mankind is. it's almost a shame that god has promised not to flood the earth again, we could really use a reset.","@johnvuu4679地球上有很多土地，你甚至在任何地方开车吗？您是否曾经离开过您居住的城市？与那里的城市相比，城市的规格很小。

是的，并非所有的土地都是肥沃的，这就是为什么您不像亚利桑那州和其他许多地方那样尝试生活在沙漠中的原因。您可以将许多沙漠变成草地：https：//www.youtube.com/watch?v=vpthi7o66pi&t=4S

我们在玉米和大豆的田地上种植田地，以制作垃圾食品，使我们生病，而无用的草坪可以向我们的邻居炫耀，我们可以在我们可以为大量动物群创造主要栖息地时使用割草机，我们可以使用割草机。用作永无止境的食物来源。

您负担不起居住的土地吗？那没有道理，您在这里了解这个概念吗？您在土地上生活，不需要钱..没人需要任何钱。这是毫无价值的纸和计算机中的数字。您意识到几百年前，人们只是骑着货车在整个美国都骑着货车，并选择了一个地点来定居吗？我不知道如何将土地分配给愿意居住的人的直接答案，这是困难的部分。我绝对不希望政府参与其中。没有简单的解决方案，但是替代方案更糟。有一天，全世界的房屋将完全负担不起，与我们现在相比，我们所有人都将成为公司系统和政府的奴隶。等一下，或者等待您的孩子看到...这将是一场他妈的噩梦。这将发生，您不会让世界进入宅基地，没有人在做。我们朝另一个方向前进，这是不可停止的。

是的，人口正在增长，但是正如我说的那样，您似乎不知道那里有多少土地，而无法生活的人不应该生存。这个情况？我们以利润的名义迎合每个人的每一个小小的渴望和兴起。如果您有一个强大的家庭和社区，您可以在土地上生活，任何人都可以做到这一点，这只是一个不做一个顽固的庇护半屁股人的问题。

当然..我们已经通过在脸前追着美元和胡萝卜数百年来挖掘了一个洞，但是解决方案一直在整个脸上盯着我们。想要放弃他们的便利生活，以诚实地生活在土地上。如果您不希望诚实的生活方式在土地上生活，而是想住在一个充满便利和癌症的城市中，那么您就是问题所在。但是您的公司很好，大概有99％的人以这种方式思考。

社交反弹？就像政治，不公正法律和盈利的社会反对一样？等一下，您甚至还没有看到社交反弹，这个世界即将在社交反弹的情况下爆炸。您将希望在电网上拥有一个宅基地。

我必须向人们解释这一事实，这表明了大多数人类已经走了多远。上帝已承诺不要再次淹没地球几乎是可惜的，我们可以真正使用重置。"
5403,Ugyv5qcxdGrEmyunRE94AaABAg,4,2 years ago,this video is so magical. my god i wish i lived off more fresh food like this family. looks so delicious. what an incredible way of life.,该视频是如此神奇。我的上帝，我希望我像这个家庭一样生活在更多新鲜食物中。看起来很美味。多么令人难以置信的生活方式。
32056,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B8yVQoDxeVLg,3,3 years ago,"claire zhang she used to film by herself but now she has a crew. she comes from a richer family, as you can see by the size and beauty of the farm & garden. they surely have enough money to hire a camera crew.",克莱尔·张（Claire Zhang）她曾经自己拍摄，但现在有一名船员。她来自一个富裕的家庭，您可以看到农场和花园的大小和美丽。他们肯定有足够的钱来雇用摄像机。
27305,UgwiWPXZREbmOqJ7aoB4AaABAg,3,3 years ago,"to save bamboos family, in india, cutting bamboo shoot is banned. if anyone cut then they will be jailed. thanks.",为了拯救印度的竹式家庭，被禁止剪裁。如果有人削减，那么他们将被判入狱。谢谢。
18566,Ugw-vv0KIOpvnH9Tsq54AaABAg,3,3 years ago,"when you see you, you can see the motivation of life. you can feel the present for yourself and your family. such a life can also be colorful. come on!",看到你就看到了生活的动力，为自己、为家人好好努力感受当下，这样的人生同样可以多姿多彩。加油！
30883,UgyUyuaqoPurlHDxo_N4AaABAg,3,3 years ago,"we love love love, all the different things you do, the way you take care of your grandma and your beautiful ranch. we hope to meet you one day! much love from texas. may god continue to bless you and your family!!!",我们爱爱爱，您所做的所有不同的事情，照顾奶奶和美丽的牧场的方式。我们希望有一天见到你！得克萨斯州的爱。愿上帝继续祝福你和你的家人！！！
5797,UgwJsT0DXpSdfceI2Nl4AaABAg,3,2 years ago,"i love your videos so much, not only coz they are sooooo excellent, but also i am from sichuan. now i am living abroad. while i see these stuff and the ways you are showing and get the sichuan dialect you are speaking, i feel so closed to my hometown and my family, such a natural and true emotion form the bottom of my heart! really amazing!!!",我非常喜欢您的视频，不仅因为它们非常出色，而且我来自四川。现在我住在国外。当我看到这些东西以及您所展示的方式并获得您所说的四川方言，但我对我的家乡和家人感到非常封闭，这是我内心深处的如此自然而真实的情感！真的很棒！！！
3102,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9ZUm5Jh_zMx,3,1 year ago,"this is my dream life! im in canada right now, and my dream would be to asap buy a big portion of land, so i can then go and with the money i am investing right now as a child, with my father, i hope its enough for me to start this. i already have plenty of ideas and watched a lot of videos of people like etienne levesque, who has a aquatonic greenhouse that works really well, even in the cold winters of quebec. im engaged in this, and im already learning my survival instincts as a chef corporal in cadet army. i dont know if i want to have an educaation to be a doctor, or to have and education about greenhouses and such. with my cadet background, i could join the army for a bit, or have a doctorate and be a family doctor, but in the army. with that, i have money, survival instincts and a plan b if anything goes wrong. a passion of mine is cooking and piano, so learning to cook is perfect for having a huge farm like this. i want for me and my family to live in one of those huge house for generations to live in, and my dad would love to help us with all the technologie. my dream would to use mash the ways of my ancestors and the technologie we have now. my dad can help me build the greenhouse and my grandpa too, be grandpa was an architect and my dad is a engineer but in computers. if we use the technologie and the modern world in farming and other stuff like this, and not like we did with machines and stuff. like the futuristic solar boards that capt the sun energy ( english is not my first language sorry haha). what im trying to say, you can see what im talking about by googling : futuristic greenhouse . this is what technology should be used for! i know it may be a really big dream, but i am ambitious and i know that my dreams wont come true unless i start making actions about it. if this comes true, i dont even have the words to say how happy i would be.",这是我的梦想生活！我现在在加拿大，我的梦想是尽快买大部分土地，这样我就可以去，然后用我小时候投资的钱，与父亲一起，我希望它足以让我开始这。我已经有很多想法，并且观看了许多像伊蒂安·莱维斯（Etienne Levesque）这样的人的视频，他的水上园林温室甚至在魁北克寒冷的冬季都非常有效。我从事这一点，我已经在学习我的生存本能，是学员军队中的厨师下士。我不知道我是否想接受教育作为医生，还是要接受有关温室等的教育。在我的学员背景下，我可以加入军队，或者拥有博士学位并成为家庭医生，但在军队中。这样，如果有什么问题，我有钱，生存的本能和计划B。我的热情是烹饪和钢琴，因此学习做饭非常适合拥有这样的巨大农场。我希望我和我的家人住在那些巨大的房子中，供几代人居住，我父亲很想帮助我们所有的技术。我的梦想将使用我的祖先和我们现在拥有的技术的方式。我父亲可以帮助我建造温室，而我的爷爷也是爷爷是一名建筑师，而我父亲是工程师，但在计算机中。如果我们在农业和其他类似的东西中使用技术和现代世界，而不是像机器和东西一样。就像太阳能上尉的未来派太阳能板一样（英语不是我的第一语言，对不起哈哈）。我想说的是，您可以看到我在说什么通过谷歌搜索：未来派温室。这是应该使用的技术！我知道这可能是一个非常大的梦想，但我雄心勃勃，我知道我的梦想不会实现，除非我开始采取行动。如果这是真的，我什至没有话可以说我会多么高兴。
17720,UgyCdCSCx4Ijxqf2rjJ4AaABAg,3,3 years ago,"i really want to marry a sichuan girl, but my family does not agree, especially my daughter -in -law, and resolutely oppose it.",非常想娶一个川妹子， 但是家人就是不同意，尤其是我媳妇，坚决反对。
18382,UgwbdsE2_2KWTeRXJud4AaABAg,3,3 years ago,"there are so many kimchi jar at home! it's the big family, right? lol",家里这么多泡菜坛子！是大户人家没错了lol
8900,UgxOBgD3fQC8I59-Qdl4AaABAg.9Ah38njXB5I9BRAcPc398Q,2,2 years ago,"@yong lu, to tell the truth, you are really pitiful. from your text, you can see that your family parents are low -end population, so that you have no good tutor since childhood. has received good higher education. the brainwashed hatred of unprecedented hatred, and daily income can change the nuclear disaster food to be helpless. ignorance is ignorant and fearless, but i feel that i am qualified to comment on others. no one is interested in whether you are a shit, but please be careful not to make the stench and dirt of your shit. the people around",@Yong Lu 说实话你真的很可怜，从你的文字可以看出，你的家庭父母都是低端的人口，以致于你从小就没有良好的家教 ，理性思维的习惯，也造成了你没有受过良好的高等教育。脑子里都是被洗脑的无端仇恨，每天收入也就能换点核灾食品对自己命运无奈。无知无觉无知无畏却觉得有资格对别人评头论足，没人有兴趣管你是不是一坨屎，但是请小心别把你这一坨屎的恶臭和肮脏弄得到处都是，影响到别人让周围的人恶心
22028,Ugyy03Im99ON2fZ8-5x4AaABAg,2,3 years ago,really puts things in perspective how differently people live around the globe.. this woman works so hard to feed for her family!,确实使人们的生活在全球范围内的不同之处。
