,cid,votes,含family,含family中文翻译
37037,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uaLcKkVXR2,43,"@taayri she had a hard childhood with lots of family problems & was cared for by her grandparents. dropped out of school at 14 to earn money in lots of different jobs, even as a dj. when her grandpa died she returned to live and care for her grandmother. then she started this channel",@taayri她度过了一个辛苦的童年时代，有很多家庭问题，并受到祖父母的照顾。即使是DJ，也14岁辍学，从很多不同的工作中赚钱。当她的爷爷去世时，她回到了生活和照顾祖母。然后她开始了这个频道
21346,UgxT2n38AEn7KtU7L4J4AaABAg,38,i need this woman and her family to know that i would absolutely lay my life on the line for them and their puppies.,我需要这个女人和她的家人知道我绝对会为他们和他们的幼犬铺平自己的生命。
36000,UgyhyXflybsr2hUCb_B4AaABAg.8uYsqKM0ju78ujHKECo9NE,33,"โ€ @bellabana โ€ bellabana no, it's more a culture thing. in some countries, they don't feed pets pet food, they feed them with whatever they're eating, i.e, human food. so pets get used to the smell & whenever they smell human cooking, they think it's meal time. they might beg for food but that doesn't mean they're hungry. my family used to have pet cats, they're just like that. we could be just feeding them two full plates, they'd still come & meow at our dinner table. 

our cats eat everything, rice, broccoli, tomato, lettuce... besides meat. you wonder why, huh? because that's what they grew up eating, and that's what they know as food. as long as it's food to them, they'd follow, even if they're fed. if you own pets, you would know about this. 

my neighborhood doesn't raise our pets like in the west, where owners usually lock them indoor all the time. we let them roam around freely. they all go around begging for food when neighbors are cooking. as a result, we all know about others' pets, and we are fine with them. people don't always feed them, so they know they have to come home for a proper meal, but they'd get a piece here & there, so it's like snacks for them. 

every once a while a neighborhood auntie would come up to my mom, beaming, and said, hey your cat just frequented me yesterday! ... oh do you hear him? he's frequenting someone else now...! my mom be like, yeah... guess my cooking is his least favored... the auntie be like, that's not true! pets are like that, they go around for food but they know they can always have it back home.... and then they both laugh it off.... 

this is just a different culture of doing things, it's not necessarily bad or cruel just because it's different from your way of doing it. calling ppl out without knowing their background is judgmental, and kinda condescending, you know, not nice. so yeah....","@bellabana bellabana不，这更多是一种文化。在某些国家，他们不喂宠物宠物食品，而是用他们吃的任何东西，即人类食品喂食。因此，宠物习惯了气味，每当闻到人类烹饪的气味时，他们都会认为这是用餐时间。他们可能乞求食物，但这并不意味着他们饿了。我的家人曾经有宠物猫，他们就是这样。我们可能只是在给他们喂两个完整的盘子，他们仍然会在我们的餐桌旁来和喵。

我们的猫吃了所有东西，米饭，西兰花，番茄，生菜...除了肉。你想知道为什么，是吗？因为那是他们长大的饮食，这就是他们所知道的食物。只要对他们来说食物，即使他们被喂食，他们也会遵循。如果您拥有宠物，您会知道这一点。

我的邻居不会像西方那样养宠物，那里的业主通常一直在室内锁定它们。我们让他们自由地漫游。当邻居在做饭时，他们都四处乞求食物。结果，我们都知道别人的宠物，我们对它们很好。人们并不总是喂他们，所以他们知道他们必须回家做适当的饭菜，但是他们在这里和那里都会得到一块，所以这就像小吃一样。

每隔一段时间，一个附近的阿姨会来找我妈妈，笑着说，嘿，你的猫昨天只是经常光顾我！ ...哦，你听到他的声音吗？他现在正经常去别人...！我妈妈就像，是的...猜猜我的烹饪是他最不喜欢的……阿姨就像，那不是真的！宠物就是这样，他们四处寻找食物，但他们知道他们总是可以把它放回家。...然后他们俩都笑了...。

这只是做事的一种不同的文化，不一定是坏事或残酷的，因为它与您的方式不同。在不知道自己的背景的情况下召集PPL是有判断力的，有点屈服，您知道，不好。嗯是的...."
16710,UgxKTlCAdOs4VwXmy414AaABAg,29,"my family is rich and living in big houses. doing etiquette is not easy since im still young and need to learn. but all i want is that! that kind of life! with no maides , all by yourself. look at that cute puppys and sheep.",我的家人很富有，住在大房子里。做礼节并不容易，因为我还很年轻，需要学习。但是我想要的就是！那种生活！没有女仆，一个人自己。看那个可爱的小狗和绵羊。
2287,UgzHgmGoevO6JnYrNuF4AaABAg,24,thank you! talent and beauty are brilliant together! we love the whole family,谢谢你！才能和美丽在一起！我们爱整个家庭
18350,UgyVnU8FwUnNwJQ_NBZ4AaABAg,22,i truly admire this lady. she is so well rounded and skilled at so many things and is kind to her family. best wishes always to her.,我真的很佩服这位女士。她在很多事情上都非常圆润，熟练，对她的家人很友善。祝她最好。
40422,Ugxwcxxk3KFOjq-Hehp4AaABAg,22,i can't understand the video but i am glad i found your page your videos are relaxing plus you and your family are adorable,我听不懂该视频，但我很高兴发现您的页面您的视频正在放松，而且您和您的家人很可爱
35034,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vEbIjcxPM5,22,"@therewasnochill8997 she has actually had those opportunities, she used to live in the bigger city but when her grandpa got sick and her grandma had fallen ill she decided to go back to the countryside to take care of the farm and do work for her family",@thenwasnochill8997她实际上有这些机会，她曾经住在更大的城市，但是当她的爷爷生病了，祖母生病了，她决定回到乡村照顾农场，并为家人工作
37516,UgygxPB5Nnh5LDT2LDx4AaABAg.8u1NbgRB1NN8uC6fzJaBYp,20,yes definitely! iโ€m an introvert who unreservedly loves my family and nature so this lifestyle would fit me perfectly. i really have a tough time working with jerks in the city so yeah...,当然是！我是一个性格内向的人，他不保留我的家人和自然，所以这种生活方式将非常适合我。我真的很难与城市的混蛋一起工作，所以是的...
43428,UgxS-cU3wreGJWZO6Fd4AaABAg,20,"just so you guys know that her videos don’t represent the actual living standards of chinese people living in rural areas. her home is probably the only decently organised and tidied country residence in rural areas of china. the vast majority of the people that live in rural or mountainous areas in china are poorly educated and have limited access to natural resources, let alone modern technologies. existence of conventional customs and ways of thinking that are outdated and even seem stupid can easily be found in these remote regions. dog thieves that poison and steal dogs in order to sell the meats to certain restaurants that serve dog meats are quite common in these rural areas as well. i can go on and on all day long to talk about what the actual country life in china looks like, but i want to thank her for making these peaceful videos that show the western world the beautiful side of her life as an ordinary country girl living in mainland china, and for the amazing portrait of hard working chinese people that value the idea of family, especially taking actual care of the elderly, above all.",只是让你们知道她的视频并不代表居住在农村地区的中国人的实际生活水平。她的家可能是中国农村地区唯一有组织和整洁的乡村住所。居住在中国农村或山区的绝大多数人受教育程度不佳，获得自然资源的机会有限，更不用说现代技术了。在这些偏远地区可以很容易地发现常规习俗和过时甚至看起来似乎很愚蠢的思维方式。狗盗贼毒和偷狗以将肉类出售给某些狗肉的餐馆，在这些农村地区也很普遍。我可以整天继续谈论中国的现实乡村生活，但我要感谢她制作的这些和平的视频，这些视频向西方世界展示了她作为一个普通的乡村女孩生活的美丽一面在中国大陆，以及对中国努力工作的惊人肖像，这些肖像重视家庭的想法，尤其是对老年人的实际照顾。
18789,UgwEt0p2DCaFujl2x1N4AaABAg.96V6Wr4EwiX96pSRsrh5w0,18,"she said in an interview that many people kept bothering her and her grandmother, one day a hidden camera, another one was a drone. although she made a lot of money from those videos, she never felt happy because she brought trouble to her family, poor her.",她在一次采访中说，许多人一直困扰她和她的祖母，有一天是一个隐藏的相机，另一个是无人机。尽管她从这些视频中赚了很多钱，但她从未感到高兴，因为她给家人带来了麻烦，可怜她。
1240,UgxnWzHznZQ2xrclFj14AaABAg,18,"these videos helped my family and me to stress management and anxiety during the pandemic, i am a doctor and i really gave me peace to see these videos after work",这些视频帮助我和我的家人在大流行期间强调管理和焦虑
48114,UgzeBYsVOfjhxu_mt4h4AaABAg,17,"i did so many things all at once, ah ah ah ah, i really want to eat. i really want to have your family that can do so, come on, let's justify jinlan",一下子做了这么多东西，啊啊啊啊啊，好想吃。好想有你这么能干的家人，来吧，我们义结金兰吧
6246,UgyfvAs8v50Q9qktIkx4AaABAg,17,"thank you ziyi! after watching the video, get healing, and you can face the new week tomorrow. may you, grandma, family members are good. bleak",谢谢子柒! 看完影片，得到疗愈，明天又可以好好面对新的一周。愿妳，奶奶，家人都好。
19740,UgwvgiChsbkPfMNji4J4AaABAg,15,"i absolutely love this channel. the beauty, wholesomeness, purity and most importantly love of family. better than any richness you can find on the planet. thank you so much and blessings to you.",我绝对喜欢这个频道。美的美感，纯洁，最重要的是对家庭的热爱。比您在地球上找到的任何丰富性要好。非常感谢您，祝福您。
32494,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18y_b39qwBk5,12,"@jewel_sapphire she said in some interviews that she used to work as a waitress and dj in the city because her family was poor. her mother passed away when she was really young so she lived with her father and her step mother. she was mistreated by her step mother so she moved to live with her grand parents when her dad passed away. yeah her grandfather was a chef and she probably learnt a lot from him but we have to agree that her cooking skills and other skills are so amazing, which she must work so hard to gain them. she's a real life princess to me because she doesn't hesitate to do anything, even the tough ones. we all know that she definitely earn a lot money from her videos but come on don't we feel relaxed and satisfied watching her videos? she's successful and she deserves it.",@jewel_sapphire她在一些采访中说，她曾经在城市里担任女服务员，因为她的家人很差。她的母亲在她真的很小的时候就去世了，所以她和父亲和继母住在一起。她的继母虐待她，所以当父亲去世时，她搬到了与祖父的父母住在一起。是的，她的祖父是一名厨师，她可能从他那里学到了很多东西，但我们必须同意她的烹饪技巧和其他技能是如此出色，她必须努力工作才能获得。她是我的现实生活公主，因为她毫不犹豫地做任何事情，甚至是艰难的人。我们都知道她肯定会从视频中赚到很多钱，但是来吧，看着她的视频，我们不感到放松和满意吗？她很成功，她应该得到。
28572,UgxVRrBlZkBLwu7cJRF4AaABAg,12,i love her and her sweet little animals . she lives such a wholesome life . the fruit nougat she made looks delicious .. well everything she made looks delicious ...bless her and her family.. may her family always prosper โค๏ธ,我爱她和她可爱的小动物。她过着有益健康的生活。她制作的水果牛轧糖看起来很美味..她所做的一切看起来都很好吃...祝福她和她的家人..愿她的家人永远繁荣❤️
46727,UgzDfaNMLkaseqxDfUZ4AaABAg,12,"sign in in kaohsiung, taiwan, happy new year, i wish you a safe and healthy family","台湾高雄Art签到,新年快乐,祝你全家平安健康"
49490,UgyULNaSzdojjYQ_z7p4AaABAg,12,"ziyi is good for the new year, thank you for the tranquility and joy of bringing us a family this year. my 5 -year -old daughter also likes you very much!",子柒过年好，谢谢你这一年给我们一家带来的宁静愉悦，我5岁的女儿也非常喜欢你！
22951,Ugy_sv8bvUfsW0czCCx4AaABAg,11,"the li family has a woman, known as ziyi, supports the pride of qiye, the motherland",李家有女，人称子柒，支持七爷，祖国的骄傲
1046,Ugz8CmQCYZwKKr6915p4AaABAg,11,"liziqi makes a torrone like no one makes๐‘๐ป๐‘๐ป๐‘๐ป๐‘๐ป๐๐ป๐๐ป๐โ€โ€๏ธโ๐ป god bless her, family and friends !!",利兹奇（Liziqi）像没有人做的那样做一个torrone，上帝保佑她，家人和朋友！
11133,UgyhnTAQJRhVGJusNgx4AaABAg,11,i love your little dogs and have 2 of my own i love with all my heart. you do so much for your grandma and family. i admire what you do.,我爱你的小狗，有2个我全心全意地爱。您为祖母和家人做了很多事情。我很欣赏你的工作。
35040,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vFmr4U8H7N,10,"all i know is i've been depressed all day long and i don't know why. i think too much. and then this video comes across and it has been popping up for a couple of weeks and i hadnt watched it... but today i did. i just observed and soaked in all the beauty of it....and it really just helped me to change my perspective. there's a lot we can learn from her videos. simplicity and beauty. also notice her priorities and how much it piece she is at. there is so much respect for the family and the animals, nature and all the bounty of the earth we can take whatever we want from this without over-thinking it.",我所知道的是，我整天都感到沮丧，我不知道为什么。我多虑了。然后播放了这个视频，它已经弹出了几个星期，但我没有看过...但是今天我做到了。我只是观察到了所有的美丽。...这确实帮助我改变了自己的观点。我们可以从她的视频中学到很多东西。简单和美丽。还要注意她的优先事项以及她的优先次数。人们对家庭和动物，自然以及地球上的所有赏金都有非常尊重，我们可以从中汲取一切，而无需过度思考。
45872,UgzO7lfQRj8y3zVrhVZ4AaABAg,9,"man these videos are so refreshing and addictive. every single element is excellently executed in such detail from the recipes, the emotional angle (the grandma/ family relationship, how to be resourceful/ independent etc), the camera shots to the editing. i hope you never stop uploading, as i'll never tire of these. hope you are well, happy new year",这些视频是如此令人耳目一新和上瘾。每个元素都可以从食谱，情感角度（奶奶/家庭关系，如何机智/独立等）中进行如此详细地执行。希望您永远不会停止上传，因为我永远不会厌倦这些。希望你一切都好，新年快乐
2723,UgyJeFi1qB3L3L7vaW94AaABAg,9,i just love how humble and happy your family lives. many blessings to you and your family.,我只是喜欢你的家人生活多么谦虚和快乐。祝福您和您的家人。
19806,UgyGL14Zbr9JtbZdqxV4AaABAg,8,this video was so peaceful to me. it brought back memories of my grandmother teaching to cook all her wonderful meals. i miss her everyday. you are such an amazing young lady i know your family is so proud of you..,这个视频对我来说是如此宁静。它带回了我祖母教的回忆，以烹饪她所有美味的饭菜。我每天都想念她。你真是个了不起的小姐，我知道你的家人为你感到骄傲。
13715,Ugy86UOIMSstMsKOLNZ4AaABAg,8,"i love watching her cook. you can see when she is handling the food she puts love into it. also the clothes that is makes are inspiring. one of her greatest qualities is the respect and love that she shows her family , all of them. they must be very proud of her i know i would be",我喜欢看她做饭。您可以看到她何时要处理自己的爱。而且，制造的衣服也令人鼓舞。她最大的品质之一是她向家人展示的尊重和爱。他们一定为她感到骄傲，我知道我会
33819,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yTYnQj1TXo,6,"@cessdejesus620 - hi, i'm sorry that it made you cry. i have seen all of her videos since, but this particular video made me miss my childhood. you see my family lived in l.a., california and at 11 we moved up to washington state. we moved around a few times until we found the community that suited us and we became strawberry farmers. we had 1 milk cow and a handful of chickens, but the acres upon acres of strawberries made us farmers. lol. i was a pre-teen and i wanted money to have nicer things, so my parents gave me an acre to tend and all benefits were mine.
the hard work and solitary times allowed me to grow up intellectually. i miss those days because everything i did yielded the effort i put into it and i had physical proof of my efforts. that is to say the first year yeilded poor results because i only wanted to be a teenager, yet the second year produced beautiful premium strawberries because i didn't want the worth of my efforts to be so unsavory. i learned and did a lot of different farming activities as we expanded to a year around farm, but having the best strawberries at 13 made the life style a landmark in my maturity and gave me my best ""self"" at the age of 13.
i am reaching my elderly years now and i have lived my life in many different places, but i am once again in washington state and deep down, i know that this is how life is actually suppose to be. we yeild from life what we put into life.","@cessdejesus620-嗨，很抱歉它使您哭泣。从那以后，我看到了她所有的视频，但是这个特殊的视频使我想念我的童年。您会看到我的家人住在加利福尼亚州洛杉矶，我们搬到了华盛顿州。我们大约几次，直到找到适合我们的社区，并成为草莓农民。我们有1只奶牛和少量鸡，但是英亩的草莓上的英亩使我们成为了农民。哈哈。我是青春期前的，我希望钱能拥有更好的东西，所以我的父母给了我一英亩的趋势，所有的好处都是我的。
艰苦的工作和孤独的时期使我能够在智力上成长。我想念那些日子，因为我所做的一切都付出了我所做的努力，并且我有身体上的努力证明。也就是说，第一年的成绩不佳，因为我只想成为一个少年，但是第二年就生产出了美丽的优质草莓，因为我不希望自己的努力如此不愉快。当我们扩展到农场周围的一年时，我学习并做了许多不同的农业活动，但是在13岁时拥有最好的草莓使生活方式成为我的成熟度中的地标，并在13岁时给了我我最好的“自我”。
我现在已经到达了我的老年，我已经在许多不同的地方过着自己的生活，但是我再次在华盛顿州和深处，我知道这就是生活实际上应该是的。我们从生活中付出的一切。"
33820,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48yTmeeXCYVX,6,"@kathaleenwood2426 thank you for your reply. even if i didn't know you in person, i can still understand how you feel. you're like a mother to me and i wish you happiness and good health as what i always pray for my parents.
i am a 23 year old lady from the philippines. me and my sister used to live in the province but since we need to go in college we moved in the city all by ourselves. after finishing college, the reality will suddenly hit you. this teached me a lot of lessongs in life.
now we are both working as an accountant but deep down in our hearts, we also know that this is not the true meaning of life. you work hard and pay your bills then repeat. life should be living with happiness, love, security and peace.
our time will come and this is only temporary. we will work hard for now to save money and buy farms in our native land.
our dream is to live again with our parents permanently after a decade. employ some local workers,aetas to be specific, and treat them as our own family.
aetas are one of the filipino tribes who live in the mountains. everybody thinks it will be easy to live in the mountains. dig, plant and harvest doesn't yield any assurance every harvest time since climate change happens. i emphatize them for begging money on the road during christmas day and other special holidays. this people will be my advocacy. 
i know i'm still young. but what i have learned is that in my country it is not enough that you are either physically capable of doing things or intellectually excellent to have a good job and understand the fast forwarding modern world. you should acquire both as superior people will surely take advantage of your innocence. imagine companies buying coffee beans from farmers at only 8 pesos per kilo (1 us dollar = 50-54 pesos). 

i will strive harder everyday and make other people live a life the way it should be. i want to have a purpose in life and reconnect with the nature once again during my retirement years :)","@kathaleenwood2426感谢您的答复。即使我不亲自认识您，我仍然可以理解您的感受。您就像我对我的母亲一样，祝您幸福和身体健康，因为我一直为父母祈祷。
我是来自菲律宾的23岁女士。我和我的姐姐曾经住在该省，但是由于我们需要上大学，所以我们独自搬到了这座城市。大学完成后，现实将突然袭击您。这教会了我生活中的很多少数。
现在，我们俩都在为会计师工作，但内心深处，我们也知道这不是生活的真正含义。您努力工作并支付账单，然后重复。生活应该以幸福，爱，安全与和平生活。
我们的时间会到来，这只是暂时的。我们现在将努力省钱，在我们的祖国购买农场。
我们的梦想是在十年后与父母永久与父母一起生活。雇用一些当地工人，特定的AETA，并将其视为我们自己的家庭。
Aetas是住在山上的菲律宾部落之一。每个人都认为住在山上很容易。自气候变化发生以来，挖掘，植物和收获并不能在每次收获时间中获得任何保证。我强调他们在圣诞节和其他特殊假期期间在路上乞讨钱。这个人将是我的倡导。
我知道我还很年轻。但是我了解到的是，在我的国家，您要么身体上有能力做事，要么在智力上出色地做好工作并了解快速转发的现代世界是不够的。您应该获得两者，因为高级人士肯定会利用您的纯真。想象一下，公司从农民那里购买咖啡豆，每公斤仅8比索（1美元= 50-54比索）。

我每天都会更加努力，使其他人按照自己的生活生活。我想在我的退休年中重新与大自然重新建立目标：)"
36874,UgzQ0RDkmEQppT3xS7x4AaABAg,6,i do not understand many things but i love to look at her with the k kitchen and take care of her family and her pets.,我不明白很多事情，但我喜欢和K厨房一起看着她，照顾她的家人和宠物。
8749,Ugw2dSkDtDelHrWIDDV4AaABAg,5,"this entire video felt so wholesome to me..
from her moments with her family to 
calmly cooking, i can feel the happiness!","整个视频对我来说很健康。
从她与家人的时刻到
冷静地做饭，我能感觉到幸福！"
35044,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vHbsA732E4,5,"@therewasnochill8997 i'm from china and i can't agree with you at all.liziqi did not receive any higher education, but that was because of her family when she was a child.china's higher education is perfect and universal, and men and women are equal. no girl or poor person will be unable to complete higher education because of poverty, unless they are not good enough or unwilling to go.you also can't think that this is the only way they grow up, it's full of prejudice and ignorance.i used the translation software, but i'm sure you can understand what i'm saying",@thenwasnochill8997我来自中国，我根本不同意你的看法。Liziqi没有接受任何高等教育，但这是因为她小时候的家人。妇女是平等的。除非他们不够好或不愿意去，否则任何女孩或穷人都不会因为贫穷而无法完成高等教育。我使用了翻译软件，但我确定您可以理解我的意思
32493,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18yIaTyYBL7j,5,"cyndri ana this is her grandparent's property. she has shown in her video she lives with her brother and other family members. she is also a millionare. she has a contract with companies who offer her many business opportunities as an entrepreneur. she has her own brand..and she sells food products online. she also launched a clothing line. so she isn't a real life disney princess. she worked in the city and was a dj at a club at night. she's the exact opposite of what everyone think she is. she is not self taught. her grandpa was a very successful chef and this land, garden and house belonged to him. he taught her how to cook and create things. grandma makes vegetables and fruits. she will inherit everything in the end.",Cyndri ana这是她祖父母的财产。她在视频中展示了她与哥哥和其他家庭成员一起生活。她也是一百万。她与为企业家提供许多商机的公司签订了合同。她有自己的品牌..并在网上销售食品。她还推出了一条服装系列。因此，她不是现实生活中的迪士尼公主。她在这座城市工作，晚上是俱乐部的DJ。她与每个人的想法完全相反。她不是自学的。她的爷爷是一位非常成功的厨师，这座土地，花园和房屋属于他。他教她如何做饭和创造东西。奶奶制作蔬菜和水果。她最终将继承一切。
15620,UgxTaUm27lABHJq4Pul4AaABAg.99QkHLfSHD_9AJ-vF4gRjG,5,"this kind of life is super hard, and besically impossible to homestead by yourself like she ""shows"" . only big family well trained could reach that kind of natural rythm",这种生活非常艰难，而且就像她的“表演”一样，您自己不可能自己居住。只有大家庭训练有素才能达到这种自然的节奏
7566,UgxQOPLmIyi3IGy2-Fx4AaABAg,5,"a very beautiful and caring video... having the greatest respect for seniors within the family! talented beyond comparison to the west. unbelievable insight, and a deep empathy one can only vision in the east! 
i couldn't wait to subscribe to an artist able to see beyond today! 
i was blessed with my wife similar to her but, now senior... may she continue her life's dream!","一个非常美丽和关怀的视频...对家庭中的老年人表示最大的尊重！与西方相比，有才华。令人难以置信的见识，深刻的同理心只能在东方视而不见！
我迫不及待地想订阅一位能够看到今天以外的艺术家！
我很幸运，我的妻子与她相似，但是现在，大四...愿她继续生活的梦想！"
51293,UgxWr2WKqhtE2YsnqoF4AaABAg.8qlXYOj_KUd8qlfDIW3bHO,5,neli chairi i would rather she married a responsible guy who sincerely love her and who want to make her happy including her family.,内利主席，我宁愿她嫁给一个负责任的人，她真诚地爱她，并想让她幸福，包括家人。
18023,Ugz9fIs_VkNIHTCqelF4AaABAg,5,haha she's so lucky to have a loving grandma rather than me having a whole family not caring about me,哈哈，她很幸运能拥有一个充满爱心的奶奶，而不是让整个家庭不关心我
47434,Ugy16u-bBGSMvsmdVeF4AaABAg,5,happy chinese new year ce... may all the prosperous be with you and your family. stay healthy and stay share all your activity... god bless you always,中国新年快乐...愿您和您的家人与您和您的家人在一起。保持健康并保持分享您的所有活动...上帝永远保佑您
41976,Ugw8Hjjy2bVyzaF9Tth4AaABAg,5,"the talents are both well, xiuwai huizhong, soft and rigid, live and work in peace, filial piety to the family, and a blessing family on the world.
praise!","才貌双全，秀外慧中，外柔内刚，安居乐业，孝顺持家，为人间有福报的家庭。
赞美!"
5026,UgzxdbYtRFzXJh-GX7h4AaABAg,5,your are great we family all like ur vedio god bless u ❤️❤️❤️,你是伟大的我们都像ur vedio god bless u❤️❤️❤️
5766,UgxoCczcZ1pmul3vujF4AaABAg,5,"you are such an amazing young woman. i loved watching your videos. they are so inspiring. i just have so much respect for what you do, how you live and for the love you have and show your grandmother. i would love to spend time there. it's so beautiful. blessings to you and your family.",你真是个了不起的年轻女人。我喜欢看你的视频。他们是如此鼓舞人心。我只是对您的工作，生活方式和爱的爱以及向祖母展示的尊重。我很想在那里度过时光。这个很漂亮。祝福您和您的家人。
31788,UgxL-fjCbDcECDnrR6N4AaABAg.8w3uKmhPnnN8wj-GvTbNLb,4,taiwan sausage does it get passed down in family if they start using it as a kid to help? also how do they decide the plot size and who gets the plots with better resources? thank you for replying!,台湾香肠如果他们小时候使用它来提供帮助，它会在家庭中传播吗？另外，他们如何决定情节规模以及谁获得更好的资源的地块？谢谢您的回复！
