,cid,votes,time,含paradise,含paradise中文翻译
9639,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69AaBFXTnPpo,3,2 years ago,i think translate to paradise is more appropriate,我认为转化为天堂更合适
26638,UgzS06kWPFl_gfzwTgF4AaABAg,2,3 years ago,"omg.... this is paradise.
totally enamored with this spirit.
amazing imagery and editing.

i think i am in love!","天哪。这是天堂。
完全被这种精神迷住了。
惊人的图像和编辑。

我想我恋爱了！"
28510,UgzIlPfMgT8UA49gInF4AaABAg.8yY8UP_8odR8y_iL6JLk2A,2,3 years ago,@frankhsu7344 i meant if she could invite me to her paradise lol,@frankhsu7344我的意思是，如果她可以邀请我进入她的天堂大声笑
1115,Ugy21NHjfaMsCAUdVUJ4AaABAg,2,1 year ago,thank you for sharing your paradise with us. and thank you for the english subtitles.,感谢您与我们分享您的天堂。并感谢您的英文字幕。
19641,UgyO7GVw-0yAOyvnI2l4AaABAg,2,3 years ago,listen to sichuan dialect. i am also from sichuan. i don’t know what this is like a paradise.,听你说四川话。我也是四川人. 不知道这是什么地方 像世外桃源一样 不用关心外面的事
10909,Ugxgdi-TFk6sZMcSioN4AaABAg,1,3 years ago,"this paradise life, all organic ,i enjoy watching this",这种天堂生活，都是有机的，我喜欢看这个
13900,UgzA2UIUAQHwVT3mgGl4AaABAg,1,3 years ago,what kind of paradise has all those food available ?? where is she living ? is it nature or her garden ?,所有这些食物都有什么样的天堂？她住在哪里？是自然还是她的花园？
14667,Ugxwd6KQQyqwiZ41t914AaABAg,1,3 years ago (edited),when someone asks if there is paradise: show this video what a wonderful little place! ❤,当有人问是否有天堂时：展示这段视频真是一个很棒的小地方！ ❤
34078,Ugx3HGgcU5nuoSJ5GUF4AaABAg,1,3 years ago,living in a paradise -like place,住在一个世外桃源一样的地方
21625,UgwXxHsqkqat8Henxmt4AaABAg,1,3 years ago,paradise,天堂
4570,UgydzAorVbtexVZokrp4AaABAg,1,2 years ago,i really like this kind of paradise life,好喜欢这种世外桃源生活
10718,UgwZxgyslfr-gh_AhjJ4AaABAg,1,3 years ago,paradise it looks,天堂看起来
21009,Ugx90jFstmlMU7Phn0F4AaABAg,1,3 years ago,"india & china always was paradise..
arab & western influence destroyed us""
i think she living in paradise""","印度和中国一直是天堂。
阿拉伯与西方影响摧毁了我们”
我认为她住在天堂”"
19709,Ugz0xo2236A6aF4S8094AaABAg,0,3 years ago,i want to live in this place and my lord is paradise,我想住在这个地方，我的主是天堂
22479,Ugy1v2A7Y2K3MRr3bfx4AaABAg,0,3 years ago (edited),we all should care about environment. we have a paradise already here. why just don't take care of it? i love being in the country too.,我们都应该关心环境。我们已经有一个天堂。为什么不照顾它？我也喜欢在该国。
22677,UgyHYDQYfh9NHq43ejR4AaABAg,0,3 years ago,omg please tell me this is real that this place actually exist . this paradise.,天哪，请告诉我这是真的，这个地方实际上存在。这个天堂。
22755,UgztLm-S_Y_Fpx6fRjN4AaABAg,0,3 years ago (edited),how can i leave in this paradise,我该如何离开这个天堂
22904,UgyFmf3vCt0Ymr1aJqt4AaABAg,0,3 years ago,beautiful liziqi i'm a girl but i love you your so good work harder flexible i love your video on how you live in your place its look like paradise and beautiful home with so many plants veg and flowers...you work so hard just like a masculine men but still beautiful...,美丽的liziqi我是一个女孩，但我爱你，你如此出色的工作更加灵活，我爱你的视频，说明你的住所看起来像天堂和美丽的家，植物蔬菜和鲜花很努力...你很努力地工作像男性男人，但仍然很漂亮...
22978,Ugy13eMCkOEYPBvUb2h4AaABAg,0,3 years ago,this home like paradise,这个房子像天堂
23742,UgyoU4RyGaaiTlIbla14AaABAg,0,3 years ago,amazing place.. this place is more than paradise.,惊人的地方..这个地方不仅仅是天堂。
22121,UgwqhS8T3wFfOJr1l4B4AaABAg,0,3 years ago,"sincerely, the hard -working people are not lucky.
a girl, through her own efforts,
create a world of paradise -like world,
it is diligent, beautiful and kind.","心怀诚心，努力的人运气都不差。
一个女孩，通过自己的努力，
打造一个世外桃源般的世界，
呈现出来的是勤劳，美丽和善良。"
24521,Ugz8E4u0YCxRAGYYF294AaABAg,0,3 years ago,is the paradise,是天堂
21264,UgyebjZzzNSIVKi4aA14AaABAg,0,3 years ago,i think this is the paradise of tao yuanming's writing.,我想，这就是陶渊明笔下的世外桃源吧
24116,Ugz2VToF9cGjJ9GXDYl4AaABAg,0,3 years ago,this is paradise,这是天堂
208,Ugx4KWzqzaMBCXAvpbR4AaABAg,0,2 months ago,"it is occupied by high -rise downside everywhere,
daily worries due to food and clothing, food and clothing,
every family is desperate to accumulate wealth,
who can't work hard?
you will have something to do.

(isaiah 65: 20-25) paradise-like earth ~","处处被高楼矮厝占据，
天天因食衣住行忧虑，
家家为积累财富拼命，
谁谁不尽己所能努力？
您一番美意必有所成。

（以赛亚书65：20-25）乐园般的地球~"
25022,UgyxvSVRnwEk_fUEJv94AaABAg,0,3 years ago,"i always get hungry when i see you cooking your food. maybe they are simple dishes of your tradition, i don't know, but if i were there i would look forward to tasting all those delights. then the surrounding environment, at least for me, is paradise. magnificent.",当我看到你在烹饪食物时，我总是饿。也许它们是您传统的简单菜肴，我不知道，但是如果我在那里，我会期待品尝所有这些美食。至少对我来说，周围环境就是天堂。华丽的。
27663,UgwGCTztOJROpubH8Wl4AaABAg,0,3 years ago,paradise corner,天堂角
33445,UgwpB4pidpakHViIqBt4AaABAg,0,3 years ago,"wow.. what a beautiful life, beautiful woman, hard working woman, full of dedication and determination. her husband will be so lucky. she deserves to get paradise where she lives. btw it's young bamboo. in indonesia language we call rebung. my greeting from indonesia. perfect life style.",哇..多么美好的生活，美丽的女人，勤奋的女人，充满奉献和决心。她的丈夫会很幸运。她应该得到天堂的住所。顺便说一句，这是年轻的竹子。在印度尼西亚语言中，我们称之为rebung。我来自印度尼西亚的问候。完美的生活方式。
32203,UgwrRi0ZaEiylJ3m64x4AaABAg,0,3 years ago,a vision of paradise ... thank you,天堂的愿景...谢谢
31919,Ugznk9dXxqzd8GOQuSp4AaABAg,0,3 years ago,wow your place there looks like a paradise... its very clean,哇，你在那里的地方看起来像个天堂...它很干净
31563,Ugwd-E6xOoHuAH8AJVF4AaABAg,0,3 years ago,"thank you for your beautiful images ... your know -how ...
too bad i do not have access to subtitles in french (or in english) to know all the ingredients, the name of plants or vegetables ... what season of the year ... where this little paradise is located ... i look forward to your next video ... thank you.","谢谢您的美丽图像...您知道 - 如何...
太糟糕了，我无法使用法语（或英语）的字幕来了解所有成分，植物或蔬菜的名称...一年中哪个季节...这个小天堂的位置...我看转到您的下一个视频...谢谢。"
29302,UgxgQJoMO7vMvZR7LaZ4AaABAg,0,3 years ago,nature will give you everything you need.. we should go back to nature.. your home was like paradise..,大自然将为您提供您所需的一切。我们应该回到大自然。.您的家就像天堂。
28373,UgxNZMVNjDKDdcK_h2x4AaABAg,0,3 years ago,your garden is like a paradise all the fruits and vegetables are delicious,您的花园就像天堂一样，所有的水果和蔬菜都很美味
27957,UgyPRi1AC-frVyjbO094AaABAg,0,3 years ago,i love your videos of there is a place to call paradise and there. is this that she takes from bamboo and palm?,我喜欢您的视频，那里有一个可以叫天堂和那里的地方。这是她从竹子和棕榈那里拿走的吗？
27594,UgyjJyX4dD6XybvMBbB4AaABAg,0,3 years ago,life in paradise,天堂的生活
25202,UgyYIUMm7wDCVbDcCwN4AaABAg,0,3 years ago,"awwwww so peaceful there, to live there until the end would be awesome, away from all the dramas. even the food is lovely. as for the hard working young lady she's beautiful, princess of the garden. thanks for sharing your paradise with us.",在那里如此宁静，到那里住在那里，直到最后会很棒，远离所有戏剧。甚至食物也很可爱。至于勤奋的小姐，她很漂亮，是花园的公主。感谢您与我们分享您的天堂。
26924,UgxYNIvIWLukPxfduUN4AaABAg,0,3 years ago,"i love this girl. i created a paradise on earth, a craftswoman !!!",我爱这个女孩。我在地球上创建了一个天堂，一个工匠！！！
26664,UgyMtJ3xbMj4OE8PFuR4AaABAg,0,3 years ago,"i look - there are no men in your paradise, tell me the address, i will move to you .",我看 - 你的天堂里没有男人，告诉我地址​​，我会搬到你身边。
19412,UgyP3N8htM5XG5iiE9d4AaABAg,0,3 years ago,where is this paradise?,这个天堂在哪里？
26171,UgwqnT2xBdcLCn6xpyF4AaABAg,0,3 years ago,feels like paradise!,感觉像天堂！
26085,UgzRfV_d8bhEyrkx0Jl4AaABAg,0,3 years ago,"i always watch with great pleasure your channel! you live in a very beautiful place, just a paradise! the nature is amazing. very colorful videos, i see a lot from your culture for the first time. the girl is just cinderella, a craftswoman on all hands! it is clear that a whole team is working on the channel that makes such a successful project. all videos look in one breath. thank you for getting to know your cuisine, nature, culture! successful to you and long life to the channel!",我总是很高兴您的频道！您住在一个非常美丽的地方，只是一个天堂！大自然很棒。非常丰富多彩的视频，我第一次从您的文化中看到了很多。这个女孩只是灰姑娘，一位手上的工匠！显然，整个团队都在研究这一成功项目的渠道。所有视频一口气看。感谢您了解您的美食，自然，文化！对您来说成功，频道长寿！
25526,UgyA2SezE8R-x7TjK594AaABAg,0,3 years ago,china is a paradise and everything is cheap,中国是一个天堂，一切都便宜
25452,UgzDg23QRVzot_DneXN4AaABAg,0,3 years ago,"the production is too level, this woman is a bit angry, how do i feel that i saw the paradise far average",制作太有水平了，这女的有点骚气，我怎么感觉我看到了世外桃源远一般
19497,UgzPbIdt4Ihu6WjEbNt4AaABAg,0,3 years ago,"is the paradise. ... but invite, delight!",是天堂。 ...但是邀请，高兴！
18035,UgybMpRUrAcCYYs4iNN4AaABAg,0,3 years ago,"after going abroad for 20 years, i watched the video of li ziyi before i realized that there is really a paradise in the world",出国二十年了看了李子柒的视频才知道世上真的有世外桃源
19339,UgwguINCYNJq4TLZSAZ4AaABAg,0,3 years ago,"it looks like paradise 
peaceful and pleasant","看起来像天堂
和平与愉快"
19146,Ugw_EpbiIoEnN-Ou2hF4AaABAg,0,3 years ago,it is a paradise!!!,这是一个天堂！！！
12483,UgyZwHKC4W-cmYkl9_d4AaABAg,0,3 years ago,it seems that she lives in true paradise.,看来她生活在真正的天堂中。
11110,UgwUqMeuhN32-ZRdshx4AaABAg,0,3 years ago,what a beautiful here? like the ancient paradise in the novel,这里好美啊？像小说里的古代世外桃源
10832,Ugy8FClUzvCssgV4ErV4AaABAg,0,3 years ago,"as if it is paradise, glory be to god",好像是天堂，荣耀归于上帝
10470,Ugz2mOum13UZ0iQlpNt4AaABAg,0,3 years ago,what is this paradise?!,这是什么天堂？
9942,Ugw0nQ6wz3c8hY33mhV4AaABAg,0,3 years ago,i dunno buf i feel like i live there with her enjoy the foods love this life its like paradise,我不知道我觉得我和她一起生活在那里，喜欢这种生活，就像天堂一样
9648,UgwqVBHkM3Dp1HGGlZR4AaABAg,0,3 years ago (edited),"before going to this kind of paradise, when i have the conditions, i also choose to live in seclusion. however, you still need to learn more.",好向往这样的世外桃源啊，等我有条件了，也选择去隐居。不过自己动手能力比较差，还是需要多学习。
9567,UgxogLPFjep2sB37mQx4AaABAg,0,3 years ago,"such paradise can be established all over the world.
what is possible ??????","这种天堂可以在世界范围内建立。
有什么可能？"
9566,Ugw-3dDUsS0mCrJ2jeh4AaABAg,0,3 years ago,"that you will pollute our world with a virus
return to natural life
lizig, what a beautiful paradise created with little opportunities, i was jealous of
i loved you so much, you are great lizig","您会用病毒污染我们的世界
回到自然生活
利兹格（Lizig），多么美丽的天堂几乎没有机会，我嫉妒
我非常爱你，你很棒"
7432,UgxmyzDV0kYAw_QVSf54AaABAg,0,2 years ago,"(psalm 37:29) ... justice people must have the earth and live on the ground forever.
(luke gospel 23:43) ... jesus said to him, ""i really tell you today, you will be in the paradise with me.""
learn the bible for free
wechat: mrsunshine1935","（诗篇37:29） ……正义的人必拥有大地， 永远在地上安居。 
（路加福音23:43） ……耶稣对他说：“我今天实在告诉你，你会跟我一起在乐园里。” 
免费学习圣经 
微信：mrsunshine1935"
6822,UgwigFyMXaPb_cQxxnl4AaABAg,0,2 years ago (edited),that is some feast. now i'm hungry. they've made a paradise... i hope people create little paradises all over the world.,那是一些盛宴。现在我饿了。他们已经建立了一个天堂...我希望人们在世界各地创造小天堂。
6707,UgxxzVwH2XJqGV_al3F4AaABAg,0,2 years ago,is she lives in the paradise !!!,她住在天堂里！！！
6630,UgxqUG1swdfAH4qKrNd4AaABAg,0,2 years ago,what a paradise .. i would like to live there too,真是个天堂..我也想住在那儿
6292,UgwQi2sLQEp3Iiv0twl4AaABAg,0,2 years ago,"of course, there are paradise on the earth, but it must not be here. there are almost no grass where they go.",地球上的世外桃园当然是有的，但肯定不在这里。它们所到之处几乎寸草不生。
6203,UgzhJnvZJdsWVdDOv1t4AaABAg,0,2 years ago,"this is a beautiful nature in this world, how is the paradise of god almighty.
cooking with pottery is wonderful, it is older than metals. wonderful vegetables.
maher, cooking.
may god save us from the problems of wahhabism and the rulers of the arabs, who have the luck of the king of the world under them, without them, except for sabotage, burning, and killing.
they wish to destroy these countries, alamoud, who rejoice in their zionist masters, britain, america, and behind america, virus karuna destroyed their people and the peoples of the world.
what did america receive from their viruses, they wanted to reduce the percentage of elderly and unemployed retirees and use their killer treatments to kill peoples.","这是这个世界上美丽的天性，全能上帝的天堂如何。
用陶器烹饪很棒，它比金属还老。很棒的蔬菜。
马赫，烹饪。
愿上帝拯救我们摆脱瓦哈比主义的问题和阿拉伯人的统治者，他们在他们下面拥有世界之王的运气，没有他们，除了破坏，燃烧和杀害。
他们希望摧毁这些国家，阿拉莫德（Alamoud），他们在犹太复国主义大师，英国，美国和美国之后感到高兴，病毒karuna摧毁了他们的人民和世界人民。
美国从病毒中获得了什么，他们想减少老年人和失业者的百分比，并利用杀手治疗来杀死人们。"
6101,UgwuiloRRVm0QYfMErt4AaABAg,0,2 years ago,there you have in paradise ..... :-),你在天堂里..... :-)
5550,UgwGmQxHj7JHSNvqHYJ4AaABAg,0,2 years ago,very nice! really it's like a paradise!! your very lucky woman,很不错！真的，这就像一个天堂！你非常幸运的女人
5320,UgyjCUaj0xNek1DWv_Z4AaABAg,0,2 years ago,surprised how can all food ingredient so easy in this paradise garden. i wish l can live there.,惊讶的是，在这个天堂花园中，如何所有食品成分都那么容易。我希望我能住在那里。
5259,UgwF0fdUDgD_3zGX4sl4AaABAg,0,2 years ago,"you are really an amazing woman! i just hope someday i will get a chance to visit and tour your garden, itโ€s a paradise! canโ€t wait to watch your incoming videos..take care always!mmmwah!",你真的是一个了不起的女人！我只希望有一天我会有机会参观和参观您的花园，这是一个天堂！迫不及待地想看您的传入视频。永远照顾！嗯！
3582,Ugyh5CMN8ugwLbPS_wh4AaABAg,0,2 years ago,"the girl who lives in the paradise
lizki.. angel..","住在天堂的女孩
Lizki .. Angel .."
12618,UgyZU-4r04_Dykb9NXh4AaABAg,0,3 years ago,"the place where she living is like a paradise in a fairy tale land..all is green such a beautiful place, everything is organic and pure..",她住的地方就像童话般的土地上的天堂一样。所有的地方都是绿色的，一个美丽的地方，一切都是有机和纯净的。
12736,Ugyg0Vff9ELht8q6_FV4AaABAg,0,3 years ago (edited),"ividenganumu janicha mathiyarnnu
boomiyile paradise","Ividenganumu Janicha Mathiyarnnu
Boomiyile天堂"
13139,UgysYTNfXLWxfj3ss1F4AaABAg,0,3 years ago,"its so fascinating that life of poor people in small villages in youtube its paradise
this means most of us is living in an abnormal world
they are living which suppose to be the normal one


i salute village people, few needs, few wants big appreciation 
love from philippines","它是如此的迷人，以至于YouTube小村庄的穷人的生活它的天堂
这意味着我们大多数人都生活在一个异常世界中
他们活着，应该是正常的


我向乡村人民致敬，很少需要，很少有人想要大赞赏
来自菲律宾的爱"
16333,Ugxcy1b84S135aP_fA94AaABAg,0,3 years ago,living in paradise. beautiful.,住在天堂。美丽的。
18885,UgwzWSWZsKFkaLddtr94AaABAg,0,3 years ago,congratulations you live in a paradise !!,恭喜你住在天堂里！
18800,Ugy-QMs53lqzLQVPiAR4AaABAg,0,3 years ago,"miss is another level of women, besides being a great artisan, still has the gifts of cooking, lives in very rich paradise living in the midst of nature, not to mention love how you do everything to please your grandmother suppose. you are to be congratulated.",小姐是另一个女性，除了是一个伟大的工匠之外，仍然有烹饪的天赋，生活在大自然中的非常富裕的天堂，更不用说爱你如何竭尽所能取悦祖母。您要祝贺您。
18794,UgyKbJU1WpwAypOon214AaABAg,0,3 years ago,this is paradise on earth. if i were allowed to live there i would work hard and never complain just so i could listen to gramma tell her wonderful stories of her life,这是地球上的天堂。如果我被允许住在那里，我会努力工作，永远不要抱怨，这样我就可以听格拉玛讲述她一生的精彩故事
261,UgxhL-vRw1M0zAHQeA54AaABAg,0,2 months ago,paradise princess ❤,天堂公主❤
17558,UgzSwYMM-JKUtZ45M3B4AaABAg,0,3 years ago,"when literary film is available, don't be documentary, she depicts the paradise without existence! if so in rural china, no one will enter the city to work!",当文艺片看可以，千万别当纪实，她描绘那个世外桃源不存在！中国农村要这样的话就没人进城务工了！
17482,Ugzk4aBn0pnbfxdsCcJ4AaABAg,0,3 years ago,"she lives in paradise, contrary to what i have read about china, that it's so contaminated; that it has no bees or butterflies.",她生活在天堂中，与我读过的关于中国的内容相反，它是如此污染。它没有蜜蜂或蝴蝶。
16745,UgzVpTsve82DwhXZAUB4AaABAg,0,3 years ago,"i have been escaping this kind of paradise or something, but i still came in for snail powder.",本来一直逃避来看这种世外桃源什么的，但是为了螺蛳粉还是进来了
16485,Ugw6awz64qupAWgPYRp4AaABAg,0,3 years ago,i think i found the paradise,我想我找到了天堂
15622,UgwUuEdAFXxxe8Q3-eF4AaABAg,0,3 years ago,"this girl still a total mystery for me , youtube isn't forbiden in china ? she just have already all what i'm trying to create in my place :d so lucky to live in a such paradise.",这个女孩对我来说仍然是一个谜，YouTube在中国不是禁止的吗？她只是我已经想创造的一切：D很幸运地生活在这样的天堂中。
13650,Ugy2-vufLA51xNFeYHV4AaABAg,0,3 years ago,"each beautiful dish gets mouth watering, the place is beautiful and the girls in the video are beautiful looks like paradise",每道美丽的菜都会吸水，这个地方很漂亮，视频中的女孩看起来像天堂
15232,Ugz7zi2aPHehxt7yF-t4AaABAg,0,3 years ago,this is some kind of paradise right for those who love to eat a respectable respect,对于那些喜欢吃可敬尊重的人来说，这是某种天堂
14887,UgzDSu_ALlPzVWtIIRR4AaABAg,0,3 years ago,what a paradise in the world,真是世外桃园啊
14821,Ugw-Uh11T9SRXjFr4ah4AaABAg,0,3 years ago,to me it's paradise,对我来说，这是天堂
14476,Ugz5Qcsx1OYFYhueopR4AaABAg,0,3 years ago,is this place a paradise? - i have no doubt you are in paradise!,这个地方是天堂吗？ - 我毫不怀疑你在天堂！
14395,UgxB5qveipZsURVIMkt4AaABAg,0,3 years ago,this is like what the paradise will look like but for everyone,这就像天堂的样子，但对每个人来说
14229,UgxUm5aAlw9KxKTnQwZ4AaABAg,0,3 years ago,i love her paradise,我爱她的天堂
13794,UgyesiL07gLcmj0rpg94AaABAg,0,3 years ago,paradise on earth.respect for your courage,地球上的天堂。
13761,Ugwrsh0XHubspbL19fV4AaABAg,0,3 years ago,"what a caption is missing, i imagine that paradise must be just like that",缺少的标题，我想天堂一定是这样
35311,UgzGgSrh-1eJATXEuot4AaABAg,0,3 years ago,may god bless the paradise of god in his land,愿上帝保佑上帝在他的土地上的天堂
