,cid,votes,time,含lol,含lol中文翻译
17932,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv98B67uaEOb6,2,3 years ago,"@cookinlikeachefima5starmic747 ummm... i was complementing them? bada** is a compliment, and i was saying how they're different but still amazing. i wasn't throwing a tantrum lol nor was i disagreeing with angelica. i was just providing an alternative explanation. also if you have a problem with swearing then maybe you should go to youtube kids? this site is for 13 y/olds and older so content on here can include cuss words lol. and when i do swear i never do so to insult others. :) 


also i'm personally a felix stan lol.","@cookinlikeacheachefima5starmic747嗯...我在补充它们吗？ Bada **是一种称赞，我是在说它们与众不同，但仍然很棒。我没有发脾气大声笑，也不同意当归。我只是提供另一种解释。另外，如果您对宣誓有问题，那么也许您应该去YouTube孩子们？该网站适用于13 Y/OLDS及以上的年龄较大，因此这里的内容可以包含Cuss Words大声笑。当我发誓时，我从不侮辱他人。 :)


我个人也是Felix Stan Lol。"
10262,UgwVzIQ3hjqcp4yWIBN4AaABAg.9GGneDumlLS9GOOpfBsBWm,2,2 years ago,the chinese way lol my family is like that too,中国人大声笑我的家人也就是那样
28510,UgzVXcV1_D1t8Zi286h4AaABAg,2,3 years ago,"sahara dessert - hi, i'm sorry that it made you cry. i have seen all of her videos since, but this particular video made me miss my childhood. you see my family lived in l.a., california and at 11 we moved up to washington state. we moved around a few times until we found the community that suited us and we became strawberry farmers. we had 1 milk cow and a handful of chickens, but the acres upon acres of strawberries made us farmers. lol. i was a pre-teen and i wanted money to have nicer things, so my parents gave me an acre to tend and all benefits were mine.
the hard work and solitary times allowed me to grow up intellectually. i miss those days because everything i did yielded the effort i put into it and i had physical proof of my efforts. that is to say the first year yeilded poor results because i only wanted to be a teenager, yet the second year produced beautiful premium strawberries because i didn't want the worth of my efforts to be so unsavory. i learned and did a lot of different farming activities as we expanded to a year around farm, but having the best strawberries at 13 made the life style a landmark in my maturity and gave me my best ""self"" at the age of 13.
i am reaching my elderly years now and i have lived my life in many different places, but i am once again in washington state and deep down, i know that this is how life is actually suppose to be. we yeild from life what we put into life.","撒哈拉甜点 - 嗨，对不起，这让你哭了。从那以后，我看到了她所有的视频，但是这个特殊的视频使我想念我的童年。您会看到我的家人住在加利福尼亚州洛杉矶，我们搬到了华盛顿州。我们大约几次，直到找到适合我们的社区，并成为草莓农民。我们有1只奶牛和少量鸡，但是英亩的草莓上的英亩使我们成为了农民。哈哈。我是青春期前的，我希望钱能拥有更好的东西，所以我的父母给了我一英亩的趋势，所有的好处都是我的。
艰苦的工作和孤独的时期使我能够在智力上成长。我想念那些日子，因为我所做的一切都付出了我所做的努力，并且我有身体上的努力证明。也就是说，第一年的成绩不佳，因为我只想成为一个少年，但是第二年就生产出了美丽的优质草莓，因为我不希望自己的努力如此不愉快。当我们扩展到农场周围的一年时，我学习并做了许多不同的农业活动，但是在13岁时拥有最好的草莓使生活方式成为我的成熟度中的地标，并在13岁时给了我我最好的“自我”。
我现在已经到达了我的老年，我已经在许多不同的地方过着自己的生活，但是我再次在华盛顿州和深处，我知道这就是生活实际上应该是的。我们从生活中付出的一切。"
31212,UgxBPmGw0xIG1aIl6ZF4AaABAg.8wR1zKZ8whC8x5T3udCIT6,2,3 years ago,"@nono-oe2ou lol. yeah agreed. not all of them though. another thing that sometimes piss me off is the pushing, not getting in line and being so loud in the public places such as train.",@nono-oe2ou大声笑。是的。并非所有人。有时我会惹恼我的另一件事是推动，没有排队，在火车等公共场所如此大声。
30513,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xEa64EJu40,2,3 years ago,hongwei geng lol nice youโ€re breaking the law,Hongwei Geng大声笑很好，您正在违反法律
33054,UgyTWmyBvRkc3cSrLPF4AaABAg.8vVYJy8QOaA8vyCRAZCEOL,2,4 years ago,@chhuang6278 lol ๐thanks! i just saw what i spelt,@chhuang6278大声笑
22454,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN93BKHMwlA1I,2,3 years ago,@realityqueen3173 so true lol,@RealityQueen3173如此真实大声笑
31020,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8x9kMHUqu4I,2,3 years ago,evde nokkiyalm nammal analllo lolรก,evde nokkiyalm nammalanallloLolá
8292,UgyPEtx1I1K_El6KiY54AaABAg,2,2 years ago,5:58 lol,5:58大声笑
10615,UgzjqCUUoBsbSh3rOOJ4AaABAg.9FmhlkJRvX_9GcXJHETnX5,2,2 years ago,@robertpace901 idk lol ๐,@robertpace901 idk大声笑
32611,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8wDS2MDGQsN,2,4 years ago,and a goat lol,还有山羊哈哈
22152,UgwSWFEg6MtU7NJ88UN4AaABAg.933fknFXf2E93CHEZUx9WS,2,3 years ago,omg i saw ur comment while watching that part ๐ and we have the same mind lol ๐คฃ,天哪，我在看那部分
30306,UgxKAP8_rwDN0DRJQ8x4AaABAg,2,3 years ago,the sheep following her as well...lol,也跟随她的绵羊...大声笑
36775,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx8u_Z75fUJ6_,1,4 years ago,lol i was thinking about this too,大声笑我也在考虑这个
33265,UgwsdHQcutXvvu7jHZR4AaABAg,1,4 years ago,8:56 was that a big grape fruit?! thatโ€s so huge i want one lol,8:56那是大葡萄果吗？太大了，我想要一个大声笑
32145,Ugws1v9WiGelWPJscu54AaABAg,1,4 years ago,she now takes the whole puppy and drops it into the pot lol,她现在把整个小狗扔进锅中大声笑
36872,Ugw8D1JqA_ulBm8hq0p4AaABAg.8uMPiaqIMPI8uOy3tAQ7h0,1,4 years ago,"i know theres candied apples, and dried mango, and i just learned the stacked candied fruit on the stick is called tanghulu and made of hawthorn. i'm def not an authority and just did some googling, but i came down here hunting for the same thing lol",我知道有蜜饯的苹果和干芒果，我刚刚得知棍子上堆积的蜜饯被称为Tanghulu，由山楂制成。我不是权威，只是谷歌搜索，但我来这里寻找同一件事大声笑
36772,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx8uZn13ThFl0,1,4 years ago,lol,哈哈
31955,Ugx-IiD8x3qRbrFROu54AaABAg,1,4 years ago,lol o loved how the sheep and those two dogs stay with her the whole time she was finding chestnuts,大声笑o喜欢绵羊和那两只狗在发现栗子的整个过程中如何与她在一起
32127,UgyBw9TSEHksuex50114AaABAg.8vyKXyhdAro8w0NPtheelN,1,4 years ago,more like instead of sleeping lol,更像不是睡觉大声笑
22667,UgyBT7lL44bJijTqXmd4AaABAg.92oYGg24oay92rdCYH_EBR,1,3 years ago,jasmine mckenzie lol but it true,茉莉·麦肯齐（Jasmine McKenzie）哈哈，但这是真的
23802,UgytdYbMoKlDK-8cyr94AaABAg,1,3 years ago,wtf a chinese youtuber? i'm going to die in peace now lol,WTF中国YouTuber？我现在要和平死了
22205,UgxkEROHtVtRfDk7j2Z4AaABAg,1,3 years ago,hello lol,你好大声笑
22362,Ugxqt4ueE7Dc_vGDu9t4AaABAg,1,3 years ago,5:55 i was exactly the same as her lol. they make the popcorn in the traditional way which reminds me of my childhood. but i have never see this after grown up. kinda miss this๐ญ,5:55我和她的大声笑完全一样。他们以传统的方式使爆米花使我想起了我的童年。但是长大后我从未见过。 Kinda想念这个
32742,UgwCTLy_g_m0R31-0q94AaABAg,1,4 years ago,when i was a kid there was a chestnut tree in my front yard and backyard and for chores iโ€d always have to pick all them damn prickly things up barehanded haha then when i got older lol i realized ughh all those wasted chestnuts!!!! ๐ญ๐… this was so relaxing to watch i wish i could experience this preparation it looks fun!,当我还是个孩子的时候，我的前院和后院里有一棵栗子树，对于杂务，我总是必须拿起所有这些刺刺的东西，然后裸照哈哈，然后当我变老时，我意识到所有这些浪费的栗子！！！呢
22536,UgygwOhxoIK0WvV-apZ4AaABAg.92u6-M3hgI392vbux6oCgN,1,3 years ago,lol i was searching for this comment ๐…,大声笑我正在寻找这个评论
33334,UgwAGADMqgzYcrx9gP94AaABAg,1,4 years ago,wow this lovely lady is amazing! i gladly make an exception and watch all her ads.lol,哇，这位可爱的女士很棒！我很乐意做一个例外，看着她所有的广告。
37367,UgxYaYuVplenZA3rlLp4AaABAg,1,4 years ago,the nerve of this woman to make me feel so useless lol,这个女人的神经让我感到如此无用的哈哈
31923,UgwJewGP5Uc6immC0rR4AaABAg,1,4 years ago,why do i feel so motivated to do something with my life lol,为什么我感到如此动力去做我的生活大声笑
32580,Ugy6tqTZWCjGYefnGox4AaABAg,1,4 years ago,i had a digimon flashback lol,我有一个数码兽闪回大声笑
37654,Ugybo1aW9yypcpNAyfp4AaABAg,1,4 years ago,"she's like, the ideal girl to marry, lol!",她就像是结婚的理想女孩，大声笑！
37666,Ugz7tP1WsfaxFD8K0114AaABAg,1,4 years ago,"i was looking in the comments to see if anyone had cried, but i guess i'm the only one, maybe it is because i'm on my period lol",我正在看评论，看看是否有人哭了，但我想我是唯一的人，也许是因为我在我的时期里大声笑
22245,UgwQ7WDYolTa7nuM0OB4AaABAg,1,3 years ago (edited),"i have to say it's a good job lol
good job ๐‘ ๐‘ ๐‘","我不得不说这是一件好事大声笑
好工作"
30124,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd79IRik3A9gWt,1,2 years ago,c hromberriesใท can she fight? no. she only cooks and cleans. lol.,c hromberriesシ她可以打架吗？不，她只做饭和清洗。哈哈。
31921,Ugz24KIj7A12pI_ISLd4AaABAg,1,4 years ago,lol i was not expecting the popcorn maker to do what it did,大声笑我没想到爆米花制造商会做自己的事
26479,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy98zh9JmLc_p,1,3 years ago,lol so do i,大声笑我也是
30093,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78y3qAsbu3qK,1,3 years ago,misty sisco she should be the one to play mulan lol,薄雾sisco她应该是玩木兰大声笑的人
29622,Ugwd58Lq5MiSnfbP8CZ4AaABAg,1,3 years ago (edited),"11,000 women caught their man watching liziqi. lol","11,000名妇女抓住了自己的男人看着利兹奇。哈哈"
35033,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vECXYZmA0Z,1,4 years ago,"lol, hi my fellow trash",大声笑，嗨，我的同伴垃圾
35076,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8w0Dv8U_2GU,1,4 years ago,dude relax it's a big production lol but still you can do learn stuff,杜德放松一下，这是一个很大的制作大声笑，但您仍然可以学习一些东西
28089,UgwleWdrN0W_bi5cpf14AaABAg,1,3 years ago,5:57 i replied it 5 times lol,5:57我回答了5次大声笑
34384,Ugy9Gua_ThhMeAwifHN4AaABAg.8v49t1LxqD68v_uaewDC3L,1,4 years ago,"dont blame them, they got a jealous wife lol",不要怪他们，他们有一个嫉妒的妻子大声笑
28018,UgyyrbUKYWOw4sOzJgt4AaABAg.8ytwvQwB2C48yuDZLN3FNL,1,3 years ago,same!! i'm having a marathon now lol,相同的！！我现在正在马拉松大声笑
22120,UgxBVh5GSTzJnepl3MB4AaABAg.9349BorE-pI934L2Ew7sz-,1,3 years ago,arthur huynh lol! i was thinking the same thing. she seems to be a master crafts woman in many fields!,Arthur Huynh哈哈！我在想同样的事。在许多领域，她似乎是一名大师手工艺女人！
27645,UgyjtbWu3F0KZDJJAOd4AaABAg,1,3 years ago,i dont inderstand how her oven is working..lol,我不劝告她的烤箱的工作方式。
30543,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xapn722Wrt,1,3 years ago,"odee if you believe chinese government behind this, go for it. but you can't deny the video does look ""appealing"" to you. lol",ODEE如果您相信中国政府背后的政府，请继续前进。但是您不能否认该视频确实对您来说确实是“吸引人”的。哈哈
31189,UgyQGXjkHl-L6vxFEV94AaABAg,1,3 years ago,"lol when she takes the oranges and the big yellow fruit from the orchard, she looks like she's trying to run off before someone catches her stealing their fruit. also what was with the explosive popcorn?",大声笑时，当她从果园那里拿走橙子和大黄色水果时，她看起来好像在试图逃跑，然后有人抓住她偷走了他们的水果。还有爆炸性爆米花是什么？
35736,UgxQkDInYdIrmGDvFdJ4AaABAg,1,4 years ago,"what kind of bgm is this lol
this video is too artificial, unnatural and dramatic
(all those angles, bgm, actress etc)
thatโ€s why it gets so many dislikes","这是什么样的BGM
该视频太虚假，不自然和戏剧性
（所有这些角度，BGM，女演员等）
这就是为什么它如此不喜欢的原因"
35802,UgwSyp5fk9b4YDBUlmp4AaABAg,1,4 years ago,am i the only one thinking how cute the puppies and baby ๐ was lol,我是唯一一个想小狗和婴儿多么可爱的人
36310,Ugwf1l7NucAk9dJoDkF4AaABAg,1,4 years ago,5:54 lol๐,5:54大声笑
26440,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy98-3IcNSHET,1,3 years ago,took a shower lol,洗个澡
36628,Ugxm8VmuqlhI1T8Dn2Z4AaABAg.8uRmcVJ_cGD8u_QtWijuE0,1,4 years ago,i thought the same lol. i was like wait i saw a dried sunflower heart. i guess it was both ?,我以为同样的大声笑。我就像等了，我看到了一颗干燥的葵花籽心。我想这两个是吗？
26415,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy96wIR2rTAsc,1,3 years ago,lol ๐,大声笑
26335,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy935VP72yXYT,1,3 years ago,"iโ€m so sorry, but i laughed, i get it, at least this is what we can do to show her the respect right? lol",我很抱歉，但我笑了，我明白了，至少这是我们向她展示尊重的能力吗？哈哈
26323,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy92rOz0N8QPm,1,3 years ago,wow lol,哇，大声笑
31271,Ugyi5_37zwAlHVzbdzN4AaABAg,1,3 years ago (edited),"her relationship with her grandma reminds me of my relationship with myself lol jk

it reminds me of my grams , and liziqi reminds me a lot of grandma . my grandma a bad ass","她与奶奶的关系使我想起了我与自己的关系大声笑JK

这让我想起了我的克，Liziqi让我想起了很多奶奶。我奶奶是一个坏屁股"
31392,Ugy2NrYiF0vRaT6QnUJ4AaABAg,1,4 years ago,iโ€ve seen this video at least 5 times lol,我至少看过5次这段视频大声笑
26191,UgxFsG0sH8rQKFyg4r54AaABAg,1,3 years ago,lol that bear shaped oven xd....,大声笑的烤箱XD ....
33729,UgzJlti5cDY5HE3_XVl4AaABAg,1,4 years ago,absolutely love these videos. nothing quite compares to them. i would love to know the recipes for your creations. i'm hungry just watching lol,绝对喜欢这些视频。没有什么比他们比较了。我很想知道您的创作食谱。我饿了，只是看大声笑
26142,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-NZapZ2nam,1,3 years ago,those who dont have confident to try one of her activities in her videos can dislike easily and simply... lol.,那些没有自信的人在视频中尝试其中一项活动的人很容易不喜欢……大声笑。
26071,UgwbcBgUdIfXWeQE-SZ4AaABAg.8zpxgw6y6kQ8zuozXVXgqy,1,3 years ago,i was just kidding lol :d iโ€d sure like to have one like this that follows me around and is also cute and cuddly but idk if iโ€m responsible enough. i used to keep a pet rabbit and it pooped so much and i hated to having to clean it up. so pets are out of the question for me! xd,我只是在开玩笑：D：D我肯定会有这样的人跟随我，也很可爱，也很可爱，但如果我足够责任，则IDK。我曾经保留一只宠物兔子，它大便了很多，我讨厌必须清理它。所以宠物对我来说是不可能的！ XD
26069,UgwbcBgUdIfXWeQE-SZ4AaABAg.8zpxgw6y6kQ8zun3ytxNvs,1,3 years ago,lol why not?,大声笑为什么不呢？
26056,UgzMckzmL9d1yIG16Wp4AaABAg,1,3 years ago,awww cute puppy lol nice video๐ค—๐ค—๐ค—๐ค—๐ค—๐ค—๐ค—๐๐๐๐๐๐๐,awww可爱的小狗大声笑漂亮的视频
25818,Ugw7nuDNo9mifqSzSEZ4AaABAg,1,3 years ago,"how wonderful it is that she's able to live off of the land and have tiny animals that follow her around everywhere!! lol 

this is so precious. ๐","她能够生活在土地上，并在各处跟随她的小动物是多么美妙！！哈哈

这太宝贵了。"
36442,UgzrPpPpJaTWoIGCkdt4AaABAg.8uUnURwgJql8uZoPF2YWHR,1,4 years ago,lol,哈哈
31848,Ugx-MTvnUSk3qbIwsuF4AaABAg,1,4 years ago,this video make me happy lol,这个视频让我开心大声笑
53052,Ugxy4weUigl7BpZ1LFl4AaABAg.8qlJNiijARo8qlK8kT8Pl7,1,4 years ago,mik lol,Mik大声笑
33239,UgyAu-rIF13i7hTZPw54AaABAg,1,4 years ago,popcorn or a bomb? 5:59 lol,爆米花还是炸弹？ 5:59大声笑
47697,UgxVLaRdVsKdAsuwfEN4AaABAg.8qoChMDm9Eg8qqsmjLqSkq,1,4 years ago,no 't'here，lol,不，大声笑
17592,UgzZJQLfxZmjWJC-CE94AaABAg.97mGEjwYYmP98D1-zrnsE2,1,3 years ago,"@shiva basir ,
follow her lead all day long? beta female lol 
how about take the lead?","@shiva basir，
整天跟随她的潜在客户？ beta女性哈哈
领先怎么样？"
48407,UgxFR6K19eEc6NJcB7p4AaABAg.8qn1nCx033v8qoXtLjzXSk,1,4 years ago,it grew to 707. those people didn't like her for not using any gloves. lol,它长到707。这些人不喜欢她不使用任何手套。哈哈
41260,Ugy-RZABDk58xEdqRNx4AaABAg,1,4 years ago (edited),5:57 lol so cute of her covering her grandma's ears xd,5:57大声笑，她覆盖了奶奶的耳朵XD的可爱
46743,UgyOUssndE0VZgxNk6B4AaABAg.8qrt3VhOP998rQak8BaQV8,1,4 years ago,@llhg lol i'm european and we don't eat dogs nor cats so you can stop,@llhg大声笑我是欧洲人，我们不吃狗或猫，所以你可以停下来
18331,Ugw80zM44ACWUv2fPGx4AaABAg.973uol_JdfB97n9-QGXrsq,1,3 years ago,no kidding! that basket of ponkan alone is probably like 3-4 of the boxes of ponkan that i haul over cny lol,没有开玩笑！只有那篮庞坎篮可能就像我在cny上拖着的3-4盒庞坎盒
17940,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9925_YvMcOE,1,3 years ago,just watch any ghibli movie lol,只需看任何吉卜力电影大声笑
7114,Ugz7k5U8bWxy6uT4-gl4AaABAg,1,2 years ago,"definitely enjoy the videos and effort, but that popcorn looked weak. lol",绝对喜欢视频和努力，但是那个爆米花看起来很虚弱。哈哈
8864,UgwOaz2v0AfQAZrIAYl4AaABAg,1,2 years ago,"gosh, i feel like such a useless bum, lol. i worked from home at my dining table, ate dinner, watched judge judy and knocked out only to come on here and suddenly find her channel. she's really impressive - a special lady! and now i'm craving kung pao chicken & red bean cakes. you go girl!!",天哪，我觉得像是一个无用的屁股，大声笑。我在餐桌，吃晚餐的家里工作，看着朱迪法官，然后撞倒了这里，突然发现了她的频道。她真的很令人印象深刻 - 一位特别的女士！现在，我渴望功夫鸡肉和红豆蛋糕。你去女孩！
41795,Ugx6ZVJLnuxcK0AkkaB4AaABAg.8rsShYaq7o88s3NXqBqehN,1,4 years ago,"except there's none of those in this video, lol.",除了该视频中没有一个，大声笑。
7295,UgwJhCZEXvwvXgR5keB4AaABAg.9JyZ5Lnf1X79KY3Jovab1j,1,2 years ago,same lol,同样大声笑
17672,UgxxeyCAUXmSYNAcCnV4AaABAg,1,3 years ago,5:59 what the hell lol. did you guys saw it?,5:59什么人大声笑。你们看到了吗？
13806,Ugx3bP1pSZ7-tezrdiZ4AaABAg.9BQ5sAt3AMG9BVc95OYhgf,1,2 years ago,we have almost the same names lol,我们的名字几乎相同
48941,UgzsOjASgBkdTYzhzEJ4AaABAg,1,4 years ago,what the popcorn cannon lol so funny,什么爆米花炮大声笑如此有趣
14391,UgxvyMSzge8FOcBmUmt4AaABAg,1,2 years ago,i don't really like to cook but i like watching this young woman. her work ethic is inspiring. i hope that she gives all that food away and not trash it. it's not possible that she and her grandma eat all that. lol but i really enjoy li's videos.,我真的不喜欢做饭，但我喜欢看这个年轻的女人。她的职业道德令人鼓舞。我希望她把所有的食物都放弃，不要垃圾。她和她的祖母不可能吃掉所有这些。大声笑，但我真的很喜欢李的视频。
14814,Ugzk4fbAwjYhvDZbJht4AaABAg,1,2 years ago,the dog at the end is literally me lol,最后的狗实际上是我大声笑
17103,UgwWSS3LWINrYh9qBNR4AaABAg,1,3 years ago,that sheep eating grass lol so cute,那只羊吃草大声笑真可爱
16966,UgypOOuHQC0ytLcmXcJ4AaABAg.98HJEXDK_vg98Vnt69YSZ8,1,3 years ago,lol same,大声笑
47456,Ugz7TjZ5k9M1VwACM6V4AaABAg,1,4 years ago,ohh wow i love ur videos always makes me happy and hungry everything u make looks so delicious i want to try everything u make lol please keep it up,哦，哇，我爱你的视频总是让我开心，饿了你看起来如此美味的一切，我想尝试所有你做的一切
47402,Ugz-nOnIvznU0flFJth4AaABAg.8qoonAvAO4d8qtaZz_Cmcq,1,4 years ago,dann s. lol. that cut of meat is way too thick to have come from that tiny lamb.,Dann S.大声笑。那块肉太厚了，无法来自那个小羊肉。
16106,Ugz6h70ujNZ-ytMMhgV4AaABAg.98ujKMXr4Hk99CclCp19LT,1,3 years ago,"is! this is really good!
i like to cook personally with this person's video, so this is a lot lol lol","是！这真的很好！
我喜欢用这个人的视频做饭，所以这很多大声笑"
43037,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8ri1UabU4ef,1,4 years ago,@arthuryan3577 lol xd,@arthuryan3577大声笑xD
8081,Ugzvt6N7_0BRB6y6U_h4AaABAg,1,2 years ago,thats a round ass mango lol,多数民众赞成在一个圆形的屁股芒果大声笑
43708,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8rOqeR8rfKS,1,4 years ago,@malakaya9732 yeah i've worked there for a week in chengdu then traveled to a town qionglai. no lack for sweet girls in both cities and villages lol.,@Malakaya9732是的，我在成都工作了一个星期，然后去了Qionglai镇。在城市和村庄中，可爱的女孩都不缺乏。
48816,UgzwliKJ2AJFSgeNaF54AaABAg,1,4 years ago,lol @ that jump at the explosion.,大声笑 @那爆炸。
48708,UgzqdfPs4fIS9O9-1Et4AaABAg,1,4 years ago,new here! and omgggg so glad i found you! ive been sleeping on this channel lol,新来的！ Omgggg很高兴我找到了您！我一直在这个频道上睡觉大声笑
4848,UgzFK5jHBzSGnLD-FNl4AaABAg,1,1 year ago,"06：00 ,the 2 puppys and liziqi are all scared to jump up when the popcorn have a big bang!!!!lol",06:00，当爆米花有一个大爆炸时，两只小狗和利兹奇都害怕跳起来！
4264,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UfxlaS70XY,1,1 year ago,@jackham4407 lol... did you reas how she rise up and how she started do you expect her to have already dslr at that time did you know how she started in chinese version in youtube and almost no one saw the video until one agency posted in and it blew up then she got bigger and bigger. lol...,@Jackham4407大声笑...您是否放心她是如何起床的，她如何开始您，您希望她当时已经拥有DSLR，您知道她在YouTube中使用了中文版本，直到一个机构发布了一个机构，几乎没有人看到该视频进去，然后炸毁了，然后她变得越来越大。哈哈...
21140,UgzOXOzfVHv9u9629LJ4AaABAg,1,3 years ago,typo-scenes lol,错字大声笑
21137,UgxGpBIjKZ_ntzbxeHx4AaABAg,1,3 years ago,every animal loves her lol.,每个动物都爱她。
12024,Ugz89tYyq0m2H1Jzojl4AaABAg.9DmOIl4dMTi9Ee5F-wNJof,1,2 years ago,ak7_ak7 lol,AK7_AK7大声笑
38835,UgxYDfqHX8Ew3Lf6pUh4AaABAg,1,4 years ago,"lol we have these in wisconsin. we used to pelt each other with them before they split open. they hurt, but it's fun.",大声笑我们在威斯康星州有这些。我们曾经在他们拆开之前与他们互相挤压。他们很痛，但这很有趣。
50737,UgxmHz2Bx392lIn6b1x4AaABAg,1,4 years ago,the dogs are so cute lol! and that sheep that think it’s a doggo,狗真可爱！那绵羊认为这是狗狗
20621,Ugx0QOHPU_RJfo4C5HF4AaABAg,1,3 years ago,snacks to eat all winter? you can cover the dessert shop. lol,整个冬天吃零食吗？您可以覆盖甜点店。哈哈
20191,UgzR7Rw_H0b9jDBS5Rx4AaABAg,1,3 years ago,they are stocked with snacks for the month lol,他们有一个月的小吃大声笑
12652,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9DVbq60jRXA,1,2 years ago,"princess mae i understand and it’s totally fine, but aq2388k (prev. pandateasalad) replied so rudely to me first hence i returned back the attitude lol",梅公主我理解，这完全很好，但是AQ2388K（pandeasalad）对我很粗鲁地回答，因此我回到了态度
10838,UgzkmVM5IF7ddoTzMvd4AaABAg,1,2 years ago,i enjoy these videos so much and i get lost in the beauty of nature that i keep forgetting to hit the thumbs up. lol,我非常喜欢这些视频，我迷失了自然之美，我一直忘记击中大拇指。哈哈
9886,UgzxEwsVsKUkwv8YJcR4AaABAg,1,2 years ago,is this snack for a 100 years lol,这是100年的小吃大声笑吗
39909,UgzPSUcSgTgvUolS4hZ4AaABAg,1,4 years ago,"lol, ever17 music",大声笑，Ever17音乐
40351,UgxdqJuA-KfNI5VxsNZ4AaABAg,1,4 years ago,"is she mary has alittle lamb,and it follows her wherever she goes....i'm just loving her videos,soso beautiful and mind blowing,all that nature.i'm going nuts,get it nuts lol.",她是玛丽的羔羊，无论她走到哪里，都会跟随她。...我只是喜欢她的视频，soso美丽而震惊，所有的大自然。我很疯狂，让它发疯。
49499,UgyFlrsMf3CKtYFHomd4AaABAg.8qm5iRpzT658qmhQXYoBZB,1,4 years ago,guess chinese was translated by google translate? lol,猜猜中文是由Google翻译翻译的吗？哈哈
21709,UgyxHdX1PteDpZI6CEZ4AaABAg,1,3 years ago,chest nuts ๐.i ate the entire shell . it was silly and had no clue . i was offered a second. no thanks .lol .i told my sister and she busted out laughing .,胸坚果
15485,Ugxacz_hVEnZ7hIAlld4AaABAg.99WjGMbS_t299WjjkJQyWJ,1,3 years ago,china has been leading in the telecom department. lol.,中国一直在电信部门领导。哈哈。
34289,Ugy2vjcvaIVIQHh_IG54AaABAg,0,4 years ago,"jie jie, can you give me some of those, please? 
lol i'm drooling right now๐","Jie Jie，你能给我一些吗？
大声笑我现在流口水"
46741,UgyOUssndE0VZgxNk6B4AaABAg.8qrt3VhOP998r5xWiGKwI3,0,4 years ago,"@ceeenloud7957 lol it's not racist to criticize a kpop lover. no race is mentioned. btw, there are koreans who eat dogs too.",@ceeenloud7957大声笑，批评KPOP爱人不是种族主义者。没有提及种族。顺便说一句，有些韩国人也吃狗。
34631,UgwgJzrlzb4DhuaI47x4AaABAg,0,4 years ago (edited),"can i come over and get a plate? that looks good asf ๐ฉ






i'm so hungry lol","我可以过来买盘子吗？看起来不错的ASF






我很饿"
45618,Ugy_GiPvAdmN5In22WB4AaABAg,0,4 years ago,she can make a movie out of this lol.,她可以通过这部大声笑拍电影。
45625,Ugzq4-B_QlecXpz__g14AaABAg,0,4 years ago,i love that she got an oven mitt halfway through the video lol,我爱她在视频中途得到了烤箱手套大声笑
47017,Ugza64nSfNLaO2-tclN4AaABAg,0,4 years ago,"wow!! magical lady!!
i wished my chestnuts would unshelled themselves in 5 seconds 3:40–3:45 lol","哇！！神奇的女士！
我希望我的栗子能在5秒内脱下自己的脱落3：40–3：45大声笑"
34787,UgyQpM0HVnaBQhUMEap4AaABAg.8usp0Ub-hJg93RdzsuDfwj,0,3 years ago,exactly me right now not even joking lol,正是我现在甚至都没有开玩笑
34351,UgzK9sukEY61PnFyqKZ4AaABAg,0,4 years ago,even i wanna marry her~ lol where is it place!,即使我想嫁给她〜大声笑在哪里！
