,cid,votes,time,含simple,含simple中文翻译
22449,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN935FNYZNSPp,25,3 years ago (edited),"it's back to basics. i need to go live in a farm eventually. no stress from city living. no commutes. to be surrounded by horses, cows and dogs. in a way my 90 yr old dad is doing this. we have fresh cow's milk everyday. and a full year supply of rice from my brother who tills the land. we learned a lot of skills from our dad. my brothers are very talented (can do many different things) while i, on the other hand, pursued opportunities in the corporate world. one or two more years, i will be leaving the big urban jungle for a simple life.",这回到了基础。我最终需要在农场生活。没有城市生活的压力。没有通勤。被马，牛和狗包围。从某种意义上说，我90岁的爸爸正在这样做。我们每天都有新鲜的牛奶。以及我哥哥耕种土地的全年饭。我们从父亲那里学到了很多技能。我的兄弟们很有才华（可以做很多不同的事情），而另一方面，我在企业界寻求机会。一两年来，我将离开大城市丛林，过着简单的生活。
15469,UgyjBdbZkjS2XC_c5hd4AaABAg,22,3 years ago,"2020 - this time of pandemic, it seems that i wanna go back to our province, and do all these kinds of living, so simple but pure of happiness no stress and so relaxing.
i like your lifestyle ms. liziqi, keep it up and god bless u always.
i'm your avid fan's from the philippines.","2020年 - 这一次大流行，似乎我想回到我们的省，做所有这些生活，如此简单但纯净的幸福没有压力和放松。
我喜欢您的生活方式Liziqi女士，请继续前进，上帝永远保佑您。
我是菲律宾的狂热球迷。"
32607,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8w5AuFcOh1D,20,4 years ago,"it seems simple, but it is definitely not that simple to make a vid like this, lots of camera angles and competent editing.. quite professionally done",看起来很简单，但是制作这样的视频，很多相机角度和胜任的编辑绝对并不是那么简单。
14154,Ugy_e2ZMWkjFsMe5ybd4AaABAg,20,2 years ago,"i cried because this video reminds me of the times when i was in a village . it's not my hometown but i love the simple way ppl live there. ah, i want to move from this small boring city",我哭了，因为这段视频让我想起了我在村庄的时代。这不是我的家乡，但我喜欢PPL在那里生活的简单方式。啊，我想从这个小无聊的城市搬出
16636,UgwC5JuWJFOVIQDCAtB4AaABAg.98YP3M1hKpR995467yo-Oo,20,3 years ago,because she is chinese. pretty simple.,因为她是中国人。很简单。
32856,UgyJkC-wH4I3whexfQF4AaABAg,19,4 years ago,she finds happiness in every simple thing! ๐๐,她在每件简单的事情中都找到幸福！
1185,UgyJZYY9wYHJrddRXtV4AaABAg,19,9 months ago,"why is this so calming, im so tired from school and this helps me relax. i remember my life in the province, simple and self sustaining",为什么这么平静，我从学校如此疲倦，这有助于我放松。我记得我在该省的生活，简单而自我维持
14959,UgzQFZjwbIZbXdm0Jsx4AaABAg,14,2 years ago,"this warms my heart..everything looks delicious and well prepared..
you are hardworking and kind
i want this kind of life..where everything is simple and with nature","这使我的心温暖..一切看起来都很美味，准备充分。
你在努力工作
我想要这种生活。一切都很简单和自然"
48533,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qoS1pOFkN5,14,4 years ago (edited),"@user-iv6iv5co1v period, she was also at the beginning of the period as us, like us, as much as a white-collar worker like the crowds like most nine to five. later, her only relative grandmother was not in good health. the savings of hard work are not enough. later, she thought of the internet and started selling her hand made cosmetics, but you also knew that competition in the sea of ​​taobao was so fierce. her cosmetics had no reputation at all. the scenery of the scenery, unlike other anchors, do everything possible to win the eye -catching things, but the realistic daily life, that is, cooking, cooking, cleaning the courtyard, and taking some of their hometown of the beautiful scenery. essence when various information is explosive, all kinds of dazzling visuals cause aesthetic fatigue to return to the truth. and li ziyi's bland, beautiful, beautiful and simple rural local customs meets this demand, so she has become an internet celebrity.",@user-iv6iv5co1v 期初她也是和我们一样在大都会随着人潮像大多数朝九晚五的白领，后来她唯一的亲人奶奶身体不好，她不得不回到家乡照料奶奶，但是光靠那点打拼的积蓄是不够的啊。后来她就想到了网络，开始销售自己hand made化妆品，但你也知道在淘宝那个大海中竞争那么激烈，她那个化妆品根本没什么名气几乎没什么收入，后来她想到了想让大家分享她在家乡的美丽风光风土人情，不像别的主播千方百计想博得吸引眼球做奇葩的事情，而是很写实的她的日常生活，就是做菜，做饭，打扫庭院，拍些她们家乡那些美丽风光，结果火了。在繁杂各种信息爆棚，各种各样眼花缭乱的视觉造成审美疲劳时人们常常追求的就是返璞归真。而李子柒的平淡无奇唯美朴实的乡村风土恰恰满足了这种需求，所以她成为了网红。
19040,UgyUvOyOo_MY2ntappp4AaABAg,14,3 years ago,"so freaking cute..lol..i love how those puppy’s and that baby lamb (who probably thinks it’s just another dog..lol) follows her every where she goes....i love watching liziqi, she has inspired me to live a much simpler life, i have a huge back yard that i plan on converting to a garden, won’t be easy i know this, but i have such a passion to help others out especially families with small children and the elderly...where i come from fruits and vegetables are ridiculously expensive that we (most people) cant afford it, so i do without (lost my husband to als so having only 1 income makes it virtually impossible to buy what my body needs...good nutrition) so why not plant my own, unfortunately i don’t know how well it will work or succeed as winters here last 6 months out of the year, summers are an average 3 months long, then it cools off....but i’m going to give it a college try!",太可爱了..大声..我喜欢那些小狗和那只小羊羔（可能认为这只是另一只狗..-大狗）跟着她的每一个去的地方....我喜欢看Liziqi，她启发了我活着一个简单得多的生活，我有一个巨大的后院，我打算转换为花园，这并不容易，但我非常热衷于帮助别人，尤其是有小孩和老年人的家庭...我来自水果和蔬菜的地方是我们（大多数人）负担不起的昂贵的，所以我没有（我的丈夫失去了丈夫，只有1个收入，因此几乎不可能购买我的身体需要的东西...好营养）那么为什么不种自己的种植，不幸的是，我不知道它在一年中六个月的冬天，夏季的冬天，平均有3个月的时间，然后冷却了。。。 '我会尝试大学！
625,UgxmjhrQsRc6tRsnsjJ4AaABAg,12,5 months ago,"i really like to watch these films, everything is very simple, the hostess works skillfully, well done",我真的很喜欢看这些电影，一切都很简单，女主人巧妙地工作，做得很好
43904,UgwTBR-vz98x10xGoON4AaABAg,11,4 years ago,"lee, you're just a miracle! little bee. the admiration is simple .ory.",李，你只是一个奇迹！小蜜蜂。钦佩很简单。
32740,Ugy2pNNkCbrbmoUoswN4AaABAg,11,4 years ago,simple life is the happiest life on earth. and i love how they cook the popcorn amazing ๐,简单的生活是地球上最幸福的生活。我喜欢他们如何烹饪爆米花的惊人
15433,UgzD12Q99xkqhJjvWWV4AaABAg,9,3 years ago (edited),"this lady is amazing her life is one i would want in future it's to die for; simple yet has like no expenses; she's so creative in what she does from sewing,making food staff,makeup,farming wow✨
her future husband is lucky 't get but oh well...

i started watching her videos today and you just can't stop they are so entertaining 's&i have watched her videos like all day
her skin too is beautiful","这位女士真是太神奇了，她的生活是我将来想要死的一生。简单但没有支出；她在缝制，制作食品员，化妆，耕种wow wow的方面都很有创造力。
她未来的丈夫是幸运的。

我今天开始观看她的视频，而你只是不能停止他们很有趣
她的皮肤也很漂亮"
33780,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w3nGAB506y,9,4 years ago,"capitalism isnโ€t the problem here, itโ€s peopleโ€s greed that turn them for the worst. success isnโ€t a bad thing, but overdosing on it is. so as you sit in your retail chair, you wonder what life would be if t were so simple, if it werenโ€t what it is now, thatโ€s why you admire this channel.",资本主义不是这里的问题，而是人们的贪婪使他们陷入最糟糕的情况。成功并不是一件坏事，但对此过量是一件坏事。因此，当您坐在零售椅上时，您想知道如果T如此简单，如果不是现在，那将是什么生活，这就是为什么您欣赏此频道的原因。
20661,UgziJQGf2mjJXEeLth94AaABAg,9,3 years ago,i love the way she is living a simple life but still it looks much morr comfortable than living in the city,我喜欢她过着简单的生活的方式，但看起来比在城市中生活得多
13660,UgwyNavXKGq9BYX16W14AaABAg,9,2 years ago,"hello, girl zi, watching your videos. i think of the quiet and simple life of my hometown. it is enviable. sometimes it ’s sad to wrap a busy day in big cities.",子柒姑娘你好，看你视频另我回想故乡的宁静朴素实在的生活，令人羡慕，有时在大城市裹忙碌的日子实在难过。
25180,Ugzzo-CUUVS1nvWP-yp4AaABAg,8,3 years ago,watching her movie ~ the biggest enjoyment is tranquility ~ so simple feeling!,看她的影片~最大的享受就是宁静~好朴实的感觉!
28940,UgwBVfqxOlRK4Uuhbv54AaABAg.8yCcI5xgJ078yUWnlXQvni,8,3 years ago,"maybe because it brings us to simpler times like childhood, when everything felt happy and good.",也许是因为它使我们度过了更简单的时代，就像一切都感到幸福和良好时。
30705,Ugzyd4T-Kazn8yORN7B4AaABAg,8,3 years ago,"very relax 
simple
amazing
beautiful 
and calm nobody here just you with the nature enjoying your time","非常放松
简单的
惊人的
美丽的
在这里，没有你的大自然享受你的时间"
30835,UgxWBeeRnHLq9qR0LHN4AaABAg,7,3 years ago,"while i am watching this i feel very calm and relaxed and also hungry.. this lady is very industrious, she is like an ant who works all day.. i also love their place, it's very simple yet very wonderful and serene place where you can relax.. i want to go there.. =)",当我看着这个时，我感到非常镇定和放松和饥饿。可以放松..我想去那里.. =）
30776,UgwQ2xhVnvpq1XezpcV4AaABAg,7,3 years ago,"god bless you dear๐๐‘u r simple great,hi grandma,love frm indiaโค๐‘๐‘๐ค๐’",上帝保佑你亲爱的
5102,UgwXms7jtXW8cweCQLt4AaABAg,7,1 year ago,i just want a simple life like her,我只想要像她这样的简单生活
538,UgwMIyhkXPcl2ZiZzPV4AaABAg,7,4 months ago,"love this girl so much! ❤ she’s truly an inspiration… i admire how she lives her life to its fullest. simple but more meaningful life♥️ and i can see how she loves and cares for her grandma. makes me miss my own grandma who’s in heaven now 
looking for your comeback! ❤ god bless you","非常爱这个女孩！ ❤她确实是一个灵感……我很欣赏她如何充实自己的生活。简单但更有意义的生活♥️和我可以看到她的爱和照顾奶奶。让我想念自己的祖母，他现在在天堂
寻找您的卷土重来！ ❤上帝保佑你"
33766,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vsC0172Nuh,6,4 years ago,only for the simple people,仅适用于简单的人
40519,UgycKJugj830eYoa0jh4AaABAg,6,4 years ago,"essence essence essence essence the moving video is simple and exquisite that reminds me of this great presentation when i was a kid ,,,",。。。。真是令人感动的视频 质朴而精致 让我想起小时候 谢谢这么棒的呈现，，，
37185,UgwzHj09Xa_FJN9qzeJ4AaABAg,5,4 years ago,"truly village life, girl and her pets and the nature all seems to come from heaven,love your simple pure life,from india wb",真正的乡村生活，女孩和她的宠物和自然似乎来自天堂，爱你简单的纯净生活，来自印度
26058,UgwXAHYgFrzLdwazizB4AaABAg,5,3 years ago,"the first time i eat japanese. tasty and clean
it is settled for you
their life is sweet and simple ๐
shabkolon, arab","我第一次吃日语。美味可口
它是为您解决的
他们的生活是甜美而简单的
阿拉伯人Shabkolon"
29348,Ugw-5uCHpuOioRR7tHl4AaABAg,5,3 years ago,"the needs of modern people's desires satisfy everyone, but they also lose their own self and instincts, and more harm the natural land of wearing us. i like your unsatisfactory and the most simple rural field. in a timely manner, i have opened the native memories i forgot in my mind in a timely manner. i slowly lead me back to my time again because of your heart. life! what is the pursuit?",现代人的欲望之需求满足了大家却也丧失自己的自我与本能，更加伤害了抚育我们的自然大地。喜欢妳的不作态亲力亲为及最纯朴的乡村原野，适时又拨开了我小时脑中忘却的乡貌记忆，慢慢由于妳的用心领着我再次走回自己的小时过往，人生啊人生啊！追求的是什么呢？
38032,UgxfXYDybsm3gSdxv0l4AaABAg,5,4 years ago,"the simple life is good for all.
thank you for your sharing.
i love it โคโคโค","简单的生活对所有人都有好处。
感谢您的分享。
我喜欢它❤❤❤"
28152,UgxV6wwjOWPppmiiUF54AaABAg.8ylbPgnyalM8zTy-dhCFmE,5,3 years ago,"for thousands of years, human beings have been interested in other cultures. that is why trade has been so important. japanese and koreans learned a lot from the chinese and then built on that. sometimes, we love too much and want to take over, rule and take the resources that make the culture thrive. so, please think about that. it gives you a reason to learn something ancient and preserve it for future generations, even if it's a simple poem or song.",数千年来，人类一直对其他文化感兴趣。这就是为什么贸易如此重要的原因。日本人和韩国人从中国人那里学到了很多东西，然后以此为基础。有时，我们太喜欢了，想接管，统治和夺走使文化蓬勃发展的资源。所以，请考虑一下。它使您有理由学习一些古老的东西并为子孙后代保存它，即使这是一首简单的诗或歌曲。
21304,UgxPcksqPb4NsTSSq2x4AaABAg,5,3 years ago,"how sweet, this girl is so simple, beautiful and inspiration for many. the content of this channel is spectacular. keep up the good work.",多么甜蜜，这个女孩是如此简单，美丽和灵感。该通道的内容非常壮观。保持良好的工作。
33799,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48x_iz1ytxD6,5,3 years ago,"not a fan of the simple country life, isabella hidalgo? 
it is present in every culture and country. 

born and bred city dwellers want it, and people from the country who have lived in the city for years, long to go back.

we live in cities, but they're not our natural habitat","不喜欢简单的乡村生活，伊莎贝拉·伊达尔戈（Isabella Hidalgo）？
它存在于每个文化和国家。

出生和繁殖的城市居民想要它，来自该国生活了多年的人们，渴望回去。

我们住在城市，但它们不是我们的自然栖息地"
44278,Ugy9ibxSejqj7Nm713B4AaABAg,4,4 years ago,i really want to worship you as a teacher. essence essence how did such knowledge come from. essence very simple and straight. essence shocked,真想拜妳为师。 。 。这样的知识到底怎么来的。 。很纯朴素直。 。惊为天人
31276,UgysmF-NSAD-BAMa1dt4AaABAg,4,3 years ago,"*i donโ€t know why but 5:26 - the whole sequence with โ€โ€uncleโ€โ€ (iโ€m not sure itโ€s biological uncle since itโ€s common to refer to adults (weโ€re close to) -round our parentsโ€ age as โ€unclesโ€ or โ€auntsโ€ out of respect. 

the whole sequence just feels cute and magical - something so simple like gathering round to pop popcorn can be so warm and exciting. it really makes you feel that how you live your life and how you interact with the world and people can really influence the joy and happiness you can get from it.*","*我不知道为什么只有5:26-与'叔叔'的整个顺序（我不确定这是生物叔叔作为“叔叔”或“阿姨”出于尊重。

整个序列感觉很可爱和神奇 - 如此简单的事情，例如聚集到爆米花爆米花可能是如此热情和令人兴奋。这确实使您感到自己的生活以及与世界的互动方式，人们可以真正影响您可以从中获得的快乐和幸福。"
4925,UgyjQ599ouuMF-0kg-t4AaABAg,4,1 year ago (edited),li ziqi whatever happens be still the simple li ziqi that people loves and me too don’t change,Li Ziqi无论发生什么事仍然是人们爱的简单的Li Ziqi，我也不会改变
25749,UgyId0RtnGwV9WLKPNV4AaABAg,4,3 years ago,"i think this is my favourite video you have made. it reminds me that even though life is hard.. the happiness lies in the simple things. like shared treats and memories, laughter as you show grandma the candy hawthorn .. your grandma sure loves you. you are a wonderful person with a good heart and i support you and pray for your blessings in all forms .. with love from. canada ๐จ๐ฆ",我认为这是您制作的我最喜欢的视频。它提醒我，即使生活很艰难。幸福在于简单的事情。就像共享的零食和回忆一样，当您向奶奶霍桑（Candy Hawthorn）展示时，笑声。你是一个有良好心的好人，我支持你，并以各种形式的祝福祈祷。加拿大
26054,UgykseWH7UTGTZPQEhZ4AaABAg,4,3 years ago,tbh i'd love a life like this. simple life is way better than city life slaving at work to pay taxes to the government paying bills and still broke lol. this is how lifes supposed to be. no social media....love how her cute pets follow her everywhere.,TBH我会喜欢这样的生活。简单的生活比城市生活奴役在工作中要缴纳税款的税款要好得多，但仍然破产。这就是生命应该的样子。没有社交媒体。...喜欢她可爱的宠物如何在任何地方跟随她。
43489,Ugzo1FOEREGiFyITaGd4AaABAg.8rLO06elMxx8rSKQNoTood,4,4 years ago,"@ruchibhadke5724 that's a fair point ruchi and i would not like to rebut it. nevertheless, i still feel, she has the power to convince billions of people around the world to opt for more natural, organic and simple living. we must not undermine the greater idea. at the end, we all can agree on one basic concept, 


""'either the future will be green or not at all!""","@Ruchibhadke5724这是Ruchi的一个公平点，我不想驳斥它。尽管如此，我仍然感到，她有能力说服世界各地数十亿人选择更自然，有机和简单的生活。我们不能破坏更大的想法。最后，我们都可以就一个基本概念达成共识，


“'未来将是绿色的！”"
34784,UgyQpM0HVnaBQhUMEap4AaABAg.8usp0Ub-hJg8veCHqR92vC,4,4 years ago,"yall bothered. 
a village like that has no good conection. there is internet but significantly worse.
and she has also a camera team and such.
her life is not better. it is limited. only the village, what more? i prefer the modern world. more modern places offer more, that is a simple fact.","你们都打扰了。
像这样的村庄没有好的构成。有互联网，但更糟。
她还有一个相机团队等。
她的生活不是更好。它是有限的。只有村庄，还有什么呢？我更喜欢现代世界。更现代的地方提供了更多的东西，这是一个简单的事实。"
8235,UgzEpckRhI0BUdgdcnd4AaABAg,4,2 years ago (edited),"simple, simple, full of taste, and sincere life.",简单、朴素、满满小时候的味道、真心向往曾经的生活。
43039,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8riHqr863Hm,3,4 years ago,@ifeelslovenia9336 i think it all comes down to the simple yet highly important thing: money. yessica xoritee would probably be able to take better care of herself if she didn't have to have two jobs to be even able to afford living in ny. healthy food is also very expensive in certain areas in the usa and not all people can afford to live healthy. the same goes with taking a vacation.,@ifeelslovenia9336我认为这一切都归结为简单但非常重要的事情：金钱。 Yessica Xoritee如果她不必有两份工作即可能够负担得起在纽约生活，那么她可能会更好地照顾自己。在美国某些地区，健康食品也非常昂贵，并不是所有人都能负担得起健康的生活。休假也是如此。
26121,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zxxvfAs33O,3,3 years ago,"this is not real chinese country life, or not real life at all. apart from advertising income from rating she is making millions from selling personal brand food, very fancy and pricey . there is a whole team involved free hundreds people working behind her. that is her real life and business not the simple county girl at all.",这不是真正的中国乡村生活，也不是现实生活。除了获得评级收入外，她还通过出售个人品牌食品而赚了数百万美元，这非常奇特和昂贵。整个团队涉及在她身后免费工作的人。那是她的现实生活和生意，根本不是一个简单的县女孩。
46686,Ugx2RrdPy-6RTIujGnJ4AaABAg,3,4 years ago,"what’s funny is that all of our lives can be this relaxed and simple, no matter where we live. yet, we keep looking to other cultures, history, groups, movements, to find the answers. but it’s truly right in front of us. love to you all. oh, and i make music on my channel if you care to look. much love",有趣的是，无论我们住在哪里，我们的一生都可以轻松而简单。但是，我们一直在寻找其他文化，历史，群体，运动来找到答案。但这确实就在我们面前。爱大家。哦，如果您想看，我在频道上做音乐。非常喜欢
43490,Ugzo1FOEREGiFyITaGd4AaABAg.8rLO06elMxx8rSQ7l0r2KV,3,4 years ago,"@madhuramaparajita2021 
people like this video because it's 'scenic', nothing more. it has nothing to do with climate change, so called organic or being green and simple.","@madhuramaparajita2021
人们喜欢这个视频，因为它是“风景秀丽”，仅此而已。它与气候变化无关，即所谓的有机或绿色和简单。"
13230,UgxBEzbQGTqXXKjQwFZ4AaABAg,3,2 years ago,how can you get a simple life this perfect?. i'm so jealous.,您如何才能获得这个完美的简单生活？我很羡慕。
28250,UgxznsueYIcq5BCWrYx4AaABAg,3,3 years ago,"since the 1st time i've watch her vedio i feel so comfortable in it. all is so simple but very knowledgeable, interesting and it's inspiring.๐๐",自从我第一次看她的吠陀时，我就感到很舒服。一切都是如此简单，但知识渊博，有趣，而且令人鼓舞。
29743,UgxKTztHWKWnVyQiaYd4AaABAg,3,3 years ago,"natural and simple foods are environmentally friendly, fresh and quiet ... there are elements that urban people have gained and pursuing. it is the best publicity regardless of skin color religion.",天然 朴素 食物 环保 清新 清静...城市人所放弃又在追求的元素都有，不分国借肤色宗教，是最好的宣传了。
32616,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8wx8ju7uqYK,3,3 years ago,"frydac definitely bot simple, you are right. this lady saying it's simple, must be crazy๐ i don't find anything simple, everything has a level of complexity in it, the video making, and not to mention all the cooking, and every day chores. it might look like a simple country life, not fancy, but yet so busy life, they don't go to the super market and buy almost anything. they make it. god bless those people and the girl for taking the time in making this video. that's the life i aim to live in few years.",Frydac绝对简单，您是对的。这位女士说这很简单，一定是疯狂的。它看起来像是一种简单的乡村生活，而不是花哨的生活，但是如此繁忙的生活，他们并没有去超级市场购买几乎任何东西。他们做到了。上帝保佑那些人和女孩花时间制作这部视频。那是我打算在几年中生活的生活。
37978,UgyURKfQxKMBdidN0ut4AaABAg,3,4 years ago,"i loved the simple way of living. once we start loving the simplicity, we need very less , less expectations, less worries, full peace of mind.",我喜欢一种简单的生活方式。一旦我们开始热爱简单性，我们就需要更少，更少的期望，更少的烦恼，充实的内心。
37122,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uVjUwOcJjU,3,4 years ago,"@ami-fl7pz simple ?
do you see the time that she spends in order to do what she wants !?
i wonder what is simple ..","@ami-fl7pz简单吗？
您是否看到她为了做她想做的事情花了的时间！
我想知道什么很简单.."
18094,UgzFOs5Jzd7_yqOKAS94AaABAg,2,3 years ago,deep down i really what to live this simple life like i don't think they have problems,深处我真的可以像我认为他们有问题一样过上这种简单的生活
22857,UgwGr6-Y_8GXV99AtPx4AaABAg,2,3 years ago,"every corner of the world is eager to live such a simple and quiet life, it can make you quiet and soul rich :)",世界上每个角落的人都渴望这样朴实宁静的生活，它可以让你变得安静，变得灵魂富足：）
35445,UgzQpMjn-x2hsQDFFN54AaABAg,2,4 years ago,"simple life i admire so much, she is definitely my best mate to live & work with.
i love your gud work, your so amazing dear keep up the gud work. the best i have seen","我非常佩服的简单生活，她绝对是我与生活与工作的最佳伴侣。
我喜欢您的工作，您真是太棒了，亲爱的，请继续工作。我见过的最好的"
32617,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8wxaUWHSy38,2,3 years ago,"@josem.2909 ok but... i meant simple in the style... i'm not blind, i know it's not simple to do those things",@josem.2909好的，但是...我的意思是简单的风格...我并不盲目，我知道做这些事情并不简单
21230,Ugxv8oJFAlGLo7yATB14AaABAg,2,3 years ago,this us the life i want to have is so simple and happy,我想拥有的生活是如此简单和快乐
22098,UgyyFd7L3PllQX9i5pN4AaABAg,2,3 years ago,"i donโ€t know, i will say, i see in the chinese, but i loved the girl, this is a simple person and the best thing is that she does not depend on technology, she does every need a carpentry that you meet a cook that she meets with separation and sews her meeting with a farmer. nature, masterpiece, this is not possible for beauty. glory be to god. life is like this, and all girls and sixties remain.",我不知道，我会说，我在中文中看到，但我爱这个女孩，这是一个简单的人，最好的是她不依赖技术，她确实需要您遇到的木工厨师她会遇到分离，并缝制了与农民的会面。大自然，杰作，这是不可能的美丽。荣耀归于上帝。生活就是这样，所有女孩和六十年代都保留下来。
32517,Ugw_2R-ouQ3OH2y104F4AaABAg,2,4 years ago (edited),"you chinese people are so smart and you guys create awesome things. i respect that ๐๐๐’–๐’–. not only that but you guys are simple, i love it ๐คฃ๐คฃ๐’•. my life and environment is nothing compared to this, here it is ugly but where you life so vibrant and beautiful ๐๐",你们中国人是如此聪明，你们创造了很棒的东西。我尊重那个。不仅如此，你们很简单，我喜欢它。与此相比，我的生活和环境没有什么，这里很丑陋，但是您生活如此充满活力和美丽的地方
47247,UgzichBcef8QyUeDU394AaABAg,2,4 years ago,simple but beautiful life,简单而美丽的生活
23058,Ugw1aTCq5J-VCzg6dBV4AaABAg,2,3 years ago,"i used to work in rural areas for seven and a half years, so i have a special understanding of rural areas and understanding the hard work of chinese farmers. some villages in china are still messy today, and the garbage has become angry.

these do not become a reason for the video of li ziyi. we all understand that living in the depths of sichuan in dashan is not a simple pastoral scenery and carefree.

li ziyi is not doing great announcements.

she just wants to earn a family -to -family income through her labor creation. i don't believe that she would expect to be popular in the world because of this. return to doujin.

a little exaggerated here [smiling]

li ziyi has experienced a few years of hard work and tried various tasks. her success is by no means accidental.

ten thousand people watch her videos with 10,000 different feelings.

i read that the most direct help to me was that i suddenly realized that the level of cooking was too far away. need to work harder and learn carefully.

of course, as countless fans say, watching li ziyi's video can make people's hearts calm down.

many foreigners leave a message saying that it is hypnosis, treating insomnia [crazy] [crazy] [crazy]

more people admire her omnipipary.

the most exaggerated statement is that ziyi can create a earth [crazy] [crazy] [crazy]","曾经在农村劳动七年半，所以特别了解农村，了解中国农民的勤劳俭朴，贫穷苦难。今日中国有些村庄依然脏乱不堪，垃圾成堆令人愤怒。

这些不成为否定李子柒视频的理由。我们都明白生活在大山深处四川农村不是简单的田园风光，无忧无虑。

李子柒不是在做大外宣。

她只是想通过自己的劳动创作，挣一份养家糊口的收入而已。我不相信她当初会料到因此大红大紫名扬世界。日进斗金。

有点夸张啊此处[偷笑]

李子柒经历了个人苦苦奋斗若干年，尝试过各种不同工作。她的成功，绝非偶然。

一万个人看她的视频会有一万个不同感受。

我看了，对我最直接的帮助就是突然意识到，自己做菜的水平差的太远。需要更加努力，用心学习。

当然，如同无数粉丝所言，看李子柒的视频，能让人的心，静下来。

很多老外留言说是催眠，治疗失眠症[抓狂][抓狂][抓狂]

更多人赞叹她无所不能。

最夸张的说法是，子柒可以再造一个地球[抓狂][抓狂][抓狂]"
