,cid,votes,time,含simple,含simple中文翻译
17411,UgwV-uzw6206Qx2IoKZ4AaABAg.92kaKG0I8dO92oMvsxRVj5,11,3 years ago,@dexter_7883 actually i mean..it's a simple and beautiful life..why to include dis hard word instead..and i agree u she is a hardworker too..,@dexter_7883实际上是我的意思是..这是一种简单而美丽的生活。为什么要包括dise hard Word。
33360,UgwxZQ4DEcDWB2Tx3694AaABAg,9,3 years ago (edited),i just love your peaceful videos living simple wonderful life and the noodle dish looks great.,我只是喜欢您的和平视频，过着简单的美好生活，面条菜看起来很棒。
26732,Ugy34oI_3OoR5AXqHUl4AaABAg,8,3 years ago,"i love your world. i like your way of living so much, so simple! the nature that surrounds you is wonderful and generous! how i wish i was there!",我爱你的世界。我喜欢你的生活方式，如此简单！周围的天性是美好而慷慨的！我希望我在那里！
11314,UgyLuZ-IcDmBUJef8px4AaABAg,8,3 years ago (edited),"i've been watching her videos for a week now and they're really blessed living in a simple yet prosperous life like this .. 
this made me want to plant some fruits and vegetables in my backyard once i got my own house soon","我已经看了一个星期了她的视频，他们真的很幸运地生活在这样的简单而繁荣的生活中。
这使我想在我自己的房子很快享用自己的房子后就想在我的后院种一些水果和蔬菜。"
12150,Ugws0uW8NvIsxTdzjj54AaABAg,7,3 years ago,"it doesn't need to be a professional photographer
it doesn't need to be a professional chef
it doesn't need to be a professional agriculturist for you to come up with this beautiful thing around you. the world is so beautiful when you learn how to appreciate little simple things that surrounds you. and that's this beautiful woman literally did despite of her generation. so much respect","它不需要成为专业摄影师
它不需要成为专业厨师
您不需要成为专业的农业学家就能想出您周围的这一美丽的事情。当您学会如何欣赏周围的小简单事物时，世界就是如此美丽。尽管这一代人来说，这是这个美丽的女人的字面意思。如此尊重"
12358,Ugz64Ww7ZbxUzWk9ygJ4AaABAg,7,3 years ago,they make it look alot simpler than it really is.,它们使它看起来比实际更简单。
10798,Ugx9gqxV7TlhVfkD2tV4AaABAg,6,3 years ago,i always wish to have a life just what she have right now. the simple peaceful life. you can see the satisfaction. not all people have. wish u have a healthy life.,我一直希望拥有她现在拥有的生活。简单的和平生活。您可以看到满意度。并非所有人都有。希望你有健康的生活。
13875,UgwTUUhtG5HwRv_M2AJ4AaABAg,5,3 years ago,"no internet, no phones, just there is no time to sit in them. a simple girl walks all day, doing things.
this is a very good video)","没有互联网，没有电话，只是没有时间坐在其中。一个简单的女孩整天散步，做事。
这是一个很好的视频）"
15491,UgxeHC0PohKFfAal8mh4AaABAg,5,3 years ago,"how simple is life, just like that beautiful hardworking girl",生活有多简单，就像那个美丽的勤奋女孩
27485,UgyXs4OuwnxVRxzMpX54AaABAg,4,3 years ago,"m wondering what are those ""thumbs downs "" for? she did nothing evil. only great beautiful videos on simple life.",我想知道那些“大拇指跌倒”是什么？她没有做任何邪恶的事情。只有关于简单生活的精美视频。
2672,UgzU5PVILKZHy5JH45p4AaABAg,4,1 year ago,"liziqi is like mulan in the millennium. living in the village in a simple way to maintain the beauty of traditional values. keep on inspiring. greetings of success from us lovers of #seblaqs (sukabumi, sept 2021)",Liziqi就像千年中的Mulan一样。以一种简单的方式生活在村庄，以保持传统价值观的美丽。继续鼓舞人心。 #Seblaqs恋人的成功问候（Sukabumi，2021年9月）
24998,Ugxh4an9n8vh-FXv-e94AaABAg,4,3 years ago (edited),it's so amazing. these foods were also found in our small garden before. i really miss this simple life,太神奇了。这些食物也在我们的小花园中发现。我真的很想念这个简单的生活
11483,Ugw6XL-cuo0eX4BXpzN4AaABAg,3,3 years ago,"the land of my dreams... simple life, simple food i love that",我梦dream以求的土地...简单的生活，简单的食物，我喜欢
16664,Ugz1aYSqAeSw6KAdil54AaABAg,3,3 years ago,i grew up like this. a simple life its a happy life,我这样长大。简单的生活是幸福的生活
21896,UgwcX9YQRp7-GIicFyh4AaABAg,3,3 years ago,"omg as soon as i start watching her videos i cant stop myself watching for more,makes me think how i miss my simple life in the village,,,girl you inspire me a lot,,one day gonna go back to the island where i was born,cant wait to go back home and cook like your videos,i learn a lot from your video,god bless you girl,",天哪，一旦我开始观看她的视频，我就不能停止自己观看更多，让我想到我如何想念我在村庄的简单生活，你会激发我的灵感很多，有一天会回到岛上出生了，迫不及待地想回家像你的视频一样做饭，我从你的视频中学到了很多东西，上帝保佑你的女孩，
17826,UgwZXL4EzjFT9ezbWmp4AaABAg,3,3 years ago,"with the most exquisite leave, restore the most simple and true. it is the most authentic portrayal of li ziqi at the moment.",用最精致的假，还原最淳朴的真。是当下李子七最真实的写照。
14423,UgyZ35VKnjK37Q0iCnd4AaABAg,2,3 years ago,i love how everything you need is just outside your house..i love country living..i love how simple life there..i miss my home.,我喜欢您所需要的一切都在您家外面。我爱国家生活..我喜欢那里的生活。我想念我的家。
33482,Ugxi62w6Jt8MlO_OpJl4AaABAg.8yUau3LzW8Y8yUuqh0eC_M,2,3 years ago,"yeah, her life is very simple and that i want that kind of life,and her garden",是的，她的生活很简单，我想要这种生活，她的花园
3537,Ugy5eGUZU9RJvMazudF4AaABAg.9NvtqVXNXHX9NwcEQTN3Yl,2,2 years ago,"the one you said is industrial thinking. people are gourmet bloggers, but they are not started. her videos are more unique. one of the characteristics is everything, and everything is good. every time i do it, i will spend a lot of time learning to learn the production process, so the video quality of the video will be done. they are all excellent.
in addition, saying a question, i am also in rural sichuan. twenty years ago, before everyone went out to work, the uncle and aunt in the countryside were basically everything, especially when cooking and some simple crafts. these are really really not really not. disaster. now that time has moved, everyone has been working, and rarely stays in the countryside. now young people will basically not be these.","你说的那个是工业化思维。人家是美食博主，又不是开工厂的，她的视频比较有特色，特色之一就是啥都会，而且做的都还不错，每做一期视频都会花很多时间去学习制作过程，所以视频质量都比较过硬。
另外，说个题外话，我也是四川农村的，二十年前，大家还没出门打工之前，在农村的大叔大妈也是基本啥都会，尤其是做菜和一些简单的工艺品，这些其实真的不难。现在时过境迁，大家出门工作了，也基本很少待在农村了，现在的年轻人也基本不会这些了"
9890,UgzFmsT4K_lMzp8GoM14AaABAg,2,3 years ago,"it is very comfortable to see. knowing that you have a team behind you, you really like girls like you. now your value is also high. i like your simple and energetic. i really want to marry you home. i love it for a lifetime. think about it, wish good luck, good health!",看的很舒服，知道你背后有团队，真的就喜欢子柒你这样的姑娘，现在的你身价也高了，喜欢你那个淳朴劲，真想把你娶回家，疼爱一辈子，目前看只是想想了，祝好运，身体健康！
3641,Ugz3jEDHt5o8KgTVRDd4AaABAg,2,2 years ago,such a nice life. i rather live that plain and simple life rather a luxurious one,如此美好的生活。我宁愿过着简单而简单的生活而不是奢侈的生活
14463,UgwC1BG8OG690PtX4iB4AaABAg.94C3z5UoImQ94RipMX_sh7,2,3 years ago,"love this drama, simple and elegant.",大爱此剧，古朴清雅。
13348,Ugw8gdFsezQkr7uOlUx4AaABAg,2,3 years ago,"this is beautiful, the simple things, away from city life, pollution, sickness, crime and everything else in between. this is much better.
william percival new zealand gardenia band","这是美丽的，简单的事物，远离城市生活，污染，疾病，犯罪以及介于两者之间的其他一切。这要好得多。
William Percival新西兰Gardenia乐队"
31601,Ugy--PN1s4FVZVfupUF4AaABAg,2,3 years ago,"when i'm watching her i feel the contentment in life no tensions,pressure just go with the flow make a simple life",当我看着她时，我感到生活中的满足不紧张，压力只会随着流程而变得简单的生活
15409,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss98XaaFmAZ6B,2,3 years ago (edited),"strait arrow it’s a ‘propaganda’ if you wish it. it’s also a high-value production , staged ( for ken rascon) piece of entertainment that teaches simple and good value ( i.e. respect and love for your grandma) if you wish it. no one dies in make this well crafted film. all ( including messieurs arrow and rascon i suspect and hope) are entertained watching this in the time of a pandemic. so i decide to ‘wish’ the latter in this instance.",海峡箭头，如果您愿意，这是一个“宣传”。这也是一部高价值的作品，为肯·拉斯康（Ken Rascon）演出，如果您愿意的话，它教授简单而良好的价值（即尊重和对祖母的爱）。没有人死于制作精良的电影。在大流行时期，所有人（包括Messieurs Arrow和Rascon）都很有趣。因此，我决定在这种情况下“希望”后者。
14053,Ugx7pTCMhr-JavHpJcd4AaABAg,2,3 years ago,"she qualifies for the best cook in china. every dish, even the most simple one, is so elaborated prepared. out of this world.",她有资格获得中国最好的厨师。每道菜，甚至是最简单的菜，都是准备好准备的。离开这个世界。
17990,Ugy9Dzd0HKEAe92QJqh4AaABAg.92dXHQeZgvs92o_SFhG-f3,2,3 years ago,all food is like alchemy but technology made it more simple,所有食物都像炼金术，但技术使它变得更加简单
20876,Ugx-bJb65NW48RxZtxh4AaABAg,2,3 years ago,i like this sister too much like luning the life of a simple and peaceful nx without bothering,我非常喜欢这个姐姐，就像在不打扰的情况下摇动一个简单，和平的NX的生活
25931,UgxDDqbewBEVqPFraQl4AaABAg.8ywsIU928nF8z2LPB56W0u,1,3 years ago,i'm vegan but i love seeing people cook nonvegan meals. either way it's nice to watch people put so much care into simple things like cooking.,我是素食主义者，但我喜欢看到人们煮不素食的饭菜。无论哪种方式，都可以看到人们将这么多照顾到诸如烹饪之类的简单事物中。
1280,UgzD2nC4dC8Wli0em654AaABAg,1,1 year ago,"but why there is no more woman like that with us. in france, she prefers money has a simple life in harmony with nature. personally, if i find a woman like that in my life, i will make the effort to leave everything to live with her. i will even leave my country for this kind of woman.",但是，为什么不再有这样的女人。在法国，她更喜欢金钱与自然和谐相处。就个人而言，如果我在生活中找到这样的女人，我将努力离开一切与她同住。我什至会离开我的国家做这种女人。
26470,UgwFvHiKX-YQrymRxUF4AaABAg,1,3 years ago,"or too want to live a peaceful life in the countryside so much, the scenery is peaceful, the charming trees, the simple food without having to have a strange delicious dish, what a dream life !! !!",或者也想在乡村过上宁静的生活，风景是宁静的，迷人的树木，简单的食物，而不必有一个奇怪的美味菜，多么梦想的生活！！！
22430,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9UoSpCto1wv,1,1 year ago,"what is wrong with all you guys? her video is simple. she just want to show that even in this modern world, we should appreciate the coulture, the nature without technology. so her video is just like tutorial and she want to show the lifestyle. simple. i hope all of you enjoy your lifetimes.",你们所有人怎么了？她的视频很简单。她只想表明，即使在这个现代世界中，我们也应该欣赏没有技术的库尔特，大自然。因此，她的视频就像教程一样，她想展示生活方式。简单的。希望大家都喜欢您的一生。
26589,UgzzP0OYs2E7NrpGz7N4AaABAg,1,3 years ago,"beautiful young lady leds a simple life with no electronic devices, she's in my dream.",美丽的小姐过着简单的生活，没有电子设备，她在我的梦中。
24518,UgxDB4MlzAfupQFhGk14AaABAg,1,3 years ago,beautiful to see the care for the elders. simple and happy life. congratulations. appetizing food.,看到长老的照顾很美。简单快乐的生活。恭喜。开胃食物。
19415,UgywO8XaQqElDy6Qbkt4AaABAg,1,3 years ago (edited),i wish life is just this simple. i mean who cares for progress when our home (planet earth) is being compromised and people are getting into war. a life that is simple and at peace like this is just all we need.,我希望生活就是这样简单的。我的意思是，当我们的家（地球）被妥协而人们陷入战争时，谁在乎进步。我们所需要的就是简单而平静的生活。
5928,UgwS7SB7D6tYicwC8ZZ4AaABAg,1,2 years ago,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. 491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 491782570178
5944,UgyqQ13ffx9dFaq0wGR4AaABAg,1,2 years ago,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. +491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 +491782570178
33219,UgwPZ0yt6zqMWhnn7hd4AaABAg,1,3 years ago,"your videos make me want to move to the mountains, to have a simpler, more meaningful and fulfilled life. i hate the city. thank you for the few minutes of peace. 

ps. it would be great to have the english subtitles again. but i’ll take what i can get.","您的视频使我想搬到山上，拥有更简单，更有意义和充实的生活。我讨厌这座城市。谢谢您的和平几分钟。

PS。再次拥有英文字幕将是很棒的。但是我会拿走我能得到的。"
31263,UgxIZZ_fqYWmR2uUxex4AaABAg,1,3 years ago,"i am vietnamese but i don't like vietnamese subtitles at all. the subtitles have been the young buffalo language, naturally lost the temperament of the video. if the subtitles are just simple and rustic as the life of tu that.",我是越南人，但我根本不喜欢越南字幕。字幕是年轻的布法罗语，自然会失去视频的气质。如果字幕像Tu的生命一样简单而质朴。
3080,UgwhO-7OnFATW4UV-jd4AaABAg,1,1 year ago,"very loved her, the simple person and the charming scenery in her homeland ^^",非常爱她，简单的人和她家乡的迷人风景^^
8503,UgzAdo5a7PzVIMBRXTR4AaABAg,1,2 years ago,"enough to eat a simple way of life understand the dharma nature will understand us. very beautiful, your home atmosphere",足以吃一种简单的生活方式了解佛法大自然会理解我们。非常美丽，你的家庭气氛
5969,UgxBZlK643skj4gvMxZ4AaABAg.9FF-ZvuKkMT9FK5UUKQCvp,1,2 years ago,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. 491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 491782570178
4745,UgxtOF5ojBIwYnReGi94AaABAg,1,2 years ago,"you are a really simple and wonderful person, i want to live this life",你是一个非常简单而很棒的人，我想这一生活
27711,UgzX9ow_xBdXZ26fYb54AaABAg,1,3 years ago,wow it is my dream to live a simple life just like her,哇，我的梦想是像她一样过上简单的生活。
5903,UgzlzO-1rE655wGM5il4AaABAg,1,2 years ago,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. 491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 491782570178
9601,UgzVMURTw2PMOlfV8Bd4AaABAg,1,3 years ago,"i wish i had that kind of life, so simple",我希望我过着如此简单的生活
5831,Ugzb269XuK03ADFIAFt4AaABAg,1,2 years ago,"i am a simple and a loving man. with the qualifying attitude that everyone will like. loving, honest and understanding. i am not perfect. but i am ready to compromise, with full understanding!",我是一个简单而充满爱心的人。以每个人都喜欢的合格态度。充满爱心，诚实和理解。我并不完美。但是我准备好妥协，并充分理解！
22606,Ugw06lRrjeNLcx1AGPt4AaABAg,0,3 years ago,"it will be a very capable daughter -in -law, but unfortunately, the world is no longer the era of marrying a wife and a wise. floral has made the chinese no longer simple",会将是很能干的媳妇，可惜啊，现在的世界已经不是娶妻娶贤的时代了。浮华已经让中国人也不再朴实
22599,UgwiBl7obqhqCc8eefR4AaABAg,0,3 years ago,this is the most simple aspect of china's rural areas. it is like this every day.,这是中国农村地区最简单的方面。每天都这样。
32425,Ugyjd6iqL-kd8nJIlgB4AaABAg,0,3 years ago,"simple life but it's gold,,,,for me this is heaven",简单的生活，但这是黄金，对我来说，这是天堂
22450,UgwHxU7a_4e2cN8qAtB4AaABAg,0,3 years ago,life is so peacefully away from the noisy lifestyle in the lavish cities that are increasingly expanding to return to a quiet countryside to live a peaceful simple life that is the dream of many people. hope you can produce many meaningful videos like this so that everyone can feel. good luck,生活如此和平地远离奢侈城市中繁华的生活方式，这些生活方式越来越不断扩大，以返回一个安静的乡村，过着和平而简单的生活，这是许多人的梦想。希望您可以制作许多这样的有意义的视频，以便每个人都能感觉到。祝你好运
22680,Ugwguk6hsFZDXqlgDyF4AaABAg.8zxuOdNdnet9-21P6JizrJ,0,3 years ago,"in china few hundred years ago most people living like that, unfortunately, now quite a lot of people living in the city, small house no more garden, buying everything, forgot what simple life looks like any more :(",不幸的是，在几百年前，大多数人生活在城市中的许多人，现在有很多人住在城市中，不再花园，买东西，忘记了简单的生活看起来不错:(
31738,UgwgXMAVOx0W4o39YhF4AaABAg,0,3 years ago,"i would love to live there in that place. i am retired at 41, if it was simple i would go meet her and learn some of that cooking. very awesome videos",我很想住在那个地方。我在41岁时退休，如果很简单，我会去见她并学习一些烹饪。非常棒的视频
22381,UgwxffrvnZoApDNVmNB4AaABAg,0,3 years ago,"wow! everything is so fresh and also a whole days of work/prepping!! simple and yet delicate in a way....so mesmerizing watching video, i had to subscribe for more!!",哇！一切都是如此新鲜，也整整几天的工作/预备！！简单而又细腻的方式...................观看视频令人着迷，我不得不订阅更多！
22269,UgyU7zFsWb3gzq4sJ4R4AaABAg,0,3 years ago,"i realize where life is very peaceful, hp is a youtube so the money is not very important, but it is important where the homegrown is very simple, peaceful",我意识到生活在哪里非常和平，惠普是YouTube，所以钱不是很重要，但在本土非常简单，和平的情况下，我希望拥有这样的CS
22244,Ugz4LC23PwoUJuNlMHR4AaABAg,0,3 years ago (edited),"wow fresh ingredients alongwith that countryside is a picture perfect (video perfect) 
such a joy to watch the days' proceedings go by.
i wish i could still find such simple days","哇，新鲜食材与乡村是一幅完美的图片（视频完美）
观看日子的诉讼经历的乐趣。
我希望我仍然可以找到如此简单的日子"
22495,Ugwv9Wy8oS51cVu_re54AaABAg,0,3 years ago,simple things to create miracles,创造奇迹的简单事物
21919,Ugy43Ghludpa4K9TrrN4AaABAg,0,3 years ago,the most delcious and simple dish even only you stir fried it,最乏味，最简单的菜，甚至只炒
22194,UgxlnuGFGGk1zDuc44l4AaABAg,0,3 years ago,"simple, everyone just need to do the same as in the video",简单，每个人都需要做与视频中的相同
32458,Ugw92VRnnevre125HFl4AaABAg,0,3 years ago,you are such a simple woman) but strong))),你是一个简单的女人），但很强壮））））
31267,Ugx1m97unl7JoD_wwSV4AaABAg,0,3 years ago,such a simple life does not have,如此简单的生活没有
21906,UgzDIsW4FS5_GrlM2hx4AaABAg,0,3 years ago,i want to have a simple life like this ...,我想拥有这样简单的生活...
21900,Ugw6adz4_TH3vSzxIaR4AaABAg,0,3 years ago,"dreaming scenery, simple food to all people 's dreams",梦dream以求的风景，对所有人的梦想的简单食物
33559,UgzCPjf6ImlK7WZqGW14AaABAg,0,3 years ago,i can see how you and your family are so healthy the fresh food is beautiful and so much variety !! i wish americans had more variety unfortunately we eat very simple.,我可以看到您和您的家人如何健康，新鲜食物很美，种类繁多！！我希望不幸的是，美国人的饮食很简单。
33716,Ugyth2tKkIciVDT-Ifh4AaABAg,0,3 years ago,"love too, looking at a simple but delicious dish
love","也爱，看一个简单但美味的菜
Love"
21735,UgzAZ5LA2Fo4o85dMRV4AaABAg,0,3 years ago,"hard, hard work filmed and edited to look effortless. this is a traditional but not simple life. liziqi is beautiful and talented but do the viewers seriously think everything she cooks is just for granny and her? this girl is a very intelligent business woman and makes a living from everything she makes. and good for her!! congratulations liziqi and all the best wishes for success.",拍摄和编辑艰苦，艰苦的工作看起来毫不费力。这是传统但不是简单的生活。 Liziqi美丽而有才华，但观众是否认真地认为她烹饪的一切都适合奶奶和她？这个女孩是一个非常聪明的商人，她的赚钱谋生。对她有好处！恭喜Liziqi和成功的一切祝福。
21399,UgyXEZML3BsI_gODjZh4AaABAg,0,3 years ago,"hello liziqi, i just started watching your videos this week and i am totally hooked. the way you living your life inspired me. i would like to be like you someday. no not a vlogger but a person living a life like yours. i'm inspired by how simple life in the countryside as you portray in your video. please keep making videos with substance.",您好Liziqi，我本周刚刚开始观看您的视频，我完全迷住了。你生活的方式启发了我。我想有一天像你一样。不是vlogger，而是一个像你这样的生活的人。当您在视频中描绘的那样，我的生活在乡村生活的启发。请继续用实质性制作视频。
21127,Ugyi9Rl48vp_sGcJmYF4AaABAg,0,3 years ago,simple but delicious food,简单但美味的食物
34186,UgztdGqZheFuyn-yu-t4AaABAg,0,3 years ago,i love u r videos & u r very simple and beautiful.,我喜欢你的视频，并且非常简单和美丽。
20725,UgwKogBaeEUPT5EqKz54AaABAg,0,3 years ago,"independence, innocence, simple, happy, what women should have",独立，纯真，简单，快乐，是女人该有的样子
20584,Ugy5NcBNwXADBFkrDil4AaABAg,0,3 years ago,"i am fharel from indonesia and i seem to fall in love with this woman, simple and not chasing a temporary world 
(i'm serious)","我是来自印度尼西亚的Fharel，我似乎爱上了这个女人，而不是追逐一个临时世界
（我是认真的）"
19923,UgwOMxVzQ3fQTKRWanN4AaABAg,0,3 years ago,"i love her attitude so much, she is very simple and there's no silan silan to herself :) i want a lady like her :) and their place is very praceful, no need work hard for the money becuase they have everything in their surroundings -:)",我非常爱她的态度，她很简单​​，而且没有硅胶硅，:)我想要一个像她这样的女士:)而且他们的位置非常贴切，不需要为钱而努力工作，因为他们在周围的环境中拥有一切 - :)
19888,UgzR2NcdWac3Qu4SfSx4AaABAg,0,3 years ago,love this simple life,爱这个简单的生活
22762,Ugy2jT9zzJU4padw5pJ4AaABAg,0,3 years ago,the video is very simple,视频很简单
27268,UgxSafRcwqP8Y38qfml4AaABAg.8ygezvYh5k68yjpmWikl1-,0,3 years ago,"vash stampede um, i really admire her self -sufficient simple life",Vash Stampede 嗯嗯，真的很佩服她这种自给自足的纯朴生活
22857,UgypSCYcF8YGiJlqCqx4AaABAg,0,3 years ago,"with the most simple ingredients, the most beautiful scenery, and my grandmother's smile and discourse, i envy me. you know that so many foods you like and taste with your family. in the beautiful natural green scenery, you do n’t know if you in the future. will you persist?",用最淳朴的食材，最美的景色，加上外婆的笑容和话语让我好个羡慕，你知道做这么多大家喜欢的美食和家人一起品尝，在美好的自然绿色风光里面，不知道以后的你会坚持下去吗?
28376,UgyoSurSYEwmKtIRyFF4AaABAg,0,3 years ago,"nature here is fictional, god willing, how beautiful is simple life, you are really wonderful",这里的大自然是虚构的，上帝愿意，多么美丽，简单的生活，你真的很棒
27468,UgzekiMsIrftamoTLtx4AaABAg,0,3 years ago,peaceful life is so simple ... i just need to be like that,和平的生活是如此简单...我只需要那样
27588,UgzFwyZ2d1JsLh6rXt54AaABAg,0,3 years ago,"this video should have been called ""ancient chinese style cooking made simple by a modern girl""!!!",该视频应该被称为“现代女孩制作简单的古代中国风格烹饪” ！！！
26210,Ugx00Qwhv3LOmdfBaq14AaABAg,0,3 years ago (edited),i want a life as simple as hers,我想要像她一样简单的生活。在自然界和呼吸新鲜空气中，必须是没有痛苦的生活。谢谢你让我感到嫉妒和快乐:)
26134,Ugz14refm7y9WBTID2t4AaABAg,0,3 years ago,so peaceful.. i like such simple ordinary scenes in china,如此和平..我喜欢中国如此简单的普通场景
26109,UgxJy5mtPDN36vq0LAZ4AaABAg,0,3 years ago,very simple,很朴实
26032,UgyVMuvDUCvzeUjjMMt4AaABAg,0,3 years ago,"i'm confused, is this from china or vietman? it looks like vietnam country.. all her videos are amazing and great... i love the way she lives, it's a very simple living, lot of food from her own farm, harvesting every time she needs food to eat, and she is a very good cook, and creative on how she makes her menu deliciously. the foods she cooked very healthy.",我很困惑，这是来自中国还是越野？看起来像越南国家。.她所有的视频都很棒，很棒...我爱她的生活方式，这是一个非常简单的生活，她自己的农场里有很多食物，每次她需要食物都需要吃东西，她是一个非常好的厨师，并且在她如何使菜单变得美味的情况下创意。她烹制的食物非常健康。
