,cid,votes,time,含cook,含cook中文翻译
34949,UgxHJ5YCpiZzJNrJhHp4AaABAg,141,4 years ago (edited),"this channel is really awe inspiring. from the cooking and food presentation, and the music chosen. totally transports me to a fantastical realm. the production is really top quality. super fan here thank you!",这个频道确实令人鼓舞。从烹饪和食物演示以及选择的音乐中。完全把我带到了一个梦幻般的领域。生产确实是最优质的。超级粉丝在这里谢谢！
27192,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zZSm5IDHnU,135,3 years ago,"did you say she has drones flying over her house??? thats terrible, why would people do such terrible things like invading someones privacy?? she should find a way to catch those drones and destroy them or cook them or fry them.",你说她有无人机飞过房屋吗？？？太可怕了，为什么人们会做这样可怕的事情，例如侵犯某人的隐私？她应该找到一种方法来抓住那些无人机，摧毁它们，烹饪或油炸。
18290,UgyWWpacG4G0yJO1Me94AaABAg,119,3 years ago,gordon ramsay would absolutely fall in love with this place if he ever visited her. true cooking from scratch,如果戈登·拉姆齐（Gordon Ramsay）拜访了她，他绝对会爱上这个地方。从头开始烹饪
21008,UgxAvEm9E-OR-TCgCHd4AaABAg,114,3 years ago,when you can smell all the foods she cooks while watching. this girl is really really good at cooking.,当您可以在观看时闻到她烹饪的所有食物时。这个女孩真的很擅长做饭。
20972,UgyZhNocqDpaa5BH3ih4AaABAg,111,3 years ago,"other people: wow she is so good at cooking


me: did she just write "" dead mango""","其他人：哇，她是如此擅长做饭


我：她只是写了“死芒果”"
29007,UgyJvswfhEBPDtRAww14AaABAg,101,3 years ago,"how to make a bunch of popcorn:


me: let's put it in the microwave


her: ""cook with something that i don't even know its name but i like it""","如何制作一堆爆米花：


我：让我们把它放在微波炉中


她：“用我什至不知道的名字做饭，但我喜欢它”"
11412,Ugw4x88DGNwK73gpB6l4AaABAg,101,2 years ago,"she is so strong,she did so many thingsssssssss from collecting,cooking until serving,wonderwoman in real world๐๐๐",她是如此坚强，她从收藏，烹饪直到服务，在现实世界中的奇妙女性做了很多事情。
9559,UgzNn8VaZkxE7dJka7R4AaABAg,91,2 years ago,i'd like to see gordon ramsay and liziqi cooking together. that would be awesome,我希望看到戈登·拉姆齐（Gordon Ramsay）和利兹奇（Liziqi）一起烹饪。那将是真棒
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,4 years ago,fantastic fantastic fantastic really i liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy chinese new year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
26723,Ugz6QOTzmnKwsIwRGnZ4AaABAg,75,3 years ago (edited),"the picture quality is so good. not to forget, this girlโ€s cooking and handicrafts skill is great too.",图片质量太好了。不要忘记，这个女孩的烹饪和手工艺技能也很棒。
51674,Ugyx6yeEdaRcvabmfnF4AaABAg,71,4 years ago,"your a good cook, good baker, nice architect, wonderful craft worker.... awesome",您是一个好厨师，好面包师，漂亮的建筑师，出色的手工艺工人....很棒
3545,UgyjQEf8f2BxUGAs1oN4AaABAg,63,1 year ago,"how i wish i could live with ms lizqi for a week, to enjoy nature, her cooking and her friendship. i simply love her channel. nothing compares.",我希望我能和利兹女士一起生活一个星期，享受自然，烹饪和友谊。我只是爱她的频道。没有任何比较。
24248,UgxuDhwgsiK7Ift_2514AaABAg,62,3 years ago,she can cook anything and everything in that big frying dish,她可以在那片大炸道中煮任何东西
51106,Ugwz9VJ9cLA6bf7noER4AaABAg,60,4 years ago,"apple 
there is also there too
looks delicious
chestnuts also look delicious

in such a nice place
making sweets, cooking,
i really yearn for it ✨

is the camera improved?
the image quality is very beautiful ✨","苹果
也有
看起来很美味
栗子也看起来很美味

在这么好的地方
做糖果，烹饪，
我真的很渴望

相机改善了吗？
图像质量非常漂亮✨"
823,Ugwg_jZPIx0oa2J2lEx4AaABAg,60,6 months ago,this is the only cooking channel i never skipped any part and never missed any video first to last second,这是我从未跳过任何部分的唯一烹饪频道，也从未错过任何视频，
11237,Ugz0mwbo0WKKHljHOj14AaABAg,56,2 years ago,the most patient cook in the whole universe,整个宇宙中最耐心的厨师
14584,UgylFxkG40bbZWf9_hl4AaABAg,49,2 years ago,"she is beautiful
she good at cooking
she is hard working
she is love her grandmother","她很漂亮
她擅长烹饪
她在努力工作
她爱祖母"
842,UgyaWS8UuyEJl7SHLEZ4AaABAg,49,6 months ago,your cooking skills are great! ❤️,您的烹饪技巧很棒！ ❤️
40265,UgwTWM_ylcb4_UMAQfd4AaABAg,46,4 years ago (edited),"the professional filming is stunning, sets are well chosen, outstanding presenter, this is a top cooking programme",专业拍摄令人惊叹，套装是精心挑选的，出色的主持人，这是一个顶级烹饪计划
52122,UgxU9pNshSQpZEJxSsp4AaABAg,39,4 years ago,wow you cook a lot today. is it preparation for chinese new year next week?,哇，你今天做很多。下周为农历新年做准备吗？
9072,Ugzlg9uPKu0sY-5Lbgx4AaABAg,37,2 years ago,i absolutely love this woman. despite living in the mountains shes able to do so much. all i want in life is to sit down and have a meal she cooked.,我绝对爱这个女人。尽管住在山上，她能够做很多事情。我一生中想要的就是坐下来煮一顿饭。
45109,UgyJgsDlPebcN5HbriZ4AaABAg,33,4 years ago,wanted to cook something...but instead i ended up looking at this beautifull girl for more thank 2 h! 'm just in love with this channel! congrats,想煮一些东西...但是我最终看着这个美丽的女孩，更多地感谢2小时！
36000,UgyhyXflybsr2hUCb_B4AaABAg.8uYsqKM0ju78ujHKECo9NE,33,4 years ago,"โ€ @bellabana โ€ bellabana no, it's more a culture thing. in some countries, they don't feed pets pet food, they feed them with whatever they're eating, i.e, human food. so pets get used to the smell & whenever they smell human cooking, they think it's meal time. they might beg for food but that doesn't mean they're hungry. my family used to have pet cats, they're just like that. we could be just feeding them two full plates, they'd still come & meow at our dinner table. 

our cats eat everything, rice, broccoli, tomato, lettuce... besides meat. you wonder why, huh? because that's what they grew up eating, and that's what they know as food. as long as it's food to them, they'd follow, even if they're fed. if you own pets, you would know about this. 

my neighborhood doesn't raise our pets like in the west, where owners usually lock them indoor all the time. we let them roam around freely. they all go around begging for food when neighbors are cooking. as a result, we all know about others' pets, and we are fine with them. people don't always feed them, so they know they have to come home for a proper meal, but they'd get a piece here & there, so it's like snacks for them. 

every once a while a neighborhood auntie would come up to my mom, beaming, and said, hey your cat just frequented me yesterday! ... oh do you hear him? he's frequenting someone else now...! my mom be like, yeah... guess my cooking is his least favored... the auntie be like, that's not true! pets are like that, they go around for food but they know they can always have it back home.... and then they both laugh it off.... 

this is just a different culture of doing things, it's not necessarily bad or cruel just because it's different from your way of doing it. calling ppl out without knowing their background is judgmental, and kinda condescending, you know, not nice. so yeah....","@bellabana bellabana不，这更多是一种文化。在某些国家，他们不喂宠物宠物食品，而是用他们吃的任何东西，即人类食品喂食。因此，宠物习惯了气味，每当闻到人类烹饪的气味时，他们都会认为这是用餐时间。他们可能乞求食物，但这并不意味着他们饿了。我的家人曾经有宠物猫，他们就是这样。我们可能只是在给他们喂两个完整的盘子，他们仍然会在我们的餐桌旁来和喵。

我们的猫吃了所有东西，米饭，西兰花，番茄，生菜...除了肉。你想知道为什么，是吗？因为那是他们长大的饮食，这就是他们所知道的食物。只要对他们来说食物，即使他们被喂食，他们也会遵循。如果您拥有宠物，您会知道这一点。

我的邻居不会像西方那样养宠物，那里的业主通常一直在室内锁定它们。我们让他们自由地漫游。当邻居在做饭时，他们都四处乞求食物。结果，我们都知道别人的宠物，我们对它们很好。人们并不总是喂他们，所以他们知道他们必须回家做适当的饭菜，但是他们在这里和那里都会得到一块，所以这就像小吃一样。

每隔一段时间，一个附近的阿姨会来找我妈妈，笑着说，嘿，你的猫昨天只是经常光顾我！ ...哦，你听到他的声音吗？他现在正经常去别人...！我妈妈就像，是的...猜猜我的烹饪是他最不喜欢的……阿姨就像，那不是真的！宠物就是这样，他们四处寻找食物，但他们知道他们总是可以把它放回家。...然后他们俩都笑了...。

这只是做事的一种不同的文化，不一定是坏事或残酷的，因为它与您的方式不同。在不知道自己的背景的情况下召集PPL是有判断力的，有点屈服，您知道，不好。嗯是的...."
8294,UgzdRRvjd0a2NcZkSI54AaABAg,33,2 years ago,"everybody:watching them cook
me:baby doggo","大家：看着他们做饭
我：宝贝狗狗"
46928,UgykGdTXcviBxCE0M3h4AaABAg,32,4 years ago,like her personality she is full of energy and so talented with everything no matter what if it is cooking or hard labor.your pets are so adorable.,像她的个性一样，她充满活力，无论是在做饭还是辛苦的劳动，都有一切才华。您的宠物太可爱了。
35700,Ugw4vMv4BFU05Ku0vQd4AaABAg,29,4 years ago,girl sorceress. how she easily cooks. appetizing. everything is natural. super.,女孩女巫。她如何轻松做饭。开胃。一切都是自然的。极好的。
19627,UgyVXzLMBUAlVF5vRst4AaABAg,27,3 years ago,"omg these videos are so satisfying to watch, makes me wanna learn cooking.",天哪，这些视频非常令人满意，让我想学习烹饪。
33217,Ugwse83__zbvc_TWq2h4AaABAg,27,4 years ago,im playing this while cooking my dinner and my soul feels better,我在做饭时玩这个，我的灵魂感觉更好
51678,UgyNaIpO8VnwyflZDM14AaABAg,24,4 years ago,"open the video, i saw ziyi again. you are a great girl! find your own fun in your life! doing something is the tao, what do you have, you can be too grocery store. i hope you will introduce you to the cooking techniques for us for a year! i wish you a happy and happy grandma!",打开视频， 我又见到子柒了。你是一个很了不起慨女孩子! 在生活里面找寻自己慨乐趣! 做起事来头头是道， 你有什么事情难道你， 你可以太杂货店了。希望你你来 一年 介绍你多啲烹饪技术给我们睇! 祝你和奶奶幸福 快乐!
9711,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9GzFLymFaox,24,2 years ago,probably because u get to like have fun and get food free i think and u can make ur own items to cook with,可能是因为您喜欢玩得开心并免费获得食物
46908,Ugxt_UgIcBmTXIOOGpt4AaABAg,24,4 years ago (edited),"i love this episode the most! especially when she go cover her grandma ear lol. happy chinese new year to you and your grandma!

scene that you may miss the small cute details
0.42 when she crack the chestnut and puppy feet try to steal it. great shot!
3.33 i guess everyone who cook would want to get that wooden ingredient tray! 
5.55 when they open the popcorn pot 
8.47 the pomelo street look like a fairy tale but you all know that you should not eat those fruit on the floor. (except chestnut and ginko of course!) 
9.30 the puppies look like they gonna jump into fire! and her grandma giggle is adorable! 
9.48 you can see all the love in there","我最喜欢这一集！尤其是当她去遮盖奶奶耳大声笑时。在春节快乐，祝您和您的祖母！

您可能会想念小的可爱细节的场景
0.42当她破裂栗子和小狗时，试图偷走它。好球！
3.33我想每个厨师都想得到那个木制成分托盘！
5.55当他们打开爆米花锅时
8.47 Pomelo Street看起来像个童话，但大家都知道您不应该在地板上吃那些水果。 （当然除了栗子和银杏！）
9.30幼犬看起来像是要跳火了！她奶奶咯咯笑！
9.48您可以看到所有的爱"
40330,UgyVuhwPNeigCXUXGMZ4AaABAg,23,4 years ago,just found your channel. love it! great camera man and beautiful lady. loving your home and cooking. great work,刚找到您的频道。爱它！伟大的相机男人和美丽的女士。爱你的家和做饭。做得好
16529,UgwndTs4wucNgNjt5x94AaABAg.98eO-d8XaSd98uH5OVgzNP,22,3 years ago,"@wuxh2708 her mother was dead when she was young!! she was with a cruel step mother! her dad and grand parents were good cooks! her dad cooks allot in the village for almost all the occasions that way she learned alot of recepies from grand parents amd her dad!! she worked various jobs! she wanted to do new things but almost failed in lot of stuff! she got to return to back home, her village upon hearing that her grandma health when was not good and somone needed day and night to take care!! so that struck a thought in her mind to do something and at the same time be with her grandma! her grand parents own some land in mountains so she started what her legacy was cooking, farming, chinese art, etc!!being worked as a dj people say that experience helped her to add music, edit videos while she filmed all her videos on own very early days! her videos initially were posted only in chinese video sharing platforms! when she got good recognition in those platforms for her all the skills she started youtube!! she hired a crew of 3 people who take care of shooting, editing, posting!! all these efforts and dedication made her a massive hit today! some section of people unable to digest her success called her actor, fake, and also few said she is not chinese!! at that time she released a few seconds video saying she belongs to china and she is chinese!! nothing altered her to date!! she is the same loving, caring person!! i just shared what i came to know about her thru many sources!!",@wuxh2708她的母亲小时候死了！她和一个残酷的继母在一起！她的父亲和大父母是好厨师！她的父亲几乎在所有场合都在村子里烹饪分配，从而从父母那里学到了很多回忆！她从事各种工作！她想做新事物，但几乎失败了！她得知她的祖母健康不好，白天和黑夜都需要照顾时，她必须回到家中，她的祖母健康！！这样一来，她就想到了做某事，同时与她的祖母在一起！她的祖父母在山上拥有一些土地，因此她开始了自己的遗产是烹饪，耕种，中国艺术等！被当作DJ的人说，这种经验有助于她添加音乐，编辑视频，而她独自拍摄了所有视频很早！她的视频最初仅发布在中国视频共享平台上！当她在这些平台上为自己的所有技能获得良好的认可时，她就开始了YouTube！她雇用了3个照顾射击，编辑，发布的船员！所有这些努力和奉献精神使她今天受到了巨大的打击！一部分无法消化她的成功，称她的演员是假的，而且很少有人说她不是中国人！那时，她发布了几秒钟的视频，说她属于中国，她是中国人！到目前为止，没有什么改变她！她是同样的爱心，有爱心的人！我刚刚分享了我对她的了解，这是通过许多来源！！
48884,UgxUxrzh2_nXib9I-4h4AaABAg.8qmM3fEmDnz8qnVhPnDJoG,18,4 years ago,"@joseph4388 its a cooking show! ifshe pats the puppy, ppl would say ""not hygienic"". cant please everyone, i guess.",@joseph4388它的烹饪表演！如果她拍拍小狗，PPL会说“不卫生”。我猜不能请大家。
26738,UgxQRRuoxVWhdSTG0iZ4AaABAg,17,3 years ago,"amazed with the cookware, outdoor oven etc...living right by mother earth!",对炊具，室外烤箱等感到惊讶...在地球母亲身边生活！
3727,UgzrDXcBlYmPtt0lsHB4AaABAg,17,1 year ago,i remembered that my grandma used cook these sugar coated snacks in village and used to send us the snacks they were very delicious she does that every month,我记得我奶奶在村里用这些糖涂的小吃，用来给我们发送小吃，他们每个月都很美味
22790,UgwdfUcdV0aeZgE5Dx14AaABAg,16,3 years ago,i love how she just eat a little of everything when it's done cooking cause i did that to,我喜欢她在烹饪完成后如何吃一点东西，因为我这样做了
31161,UgzSmtQb7ujpPk8EN8t4AaABAg,15,3 years ago,i watched chinese gadgets review and a cooking video yesterday and today youtube gifted me this! this is adorable!๐’,我看了昨天和今天的YouTube送给我的中国小工具评论和烹饪视频！这很可爱！
19390,UgxcDvofSHQCR5Cm_Tl4AaABAg,15,3 years ago,"good cooking, good style, beautiful and good -looking ~",好的烹饪，良好的风格，美丽而良好 - 看起来很〜
7532,Ugz33gk2n58Ad39Ysvt4AaABAg.9JfTa1DwsQJ9JsEmeyZufv,15,2 years ago,@reirei5555 he/she is trying to advertise their cooking videos. its a little annoying.,@Reirei5555他/她正在尝试宣传他们的烹饪视频。这有点烦人。
23122,Ugy4jXItRyEda70YHsl4AaABAg,15,3 years ago (edited),"i am a chinese who lived in the village when i was child. through we didn't have her so exquisite life. but i remember, we had a little gardon of my house. in the spring and summer, our gardon had so many green food to eat. and my mother cooked them for me. then i grow up, we all move in the city. we have a better life now, not poor any more . but we nerve have the gardon any more.",我是一个中国人，小时候住在村里。通过我们没有她那么精致的生活。但是我记得，我们家里有一点加尔顿。在春季和夏季，我们的Gardon有很多绿色食物可以吃。我妈妈为我做饭。然后我长大了，我们都搬到了这座城市。我们现在的生活更好，不再贫穷了。但是我们不断拥有加尔顿。
48533,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qoS1pOFkN5,14,4 years ago (edited),"@user-iv6iv5co1v period, she was also at the beginning of the period as us, like us, as much as a white-collar worker like the crowds like most nine to five. later, her only relative grandmother was not in good health. the savings of hard work are not enough. later, she thought of the internet and started selling her hand made cosmetics, but you also knew that competition in the sea of ​​taobao was so fierce. her cosmetics had no reputation at all. the scenery of the scenery, unlike other anchors, do everything possible to win the eye -catching things, but the realistic daily life, that is, cooking, cooking, cleaning the courtyard, and taking some of their hometown of the beautiful scenery. essence when various information is explosive, all kinds of dazzling visuals cause aesthetic fatigue to return to the truth. and li ziyi's bland, beautiful, beautiful and simple rural local customs meets this demand, so she has become an internet celebrity.",@user-iv6iv5co1v 期初她也是和我们一样在大都会随着人潮像大多数朝九晚五的白领，后来她唯一的亲人奶奶身体不好，她不得不回到家乡照料奶奶，但是光靠那点打拼的积蓄是不够的啊。后来她就想到了网络，开始销售自己hand made化妆品，但你也知道在淘宝那个大海中竞争那么激烈，她那个化妆品根本没什么名气几乎没什么收入，后来她想到了想让大家分享她在家乡的美丽风光风土人情，不像别的主播千方百计想博得吸引眼球做奇葩的事情，而是很写实的她的日常生活，就是做菜，做饭，打扫庭院，拍些她们家乡那些美丽风光，结果火了。在繁杂各种信息爆棚，各种各样眼花缭乱的视觉造成审美疲劳时人们常常追求的就是返璞归真。而李子柒的平淡无奇唯美朴实的乡村风土恰恰满足了这种需求，所以她成为了网红。
48481,UgxLwfeU2A0IaiF7paF4AaABAg,14,4 years ago,"love to see how she harvested the fruits and vegetables, prepare and cook those delicious meals. a must see video before i go to sleep. thank you for all the tranquil country life experiences that i may not have. happy chinese new year.",喜欢看到她如何收获水果和蔬菜，准备和烹饪那些美味的饭菜。我睡觉之前必须看视频。感谢您所没有的所有宁静的乡村生活经历。农历新年快乐。
4194,Ugy5EfiLvDIcawNyYU94AaABAg,14,1 year ago,"i admire him, he can cook, make crafts from wood, etc., the spirit continues for you",我钦佩他，他可以做饭，用木头制作工艺品等，圣灵继续为你继续
10340,UgzkPMZFkosUHteXSQ94AaABAg,14,2 years ago,"how everything is beautiful and neatly cooks, itโ€s nice to look at it. happiness to you....",一切如何美丽，整齐地烹饪，很高兴看它。祝你幸福...
22590,UgzfWPzGUnrwuZSvqfx4AaABAg,14,3 years ago,"if this is how she cook for a regular days, i cant imagine how she will prepare for a feast ๐๐๐",如果这是她常规烹饪的方式，我无法想象她将如何为盛宴做准备。
5981,UgxybAbQiw0_eFrhdIF4AaABAg,14,2 years ago,"how cool and tasty she cooks! everything is so beautiful, cute, sincere! in a word is gorgeous!",她做饭多么凉爽！一切都是如此美丽，可爱，真诚！一句话很棒！
33270,UgzYAPal7GjkZkDP3yZ4AaABAg,13,4 years ago,"the best youtube channel with great music,cinematography,beauty young girl& super talented&cooking",最好的YouTube频道，具有出色的音乐，摄影，美丽的年轻女孩和超级才华和烹饪
35030,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vE-KVVCPWt,13,4 years ago (edited),"do something then. learn how to cook, bake or make something. its not too late to start learning something. you are still quite young. you can do it. take a step forward instead of staying at the same spot. you will realise how easy it will be to go further.",然后做点什么。学习如何烹饪，烘烤或做某事。开始学习一些东西还为时不晚。你还很年轻。你能行的。向前迈出一步，而不是呆在同一地点。您将意识到进一步走得多么容易。
32494,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18y_b39qwBk5,12,3 years ago (edited),"@jewel_sapphire she said in some interviews that she used to work as a waitress and dj in the city because her family was poor. her mother passed away when she was really young so she lived with her father and her step mother. she was mistreated by her step mother so she moved to live with her grand parents when her dad passed away. yeah her grandfather was a chef and she probably learnt a lot from him but we have to agree that her cooking skills and other skills are so amazing, which she must work so hard to gain them. she's a real life princess to me because she doesn't hesitate to do anything, even the tough ones. we all know that she definitely earn a lot money from her videos but come on don't we feel relaxed and satisfied watching her videos? she's successful and she deserves it.",@jewel_sapphire她在一些采访中说，她曾经在城市里担任女服务员，因为她的家人很差。她的母亲在她真的很小的时候就去世了，所以她和父亲和继母住在一起。她的继母虐待她，所以当父亲去世时，她搬到了与祖父的父母住在一起。是的，她的祖父是一名厨师，她可能从他那里学到了很多东西，但我们必须同意她的烹饪技巧和其他技能是如此出色，她必须努力工作才能获得。她是我的现实生活公主，因为她毫不犹豫地做任何事情，甚至是艰难的人。我们都知道她肯定会从视频中赚到很多钱，但是来吧，看着她的视频，我们不感到放松和满意吗？她很成功，她应该得到。
2966,UgyNi1U8QBUJSEjJWhJ4AaABAg,12,1 year ago,"she is my inspiration for my videos! creating videos on yt is a way for me to save beautiful moments with my mom. 
liziqi cooks really well, i love everything in her video. if anyone used to make videos on yt like her, you will know how hard she did during the 10 minutes of this video.
wish we can watch more videos from her, i read some news on the internet about her recently.

but i hope she can back.","她是我视频的灵感！在YT上创建视频是我与妈妈一起度过美好时光的一种方式。
Liziqi厨师非常好，我喜欢她的视频中的所有内容。如果有人像她一样在YT上制作视频，您将知道她在此视频的10分钟内做得如何。
希望我们可以观看她的更多视频，我最近在互联网上读了一些有关她的消息。

但是我希望她能回来。"
21342,UgzWu2Hf9SF5TxFXd0t4AaABAg,12,3 years ago,these types of videos really help me put my life together. it makes me want to clean and cook regardless of the hard parts because these videos show the outcome of happiness. thank you miss for your time and effort to share your life with us. thank you,这些类型的视频确实可以帮助我融合生活。无论这些视频都显示出幸福的结果，这使我想清洁和做饭。谢谢您错过了与我们分享生活的时间和精力。谢谢
9612,UgwiUKs9CznPh4uh4AJ4AaABAg.9H1aNavRHpS9HMhCQntp0h,11,2 years ago,and when they grew up..she cooks them too,当他们长大时..她也煮了他们
30449,UgxzISqVj-0HjLQuHzd4AaABAg,11,3 years ago,"your passion for cooking and love for your grandmother warms my heart big time. 

also, the dogs and other animals around you brings the whole scenario into a beautiful level. 

keep up the good work. โค๐น๐๐","您对烹饪和对祖母的热爱使我的心温暖。

另外，您周围的狗和其他动物将整个场景带入了一个美丽的水平。

保持良好的工作。 ❤"
22718,UgwAUBTV0npH2SET8vJ4AaABAg,11,3 years ago,better than any tv cooking show,比任何电视烹饪节目都更好
37466,UgzhjWfHrOauiTWloVl4AaABAg,11,4 years ago,"i don't understand the cooking skills, i watched your video drool (ยฏ๏นยฏ)",表示不懂厨艺的我看着你的视频流口水(¯﹃¯)
