,cid,votes,含cook,含cook中文翻译
894,UgxNOT4KkfpEcUdYBct4AaABAg,191,i love the way when she finish cooking her grandmother comes out to enjoy the meal. her grandmother is a star!,当她结束祖母来享用这顿饭时，我喜欢她的道路。她的祖母是明星！
4948,Ugy1y5WjXHJu-zCvt2h4AaABAg,181,"she has an unconditional love for her grandmother, taking care of her and feeding her with healthy nutritious home cooking",她对祖母有无条件的爱，照顾她，并为她提供健康的营养家庭烹饪
3678,Ugw1ZflOso2IwRtveWd4AaABAg,147,"it looks very satisfying that everything is available in the garden or to say farm.the way of cooking ,doing things are so nice...and also gave me lots of tips",看起来所有东西都可以在花园中或说农场。烹饪方式，做事真是太好了……也给了我很多技巧
15849,UgzXqMmiTZGBoG3lg7x4AaABAg,135,"as a european, i have never had the tangent with the specific food to the area you are from, what you cook, i call healthy food, all kinds of nutrients and vitamins etc, exactly what the body needs. i really like your lifestyle, even if you do not show it all, but seeing from the big perspective you lead a healthy life, we should take an example from you. greetings from romania :)",作为欧洲人，我从来没有与您来自该地区的特定食物，您烹饪的东西，我称之为健康食品，各种营养素和维生素等，这是身体所需的。我真的很喜欢您的生活方式，即使您不展示所有的生活方式，但是从大的角度来看，您过着健康的生活，我们应该以您的榜样为例。罗马尼亚的问候:)
23135,UgyEjxiRcAoQo1Ge5NJ4AaABAg,130,honestly that big wok looks like a dream to cook with,老实说，大炒锅看起来像是一个梦的梦想
17966,Ugy9Dzd0HKEAe92QJqh4AaABAg,111,am i only one feel cooking a real chinese traditional food is complicated like alchemy. lol,我只有一个人觉得烹饪真正的中国传统食物像炼金术一样复杂。哈哈
11605,UgzotkfSEk4kAQrin2N4AaABAg,107,i just wish that she would invite me over for lunch some day! she is the master of natural foraging & cooking & always takes care of grandma! gotta love this woman....,我只希望她有一天会邀请我吃午饭！她是自然觅食和烹饪的主人，总是照顾奶奶！要爱这个女人....
29079,Ugy_rv69BA1VHfhSQsR4AaABAg,107,"hello,i'm from vietnam,my grandfather often watch your videos and he very like it. he said : "" you very beautiful and you cook very well"" .he wishes he had a peaceful life like you . love you",您好，我来自越南，我的祖父经常观看您的视频，他非常喜欢。他说：“你很漂亮，你做得很好。”他希望他过着像你一样和平的生活。爱你
9101,UgwfzJm9c_AVWwZPV694AaABAg,104,"she is a life artist, she make picking vegetable, cooking , so graceful and peaceful. present it so well. love to watch her video.",她是一位生活艺术家，她做菜，烹饪，如此优雅而宁静。很好地呈现。喜欢看她的视频。
17251,UgwmPkAZarKIjiKWsNV4AaABAg,95,"i got an ad of gordon ramsay while she was cooking, lol.",我在做饭时收到了戈登·拉姆齐（Gordon Ramsay）的广告，大声笑。
8045,UgzaqEE7JwDmLAar2id4AaABAg,88,"i admire this girl because sheโ€s at good farmer and cooking and she takes care of her grandmother very well,god bless you girl.๐‘๐‘๐‘",我很欣赏这个女孩，因为她在好农民和做饭，她很好地照顾祖母，上帝保佑你的女孩。
14259,Ugx9scXIVeGR00l-hFN4AaABAg,80,she's cooking an entire forest it seems. i like this.,她看上去正在烹饪整个森林。我喜欢这个。
7695,UgwEHsAWBrM1DUp09dN4AaABAg,77,"the real question is when shes gonna drop a cookbook! every time i watch a video, i have to leave and cook something bc everything she makes looks delicious and it makes me hungry lmao",真正的问题是她何时会放下一本食谱！每次我观看视频时，我都必须离开并烹饪一些她所做的一切看起来很美味的东西，这让我饿了
11955,UgxoRNWzR8wgtC1YyFJ4AaABAg,68,she cooking with pork in the vid. imagine her wrestling a giant hog in the middle of the forest,她用猪肉在vid中做饭。想象她在森林中间​​摔跤一只巨型猪
34683,UgzY7D87DSSlVgPicvx4AaABAg,67,even some dishes aren’t look like delicious i’m still watching. i love how she cook.,即使有些菜看起来也不是美味，我仍在看。我喜欢她做饭。
3613,UgxDrz78yz2MbmuWXKd4AaABAg,67,hello from spain: i impatiently expected a new video you are an artist cooking and doing everything i look reflected in you i also make the arrangements of the casa del campo and the animals we live in the field and we take care of our animals that feed us. keep doing videos i really like a very strong hug,来自西班牙的您好：我不耐烦地期待一个新视频，您是一名艺术家烹饪，并做我看起来很反映在您身上的一切，我也做了Casa del Campo和我们生活在田间的动物的安排，我们照顾好我们的动物我们。继续做视频，我真的很喜欢一个非常强烈的拥抱
26500,Ugxc1AA-oZMd4ChgkiR4AaABAg,66,"i like the way that you live. you and your natural surroundings are so much beautiful
the way you cook is superb.","我喜欢你的生活方式。您和您的自然环境非常美丽
您做饭的方式很棒。"
34328,Ugzp480ngxB5lnR9uxR4AaABAg,66,"that bamboo shoot we call it ""labong"" here in philippines. it's yummy when you cook it with coconut milk",我们在菲律宾这里称其为“拉邦”。当您用椰奶煮熟时，这很美味
17749,Ugx9Q2tr8-wCzJJinfZ4AaABAg,63,"she is a charm in herself man .
it feels so good to see her cook .","她是自己的魅力。
看到她的厨师真是太好了。"
4366,UgzTV687H9RI-AJwf3B4AaABAg,61,"watching her cooking while eating was so satisfying, my ordinary food become delicious because what? we shud appreciate what nature gave us to eat.",看着她吃饭时的烹饪是如此令人满意，我的普通食物变得美味，因为什么？我们欣赏大自然给我们吃的东西。
10804,Ugyl3d_LVvdGWhYXrP54AaABAg,61,"i can't not picture how tired she is at the end of the day, after doing all of that. cooking, collecting, maintaining, it's amazing! i hope she rests well.",在完成所有这些工作之后，我无法想象她在一天结束时有多累。烹饪，收集，维护，这太神奇了！我希望她安息好。
28307,UgzP_2hph4EIUadcx8N4AaABAg,54,"i don’t usually watch these videos to know how to cook things, i watch them because they make me wonder how living this type of lifestyle feels like. it’s just so interesting",我通常不会看这些视频知道如何做饭，我看了它们，因为它们让我想知道这种生活方式的感觉如何。太有趣了
14790,UgyX2fojD4McHy5R2l94AaABAg,46,"i miss this kind of life in our province.those kind of foods, the way she cooked thats how we cook our food before its a healthy living. this shows simple life in a province. peaceful and contented with what you have.",我想念我们各省的这种生活。这些食物，她烹饪的方式就是我们在健康生活之前烹饪的方式。这显示了一个省的简单生活。和平，满足于您所拥有的。
23908,UgyTYTiQ_9w46NMVZj94AaABAg,45,"last time i cooked the luosifen, my spanish roommate came out to kitchen and asked me ""what the hell are you burning? the kitchen?"" 
frankly speaking, luosifen is an super ""unique"" food which smells like shit but tastes god-damn fantastic.","上次我烹饪Luosifen时，我的西班牙室友出来厨房问我：“你到底在燃烧吗？厨房？”
坦率地说，Luosifen是一种超级“独特”的食物，闻起来像狗屎，但味道众多的美妙。"
4462,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9JpKGQS5XZo,42,"malaysian called it rebung too, and yes, we do cook it into lots of different dishes",马来西亚人也称其为重新，是的，我们确实将其煮成许多不同的菜肴
12009,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s97v7oWpIszF,42,netflix cooking shows talk their mouth off her video rarely talk,Netflix烹饪表演表达他们的嘴很少说话
25104,Ugyu100yc_UWXEErAhV4AaABAg,41,i'm hungry now ... pork with bamboo shoot is nagas (from northeast india )favorite dish . i just love your cooking,我现在饿了...猪肉和竹烟是纳迦（来自印度东北部）最喜欢的菜。我只是爱你的烹饪
2544,UgyjhZ7tnjwF50MpuiV4AaABAg,40,i want to live with her for 2 years and learn the art of her cooking. perhaps just live there forever,我想和她一起生活2年，学习她的烹饪艺术。也许永远生活在那里
32757,UgyYDVEOAlXNCukIO0R4AaABAg,40,"she is the real princess she lives in beautiful paradise she love her grandma &people around her,she loves working,harvesting,cooking and everything there and one they she will find the future prince they will life happy in peace forevr",她是她生活在美丽的天堂中的真正公主
29815,Ugy6tI93Cdbby3a36Sd4AaABAg,38,"she cook 
she sew
most importantly she can do every chore and more!","她做饭
她缝了
最重要的是，她可以做所有的琐事，还有更多！"
31520,Ugzm7QU5hMp7O0Qqlq54AaABAg,37,this sweet lil angel is always on the go be it cooking making furniture what ever she's very strong and sempley gorgeous its always a pleasure watching her,这个甜美的小天使总是在旅途中，无论是在做家具，她都很坚强和柔和的华丽，它总是很高兴看着她
24309,UgzWV8Kebc2ioChmuOt4AaABAg,33,all the ingredients she cooked were found in her backyard. what an amazing video. just come accross in video while searching for recipe to cook.,她煮熟的所有成分都是在她的后院发现的。多么了不起的视频。搜索烹饪食谱时，只需在视频中加入即可。
8209,Ugwi18Z3V3i04kFFVG54AaABAg,33,"i love cooking n this video is wonderful, everything scene is traditional or very old skool .perfect film",我喜欢烹饪n这个视频很棒，所有场景都是传统的或非常古老的。完美的电影
15267,UgyyJiBCNse3kz4IN7Z4AaABAg,32,"rather than paying to eat one of her meals, i would love to learn about the plants and how to cook them",我不想付钱吃她的一顿饭，而是想了解植物以及如何烹饪植物
6063,UgyWRUCvUkUaO3UtSst4AaABAg,31,this girl is cooking a lot of yummies for just two persons.,这个女孩只为两个人烹饪很多美味。
6848,UgwP4EfFH11BqGKz1mZ4AaABAg,29,can u imagine the yummy smells when she's cooking ๐,你能想象她在做饭时闻起来很香
27336,Ugy98sOwqzBFNiI1K014AaABAg,28,"hello i'm from indonesia, and l like your content because its very traditional and look so beautiful flores, your very creatif and smart women and then my hobby is cooking and eat hehe so i very like your cooking with fresh vegetable and fruit 
i wish i had vegetable and fruit plants in my house too","您好，我来自印度尼西亚，我喜欢您的内容，因为它非常传统，看起来很漂亮，您非常有创造力和聪明的女人，然后我的爱好是烹饪和吃饭，所以我非常喜欢您用新鲜的蔬菜和水果
我希望我家里也有蔬菜和水果植物"
31075,UgySDT8GBH6dMKvNr8h4AaABAg,26,my god she s playing with nature and doing cooking like a game...keep going sister..with love from india..,我的天哪，她与大自然一起玩耍，像游戏一样做饭...继续姐妹。
12998,Ugw9aYFo_Rzsb57Ca214AaABAg,26,"she is so good at cooking and rich of vegetable at their backyards,most of all she is so beautifull",她是如此擅长烹饪，在他们的后院里有丰富的蔬菜，最重要的是她是如此美丽
2981,Ugwem1gt5OrJqKkK8VB4AaABAg,26,"what's good about her, in her vedios, she cooked what she planted. everything is in her yard, so amazing!",在她的Vedios中，她对她有什么好处，她煮熟了自己的种植。一切都在她的院子里，真是太神奇了！
2659,Ugw6yTwn-CyeZ2Ba1nh4AaABAg,25,"i didn’t even know bamboo was edible! wow! 
i love watching her cook what is grown on their farm, everything is totally fresh and organic and probably tastes fantastic!","我什至不知道竹子是可食用的！哇！
我喜欢看着她的农场上种植的东西，一切都是新鲜和有机的，可能会很棒！"
16352,Ugz-PxPeXDViQ__23cl4AaABAg.92w9T32MS-2931-cj6qM1j,25,"it’s even more amazing how she knows almost everything! her cooking recipes are so complicated and different too every time! not to mention her knowledge in farming, crafting, sewing, etc. real life harvest moon protagonist, lol.",她几乎知道一切都更加了！她的烹饪食谱每次都如此复杂和不同！更不用说她在耕作，制作，缝纫等方面的知识。现实生活收获月亮主角大声笑。
7193,Ugw6c8ou52hZMJ-GrSh4AaABAg,24,"(if there is nothing to cook at home?)
other people: now i have to go to the market ๐•๐.
liziqi: now i have to go to the garden ๐.","（如果家里没有什么可做饭？）
其他人：现在我必须去市场。
Liziqi：现在我必须去花园。"
26758,UgxV4FnquLweO_BNs-14AaABAg,24,"you're really good at cooking.
i really envy you for living in nature.
i don't have much credit.
i've seen","你真的很擅长做饭。
我真的很羡慕你生活在大自然中。
我没有太多的荣誉。
我见过"
1139,UgzWZ2BTR2Ry40Eq34p4AaABAg,23,"she has got so much talent, can make everything, cook everything. god bless you. it is so satisfying to see your chores",她拥有如此多的才华，可以做到一切，煮一切。上帝祝福你。看到你的琐事真是令人满意
5303,UgwCHlB6Tjwmuzk0A_t4AaABAg,23,its just so satisfying watching her cook! i mean everything's neat and clean...,看着她的厨师真是令人满意！我的意思是一切都整洁而干净...
19631,UgyCM32NPZgMZ4anZ_l4AaABAg,22,"can i just borrow her brains, skills and attitude to build everything i can think of and cook all the things i want to eat please",我可以借用她的大脑，技能和态度来建立我能想到的一切，并烹饪我想吃的所有东西
3882,UgyNvAHnGVe7REAiXv14AaABAg,21,"conches: chilling

a few seconds later:

li: dumps them in a cooking pan","海螺：冷藏

几秒钟后：

李：将它们倒在烹饪锅中"
28214,UgzvUXzlx4Hpc_AfBAB4AaABAg.8yZtNJOZ_7p8ycoEM0-hO6,20,"when she first started, she did every single thing...from preparing the engredients, cooking, to filming and even editing. now, she has a couple of assitants doing everything with her.",当她刚开始时，她做了每一件事...从准备插入，烹饪，拍摄甚至编辑。现在，她有几个助理，与她一起做所有事情。
11109,UgyU5DcrSTwyHceU6Ax4AaABAg,19,"her place,just like a real life ""paradise""..she's so talented,esp.in cooking,.fruits organic and,veggies.",她的位置就像现实生活中的“天堂”。她是如此有才华，尤其是在烹饪中，有机和蔬菜。
27120,UgxQN5MtvnJ0GDjkW5V4AaABAg,18,we north eastern part of india eat the same as she eats so lovely to see her cook so gracefully ❤❤,我们印度东北部的吃和她吃的东西一样可爱，以至于看到她的厨师如此优雅地吃❤❤
2366,UgydjI962gS1QDC0BVt4AaABAg,18,"you're so hardworking and beautiful, i love the simplicity. also you're a great cook, i would really like to learn some of your recipes",您是如此的努力和美丽，我喜欢简单性。另外，您是一个很棒的厨师，我真的很想学习您的一些食谱
1274,UgyH3nU0RVYslOlnZp54AaABAg,18,that important a life where so many food resources is obtained thanks to the work of a woman who lives in harmony with nature. it is also an excellent cook.,由于一位与自然和谐相处的妇女的工作，获得了如此多的食物资源的重要生活。这也是一位出色的厨师。
3319,UgwTcx_ve8VU48SdRD54AaABAg,17,what do i say that the talk is unable to describe this content. the beauty of nature and the benefit of the goodness of the earth and the beauty of photography and directing. and the same cooking is something,我怎么说谈话无法描述此内容。大自然的美丽以及地球善良的利益以及摄影和导演的美丽。而且同样的烹饪也是
1369,UgxlWq2fCgYVeYVUDXV4AaABAg,17,she has an unconditional love for her grandmother takin care of her and feeding her with healthy nutritiond home cooking,她对祖母的塔克（Takin）对她的照顾有无条件的爱，并为她提供健康的Nutritiond家庭烹饪
10716,UgxwowmwWlWvlnmk47V4AaABAg,17,"i like her video especially how the way she cook that especial recipe, i'm her biggest fan... go liz",我喜欢她的视频，尤其是她如何烹饪特别的食谱的方式，我是她最大的粉丝...去Liz
8378,Ugw3U6xghZ0xT9Re6LV4AaABAg,17,"100% organic food, sourced locally, what could be more satisfying! but she must spend a lot of time preparing food & cooking! which must also be satisfying for her.",100％有机食品，本地采购，可能会更令人满意！但是她必须花费大量时间准备食物和烹饪！这也必须让她满意。
25843,UgyyRYO-d4a-dm-sMKN4AaABAg,15,"zi yan is really good at cooking, depending on your ingredients can be so delicious, you want to eat",子柒真的好会料理，看你每一样食材都可以做到如此美味，看的都想食
8096,UgwlfskWSjrMDsi5bBx4AaABAg,15,"in my country ๐ฒ๐พ we called this type of cooking or foods 'kampong style',...soooooo delicious๐",在我的国家 /
25915,UgxDDqbewBEVqPFraQl4AaABAg,15,"iam a pure vegetarian.
i dont like non vegetarian food but i like to watch her cooking style","我是纯素食主义者。
我不喜欢非素食，但我喜欢看她的烹饪风格"
16426,UgzXBeip5ph5HSUetoZ4AaABAg.92vfD7GVZ6M92zdBMh7mhg,14,"@josealmeida5768 't have time to cook, and the house is dirty, but the reason is they don't leave the cellphone for 1 minute...",@josealmeida5768
26502,UgytErOgdbBnoJT8Lc14AaABAg,14,it would be fascinating to see her and gordon ramsey cooking together,看到她和戈登·拉姆齐一起烹饪，这真是令人着迷
20449,UgyOxXJszmzjRywfQg54AaABAg,13,what an incredible mother earth which gives everything for our survival.... what else we need ... still in the name of technology we destroying our planet.... super likes from india..for this angel girl...and for her cooking varieties...,多么令人难以置信的地球母亲为​​我们的生存提供一切。...我们还需要什么...仍然以技术的名义摧毁了我们的星球。因为她的烹饪品种...
26730,UgzSCo0VkWxvthGn8Kx4AaABAg,13,i just found your channel. it's hard to find in south korea. it's so exciting. i joined your channel. i am a cooking youtuber. would you come and see me?,我刚找到你的频道。在韩国很难找到。它是如此令人兴奋。我加入了你的频道。我是一个烹饪YouTuber。你会来看我吗？
7351,UgxWxP04w_ntPta5Djp4AaABAg,13,"heyy !! just to let you know she also sell products too !!



one of my favorite is her sauces because it reminds me of my mom's cooking hehe 






have a nice day !!","嘿！只是为了让您知道她也出售产品！！



我最喜欢的是她的调味料，因为它使我想起了妈妈的烹饪






祝你今天过得愉快 ！！"
25300,Ugw_NsA30uhDT7X19k94AaABAg,13,"she cooks so much, there are only 2 people. i'll take the left-over. thankx!",她做得很好，只有2个人。我要左转。谢谢！
18786,UgxEZJTVPbRNTYHExGd4AaABAg,13,only two people cook this much? must a lot left over? may i join?,只有两个人煮这么多？必须剩下很多吗？我可以加入吗？
33305,Ugx5gjMlXyAci7wZBmR4AaABAg.8yUctLSaRRC8yUnWsXf3cR,13,"it doesn't help that if she starts a video picking berries that she could be cooking with it or dying something with it. then just to keep this confusing both use the same tools and she keeps eating the berries. 


magic 8 ball miss liziqi is picking berries what does this episode hold for us? looks at the answer your guess is as good as mine.","如果她开始挑选浆果的视频，她可以用它做饭或用它来死去，这无济于事。然后，只是为了使这两种工具保持相同的工具，她一直在吃浆果。


Magic 8 Ball Liziqi小姐正在挑选浆果这一集对我们有什么影响？看看答案，您的猜测和我的猜测一样好。"
11097,UgwFBvWUt-BC74PMeiJ4AaABAg,13,"i really loved all your videos! being indonesian we have similar culture, work ethic and the love of cooking. thank you so very much far sharing it with us!",我真的很喜欢您的所有视频！作为印尼人，我们具有相似的文化，职业道德和对烹饪的热爱。非常感谢您与我们分享！
30145,UgxcR0cfNA_mJodNPG94AaABAg,13,"i wud just keep on luking her cook.. d beautiful garden she has, d music, d forest, river everything is so devine..",我只是继续卢克（Luk）厨师。
26168,UgwVEbvvq2a4zpZTHOV4AaABAg,12,liziqi? do you have a girlfriend? volunteering myself to live with you and cook,liziqi？你有女朋友吗？自愿与您同住并做饭
20274,UgxEAL69eQnciWfKj9N4AaABAg,12,whenever i see her cooking.. i feel hungry even if i had eaten just few minutes before watching..,每当我看到她做饭时。
9446,Ugyn-eR8_uZytfC_fVV4AaABAg,12,"in our culture meranao, we call that dabong! and everytime we cook that we sometimes put sardines on it and spices and believe me or not it is verrrrry delicious!!",在我们的文化梅拉诺（Meranao）中，我们称之为dabong！每当我们做饭时，我们有时会在上面放沙丁鱼和香料，并且不相信我，这是美味的！
28089,UgzQcs09dVWjTG4QDBF4AaABAg,12,"there is a state called nagaland in the north eastern part of india, and we also cook like you do, the bamboo shoot, the eatable snails its omg!! just the way you brush it clean and cooking it with pork!!!",印度东北部有一个名为Nagaland的州，我们也像您一样做饭，竹枪，可食用的蜗牛是它的OMG！就是您刷干净并用猪肉烹饪的方式！！！
10655,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU7993jSt_c0nn,12,"below your comment, this guy @马xe, is one of those who doubt ziqi's videos' reality and firmly believe she has a large group of ppl who help her and train her do all those stuffs. he's one of those haters. i don't know why do they have to say words like this. maybe they are just so jealous. ziqi has pushed another video to explain how did she shot, edit videos and of course farm and cook nearly all by herself(https://www.youtube.com/watch?v=ovoslq-aep8). i just want to remind each ppl with kind heart who watch ziqi's videos. just don't believe every single word of those haters. i was a photographer, i know some techniques of shooting. i can notice some flaws in her video just as she mentioned in the link above, however i choose to ignore them because the entire video is soooo perfect. if she had a group of professional ppl who help her, those mistakes would never happen....definitely.",在您的评论下，这个家伙 @马XE是怀疑Ziqi视频的现实的人之一，坚信她有一大批PPL，可以帮助她并训练她做所有这些事情。他是那些仇恨者之一。我不知道为什么他们必须说这样的话。也许他们真嫉妒。 Ziqi推出了另一个视频，以解释她如何拍摄，编辑视频和当然的农场，并几乎独自烹饪（https://www.youtube.com/watch?v=ovoslq-aep8）。我只想提醒每个PPL，善良的心观看了Ziqi的视频。只是不要相信那些仇恨者的每个单词。我是摄影师，我知道一些射击技术。就像她在上面链接中提到的那样，我可以在她的视频中注意到一些缺陷，但是我选择忽略它们，因为整个视频非常完美。如果她有一群专业人士帮助她，那么这些错误就永远不会发生。
16949,UgwGfQu-FPHh_oVQugZ4AaABAg,12,i love to see how she shares with her grandma all the thigs that she cooks,我喜欢看到她如何与祖母分享她做饭的所有thigs
7965,UgyEYMEHo3G6XVeajGt4AaABAg,12,"the appearance of women's cooking is very beautiful
i thought it was beautiful โ•ฐ (*ยด๏ธถ`*) โ•ฏ","妇女烹饪的外观非常漂亮
我以为这很漂亮╰（*´︶`*）╯"
10905,UgyrqNFUsCUI5_HcrwF4AaABAg,11,"this is the first time i’m watching this! besides her cooking ,the camera work is just so perfect",这是我第一次看这个！除了她的烹饪外，相机的作品是如此完美
33474,UgyMciXaKAAAvdoCy9F4AaABAg,11,"i love the way she cooks, it’s just so peaceful and mesmerising and it also reminds me of the olden days.",我喜欢她做饭的方式，它是如此的和平与迷人，也让我想起了过去的时代。
14909,UgxdzDDvqWYvCwMjbWB4AaABAg.93npIg-2HwZ94FgN50icCj,10,"cause maybe her grandma told her about everything how to cook, fetch vegetables, etc when she was young",因为她年轻时也许她的奶奶告诉了她一切如何做饭，取蔬菜等
