,cid,votes,time,含hope,含hope中文翻译
29114,UgyrqQ2CYFCYTsyST2d4AaABAg,3,3 years ago,yes... thank you liziqi..may god bless you and your grandma.. hope you and your grandma in good health and happy always.,是的...谢谢Liziqi ..愿上帝保佑您和您的奶奶..希望您和您的祖母永远健康和快乐。
3102,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9ZUm5Jh_zMx,3,1 year ago,"this is my dream life! im in canada right now, and my dream would be to asap buy a big portion of land, so i can then go and with the money i am investing right now as a child, with my father, i hope its enough for me to start this. i already have plenty of ideas and watched a lot of videos of people like etienne levesque, who has a aquatonic greenhouse that works really well, even in the cold winters of quebec. im engaged in this, and im already learning my survival instincts as a chef corporal in cadet army. i dont know if i want to have an educaation to be a doctor, or to have and education about greenhouses and such. with my cadet background, i could join the army for a bit, or have a doctorate and be a family doctor, but in the army. with that, i have money, survival instincts and a plan b if anything goes wrong. a passion of mine is cooking and piano, so learning to cook is perfect for having a huge farm like this. i want for me and my family to live in one of those huge house for generations to live in, and my dad would love to help us with all the technologie. my dream would to use mash the ways of my ancestors and the technologie we have now. my dad can help me build the greenhouse and my grandpa too, be grandpa was an architect and my dad is a engineer but in computers. if we use the technologie and the modern world in farming and other stuff like this, and not like we did with machines and stuff. like the futuristic solar boards that capt the sun energy ( english is not my first language sorry haha). what im trying to say, you can see what im talking about by googling : futuristic greenhouse . this is what technology should be used for! i know it may be a really big dream, but i am ambitious and i know that my dreams wont come true unless i start making actions about it. if this comes true, i dont even have the words to say how happy i would be.",这是我的梦想生活！我现在在加拿大，我的梦想是尽快买大部分土地，这样我就可以去，然后用我小时候投资的钱，与父亲一起，我希望它足以让我开始这。我已经有很多想法，并且观看了许多像伊蒂安·莱维斯（Etienne Levesque）这样的人的视频，他的水上园林温室甚至在魁北克寒冷的冬季都非常有效。我从事这一点，我已经在学习我的生存本能，是学员军队中的厨师下士。我不知道我是否想接受教育作为医生，还是要接受有关温室等的教育。在我的学员背景下，我可以加入军队，或者拥有博士学位并成为家庭医生，但在军队中。这样，如果有什么问题，我有钱，生存的本能和计划B。我的热情是烹饪和钢琴，因此学习做饭非常适合拥有这样的巨大农场。我希望我和我的家人住在那些巨大的房子中，供几代人居住，我父亲很想帮助我们所有的技术。我的梦想将使用我的祖先和我们现在拥有的技术的方式。我父亲可以帮助我建造温室，而我的爷爷也是爷爷是一名建筑师，而我父亲是工程师，但在计算机中。如果我们在农业和其他类似的东西中使用技术和现代世界，而不是像机器和东西一样。就像太阳能上尉的未来派太阳能板一样（英语不是我的第一语言，对不起哈哈）。我想说的是，您可以看到我在说什么通过谷歌搜索：未来派温室。这是应该使用的技术！我知道这可能是一个非常大的梦想，但我雄心勃勃，我知道我的梦想不会实现，除非我开始采取行动。如果这是真的，我什至没有话可以说我会多么高兴。
1033,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9imPxEoDqW1,3,6 months ago,"@rainbrayanpasenio9079 an internet marketing company lied to her and signed her a very bad contract, and she has been fighting a lawsuit to get back her own name rights. because the name liziqi was registered by that company as a brand to make money, but she has no right to the dividend. and she's not married. google translate hope you understand.",@rainbrayanpasenio9079一家互联网营销公司对她撒谎，并签署了一份非常糟糕的合同，她一直在努力夺回自己的名字权利。因为Liziqi这个名字是该公司注册为赚钱的品牌，但她无权获得股息。她还没有结婚。 Google翻译希望您能理解。
34069,Ugw3Y36oc9jBP9-VneV4AaABAg,3,3 years ago,"i love her work very much, i hope you will read my comment if you know arabic",我非常喜欢她的作品，希望如果您知道阿拉伯语，您会读我的评论
30883,UgyUyuaqoPurlHDxo_N4AaABAg,3,3 years ago,"we love love love, all the different things you do, the way you take care of your grandma and your beautiful ranch. we hope to meet you one day! much love from texas. may god continue to bless you and your family!!!",我们爱爱爱，您所做的所有不同的事情，照顾奶奶和美丽的牧场的方式。我们希望有一天见到你！得克萨斯州的爱。愿上帝继续祝福你和你的家人！！！
5930,Ugxbo9UV7tJZLo3Ydc14AaABAg,3,2 years ago,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
22496,UgwqGhI4f5pSLMt_EfF4AaABAg,3,3 years ago,"seeing her be happy with her grandma...
makes me happy :')
hope my grandma is still healthy and happy, miss you grandma!","看到她对祖母感到满意...
让我开心 ：'）
希望我的祖母仍然健康快乐，想念你奶奶！"
32515,UgxhD_D9UwIGA4yav1R4AaABAg,3,3 years ago,"she is perfect, i hope she adopts me!",她很完美，我希望她收养我！
20641,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE913ffVhocuG,2,3 years ago,"jacky phantom i am speechless. know part of a country's history and attack people from there for that reason because it has to be their fault! you, wherever you are from, please stop insulting your origin by talking to me like that. i had no ill intentions replying to you in the first place, but i don't like how you brought our conversation to this end. what does this piece of information has to do with what i said or what ziqi posted? this is not somewhere you want to brag about you newly-learned knowledge towards someone's homeland and come up showing off with them because it gets personal. many ethnic minorities are not driven out, but the people choose to convert because that fits the modern lifestyle better. plus, many southern ethnic minorities are getting awareness from the government and given protection by helping them booming tourism so that they can make a living withholding their traditions and customs. on the other hand, the u.s. undoubtedly invaded the indigenous people on n.a. and hawaii islands, and try talk to americans with that piece of information and see if they would think you so genius or the other way around. if you happen to be american, perfect, seems like my country isn't hardly as bad as yours speaking of invading, oh no, killing, indigenous people, let alone the culture. i know that i won't be able to overturn your negativity towards china and i don't want to leave you even more downside impressions on us, but i sincerely hope that you would one day drop that bias and look slightly more into the positive side -- because every country is more than what you can read in the media.",Jacky Phantom我无语。知道一个国家历史的一部分，并因此从那里攻击人们，因为这必须是他们的错！无论您来自哪里，请不要再与我交谈，不要再侮辱您的来源。首先，我对您没有任何不良意图，但是我不喜欢您将我们的谈话带到这一目标。这条信息与我所说的内容或Ziqi发布的内容有什么关系？这不是您想吹牛的地方，因为您是个人的，因为它是个人的，因此对某人的家园进行了新的知识并与他们一起炫耀。许多少数民族并没有被驱逐出境，但是人们选择convert依，因为这更适合现代生活方式。另外，许多南部少数民族正在从政府中获得认识，并通过帮助他们蓬勃发展的旅游业来保护他们，以便他们可以谋生自己的传统和习俗。另一方面，美国无疑入侵了北卡罗来纳州和夏威夷群岛的土著人民，并尝试用这片信息与美国人交谈，看看他们是否会认为您是如此天才或相反的方式。如果您碰巧是美国人，那么完美，看来我的国家并不像您说入侵的人那样糟糕，哦，不，杀人，土著人，更不用说文化了。我知道我将无法推翻您对中国的消极情绪，我不想让您对我们有更多的下行印象，但我真诚地希望您有一天会放弃这种偏见，并使您更加偏向积极方面 - 因为每个国家都比您在媒体上阅读的内容还要多。
4204,Ugz0fOYcp3pdjVTAsdt4AaABAg.9KRqwc8P-PW9KepoG7fAAd,2,2 years ago,"greetings from the motherland, i hope you and your family are all good, often go home and see ~~",来自祖国的问候，希望你和你家人一切安好，常回家看看 ~~
25690,UgxxWSJiwNrv5wPbMnl4AaABAg,2,3 years ago,"hello, li ziqi, how do you do in china? i hope so! i am your fan, you are a master of beauty and talent, a master of princess and art life. congratulations to you have learned a lot of inspiring videos from us, i really want to see your motherland",你好，李子琪，你在中国做得怎么样？我希望如此！我是你的粉丝你是美丽聪明才华，公主和艺术生活的大师。恭喜你从我们那里学到很多鼓舞人心的视频，我很想看到你们的祖国
32435,Ugzmd-7nOEEY95rUZkx4AaABAg,2,3 years ago,"i live in the head of changjiang, and i live in the end of the yangtze river. drinking the yangtze river water in the same day, i don't see the monarch.
when is this water rest, when does this hate already? i only hope that jun's heart is like my heart, and it will be likely.","我住长江头，君住长江尾。 日日思君不见君，共饮长江水。
此水几时休，此恨何时已。只愿君心似我心，定不负相思意。"
11925,UgxOPdfkgxROJLP3RcJ4AaABAg.976j6BZrFRh97VsgWuHCRx,2,3 years ago,"@eyangshuo hahaha, for young me, good educational resources and growth environment are indeed worthy of envy for predecessors. however, i hope that when i get old, i can live such a life away from the hustle and bustle. probably the idea of ​​most people haha ​​haha",@eyangshuo 哈哈哈，对于年轻的我来说，好的教育资源和成长环境的确值得前辈们羡慕。不过，我希望我老了后能过这样远离喧嚣的生活๑乛◡乛๑。大概也是大多数人的想法吧哈哈
12881,UgywtqAtIXIl7vJP1FB4AaABAg,2,3 years ago,these videos cure my depression i hope she and grandma are safe during corna virus,这些视频可以治愈我的抑郁症，希望她和奶奶在Corna病毒期间安全
34732,UgwEvpOvh9kcPGJ57Mh4AaABAg.8yUTBPbwiQ98yUYYS9NFl3,2,3 years ago,hope asmr totally agrees with you,希望ASMR完全同意您的看法
144,UgzZOnu68sFynRTPH6t4AaABAg.9pl9wCObeeu9q4uA6Zm012,2,3 weeks ago,@kaifushkulsoom6068 i hope too,@kaifushkulsoom6068我也希望
20296,UgxqoXYH-noKYM0jKZF4AaABAg,2,3 years ago,"very good, i hope to keep the original intention and continue to cheer",很不错 希望保持初心 继续加油
186,UgzmkCfDuI_5hilY8wp4AaABAg,2,1 month ago,i hope you will come back soon.,希望您能尽快回来。
259,Ugy5Gk5EiZAxqOsU2it4AaABAg,2,2 months ago,kangen liziqi .. i hope you can immediately comeback,Kangen Liziqi ..希望您能立即卷土重来
19990,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq95Xghtdkcdz,2,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
21067,UgzX2pZUoIR8Vmkx1Kd4AaABAg,2,3 years ago,i hope when i am a grandmother i will eat this well.,我希望当我是祖母时，我会吃得很好。
14469,UgwC1BG8OG690PtX4iB4AaABAg.94C3z5UoImQ95XgKXFGVLj,2,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
5947,UgxBZlK643skj4gvMxZ4AaABAg,2,2 years ago,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
10099,Ugx2Vh8UBoQsUBoyJJN4AaABAg,2,3 years ago,"hi, i'm alex, i am sick and i don't go to work, so i decided to create a youtube channel. i know i am not good at providing content, but i hope to get your support subscription channel, thank you",嗨，我是亚历克斯 我生病了并且不上班，所以我决定创建一个YouTube频道 我知道我也不擅长提供内容，但我希望得到您的支持 订阅频道，谢谢
14568,UgzGJkA1_05JZiiafKl4AaABAg.947wSBzYSTb94l2pYWQQeP,2,3 years ago,"tala taptap please dont try pushing your beliefs on other people. believe what you want, but please don't try discouraging other peoples beliefs just because it isn't your own. its really nice to know that you are loyal to your own beliefs though. i hope you have a nice day or night.",Tala Taptap请不要尝试将您的信念推向其他人。相信您想要的东西，但请不要只是因为这不是您自己的信念而劝阻其他人的信念。不过，很高兴知道您忠于自己的信念。希望您有一天或晚上愉快。
15409,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss98XaaFmAZ6B,2,3 years ago (edited),"strait arrow it’s a ‘propaganda’ if you wish it. it’s also a high-value production , staged ( for ken rascon) piece of entertainment that teaches simple and good value ( i.e. respect and love for your grandma) if you wish it. no one dies in make this well crafted film. all ( including messieurs arrow and rascon i suspect and hope) are entertained watching this in the time of a pandemic. so i decide to ‘wish’ the latter in this instance.",海峡箭头，如果您愿意，这是一个“宣传”。这也是一部高价值的作品，为肯·拉斯康（Ken Rascon）演出，如果您愿意的话，它教授简单而良好的价值（即尊重和对祖母的爱）。没有人死于制作精良的电影。在大流行时期，所有人（包括Messieurs Arrow和Rascon）都很有趣。因此，我决定在这种情况下“希望”后者。
23041,Ugyjqcg4IWS3VMICfIZ4AaABAg.8zryAjA2w8i8zyHQII0bTv,1,3 years ago,"@li6135 i don’t know if you are over the wall or abroad. you hope that someone else is a bad thing for your good words. if it is good, close your mouth",@li6135 我不知道你是不是翻墙的还是在国外，你希望别的人说你国家的好话还是坏话，如果是好话就闭上你的嘴吧
