,cid,votes,time,含hope,含hope中文翻译
49559,UgyiFZ029RrZn7E5VS14AaABAg,72,4 years ago,"when i was young in taiwan, when the popcorn was popcorn in the neighborhood, a group of our children also looked around the lively. there was a loud noise, and then i immediately gathered. in the place where ziyi lives, the small business of people like happiness continues to exist, i hope it will live forever!","小时候在台湾, 爆米花的在街坊爆米花时, 我们一群孩子也是绕着看热闹, 一声巨响大家一哄而散, 之后又立刻群聚围看, 闻香看米花, 童年美好的记忆! 如今在子柒住的地方, 开心这样的民间小生意还继续存在着, 希望它永存!"
15936,Ugy8Uw6Od4_Wr7nvFkR4AaABAg,58,3 years ago,"i don't understand why there are 25,000 people who don't like this video. such an excellent work is really beautiful. i hope li ziyi's life will continue to be so beautiful.",我不懂为什么会有2万5千人不喜欢这个视频。这么优秀的作品真是太美了，希望李子柒的生活继续这么美好。
14512,UgyJkhMiaXH04REetKp4AaABAg,55,2 years ago,"girl zi, you are great! your video is exquisite and real, which inspires my memories as the chinese. for thousands of years, our ancestors have been diligent and capable like you, and they are working hard, sunrise, and chunhua qiu shi ... i hope that the chinese can return to the original origin of life. one day, oriental civilization returns.",子柒姑娘，你太棒了! 你的视频精致而又真实，激发了我作为中国人的回忆。几千年来，我们的祖祖辈辈就是象你这样勤劳、能干，日出而作，春华秋实…… 希望中国人能回归生活的本原，有朝一日，东方文明回归。
15201,UgwxvvlC8iCJ3jI9XWJ4AaABAg,54,3 years ago (edited),"zi yan's video makes me full of hope for life. no matter what kind of life turning i face now and in the future, i will be brave to face it! although the new crown epidemic has an unpredictable impact on my life, i firmly believe that everything will get better and better. covid19 hit our company extremely bad, there are lots of unitedrtainty in my life, but semes, better career and fullfillment in life. god bless everyone","子柒的视频让我对人生充满了希望， 无论现在和将来面临什么样的人生转折，我都会勇于面对！ 虽然新冠疫情对我的人生有无法预测的冲击， 我都坚信一切会越来越好. COVID19 hit our company extremely bad, there are lots of uncertainty in my life, but I’ll be very strong to fight for a better career and fulfillment in life. GOD bless everyone"
16845,Ugye3sesHYiU8p75_dd4AaABAg,50,3 years ago (edited),"this life is commendable for innumerable reasons. it is self-sustainable (which is something we can only wish we had), there are healthy and nutritious food options provided by nature's bounty, there is little to no need of harmful chemical-based products, and more importantly all the members of the ecosystem are benefitted. i hope people realize just how wonderful living like this is.",由于无数的原因，这一生活值得称赞。它是自我维持的（这是我们只希望拥有的东西），有自然的赏金提供的健康且营养的食物选择，几乎不需要有害化学物质的产品，更重要的是所有成员生态系统受益。我希望人们意识到这样的生活多么美好。
16361,UgzBycKSOu7vNkvnqgJ4AaABAg,48,3 years ago,"imma speak chinese for ya
hi, i am talking about chinese, yes, i am using google to translate and laugh loudly, and your video is also fascinating. i hope you don’t exit youtube. please make videos for us every day.","Imma speak Chinese for ya
嗨，我是说中文，是的，我正在使用Google翻译大声笑，您的视频也很引人入胜，我希望您不要退出YouTube，请每天为我们制作视频"
773,UgwuETGeOfnM1Irr1Hl4AaABAg,43,5 months ago,"i hope you will come back soon, i have watched a lot of your videos, don't miss a video, we miss you",希望您能尽快回来，我看过很多视频，不要错过视频，我们想念您
46857,UgxyHdNFG8GxD0TWdWJ4AaABAg,43,4 years ago,"bless the chinese new year of the world. the new year this year can not return to china because of the exam. ziyi and i came from the same place. when i saw her video, i thought of her grandma, because ziyi did something that many sichuan women would do, passed down from generation to generation. unfortunately, many people in the mother are unwilling to learn. they are very happy to see that young people inherit these things. in addition, i will make most of the dishes she will make. it is also what grandma taught me before i went abroad. i was afraid that i could not eat the taste of my hometown outside. i hope that young people can take the initiative to inherit the traditional culture of our chinese nation ~ i hope to graduate soon and return to sichuan as soon as possible.",祝福全球华人新年快乐。今年过年因为要考试没办法回国啦。我和子柒来自同一个地方，看到她的视频就想起了自己的奶奶，因为子柒做的就是很多四川女人会做的东西，代代相传。可惜到了妈妈辈很多人都不愿意学习了，很开心看到还有年轻人传承这些东西。另外，她做的菜我会做大半部分，也是奶奶在我出国之前教我的，怕我在外面吃不到家乡的味道。希望年轻人都能主动传承发扬我们的中华民族的传统文化吧~ 希望早日毕业，早日回到四川。
446,UgzmRKNOgAD9sE9Bpd14AaABAg,42,3 months ago,i really miss the new videos and constantly review the old ones. never tired of it!) i really hope that lee and her grandmother are fine!,我真的很想念新视频，并不断地评论旧视频。永远不要厌倦！）我真的希望李和她的祖母很好！
50636,UgxL-kG-pFDEm8qdyyt4AaABAg,39,4 years ago,"thanks to all videos that i have learned to live in different ways, understand nature, love it, respect it, and enjoy my silence moment. may the universe full of your blessings.
i am a work from bolivia -south america. i hope to share some photos of my place where i live with you.","感谢所有我学会以不同方式生活的视频，要了解自然，去爱它，尊重它，享受我的沉默时刻。愿宇宙充满你的祝福。 
我是来自玻利维亚 - 南美洲的作品，我希望与大家分享一些我住的地方的照片。"
16041,UgyGOpgYzsE4GCACBhB4AaABAg,38,3 years ago,24k dislikes? there are so many evil people in this world. hope they find peace and happiness in life.,24k不喜欢？这个世界上有很多邪恶的人。希望他们在生活中找到和平与幸福。
778,UgyVM28pFScKbats7P14AaABAg,35,5 months ago,waiting for your videos.. come back soon.. hope you are doing well..,等待您的视频..尽快回来..希望您一切都好..
29506,UgwfErjz-wPj1YiSNwJ4AaABAg,35,3 years ago,"you are awesome and your village is world's best place to live, hope i was there forever...",您很棒，您的村庄是世界上最好的生活场所，希望我永远在那里...
32173,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx8w2Gt1qED_U,31,4 years ago,hope you the best!,希望你一切顺利！
1379,UgwheFCk5eC3P6aHXml4AaABAg,27,10 months ago,the number and playback volume of this fan is too strong. i hope that the dispute will be resolved as soon as possible,这粉丝数和播放量太强了 希望早日解决纠纷继续更新
23453,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92Q88Gm8euL,26,3 years ago,"so i hope china is still around the wall, otherwise there are some fools to spray again. since going abroad, some people have really been unable to describe in china. it is really a good thing to give foreigners such an impression, let them understand the cultural traditions and scenery of china.",所以我希望中国还是一直墙着吧，不然有一些傻子又要喷了。自从出国以后越发觉得国内有一些人真的无法形容。能给外国人一个这样的印象真的是好事，让他们了解中国的文化传统，风景。
26247,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zt2WZQKTsz,26,3 years ago,living in a cleaner environment has helped me a ton. i hope you keep cleaning โค๏ธ,生活在更干净的环境中有助于我一吨。我希望你继续清洁❤️
14505,UgwcbymnYMKqZHvQGp14AaABAg,26,2 years ago,"this video has been watched many times, and today i found out that the number of clicks exceeded 60 million! this can only be done by ziyi. admire, move, admire. i hope she will last!",此视频已经看了许多遍，今天才发现点击人数超过了六千万!这只有子柒才能做到。佩服，感动，赞叹。希望她盛况长存！
52310,UgxNkvEez1G1DIlPjZ94AaABAg,26,4 years ago,10 minutes ..... ziyi rarely has such a long film. this issue can be really enjoyable! ... i hope the future films can be longer .. otherwise,10分钟.....子柒很少有时间这么长的影片.这期看得真过瘾!...希望以后的影片也都能加长些..不然总是意犹未尽❤❤❤
27189,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zYEyAklC6G,24,3 years ago,i have a chinese friend and her mother is also like that btw i hope li zizqis happy right now,我有一个中国朋友，她的母亲也像这样，我希望李Zizqis现在快乐
51678,UgyNaIpO8VnwyflZDM14AaABAg,24,4 years ago,"open the video, i saw ziyi again. you are a great girl! find your own fun in your life! doing something is the tao, what do you have, you can be too grocery store. i hope you will introduce you to the cooking techniques for us for a year! i wish you a happy and happy grandma!",打开视频， 我又见到子柒了。你是一个很了不起慨女孩子! 在生活里面找寻自己慨乐趣! 做起事来头头是道， 你有什么事情难道你， 你可以太杂货店了。希望你你来 一年 介绍你多啲烹饪技术给我们睇! 祝你和奶奶幸福 快乐!
46796,UgzbIS4Nqo4EJO8bweJ4AaABAg,23,4 years ago,"i only discovered your videos in youtube. i really have such a life. i just imagined life in the novel. girl, you are really great, not only representing many chinese people, but how to coexist with human beings in harmony with nature, even if human beings are livable in the future, you need your spirit. i am glad to see your video, thank you.
suddenly i thought of the man who met your heart in the future. someone helped you lift your bamboo to make new sofas. some people pick fresh fruits and vegetables with you. one more person at the dining table with you. with cute children, one, two. essence essence then i have always made such a love video for us, oh no, enjoy. essence essence
hope this wish will come true.","我竟然在YouTube才发现你的视频，真的感概还有这样子的人生，只在小说中想象到的人生，姑娘，你真的很棒，不仅代表了华人的许许多多的优秀品质，和文化，甚至代表了人类，要如何与自然和谐共存，即使人类未来宜居其他星球，也需要你这种精神。很高兴看到了你的视频，感谢。
忽然想到了你日后遇到了你心怡的男子，有人帮你抬竹子做新的沙发，有人和你一起采摘新鲜的水果蔬菜，多了一个人在饭桌和你，婆婆谈笑风生，然后不就以后你们有了可爱的孩子，一个，两个。。。然后一直一直做这么有爱的视频给我们看，哦，不，享受。。。
希望这个愿望成真。"
51284,UgxWr2WKqhtE2YsnqoF4AaABAg,18,4 years ago (edited),i hope she's will married with rich & good handsome guy! she's a good girl.,我希望她能与Rich＆Good Hindome Guy结婚！她是一个好女孩。
32755,UgzyACHDBD-6pLdRhcx4AaABAg,18,4 years ago,"i hope she's the one benefiting the subscriptions... i really really like the video.. very traditional..
love ur vlog....","我希望她是一个受益于订阅的人...我真的很喜欢视频..非常传统。
爱你的vlog ...."
48881,UgxUxrzh2_nXib9I-4h4AaABAg.8qmM3fEmDnz8qn5PzbuLma,17,4 years ago,i just hope that they're looked after as pets and not part of their livestock. i haven't seen her being nice to them and instead she just shoos them whenever they're on her way. she even used her cleaver to scare away the poor kitty.their fur look so unkempt and both seem eager or longing to be fed. perhaps they're being used as props for the production but still they need to be given better attention.,我只是希望他们被照顾为宠物，而不是牲畜的一部分。我还没有看到她对他们很好，相反，每当他们在路上时，她只是在他们。她甚至用自己的砍刀来吓take可怜的小猫。他们的皮毛看起来很不自如，看上去渴望或渴望被喂食。也许它们被用作生产的道具，但仍需要给予更好的关注。
2261,UgwojBqA1rIKuxWouGZ4AaABAg.9ZO-yY69gDD9ckQnnMY4Mb,17,11 months ago,@annagoland i just watched a show about the american designer halston who kinda sold his name as a trademark to a huge business corporation and got kicked out later on. sounds like li is in a similar situation here. hope she gets her shares back,@Annagoland我刚刚看了一场关于美国设计师Halston的节目，他有点名字作为商标卖给了一家大型商业公司，后来被踢出去。听起来像是李在这里处于类似情况。希望她能回分享
31647,UgxoJ3LKcV-lAyEyPz54AaABAg.8w6EOq7RXc18wKf-t2dHDj,16,3 years ago,hope they don't eat the lamb. ๐”,希望他们不要吃羔羊。
3718,UgxzyBBgSq7a8yujuYV4AaABAg,15,1 year ago,"100 million? wow i love her videos...
but also it's been 2 months since she last uploaded...i hope she is okay❤️","1亿？哇，我爱她的视频...
但是自从她上次上传以来已经两个月了……我希望她还可以❤️"
45781,UgxyF6EtxppIRP5tSul4AaABAg,15,4 years ago,"does she live in heaven?
if this is china, i hope to leave india and obtain citizenship in china.","她住在天堂吗？ 
如果这是中国，我希望离开印度并在中国获得公民身份。"
15456,UgxNgZDH5Rch2-Cq8DZ4AaABAg,14,3 years ago,the environment and everything remind me of my childhood in my grandma's house. they have the same vibes.. i hope i can go there again (｡ŏ﹏ŏ),环境和一切使我想起了我在奶奶家中的童年。他们有相同的共鸣。我希望我可以再次去那里（｡ŏ﹏ŏ）
29314,UgyNWVnxrf9tPE5i9wZ4AaABAg,13,3 years ago,"i feel i'm fallen in love again even i'm married. emmmm, hope my wife don't watch this ....",我觉得即使我已经结婚，我又坠入爱河。 emmmm，希望我的妻子不要看这个...。
1556,UgzAQ8sAxRkKed0WUuF4AaABAg,13,1 year ago,"what i like most about this brilliant, organized and energetic people who don't know laziness, i love this country so much that i hope to visit it one day, from morocco.",我最喜欢这个不知道懒惰的聪明，有条理和充满活力的人，我非常喜欢这个国家，以至于我希望有一天能参观摩洛哥。
2966,UgyNi1U8QBUJSEjJWhJ4AaABAg,12,1 year ago,"she is my inspiration for my videos! creating videos on yt is a way for me to save beautiful moments with my mom. 
liziqi cooks really well, i love everything in her video. if anyone used to make videos on yt like her, you will know how hard she did during the 10 minutes of this video.
wish we can watch more videos from her, i read some news on the internet about her recently.

but i hope she can back.","她是我视频的灵感！在YT上创建视频是我与妈妈一起度过美好时光的一种方式。
Liziqi厨师非常好，我喜欢她的视频中的所有内容。如果有人像她一样在YT上制作视频，您将知道她在此视频的10分钟内做得如何。
希望我们可以观看她的更多视频，我最近在互联网上读了一些有关她的消息。

但是我希望她能回来。"
37747,UgzF0WVAyf7I8zUtQfJ4AaABAg.8tpjB69LBjP8uOpwhVa-Cq,12,4 years ago,i hope they won't kill the lamb when she grows up tho... ;;;,我希望他们长大后不会杀死羔羊...；
21519,Ugy_rDs8BM0sdE53Xk54AaABAg.93Zm-mIdXXA94PiQXEUYSi,11,3 years ago,hope she donโ€t eat them.,希望她不要吃它们。
22086,Ugy54i6lpfFYqH64mCJ4AaABAg,11,3 years ago,my depression is choking me right now until i saw this.damn i 'm surprise that i smile and feels like giving me hope.such a beautiful human being.thank you for making a video thats so inspiring.,我的沮丧现在一直在窒息我，直到我看到这个。Damn我感到惊讶的是，我微笑着，感觉就像给了我希望。像一个美丽的人一样。谢谢您制作一个如此启发的视频。
48880,UgxUxrzh2_nXib9I-4h4AaABAg.8qmM3fEmDnz8qn0r8GEulH,10,4 years ago,hope the sheep don't get eaten :/,希望绵羊不要吃掉：/
1069,UgzIIK-X_iyKq_WxkOJ4AaABAg,10,8 months ago,"i am a netizen from sichuan, china and i am glad to see that many international people are concerned about her. 
the latest news is that ziqi li sued her company on april 30, 2022 and won her case on july 25 (we chinese also care about her and i believe she will be back in the public eye soon) i hope there will be no war and no hunger in the world (go ukraine)","我是来自中国四川的网民，我很高兴看到许多国际人士担心她。
最新消息是，Ziqi Li于2022年4月30日起诉她的公司，并于7月25日赢得了她的案件（我们中国人也关心她，我相信她很快就会回到公众眼中），我希望不会有战争和世界上没有饥饿（乌克兰）"
30527,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xHL6ykJGNM,10,3 years ago,"odee i feel sorry that there are uneducated people like you. may i just ask have you even been to china? it is not right to used youtube when itโ€s banned, but it just makes you yourself look stupid when you comment things like that this original comment is just showing support for liziqi. hope everyone has a nice day! maybe try to just focus on the aesthetics of the vid after all we watch youtube for entertainment right?",ODEE，我很抱歉有像您这样的未经教育的人。我可以问你甚至去过中国吗？禁止使用YouTube是不正确的，但是当您评论此类原始评论的内容只是显示对Liziqi的支持时，它只是让您自己看起来很愚蠢。希望大家过得愉快！也许在我们观看YouTube娱乐的所有内容之后，尝试只专注于视频的美学吗？
15393,UgyzKcVps2jf_rwLmah4AaABAg,10,3 years ago,"hello: i just discovered your film recently. i accidentally click in and watch your video. i show people a very comfortable healing and healing. i also saw some people who black you attacked you. although you used to want to give up , but hope that you can bravely have confidence in yourself, don't give up, don't give up for those who are black. isn't it too sorry for those who accompany you all the way? come on ^^ y is right, and bless you and your mother -in -law are healthy and happy.",哈喽:我是最近才发现你的影片，无意间点进去看你的影片，给人看了好疗愈很舒服的感觉，也有看到一些黑你的人攻击你，虽然你曾经想要放弃，但希望你能勇敢对自己有信心别放弃，别为了那些黑你的的人而放弃，这样不是太对不起一路陪伴支持的人吗？加油 ^^Y 对了也祝福你跟婆婆身体健康快乐。
45872,UgzO7lfQRj8y3zVrhVZ4AaABAg,9,4 years ago,"man these videos are so refreshing and addictive. every single element is excellently executed in such detail from the recipes, the emotional angle (the grandma/ family relationship, how to be resourceful/ independent etc), the camera shots to the editing. i hope you never stop uploading, as i'll never tire of these. hope you are well, happy new year",这些视频是如此令人耳目一新和上瘾。每个元素都可以从食谱，情感角度（奶奶/家庭关系，如何机智/独立等）中进行如此详细地执行。希望您永远不会停止上传，因为我永远不会厌倦这些。希望你一切都好，新年快乐
32608,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8w8l04hwuXq,8,4 years ago,"i hope you all know that those animals aren't pets...
i like to think they are however...at least the puppies","我希望大家都知道那些动物不是宠物...
我喜欢认为它们是...至少是幼犬"
43833,UgxhqQJz70CIQ0KMhfp4AaABAg,7,4 years ago,"i hope that i understand the significance of your videos, is it your true life or what?",我希望我了解您的视频的意义，是您的真实生活还是什么？
1730,UgyPBtl1WQcovNWYrzV4AaABAg.9bSj7v8JG7c9isyYpY3Dz1,7,6 months ago,everytime i come back here i want to cry… hope she’ll be back,每当我回到这里，我都想哭泣……希望她会回来
1008,Ugxhj-3OA7wNzL0b89R4AaABAg,7,7 months ago,"i hope you'll come back soon lovely liziqi
your videos relieve my stress and anxiety
i just wanna say thank you and i miss you so much","我希望你很快回来可爱的利兹奇
您的视频缓解了我的压力和焦虑
我只想说谢谢，我非常想念你"
796,UgyRITwQZG9tKfNwfy94AaABAg.9joLMP0xdAV9k-O72rjxj8,7,5 months ago,the spider ghost has killed our pleasure and concealed lizy. we hope the chinese government to punish the person who deceived lesi and stopped her beautiful life.,蜘蛛侠杀死了我们的快乐并掩盖了蜥蜴。我们希望中国政府能够惩罚欺骗莱西并制止她美丽生活的人。
26432,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy97kDv2Fkyc-,7,3 years ago,"hey guys! it's been 7 months, me and my partner brokeup, 3 years together and i'm better than ever. got a good job and building my house! i'm 20 and even in times of coronavirus i hope everyone is safe! i read your comments everyday snd you guys helped me alot",大家好！已经有7个月了，我和我的伴侣一起打破了3年，我比以往任何时候都更好。做得好，建造我的房子！我今年20岁，即使在冠状病毒时期，我希望每个人都安全！我每天都在阅读您的评论，你们帮助我很多
8141,UgzOhjMtOnKHuSkUthF4AaABAg,6,2 years ago,"this is beautiful, although i hope she is able to still get an education.",这很漂亮，尽管我希望她仍然能够接受教育。
23436,UgyrJqOkNR7QFD4SBtF4AaABAg,6,3 years ago,i hope you can drive the friendship between the mainland and the young people of hong kong and taiwan,希望你能拉动大陆和港台年轻人之间的友谊
22318,UgxiQ9tLkqUOZgtByDd4AaABAg,6,3 years ago,i feel like iโ€m in an episode of inuyasha.. learning domestic life from one of the villagers while inuyasha is out hunting with the men... hope he enjoys the food we prepared for him shippo and maroku when they get back. i really put my all into it.,我觉得自己是在伊努雅夏（Inuyasha）的一集中。.伊努雅莎（Inuyasha）和男人一起狩猎时，从一个村民那里学习家庭生活……希望他喜欢我们为他准备的食物Shippo和Maroku回来时。我真的全力以赴。
1516,UgyVNg7GLt55w4BX7Jt4AaABAg,6,11 months ago,here because ludwig. hope she comes bacj,因为路德维希。希望她来bacj
40393,Ugw9wo4AjMlGZxH0jjZ4AaABAg,6,4 years ago,"let's hope you subscribed to receive your youtube buttons. your videos are amazing.
you are an amazing talented beautiful woman","希望您订阅以接收YouTube按钮。您的视频很棒。
你是一个了不起的才华横溢的美丽女人"
39938,Ugy5FhMH24Xm_EnqmDx4AaABAg,6,4 years ago,what a wonderful video; i feel like it's there ... it seems to be so wonderful ๐’๐’ one day i hope to go to this beautiful place ๐ง๐ทโฃ๐จ๐ณโฃ๐ฏ๐ตโฃ๐ฐ๐ท,多么美妙的视频；我觉得它在那里...似乎很棒
37748,UgzF0WVAyf7I8zUtQfJ4AaABAg.8tpjB69LBjP8uPGKG-je3w,6,4 years ago,antonina piwkowska l hope so ๐,Antonina Piwkowska l希望如此
30037,Ugxqyerx-UFwycbRcr54AaABAg,6,3 years ago (edited),"hi ms liziqi....a few hours ago i started watching your video. 1st video with the lotus... hooked up.. now i don't know how many of your videos i've watched already.. and it's 12midnight here. thank you for the videos... i love how you take good care of your grandmother. you are a smart, loving, talented being.
i just wish and hope to live with you there even just for few days to join you and experience harvesting and eating fresh vegetables and fruits and taste your recipes. take care ๐ค—๐ค—๐ค—๐ค—","嗨，Liziqi女士....几个小时前，我开始观看您的视频。第一个视频与Lotus ...连接。.现在我不知道您已经看过多少个视频了..在这里是12mmid night。谢谢您的视频...我喜欢您如何照顾祖母。您是一个聪明，充满爱心，才华横溢的存在。
我只是希望并希望在那里与您同住，甚至只有几天的时间就可以加入您的行列，体验收获和吃新鲜蔬菜和水果并品尝您的食谱。保重"
10841,Ugzt93wrsMLjXjTfxOZ4AaABAg,6,2 years ago,i can't stop crying and i don't know why. all i want in life is this. i hope someday i achieve this dream of mine.,我不能停止哭泣，我不知道为什么。我一生中想要的就是这个。我希望有一天我实现了我的梦想。
22508,Ugw93MiOcqW02pI7bJx4AaABAg.92v2O1F4NaK92yIvCprY85,5,3 years ago,"tian seem like you believe government can do something great like this, i hope so, but itโ€s a joke. maybe she get government support now, but not from beginning and beginning is the hardest part.",田似乎您相信政府可以做这样的事情，我希望如此，但这是个玩笑。也许她现在得到了政府的支持，但是从头开始，最困难的部分。
8735,UgzHptbh2LhJeCMzfJB4AaABAg.9IJ-gJwii_j9JB9YUpo2L8,5,2 years ago,hope there's wifi in the woods,希望树林里有wifi
