,cid,votes,含amazing,含amazing中文翻译
48932,Ugw5H5irIt-y5Jc0QpR4AaABAg,0,omg looks so simple to do...but it is not..amazing girl...,OMG看起来很简单...但是不是..杰出的女孩...
49139,UgzqmCiTdKcPwYGk8z94AaABAg,0,you are amazing,你很棒
49084,UgzKDubI2RCayXdzZYx4AaABAg,0,your lifestyle is amazing. those who thumbs down need to get a life.,您的生活方式很棒。那些颤抖的人需要谋生。
49053,UgzaUFgxoL8KksQC-nN4AaABAg,0,amazing,惊人的
48994,UgwsaD4UBfyWy7nfAcV4AaABAg,0,your videos are amazing! this planet needs more people like you. happy chinese new year!,您的视频很棒！这个星球需要更多像您这样的人。农历新年快乐！
48971,UgxI5-P6tqVfmUGApUZ4AaABAg,0,"absolutely amazing, love your videos.",绝对很棒，喜欢您的视频。
48962,Ugyx_F1X8lYHf8pSPL54AaABAg,0,i love your videos keep going you're amazing!,我爱你的视频保持发展，你很棒！
48848,Ugx4xpkGQR5EtGQa_i54AaABAg,0,amazing to watch! ❤️❤️,很棒的观看！ ❤️❤️
41506,UgwpFKTTYrXclka2dX54AaABAg,0,totality i really like the work he does and the amazing camera light. i support this channel to be a big channel. best quality,我真的很喜欢他所做的工作和惊人的相机灯。我支持这个频道是一个大频道。最好的质量
48809,UgyBEwhFBa-MMyE9vM54AaABAg,0,your cooking skills are amazing,您的烹饪技巧很棒
48791,Ugy8Nco5VipSGG_BXrB4AaABAg.8qmTnyk2aqL8qmci7FHdSN,0,"yeah so cool. professional vid-grapher, running a store in town and nowadays living in village to carrying her grandma. an amazing person.",是的，很酷。专业的Vid-Grapher，在镇上经营一家商店，如今居住在村庄里携带祖母。一个了不起的人。
48713,UgxAt8AMMS4paYqLYOx4AaABAg,0,amazingggggg <3,Amazingggggg <3
48629,UgxPTz6k3itjaK6o3Fh4AaABAg,0,"amazing,quite oooh sooo quite and pretty,now i wanna eat!!!!",太神奇了，真是太漂亮了，现在我想吃！
48607,Ugxo6uayOLjegDvun7t4AaABAg,0,amazing!,惊人的！
48572,UgyV754rRTUrGpG20jh4AaABAg,0,amazing,惊人的
49190,UgzzuDHOD39dcAE65rh4AaABAg,0,woooowwwwa amazing surprising greetings from mexico,墨西哥的Woooowwwwa惊人的惊喜问候
49196,Ugw0p5NCqLTmOFwbnp94AaABAg,0,the concept is similar to the yunnan cooking channel i saw. it was amazing that such high -quality video was uploaded from the valley.,这个概念类似于我看到的云南烹饪频道。令人惊讶的是，从山谷上传了如此高质量的视频。
49436,UgxjKJ-jtgA68XBu03Z4AaABAg,0,"happy new year, so amazing 好",新年快乐 好厉害
49459,Ugze7doeLtbucw_Vuyt4AaABAg,0,happy new year. popcorn manufacturing machine is amazing.,新年快乐。爆米花制造机很棒。
49501,UgxCiJWaZMDG4f18zZ14AaABAg,0,happy chinese new year! amazing gorgeous as always :),农历新年快乐！一如既往的惊人华丽:)
49502,UgyIoY1r-SHTJShzDTx4AaABAg,0,you soo amazing girl,你太神奇的女孩
49504,UgzY87cENFceEXVJetp4AaABAg,0,you are so amazing dear .you are my inspiration even all of women. long long long live dear.,亲爱的你真是太神奇了。长寿的长寿。
49581,UgzSn0aePh_jNKQWNI14AaABAg,0,amazing!!!!!!!!!,惊人的！！！！！！！！！
49595,Ugy5nzKDbFndzKt9_H14AaABAg,0,absolutely love these amazing treats! happy lunar new year! bonne année!,绝对喜欢这些惊人的零食！农历新年快乐！ BonneAnnée！
49628,UgyRVbz18jvRkttl7Al4AaABAg,0,hi your videos are so beautiful it is like haven from which country u belongs to amazing from india,嗨，您的视频是如此美丽，就像避风港，您来自哪个国家来自印度
49698,UgyDsxnzIxaxYi695nx4AaABAg,0,when i rich i'm would like to oder you dry stuff it's look amazing. 'm you big fan.,当我有钱时，我想让您干燥的东西看起来很棒。我是你的忠实粉丝。
49737,Ugx-WiKUVLJiX5uOesV4AaABAg,0,amazing,惊人的
49774,UgxgEJw3CqTawn8J5nJ4AaABAg,0,li zihuan is so amazing 好,李子柒好厉害哟
49801,UgzGnCeucmNwEhPRa9Z4AaABAg,0,such amazing videos.,如此惊人的视频。
49816,UgxVTn9pevW9_HZSyZ54AaABAg,0,"you are amazing girl ..
happy new year..","你是很棒的女孩..
新年快乐.."
49872,UgxlN-xWr3TPkkj4Zc54AaABAg,0,"happy new year, and thank you for amazing video",新年快乐，谢谢您的精彩视频
49881,UgxhNbwOTKwXuqt6_wp4AaABAg,0,"wow,amazing",哇，很棒
48484,UgyHMf1WTLz2LceKmQJ4AaABAg,0,"perfect .another amazing heart work.'s longer 't understand your language but i enjoyed it,love from",完美。另一个令人惊叹的心脏工作。
48482,UgycHdvG6rYuz8-0cmJ4AaABAg,0,"it's so amazing, i have done a lot",太厉害了吧，做了好多
48459,UgwASNQNv4jwUqZ5BTF4AaABAg,0,another amazing video thank you!!!! <3,另一个了不起的视频谢谢！ <3
47542,Ugxzm90M47Dwp5X40lF4AaABAg,0,"you'r grandmother is such beautiful and so sweet !!
you're so amazing girl.!
love your work.","你祖母真漂亮，真是太好了！
你真是太神奇了。
爱你的工作。"
47214,UgwG3AUu8LnBAm5J3T14AaABAg,0,amazing quality of video. deep colors and high resolution! this is a rarity on youtube!,视频的惊人质量。深色和高分辨率！这是YouTube上的稀有性！
47218,UgzDU7xuHHPkNk-Pvml4AaABAg,0,you are amazing,你很棒
47285,UgyNLnl8A5xq2P-jFcR4AaABAg,0,this was amazing wow,这真是太神奇了
47308,Ugy3IQPuQPukaHZGNAZ4AaABAg,0,i mean she can be totally fake but after all who cares? this is simply amazing.,我的意思是她可以是完全假的，但是毕竟谁在乎？这真是太神奇了。
47311,UgzmfESAPW668w4Ed1R4AaABAg,0,"this is amazing, it made my heart smile and brought tears to my eyes.... much love from the bahamas",这太神奇了，这让我的心微笑，给我的眼泪带来了眼泪。...巴哈马的爱
47328,UgxhY6MR5n6W_6Q3zMZ4AaABAg,0,this lady is amazing,这位女士很棒
47347,Ugz7uqmqGscEdJCXAD94AaABAg,0,your one of the bestest granddaughter in the world& an amazing girl,您是世界上最好的孙女之一，是一个了不起的女孩
47355,UgzEkbIkMd9BZhIyt7F4AaABAg,0,"sometimes i think that you live in paradise
you are amazing","有时我认为你住在天堂
你很棒"
47370,Ugy_nQL820Pxj8UhMwR4AaABAg,0,omg the sub titles for us english speakers is so amazing i know what’s going on now! thank you so much. :),OMG，我们的英语说话者的子标题真是太神奇了，我知道现在发生了什么！太感谢了。 :)
47406,UgwTRu_uycRnG2KCM2Z4AaABAg,0,what amazing woman ... congratulations.,多么了不起的女人...恭喜。
47409,Ugw54uidMHuGJReRix14AaABAg,0,amazing super,惊人的超级
47450,UgxbNcPz1NM7BDPIxrN4AaABAg,0,amazing! every snack looks delicious,好厉害！每道零食看起来都好好吃
47485,UgwD3jKI1EPZnZxeFSR4AaABAg,0,"hey guyz i don't understand her chennel name plz suggest to me... i'm new viewer in here.. i'm from india, manipur... you are amazing person.. so pretty and hard working.. i'm so pleasure to watch your videos... please upload a video to daily... i'm waiting for your new videos",嘿，盖伊斯，我不明白她的Chennel Name plz向我建议...我是这里的新观众..我来自印度，曼尼普尔...你是很棒的人..太漂亮而努力了..我'我很高兴观看您的视频...请每天上传视频...我正在等待您的新视频
47524,Ugz5nFUV_d2XRDJAkMR4AaABAg,0,love the way u live ...amazing camera work ...u r really a hard working amazing girl i hv ever seen ...keep your fitness alive,爱你的生活方式...惊人的相机工作...你真的很努力地看到了我见过的努力的惊人女孩...让你的健身活着
47600,UgwAuppiF4UzXbGqLat4AaABAg,0,what a amazing,真是太神奇了
48428,Ugyypm0m9h2ImO_tbid4AaABAg,0,i've never seen such an amazing girl. unbelievable !,我从未见过如此出色的女孩。难以置信 ！
47603,UgwHC8GpcEI7j_NbWdh4AaABAg,0,just amazing!,太棒了！
47700,UgwNDZbDivdcWjn1yZ54AaABAg,0,amazinggggggg,Amazinggggggg
47750,Ugwi22OY8j4CuHPJQOx4AaABAg,0,wow. thanks god youtube recommend your video on me.. i've watch your videos on facebook and i can't search you on you tube because its in chinese writing.. i really love your videos..its very amazing unique.... i'm from philippines...,哇。谢谢上帝youtube推荐您的视频。我在Facebook上观看了您的视频，我无法在您的管子上搜索您，因为它是中文写作的..我真的很喜欢您的视频..它非常了不起。我来自菲律宾...
47784,Ugyb_gUdu3sw4enf_fN4AaABAg,0,you are amazing..,你很棒。
47794,UgxKbHRi2WEumlYKVP14AaABAg,0,"woooa, you are really amazing w",Woooa 你真的厉害
47820,UgzXdqHJLYtQEpEbdyx4AaABAg,0,"when i began seeing li ziqi latest video, it read 1,183,628 views and i saw it 2x and 20 minutes later it read 1,185,748 views, that says something about how we who have subscribe to her channel want to see her latest video so much, oh! and in less than 22 hours she has 1,185,748 views, that is amazing. \( >_<)/ happy chinese new year!!","当我开始观看Li Ziqi的最新视频时，它读了1,183,628次观看次数，我看到了2倍，20分钟后，它阅读了1,185,748次观看次数，这说明了我们如何订阅她的频道的我们如何看她的最新视频，哦！在不到22个小时的时间里，她有1,185,748次观看次数，这真是太神奇了。 \（> _ <）/农历新年快乐！"
47903,UgyXyZUTlMrPFK1lY2J4AaABAg,0,wow you are amazing,哇，你很棒
48211,UgzeqjJbXQSGVEtlAFJ4AaABAg,0,you are amazing,你很棒
48255,Ugygg-0UHp_5c10xLoh4AaABAg,0,amazing . i want to live in a place like that,惊人的 。我想住在这样的地方
48303,Ugye3vSBPkT16G_GOgt4AaABAg,0,amazing. i am mesmerized by all your videos!! the time you dedicate to do these is just unbelievable. it’s like going back to basics of life. i have a farm in the philippines and these remind me when i was younger.,惊人的。我对你所有的视频都着迷！您致力于做这些事情的时候真是令人难以置信。这就像回到生活的基本知识一样。我在菲律宾有一个农场，这使我想起了我小的时候。
48318,Ugw1RLr12Hb_0CtZl6h4AaABAg,0,"wow, this is amazing, everything you need is around your house",哇，这太神奇了，您需要的一切都在您家附近
48324,UgyppCrFBndu3ZzCfdp4AaABAg,0,amazing... just amazing.. i watch this video without blinking my eye..,太神奇了...真是太神奇了..我看着这段视频而没有眨眼。
48388,UgykK5vM1Z-m9fgjSk94AaABAg,0,wow! its so amazing. its like a paradise. . . i love your place...,哇！它真是太神奇了。它就像一个天堂。 。 。我爱你的地方...
48394,Ugz1BttLe676NDPxL2p4AaABAg,0,so amazing,好厉害喔
49924,UgzJzK-ys4Wv5Tf3Rpx4AaABAg,0,"speechless, it's really amazing...",无语，真是太神奇了...
49949,UgxBMQZgbw9k8STZzAt4AaABAg,0,"she can do almost everything! amazing girl! btw, how can anybody dislike this video?",她几乎可以做一切！了不起的女孩！顺便说一句，有人怎么不喜欢这个视频？
49958,UgxDrCXf2ncu3B0iP0V4AaABAg,0,can't wait for another amazing video from you♥,等不及您的另一个令人惊叹的视频♥
52205,Ugy9Y6Hqk8_cqFfyidB4AaABAg,0,"i missed your videos! your videos makes me feel happy and relax, you're amazing!",我错过了你的视频！您的视频让我感到快乐和放松，您很棒！
51554,Ugwypj3cjYBocoM6VvZ4AaABAg,0,"omg... so loveee your video, your amazing thank you for great movies.... ❤",天哪...所以爱你的视频，非常感谢您的电影....❤
51621,UgzgcuKXSTgy3S271-14AaABAg,0,u are an angel your videos are amazing thank you soo much for given this wonderful vedios and happy chainees new year,你是一个天使，您的视频很棒，感谢您对这个美妙的Vedios和快乐的Chainees新年
51763,UgzQ4g7yzGx3qbuwHsh4AaABAg,0,"another amazing video!❤️
-love from philippines","另一个了不起的视频！❤️
- 来自菲律宾的爱"
51786,UgyjskfhF5KBqZxG2Q54AaABAg,0,"your video is so amazing. ❤❤❤
i like video of you very much. 
from thailand.","您的视频太棒了。 ❤❤❤
我非常喜欢你的视频。
来自泰国。"
51788,UgwbCJI1OmQPAEltJ5J4AaABAg,0,aaaaahhhh amazing,aaaaahhhhhhheage
51919,UgxpUvgV5I4RfcsJxOJ4AaABAg,0,"woo, amazing! for you, everything can be made by yourself. fresh and healthy!for us , everything we only purchase :(",哇，太神奇了！对于您来说，一切都可以自己做。新鲜和健康！对我们来说，我们只购买的一切:(
51927,UgwV1nZ_Cl9Eixz-vMx4AaABAg,0,a very talented chef i like the way u cook so amazing ❤️,我很有才华的厨师，我喜欢你烹饪如此令人惊奇的方式❤️
51970,UgxZjMXuNr3VWvzlkCx4AaABAg,0,"you are amazing woman. i really happy see u , take care of your grandma. hope you have wonderful chinese new year. and prosperity and happiness always surround you. gbu",你是很棒的女人。我真的很高兴见到你，照顾你的祖母。希望您有美好的农历新年。繁荣和幸福总是包围你。 gbu
51993,UgzfYM-YhsHLPAqtQkh4AaABAg,0,wowww amazing video.love from india,WOWWW惊人的视频。来自印度的爱
52008,UgxF4mn-tncPllEzLPx4AaABAg,0,"when me subs this channel it just have 800+ subs, now 2.2 million subs. wow amazing .. and i like again ..


ignore my bad english","当我潜艇这个频道时，它只有800多个潜艇，现在有220万次潜艇。哇，太棒了..我再次喜欢..


忽略我的英语不好"
52094,UgxyqYUjv6YPMrTWC9Z4AaABAg,0,"your videos are amazing , it’s total treat to eyes. best wishes from india",您的视频很棒，这是完全享受的眼睛。来自印度的最良好祝愿
52101,UgweZ7nGrG_cN0YAUDF4AaABAg,0,"your video so nice and amazing. i saw about 20 videos or more within 2 days. 
you are so cute, beautiful, creative, strong girl and i love the way you take care of your grandmother.
love and respect you from vietnam.","您的视频真是太好了。我在2天内看到了大约20个视频或更多视频。
你是如此可爱，美丽，富有创造力，坚强的女孩，我喜欢你照顾祖母的方式。
爱和尊重你的越南。"
52126,UgxFNk7AxQSTBpjhj1h4AaABAg,0,amazing video i like your preparation of sweets,很棒的视频，我喜欢您的糖果准备
52183,UgyRkOETRigKLM22oA14AaABAg,0,such an amazing talent she has.,她拥有如此惊人的才华。
52218,UgyeRbXEbhOngXvTu354AaABAg,0,your video is so amazing from india,您的视频来自印度很棒
51443,Ugw5NrDDTh4UJ53MG9B4AaABAg,0,amazing!,惊人的！
52240,Ugy-goypNyx-9T_lsfR4AaABAg,0,amazing,惊人的
52308,UgxO-mf15wpdwV2PKFd4AaABAg,0,amazing,惊人的
52313,UgzLD_AQ-RB-64rsJKh4AaABAg,0,amazing farm all vegetable at fruit harvest ur farm love it harvest fresh food yummy,令人惊叹的农场所有蔬菜在水果收获的农场里，菲律宾收获新鲜食品美味
52327,UgxmXqYVun76MzfCf3R4AaABAg,0,amazing,惊人的
52360,Ugx-LIEkYfnFyyHYbd94AaABAg,0,amazing video i felt a great sense of relief,令人惊叹的视频，我感到非常欣慰的感觉
52367,UgxP9JB78awEXkz7VHR4AaABAg,0,lovely inspiration.... beauty and fresh food... your amazing and great job!!,可爱的灵感....美丽和新鲜食物...您的出色工作！
52389,Ugx8eUfAQ2G0D8ZBs9h4AaABAg,0,ur just amazing,您只是惊人的
52419,Ugwmn9CyklUZqlLIC_94AaABAg,0,i just loved they way you prepared you're so amazing,我只是爱他们准备的方式，你真是太神奇了
52446,UgxTEzJ0dnCDd0OqnYV4AaABAg,0,"you are amazing relented girl,i appreciate you, good job,keep it up,i like your vedio, love from pakistan",你真是太卑鄙的女孩了，我很感激你，好工作，保持努力，我喜欢你的吠陀，巴基斯坦的爱
52483,UgxOW9Itr02fqogYoHl4AaABAg,0,"your'e amazing
love your videos","你很棒
爱你的视频"
52499,UgyMhGo4_ljNpoymJOF4AaABAg,0,wao ur videos are superb.how u manage things is amazing.love ur videos❤❤.,您的视频很棒。您如何管理事情真是太神奇了。
52556,UgzSK6U7Qma5RRMm9Sx4AaABAg,0,so amazing! do you eat it yourself?,太厉害了！都自己吃咩？
52727,UgzsgSpwnRfl4ypiT7J4AaABAg,0,amazing.,惊人的。
53001,UgzWW8bziOyvXQjANpV4AaABAg,0,amazing,惊人的
51501,Ugyh8C9IYuUhgDdRioF4AaABAg,0,"amazing...,⛩️",惊人...⛩️
51404,UgyA9I5MVgNfmtgURPt4AaABAg,0,how amazing yr life gurl..im alwys waiting u video..,您的生命是多么神奇的gurl .. im alwwys等你视频..
49969,UgzcpXYeT8m2-y7CsaF4AaABAg,0,wow you are amazing,哇，你很棒
50783,Ugx8Hbd3uy-G_zXKcX94AaABAg,0,it's amazing! my girl!,厉害了!我的姑娘！
50063,UgyMBNNPUJVptxFgkuF4AaABAg,0,"so amazing. the new year's goods are ready, waiting to see you new year's eve dinner,",太厉害了。年货都准备好了，等着看你年夜饭那，
50106,UgyI807n_0nkBX1N4tx4AaABAg,0,amazing. ❤,惊人的。 ❤
50131,UgyWpwg_tgx9ln7iaO14AaABAg,0,today's video is: amazing!!!,今天的视频是：惊人！！！
50173,Ugw_PmeqNQmOlRqwnH54AaABAg,0,you are very awesome great & strong woman.. amazing 'm from indonesia,你是非常棒的伟大而坚强的女人..令人惊讶的
50206,UgxLiR9G1fslZxDNfXl4AaABAg,0,amazing ❤️ creative ....,惊人的❤️创意...
50266,UgwLiVQyvQ6LNEmwaeF4AaABAg,0,so amazing ❣️,太神奇了❣️
50352,UgykozrONIFIm22b-Dh4AaABAg,0,u are amazing is there anything you can't do,你很棒吗
50380,Ugxmqp-38s9t2eb0cwN4AaABAg,0,"yur babies are growing nicely, i would love to spend a vocation at yur location. enjoying the atmosphere,food and all the different techniques u practise. truly amazing, loved it.",Yur婴儿的成长良好，我很想在Yur的位置度过一个职业。享受您练习的气氛，食物和所有不同的技术。真的很棒，喜欢它。
50386,UgzxsBlm69CMKXWMttN4AaABAg,0,i watch what you did and all i can say is you are so amazing.,我看着你做了什么，我只能说你真是太神奇了。
50451,UgxydQ-qKuq3oSioqC54AaABAg,0,its amazing how she did all of em by herself,令人惊讶的是，她自己自己做所有EM的方式
50497,UgyQpxexhVzS2w8dvVV4AaABAg,0,amazing as always! all those goodies looked delicious. anyone know what the orange fruit was that she sliced and dried? looked alot like mango without the big seed. and granny's hat...love it!,一如既往的惊人！所有这些好东西看起来很美味。有人知道她切成薄片和干燥的橙色水果吗？看起来很像芒果，没有大种子。还有奶奶的帽子...喜欢它！
50523,Ugy0JR3AZ0QHlXvlH9B4AaABAg,0,she is just amazing... big hugs from the caribbean,她真是太神奇了...来自加勒比海的大拥抱
50541,Ugxb0VOZGxt6LSzwYZl4AaABAg,0,your videos r truely amazing....soo calm n soothing..lots of love from india,您的视频真是太神奇了。
50765,Ugz8ph-Fo0kFPuAY3b94AaABAg,0,"so amazing, so cute",好厉害，好可爱
50786,Ugxp7TPC397-fzUy7wR4AaABAg,0,"it turns out that the snacks we have eaten from childhood have been made! you are so amazing! thank you for letting us see this video, physically and mentally happy!",原来我们从小到大爱吃的零食都是这么做出来的！你太神奇了！谢谢你让我们看到这个视频，身心愉悦！
51358,UgwOYijzX2XshtI6VKh4AaABAg,0,amazing video,惊人的视频
50810,UgzkJBflN1WCPdSXLpR4AaABAg,0,shi is delicious. the arrangement is absolutly amazing.,什（Shi）很美味。该安排绝对是惊人的。
50906,UgxmG2wdFYPjiTnHSth4AaABAg.8qlbtwK52oe8qm2xQSQLcG,0,"@viovio4256 ok, well, happy new year to you all, janelle and minh
....amazing how long these things that she prepares will last.
i wonder, is it traditional to have a party at probably her grandmothers house? that is where all this will be used, you think?","@viovio4256好吧，好吧，祝大家新年快乐，珍妮尔和明尼
....令人惊讶的是，她准备的这些事情将持续多久。
我想知道，在她的祖母之家举行聚会是传统的吗？您认为这就是所有这些都将被使用的地方吗？"
50984,Ugy8HNz_Iw7dbi2q8654AaABAg,0,"you are amazing, you are perfect, i love you a woman !! ❤️",你很棒，你很完美，我爱你一个女人！ ❤️
51001,UgyKpAqEghnOj9E7FC54AaABAg,0,"very amazing, you can do anything",很厉害啊，什么也可以做啊
51043,Ugwr3OipGPcYap2yblx4AaABAg,0,this episode is full of amazing things and beautiful music with a pretty young lady,这一集充满了令人惊叹的事物和美丽的音乐，一位漂亮的小姐
51070,UgzFAhr01ERXfKRFxud4AaABAg,0,it looks delicious and it's amazing!,它看起来很美味，很棒！
51084,UgxCP7XxnMXaiAsc_sV4AaABAg.8ql_ahZLACt8qlsYW6RGpX,0,a very strong soul in a body of young lady ... amazing life story.,一个非常坚强的灵魂，是一个年轻女士的身体……令人惊叹的生活故事。
51092,UgzqI877VEC-rqgwgxB4AaABAg,0,your place was amazing its so peaceful,您的位置太神奇了，如此和平
51118,Ugxb4yGVWDh76hP_O1p4AaABAg,0,wow amazing,哇，太神奇了
51205,UgwXzLPUclBW7Zb6JPh4AaABAg,0,wow perfectly amazing,哇，真是太神奇了
51211,UgyCcr3X6ZUfo6Muprx4AaABAg,0,you are so amazing,你真是太神奇了
51240,UgyaoOuJRmO0nN-I4_J4AaABAg,0,so amazing video,如此出色的视频
51258,Ugw_p_xhPxUEc0u7CQ54AaABAg,0,"i don't know y whenever i see this girl time freezes and i am feel so good .....the entire video i just smile ....n the food that she makes is so mouth watering and delicious .....thanks for making me feel so amazing 
#spreadinghappyness♥️","每当我看到这个女孩的时间冻结时，我都不知道你感觉很好.....整个视频我只是微笑.... n她所做的食物是如此令人垂涎和美味。感谢让我感到如此惊人
＃传播愉快的♥️"
51273,UgzFivl2Pvr8FGKjbXp4AaABAg,0,"really amazing i like your video's 
❤from","真是太神奇了，我喜欢你的视频
❤从"
47197,Ugzevx0B0MqQU_jVrwl4AaABAg,0,this channel is amazing!!!,这个频道很棒！！！
47179,UgzyF4t3zaM-xzA9kRF4AaABAg,0,5:10 that was absolutely amazing!,5:10绝对太神奇了！
47078,UgxgNKop3tHjhpGjlTl4AaABAg,0,it's amazing ~ it looks fun ❤,太神奇了〜看起来很有趣❤
43347,Ugyh810mxj9uAatoAJh4AaABAg,0,"u r a bless for humanity, for those who can watch your amazing work and videos! i love you! be blessed!",对于那些可以观看您惊人的作品和视频的人来说，您会祝福人类！我爱你！祝福！
42904,Ugxy1cqoKeFOr1ji-xN4AaABAg,0,"i’m glad i stumbled upon this channel. amazing!
salem from asian neighbor qazaqstan","我很高兴偶然发现了这个频道。惊人的！
来自亚洲邻居Qazaqstan的塞勒姆"
42946,Ugwj0h8m-eQSnsXMocB4AaABAg,0,unbelievable labor and hard works for a small girl! amazingly skillful!,对于一个小女孩来说，令人难以置信的劳动和艰苦的工作！惊人的熟练！
42960,UgxP73KmZcwB8sVj7SJ4AaABAg,0,"beautiful! ❤thank you for sharing this amazing atmosphere, it gives calmness and peaceful joy. but where all that incredible organic sweets are going, to local market?",美丽的！ ❤感谢您分享这种令人惊叹的气氛，它带来了平静和和平的喜悦。但是，所有这些令人难以置信的有机糖果都在哪里？
43031,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8rdn1uVMTtU,0,"@roseangel7903 start by making one meal a week then two then three, change is amazing and you will feel always better for it.",@Roseangel7903从一周一餐然后两顿饭然后三个开始，更改是惊人的，您会总是感觉更好。
43072,Ugz2LST3OEbzsqtVncd4AaABAg,0,i'm so glad i found these videos. they are amazing!,我很高兴找到了这些视频。他们是了不起的！
43100,UgwFF4gikryz1eS8UEp4AaABAg,0,"just amzing nature , i wish if i can live in such an amazing place ❤",只是自然，我希望我能住在如此惊人的地方❤
43105,Ugzhp11Z31q6FLjxMEx4AaABAg,0,"i love this channel but i had to stop right there with the popcorn... amazing!! that, with everything else she/they do!",我喜欢这个频道，但我不得不和爆米花停在那儿...太神奇了！那是她/他们所做的一切！
43135,UgxFFaK_pnkvcg9w4jV4AaABAg,0,amazing wow,惊人的哇
43148,Ugw6heGCIsP5NjlJBIB4AaABAg,0,utterly amazing and inspiring. i wish i was as good as you.,完全令人惊奇而鼓舞人心。我希望我和你一样好。
43158,Ugx8zZd6T8jNjyK2QLV4AaABAg,0,background music is amazing...........its soothing... keep on doing hard work plus keep on choosing nice music too,背景音乐很棒...........................................................................................................................................................................................................................................................................................................................................................................
43188,UgwV4zyLHE7XeNiCe-d4AaABAg,0,can anyone tell me anything about this amazing girl? i mean - does she run a shop? why is shewrapping up the snacks?,谁能告诉我这个惊人的女孩？我的意思是 - 她经营一家商店吗？为什么要吃小吃？
43281,UgyoK2tVomnpGItP5LR4AaABAg,0,amazing..,惊人的..
43288,UgzkgtSDjxWTl4Q2YS14AaABAg,0,wow! this video is so amazing in many aspects... congrats!,哇！该视频在许多方面都非常惊人...恭喜！
43346,Ugy2BOOMHPzSmjJ5X0J4AaABAg,0,your family is so lucky to have amazing skilled person like you,您的家人很幸运能拥有像您这样的熟练人士
43458,Ugz88LI33WiavnuaNL14AaABAg,0,amazing camera man!,惊人的相机男人！
42674,UgyeyqPELtJVRydyz8Z4AaABAg,0,i really dream that amazing life you have.,我真的梦想着你拥有的美好生活。
43524,Ugwb5EgLe5vUGWUhoPl4AaABAg,0,how she stays focused and on task with those adorable puppies around her is the most amazing part,她如何保持专注和与周围那些可爱的小狗进行任务是最惊人的部分
43533,Ugy82rKWl3ORvD2lHn54AaABAg,0,amazing,惊人的
43599,UgyG6XirW3zwTaxNiPZ4AaABAg,0,amazing,惊人的
43666,UgysDpg9Ji0BMgL5RE54AaABAg,0,does she sell all these handmade food ? they look amazing,她会出售所有这些手工食品吗？他们看起来很棒
43739,Ugy4HH-fkH49kUUdH494AaABAg,0,amazing,惊人的
43784,UgzV7HW7IfhtuDWhYBp4AaABAg,0,"waaauuu, amazing video",Waaauu，令人惊叹的视频
43847,UgzJziaZojGi8yBlosV4AaABAg,0,amazing,惊人的
43873,Ugy83taQTxOnleOlQ454AaABAg,0,"amazing video, i very very like it :)",很棒的视频，我非常喜欢:)
43913,UgwSelW2QZ7WMfP4mTN4AaABAg,0,amazing girl and wonderful dogs,惊人的女孩和美妙的狗
43928,UgwgeEAelSU88YBoKw94AaABAg,0,amazing video ....,惊人的视频....
43952,UgzYRF8BHASDebkMT_x4AaABAg,0,you are so amazing..i like your all videos..i really appreciate you hard work..i wish i could be there one-day.. love you so much,你真是太神奇了..我喜欢你的所有视频..我真的很感谢你的辛勤工作..我希望我能在那里。
43974,Ugyj77SBcz_fgJUGfoN4AaABAg,0,omg! she is amazing,我的天啊！她很棒
43978,Ugx4Oi_MaIBw9VNwQtJ4AaABAg,0,amazing!!!,惊人的！！！
44090,Ugw2IrMamgHgtpPtESd4AaABAg,0,amazing,惊人的
42784,UgxQZKZK0th_AYVQbol4AaABAg,0,i wish i could come and visit you.hugs friend your so amazing,我希望我能来拜访你。
42608,UgzzFHUbs576LzNge8l4AaABAg,0,"i deeply admire the girl, she is amazingly talented and charming. special thanks to her production team for such a relaxing video, i enjoy it much! please keep going and salem from kazakhstan!!",我深深地佩服了那个女孩，她才华横溢且迷人。特别感谢她的制作团队如此轻松的视频，我非常喜欢！请继续前进，来自哈萨克斯坦的塞勒姆！
44241,UgyAinDzHzrFkUufHT14AaABAg,0,i don’t know how this ended up on my feed but i was completely satisfied. this is an amazing look to life on the other side of the world.,我不知道这是我的饲料的最终结果，但我完全满意。这是世界另一边的生活。
42396,UgynlFj2Jt5BOvu27nN4AaABAg,0,"wow .. this is that most amazing video i've ever seen , in luv with this .",哇..这是我见过的最令人惊奇的视频，对此充满爱意。
41524,Ugx_NMmblNriVg3ZVzN4AaABAg,0,you're life is amazing ..... i hope i can live like that once in my life ❤,你的生活真是太神奇了.....我希望我能在我的生活中那样活下来❤
41623,UgzquQgxGF7iySWeZPR4AaABAg,0,the quality and editing of her videos is amazing! it's like crouching tiger hidden dragon doing a weekly cooking and homesteading show.,她的视频的质量和编辑真是太神奇了！这就像蹲下的老虎隐藏的龙每周做一次烹饪和宅基地表演。
41666,UgxP_Cj06aZmLa2bSqp4AaABAg.8ruzrnHtE3L8sH7jyxn9RQ,0,"@neulingbasmati no problem friend, ikr them shots are amazing",@neulingbasmati没问题的朋友，ikr他们的镜头很棒
