,cid,votes,time,含amazing,含amazing中文翻译
3038,UgxKtHuOHYK2IvYq_Pd4AaABAg,45,1 year ago,liziqi and dianxi are seriously living my true life dream of living off the land in the countryside making food for the family everyday with wild natural ingredients or plants/livestock i planted and raised from the start. i wish there were areas that are as abundant with farm land and wild edibles as their countryside but i live southern california where the only thing in the wilderness is dead grass and mountain lions lol there are a lot of squirrels rabbits and skunks for a source of meat but i wouldn’t be able to grow or pick any of the amazing types of fruits and vegetables they have in their videos,Liziqi和Dianxi认真地实现了我的真实生活梦想，即生活在乡村的土地上，每天用野生天然成分或植物/牲畜从一开始就植入并养育了植物/牲畜。我希望有些地区与农村一样丰富，但我住在南加利福尼亚州，那里的荒野中唯一的东西是死草和山狮，大声笑有很多松鼠兔子和臭鼬，以提供一种来源肉，但我将无法在视频中种植或选择任何令人惊叹的水果和蔬菜
29683,UgzpH3BE2koNS4RrEgp4AaABAg,44,3 years ago,thank you for the english sub-titles. your videos are amazing. my neighbor has bamboo. hmmmmm,谢谢您的英语子贴。您的视频很棒。我的邻居有竹子。嗯
25907,Ugwwm1OnvPfUP_o1FNR4AaABAg,44,3 years ago (edited),"grump in the house!

oh wow this is amazing and so beautifully shot. that woman is very pretty too.","在屋子里脾气暴躁！

哦，哇，这真是太神奇了，很漂亮。那个女人也很漂亮。"
6857,Ugz1NIxKMMhDPcn8XOd4AaABAg,42,2 years ago (edited),she has everything she needs just around her. the photography is so so so amazing :),她只有她在她周围需要的一切。摄影真是太神奇了:)
33165,UgxO2rwP5lSoOewT8YV4AaABAg,40,3 years ago,liziqi did super cool job. but i have to appreciate the cameraman too. the scenes of the frog and view of sunshine is amazing.,Liziqi做得非常酷。但是我也必须欣赏摄影师。青蛙的场景和阳光的景色真是太神奇了。
29985,UgwcqSY8K5-Dfa11XK14AaABAg,38,3 years ago (edited),✊camera man. your work is amazing..,camera男子。你的工作很棒..
17083,UgwoGmYYcukjLHjpxMp4AaABAg,35,3 years ago (edited),"i about 5 years of using youtube, this the first and the only youtube channel that i subscribed just after watching a single video. you are amazing and everything about you is so so beautiful.
love and respect from india","我使用YouTube大约5年了，这是我观看单个视频后唯一订阅的第一个也是YouTube频道。您真是太神奇了，关于您的一切都如此美丽。
印度的爱与尊重"
24309,UgzWV8Kebc2ioChmuOt4AaABAg,33,3 years ago,all the ingredients she cooked were found in her backyard. what an amazing video. just come accross in video while searching for recipe to cook.,她煮熟的所有成分都是在她的后院发现的。多么了不起的视频。搜索烹饪食谱时，只需在视频中加入即可。
23930,UgxHG0C2hISPwXyfeud4AaABAg,30,3 years ago,"your such an amazing lady, you make me realize to go back to my province",你真是个了不起的女士，你让我意识到要回到我的省
34373,UgzLmA5jjWuAHu_6eHd4AaABAg,27,3 years ago,i do not cease to admire the skills of an amazing girl.,我不停地欣赏一个了不起的女孩的技能。
14327,UgweI4lENirYu5USYYJ4AaABAg,26,3 years ago,"she makes it look so simple, but this lifestyle is a gran skill. gardening itself is a skill that takes time to understand, she knows exactly what she’s doing and in awe. not to mention her filming skills are amazing too!",她使它看起来如此简单，但是这种生活方式是一项格兰技能。园艺本身是一种需要时间来理解的技能，她确切地知道自己在做什么和敬畏。更不用说她的拍摄技巧也很棒！
4827,UgzfVB4ZePPKK89b3tF4AaABAg,26,2 years ago,"i spent all the time watching my mouth open. it has everything within your reach and looks new, so what you know is cultural? amazing your skill. congratulations",我一直看着我的嘴张开。它拥有您的一切范围，看起来很新，所以您知道的是文化？惊人的技巧。恭喜
2981,Ugwem1gt5OrJqKkK8VB4AaABAg,26,1 year ago (edited),"what's good about her, in her vedios, she cooked what she planted. everything is in her yard, so amazing!",在她的Vedios中，她对她有什么好处，她煮熟了自己的种植。一切都在她的院子里，真是太神奇了！
16352,Ugz-PxPeXDViQ__23cl4AaABAg.92w9T32MS-2931-cj6qM1j,25,3 years ago,"it’s even more amazing how she knows almost everything! her cooking recipes are so complicated and different too every time! not to mention her knowledge in farming, crafting, sewing, etc. real life harvest moon protagonist, lol.",她几乎知道一切都更加了！她的烹饪食谱每次都如此复杂和不同！更不用说她在耕作，制作，缝纫等方面的知识。现实生活收获月亮主角大声笑。
3670,UgyqqtMxwUh9iG1BJoN4AaABAg,22,2 years ago,she's really amazing. uses each and every thing fully and never wastes anything. hats off to you ma'am,她真的很棒。充分利用每一件事，永远不会浪费任何东西。对你敬畏女士
32412,UgyDKVH_WtjF6r-Gd2d4AaABAg,21,3 years ago,always an amazing education as well as joy watching your video and your neverending skills. thank.,始终是一个了不起的教育，也可以喜悦观看您的视频和您永无止境的技能。感谢。
26999,UgySTRxH_M-qBYqsoGx4AaABAg,20,3 years ago,"i visited in a korean news article. the video is really pretty, and she is also quite beautiful. the whole green-colored video is really amazing. it's a comfortable video to watch.",我在韩国新闻文章中访问了。该视频真的很漂亮，她也很漂亮。整个绿色视频真的很棒。这是一个舒适的视频。
28113,UgxqG4i13OFFztHYbnN4AaABAg,17,3 years ago,"where were you when i was going up? i could have learned so so much from you.
you do amazing every video you make
thank you
peace","我上去的时候你在哪里？我本可以从你那里学到很多东西。
您制作的每个视频都会做到很棒
谢谢
和平"
33802,UgwRe4Co4WjzB4nWNNp4AaABAg,16,3 years ago,u r just amazing .u never fail to fill my mind with relaxation and satisfaction ☺☺,您只是惊人的.u永远不会让我放松和满足☺☺
28572,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8zy1IBXM_PX,16,3 years ago,"franz peters are you mentally okay? do you need someone to talk to? there’s absolutely no need for such a negative view and or opinion, on a beautiful, inspirational, amazing channel/video! don’t dwell on negativity.",弗朗兹·彼得斯（Franz Peters）你在精神上还好吗？您需要有人与之交谈吗？绝对不需要在美丽，鼓舞人心，惊人的频道/视频上使用如此负面的视野和或意见！不要沉迷于消极情绪。
6264,UgzdCIMEZGsgrmDN_9p4AaABAg,16,2 years ago,in indonesia. we love the young bamboo she takese. the taste is amazing โค,在印度尼西亚。我们爱她takees的年轻竹子。味道很棒❤
11023,UgzxCAS0Jrwg6fsStv54AaABAg.984qUe8j7ci98hqLx8Aalm,15,3 years ago,good quality food and lots of outdoor living plus that amazing natural environment,优质的食物和大量的户外生活以及那个惊人的自然环境
11601,UgyYloXo5WqBJR7gcqJ4AaABAg,14,3 years ago (edited),"live such a good life, xiao nizi, you are so amazing, and filial piety is really beautiful",过着这样的生活不错啊 小妮子 你很了不起呢 又孝义 真是人美心善
7981,UgwkHFOB4PMOJvRjImB4AaABAg,14,2 years ago,"she is pretty, smart, hardworking, and cares for her grandparents she's amazing",她很漂亮，聪明，勤奋，照顾她的祖父母，她很棒
30525,UgwWXLtdOOwGqk72CvF4AaABAg,14,3 years ago,"i watched as a budo-film, this is amazing! #?",我看着Budo-Film，这太神奇了！ ＃？
32215,Ugw9H7Z3gEQGaadYb9t4AaABAg,13,3 years ago,woke up at 4:40am and watched this amazing video. now i go back to sleep. it's so satisfying.,凌晨4:40醒来，观看了这个惊人的视频。现在我回去睡觉。真是令人满意。
10364,UgzOhAf0sg2LzijmoAR4AaABAg.98ojNybWPIt98rG-rLjeNS,13,3 years ago (edited),"she's a very busy woman. she's always out doing things, so she barely snacks. she's more focused on feeding her family, and prefers to eat with them. 
in asian cultures, it's more known to savour food with family, because of how hard they work together to grow and create amazing dishes. 
you don't really think about food when you go buy it from the store. however, when i was in asia, you can see all the hard work people put in to make a filling meal. eating a whole pot of anything would be very disrespectful and a waste of food. 
eat until your full please, don't over eat, and please, please don't waste food when others can have it.","她是一个非常忙碌的女人。她总是在做事，所以几乎没有零食。她更专注于为家人喂养，并且更喜欢和他们一起吃饭。
在亚洲文化中，众所周知，与家人一起品尝食物，因为他们如何共同努力生长和创造令人惊叹的菜肴。
从商店购买食物时，您并没有真正考虑食物。但是，当我在亚洲时，您可以看到人们为填充餐的所有辛勤工作。吃一整锅任何东西都是非常不尊重的，并且浪费食物。
吃饭，直到您吃饱，不要吃饭，请，请不要在别人拥有的时候浪费食物。"
34006,Ugw2Rt617VnuRWNf-oR4AaABAg,12,3 years ago,u are always amazing,你总是很棒
13225,UgzVt8B8AQP9lN1VBiV4AaABAg,12,3 years ago (edited),"she’s so beautiful and she knows how to do everything
it would be so amazing to have a wife like her if i get a luck:) hehe","她是如此美丽，她知道如何为您和您的家人做所有事情
如果我有运气，有一个像她这样的妻子真是太神奇了:)呵呵"
5552,UgzkeWzP9oAftmvoact4AaABAg,11,2 years ago,the air must be clear over there... the environment just look amazing and fresh .... i wish i lived there..m,那边的空气一定很清楚...环境看起来很棒，新鲜。...我希望我住在那里。
19499,Ugwji6titTVDIE9JdEx4AaABAg,11,3 years ago,"everyone:
wowie she's so wonderful and amazing i wish i could do that
me:
yall right but where can i get that snazzy knife spatula she uses cause damn","每个人：
哇，她真是太棒了，很棒，我希望我能做到
我：
你们好吧，但是我在哪里可以得到那个时髦的刀子，她使用了该死的"
4331,Ugxlwy8wZ2SdyXxkPsV4AaABAg,10,2 years ago (edited),:) i love it. she’s beautiful and has amazing drive. watching her keeps me motivated,：） 我喜欢它。她很漂亮，有着惊人的动力。看着她让我有动力
23841,UgyCOcOMeCmXXdO_nM94AaABAg,9,3 years ago,"i'm amazing that liziqi is also loved by so many peoples from other countries, welcome to china, there are different scenes and various foods 。",令人惊讶的是，Liziqi也受到来自其他国家的许多人的喜爱，欢迎来到中国，有不同的场景和各种食物。
6293,Ugxf7w-KauhvkVNowK94AaABAg,9,2 years ago,"amazing chef in the world she never ever used the kitchen tools as measure: 1tbl spoons, 1cup bla...blaa... i love you both grandma n zigi love from new york๐’",她从未使用过厨房工具作为措施的惊人厨师：1tbl汤匙，1杯bla ... blaa ...我爱你，纽约奶奶n Zigi love
13367,Ugxf_s_q7Zn2Y0ooqNV4AaABAg,9,3 years ago (edited),"aside from the super oily cooking and sometimes too much sweet, everything else is perfection and inspiring. the nature, the mountains, the gardens, the ingredients, the natural environment including appliances, your incredible skill in everything, your strength, the creativity.. the angles, and the video editing..well done~
the sound capturing of every activities is also amazing.. almost like asmr. beautiful background music. relaxing and beautiful.
you potray what you had said.. to show where the food we eat comes from. the works behind it. and the variety of the nature.","除了超级油腻的烹饪，有时太甜了，其他一切都是完美和鼓舞人心的。大自然，山脉，花园，成分，自然环境，包括设备，您的一切都在一切方面，力量，创造力。
每个活动的声音捕获也很棒。几乎就像ASMR一样。美丽的背景音乐。放松和美丽。
您是您所说的话..以展示我们吃的食物来自何处。它背后的作品。以及自然的多样性。"
16951,UgyNC3YMRklZ5WgbaPZ4AaABAg,9,3 years ago (edited),this woman is amazing. she reminds me of my wife. my wife is korean. she's 54. her mother taught her how to ferment fruits and vegetables from the forest just like this woman does. we live in illinois. my wife loves this spring because we go out into the forest with baskets and collect berries and all kinds of fruits and vegetables. we go back home and my wife she sits on the kitchen for the patio out back and prepares all of the fruits and vegetables to ferment for a year. you haven't tried apple juice until you've had homemade apple juice from apples in the forest. or homemade pure grape juice from grapes in the forest. just one taste of this pure fruits and your body immediately responds to it. it is such a wonderful fresh flavor. it is amazing what fermentation does to plants.,这个女人很棒。她让我想起了我妻子。我的妻子是韩国人。她54岁。她的母亲教她如何像这个女人一样从森林中发酵水果和蔬菜。我们住在伊利诺伊州。我的妻子喜欢今年春天，因为我们带着篮子进入森林，收集浆果以及各种水果和蔬菜。我们回到家，我的妻子她坐在厨房里，将露台放回去，并准备所有的水果和蔬菜发酵一年。在森林中的苹果自制苹果汁之前，您还没有尝试过苹果汁。或来自森林中葡萄的自制纯葡萄汁。只有一种纯净的水果的味道，您的身体立即对其做出反应。这真是一种很棒的新鲜风味。发酵对植物的作用真是令人惊讶。
20706,Ugzm_2oK4LuEGKvD9Zx4AaABAg,9,3 years ago,"she's amazing! the place, the sorroundings, the food. everything is amazing. love from philippines",她太赞了！这个地方，欲望，食物。一切都很棒。来自菲律宾的爱
18552,UgyftR_VY4yxe8ZpG0N4AaABAg,9,3 years ago,"this is so amazing to watch . i wish i could live like this, i'm sure its very hard but being one with nature and being able to supply for your family from what your landscape offers is such a magical thing. i'm jealous of how you live, you are beautiful and smart and doing amazing things for the environment. thanks for letting us watch your beautiful life. its so peaceful",这真是太神奇了。我希望我能像这样生活，我敢肯定这很难，但是与大自然的人成为一个人，并能够从景观提供的东西中为您的家人提供如此神奇的事物。我嫉妒您的生活，您是美丽而聪明的，为环境做了不起的事情。感谢您让我们观看您的美丽生活。它是如此和平
27620,UgzhfE1Lhy7YF1hzB4V4AaABAg,8,3 years ago,"i just subbed to you channel and i am amazed at your talents. the mold was broken after you were created, you are simply amazing.",我只是向您介绍了频道，我对您的才华感到惊讶。创建后，模具被打破了，您真是太神奇了。
26605,UgxJBSbdkQqsSwlR7s14AaABAg,8,3 years ago,you are an amazing person and having all the technical and technique of a professional chef. much respect!!!,您是一个了不起的人，拥有专业厨师的所有技术和技术。非常尊重！！！
31851,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVEzTQ45kb,8,3 years ago,"glorify god, he is ""i am,"" ""yehovah,"" .. he made all things for us to marvel at his majesty in the design of nature around us.
her homeland in china is breathtaking.

i want to go visit her to tell her about jesus..

i think most people want to go visit her to see her amazing home, gardens, and eat her food..

i am sick too..

so sorry to hear you are sick and in the hospital. i will pray for god's will in your life..and that you would trust him now, turn to him..

god the father, made a way through his son, jesus..for us to be saved and to live right before him. faith in jesus's death on the cross, burial, and ressurrection from the dead, is what saves us..we have newness of life forever..as our sins are forgiven us. 

there is no other way to be saved from god's judgement and wrath to come. 

jesus, is our only hope, our shield, our rock to stand on, our salvation!

her videos are amazing to watch and she is a very beautiful, talented, and very hard-working, disiplined person..but she does not have any knowledge of the god of abraham, issac, and jacob, and his only begotten son, jesus of nazareth, the kings of kings...the lamb of god.","荣耀上帝，他是“我是”，“耶和华”。
她在中国的家园令人叹为观止。

我想去拜访她告诉她关于耶稣的事。

我认为大多数人都想去拜访她，看看她的奇妙家园，花园和吃她的食物。

我也病了..

很遗憾听到您生病了。我将为您一生中的上帝的旨意祈祷..您现在会相信他，转向他。

父神，通过他的儿子耶稣。对耶稣的死在十字架上的信仰，埋葬和从死里的遗嘱中拯救我们。

没有其他方法可以从上帝的审判和愤怒中拯救出来。

耶稣是我们唯一的希望，我们的盾牌，我们的岩石站在我们的救赎！

她的视频令人惊叹，她是一个非常美丽，才华横溢且非常努力，有教养的人..但是她对亚伯拉罕，伊萨克和雅各布的上帝不了解，他的独一儿子，耶稣，拿撒勒人，国王之王...上帝的羔羊。"
29967,Ugz-5BlHwlwyOEp7pcl4AaABAg,8,3 years ago,"she is not only amazing but also i learn a lot from her videos,i live in the middle east and it's the 1st time for me to see bamboo shoots ,her videos always leaves me with positive energy..i love her..",她不仅很棒，而且我还从她的视频中学到了很多东西，我住在中东，这是我第一次看到竹脚的拍摄，她的视频总是使我充满积极的能量。我爱她。
5415,Ugzh3YQiIouysa1499x4AaABAg,8,2 years ago,"now i know, life can still be extremely amazing even you have no money. go back to village",现在我知道，即使您没有钱，生活仍然会非常惊人。回到村庄
31185,UgyUnNuQPITvUvhwN514AaABAg,8,3 years ago,"what an amazing woman!
so much knowledge of available edibles and the skills to prepare them.
any man should be lucky to win her heart!","多么了不起的女人！
对可用食品的知识以及准备​​它们的技能。
任何人都应该幸运地赢得自己的心！"
22310,Ugy9ApYtXllXi1u4ujZ4AaABAg,8,3 years ago,amazing lifestyle and gorgeous handcraft，i wish that i can meet a girl just like the beauty in the video.xddddd,惊人的生活方式和华丽的手工艺品，我希望我能像视频中的美女一样遇到一个女孩。xddddd
5709,Ugw_ptDNEroyi8ROCV54AaABAg,8,2 years ago,"i admire her for so many reasons, one of the top reasons is her amazing knife skills.",我很佩服她，原因有很多，主要原因之一是她出色的刀技巧。
23209,UgxNiScc2EmIVNQU0at4AaABAg,8,3 years ago,"hi i am from nepal, i love everything in your video... wow ! amazing !",嗨，我来自尼泊尔，我喜欢您的视频中的所有内容...哇！惊人的 ！
30901,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yu3Or1W6C2,8,3 years ago,"bramha's astra but if they went to their garden and grabbed those ingredients, chopped them up, put dressing or grilled them or something itd be cooking right? lol idk why you think there needs to be a 30 step process for it to be real cooking, or take a long time, or prepared from scratch. this girl is amazing and talented, but do you think most chinese people cook like that? japanese people? italians, etc? plenty of people just season their foods, stir-fry them, and eat because theyre not fixing complicated full-course meals. cooking does not need to be complex. idk why youre convinced it does...",布拉姆（Bramha）的阿斯特拉（Astra），但是如果他们去了花园，抓住了这些食材，将它们切碎，放敷料或烤它们，或者它可以烹饪的东西吗？大声笑IDK为什么您认为需要有30个步骤才能真正做饭，或者花很长时间或从头开始准备。这个女孩很棒又有才华，但是您认为大多数中国人都这样做吗？日本人？意大利人等？很多人只是调味食物，炒食物并吃饭，因为他们没有修复复杂的全书餐。烹饪不需要复杂。 idk你为什么说服这是...
27567,Ugy_tMfm8SysdsfqI1x4AaABAg,8,3 years ago,she is literally the most talented and amazing person,她实际上是最有才华，最神奇的人
25250,UgwtZpctqJvMHhfDEIV4AaABAg,7,3 years ago,marry me and i'll be your cook !!! you sit there with granny. amazing video as always!,嫁给我，我会成为你的厨师！！！你和奶奶坐在那里。一如既往的令人惊叹的视频！
26235,UgychVRj4ynRVU7-lQh4AaABAg,6,3 years ago,i'am from indonesia..you're so very..very amazing..,我是来自印度尼西亚的。
23453,UgwBNQDYwhYRutE00xF4AaABAg.8zj0F8MxqZ48zqq4yaKKSb,6,3 years ago,amazing！you notice the tiny which creat by nature.everything seem so friendly quite and harmonious，and the gril too！this feeling is called 天（nature）人（human）合（combine）一（origin） in chinese .this video id full of our culture which different to other,惊人的！您注意到自然创造的微小。一切似乎是如此的友好和和谐，而且gril也是如此，这种感觉被称为（人体）（人类）（人类的compine）（compine）（compine）（中文）。充满了我们与其他不同的文化
23870,Ugxymr0hWQgFwu1wYyl4AaABAg,6,3 years ago,li ziqi everything u do are amazing nd magical. u are more than a beauty. everytime when i watched ur videos it gives me a piece of mind. i always waited for ur new videos. keep it up. lo ziqi ur truly are an inspiration. thank u so much.god bless you always,Li Ziqi您所做的一切都是神奇的。你不仅仅是美女。每次我观看您的视频时，它都会给我一个想法。我一直在等您的新视频。继续努力吧。 lo ziqi ur确实是一个灵感。非常感谢你。上帝永远祝福你
2686,UgyyYChth_3diDSbnRh4AaABAg.9RpCLS3qrED9UipeAarouE,6,1 year ago,she's really amazing. now she fighting for money with the production company behind her lol,她真的很棒。现在，她与她的生产公司奋斗
17956,UgzwJOIY_82wbF_-g214AaABAg,6,3 years ago (edited),"wow, this was such an amazing video. the scenery, and beauty that surrounds her home is something i wish to achieve in life (not to mention the amount of technique, skill and knowledge this woman has, another goal). inside of the home was lovely too. 
reminds me a lot of hayao miyazaki’s art work. just speechless!!!!","哇，这真是一个了不起的视频。我希望在生活中实现的风景和周围的美丽（更不用说这个女人拥有的技巧，技能和知识，另一个目标）。家里也很可爱。
让我想起了许多宫崎骏的艺术作品。只是无语！！！"
4108,UgycHuRQuHnObaohW7R4AaABAg,5,2 years ago,thanks for explaining what you cooked! it looks amazing!,感谢您解释您的烹饪！看起来很棒！
16111,UgxLaQYwDey6Ali72op4AaABAg,5,3 years ago,"i wish she was my wife. 
an amazing woman such as her must have a loving husband that supports her passion. perhaps he is the person behind the camera who is filming and editing her videos.","我希望她是我的妻子。 
像她这样的了不起的女人必须有一个充满爱心的丈夫来支持她的激情。也许他是摄像机背后的人，正在拍摄和编辑她的视频。"
16354,Ugz-PxPeXDViQ__23cl4AaABAg.92w9T32MS-2931Ek-7z-uv,5,3 years ago,"noobiesnake sounds like u clearly don’t cook, when you’ve cook something a few times it’s easy to cook it again without any recipe or simply change it a bit. i rarely ever look at a recipe when i cook; because as long as you know the methods of how to handle your ingredients then everything else is easy. and foods better when you actually grow your own vegetables; at times like these im so glad i didn’t grow up in a major city but. a farm city, where we actually have amazing soil to grow stuff in the backyard & know our food grows, where it’s animals or plants",NoobiesNake听起来像您显然不做饭，当您几次烹饪时，很容易在没有任何食谱的情况下再次烹饪或简单地更改它。我做饭时很少看食谱。因为只要您知道如何处理成分的方法，其他一切就很容易。当您实际种植自己的蔬菜时，食物会更好；有时候，我很高兴我没有在一个主要城市长大。一个农场城市，实际上我们有惊人的土壤在后院种植东西，知道我们的食物生长，它是动物或植物
21133,UgwGx794HdSmWwmIlKR4AaABAg,5,3 years ago (edited),"i've picked those mushrooms in my woods and grow those beans in my garden before, but that's where my experience with this ends i love bamboo shoots and i know where a stand of giant bamboo grows near an old burned down house. maybe i should try some. it's amazing to think of how much food they get out of those few shoots and that cutting them back makes the plant grow better.",我以前在树林里挑选了那些蘑菇，然后在我的花园里种了那些豆子，但这就是我对此的经历，我喜欢竹芽，我知道在一个旧的烧毁房屋附近生长了巨大的竹子。也许我应该尝试一些。想到他们从那些芽中获得多少食物并将其削减的食物使植物生长更好，这真是令人惊讶。
