,cid,votes,含like,含like中文翻译
16625,UgwC5JuWJFOVIQDCAtB4AaABAg,320,i dont understand how 24k people disliked? shame they still dont understand the value of simplicity.,我不明白24K的人如何不喜欢？遗憾他们仍然不了解简单的价值。
1766,Ugxx_UFKQg4oB36qtSN4AaABAg,310,everyone who watches these equally loves her couldn’t we all get along and be friends no matter what country you are from and we could grow our beautiful gardens like liziqi,每个同样爱她的人都无法相处并成为朋友，无论您来自哪个国家，我们都可以像Liziqi一样种植美丽的花园
12995,UgwcbgECnovACeF3dcx4AaABAg,308,plz make a video on your garden tour.. i am very interested to see your garden.. plz. hit like if u agree guy's,请在您的花园之旅中制作视频。.我很想看到您的花园。如果你同意盖伊的
6265,Ugx8nG2qhN8UfEgsh5R4AaABAg,301,"imagine how beautiful is to have a life like this. living in harmony witg nature,no social media,so there is no insecurities or body shaming,just care about you and the biotic organisms around you,life will be at its best.",想象一下，拥有这样的生活有多美好。生活在和谐的维格大自然中，没有社交媒体，因此没有不安全感或身体羞辱，只是关心您和周围的生物生物，生活将处于最佳状态。
36456,UgxJS_qfeZRpmGo4ajV4AaABAg,295,"sis be like:

๐๐จ๐‘ฉ๐ป๐ฅ
โ๏ธ๐ก๐’๐ธ
๐’๐‘๐ฑ๐ฐ
๐๐๐๐","姐姐就像：


☂️

"
9040,UgwZtzaVjEXFjunv2ht4AaABAg,293,this is what life without having to worry about money would look like.,这就是生活不必担心金钱的样子。
6272,UgzgRD4cBNjlTsjtQqF4AaABAg,292,malayalee malayalees who will like liskey,马拉雅里的马拉雅莱犬，他会喜欢Liskey
43012,Ugw9GZs9TOFagMN7TCV4AaABAg,265,after watching this ! i hate my life and i feel like i'm not healthy at all,看完这个！我讨厌自己的生活，我觉得我一点都不健康
45836,UgzrtQDx9C_PCuqtJPp4AaABAg,254,"this channel deserve 10 m subscribers
cinematography is not joke, like a movie, those puppy and sheep, why im so late","这个频道值得10 m的订户
摄影不是在开玩笑，就像电影，那些小狗和绵羊一样，为什么我这么晚了"
17563,UgzNv4azBWM4KY1hR414AaABAg,250,i feel like her entire life was drawn by miyazaki,我觉得她的一生是宫崎骏绘制的
22893,Ugy4QKtD9cbzrOoUVFd4AaABAg,248,"i really like her pets, so natural, serene and peaceful.",我真的很喜欢她的宠物，如此自然，宁静与和平。
3212,UgynOaVEsdMUOikfYZ14AaABAg,221,"im so happy to see 1 million and more likes on her video ❤️ im watching her videos when there was only 1k likes i found her video on youtube after i randomly searched chinese food , i was so glad i did...and always thought she must have to get a million and more for this precious videos",我很高兴在她的视频上看到100万及更多喜欢的喜欢❤️我在观看她的视频时，当我随机搜索中国菜后，我在youtube上找到了她的视频，我很高兴我做到了……而且总是以为她必须为此宝贵的视频获得一百万和更多的东西
24361,UgzLwLKR8vnAGKTdwHR4AaABAg,221,"you look like a princess with an animal friends
edit: wait am i dreaming i got so many like ๐ thank you this literally make my day","你看起来像一个公主和动物朋友
编辑：等等，我在做梦，我有很多喜欢"
39844,UgyO3Z2tzQA_VEFvmVN4AaABAg,218,"his name is li ziqi. she was orphaned since an early age, so she was raised by her grandparents.


he moved to the city and lived there for a while since he was 14 years old he had to work as a waitress and then had the opportunity to work as dj, but when his grandfather died, he returned to the field to take care of his grandmother. especially she was the one who raised her.


now load videos in weibo, a chinese platform, since people in china do not have access to youtube or facebook, etc. and his fans raise their videos on youtube so that the other part of the world can enjoy this beauty.


here is an edition to answer your questions:


1-this is an official youtube account and she benefits from this account but is not sure of the other channels.


2 - it used to produce its content alone, but after receiving recognition she began working with a small team to help her photograph, but i think she is not pretending the way she lives.


3-vive in sichuan (china).


i translated it from another message, so that people who do not understand english very well, or just prefer to read it in spanish, or many more reasons. you are welcome! :^




ps: thank you for reading it, i wait for my likes! > :, 3","他的名字叫李齐。她从小就开始孤儿院，所以她是由祖父母抚养长大的。


他搬到这座城市，从14岁起就在那里住了一段时间，他必须担任女服务员，然后有机会担任DJ，但是当他的祖父去世时，他回到野外照顾他祖母。特别是她是抚养她的人。


现在，在中国平台上加载视频，因为中国的人们无法访问YouTube或Facebook等。他的粉丝在YouTube上提出了视频，以便世界的另一部分可以享受这种美丽。


这是回答您的问题的版本：


1-这是一个YouTube官方帐户，她从该帐户中受益，但不确定其他渠道。


2-它曾经单独生产其内容，但是在得到认可之后，她开始与一支小型团队一起帮助她的照片，但我认为她没有假装自己的生活方式。


3-Vive在四川（中国）。


我从另一条消息中翻译了它，以便那些不太了解英语的人，或者只是更喜欢用西班牙语阅读或更多原因。不客气！ ：^




PS：谢谢您阅读，我等待我的喜欢！ >：，3"
25163,Ugw8g5NA05GPhqKIhKR4AaABAg,208,she's like a disney character!,她就像迪士尼角色！
13990,UgxgLDqPkeX2Oh7ZgbJ4AaABAg,205,"she lives in a place like heaven... blessed with nature, spared by humans",她住在一个像天堂这样的地方...充满了自然，被人类所幸免
37303,Ugz6mbRxUYbd8kXFoBN4AaABAg,204,this like melted my heart. this is so beautiful. she's like a real life heroine of a drama. her life is so romantic.,这就像融化了我的心。这真是太美了。她就像一部现实生活中的女主角。她的生活是如此浪漫。
25345,UgwRz6BM4pGy6fstYnV4AaABAg,203,i wish i could flee away from the city to some place peaceful like this,我希望我可以从城市逃离这样的地方
10599,UgzjqCUUoBsbSh3rOOJ4AaABAg,198,"i like how she brought her pups and her lamb 
the lamb is so cute!
i was really satisfied with this vid, it had really good sounds to it","我喜欢她如何带来幼崽和羔羊
羔羊真可爱！
我真的很满意这个vid，它的声音真的很好"
18774,UgwbibGMiyzwPEpnF_94AaABAg,186,"wait a minute , there are dislikes for this ? really ? 

sick people 

they are the reason our lives isn't heavenly like the one in the video","等一下，对这个不喜欢吗？真的 ？

生病的人

这是我们的生活不像视频中的天上的原因"
32525,UgyjeQsbbnnAx4kfxQ14AaABAg,181,"any one watching this same episode multiple times, hit a like..",任何人多次观看同一情节，击中一个。
27187,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zU5tuZGdvm,174,like...where did you get this? you're talking about fame invading her privacy but then you write this...?,喜欢...你从哪里得到的？您是在谈论成名侵犯她的隐私，但随后您写了这篇文章...？
29764,UgxN4R5bsoOD2G__EjZ4AaABAg,171,i followed her for many years and so happy everybody over here likes her,我跟随她多年了，在这里大家都很高兴喜欢她
48725,Ugz9GqrwOQjkZKeZQF14AaABAg,170,"i am a fan of facebook and fans on the internet. we like to watch your special show and watch you enthusiastically.
we are arabs, but i use translation procedures. i always ask my friends to follow you on facebook and youtube. thanks","我是Facebook和网络上的粉丝的粉丝，我们喜欢看你的特别节目，热情地看着你。
我们是阿拉伯人，但我使用翻译程序，我总是要求我的朋友在Facebook和YouTube上关注你。谢谢"
22156,Ugx-VnwOX7qjyeUAAdh4AaABAg,168,"18k dislike??? iโ€m sorry for them. 
come on. the animals love her too. that should tell you something","18k不喜欢？？？对他们很抱歉。
快点。动物也爱她。你能从中了解到点东西"
33764,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vg79vEiJqM,167,"yes. that's what i thought and felt too. it looks amazing but also it's alot of hard work. who works on the fields, planting, watering, who cuts the trees, who prepares the fire places, cleans up all the tools, cleans the kitchen, the oven after cooking. in the video, we only see the romantic side, with a very bussy beautiful girl. it's a professional production and a bit like a fairytale.",是的。那就是我的想法和感觉。看起来很棒，但也很多辛勤工作。谁在田野上工作，种植，浇水，砍伐树木的人，准备大火，清理所有工具，清洁厨房，烹饪后烤箱。在视频中，我们只看到一个浪漫的一面，有一个非常繁忙的美丽女孩。这是一种专业的作品，有点像童话。
23629,UgwpCFZj1EV4wAug2dt4AaABAg,166,sounds stupid but i have to say that i really want to cry after seeing this video. the heaven should be like this!,听起来很愚蠢，但我不得不说我真的想在看这部视频后哭泣。天堂应该这样！
5384,UgzednDKU2tsKV4VLGZ4AaABAg,166,omg the way the animals were following her at thw beginning shes like a princess,天哪，动物像公主一样在她开始时跟随她的方式
44960,Ugzkyht9GJ-UWBb8pBV4AaABAg,155,"what a beautiful faerie like place in which you live! a lot of lovely fruits, nuts and resources to make your treats with as well. you are obviously very talented and the calm, hard-work and dedication can be seen in your videos... passion, too",您居住的地方多么美丽的仙境！许多可爱的水果，坚果和资源也可以使您的零食。显然，您很有才华，您的视频中可以看到镇定，努力和奉献精神……激情，所有食物看起来都很好吃！你和你的祖母太可爱了。
40283,Ugw-aEsAm6XHGhkx0kZ4AaABAg,153,"every time watch ms. li the video, i feel like i’m inside the villages",每次观看视频李女士时，我都会觉得自己在村庄里。非常爱
35009,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v0-_L3ZCxX,147,i wanna live like her and do this cool work and just be at peace,我想像她一样生活，做这部酷的工作，只是保持和平
17825,UgzrzQVlVE8U33HjHNV4AaABAg,146,isn't it lovely how her dogs always be by her side like everytime and everywhere :') <3,她的狗总是像每次和任何地方一样在她身边，这不是很可爱：'）<3
16363,Ugza1oioWbMGLjNHtRV4AaABAg,145,litterly who are the 24k people who dislike her videos??? why do that she's not doing anything bad to you just peaceful cooking videos,"谁是不喜欢她的视频的24,000人？？？为什么她只是对你做任何不好的事情只是和平的烹饪视频"
45482,UgxglR6Jm_CUvQrL5T94AaABAg,142,"if an arab, i will like, let us see how many arabs passed from here",如果是阿拉伯人，我想，让我们看看有多少阿拉伯人从这里传递
14012,Ugy8fofIQ1o0VG-8cu54AaABAg,141,"5:58

i like how liziqi is like jumping around and her grandma is so unbothered and smiling like u little silly kid","5:58

我喜欢利兹奇（Liziqi）如何跳来跳去，她的祖母是如此的不受欢迎和微笑"
4969,UgwZUTxUnbp3QY-bEod4AaABAg,136,​like this forever,像这样永远喜欢做饭
27192,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zZSm5IDHnU,135,"did you say she has drones flying over her house??? thats terrible, why would people do such terrible things like invading someones privacy?? she should find a way to catch those drones and destroy them or cook them or fry them.",你说她有无人机飞过房屋吗？？？太可怕了，为什么人们会做这样可怕的事情，例如侵犯某人的隐私？她应该找到一种方法来抓住那些无人机，摧毁它们，烹饪或油炸。
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
15406,Ugy2OszM2YO_mFVH0Tt4AaABAg,132,so this is what one with everything feels like.,因此，这就是一切的感觉。
38639,UgxRqhnA69JbX9Pl5zp4AaABAg,125,the people that dislike her should know how hard she's working why don't they go live there to see how hard it is thank you for reading,那些不喜欢她
48260,UgwBblU4QoNakBytV7p4AaABAg,124,"dear ziyi, you bring hold to people on economic! no wars, face, point, disease and sorrow if everyone learns to be loving and self-sufficient like you. you're an e ncyclopedia for us to standy forever:) happy chinese new year from eagle mountain, utah, usa.
dear ziyi, you bring hope to world peace.
if everyone learns love and self -sufficiency like you, war, famine, poverty, disease and sadness will completely disappear. you are our eternal encyclopedia:)
happy new year-greetings from yingshan, utah, usa.","Dear 子柒, you bring hope to Peace on Earth ! No wars, famine, poverty, disease and sorrow if everyone learns to be loving and self-sufficient like you. You're an encyclopedia for us to study forever : ) Happy Chinese New Year from Eagle Mountain, Utah, USA. 
亲爱的子柒，你为世界和平带来希望。 
如果每个人都像你一样学会爱和自足，战争、饥荒、贫穷、疾病和悲伤将彻底消失。你是我们永远的百科全书 : ) 
新年快乐--来自美国犹他州老鹰山的问候。"
1951,UgxjrfA6ccVqfkuqR514AaABAg,124,"when i was a kid, i liked to go up the mountain to find wild fruit to eat",小时候，最喜欢去上山找野果子吃了
25846,Ugyz8gwKHi6CToGdw4R4AaABAg,122,the animals follow her like she is snow white! <3,动物跟着她，就像她是白雪公主一样！ <3
30836,UgzUuTQk8yuJ8cB7z514AaABAg,122,"24 years of living and being a chestnut lover, i always thought it was planted underground just like the ground nuts, not on a tree!๐…๐ 
.
wait, is the mango she cut doesnt have a seed??! my ultimate dreammmm","24年的生活和成为栗子爱好者，我一直认为它是在地下种植的，就像地面坚果一样，而不是在树上！
。
等等，她切割的芒果没有种子吗？我的终极dreammmm"
33679,UgzWN181mjwUa1cYTEF4AaABAg,122,"fairy tales type of girl, beautiful hardworking...
you are real cinderella...
your house, garden , forest., utensils , everything is like a fairy tale story...","童话类型的女孩，美丽的勤奋...
你是真正的灰姑娘...
您的房子，花园，森林，餐具，一切都像一个童话故事..."
20953,UgzDA7LvsQaDocWgzfh4AaABAg,116,who is her camera man? looks so professional like a movie,她的相机男人是谁？看起来像电影一样专业
50342,UgzTiiUZ2CBs4UkvebF4AaABAg,114,"199 dislike? 199 jealous people, she’s amazing ❤️",199不喜欢？ 199嫉妒的人，她很棒❤️
33756,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vUbAYC6qrQ,114,kathaleen wood i made it 667 likes because we need to keep the devil away from this precious video,凯瑟琳·伍德（Kathaleen Wood
16566,UgzlpPc-Ymml4G00nv94AaABAg,104,this entire video is just 10 minutes but i feel like i lived one eternity peacefully while watching it,整个视频只有10分钟，但我觉得我在观看时和平地生活了一个永恒
29007,UgyJvswfhEBPDtRAww14AaABAg,101,"how to make a bunch of popcorn:


me: let's put it in the microwave


her: ""cook with something that i don't even know its name but i like it""","如何制作一堆爆米花：


我：让我们把它放在微波炉中


她：“用我什至不知道的名字做饭，但我喜欢它”"
23217,UgynvQ_4Iapdjw7-dQF4AaABAg,94,ppl who disliked it has no connection with nature and god,不喜欢它的人与自然没有关系
9559,UgzNn8VaZkxE7dJka7R4AaABAg,91,i'd like to see gordon ramsay and liziqi cooking together. that would be awesome,我希望看到戈登·拉姆齐（Gordon Ramsay）和利兹奇（Liziqi）一起烹饪。那将是真棒
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,fantastic fantastic fantastic really i liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy chinese new year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
9712,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9H-bByCbp4x,90,"in my humble opinion maybe it's because by default we humans used to live like that way, to peacefully co exist with our surroundings. we're trapped in a society where we live for work and superficial power and success. maybe we just gotta accept that those things weren't really our nature but to rather live peacefully just like her would be much more fulfilling eh?",我的拙见，也许是因为默认情况下，我们人类曾经像这样生活，与周围环境保持和平。我们被困在一个生活，肤浅的力量和成功的社会中。也许我们只能接受那些事情并不是我们的本性，而是像她一样和平地生活，就像她更充实吗？
25298,UgxpiJzgA6cyWozX9R54AaABAg,89,who the hell are these 15k+ dislikers? i really am curious now! the dislikes seem disproportionate somehow. anyone else agree?,这些15k+不喜欢的人到底是谁？我现在真的很好奇！不喜欢的人似乎不成比例。还有其他人同意吗？
35013,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v4qFT1K-hh,88,"@therewasnochill8997 maybe 40 years ago it was like this, but not anymore.",@thenwasnochill8997大概40年前是这样，但不再了。
19356,UgxrGL_gZgLw_j9TS1t4AaABAg,87,"she is like a dream princess. best of luck dear.

from,
bangladesh.","她就像一个梦想的公主。祝您好运。

从，
孟加拉国。"
24501,Ugwr-XvRat8-aa7E3Q54AaABAg,83,having a grand daughter like her is a blessing from above.,有一个像她这样的大女儿是上面的祝福。
19430,UgwpepipdU3nh_-URFF4AaABAg,82,this girl deserves the game for her struggle and hard work . i mean who the hell disliked her video . love from india,这个女孩应该为她的斗争和辛勤工作而获得比赛。我的意思是谁不喜欢她的视频。来自印度的爱
9206,Ugw_Sq-asajwM0tM-JV4AaABAg,81,"she's like a real life anime character.
very wholesome video!","她就像现实生活中的动漫角色。
非常有益健康的视频！"
49218,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmzh1xvz7B,78,"@allisgoodallisbad 
sounds like she should've just used you to salt her sunflower seeds. lets say i have a pencil, but i borrowed it from someone else. does the fact the owner is different change that it's a pencil? no. so does the fact she didn't own the traditional machine for popcorn poping change the fact that's what it was? no.","@allisgoodallisbad
听起来她应该只是用你来加葵花籽。可以说我有一支铅笔，但我从别人那里借了它。所有者是一支铅笔的事实吗？不。那么，她没有拥有传统机器的爆米花爆米花的事实改变了事实吗？不。"
23132,Ugwgt34w5aNKf6467zt4AaABAg,77,"i really like the japanese and chinese culture, filled with peace, harmony, in love with nature, satisfying.. it's such an exquisite thing to watch. god bless that girl and you all. thanks for reading my comment. have a great day ahead!",我真的很喜欢日本和中国的文化，充满了和平，和谐，爱上自然，令人满意..这是一件精美的事物。上帝保佑那个女孩和你们所有人。感谢您阅读我的评论。祝您有美好的一天！
34141,UgwwsJPvwbrWOMAkqUF4AaABAg,77,"it was all the traditional memories and things that i could not see in today's impetuous society. it was shocked that so many foreigners liked and commented. seeing li zizhen's announcement video learned that many foreigners did not know that this was china. i do nโ€t know that li ziyi is the chinese. let them also see that china is not just a world factory, not only haze and industry ... we also have inheritance and good life. let them see chinese characters comment! welcomed to china",全是传统的小时候的回忆和当今浮躁的社会看不到的东西，很震惊有这么多外国人点赞和评论，看到李子柒的申明视频得知，老外有很多并不知道这是中国，不知道李子柒是中国人
12982,UgzkSMBnaPYBcYc26id4AaABAg,75,"sixty years i have lived on this earth, and this beautiful human being has accumulated & demonstrated more wisdom and knowledge in her young years than i have in my entire lifetime.
i kneel before you humbled, li ziqi. you are amazing.

you are exactly what we should all aspire to be like. i wish you a long and wonderful life, and may the gods reward you and your generations to come.","我已经生活在地球上了六十年，这个美丽的人在她的年轻时代积累并展现了比我一生中更多的智慧和知识。
李齐（Li Ziqi），我跪下来。你很棒。

你们正是我们都应该渴望的。祝您悠久而美好的生活，并愿众神奖励您和您的几代人。"
19048,Ugw0U3HcaI-WINoQCrx4AaABAg,75,i've seen several channels like this and all that i can do is heavily admire the cinematography and quality. imagine doing all that work plus taking a video of everything,我已经看到了这样的几个渠道，而我所能做的就是欣赏摄影和质量。想象一下所有的工作，并拍摄所有内容
37025,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uX2M8LDrvr,74,"it is like a tv show. 
this is not her real life. she is doing all those things for the camera and her subscribers.","就像电视节目。
这不是她的现实生活。她正在为相机和她的订户做所有这些事情。"
47584,UgwgzydsHM_WqD7TLO54AaABAg,73,"i think this must be one of the best videos in this channel. all the foods prepared by li are very delicious. i like those puppies who have been following her. watching such a video makes me happy and calm my thoughts. you are great, li ziyi",我认为这必须是这个频道中最好的视频之一。李准备的所有食品都非常好吃。我喜欢那些一直跟着她的小狗。观看这样的视频让我感到高兴，让我的思绪平静下来。你太棒了李子柒
