,cid,votes,time,含like,含like中文翻译
23985,Ugyh4EPC6sE1Uziou7R4AaABAg,219,3 years ago,i like how all the utensils she uses are eco friendy as well as her ingredients!,我喜欢她使用的所有餐具既友善又是她的食材！
31913,Ugz5SQzSVIB9U4-q1np4AaABAg,211,3 years ago (edited),"after observing for a period of time, i found that there are the following characteristics of the ziqi channel:
the first is that the fan base is wide and thick. as a oil pipe channel that is not managed by myself,
and there is no interaction with the fans on the oil pipe, and it is not easy to achieve the current scale.
after all, the channel originally started from the help of fans, and it felt a bit ""inadvertently inserted willow and willow"";
secondly, the video praise rate is high, which is nearly 10 times higher than the general channel. this is amazing.
explain that the quality of the video is high, unlike the channels that have a lot of subscriptions on the oil pipe are the same as scum.
after all, there are too many channels on the channels that scam money every day after they are named.
the last is that the channel is highly popular, and the number of comments itself explains everything.
and i dare to ensure that there are few big channels such as such a harmonious channel on the entire oil pipe.
ziyi here is one of them, like a world of integration in the world.","观察了一段时间，发现子柒频道有以下几个特点：
首先是粉丝群又广又厚，做为一个不是自己亲自管理的油管频道，
而且在油管上和粉丝毫无互动，能做到目前这样子的规模很不容易，
毕竟频道最初是从粉丝帮忙搬运起家，多少有点“无心插柳柳成荫”的感觉；
其次是视频点赞率高，比一般频道高出近10倍的点赞率，这点很了不起，
说明视频质量高，不像油管上好多千万订阅的频道都是渣一样的点赞率，
毕竟出了名之后每天发点烂片混日子骗钱的频道油管上太多太多了；
最后就是频道人气高，评论数量自身就说明了一切，
而且我敢保证整个油管上这么和谐的大频道根本就没几家，
子柒这里就是其中一家，俨然一副世界大融合的景象。"
9013,UgzhzWVbJJOaHS4REKt4AaABAg,208,2 years ago,"an interesting observation: many western families grow beautiful flowers in their gardens, but in a chinese garden you are much more likely to see a great variety of vegetables such as peppers, tomatoes, eggplants, etc: just enough to supply a small family. they are as colorful and pretty. i believe such style reflects certain aspects of chinese culture and philosophy of life. grown up in china, i have always been pursuing a quiet, peaceful and self-sufficient life. and i found it in this film.",一个有趣的观察：许多西方家庭在花园里种美丽的花朵，但是在中国花园里，您更有可能看到各种各样的蔬菜，例如辣椒，西红柿，茄子等：足以提供一个小家庭。他们是丰富多彩的。我相信这种风格反映了中国文化和生活哲学的某些方面。在中国长大，我一直在追求安静，和平和自给自足的生活。我在这部电影中找到了它。
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,2 years ago,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
18676,UgztIKf9gD2-a_dVV6N4AaABAg,203,3 years ago,"when she put the chilies in the fire,i just like go back my childhood. i cried.",当她将辣椒放在火中时，我就像回去童年一样。我哭了。
25479,Ugxkaczi3rRY4eft6Y54AaABAg,198,3 years ago (edited),who else would like to have liziqi’s life ?,还有谁愿意拥有利兹奇的生活？
17533,Ugz7qOySXHjdxny0QiZ4AaABAg,190,3 years ago,"i think this is what we call ""inner peace"" - all of us, literally, are desperately pursuing some kind of life like this. it is escapism but not 100 percent, as it is more positive. really really nice, heart-warming video. thank you.",我认为这就是我们所说的“内在和平” - 从字面上看，我们所有人都在拼命追求像这样的生活。它是逃避现实的，但不是100％，因为它更积极。真的很好，令人心动的视频。谢谢。
20675,UgzalNXFdzz5HngVF9V4AaABAg,183,3 years ago,"my father always taught me
work like a slave
eat like a monster
and sleep like a king","父亲总是教我
像奴隶一样工作
像怪物一样吃
像国王一样睡觉"
18791,Ugws-cr34RVZokUlHr14AaABAg,182,3 years ago,what kind of losers would dislike such video? cant figure out.,什么样的失败者会不喜欢这种视频？无法弄清楚。
14882,UgxdzDDvqWYvCwMjbWB4AaABAg,162,3 years ago,the grandma is lucky to have a grandchild like her.,奶奶很幸运能拥有像她这样的孙子。
15086,UgzYaG8q1xN2uXktZBp4AaABAg,156,3 years ago,i don't understand why would someone unlike this video...,我不明白为什么有人会和这个视频不同...
4136,Ugx2Bn8O1FroGaCiTYp4AaABAg,151,2 years ago,"in a time where everything is fast and noisy, it's good to get these relaxed vibes and natural sounds, like drops of water, birds :)",在一切快速而嘈杂的时候，最好获得这些放松的氛围和自然的声音，例如水，鸟类，鸟:)
33384,UgwyyTX_11oSpbqFpYl4AaABAg,139,3 years ago,"3 new videos in a week? 
wow!! i feel like i got a big diamond's ring....
thank you so much for you, grandma and your team's hard work, liziqi....
can't wait for another new video, because your videos always amazed me.
lots of love from indonesia 
❤❤❤","一周内的3个新视频？
哇！！我觉得我有一个大钻石的戒指。
非常感谢您，奶奶和您团队的辛勤工作，Liziqi。
等不及另一个新视频，因为您的视频总是让我惊讶。
来自印度尼西亚的很多爱
❤❤❤"
15849,UgzXqMmiTZGBoG3lg7x4AaABAg,135,3 years ago,"as a european, i have never had the tangent with the specific food to the area you are from, what you cook, i call healthy food, all kinds of nutrients and vitamins etc, exactly what the body needs. i really like your lifestyle, even if you do not show it all, but seeing from the big perspective you lead a healthy life, we should take an example from you. greetings from romania :)",作为欧洲人，我从来没有与您来自该地区的特定食物，您烹饪的东西，我称之为健康食品，各种营养素和维生素等，这是身体所需的。我真的很喜欢您的生活方式，即使您不展示所有的生活方式，但是从大的角度来看，您过着健康的生活，我们应该以您的榜样为例。罗马尼亚的问候:)
10864,UgwXeLq3XW31NNJo_fR4AaABAg,134,3 years ago,"i like her, because is strong woman.",我喜欢她，因为是坚强的女人。
23642,UgzuK8p2uyWhMBSKJnd4AaABAg.8zeGo5ApctX8zi6iZAiprB,132,3 years ago,"lmao same tho. in my head i was like-
""now a handful of sand, mix it well""","同一lmao。在我的脑海中
“现在几个沙子，将其混合得很好”"
23135,UgyEjxiRcAoQo1Ge5NJ4AaABAg,130,3 years ago,honestly that big wok looks like a dream to cook with,老实说，大炒锅看起来像是一个梦的梦想
24279,Ugw6-Fyh1Ixq0BuXkIZ4AaABAg,125,3 years ago,"everytime i watch your video, feels like i'm on the fairytale. the water sound, the animal sound, even the tree when the wind blow it feels so real in my beside",每次我观看您的视频时，都会感觉就像我在童话中。水的声音，动物的声音，甚至在风吹时，在我旁边感觉如此真实
21324,Ugw6bGalG6GxpFvlT0B4AaABAg,122,3 years ago,"i am from rural china. many of the pictures in the video remind me of my life, but the clothes i wear when i was young were not so clean.
i am very fortunate to be born in rural china. although there are houses and cars in shenzhen now, i still like and miss the life in rural areas when i was a kid. ... especially in the summer, the air is cool, there are many wild fruits, and you can swim to catch fish in the clear river.
my wife always complains to me why i have to return to the remote countryside every long vacation. where did she understand that only when i returned to the countryside i was familiar with, i could enjoy the peaceful peace of mind.","我来自中国农村，视频里面的很多画面让我想起小时候的生活，只不过我小时候穿的衣服可没这么干净。
我很庆幸出生自中国农村，虽然现在在深圳有房有车了，但我还是喜欢也很怀念小时候在农村的生活。.....尤其是夏天的时候，空气凉爽，野果又多，还可以到清澈的河里游泳抓鱼。
老婆老是向我抱怨，为什么每次长假都要回到边远的农村。她哪里明白，只有回到我熟悉的农村，我才能享受几天心的安宁。"
14163,UgxhOUXbZAJ0PtM19IF4AaABAg,121,3 years ago,the snails are like: aww a nice bath. boom salt,蜗牛就像：一个不错的浴缸。繁荣盐
28489,UgzIlPfMgT8UA49gInF4AaABAg,116,3 years ago (edited),"what i like so bad and it is so impressive she never uses"" plastic"" no harming nature
terribly wish i could join that bliss for only one day !","我如此糟糕的东西，令人印象深刻，她从不使用“塑料”没有伤害自然
非常希望我只能加入那个幸福！"
17966,Ugy9Dzd0HKEAe92QJqh4AaABAg,111,3 years ago,am i only one feel cooking a real chinese traditional food is complicated like alchemy. lol,我只有一个人觉得烹饪真正的中国传统食物像炼金术一样复杂。哈哈
6585,Ugy3xkTYxlTAID94IdJ4AaABAg,107,2 years ago,"i wish one day could live in place like this,so calming,relaxing,quiet place",我希望有一天能像这样生活，如此平静，放松，安静
29079,Ugy_rv69BA1VHfhSQsR4AaABAg,107,3 years ago,"hello,i'm from vietnam,my grandfather often watch your videos and he very like it. he said : "" you very beautiful and you cook very well"" .he wishes he had a peaceful life like you . love you",您好，我来自越南，我的祖父经常观看您的视频，他非常喜欢。他说：“你很漂亮，你做得很好。”他希望他过着像你一样和平的生活。爱你
25356,UgwC52e0s2699PTinJ54AaABAg,105,3 years ago,your garden looks like an island of all ingredients...big sis,您的花园看起来像是所有成分的岛...大sis
12921,UgytWROnurt7fOcPZJp4AaABAg,104,3 years ago,"in every episode i watch, it looks like she's creating a cure for cancer in all her wonderful recipes.",在我观看的每一集中，看起来她都在所有美妙的食谱中都在为癌症创造一种治疗方法。
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,3 years ago,"in order to write the college entrance examination composition to watch my sister's video ... i really envy my sister's life like this. after reading it, i was so moved. i was very happy to see foreign netizens' messages! intersection thank you sister for the help of spreading chinese culture, and thank you for your dreams for so many people. this may be your dream ~ i'm happy for you. thanks a lot! intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
26988,UgyDSnKCZSbwdV2pXO14AaABAg,102,3 years ago (edited),"if you're getting lazy and don't know how to start the day, just watch liziqi's and you'll be energized too js like her",如果您变得懒惰并且不知道该如何开始一天，只需观看Liziqi的工作，您也会像HER
23434,UgzUJFsjexVHtAYIVQp4AaABAg,95,3 years ago,"whoever is married to this woman is one lucky dude!
she is a real artisan. 
this like what my grandma and mother used to do, everything from scratch. wonderful.","与这个女人结婚的人是一个幸运的家伙！
她是一个真正的工匠。
这就像我奶奶和母亲过去所做的一切一样，一切都从头开始。精彩的。"
5405,UgzopX7Yr44Dc0Gv2cZ4AaABAg,93,2 years ago,the most impressed is her knife. it appears in every video. it looks like made in qin density (2000 years ago).,印象最深刻的是她的刀。它出现在每个视频中。它看起来像是在秦密度（2000年前）制造的。
9680,UgxeDjXMOCo9vlzxzEZ4AaABAg,92,3 years ago (edited),"i canโ€t get enough of her. she lives the most beautiful, simple, productive life. itโ€s like watching a fairytale",我不能得到她的足够。她过着最美丽，最简单，富有成效的生活。就像看童话
31539,Ugzonvb4zsPJxUzVih54AaABAg,91,3 years ago,"hello 
i am from manipur,a north eastern state of india 
i would like to say that we have similar kind of lifestyle and food habits 
we also eat this kind of food
love from manipur,india","你好
我来自印度东北部的曼尼普尔
我想说我们有类似的生活方式和饮食习惯
我们也吃这种食物
来自印度曼尼普尔的爱"
4005,UgxHOAVJx2g8zJLuxXJ4AaABAg,90,2 years ago,she’s like an evolved pokémon and we’re all snorlaxes,她就像一个进化的神奇宝贝，我们都是鼻子
18509,Ugz7vX27tY0R8YBBwyB4AaABAg,89,3 years ago,i love how some of her music sounds like you're entering some sleepy little village in a jrpg from the 90's.,我喜欢她的一些音乐听起来好像您正在90年代进入JRPG的一个困倦的小村庄。
21751,UgyO_mDCJri5jGOIWnp4AaABAg,85,3 years ago,"i may not be able to live just like her but she inspires me to do more myself and rely on stores just a bit less. raised garden beds, fix things, use natural items, etc.",我可能无法像她一样生活，但她启发了我做更多的事情，并依靠商店少一些。凸起的花园床，修理东西，使用自然物品等。
30711,UgyLzQxSX-Xr9lsYQYB4AaABAg,83,3 years ago,i love the chinese culture of living and i want to live in quiet places like this ☺️,我喜欢中国的生活文化，我想住在这样的安静的地方☺️
7623,UgwWWfHuFaBsk2bQqhd4AaABAg,82,2 years ago,"many years ago, i was in a small village like hers. it brings me back a lot of stories.. thanks liziqi",很多年前，我在像她这样的小村庄里。它给我带来了很多故事..谢谢Liziqi
14259,Ugx9scXIVeGR00l-hFN4AaABAg,80,3 years ago,she's cooking an entire forest it seems. i like this.,她看上去正在烹饪整个森林。我喜欢这个。
28540,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8yk8_7inQwf,78,3 years ago,"@franzpeters3824 ""noting to do"" - sounds like you can't either.",@franzpeters3824“注意事项” - 听起来您也不能。
30722,UgzL5nyy2lVkZjq6So14AaABAg,76,3 years ago (edited),bamboo shoots is one of the most popular recipe in northeast india.. love from northeast india.our culture something like china thailand maynmer etc,竹芽是印度东北部最受欢迎的食谱之一。来自印度东北部的爱情。我们的文化像中国泰国梅纳默等
25602,UgxHsgRpANCCm8gOQEx4AaABAg,74,3 years ago,their life is so peaceful.....wanna be like them,他们的生活是如此宁静.....想像他们一样
31839,UgwcNqMFyyFbcw-g-Eh4AaABAg,72,3 years ago,"while i'm laying in this bed... in this boring hospital.. while watching your video suddenly my tears just fall down.. my mom ask me why i'm crying i just answered "" mom, can we visit her before i die"" my mom came and hug me while crying...... "" sure baby but promise me you need to be strong, ok"" 
"" sure mom""... 
thank you for making this movie. i really love it❤️❤️❤️ i wish someday soon i will going to be in a place like that","当我躺在这张床上...在这家无聊的医院中..当您的视频突然看我的眼泪时。死了“我妈妈在哭泣的时候来拥抱我..............................................
“确定妈妈” ...
感谢您拍这部电影。我真的很喜欢它❤️❤️❤️我希望有一天我很快就会成为这样的地方"
34683,UgzY7D87DSSlVgPicvx4AaABAg,67,3 years ago (edited),even some dishes aren’t look like delicious i’m still watching. i love how she cook.,即使有些菜看起来也不是美味，我仍在看。我喜欢她做饭。
22921,UgwuIIDKTgk1TaxY4qt4AaABAg,67,3 years ago,"i envy the life you have. simple living no comlexities, just being with mother nature.
it used to be like this man was just uncontented and turned into a life full of difficulties.","我羡慕你的生活。简单的生活没有共同点，只是与大自然与大自然在一起。
曾经像这个男人一样毫无意义，变成了充满困难的生活。"
3613,UgxDrz78yz2MbmuWXKd4AaABAg,67,2 years ago,hello from spain: i impatiently expected a new video you are an artist cooking and doing everything i look reflected in you i also make the arrangements of the casa del campo and the animals we live in the field and we take care of our animals that feed us. keep doing videos i really like a very strong hug,来自西班牙的您好：我不耐烦地期待一个新视频，您是一名艺术家烹饪，并做我看起来很反映在您身上的一切，我也做了Casa del Campo和我们生活在田间的动物的安排，我们照顾好我们的动物我们。继续做视频，我真的很喜欢一个非常强烈的拥抱
26500,Ugxc1AA-oZMd4ChgkiR4AaABAg,66,3 years ago,"i like the way that you live. you and your natural surroundings are so much beautiful
the way you cook is superb.","我喜欢你的生活方式。您和您的自然环境非常美丽
您做饭的方式很棒。"
12364,UgygGphu6PgOX7YaItl4AaABAg,64,3 years ago,how do you even dislike these videos they are literally a grace from god,您甚至不喜欢这些视频，它们实际上是上帝的恩典
24858,Ugztyhladsn-4Os-RXR4AaABAg,64,3 years ago,i absolutely love bamboo! my dream is to have a bamboo forest like that in my backyard!,我绝对喜欢竹子！我的梦想是在我的后院拥有这样的竹林！
24867,UgwNbCpU6Bu3-5x6qAV4AaABAg,60,3 years ago,i really love your channel and what you do. i finally found a channel with no hate comments . who could any one not like this. i actually started a garden because of you . thank you so much for the inspiration❤️❤️,我真的很喜欢您的频道以及您的工作。我终于找到了一个没有仇恨评论的频道。谁能不这样的人。我实际上是因为你而开了一个花园。非常感谢您的灵感❤️❤️
1651,Ugx4g3-WEQ5O85RbgLd4AaABAg,58,1 year ago,"i've tried some dishes of oriental cuisine, especially china and japan and say: there is a natural sensitivity in the way of doing and proving! i really like!!
congratulations to this beautiful girl!","我尝试了一些东方美食，尤其是中国和日本的菜肴，并说：做和证明的自然敏感性！我很喜欢！！
祝贺这个美丽的女孩！"
21597,UgxmqdZOcxxK0Zco7ld4AaABAg,57,3 years ago,i think about how much fake food i eat and how weak i always feel... this almost makes me cry. someday i'm going to live like this too. its beautiful.,我想到我吃了多少假的食物，以及我总是感到多么虚弱……这几乎使我哭泣。总有一天，我也会像这样生活。很美丽。
27952,UgwcL7pl3k4GFsOKdSx4AaABAg,54,3 years ago,"she is blessed by mother nature...
i wish if every part of the earth looks like her province one day..
if we love nature...we should also take care of nature..","她被大自然的祝福...
我希望有一天地球的每个地方看起来像她的省。
如果我们爱自然...我们也应该照顾大自然。"
28307,UgzP_2hph4EIUadcx8N4AaABAg,54,3 years ago (edited),"i don’t usually watch these videos to know how to cook things, i watch them because they make me wonder how living this type of lifestyle feels like. it’s just so interesting",我通常不会看这些视频知道如何做饭，我看了它们，因为它们让我想知道这种生活方式的感觉如何。太有趣了
20312,Ugz5j3EO-Yn9B5CMeZZ4AaABAg,53,3 years ago,my god....if i had a diet like this my skin would probably glow as well,我的上帝....如果我有这样的饮食，我的皮肤也可能会发光
4551,UgzsYjL8Vp2YVP-cX894AaABAg,53,2 years ago,"hello, li ziqi. i am from indonesia and i really like you. the spirit of making videos. and don't forget to take care of your health. because many people like your video, i love you. bleak",你好，李子琦。我来自印度尼西亚，真的很喜欢你。制作视频的精神。并且不要忘记照顾自己的健康。因为很多人喜欢你的视频我爱你。
21103,UgxIIoQ4kisIDaD28pF4AaABAg,52,3 years ago,idk who has the nerve to dislike such beautiful content,idk谁不喜欢如此美丽的内容
3682,UgwsRhvlQoSzrLQbHIh4AaABAg,47,2 years ago,"seems like i was in a dream for a moment. this background, her yard, flowers, jungle & specially she heals me up",好像我在梦中有片刻。这个背景，她的院子，鲜花，丛林和特别是她治愈了我
3235,UgzEp0FVwYGUxD5OU-J4AaABAg,47,1 year ago,"i feel like i'm alone. if there are more members who join, it will be more warm",觉得好像很孤单
23908,UgyTYTiQ_9w46NMVZj94AaABAg,45,3 years ago,"last time i cooked the luosifen, my spanish roommate came out to kitchen and asked me ""what the hell are you burning? the kitchen?"" 
frankly speaking, luosifen is an super ""unique"" food which smells like shit but tastes god-damn fantastic.","上次我烹饪Luosifen时，我的西班牙室友出来厨房问我：“你到底在燃烧吗？厨房？”
坦率地说，Luosifen是一种超级“独特”的食物，闻起来像狗屎，但味道众多的美妙。"
34854,Ugww8WabgL_AcHDqfb94AaABAg,44,3 years ago,"thank you sooooo muchhhhh for uploading your videos frequently 
god bless you for moving and helping all the people emotionally.
you are such a great person and i want to remind it to you in case if you feel like you havent been told enough how admiring and beautiful young lady you are","谢谢您soooo muchhhhh经常上传您的视频
上帝保佑您动摇和帮助所有人情感上的人。
你真是个好人，我想提醒你，以防万一你觉得自己还没有被告知足够钦佩和美丽的小姐你是"
28085,UgzpXTttTRI4RfffQXt4AaABAg,43,3 years ago,"3days 3m view...
it mean something.
we all want live like her in deep in our instincts.","3天3M视图...
这意味着什么。
我们都希望像她一样生活在我们的直觉上。"
16512,Ugzelb93PAte28byGzt4AaABAg,43,3 years ago,"from iraq, the sweetest like from iraq, the most beautiful like",来自伊拉克，像伊拉克一样甜美，最美丽
