,cid,votes,time,含music ,含music 中文翻译
12148,Ugzkz5SC2EcREeVLOeR4AaABAg,21,2 years ago,"make a russian translation or subtitles, please music behind the scenes is very beautiful! thank you",制作俄语翻译或字幕，请在幕后音乐很漂亮！谢谢
4156,Ugx8w5kVjSq4edIPde94AaABAg,19,1 year ago,the music made this even more nostalgic and beautiful than it should be t_t,音乐使这比应该是T_T更加怀旧和美丽
51038,UgwOY6_RorHhx71sZid4AaABAg,15,4 years ago (edited),"oh my gosh, she used music from the digimon soundtrack. makes sense since digimon is quite popular in china.",哦，天哪，她使用了Digimon配乐中的音乐。由于Digimon在中国很受欢迎，因此很有意义。
30683,UgwIzmonaCnWHFP6Ji14AaABAg,14,3 years ago,"omg how nostalgic, digimon bg music i still love it so much that i cry some to that alone, also amazed as always",天哪
14854,UgyW0qku1P96Wiw0pFl4AaABAg,13,2 years ago,background music makes me think about someone i never know nor met,背景音乐使我想到一个我从未认识或认识的人
35640,Ugw7LQhGb6SOie6LajJ4AaABAg,13,4 years ago,the music in the background reminded me of harvest moon lol,背景中的音乐使我想起了收获月亮大声笑
25155,Ugw6kT4CsPue-v3iHSx4AaABAg,12,3 years ago,the background music is beautiful and makes me calm down.,背景音乐很美，让我冷静下来。
16768,Ugy8pkafb7rEDoVQc4V4AaABAg,9,3 years ago,omg when i heard the digimon music i got into my feels and was totally derailed from whatever she was doing,天哪，当我听到Digimon音乐时，我陷入了我的感觉，并且完全脱离了她所做的一切
14604,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9Afw4L8fEPU,8,2 years ago,"thumbs up! thumbs up! thumbs up!
i love movie music ... tian cang cang, the wild, the wind blows the grass and see the dog and sheep ...","赞！赞！赞！
我超爱片头音乐一下…天苍苍，野茫茫，风吹草低见狗羊…柒在天涯的绝美景象"
36550,Ugwqn0FPDGUTzew6CDZ4AaABAg,8,4 years ago,"she's so amazing๐, while i'm watching the video the background music of the scene is great",她真是太神奇了，当我看视频时，场景的背景音乐很棒
27863,UgyDtBO-5tUzGkNCiZZ4AaABAg,6,3 years ago,i was hooked on reezoo's video. the music is also wonderful ๐ถ,我迷上了Reezoo的视频。音乐也很棒
27078,UgwTaz5srvJ5RDg1h3h4AaABAg,6,3 years ago,"first background music is from ever17-a visual novel game. the second one is from digimon adventure anime.
nice vid as always.","第一个背景音乐来自Ever17-A视觉小说游戏。第二个来自Digimon冒险动漫。
一如既往的vid。"
17998,Ugzs7bNSc8TbNKFXifN4AaABAg.97QbVqUuPIP97SYy6Sgw6_,6,3 years ago,i noticed that too! the last time i watched this it had all the natural sounds of her working. the music seems a bit too intense and not like her editing style at all.,我也注意到了！上次我看这件事时，它具有她工作的所有自然声音。音乐似乎有点太激烈了，根本不像她的编辑风格。
10991,UgzVXwN2Sk-mZ8X4ecJ4AaABAg,5,2 years ago,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
27016,UgyUuyuyl9JkP3v5kA54AaABAg.8zXOB8yN2te8zkUUCO2mV7,5,3 years ago,"yes,
very similar with soothing background music and nice countryside landscape","是的，
与舒缓的背景音乐和漂亮的乡村风景非常相似"
3326,UgxS70bH865l74lYhLJ4AaABAg,5,1 year ago,"her first background music was like a happy anime ending , don't you think?",她的第一个背景音乐就像一个快乐的动漫结局，你不觉得吗？
18002,UgyCdR7YgUX61NTojAR4AaABAg.97PhJnxxArv97UgH-rEw9M,5,3 years ago,i always play this video while trying to sleep. that music used to calm me down... now i lost it all and im stuck in my bed missing it :/,我总是在试图睡觉时播放此视频。那种音乐曾经让我平静下来...现在我丢了所有的音乐，我陷入了床上的遗失：/
13464,UgzOT4mLWX0M4pfYB8p4AaABAg,4,2 years ago,"i like the place where there is a mass of meat.
meat to see this slow music with high quality in bgm ... great! !
is there anything else like this video?","我喜欢有大量肉的地方。
肉在BGM中看到这种缓慢的音乐...太好了！呢
还有类似此视频的其他内容吗？"
8295,UgyNArEz1ZS2u0gW4c94AaABAg,4,2 years ago,"taylor swift: i have 50 million views on my newest music video 
liziqi: hold my beer","泰勒·斯威夫特（Taylor Swift）：我在最新的音乐视频中有5000万次观看次数
利兹奇：拿着我的啤酒"
41549,UgwmsxpTFt69pOmyP4p4AaABAg,3,4 years ago (edited),"it’s so calming and lovely to watch
i just wish the background instrumental music isn’t there or isn’t played throughout the whole video","看着很平静和可爱
我只希望背景乐器音乐不存在或在整个视频中都没有播放"
49764,Ugxn7pd_D-6PSN884yh4AaABAg,3,4 years ago,"from 0:00 to 5:13 the background music is ""karma"" by takeshi abo. it's a soundtrack for the sci-fi mystery thriller game ""ever 17 - the out of infinity"". a great game.

the music fits perfectly well with the video.

ps. takeshi abo is also the one who work on the soundtrack for steins;gate, another sci-fi mystery thriller which was a big hit. 
oh and one of the writers of ""ever17"", koutarou uchikoshi, would eventually became the writer and director of the zero escape game series. yet another great sci-fi mystery thriller games.

sorry about all this info dumping. i don't know why i wrote all this. when i heard ""karma"" playing in the background, i just felt the need to. i guess i'm just that much of a big fan of those games/series i've mentioned. or maybe i'm just obsessed. welp","从0:00到5:13背景音乐是​​Takeshi Abo的“业力”。这是科幻神秘惊悚片游戏“ Ever 17 - Out Infinity”的配乐。一个很棒的游戏。

音乐非常适合视频。

PS。 Takeshi Abo也是Steins的配乐； Gate，这是另一个科幻神秘惊悚片，这是一个很大的成功。
哦，“ Ever17”的作家之一Koutarou Uchikoshi最终将成为零逃脱游戏系列的作家和导演。另一个很棒的科幻神秘惊悚片。

对不起，所有这些信息转储。我不知道为什么我写这一切。当我听到背景中的“业力”演奏时，我只是觉得有必要。我想我只是我提到的那些游戏/系列的忠实拥护者。也许我只是痴迷。韦尔普"
16515,UgwhcrpP1NEPuYY4FcF4AaABAg,3,3 years ago,"i think the background music is from the drama ""kill me heal me""(korean version)..so peaceful ❤️",我认为背景音乐来自戏剧《杀死我治愈我》（韩语版）。
27903,Ugz5tzEEZiv4YyU4RyJ4AaABAg,3,3 years ago,"this music made me cry
even tho the video was like about 3 happy people cooking","这种音乐让我哭泣
甚至视频都像3个快乐的人做饭"
17916,Ugzuy75KVrzVNgX6_Vt4AaABAg,3,3 years ago,is it me or has the music changed?,是我还是音乐改变了？
42670,UgzGzeEEQQed4VQ4u_t4AaABAg.8r_9LshsekP8rhFBTCDPUd,3,4 years ago,the background music is from an anime called digimon series.,背景音乐来自一个名为Digimon系列的动漫。
17982,UgyYpAzJ5N04MHrqYWV4AaABAg,3,3 years ago,"just yesterday, now i did not know which guy to hack the clip of her but cage the music that sounded so crazy, crazy!",就在昨天，我看到了它，现在我不知道哪个人要入侵她的剪辑，但是笼子听起来很糟糕，疯狂！
3589,Ugwg1k5TdwbTVPfF2vt4AaABAg,3,1 year ago,"everything is gentle.the will. the scene is peaceful, the music sounds great",一切都很温柔。遗嘱。场景和平，音乐听起来很棒
5020,UgwIpVjOJ_3SIq2NLB94AaABAg,3,1 year ago,lel the background music is so like kimutsu no waiba demon slayer.,LEL背景音乐就像Kimutsu No Waiba Demon Slayer一样。
46686,Ugx2RrdPy-6RTIujGnJ4AaABAg,3,4 years ago,"what’s funny is that all of our lives can be this relaxed and simple, no matter where we live. yet, we keep looking to other cultures, history, groups, movements, to find the answers. but it’s truly right in front of us. love to you all. oh, and i make music on my channel if you care to look. much love",有趣的是，无论我们住在哪里，我们的一生都可以轻松而简单。但是，我们一直在寻找其他文化，历史，群体，运动来找到答案。但这确实就在我们面前。爱大家。哦，如果您想看，我在频道上做音乐。非常喜欢
17102,UgxIm2cLMq9lziWb_wZ4AaABAg,2,3 years ago,the music in this video makes me feel like watching asian drama when the main female lead is a girl like that working hard in life lol,这段视频中的音乐使我感觉就像看亚洲戏剧时，当主要女主角是一个像这样努力工作的女孩大声笑
11041,Ugwbr-dNKGk2tmKCeg14AaABAg,2,2 years ago,why is ever17 music playing in this random video,为什么在这个随机视频中播放Ever17音乐
39349,Ugyh58SjL0UukkR2VIJ4AaABAg,2,4 years ago (edited),"i'm so obsessed with your this type of video. light music on the background and the sound of whatever you're making, so satisfying. you rapped everything so nicely so beautifully. everything is so perfect ๐‘ love from pakistan. your work is absolutely awesome ๐‘๐‘",我非常着迷于您的这类视频。背景上的淡音乐和您所做的任何声音，如此令人满意。您很好地说了一切。一切都是完美的
22016,UgzPeTHghhYrgblpASN4AaABAg,2,3 years ago,the music sounds so similar to studio ghibli's castle in the sky or howls moving castle. it's really cool.,音乐听起来与吉卜力工作室在天空中的城堡或how叫城堡的城堡非常相似。这个真的很酷。
21279,Ugyp1bH7NHXQl_rpks14AaABAg,2,3 years ago,the music is the same on the episode 19 of kimetsu no yaiba.,音乐在Kimetsu no Yaiba的第19集中是相同的。
17805,Ugy0lUevJ96pOfhrPnZ4AaABAg,2,3 years ago,oh my.. the original music before and background sound was a perfect combination... it was my favorite.. why did it changed???,哦，我的..原始音乐和背景声音是完美的组合...这是我的最爱..为什么它改变了？？？
18329,UgzRKs4d9NmwMOL5lQx4AaABAg.97427EejB2G97RMkPByDwq,2,3 years ago,we used to bring our own corn or rice to the guy and waited very impatiently while it was cooking in that thing... and that big sound waooo just like the music from heaven to the kids,我们曾经把自己的玉米或米饭带到那个家伙，在那件事做饭的时候非常不耐烦……就像从天堂到孩子们的音乐一样，声音很大
21969,Ugz72wt1O5yh3AcNl3l4AaABAg,2,3 years ago,"oof. how do you want the soul
and the music is something late","钱币。你想要什么灵魂
音乐是迟到的"
38884,Ugyb45BUPmaxatrUcrB4AaABAg,2,4 years ago,oh my god when that digimon music starts playing my heart starts melting t_t,哦，天哪，当Digimon音乐开始播放我的心时开始融化T_T
6533,Ugysep0UAKCEBkEPxNh4AaABAg.9Ljc_oPbs6V9NwAOOutdy2,2,2 years ago,@liujason2091 some of the music is from studio gibli but some i'm not sure. they sure are comforting!,@liujason2091一些音乐来自Studio Gibli，但有些我不确定。他们肯定很安慰！
8371,UgxLR9HVui79Ehnhc3t4AaABAg,2,2 years ago,she is amazing btw what is the music called its so calming,她很棒，顺便说一句，音乐称为什么是如此平静
6532,Ugysep0UAKCEBkEPxNh4AaABAg.9Ljc_oPbs6V9Nefg78D1yh,2,2 years ago,"i believe she composed those music by herself. remembering i once watched a video describing how did she manage to use her computer to do everything from recording, music and editing, by herself during the early stage.",我相信她自己创作了这些音乐。记住我曾经看过一个视频，描述了她如何使用计算机在早期阶段独自完成录制，音乐和编辑。
25679,UgwYof1jJ_CIjn6T7vp4AaABAg,2,3 years ago (edited),"thought i recognize the music at 5:40, it was digimon adventure when taichi left his sister ๐",以为我在5:40认识音乐，当泰奇离开他的妹妹
1727,UgyPBtl1WQcovNWYrzV4AaABAg.9bSj7v8JG7c9hjwO6G2B8C,2,7 months ago,yes same here....the music and her cooking makes my mind relax ....❤️,在这里是一样的。。。音乐和她的烹饪使我的想法放松。
38409,UgzZF0r-EJ80vpiL7VB4AaABAg,2,4 years ago,i love so much the background music of this video !โค๏ธ๐น,我非常喜欢这个视频的背景音乐！❤️
501,Ugy08Xq9tLdlzSr55At4AaABAg,2,4 months ago,when i saw her every vedio i m really peacefull .....when i am tired and sad .....omg i can't tell how to peace.....the music her work cooking ....m so edict....,当我看到她的每一个小吠陀时，我真的很平静.....当我疲倦和悲伤时.....天哪，我无法说出如何和平.....音乐她的作品做饭....我法令....
31673,UgxrzdgkcSa9zYwejPl4AaABAg,1,4 years ago,i thought it was me but the music is actually from the japanese visual novel called ever17.,我以为是我，但音乐实际上来自日本视觉小说，名为Ever17。
31857,UgwSerpg9bl2tpLTr9V4AaABAg,1,4 years ago,was this music from digimon adventure? whoah the memories :p this was just so pleasing to watch like every video iโ€ve been watching in your channel!,这是Digimon冒险的音乐吗？哇，回忆：P，就像我在您的频道中观看的每个视频一样，观看真是太高兴了！
17820,Ugw6UFx9nM8VzzCYp2V4AaABAg,1,3 years ago,"wow i really love the music that's being played on this video it just feels so peaceful and loving, this music makes me want to open up to the world more has me thanking the universe",哇，我真的很喜欢这个视频中正在播放的音乐，感觉如此和平与爱心，这种音乐使我想更多地向世界开放，这让我感谢宇宙
35763,UgwXhpQ3tCr7nwjwYD54AaABAg,1,4 years ago,"you did me dirty <3 i found you bcause of your purple cloak that you did, but using one of my favorite digimon music was lowkey unfair... i love that song so much!!!",你让我肮脏<3我发现你是你做过的紫色斗篷，但是使用我最喜欢的Digimon音乐之一是Lowkey不公平的...我非常喜欢这首歌！！！
42636,Ugwhvu8Q4P_ETbWi4T14AaABAg,1,4 years ago,oh no! 5:58 (7 nation army music meme),不好了！ 5:58（7国家陆军音乐模因）
17857,Ugzh_z-gS7dZNOBYLS14AaABAg,1,3 years ago,i always play this video while trying to sleep. that music used to calm me down... now i lost it all and im stuck in my bed missing it :/,我总是在试图睡觉时播放此视频。那种音乐曾经让我平静下来...现在我丢了所有的音乐，我陷入了床上的遗失：/
