,cid,votes,含music ,含music 中文翻译
32003,UgyzicNg6rP3dOkDRol4AaABAg,0,when ever i feel stressed i watch ur vedios.. the music made me calm nd cool nd the visual provides peace of mind.... love u lot liziqi... thank u for making such peacefull vedios,每当我感到压力时，我都会看着ur vedios ..音乐使我冷静下来，视觉效果让您放心。
33566,UgzwTGXpceNRP_bEZiB4AaABAg.8yU_oDVj7_C8yUouYc5qXj,0,fan music 17 i would have threw a half -ground at my feet.,粉丝音乐17我会在脚下扔半场。
21096,UgwI--vwhvAJQ4z5UsF4AaABAg.90GeoHnEWg790_couWMeCz,0,iam myowntrash it’s actually one type of music with some chinese instruments and also piano,iam myowntrash实际上是一种带有中文乐器和钢琴的音乐
21122,UgzlEvTpwKvRSoIIWCJ4AaABAg,0,i don't know if i know the language (vietnam) but i want to ask for a music link.,我不知道我是否知道语言（越南），但我想要求提供音乐链接。
31961,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e94DmcVGXawT,0,jsisw9i9 what is the title of the music from 1:14 onwards?,JSISW9I9从1:14开始的音乐标题是什么？
33837,Ugxt4iJVdJ0sA86kyal4AaABAg,0,the music is destroying the beauty of the film making.,音乐正在破坏电影制作的美丽。
21255,UgzPqprrn6cV6HJQrml4AaABAg,0,can you add the titles for your background music please? they are all very lovely.,您可以为您的背景音乐添加标题吗？他们都很可爱。
21563,UgzTiDXa544OaP3ftdJ4AaABAg,0,kudos for her efforts in making her videos. i also love the background music she used here. anyone who knows the title?,她为制作视频的努力而荣幸。我也喜欢她在这里使用的背景音乐。任何知道标题的人吗？
21639,Ugxt4SZoY_LnGm6zy994AaABAg,0,background music awesome,背景音乐很棒
28485,UgzP1I41BpzcFFt7EhJ4AaABAg.8yYBtUtbRu38y_tKHn08-2,0,gla41904 so you need to attract more attention. finding a lot of money for music students who write original background music. this is a matter of consciousness.,GLA41904 所以更需要引起注意，找个写原创背景音乐的音乐学生没几个钱，这是一个意识问题哦
23231,UgxqaTogvet-fBuamYR4AaABAg,0,"these are so gorgeous, wowwww <3 can you please upload versions of these videos without music? the sounds are so soothing and it would be perfect to watch without the music :3 <3",这些是如此华丽，WOWWWW <3您能否请您上传这些视频的版本，而没有音乐？声音是如此舒缓，没有音乐的观看非常完美：3 <3
29397,UgzMGzF_N5Mmsmo4t7J4AaABAg,0,the music is very calming,音乐很平静
23716,UgzxNzL40UryApyC1154AaABAg,0,"suggest some peaceful chinese music 
https://www.youtube.com/watch?v=rjhjsnhgnng 

https://www.youtube.com/watch?v=m1gxmbsxq1g","建议一些和平的中文音乐
https://www.youtube.com/watch?v=rjhjsnhgnng

https://www.youtube.com/watch?v=M1GXMBSXQ1G"
28484,UgzP1I41BpzcFFt7EhJ4AaABAg.8yYBtUtbRu38yYXdcUaj5j,0,the music copyright on the oil pipe is very strict. several videos were uploaded before being deleted because of the music copyright issue. wool shawl and this episode,"油管上音乐版权限制得很严，之前好几个视频上传上来因为音乐版权问题就被删了，好像就重新配了BGM,微博上好几个视频的BGM就和油管上的不一样，比如：织羊毛披肩和这集"
24022,UgwmBNgFETK-NPx7eE14AaABAg,0,i think if the video without music will be better because we want to hear the nature sound.,我认为，如果没有音乐的视频会更好，因为我们想听听自然声音。
28473,UgzP1I41BpzcFFt7EhJ4AaABAg,0,"it's too easy to be sprayed on weibo or say here. grandpa, the biggest weakness of your video now is the soundtrack of the soundtrack. especially this section is broken. perhaps the chinese creator is not too studying the background music part, either copied, and all copies. either the show is completely, i hope the grandfather can see it",微博上留言太容易被喷还是这里说吧，柒爷你现在视频最大的软肋不足就是配乐方面，尤其这个一段一断，或许中国创作者通病就是不太研究背景音乐这一部分，要么全抄，要么完全出戏，希望柒爷能看到
24033,UgzautdJsw4BwI0sRcF4AaABAg,0,"anybody knows where to find those series music that she used in her videos, please let me know <3",任何人都知道在哪里可以找到她在视频中使用的系列音乐，请让我知道<3
24123,Ugyie9oqt3E2-aChsnJ4AaABAg,0,the music reminds me of gardenscapes.,音乐让我想起了Gardenscapes。
24217,UgxlhspND87wI75VaPp4AaABAg,0,"the film and music are nice, beautiful, haha.",影片和音乐都好听，好看，呵呵。
24839,UgxL12GUl29Er3YItyR4AaABAg,0,the rustic landscape of the green forest adds gentle music that is easy to listen to the gentle heart.,绿色森林的质朴景观增加了柔和的音乐，很容易听到温柔的心。
26125,Ugw54kNveV0ovjtvyRN4AaABAg,0,"life trick : play her videos as background music while doing dishes , then it feels effortless and i can imagine myself being in the mountains",生活窍门：在做碗碟时播放她的视频作为背景音乐，然后感觉毫不费力，我可以想象自己在山上
28355,UgxkPgqkhizagFpy86t4AaABAg,0,"this is so amazing 
and also i love the music background too","这真是太神奇了
而且我也喜欢音乐背景"
26209,Ugw2qRb789wfVHZTPVN4AaABAg,0,the music is so good,音乐太好了
17803,UgwJt57kxthlx_fQLPR4AaABAg,0,"it's looking interesting. moreover the environment, cooking appliances and music making me feel like a disney world",看起来很有趣。此外，环境，烹饪设备和音乐使我感觉像迪士尼世界
27864,UgzmTTZ7op64V24V2BJ4AaABAg,0,the music is relaxing,音乐正在放松
18028,UgynkQtlIkaTNf_rSg54AaABAg,0,what a relaxing and peaceful music ..feel like a healings...,多么轻松而宁静的音乐。
659,UgyO1XUWBa_S7AAjx-14AaABAg,0,this chanel is not liziqi anymore go to chanel liziqi music for support her citizen of the world.. xie xie ni,这个香奈儿不再是liziqi，去了香奈儿Liziqi音乐来支持她的世界公民。
17778,Ugz8YUyEExRBl1U5QDF4AaABAg,0,may i know the music you used for this video? it's really mesmerizing and made my soul wanted to indulge more into the chinese culture that runs in my blood (that i just knew).,我可以知道您用于此视频的音乐吗？这确实令人着迷，使我的灵魂想更多地沉迷于我的血液中的中国文化（我刚刚知道）。
6482,UgyeJpFoOdfauspAohV4AaABAg,0,"music like the thai drama ""bubsaniwat""",音乐如泰国戏剧“ Bubsaniwat”
7552,Ugxf9p7m1ynHApCxwp54AaABAg,0,https://www.youtube.com/channel/ucs_tjpfkkrlxjgre2lcb26q?view_as=subscriber new music in pandemic.,https://www.youtube.com/channel/ucs_tjpfkkrlxjgre2lcb26q?view_as = subscriber新音乐大流行。
7548,UgzN9C7YYdYuc3NMNzt4AaABAg,0,"free music for videos
https://www.youtube.com/watch?v=0y3oy0aepc0","视频免费音乐
https://www.youtube.com/watch?v=0Y3OY0AEPC0"
7415,Ugw9iBqPxAsNNEj-UX94AaABAg.9CqmnidTCQS9DB0mxFCw3v,0,music world oh yeap,音乐世界哦
7397,Ugw9iBqPxAsNNEj-UX94AaABAg,0,"https://youtu.be/7qebtymromm
relaxing music when you watched on cooked !","https://youtu.be/7qebtymromm
当您看着煮熟时，放松音乐！"
6878,UgwR8z-LaguBChitdLJ4AaABAg,0,does anyone know the title of the background music in the last part of the video? it's so relaxing and beautiful,有人知道视频的最后一部分中背景音乐的标题吗？如此放松和美丽
6748,Ugx46z9IiBcNoiX0Ktl4AaABAg,0,"love the music and video but, wish the dog was not barking!!!",喜欢音乐和视频，但希望那只狗不要吠叫！！！
6670,UgwK_-qpsn6SLNqgSxx4AaABAg,0,"awesome ๐โ€โ€๏ธ๐โ€โ€๏ธ๐โ€โ€๏ธ๐โ€โ€๏ธ
music name ?????","很棒的
音乐名称??????"
6555,UgzjtcEc1YQ_o0QrzC54AaABAg,0,"she is truly an inspiration. ๐i watched almost every videos in her channel. โค๏ธ makes me want to live a simple life too. to everybody enjoying it as well i wanna share with you my friend's music and hopefully liziqi notice it too (would be truly awesome ๐). he writes very good music for free and it's a nice way to enjoy life even on quarantine. let's all share positivity and love. you can check the link below! ๐€

https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga","她确实是一个灵感。 

https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga"
5981,UgxvAuJTFlMG5TuJm3F4AaABAg,0,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
