,cid,votes,含strong,含strong中文翻译
51706,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8qlb6IiMG3y,10,"@d3x5t4r you're a laugh. vietnamese new year was a tradition imposed on the people by chinese dominance, it is not a native tradition and thus still an extension of chinese new year. the ancient chinese did not ""steal rice"" from the baiyue as the cultivation of rice was already practised by those of the yangtze civilization who were not considered baiyue. the baiyue themselves were not a single ethnolinguistic group but it is generally accepted that the ancient predecessors to vietnamese people were kra-dai. a ""vietnamese"" identity and polity did not exist until chinese rule and it's very name is derived from a chinese exonym (viet means yue). modern-day vietnamese people are austroasiatic speakers with a strong genetic cline of kra-dai in the north. compared to other austroasiatic people, the vietnamese look very different and more similar to kra-dai. the kra-dai or vietic people may have adopted an austroasiatic language from the people south of them and then proceeded to conquer all other surrounding ethnicities making the modern vietnamese highly heterogeneous. this is particularly the case with malay chams who were conquered relatively recently and they became largely ""vietnamized"" hence their smaller population in the modern era. you must be joking if you think the yijing was developed in south china when the earliest records of it were found in the zhou dynasty (when china was in the north only). the chinese were literally the only ones in the eastern asia region who had a writing system at the time too. the baiyue people still exist as the zhuang, hmong, or tanka so saying that the vietnamese are the only ones left is completely false.",@d3x5t4r你很笑。越南新年是中国统治地强加给人民的传统，它不是本土传统，因此仍然是农历新年的延长。古代中国人并没有从拜纽（Baiyue）“偷米饭”，因为不被视为Baiyue的长江文明已经实践了大米。 Baiyue本身并不是一个单一的民族语言群体，但人们普遍认为，越南人的古代前任是Kra-dai。直到中国统治之前，“越南人”的身份和政体才存在，它的名字源于中国的名字（越来越多的意思是Yue）。现代越南人是北部Kra-dai强大的遗传遗传的大声言论家。与其他澳大利亚人相比，越南人看起来与Kra-dai更具不同，更相似。 KRA-dai或越来越多的人可能已经从他们的南部人民那里采用了一种奥话的语言，然后继续征服所有其他周围的种族，使现代越南人高度异质。对于最近被征服的马来·尚斯（Malay Chams）尤其如此，他们在很大程度上变得“越南”，因此在现代时代的人口较小。如果您认为最早在周朝（中国仅在北部）发现了最早的记录时，您必须开玩笑。从字面上看，中国人也是东亚地区唯一也有写作系统的人。 Baiyue人民仍然存在于Zhuang，Hmong或Tanka时，因此说越南人是唯一剩下的是完全错误的。
38805,UgwMPshD9pvxLc5PzLB4AaABAg,9,"puppys๐ข๐ข๐ข
you are very strong women fitting","小狗
你是非常坚强的女人"
43740,UgwAGZH5fxhe2azrTvt4AaABAg,9,"greetings from new york!!!! it's my very first time viewing your channel!! 
i don't speak chinese, but i enjoyed watching it! i was impressed with 
this young, petit woman being so strong & resourceful! it really is fun to see the different culture & its food!(^^). looks like a great new year celebration!!(^^)(^^)","来自纽约的问候！这是我第一次查看您的频道！！
我不会说中文，但我喜欢看它！我印象深刻
这个年轻的小女人是如此坚强和足智多谋！看到不同的文化及其食物真的很有趣！（^^）。看起来像是一个很棒的新年庆祝活动！（^^）（^^）"
23125,UgxCrd6Wgq9w514CSIF4AaABAg,7,it means that woman can be strong and do anything they like! thatโ€s awesome ๐!!!,这意味着女人可以坚强并做自己喜欢的任何事情！太棒了
39942,Ugz9keDm7kuWfSo_fLJ4AaABAg,5,wonderful ... you have art in your hands ... and you beautiful and harmonious home makes everything more perfect! from argentina a strong hug โค๐ฆ๐ท,很棒...您手中有艺术...您美丽而和谐的家使一切都变得更加完美！来自阿根廷一个强烈的拥抱❤
38937,UgyEv8IhzxnS3WaSH3x4AaABAg,5,"she is such a strong and inspiring woman..........
my respect for her is over the top now","她是一个坚强而鼓舞人心的女人..........
我对她的尊重现在已经超过了"
27060,Ugy2yihZiBu13QHrUSt4AaABAg,5,"she is so tinny and slim, but very strong and stil cute...",她是如此细腻，但是很坚强，很可爱...
7103,Ugzb2_PMojp7ZBkz4KR4AaABAg,5,"okay, don't worry about li ziyi ❤️ i will always support you. since you create this channel, i have always been your loyal fan. it has been a few years, i really like you, and i know that you are a very beautiful woman who is very friendly to you and has a very beautiful woman li ziyi ❤️ do n’t worry. before you achieve greater success, i will always support you, i wish you success, a beautiful lady from china li ziyi ❤️ i am your indonesian fan. i hope you can be a stronger woman, don't be afraid :) i will always support you, i am your indonesian fan, i am your indonesian fan, bleak
continuous success li ziyi ❤️","好的，不用担心 李子柒 ❤️ 我会一直支持您，从您创建这个频道开始，我就一直是您的忠实粉丝。已经有几年了，我真的很喜欢您，而且我知道您是个很漂亮的女人 对你很友善有一个很漂亮的女人 李子柒❤️ 不用担心，在您取得更大成功之前，我会一直支持您，祝您成功，一位来自中国的美丽女士 李子柒❤️ 我是您的印尼粉丝，希望您能成为一个更坚强的女人，不要害怕 :) 我将永远支持你，我是你的印尼粉丝，
持续的成功 李子柒❤️"
10991,UgzVXwN2Sk-mZ8X4ecJ4AaABAg,5,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
46600,UgyrT0ltXdOuMZQws0t4AaABAg,5,"so strong! at the new year's eve, all the snacks themselves will be arranged by themselves",好强啊！过年时所有的零嘴自己全部包办
45942,UgznAfkWsrYKFlIKiOt4AaABAg,4,"i really like you, you 1 strong woman",我真的很喜欢你，你1个坚强的女人
27249,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-H1fdL3An3,3,"thanks for sharing, i think she is adorable and a strong woman and soul. god bless her and her grandma in all things.",感谢您的分享，我认为她很可爱，是一个坚强的女人和灵魂。上帝保佑她和她的祖母在万物中。
11681,UgypyfRWXoHU7X8iqOV4AaABAg,3,"they're so cute. she is petite but she is so strong. shes been doing all the work since small , thats why her hand is like magic",他们很可爱。她很娇小，但她很坚强。她从小就从事所有工作，这就是为什么她的手就像魔术
5769,UgzmNZReRc-yYrAzpv54AaABAg,3,"beautiful and professional videos! every video is a beautiful story, thank you so much for your work, by sharing with us and inspiring so many people! i wish if there would be translation or any english subtitles to the dishes you cook! they look so delicious! what a wonderful place you live in and i admire your strong personality and yet so artistic, hardworking! best wishes for you and your family",美丽而专业的视频！每个视频都是一个美丽的故事，非常感谢您与我们分享并激发了很多人，非常感谢您的工作！我希望您烹饪的菜肴是否会翻译或任何英文字幕！他们看起来很美味！您居住的地方真是一个很棒的地方，我欣赏您强大的个性，但如此艺术，勤奋！祝您和您的家人最良好的祝愿
15229,UgwxvvlC8iCJ3jI9XWJ4AaABAg.99mqE40A4So9AKX82DjAC1,2,stay strong and be safe! (from london),保持坚强并保持安全！ （从伦敦）
24046,UgwjOdBLdGaVg38PYfR4AaABAg,2,omg is too strong!,Omg 太强了！
9616,UgwiUKs9CznPh4uh4AJ4AaABAg.9H1aNavRHpS9HTQHLGRDAI,2,@enchantedcastle i m not having sick mind. her taste buds are so strong that she forgets all. her mind has priority of taste over consciousness.,@enchantedcastle我没有病。她的味蕾是如此强壮，以至于她忘记了所有人。她的思想优先于意识。
19522,UgxWYh3tKEOvDyMqR1J4AaABAg.95ghD49koAg96SLYm8ygpz,2,yes a strong disney princees ❤❤,是的迪士尼王子❤❤
28267,Ugxl5aODcp5u7nYjzcF4AaABAg,2,"beauty, smart & strong, salam from indonesia",美容，聪明而强壮，来自印度尼西亚的萨拉姆
27265,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92BLND1RLhZ,2,"itโ€s true, iโ€m a chinese and thatโ€s her story... sheโ€s a very strong girl๐‘",的确，我是中国人，这就是她的故事...她是一个非常坚强的女孩
7162,UgxpLM0OyX8yDu9WLpF4AaABAg,2,keep strong li ziqi,Keep strong li ziqi
22161,Ugws0nQhRuVdsdnydDR4AaABAg,2,"her time management is strong, i wonder how does she go.",她的时间管理很强，我想知道她怎么样了。
26299,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-n9eILGR5M,1,@janewwu1063 stay strong ...good thing's take time ๐,@janewwu1063保持坚强...好东西需要时间
26408,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy96gBGeeqt_Z,1,"bug bug you sound like a strong person who decide to change, a small step for something big in the future, sigue asi !!!",您听起来像一个坚强的人，他决定改变，这是一个很大的一步，将来大事是Sigue Asi ！！！
21297,Ugzjn48Tk3MBw9N1DXV4AaABAg,1,"this episode is too strong. within a year, more than 43 million netizens have seen it.",这一集太强了，播出不到一年，就有4千300多万人次的网友看过。
26466,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy98qBmQzpLJR,1,"a determined, strong and hardworking young lady leading a healthy life. very capable too.",一位坚定，坚强和勤奋的小姐过着健康的生活。也非常有能力。
20543,UgxSq_OPRDrzJwov8xt4AaABAg,1,"strong, my greater china rural dog haha",壮哉 我大中华田园犬 哈哈
751,UgxEoNNDVrT2IBzasm14AaABAg,1,have waiting for soooo long for your new video.. but.. hope u comeback stronger and please comeback...,等待您的新视频长期以来的寿命..但是..希望你复出更强大，请卷土重来...
27130,Ugzc-Lrg4mAmpIy3taF4AaABAg,1,"missing you and your grandmother are not alone. god knows you very much. you will definitely never leave her. i promise you that you will be in my prayer. you make me strong and patient. after the pain, i will guarantee",想念你和你的祖母并不孤单，上帝很了解你，你肯定永远不会离开她，我向你保证你会在我的祈祷中，你让我变得坚强并且很快就有耐心上帝耶和华将结束痛苦，我会 我保证
37451,Ugx_gHs6-axbG-79wgJ4AaABAg,1,"whereโ€s she live? paradise ? itโ€s such a wonderful ,peaceful in the world that i havenโ€t seen this before. and you are so strong and hardworking and beautiful . im a fan from thailand.",她住在哪里？天堂？在世界上，这是一个很棒，和平的，我以前从未见过。而且您是如此坚强，勤奋和美丽。我是泰国的粉丝。
51627,Ugzpce_EimPIiOwwzaR4AaABAg,1,i have no words to say what can i say hmmm... you are super strong women i wish u all the success may god bless you more an ur loving grandmother an those chocolates so fantastic... good luck stay blessed,我无话可说我能说些什么...你是超强的女人，我希望你一切成功愿上帝保佑你，你是一个爱你的祖母，那些巧克力如此出色...祝你好运...祝你好运。
51383,UgyhAEqiSdcw-3fa_2F4AaABAg.8qlWjpPNezZ8qnYORI0FNn,1,"@ypippo1662 but she also have the right to cover her beautiful face from men or women. i'm not tryna be sexist but men do have a strong hormone that leads to lust and we girls that wanna show our faces so much could lead to unwanted things such as rape, unprotected or protected sex. both of them are really not allowed in islam if they are not married, siblings, related (but cousins can marry each other), by the way. its not in a matter of which man she belongs to. its more about her own safety. but most people these days wear burdah just for style but i do not know for her case",@ypippo1662，但她也有权从男人或女人那里掩盖自己美丽的脸蛋。我不是性别歧视，但男人确实有强烈的激素会导致欲望，而我们想展示自己的脸的女孩可能会导致不必要的事情，例如强奸，未受保护或受保护的性行为。如果他们没有结婚，兄弟姐妹，相关的兄弟姐妹（但表亲可以互相结婚）真的不允许在伊斯兰教中。这不是她属于哪个男人。它更多地是关于她自己的安全。但是如今大多数人只是为了时尚，但我不知道她的案子
48337,UgxtRITJhRVudetrxcJ4AaABAg,1,perfec women and strong women,Perfec妇女和坚强的女性
43627,UgxUqVOo1cb6PZTiY594AaABAg,1,"she is so delicate but so strong, the baskets full of fruits look so heavy",她是如此细腻，但如此强壮，装满水果的篮子看起来很重
