,cid,votes,time,含strong,含strong中文翻译
30623,UgwTwt_-KvmkjNiWK654AaABAg,14,3 years ago,her life is so wonderful and beautiful and she's also so talanted and strong real wonder woman,她的生活是如此美好而美丽，她也是如此善良而坚强的真实神奇女侠
10829,UgzFc8nD99fxqPZIBTx4AaABAg,11,3 years ago,the living example of strong independent woman.,坚强的独立女人的活泼例子。
20247,Ugy-D3OxpapVUBoBjp54AaABAg,9,3 years ago,she is so strong,她是如此坚强
5414,Ugz-P4ivOdt7Ygc1UFt4AaABAg,9,2 years ago (edited),this girl's even stronger than my man,这个女孩比我的男人更强壮
26339,UgwTc-3Tzi-dysuH_pl4AaABAg,9,3 years ago,"i just want to buy
her universal knife
i can cut everything ~ 什么 什么 什么 什么 什么
stronger than the recommendation of shopping ping road","我只想买
她的万用刀
什么都能砍啊~屌炸天
比购物平道推荐的还强"
1110,UgxTwznbq3X1y6Ix0IF4AaABAg,8,1 year ago,"i came here to support li ziyi. the video was really beautiful. moreover, li ziyi truly reflects the state of the older generation of chinese people. in fact, at that time, the supplies were relatively scarce, but they lived well. i hope our country is getting stronger and stronger.",我是专门来支持李子柒的，视频真的拍摄的太美了。而且，李子柒真实反映了老一辈中国人自己自足的那种状态，其实那个时候物资相对匮乏，但是，生活过得有滋有味。希望我们的国家越来越富强。
24855,Ugw43HpMpzRelTA0BOd4AaABAg,8,3 years ago,"this pretty girl can be representative of a strong woman in society, not mary sue in hollywood.",这个漂亮的女孩可以代表社会上一个坚强的女人，而不是好莱坞的玛丽·苏（Mary Sue）。
16427,UgzXBeip5ph5HSUetoZ4AaABAg.92vfD7GVZ6M92zuj5P3Pvv,7,3 years ago,"@karycarrstain i strongly agree!!!!

","@karycarrstain我强烈同意！！！

"
10654,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU798xy7d2DRDA,6,3 years ago,"@yoongles467 okay haha, you think that's her real life??? i strongly doubt that. she has a whole team filming this for her, including people teaching her how to prepare the ingredients, how to make her food looks good, how to make herself looks good and how to make all these look real.",@yoongles467好吧，哈哈，你认为那是她的现实生活？？？我强烈怀疑。她有一个整个团队为她拍摄这件事，包括教她如何准备食材，如何使自己的食物看起来不错，如何使自己看起来不错以及如何使所有这些看起来真实的人。
3936,UgxvqohFAkcpGFFU7T14AaABAg,6,2 years ago,"may god take care and keep you ... may your presence become increasingly strong in your life, protecting you, guiding strengthening your faith ... good morning!",愿上帝照顾并保留您...愿您的存在在您的生活中变得越来越强大，保护您，指导您的信仰...早上好！
31845,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yV9Whz1GiF,5,3 years ago,"you will be strong, my honey...",你会很坚强，亲爱的...
3949,Ugz1ONrvfBB3HgR_MoB4AaABAg,5,2 years ago,"b.e.s.t f'u'u'l'l d.a.t.i.n.n.g h.o.t g.i.ra.l's — o — e — e-x —— ❤️
hotslut.live/frenchteenxxx305see



in the history of human beings, strong people, rich and cunning people predatory tribes, clan, towns, cities, and villages in the weak people, without members of the poor and poor. however, people's willingness to survive forces those who are rejected, deprived or destroyed, and have found a lifestyle and continue to integrate their dna into the development of human society.
when it comes to food, don't think those who are rejected only eat garbage. instead, they learned to find nutrition in the neglected meat and vegetables. they learned to clean, cut pieces, seasoned and stewed wild vegetables and meat, some household vegetables and meats ignored in the food market, and learned to use aromatic wood cigarettes (such as mountain walnuts, walnuts and bean shrubs
when the food is cooked^.^.","B.e.S.T f'u''l'l D.a.T.i.n.G h.o.T G.i.r.L's —L—o—V—e—S—e-X———❤️
hotslut.live/frenchteenxxx305see



在整个人类历史上，强者，富人和具有狡猾特质的人捕食部落，氏族，城镇，城市和乡村中的弱者，无`'守和贫穷成员。然而，人类的生存意愿迫使那些被拒绝，被剥夺或摧毁的基本需求的人们找到了一种生活方式，并继续将其DNA融入不断发展的人类社会。
说到食物，不要以为那些被拒绝的人只吃垃圾。相反，他们学会了在被忽视的肉类和蔬菜中寻找营养。他们学会了清洁，切块，调味和慢炖慢炖的野菜和肉类，在食品市场上被忽略的部分家用蔬菜和肉类，并且学会了使用芳香的木烟（如山核桃，山核桃和豆科灌木
来调味食物煮的时候^.^."
23818,UgwBpzKd-TId4mJu_e14AaABAg,5,3 years ago,"what an amazing young lady, filial to her grandmother, cultivates, cares for and then harvests all of her own food. builds her own furniture, makes her own cooking utensils, her own clothing. she must be incredibly strong, obviously very intelligent, and to top it all off she is beautiful. her program is wonderful to watch, to listen to and to enjoy. thank you.",多么了不起的小姐，向她的祖母申请，培养，关心然后收获自己的所有食物。建造自己的家具，制作自己的炊具，自己的衣服。她必须非常坚强，显然非常聪明，最重要的是，她很漂亮。她的节目很棒，可以观看，倾听和享受。谢谢。
17348,Ugz_7s6SA3hDL7Can_t4AaABAg.92l8B0Itr-992lh7ph-E54,5,3 years ago (edited),"carefully, luosifen has a strong taste. i do not recommend luosifen as introductory chinese food. kung pao chicken and cantonese dimsum are better.",小心地，卢西芬的味道很强。我不建议Luosifen作为中国饮食。功夫鸡肉和广东话浓汤更好。
3040,UgwXuXrtCwweZM1Jrfh4AaABAg,5,1 year ago,my first try with luosifen wasn't pleasant due to the strong scent. months later i tried again and i got hooked. but i can only purchase the instant package from the store and that's not good to consume frequently. i wish i could try the real one soon.,由于浓烈的气味，我与Luosifen的第一次尝试并不愉快。几个月后，我再次尝试，我迷上了。但是我只能从商店购买即时包裹，这不太经常消费。我希望我能尽快尝试真正的方法。
20153,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91o-5lg7zpI,4,3 years ago (edited),"@johnvuu4679 there is so much land on this earth, have you even driven anywhere? have you ever left the city you live in? cities are tiny little specs compared to what is out there. 

and yes, not all land is fertile, that's why you don't try to live in a desert like all the morons in arizona and many other places. you can turn many deserts into grassland: https://www.youtube.com/watch?v=vpthi7o66pi&t=4s 

we grow fields upon fields upon fields of corn and soy to make garbage food that makes us sick while having useless lawns to show off to our neighbors that we can use a lawnmower when we could be making prime habitats for massive herds of animals that we can use as never ending food sources.

you can't afford to live off the land? that makes no sense, do you understand the concept here? you're living off the land, you don't need money.. nobody needs money for anything. it's worthless paper and digits in computers. you realize a couple hundred years ago people just rode wagons across america and picked a spot to settle right? i don't know the immediate answer to how to get land distributed to people who are willing to homestead, that's the hard part. i definitely wouldn't want the government involved. there is no easy solution for it, but the alternative is much worse. houses will be completely unaffordable throughout the world some day, and we'll all be even more of slaves to the corporate systems and governments than we already are. just wait, or just wait for your children to see... it's going to be a fucking nightmare. and it's going to happen, you're not getting the world to homestead, nobody is doing it. we're going the other direction and it's not stoppable.

ya, the population is growing, but as i said, you don't seem to have a clue how much land is out there, and people who cannot live off the land shouldn't be living.. why do you think we got into this situation? we cater to every little desire and whim of everybody all in the name of profit. if you have a strong family and community you can live off the land, anybody can do it, it's just a matter of not being a coddled sheltered half ass human being.

sure.. we've dug ourselves into a hole by chasing the dollars and carrots in front of our faces for centuries, but the solution has been staring us in the face the entire time.. most people are just too lazy and don't want to give up their lives of convenience for an honest living off the land. if you don't want an honest lifestyle living off the land and you want to live in a city full of conveniences and cancers then you're the problem. but you're in good company, probably 99% of people think that way. 

social backlash? like the social backlash from politics, unjust laws, and profiteering? just wait, you haven't even seen social backlash yet, this world is about to explode with social backlash. you're going to wish you had a homestead off the grid when it does.

the fact that i have to explain this to people shows how far gone the majority of mankind is. it's almost a shame that god has promised not to flood the earth again, we could really use a reset.","@johnvuu4679地球上有很多土地，你甚至在任何地方开车吗？您是否曾经离开过您居住的城市？与那里的城市相比，城市的规格很小。

是的，并非所有的土地都是肥沃的，这就是为什么您不像亚利桑那州和其他许多地方那样尝试生活在沙漠中的原因。您可以将许多沙漠变成草地：https：//www.youtube.com/watch?v=vpthi7o66pi&t=4S

我们在玉米和大豆的田地上种植田地，以制作垃圾食品，使我们生病，而无用的草坪可以向我们的邻居炫耀，我们可以在我们可以为大量动物群创造主要栖息地时使用割草机，我们可以使用割草机。用作永无止境的食物来源。

您负担不起居住的土地吗？那没有道理，您在这里了解这个概念吗？您在土地上生活，不需要钱..没人需要任何钱。这是毫无价值的纸和计算机中的数字。您意识到几百年前，人们只是骑着货车在整个美国都骑着货车，并选择了一个地点来定居吗？我不知道如何将土地分配给愿意居住的人的直接答案，这是困难的部分。我绝对不希望政府参与其中。没有简单的解决方案，但是替代方案更糟。有一天，全世界的房屋将完全负担不起，与我们现在相比，我们所有人都将成为公司系统和政府的奴隶。等一下，或者等待您的孩子看到...这将是一场他妈的噩梦。这将发生，您不会让世界进入宅基地，没有人在做。我们朝另一个方向前进，这是不可停止的。

是的，人口正在增长，但是正如我说的那样，您似乎不知道那里有多少土地，而无法生活的人不应该生存。这个情况？我们以利润的名义迎合每个人的每一个小小的渴望和兴起。如果您有一个强大的家庭和社区，您可以在土地上生活，任何人都可以做到这一点，这只是一个不做一个顽固的庇护半屁股人的问题。

当然..我们已经通过在脸前追着美元和胡萝卜数百年来挖掘了一个洞，但是解决方案一直在整个脸上盯着我们。想要放弃他们的便利生活，以诚实地生活在土地上。如果您不希望诚实的生活方式在土地上生活，而是想住在一个充满便利和癌症的城市中，那么您就是问题所在。但是您的公司很好，大概有99％的人以这种方式思考。

社交反弹？就像政治，不公正法律和盈利的社会反对一样？等一下，您甚至还没有看到社交反弹，这个世界即将在社交反弹的情况下爆炸。您将希望在电网上拥有一个宅基地。

我必须向人们解释这一事实，这表明了大多数人类已经走了多远。上帝已承诺不要再次淹没地球几乎是可惜的，我们可以真正使用重置。"
24565,UgxSUie0_w4xYaV_-v14AaABAg,4,3 years ago,"what i love about ziqi most is she shows lots of good qualities of many traditional chinese women, resilient, supportive, gentle, caring, strong and hardworking.",我最喜欢Ziqi的是她表现出许多传统的中国女性的良好品质，这些女性有韧性，支持，温柔，关怀，坚强和勤奋。
31848,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVDFzqIyhs,4,3 years ago,stay strong,保持坚强
13919,UgyS7OQn55OBGKVZdo94AaABAg,3,3 years ago,"what a strong knife, a sensible girl",好劲的刀功，好懂事的女孩
19374,Ugwft_uJNxwGwSQ-GQR4AaABAg.91x3zt49ZdK92XdQFOnbqG,3,3 years ago,"@looc1612 wants to cultivate as a strong wheel, don't waste time on the internet. hurry up and refine the wheels in your belly, smelly bug",@looc1612 想修炼成为轮子强者，就不要把时间浪费在网络上。赶紧去炼你肚里的轮子吧，臭虫
15773,UgzHzPLTojGnK4zvhnF4AaABAg,2,3 years ago,"people are small and strong, with swords and falls, and they are almost accurate with a knife!",人小力气大，手起刀落，用刀快狠准！
22645,UgxS9qH-s7dLvlE-GY94AaABAg,2,3 years ago,"who will find a talented woman? her value is superior to pearl. the heart of a husband trusts in her, he will not lack benefit. all of her life makes her husband gain benefits, do not hurt. she looked for sheep's wool and thorns, lac-italy took her hand to do the work. she was like a merchant ship, she came back from afar. she woke up when it was still dark, gave food to her family members, and cut jobs for her servants. when she thought of a field, she could buy it; thanks to the fruit of her hands, she planted a vineyard. she strapped with force, and made her arms strong. she felt that her work was being beneficial; her lights did not go out at night. she put her hand on the spinning top, and her fingers held him down. she extended her hand to help the needy, raised her hand to meet the poor and needy. she was not afraid of her family being frozen in snow, because all the families were dressed in deep red fur. she took the blankets; her t-shirt made of fine red linen. at the gate of the city of her husband is known to them, when they sit with the elders of the land. she made a bra and sold it; also gave belts to traders. she put on strength and imposing, and when she thought of the next day, she laughed. she opened her mouth wisely, the merciful principle at her tongue. she takes care of the way of her house, and doesn't eat the bread of idleness. her children rise up, wish her blessed; her husband also rose, and praised her, saying, 
proverbs 31: 10-28 vb1925 
https://bible.com/bible/193/pro.31.10-28.vb1925","谁会找到一个才华横溢的女人？她的价值优于珍珠。丈夫的心信任她，他不会缺乏利益。她的一生都会使丈夫受益，不要伤害。她寻找绵羊的羊毛和刺，Lac-titary握住她的手做这项工作。她就像一艘商船，从远处回来。当天黑时，她醒了，给家人吃了食物，并为她的仆人裁员。当她想到一个领域时，她可以买到。多亏了她的手的果实，她种了一个葡萄园。她用武力束缚，使自己的手臂坚强。她觉得自己的工作是有益的。她的灯在晚上没有熄灭。她把手放在旋转的顶部，手指将他压低。她伸出手来帮助有需要的人，举起手来遇到穷人和有需要的人。她不怕家人在雪中冻结，因为所有家庭都穿着深红色的皮毛。她拿了毯子。她的T恤由精美的红色亚麻制成。当他们与土地长老坐在她的丈夫城市的大门上。她制作了胸罩并卖掉了。也给贸易商带来了腰带。她发挥了力量和强烈的态度，当她想到第二天时，她笑了。她明智地张开嘴，舌头上的仁慈原则。她照顾房子的方式，不吃闲散的面包。她的孩子起床，祝她祝福。她的丈夫也升起，称赞她，说，
谚语31：10-28 VB1925
https://bible.com/bible/193/pro.31.10-28.vb1925"
14469,UgwC1BG8OG690PtX4iB4AaABAg.94C3z5UoImQ95XgKXFGVLj,2,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
14567,UgzGJkA1_05JZiiafKl4AaABAg.947wSBzYSTb94l2R97Lp6y,2,3 years ago,"tala taptap i humbly appreciate you giving your time explaining your perspective of heaven, so thank you (: however that is not the case for others. while you strongly believe about your ""heaven"" i believe its only fair to respect others beliefs, whatever it may be. everyone goes through different types of unfortunate circumstances, and everyone goes through depression differently. while it may have worked on you, may not work on others.",tala tappap我谦虚地感谢您给您的时间解释您对天堂的看法，所以谢谢（：但是，对别人而言并非如此。虽然您坚信自己的“天堂”，但我相信尊重他人信仰的唯一公平可能是。每个人都经历了不同类型的不幸情况，每个人都以不同的方式经历抑郁症。尽管它可能对您有用，但可能对他人不起作用。
25622,UgxHsgRpANCCm8gOQEx4AaABAg.8z01C08josy8zDqNZ6aLDU,2,3 years ago,no ones life is peaceful and easier as you think. it depends on people nature can they make it easy or not! everyone has to struggle a lot in daily life. and some people are very strong who have slient tears behind the their heart stealing smile,您想象的是，没有人的生活更加和平，更容易。这取决于人的大自然，他们是否可以使它变得容易！每个人都必须在日常生活中挣扎很多。有些人非常强壮，他们的心脏偷走了微笑的泪水，
18623,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92gpvlcs_k1,2,3 years ago,"@alexandernorrie, i am really huh, and it really is more brain -disabled than bai zuo. which country and which nation has no civil war and no internal fighting? according to your statement history, the south american war, during the cold war, mccarthyism strongly persecuted the elite suspected of the communist party, the persecution of the privilege, and so on. are these people who kill their own people? who is more noble than whom? take this kind of stuff to demonstrate how the chinese are ugly. i think you don't read this history. how deep do you know about industrialization? how much can your parents and ancestors contribute to the country?
i'm really not a nationalist. foreign friends mentioned that mao talked about it. the prejudice person like you is full of bias. you have no shame, it is really funny.","@alexandernorrie 我真是呵呵了，果然黄右比白左更脑残。哪个国家哪个民族没有内战没有内部互殴了？按你的说法历史上美国南美战争，冷战期间麦卡锡主义大力迫害有亲共嫌疑的精英，欧洲迫害新教徒等等等等，这些算不算自己人杀自己人啊?谁比谁更高尚啊?拿这种玩意去论证中国人如何丑恶我觉得你这历史不读也罢。你对工业化了解又有多深啊,父辈和祖辈为国家贡献的血汗你又能看到多少?
我还真不是什么民族主义者，外国友人提到毛就说了一下相关而已，像你这种充满偏见的偏激人士还满口you have no shame，真的挺好笑"
19990,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq95Xghtdkcdz,2,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
218,UgwcdY9hogRE2akKdr14AaABAg,2,2 months ago,living on the mountains with super strong beauty!,生活在山上独立性超级强的美女！
6749,Ugy2UDboQmxz-2Dvert4AaABAg,2,2 years ago,i would like to know the beam she uses and in which she keeps the guadua buds congratulations ๐คญ from medellรญn colombia a strong hug ๐จ๐ด๐…๐ฝโ€โ๏ธ๐๐คญ,我想知道她使用的光束，并在其中保留了瓜杜阿芽的恭喜
10082,UgwUE8yzfdBtFLZrIf14AaABAg,1,3 years ago,"already smart cook, beautiful strong again i think i'm in love",已经聪明的厨师，再次美丽，我想我恋爱了
31853,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVb7rPdJgC,1,3 years ago,"no worry, you will be strong, and your dream will come true. best wishes! hug you!!!",不用担心，您会坚强，您的梦想将实现。最好的祝愿！拥抱你！！！
15868,Ugy3MZpzCqKaqOmAbQ54AaABAg,1,3 years ago,"strong, i am sichuan! intersection",壮哉我大四川！！
21160,UgyQWgVcRjGKSsPidFZ4AaABAg,1,3 years ago,"i'm from vietnam. and....i think i really really like you, and your youtube channel. you're a strong girl, thanks for make all this video, love you soooo much!",我来自越南。 ....我认为我真的很喜欢您和您的YouTube频道。您是一个坚强的女孩，感谢您制作所有这些视频，非常爱您！
5392,UgwInbyIEq-TS9nVHid4AaABAg,1,2 years ago,this young girl is too strong,这个年轻女孩太强壮了
14126,UgwTzlyRqx6hvQfl5eh4AaABAg.94TvRLTDZFr95XgPKBOpFS,1,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
6200,UgxQtCPZb64DunuDvjF4AaABAg,1,2 years ago (edited),"so beautiful โบโบโบ

she seems so soft but the truth is she is so strong inside and outside i loved this..","如此美丽☺☺☺

她看起来很柔软，但事实是她在内外都很坚强，我喜欢这个。"
15107,UgzeC47PVWTZ3o0aSL54AaABAg.93YZt3DfB0Q95XgbiEbWd7,1,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
1266,Ugwq1AWPiGo05euiL-B4AaABAg,1,1 year ago,"i wonder for such a wonderful lady, pretty yet gentle and detailed, but strong from the inside, where is her man? 
don't tell me he is the camera man? emmm....","我想知道这是一个如此出色的女士，漂亮但又温柔而详尽，但是从里面很强壮，她的男人在哪里？
不要告诉我他是相机的人吗？ emmm ...."
12982,Ugxg_VsLvA9FQLIDIEV4AaABAg,1,3 years ago,"she is so strong, and clever!",她是如此强大，聪明！
19104,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392gcQkQVj2H,1,3 years ago,"@chicagodaisyflower china is a beautiful, diverse and vibrant country^ ^ especially the southern part such as shanghai, zhejiang, jiangsu and sichuan. people are very kind and considerate, they are genuinely inclusive and open. if you plan to travel in future i'd strongly recommend starting from shanghai and then go to zhejiang and sichuan--amazing scenery, city vibe and numerous cuisines~",@chicagodaisyflower中国是一个美丽，多元化和充满活力的国家 ^ ^，尤其是南部，例如上海，Zhejiang，Jiangsu和Sichuan。人们非常友善和体贴，他们真正具有包容性和开放性。如果您打算将来旅行，我强烈建议您从上海开始，然后前往Zhejiang和Sichuan - 令人惊奇的风景，城市氛围和许多美食〜
34541,UgzOqoiJm1PjMV6XT8J4AaABAg,0,3 years ago,lizi you are super strong,lizi你是超强的
32385,UgzqPvMjNKil3Iu1WdF4AaABAg,0,3 years ago,she is very beautiful and strong.,她非常美丽和坚强。
21907,Ugxaq7S6hbWgKIVNWzR4AaABAg,0,3 years ago,"the marigold, the smell of the soil, the sky is the rain. very beautiful, environmental resources, leaves blooming, grass roots are lush fragrant, gaysorn, beautiful, beautiful girl come to the way of happiness, pay in installments, similar to the cost of the wings to the wings beautiful, rumored, good fertilizer, very diligent formula life must be struggling, dancing, achieving the function, laying the foundation. kick is far away. the three castles are alive. oh, whoever they are good. everyone is good. the scope of greatness will know how to know. life is to learn by yourself. people with disabilities are people who reconcile their feet, not knowing the story, creating a burden of parents. the pair should be ashamed, with energy, instead, the parents create their identity easily. the path must be invaded, even if the placenta is not able to win our hearts. do not be weak and the parable may lose our own heart. the diligent formula only has the production of harvesting all year. can be extended far, but easily. parents are proud. children know the job, know how to create their own status, worthwhile. good formula, good lack of good life, allergic life is not a full produce. sweat and force, worth the price, lose the position, can fly far the brave wing is strong, strong, never retreating the turbo heart. m, a hundred and fifty hearts, over a hundred, not boundary, there is a victory class. try to see and know the variety of flavors, three castles, second to none. life must be confident.",万寿菊，土壤的气味，天空就是雨。非常美丽，环境资源，叶子盛开，基层郁郁葱葱香，盖龙，美丽，美丽的女孩走上幸福的方式，分期付款，类似于机翼的翅膀成本美丽，传闻，良好的肥料，非常勤奋的配方生活必须挣扎，跳舞，实现功能，奠定基础。踢很远。三个城堡还活着。哦，无论他们很好。每个人都很好。伟大的范围将知道如何知道。生活是自己学习。残疾人是调和脚，不知道故事，造成父母负担的人。这对夫妇应该以精力感到羞耻，而是父母很容易地创造出自己的身份。即使胎盘无法赢得我们的心，也必须入侵道路。不要虚弱，寓言可能会失去我们自己的心。勤奋的公式只能全年进行收获。孩子们知道这项工作，知道如何创造自己的身份，值得。良好的配方，良好的生活，过敏性生活并不是一个充分的农产品。汗水和武力，值得付出代价，失去位置，可以飞得很远勇敢的翅膀坚固，坚固，从不撤退涡轮心。 M，一百五十心，一百多，而不是边界，有一个胜利班。尝试查看并了解各种口味，三个城堡，脱颖而出。生活必须充满信心。
31863,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yb2IyhPG9f,0,3 years ago,be strong.don't believe everything they say!maybe you can handle it.a miracle happened to me once.i wish you a miracle too.,要坚强。不要相信他们说的一切！也许您可以处理它。曾经发生的奇迹曾经发生过。我也希望您有一个奇迹。
35285,Ugz1saQYG9C0SUUi5BZ4AaABAg.8yURoPrINdo90O8za0eHGU,0,3 years ago,"@franzpeters3824 emm, strongly recommend u to log onto bilibili. com which is a chinese 'youtube', it's one of the channel for people to well know about china nowadays. because chinese don't always use youtube, which make people outside of china can't really have a chance to know about chinese. u are welcome to take a trip here.",@franzpeters3824 emm，强烈建议您登录比利比利。 com是中国的“ YouTube”，这是人们当今人们对中国有充分了解的渠道之一。因为中国人并不总是使用YouTube，这使中国以外的人真的没有机会了解中国人。欢迎您在这里旅行。
35065,UgzArQkaB8YRRUIM0-14AaABAg,0,3 years ago,"strong, my greater china! intersection",壮哉我大中华！！
