,cid,votes,time,含sichuan,含sichuan中文翻译
16618,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H933xdivh5rt,6,3 years ago,"“li lives with her grandmother in the countryside of mianyang in southwest china's sichuan province.[8] she was orphaned at a very young age. as a young adult she lived in the city, making a living by working as a music dj. when her grandfather died, she moved back to take care of her grandmother. accordingly, her online videos are produced using a personal assistant and a videographer. she adopted two dogs into sichuan province and chose to be unmarried and childfree.” wikipedia",“李与她的祖母住在中国西南四川省的迈阳的乡村。[8]她很小的时候就被孤儿院。作为一个年轻的成年人，她住在这座城市，以音乐DJ工作为生。当她的祖父去世时，她回去照顾祖母。因此，她的在线视频是使用个人助理和摄像师制作的。她将两只狗收养到四川省，并选择未婚和免费。”维基百科
30244,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38z3VwIoApuW,5,3 years ago,"colin seet it depends on which part of china you are talking about. in much of sichuan where ziqi is from popo means paternal grandma, and waipo refers to maternal grandma.",Colin Seet取决于您正在谈论的中国哪一部分。在Ziqi来自Popo的大多数四川，是父亲的奶奶，Waipo指的是母亲奶奶。
18362,Ugz6-ebFwGpYi9mYo9B4AaABAg,5,3 years ago,"there are really a lot of things on the mountains in sichuan. my hometown yard is also very large. many things have been in, but she is not as much as her, but it is quite real.",四川的山上确实有很多东西，我的老家院子也很大，中了很多东西，就是没她那么多，不过也挺真实
18923,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92TFA8lxByn,4,3 years ago,"@terrykong3366 this original ecological ecology guizhou is everywhere. most of the elder brother, including qinghai, sichuan yunnan, is very original.",@terrykong3366 这种原生态的东西 贵州到处是呀老哥 包括四川云南青海大部分都很原生态的 别问怎么知道的 问就是欢迎来黔西南布依族苗族自治州游玩
2460,UgxEssLRgO4gML-qjup4AaABAg,4,1 year ago,"chinese food culture is extensive and profound ❤ sichuan people said that people are in a foreign country, and the most nostalgic is the taste of rotten meat cowpeuts made by mothers when she was a child! intersection i miss it so much",中国食文化博大精深❤四川人表示，人在异乡，最怀念的还是小时候妈妈做的烂肉豇豆
18922,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92SFSmFf8Y5,4,3 years ago,"@terrykong3366 this is sichuan is not guangxi, and there are indeed there are such clear places. last time i went to lijiang to play, where the place shocked me cleanly. in fact, there are still many clean and beautiful places in mountainous areas. it's just that we can't live there because we have to work to support our family.",@terrykong3366 这是四川不是广西，还有这么清澈的地方确实是有的，上次去丽江玩，哪个地方干净的震惊我了。其实在山区还是有很多清洁优美的地方。只是我们不可能生活在那里，因为我们得工作养活家人。
31849,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVDVoxraGV,4,3 years ago,"come on, hope you are healthy and happy and then come to sichuan",加油 希望你健康快乐 然后来四川
15327,UgxSY_DFKW660fR5QeF4AaABAg.93Ja7rwh5qQ93JwNJyYJTP,3,3 years ago,"don't sour, sichuan girls have good skin",别酸，四川妹子皮肤都很好
30767,UgxRQa4A-PaXviCB9Xx4AaABAg.8yVTcamMULC8yWt6LMKaO_,3,3 years ago,"yes, she lives in sichuan, where is the only home for pandas.",是的，她住在四川，熊猫唯一的家。
17720,UgyCdCSCx4Ijxqf2rjJ4AaABAg,3,3 years ago,"i really want to marry a sichuan girl, but my family does not agree, especially my daughter -in -law, and resolutely oppose it.",非常想娶一个川妹子， 但是家人就是不同意，尤其是我媳妇，坚决反对。
5797,UgwJsT0DXpSdfceI2Nl4AaABAg,3,2 years ago,"i love your videos so much, not only coz they are sooooo excellent, but also i am from sichuan. now i am living abroad. while i see these stuff and the ways you are showing and get the sichuan dialect you are speaking, i feel so closed to my hometown and my family, such a natural and true emotion form the bottom of my heart! really amazing!!!",我非常喜欢您的视频，不仅因为它们非常出色，而且我来自四川。现在我住在国外。当我看到这些东西以及您所展示的方式并获得您所说的四川方言，但我对我的家乡和家人感到非常封闭，这是我内心深处的如此自然而真实的情感！真的很棒！！！
33511,Ugxzr2qQOspcD9LbGiB4AaABAg.8yUafEOIJ_w8yUrN3-WzDU,3,3 years ago,"she lives in sichuan, the place people like spicy food most. not every part of china eat spicy food",她住在四川，人们最喜欢辛辣食物。并非中国的每个部分都吃辛辣食物
10896,Ugwuo9ZvdA39ONQ2enl4AaABAg.98CTy_kIniZ99UePfHQWJ3,3,3 years ago,i wish you all the best! have the opportunity to come to the beautiful sichuan province to play,祝您一切顺利！有机会来美丽的四川省玩
31614,UgxlIGJXXNNrFdBALC54AaABAg.8yVA6raRS7Q8yV_GZRWY2M,3,3 years ago,"i think ziqi is super busy. she probably doesn't have enough time to take good care of her hair and skin. most of girls in sichuan where ziqi lives with good skin. i guess it's just about genetic background, climate(sichuan is surrounded by mountain and with less sunshine and more humidity ) and eating habit(a lot of vegetables, fruit and spicy food).",我认为Ziqi超级忙。她可能没有足够的时间来照顾自己的头发和皮肤。 Ziqi的大多数女孩在Ziqi的皮肤良好的地方。我想这只是遗传背景，气候（四川被山所包围，阳光更少，湿度更多）和饮食习惯（很多蔬菜，水果和辛辣食物）。
17689,UgxC0EF_6wnpzQ5G7YF4AaABAg.92hvjbl1UnK92l6NG1CNfh,2,3 years ago,"countryside near the city of mianyang. the region is in close proximity to the tibetan platou, and another prominent minority group called qiang in mandarin live near by as well. qiang, han(chinese) and tsang(tibetan) are the three most dominant ethnic groups historically in north and west of sichuan.",米安阳市附近的乡村。该地区靠近藏族普拉图（platou），另一个名为Qiang in Pronsarin的著名少数群体也住在附近。 Qiang，Han（中国）和Tsang（藏族）是四川北部和西部的三个主要族裔。
30769,UgxRQa4A-PaXviCB9Xx4AaABAg.8yVTcamMULC8yX8pWCullu,2,3 years ago,@daniel-dc1cy sichuan is not the only home for pandas. shaanxi also is.,@daniel-dc1cy四川不是熊猫的唯一家。 Shaanxi也是。
19641,UgyO7GVw-0yAOyvnI2l4AaABAg,2,3 years ago,listen to sichuan dialect. i am also from sichuan. i don’t know what this is like a paradise.,听你说四川话。我也是四川人. 不知道这是什么地方 像世外桃源一样 不用关心外面的事
17134,UgyTRI0spDFjmAXU5N94AaABAg.92nbZezvUnI92vrDEAunxD,2,3 years ago,sichuang china,sichuang China
10150,UgxqoU23ghoQnybcep94AaABAg,2,3 years ago,"by the way, i really didn't understand this sichuan dialect",话说这四川话我还真没听懂
33289,UgzvCaTt2-wcQd9gASd4AaABAg,2,3 years ago,my family also has the old altar brought back by two altars in sichuan.,我家人也是有两坛四川带回来的老坛，泡出来的泡菜非常好吃~
16391,UgzwGITKQLsjqnmotyd4AaABAg.92vu5wyg244933vbJfoeTj,2,3 years ago,"@lissandrafreljord7913 yes, she is from sichuan.",@lissandrafreljord7913是的，她来自四川。
3537,Ugy5eGUZU9RJvMazudF4AaABAg.9NvtqVXNXHX9NwcEQTN3Yl,2,2 years ago,"the one you said is industrial thinking. people are gourmet bloggers, but they are not started. her videos are more unique. one of the characteristics is everything, and everything is good. every time i do it, i will spend a lot of time learning to learn the production process, so the video quality of the video will be done. they are all excellent.
in addition, saying a question, i am also in rural sichuan. twenty years ago, before everyone went out to work, the uncle and aunt in the countryside were basically everything, especially when cooking and some simple crafts. these are really really not really not. disaster. now that time has moved, everyone has been working, and rarely stays in the countryside. now young people will basically not be these.","你说的那个是工业化思维。人家是美食博主，又不是开工厂的，她的视频比较有特色，特色之一就是啥都会，而且做的都还不错，每做一期视频都会花很多时间去学习制作过程，所以视频质量都比较过硬。
另外，说个题外话，我也是四川农村的，二十年前，大家还没出门打工之前，在农村的大叔大妈也是基本啥都会，尤其是做菜和一些简单的工艺品，这些其实真的不难。现在时过境迁，大家出门工作了，也基本很少待在农村了，现在的年轻人也基本不会这些了"
7004,Ugx7btCZlxbeIHUsF9V4AaABAg,2,2 years ago,"it's so beautiful, i'm going to sichuan to find a wife.",好美，我要去四川找老婆了。
31130,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yW_X7eKyAH,2,3 years ago,marsha barnes yes quite.. the region od sichuan province is wet & cold so they need the heat of chili peppers to balance.. although the peppers has a numbing type of kick i loved!!,玛莎·巴恩斯（Marsha Barnes）是的。
5483,UgyvC0zdox_RcDJUAUh4AaABAg.9GOFskXFXco9I6c9VNhtgn,2,2 years ago,"@minaketanmajhi2609 you mean korean? & she is chinese from sichuan, china.",@minaketanmajhi2609你是说韩语吗？她是来自中国四川的中国人。
4863,UgyFthJ6kfkaAiGWFQt4AaABAg,2,2 years ago,"kimchi is a traditional korean food.
kimchi is the traditional food of korea.
ム 韓 韓 韓 の 伝 伝。。。

the chinese have long been calling arirang (korean traditional music) and hanbok (korean traditional clothing) as china.
the chinese has long inseded that arirang (traditional korean music) and hanbok (traditional korean clothes) belong to china.
「中国 人 ン ン ン ン ン ン ン 韓 韓 韓 韓 韓 韓 韓 ン ン ン ン ン ン ン の の の 中 中 中 の の の の の だ の の の の の の て。。。

kimchi is already certified in 2001 in the international standardization organization (iso) and is different from recently registered pao chai (pickled food in sichuan).
kimchi is alredy certified by the international organization for standardization (iso) in 2001 and is different from the recently registered paochai (celebrated food in in sichuan).
ム 2001 年 証 証 証 録 録。。。。。","泡菜是传统的韩国食品。
泡菜是韩国的传统食物。
ムム韩韩伝伝伝

长期以来，中国人一直将Arirang（韩国传统音乐）和汉堡（韩国传统服装）称为中国。
长期以来，中国人一直认为阿里兰（传统的韩国音乐）和汉伯克（传统的韩国服装）属于中国。
「ンンンンンン韩韩韩韩韩韩ンンンンンンンンンンンンンののののの中中中中中中の

Kimchi已经在2001年获得国际标准化组织（ISO）的认证，与最近注册的Pao Chai（Sichuan的腌制食物）不同。
Kimchi在2001年获得国际标准化组织（ISO）认证的Alredy认证，与最近注册的Paochai（Sichuan的著名食品）不同。
2001年年年证录录录录"
20761,UgyKOZIN2ILVmhMJ1kJ4AaABAg,1,3 years ago,"li ziyi is chinese, mianyang, sichuan, china, ao jiao",李子柒是中国人，中国四川绵阳的，傲娇
13267,Ugzwbs37JX3DsM1W29h4AaABAg.95pfR3UZRcW95uYUYmHe3d,1,3 years ago,"when you are on vacation, you can travel to sichuan, china in spring and summer",当您度假时，您可以在春季和夏季前往中国四川
27110,UgwAkc-5QtbnUdtFMV14AaABAg.8yi9U-P0knl8yiQAUXYWe4,1,3 years ago (edited),"ziqi: this one is bigger than my head.
grandma: no, this one is nothing, .........

they speak chinese sichuan dialects. i can only understand half of grandma said.","Ziqi：这比我的头大。
奶奶：不，这是什么都没有的，.........

他们说中国四川方言。我只能理解一半的奶奶说。"
12804,UgxaFEXrv8GPthA5R614AaABAg.96KL8p02Rrd96KkyTkzunB,1,3 years ago,she's from sichuan province,她来自四川省
17830,UgwJagZ-z85lafWXY-94AaABAg,1,3 years ago,"my hometown came out of zigong in sichuan. the video of this beauty was first watched for the first time. it was really a sense of substitution. i was a child memories, thank you for making a team.",老家四川自贡农村出来的，这美女的视频第一次看，真的很有代入感，小时候的回忆，谢谢制作团队。
13269,Ugzwbs37JX3DsM1W29h4AaABAg.95pfR3UZRcW95ua844kLXU,1,3 years ago,"@kwan5740 if you have the chance, you can experience the basin climate of sichuan. especially spring and summer, it is very beautiful, and we are willing to share the beautiful nature. good night, friends living in thailand.",@kwan5740如果有机会，您可以体验四川的盆地气候。尤其是春季和夏季，它非常美丽，我们愿意分享美丽的天性。晚安，住在泰国的朋友。
18248,UgwFis8As12YuknLUBZ4AaABAg.92Ycxzy8ebT92mdY5k0cte,1,3 years ago,"aurollina i am also from sichuan, and we do it like a video.",Aurollina 我也是四川的，我们那边就是像视频那样做。
27010,UgwyXq1DSaFx1rvrZBZ4AaABAg.8yjKbg3vdpY8ymK4F98QwN,1,3 years ago,sichuan province china,四川省
17728,UgwpQO86oFAAcVwcsoh4AaABAg,1,3 years ago,"no other, sichuan girl is really good -looking",别的不说，川妹子真的是好看
14849,UgzX3aPVRhtOqQwq0i54AaABAg.93tSohNeiMQ93wVPk0NTHa,1,3 years ago,sichuan province of china.,中国四川省。
26387,UgzHAzOUKGS54-izwD14AaABAg,1,3 years ago,"my snail powder in liuzhou, sichuan girl once again increases it worldwide cognition",我大柳州的螺蛳粉，川妹子再次给它增加世界范围认知
18660,Ugzji7WoQS6IgFJIOvh4AaABAg.92QI8efM4zn92Xk79HXdrt,1,3 years ago,"it is good for kun ai to pursue true, but you can't deny that this is not existed. my family is in sichuan, and someone around me is tired of urban life. live such a life in the countryside.",Kun Ai 追求真实固然是好，但你不能否认这是不存在的.我家在四川，身边有人就是厌烦了城市生活，在乡村过这样的生活，简单纯朴也美好
15670,UgxMxm_xKLvqt--PQ3d4AaABAg.937cDdLZvgJ93AiO4TYrcS,1,3 years ago,"it is her house, mianyang, sichuan. in their mountainous areas, the per capita area covers a large area",是她家，四川绵阳。她们山区，人均占地面积较多
25863,UgyabHsEm07RM6F2cZt4AaABAg,1,3 years ago,a lot of the dishes she makes look spicy. i wonder if she is from sichuan province?,她让她看起来很辣的许多菜肴。我想知道她是否来自四川省？
15868,Ugy3MZpzCqKaqOmAbQ54AaABAg,1,3 years ago,"strong, i am sichuan! intersection",壮哉我大四川！！
25788,UgyRNvqEodyL7aCKEzZ4AaABAg.8yymTf66ipw8z059iRap0c,1,3 years ago,"she is chinese（ mianyang city, sichuan province, china.）",她是中国（米扬市，中国四川省。）
25572,UgwwSSXzpmaDu9wR1wd4AaABAg.8z0Trh8_JHd8z0UzJgJDOA,1,3 years ago,china. sichuan.,China. Sichuan.
23157,UgyEjxiRcAoQo1Ge5NJ4AaABAg.8zq8M6TathJ9-3a2LqTDyH,1,3 years ago,"that is a traditional built-in wok. it is hard to control the heat and you have to adapt your methods to the heat below. it can be hard to master. i see some traditional cooking methods from sichuan like the boiling oil over cold foods to cook. but the mountain streams of my family are no-where near that clean. brown or yellow, even the snows of the sichuan mountains are yellow.",那是传统的内置炒锅。很难控制热量，您必须将方法调整到下面的热量中。可能很难掌握。我看到了四川的一些传统烹饪方法，例如冷食上的沸腾油做饭。但是我家人的山溪流在那条干净的地方没有。棕色或黄色，甚至四川山的雪也是黄色。
16390,UgzwGITKQLsjqnmotyd4AaABAg.92vu5wyg244933tNgr2WbW,1,3 years ago,"@ethantrie9793 sorry, i don't know how to read chinese. is that sichuan?",@ethantrie9793对不起，我不知道该如何阅读中文。那是四川吗？
16393,UgzwGITKQLsjqnmotyd4AaABAg.92vu5wyg244935-kBHf64W,1,3 years ago,"lissandra freljord sichuan province, the hometown for panda",Lissandra Freljord Sichuan Province，家乡熊猫
10801,UgwruA9z-JLfPct-Qzp4AaABAg.98N2quvbM8k98QXljmCDqk,1,3 years ago,she's from sichuan province which is famous for beautiful girls,她来自四川省，以美丽的女孩而闻名
29120,UgzxhBZ9r-Ug4yKsHm54AaABAg.8yXl4F40b1o8yde-pYcI3J,1,3 years ago,cynthia r she actually lives in mianyang（绵阳市）sichuan province of china（中国四川省）. this place is abundant in natural resources and their ancestors have planted there more than 2000 years. sichuan cuisine is also most popular in china.,辛西娅·r（Cynthia r）实际上住在米亚阳（Mianyang）（中国四川省）。这个地方在自然资源中很丰富，他们的祖先在那里种植了2000多年。四川美食在中国也是最受欢迎的。
10217,UgwfsLy8gqdCLfKuUlN4AaABAg.98xJfX30WK499--Q3GGiay,1,3 years ago,"in sichuan province, i don't know exactly",在四川省，我不知道
30061,UgzkWjFKEzhvJhGj4Bp4AaABAg.8yVnzvNCVJh8yYXytNsnAI,1,3 years ago,this place is mianyang that is located in sichuan province. i come from mianyang and i wish you can visit this place. welcome！,这个地方是位于四川省的Mianyang。我来自Mianyang，希望您能参观这个地方。欢迎！
19104,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392gcQkQVj2H,1,3 years ago,"@chicagodaisyflower china is a beautiful, diverse and vibrant country^ ^ especially the southern part such as shanghai, zhejiang, jiangsu and sichuan. people are very kind and considerate, they are genuinely inclusive and open. if you plan to travel in future i'd strongly recommend starting from shanghai and then go to zhejiang and sichuan--amazing scenery, city vibe and numerous cuisines~",@chicagodaisyflower中国是一个美丽，多元化和充满活力的国家 ^ ^，尤其是南部，例如上海，Zhejiang，Jiangsu和Sichuan。人们非常友善和体贴，他们真正具有包容性和开放性。如果您打算将来旅行，我强烈建议您从上海开始，然后前往Zhejiang和Sichuan - 令人惊奇的风景，城市氛围和许多美食〜
1299,UgwxcNa9tqj4g_6lnn54AaABAg.9a2sviFs8Gc9a4opAf3xIp,1,1 year ago,"a small village in mianyang city, sichuan province, china",中国四川省山城的一个小村庄
32793,Ugy_hv9x1j8WcLgZnNF4AaABAg.8yUmfwsLRTW8yV0iEQ4ACK,1,3 years ago,"it is asatake in china. sichuan is the hometown of the panda, so there are many bamboo forest sea.",它在中国是阿萨塔克。四川是熊猫的家乡，所以有许多竹林海。
1636,UgyWqUAIjJQzXUjGRNt4AaABAg.9YrxOU36u6v9ZBkoJ8p-2j,1,1 year ago,sichuan province,四川
31821,UgyfC_xImFz2jvp_0pJ4AaABAg.8yV4_Ni9SJa8yVd3slBvyf,1,3 years ago,sichuan people love spicy food!,四川人们喜欢辛辣食物！
31339,Ugyh-M8i-cQ29Fx8FIx4AaABAg,1,3 years ago (edited),"i once lived in guangxi & ate luosifen alot, very delicious
liziqi cooks luosifen in sichuan style, look more reddish & with much more ingredients
definitely love this channel
greetings from indonesia","我曾经住在广西和吃饭，非常美味
liziqi以四川风格的luosifen厨师，看起来更红色，更重要的成分
绝对喜欢这个频道
来自印度尼西亚的问候"
4214,Ugz0fOYcp3pdjVTAsdt4AaABAg.9KRqwc8P-PW9PNujnw87cb,1,1 year ago,"it can be seen, otherwise how can li ziyi in sichuan come up?",可以看，不然身在四川的李子柒怎么传上来呀
4542,Ugz9NW9efKQPfYKKbOB4AaABAg,1,2 years ago,"my hometown. sichuan province, china.",我的家乡。中国四川省。
4870,UgwwvUCOXaUeFzl1XeB4AaABAg,1,2 years ago,"as a sichuan person, i really moved 0.0 i want to ...",作为一个四川人真的感动啊0.0想次···
7280,UgzbbSEavKtOOj5wZb54AaABAg,1,2 years ago (edited),"us mexicans like to eat snail soup too. so yummy! i want to try the sichuan version as well. maybe i can observe and make the recipe just by watching.
edit: certain regions of mexico","美国墨西哥人也喜欢吃蜗牛汤。很好吃！我也想尝试四川版本。也许我可以通过观看来观察并制作食谱。
编辑：墨西哥的某些地区"
30086,UgwKsge9V9CxNEHSi_d4AaABAg.8yVnI7QRLF58yVr1eZK8Xn,1,3 years ago,"federico massariello sichuan rural areas, the place she’s living in was called the forest of fairy back then and still are to this day if i’m not mistaken",费德里科·马萨里洛（Federico Massariello
18803,UgxGp5atHVYyk4KE1l14AaABAg,1,3 years ago,our sister in sichuan! great!,我们四川的妹儿！棒！
9394,UgxnG57hkgafyIjJVLl4AaABAg,1,2 years ago,now sichuan is more important to china coz there has 2000 pandas and the only one leeziqi.,现在，四川对中国更为重要，因为有2000只熊猫和唯一的leeziqi。
18782,UgwXLyqJiScjXUxRJYl4AaABAg.92J4lxqGoxN92UbUaAzgTd,1,3 years ago,"after 60, i have seen the hours of life in sichuan countryside. that's it. i am too familiar and miss my hometown.",我六零后，四川乡下的生活小时见过，就这样，太熟悉了，想念家乡
16736,UgyWiHFN12Y0CMrNJl54AaABAg.92rWPN2iniU92rtneDeSs7,1,3 years ago,"southern china, mianyang, sichuan",中国南方，四川绵阳
30048,UgwSQF45jkXtt6uY5uJ4AaABAg,1,3 years ago,"who are chongqing people here ?? i want to learn chongqing dialect
(i know li ziyi is sichuan ... but i want to learn chongqing dialect)","这里有谁是重庆人??我想学重庆话
(我知道李子柒是四川。。但是我想学重庆话)"
18770,UgwXLyqJiScjXUxRJYl4AaABAg.92J4lxqGoxN92OLFTYpp92,1,3 years ago,where is sichuan?,四川哪里？
28789,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97SrjVwwRal,1,3 years ago,@sarahhou1147 is very right! i have been to li ziyi's hometown! what they speak is: (sichuan dialect),@sarahhou1147 说的非常对！我去过李子柒的家乡！她们说的是：（四川话）
9638,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69A_62PnpkDo,1,2 years ago,"tita vaughns ๅคฉ๏ผtian) means โ€skyโ€๏ผ ๅบ๏ผfu) means โ€ houseโ€ ๏ผ so tianfu means โ€house in the skyโ€, itโ€s a nickname of sichuan province.",泰塔·沃恩斯（Tita vaughns）的意思是“天空”（Sky），fu）的意思是“房子”，所以天富（Tianfu）的意思是“天空中的房子”，这是四川省的昵称。
28797,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97aDih86fTm,1,3 years ago,"@franzpeters3824 why should she speak english ? as she is chinese. do you speak chinese or russian ? and btw, she even does not speak mandarin in the video. she speaks local sichuan dialect.",@franzpeters3824她为什么要说英语？因为她是中国人。你说中文还是俄语？顺便说一句，她甚至在视频中都不会说普通话。她讲当地的四川方言。
9641,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69B5WXajCWpR,1,2 years ago,"โ€ @titavaughns7698 in china, sichuan is called tianfu because of its fertile land, rich products and pleasant climate

in history, the ""land of abundance"" mainly refers to the sichuan basin, not including the present western sichuan plateau and southwest sichuan mountains. the sichuan basin is rich in land, mild climate and abundant rainfall. especially after the dujiangyan water conservancy project was built in the qin dynasty, the chengdu plain became the ""land of heaven"" in which ""water and drought follow people's will, and they don't know the famine"". therefore, chengdu plain has become a very developed area of agriculture and handicraft industry in chinese history, and has become the main food supply base and the main source of taxation in the central dynasty ""tianfu""","@titavaughns7698在中国，四川之所以被称为田富

在历史上，“丰富的土地”主要指的是四川盆地，不包括现在的西川高原和西南四川山。四川盆地富含土地，温和的气候和丰富的降雨量。尤其是在杜吉安（Dujiangyan）的水保护协会项目建于秦朝之后，成都平原成为“天堂之地”，“水和干旱遵循人们的意志，他们不知道饥荒”。因此，成都平原已成为中国历史上农业和手工业的一个非常发达的领域，并已成为中央王朝“天富”的主要食品供应基础和主要税收来源"
23224,UgzYE8R8cTn3vi74RzR4AaABAg.8zoVlCzPDru8zoWXvggO-d,0,3 years ago,sichuan,四川
23009,Ugw3jbhmQHpou7dCCnB4AaABAg.8zsM1aR14ak8zsTWL9CLs1,0,3 years ago,"mianyang, sichuan province, china","Mianyang, Sichuan province, China"
23283,UgyBxRVpi0alC3BbsZ14AaABAg.8zn4Q5INJWu8zqoWZhL5k4,0,3 years ago,cyber psychosis sichuan，hometown of pandas,网络精神病四川，熊猫的家乡
23158,UgyEjxiRcAoQo1Ge5NJ4AaABAg.8zq8M6TathJ9-7uKNDTCUR,0,3 years ago,@kie_.6107 that looks like chili oil. typically after you have a dried/roasted pepper you mince/crush it up and the cook in low heat in a flavorless/mild carrier oil. it's a very common condiment in sichuan cuisine.,@kie_.6107看起来像辣椒油。通常，在您有干燥/烤胡椒粉后，您会切碎/将其压碎，然后用无味/温和的载油在低火中煮熟。这是四川美食中非常普遍的调味品。
23204,UgyGgUjATP3VnbTcnd94AaABAg,0,3 years ago,"what, sichuan mei.",啥子哦，川妹儿。
