,cid,votes,time,含sichuan,含sichuan中文翻译
43705,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8rMwoP7db3F,21,4 years ago,she living sichuan china,她生活在中国四川
21110,Ugy1h4cZ-wcVU9NeypR4AaABAg.93zj_9LhTny94J8E3cLLPq,17,3 years ago,"you don't know her, li ziqi has been wandering in the city since 2004, sleeping in a park chair, and gnawing two months of hoe. when the waiter, 300 yuan a month wages. later, i went to the master to learn music, and then went to the bar to play the disc. in 2012, her grandmother fell ill and returned to her hometown in sichuan, then opened a taobao shop, did a small business, barely living. in 2016, she stepped into the short video space with her brother's encouragement to boost her taobao business. from the first one to shoot the video, now famous to have a team to help her",您不认识她，自2004年以来，Li Ziqi一直在城市徘徊，睡在公园椅子上，并gnawaw了两个月的头。当服务员每月工资300元时。后来，我去了大师学习音乐，然后去了酒吧播放光盘。 2012年，她的祖母生病了，回到了她在四川的家乡，然后开了一家淘宝店，做了一家小企业，几乎没有生活。 2016年，她凭借哥哥的鼓励加入了淘oo业务，进入了短暂的视频空间。从第一个拍摄视频的电影，现在很有名的团队来帮助她
29443,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yDJGqlymGS,15,3 years ago,"it is really facing, taiwan has been open to youtube, and no one who has subscribed to 3 million subscribers has not won! li ziyi, ono, and the youtube channel of the little brother in western yunnan have created it for a long time? there is almost no way to play in taiwan. the first place is higher than the little brother in western yunnan. the key is that the little brother in western yunnan also surpass him!


i really admire li ziyi and ono, one of more than 5.4 million subscribed, one is more than 7 million! they are all villagers! can the youtuber in sichuan anymore be awesome? the yam is 1 million immediately, wang gang is 930,000, and there are three cats and ao factory director in the back!","真的很打脸，台湾一直开放YouTube，上300万订阅的还一个都没得！李子柒，小野，还有滇西小哥的YouTube频道才创了好久？台湾能打的几乎都没有了，就第一名比滇西小哥高，关键是滇西小哥也要超越他了！


李子柒和小野我是真的佩服，一个540多万订阅，一个更是700多万！还都是老乡！我大四川的YouTuber能不能再牛逼点？山药马上100万，王刚93万，后面还有三猫和敖厂长也有四五十万订阅！"
27705,UgyBT_uobGddYNwbPmB4AaABAg.8z8aAC7Hduu8zGavv7TlHj,14,3 years ago,"it's called sichuan, a place in china. its also my hometown too :3",这就是四川，在中国的一个地方。它也是我的家乡：3
20963,UgzDA7LvsQaDocWgzfh4AaABAg.944JVs0uHe0949vfDbs7pc,12,3 years ago,"cherry w. mann i was thinking the same too. but she had been living in city before. she know how to do photo and etx. she is liziqi girl who raised by her grandma, then going to the capital city(beijing)to take her career, later she was going back to village in sichuan, china to take care of her grandma.
she is hoping that all of people who are living in city know how the food come from.","Cherry W. Mann我也在想。但是她以前曾住在城市。她知道如何拍照和ETX。她是Liziqi女孩，她是由祖母抚养长大的，然后去首都（北京）去职业生涯，后来她回到中国四川的村庄照顾祖母。
她希望所有住在城市的人都知道食物的来源。"
39901,Ugzyd6YIBPmBDwWvsJd4AaABAg.8shCkzYM9Xt8sr4favbMoz,10,4 years ago,puneeth kumar itโ€s sichuan in china. life is a lot harder than it looks in the video but you can choose to complain or create your quality of life. she chose the latter and became very famous in mainland china (20m+ followers) for sharing such lifestyle. sheโ€s a gem.,浦那库玛（Puneeth Kumar）是中国的四川。生活比视频中的看法要困难得多，但是您可以选择抱怨或创造自己的生活质量。她选择了后者，并在中国大陆（20m+追随者）分享了这种生活方式。她是宝石。
27213,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zm3Iu3N0L3,10,3 years ago,"hๆต็พๅญ lots of chinese knew it ,and i can tell you thatโ€s real. i come from sichuan province and liziqi either",H恵美子很多中国人都知道，我可以告诉你这是真实的。我来自四川省和利兹奇
1069,UgzIIK-X_iyKq_WxkOJ4AaABAg,10,8 months ago,"i am a netizen from sichuan, china and i am glad to see that many international people are concerned about her. 
the latest news is that ziqi li sued her company on april 30, 2022 and won her case on july 25 (we chinese also care about her and i believe she will be back in the public eye soon) i hope there will be no war and no hunger in the world (go ukraine)","我是来自中国四川的网民，我很高兴看到许多国际人士担心她。
最新消息是，Ziqi Li于2022年4月30日起诉她的公司，并于7月25日赢得了她的案件（我们中国人也关心她，我相信她很快就会回到公众眼中），我希望不会有战争和世界上没有饥饿（乌克兰）"
23268,UgwUKUOoOWZzeCvFAoJ4AaABAg,10,3 years ago,i think my father and mother! i want to go home quickly back to sichuan!,我想我老爸老妈了！我要赶紧回家回四川 !
6399,Ugzf2gLYychXfHwBk7R4AaABAg,9,2 years ago,"it's all foreigners who like foreigners, my sichuan chengdu supports beauty support",咋都是老外在点赞呀，我四川成都的给美女支持下
13714,UgwcERda94537jshF054AaABAg,8,2 years ago,"i have n’t seen popcorn operation for a long time, but i did n’t expect sichuan.",好久没见过爆米花操作了，没想到四川还有。
25018,Ugz5_RVUlBvKkof9cnh4AaABAg.9-w_32pW4v890AhEN-uKOq,8,3 years ago,so welcome to sichuan,欢迎来到四川
25019,Ugz5_RVUlBvKkof9cnh4AaABAg.9-w_32pW4v890ILO0iKknE,8,3 years ago,welcome to sichuan of china,欢迎来到中国四川
26276,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-ALgImtB9X,7,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
51409,Ugz1pzYb7TFxmhnxvMJ4AaABAg,7,4 years ago,"at this time, our sichuan mandarin is really sweet. welcome everyone to go to our hometown in sichuan.",这个 时候 我们的这个四川柑 才是真正甜 欢迎大家去四川 我们的家乡
27890,UgxS0LQbWzLsKbeyI354AaABAg,7,3 years ago,"there are many foods in sichuan, there are many beautiful women in sichuan!",四川多美食，四川多美女！
25020,Ugz5_RVUlBvKkof9cnh4AaABAg.9-w_32pW4v890O5di4e6cG,6,3 years ago,welcome to sichuan.,欢迎来到四川。
362,UgwrX2qYR0to4LbN5-Z4AaABAg,6,2 months ago,i am also from sichuan. rural sichuan can really live like this. the richness of all kinds of products is the kind that small countries cannot imagine. i have been in europe for nine years.,我也是四川人，四川农村还真可以过成这样，各种物产之丰富是小国想象不到的那种，唉欧洲呆了九年了，想家
38248,UgzsVr77_X1qQy3mIU94AaABAg,6,4 years ago,"suzhou people come to report! i envy the life in the mountains in sichuan, quiet and far away^_^",苏州人前来报道！好羡慕四川那边山里的生活，宁静致远^_^
39553,Ugyq0UjeWhSBQgi7luV4AaABAg.8spU6MGGnmN8ss9ke9nk2x,5,4 years ago,"sichuan, china","Sichuan, China"
22055,Ugxlko-aCv8bm3F_QJp4AaABAg,5,3 years ago,"recently, li ziyi has been the ""ambassador to the promotional ambassador of the rural rural rural rural rich"", which has triggered a new round of comment boom. after seeing some, i couldn't help but feel like i could provide different perspectives.

the point is, i hope that everyone is calm, discuss things, and try to listen to it as much as possible.

don't bully a diligent, brave and intelligent girl.

according to the good cat catching the mouse, li ziyi is not an outstanding good cat. not to mention the renminbi income, she made a lot of money on the international stage, about tens of thousands of dollars a day, envy everyone, realize her dream of serving her grandmother's life, and obtaining the harvest of no dare to expect. impressive.

nearly 8 million foreign fans, everyone shows the truth, kindness showing the video. unconvinced? if you try it, you will know. jiang feng, the most popular self -media chinese, has subscribed for 280,000, is already an example for many people. it's just 3%of this little girl.

the videos of overseas cattle guo wengui are only watched tens of thousands of people every time. li ziyi's video is five or six million. the best 30 million. the video three years ago was searched every day, and the number of clicks continued to skyrocket.

this is not a general miracle.

i spent the strength of nine niu and tiger to make a video. so far, i only have 160 subscriptions, and the best video is watching more than 1,000 people.

i know li ziyi's weight. everyone also weighs.

everyone has the most discussions. the most misunderstanding of li ziyi is that she is just an actor, and her work is made by a huge team.

please understand her development history a little.

li ziyi had a childhood young man who had been unable to look back, had various workers, and had a long period of time for a person's exploration of experiments. he finally rely on his talents, hard work, hard work, and succeed.

the current situation, i am afraid that zhang yimou is likely to be a director. of course, li ziyi does not need zhang yimou. i have an analogy. li ziyi has no self -learning talent, and the artistic talent shown is no worse than zhang yimou.

li ziyi rely on his own efforts to come to this day. you open your eyes and talk nonsense, and you are unwilling to do basic investigations and research. he maliciously pour dirty girls to a hard -working girl.

really blushing for you. be kind. do nโ€t be so rude and hateful.

true: li ziyi's true, not that she is too beautiful, not what kind of shoes are wearing in the farmland. in my eyes, li zizhen's true, manifested in her hard work, hard work, and manifested in her soul. nothing will do.

of course, she will not seriously and deliberately express the hardships of the peasants in sichuan and the sufferings of rural poor today. li ziyi is pursuing the amount of subscriptions and click volume. her performance is basically impeccable.

li ziyi truly shows her own pursuit of life and her own state of life.

of course, try your best to beautify. otherwise, where can i subscribe?

good: see her depending on the grandmother's life, and take care of each other. thinking that grandma finally got a good life, she was really happy.

thinking of my work hard for a whole life. li ziyi's kindness is one of the biggest highlights of the video.

beauty: needless to say. i admire me and admire from the bottom of my heart. some people will say, team teams, foreign announcements and so on.

you just need to see li ziyi's earliest video to feel her artistic talent.

besides: with the current situation of li ziyi's current daily gold, let alone the government, any of the people with funds will not hesitate to make a behind -the -scenes team.

dawai xuan:

where is this? what big publicity? what a crime is to have no words. a girl mixed with meals, accidentally red and purple, do nโ€t tm โ€s blind eyes?

but here to tell the government and the communist youth league, do not speculate. stir good things. what is the blind ginseng?

the government was not stupid, and i saw li ziyi's success and wanted to use it. in fact, maybe good intentions have become bad things. with my concept, the government, the communist youth league, the best leave her alone. it is not as good as the last four, truth, goodness and beauty.

ziyi, please be careful. no need to cooperate too deeply with the government. tell them to let you develop freely in accordance with their greatest interests. otherwise, the end may not be good for anyone.

cut!

during the seven years of labor in rural areas during the revolution, the hardships of the rural areas of china's rural areas know a little.

the reason why li ziyi feels is because most of the farm work that li ziyi has done has done it, and i will even accept the soles of the shoe. i rushed the cow to rake the ground in the paddy field, and i tried it. if you can't try it, you have to give it to the poor farmers around him. very difficult work. i did not dry the back of the mountain from the mountain. there are no bamboo or mountains there. almost all of the others can't be familiar. rice, wheat, corn, sweet potatoes, pigs and sheep beef, planting vegetables. we do not plant fruit trees. moving the bricks by myself and moving the bricks. at the age of seventeen, he was cooking for fifteen students.

li ziyi used bamboo to make a sofa for me too much. too admire!

ziyi, refueling ๅฟ…๏ธ do not worry about it. take your own way and let others have a way. don't ignore some people's words of talking nonsense.

ps

ziyi does not necessarily know the history of 12 million people starved in sichuan during the great famine. mianyang is the hardest hit area. please know. it is important to your future development.","最近李子柒担任“中国农村青年致富带头人推广大使”，引发新一轮评论热潮。看了一些，忍俊不禁，有感而发，希望能够提供不同视角。

关键是，希望大家平心静气，就事论事，尽量做到兼听则明。

不要语言欺凌一个勤劳勇敢聪慧的女孩子。

按照逮着老鼠就是好猫的说法，李子柒不啻是一只杰出的极其优秀的好猫。不说人民币收入，她大把大把的在国际舞台上赚美元，大概每天几万美元吧，羡煞众人，实现自己养家糊口侍奉奶奶的人生梦想，获得原本不敢奢望的收获，可喜可贺令人钦佩。

将近800万外国粉丝，大家是冲着视频展现的真善美来的。不服气？你试试就知道了。海外最红的自媒体华人江峰，28万订阅，已经是很多人崇拜的榜样。仅仅是这小姑娘的3%。

海外牛人郭文贵每次的视频也只是几万人看。李子柒的视频动辄五六百万。最好的3千万。三年前的视频还在被人每天搜索，点击量继续暴涨。

这可不是一般的奇迹。

我费了九牛二虎之力做视频，至今只有160订阅量，最好的一个视频1000多人观看。

我知道李子柒的分量。大家也掂量掂量。

大家议论最多，对李子柒误解最大的是，她不过是个演员，工作都是一个庞大的团队做的。

请稍微了解一下她的发展史。

李子柒有过不堪回首的童年少年，有过各种打工经验，有过很长时间一个人摸索实验失败，最后靠自己的才华，勤奋，努力，获得了成功。

现在状况，恐怕邀请张艺谋来做导演都有可能。当然李子柒不需要张艺谋我是打个比方。李子柒无师自通自学成才，表现出来的艺术天分，不比张艺谋差一丝一毫。

李子柒完全靠自己的努力走到今天。你们睁着眼睛瞎说八道，连基本的调查研究都不愿意做，恶意向一个勤劳致富的女孩子泼脏水。

真替你们脸红。Be kind. Don’t be so rude and hateful.

真：李子柒的真，不是表现在她穿着过于漂亮，不是表演在穿着什么样的鞋子在农田里劳作。在我的目光里，李子柒的真，表现在她的勤劳，吃苦耐劳，表现在她的心灵手巧。啥都会干。

她当然不会去认真刻意的表现四川绵阳农民的辛苦和今日农村贫困人群的苦难。李子柒追求的是订阅量，点击量。她的表现基本无懈可击。

李子柒真实的表现了她自己对生活的追求，她自己的生活状态。

当然要尽力美化。不然哪里来订阅量？

善：看她和奶奶相依为命，互相关照。想到奶奶终于过上好日子真为子柒高兴。

想起自己姥姥勤劳一生。李子柒的善良，是视频最大亮点之一。

美：毋庸赘言。令我感佩，从心底里佩服。有人又会说了，团队团队，大外宣等等。

你只需要去看看李子柒最早的视频就能感觉到她的艺术天分。

再说一遍：以李子柒目前日进斗金的状况，别说政府，任何一个有资金的人都会毫不犹豫甘作幕后团队。

大外宣：

这哪儿跟哪儿啊？什么大外宣？真是欲加之罪 何患无辞。一个女孩子混口饭吃，不小心大红大紫，别TM的瞎着眼胡说八道好不好？

但是此处敬告政府和共青团，别投机不成舍把米。把好事搅合了。瞎参和什么呢？

政府不傻，看到李子柒的成功趁机想利用起来。其实也许好心办成坏事儿。以我的观念，政府啊共青团啊什么的最好leave her alone. 免得最后四不像，真善美不在。

子柒也请慎重。不必和政府合作太深。告诉他们让你自由发展符合他们的最大利益。不然最后也许结局对谁都不好。

切切！

在下文革时期在农村劳动七年多，对中国农村的苦难农民的艰辛略知一二。

之所以感觉李子柒的真实，就是因为李子柒干过的农活儿大部分我都干过，我甚至会纳鞋底。赶着牛在水田里耙地，我试过。怎么试都不行只好交给身边的贫农代表。很不容易的活计。从山上砍竹子背下山没有干过。我们那里没有竹子也没有山。其它几乎都再熟悉不过。水稻，小麦，玉米，红薯，养猪羊牛，种菜。我们没有种水果树。自己盖房子搬砖头用手推车运转头。十七岁当炊事员专职为十五个同学做饭。

李子柒用竹子做沙发让我太佩服了。太佩服！

子柒，加油

PS

子柒不一定知道大饥荒时期四川饿死1200万人的历史。绵阳是重灾区。请一定了解一下。对你今后发展至关重要。"
43706,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8rNwSxpMOn0,5,4 years ago,@xiuxiuhachoi9100 sichuan girls are so pretty in a natural way.,@xiuxiuhachoi9100四川女孩自然而然地是如此漂亮。
45205,UgzTCXyKQeyX7chJclt4AaABAg.8r79rCByiEq8r7dSnSTKuq,5,4 years ago,m c r u serious？this is china.her name is 李子柒.she is from sichuan province. this video is preparing for the chinese new year.,M c r u严重？这是中国。她的名字是李子柒。她来自四川省。该视频正在为农历新年做准备。
14612,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9Agg5a_3Qpd,5,2 years ago,"@jane-ni5qb thank you for your encouragement! this is the popular sichuan fairy film now, princess universal and her little animals, which are definitely suitable for large screen viewing and have three -dimensional audio effects, haha",@Jane-ni5qb 谢谢邱兄的鼓励！ 这是现在很有人气的四川童话片≪万能公主和她的小动物们≫，绝对适合大屏幕观看，并有立体音响效果哟，哈哈
