,cid,votes,time,含calm,含calm中文翻译
10689,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9Fm3FaZUaew,52,2 years ago,"not to mention the amount of โ€laborโ€ and work you have to do on the daily to maintain this kind of life. props to her, it may look calming and fun on camera but itโ€s easier said than done.",更不用说您每天必须在维持这种生活的“劳动”和工作量的数量。对她的道具，它在相机上看起来很平静且有趣，但说起来容易做起来难。
50059,UgxvLkvJocwCYEfl_W94AaABAg,44,4 years ago,happy new year from germany. may you and your family be blessed with health and luck. and may your hard work bring you prosperity. your videos are always so relaxing and help to calm down in this stressfull days.,来自德国的新年快乐。愿您和您的家人拥有健康和运气。愿您的辛勤工作带给您繁荣。您的视频总是如此放松，并有助于在这种压力的日子里平静下来。
31531,Ugw2kZestzRbqsKnXMF4AaABAg,28,4 years ago,"i want to be one day in villages like this, calming, peaceful, and beautiful",我想在这样的村庄里度过一天，平静，和平与美丽
44288,Ugx8g4i-WT3sPQMGcvh4AaABAg,20,4 years ago,it looks like it's all calm in this fucking,在这个他妈的中看起来一切都很平静
10328,UgxCdgTA2DIziwppufF4AaABAg,20,2 years ago,"for me her video, one calm",对我来说，她的视频，一个平静
26126,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-06TkIai9_,20,3 years ago,"@user-sc8cy5qc6e it doesn't matter if her videos are fake or real, what matter is the positive vibes it brings to it viewers. real life is very stressfull and suffocating watching her videos make us calm and happy and it doesn't matter if she makes billions or trillions out of it.",@user-sc8cy5qc6e她的视频是假的还是真实的，它带给观众带来的积极共鸣。现实生活中的压力很大，看着她的视频令人窒息，使我们平静而快乐，无论她赚了数十亿美元或数万亿美元都没关系。
43903,UgyvvciMRf8_achl4HN4AaABAg,19,4 years ago,"stunning videos! i love this girl! i traveled a lot in china and with great pleasure i plunge into this calm, peaceful atmosphere of rural life. as we all, in our time, do not have enough enjoying our life, pleasure from our work, skill will focus on the beautiful present! thank you! !",令人惊叹的视频！我爱这个女孩！我在中国旅行很多，很高兴我陷入了这种镇定，宁静的乡村生活的氛围。在我们时代，我们所有人都没有足够的享受，我们的工作很高兴，技能将集中在美丽的礼物上！谢谢！
1185,UgyJZYY9wYHJrddRXtV4AaABAg,19,9 months ago,"why is this so calming, im so tired from school and this helps me relax. i remember my life in the province, simple and self sustaining",为什么这么平静，我从学校如此疲倦，这有助于我放松。我记得我在该省的生活，简单而自我维持
40648,UgycEHKp0kQCCcp8gSN4AaABAg,18,4 years ago,i love her videos so much. they're so calming and she's so elegant about the way she prepares things. she looks really peaceful and satisfied and it makes me feel that way too!! i can't get enough of her.,我非常喜欢她的视频。它们是如此的平静，她的准备方式非常优雅。她看起来真的很安静和满足，这也让我感到这种感觉！我不能得到她的足够。
30172,UgxYjXyrIUhwn04MFnV4AaABAg,17,3 years ago,"god! why i am so calm every time i watch her video's..you can find everything in that forest and she's really a forest goddess ๐wish i wanna live with you,",上帝！为什么每次观看她的视频时我都这么冷静..您可以在那个森林中找到一切，而她确实是一个森林女神
2657,UgyARoOLM2QWfR5YADh4AaABAg,16,1 year ago,very tender girl. such calmness and kindness from it blows,非常温柔的女孩。这种镇定和善良的打击
41638,UgwR6QLPgkYbDF1Qc4J4AaABAg,16,4 years ago,it seems like she's living in a totally different world. some heavenly unimaginable beautiful world. so calm so relaxing,看来她生活在一个完全不同的世界中。一些天堂般的美丽世界。如此镇定如此放松
52007,UgxJY2KnKqw3DbD21It4AaABAg,15,4 years ago,i love your videos there so relaxing and calm all the way from new zealand,我爱你在那里的视频，从新西兰一直很放松和平静
30948,UgzE40l6rTlYiv3zGrt4AaABAg,15,3 years ago,"hello liziqi!
i recently found your channel. your lifestyle is very beautiful and inspiring. the videos you make are very calming. thank you!","你好liziqi！
我最近找到了你的频道。您的生活方式非常美丽和鼓舞人心。您制作的视频非常平静。谢谢你！"
25155,Ugw6kT4CsPue-v3iHSx4AaABAg,12,3 years ago,the background music is beautiful and makes me calm down.,背景音乐很美，让我冷静下来。
6385,UgwgXMpSO2NWyVWikdF4AaABAg,12,2 years ago,"i have saw this video many times but,, l still want to see this again and again,, your videos are soo beautiful and calming",我已经看过很多次了这段视频，但是我仍然想一次又一次地看到，您的视频真漂亮又镇定了。
19508,Ugw-LfhAQMSxFkTNOcF4AaABAg.95hQGx72lER95oA5rY8aIX,11,3 years ago,"@lucygo6415 hi, i understand your sentiments but isn't it awesome bec this girl right here represents them all? besides, all her videos are therapeutic. meaning, it calms our souls. it is refreshing. brings positive impact to us, viewers. so let us all be happy we've got a channel like this.",@lucygo6415嗨，我理解您的观点，但这不是很棒，因为这个女孩在这里代表了所有人吗？此外，她所有的视频都是治疗性的。意思是，它平静了我们的灵魂。令人耳目一新。观众给我们带来积极影响。因此，让我们所有人都很高兴我们有这样的频道。
44150,UgxLARdL-tabpquuInx4AaABAg,9,4 years ago,"i liked their country full of fruits
and to me attracted me more fog, calm and fictional atmosphere","我喜欢他们充满水果的国家
对我来说，吸引了我更多的雾，平静和虚构的气氛"
33013,UgwKcg2CGwoiPTGgaA14AaABAg,9,4 years ago,"her videos are so beautiful ๐’ and bring me calmness, i m so thankful for this ๐ธ๐’๐ธ",她的视频是如此美丽
4122,UgyUrXRsMA8pgAIACYd4AaABAg.9Rx3e3xqjGI9TlNolBe3sk,9,1 year ago,"i totally agree with you, i use to watch this channel when i'm frustrated and wanna calm down myself.",我完全同意您的观点，当我感到沮丧并想让自己平静下来时，我经常观看这个频道。
5398,UgwLuuIL_53fwSEFWxV4AaABAg,8,1 year ago,"this is so calming ~
i will make this my study playlists","这太平静了〜
我将把这个我的学习播放列表"
43359,UgyLOp9qjWnbL9lQVJZ4AaABAg,8,4 years ago,"such peacefulness, calmness, beauty-roanic corner. thank you, you showed us your world, especially i felt the warmth of your soul and how you respect your elderly relatives, so sweetly.",这样的宁静，平静，美人的角落。谢谢您，您向我们展示了您的世界，尤其是我的灵魂的温暖以及您如何尊重您的老年亲戚。
16396,UgwNQs8D2nQN-0iW4eN4AaABAg,8,3 years ago,i have been obsessed with these videos over the last day or so. they are so calming and has really given me some motivation to get the cleaning around the house done and also to try some new recipes!,在最后一天左右的时间里，我一直沉迷于这些视频。它们是如此平静，确实给了我一些动力，可以在房屋周围清洁工作，并尝试一些新食谱！
30705,Ugzyd4T-Kazn8yORN7B4AaABAg,8,3 years ago,"very relax 
simple
amazing
beautiful 
and calm nobody here just you with the nature enjoying your time","非常放松
简单的
惊人的
美丽的
在这里，没有你的大自然享受你的时间"
3948,UgwtrnTmu6dCJlZxcr54AaABAg,7,1 year ago,it's so calm there. and its very funny moment when you and the dogs were instantly screaming when the popcorn bomb,那里太平静了。当您和狗在爆米花炸弹时立即尖叫时，这是非常有趣的时刻
30835,UgxWBeeRnHLq9qR0LHN4AaABAg,7,3 years ago,"while i am watching this i feel very calm and relaxed and also hungry.. this lady is very industrious, she is like an ant who works all day.. i also love their place, it's very simple yet very wonderful and serene place where you can relax.. i want to go there.. =)",当我看着这个时，我感到非常镇定和放松和饥饿。可以放松..我想去那里.. =）
45919,UgxaDU-i8vgfBjmucGp4AaABAg,7,4 years ago,the place is so calm and full of life,这个地方是如此平静和充满生命
26982,Ugx92cvEwSWHWO46wfN4AaABAg,6,3 years ago,"just wow
it is like anime movie in a real life๐
everything is so beautiful,calm,so amazing and so so sooo ........have no words,just wonderfullโค","哇
就像真实生活中的动漫电影
一切都是如此美丽，镇定，如此惊人和如此如此的太好........没有言语，只是很棒"
5413,Ugxieb7fIzKYIt8TkiR4AaABAg,6,1 year ago,when feel anxious i watch her video it make me feel calm,当感到焦虑时，我看着她的视频使我感到镇定
29142,UgzNNxs7HTCW_g_MCAR4AaABAg,5,3 years ago,"food photography, color, and calm music
i think it's healing the whole time :d","食品摄影，颜色和平静的音乐
我认为它一直在治愈：D"
15450,Ugz_VcYJK1gv8sGQ_h14AaABAg,5,3 years ago,"i have an anxiety and whenever i watch your videos, it makes me calm down. thank you so much",我有焦虑，每当我观看您的视频时，都会让我冷静下来。太感谢了
16927,UgySzjOI1KbivFol3EN4AaABAg,5,3 years ago,it is so calming watching the whole video. i wish i could leave the city for a bit and live like her in the countryside.,观看整个视频真是太平静了。我希望我可以离开这座城市，像她一样在乡村生活。
22055,Ugxlko-aCv8bm3F_QJp4AaABAg,5,3 years ago,"recently, li ziyi has been the ""ambassador to the promotional ambassador of the rural rural rural rural rich"", which has triggered a new round of comment boom. after seeing some, i couldn't help but feel like i could provide different perspectives.

the point is, i hope that everyone is calm, discuss things, and try to listen to it as much as possible.

don't bully a diligent, brave and intelligent girl.

according to the good cat catching the mouse, li ziyi is not an outstanding good cat. not to mention the renminbi income, she made a lot of money on the international stage, about tens of thousands of dollars a day, envy everyone, realize her dream of serving her grandmother's life, and obtaining the harvest of no dare to expect. impressive.

nearly 8 million foreign fans, everyone shows the truth, kindness showing the video. unconvinced? if you try it, you will know. jiang feng, the most popular self -media chinese, has subscribed for 280,000, is already an example for many people. it's just 3%of this little girl.

the videos of overseas cattle guo wengui are only watched tens of thousands of people every time. li ziyi's video is five or six million. the best 30 million. the video three years ago was searched every day, and the number of clicks continued to skyrocket.

this is not a general miracle.

i spent the strength of nine niu and tiger to make a video. so far, i only have 160 subscriptions, and the best video is watching more than 1,000 people.

i know li ziyi's weight. everyone also weighs.

everyone has the most discussions. the most misunderstanding of li ziyi is that she is just an actor, and her work is made by a huge team.

please understand her development history a little.

li ziyi had a childhood young man who had been unable to look back, had various workers, and had a long period of time for a person's exploration of experiments. he finally rely on his talents, hard work, hard work, and succeed.

the current situation, i am afraid that zhang yimou is likely to be a director. of course, li ziyi does not need zhang yimou. i have an analogy. li ziyi has no self -learning talent, and the artistic talent shown is no worse than zhang yimou.

li ziyi rely on his own efforts to come to this day. you open your eyes and talk nonsense, and you are unwilling to do basic investigations and research. he maliciously pour dirty girls to a hard -working girl.

really blushing for you. be kind. do nโ€t be so rude and hateful.

true: li ziyi's true, not that she is too beautiful, not what kind of shoes are wearing in the farmland. in my eyes, li zizhen's true, manifested in her hard work, hard work, and manifested in her soul. nothing will do.

of course, she will not seriously and deliberately express the hardships of the peasants in sichuan and the sufferings of rural poor today. li ziyi is pursuing the amount of subscriptions and click volume. her performance is basically impeccable.

li ziyi truly shows her own pursuit of life and her own state of life.

of course, try your best to beautify. otherwise, where can i subscribe?

good: see her depending on the grandmother's life, and take care of each other. thinking that grandma finally got a good life, she was really happy.

thinking of my work hard for a whole life. li ziyi's kindness is one of the biggest highlights of the video.

beauty: needless to say. i admire me and admire from the bottom of my heart. some people will say, team teams, foreign announcements and so on.

you just need to see li ziyi's earliest video to feel her artistic talent.

besides: with the current situation of li ziyi's current daily gold, let alone the government, any of the people with funds will not hesitate to make a behind -the -scenes team.

dawai xuan:

where is this? what big publicity? what a crime is to have no words. a girl mixed with meals, accidentally red and purple, do nโ€t tm โ€s blind eyes?

but here to tell the government and the communist youth league, do not speculate. stir good things. what is the blind ginseng?

the government was not stupid, and i saw li ziyi's success and wanted to use it. in fact, maybe good intentions have become bad things. with my concept, the government, the communist youth league, the best leave her alone. it is not as good as the last four, truth, goodness and beauty.

ziyi, please be careful. no need to cooperate too deeply with the government. tell them to let you develop freely in accordance with their greatest interests. otherwise, the end may not be good for anyone.

cut!

during the seven years of labor in rural areas during the revolution, the hardships of the rural areas of china's rural areas know a little.

the reason why li ziyi feels is because most of the farm work that li ziyi has done has done it, and i will even accept the soles of the shoe. i rushed the cow to rake the ground in the paddy field, and i tried it. if you can't try it, you have to give it to the poor farmers around him. very difficult work. i did not dry the back of the mountain from the mountain. there are no bamboo or mountains there. almost all of the others can't be familiar. rice, wheat, corn, sweet potatoes, pigs and sheep beef, planting vegetables. we do not plant fruit trees. moving the bricks by myself and moving the bricks. at the age of seventeen, he was cooking for fifteen students.

li ziyi used bamboo to make a sofa for me too much. too admire!

ziyi, refueling ๅฟ…๏ธ do not worry about it. take your own way and let others have a way. don't ignore some people's words of talking nonsense.

ps

ziyi does not necessarily know the history of 12 million people starved in sichuan during the great famine. mianyang is the hardest hit area. please know. it is important to your future development.","最近李子柒担任“中国农村青年致富带头人推广大使”，引发新一轮评论热潮。看了一些，忍俊不禁，有感而发，希望能够提供不同视角。

关键是，希望大家平心静气，就事论事，尽量做到兼听则明。

不要语言欺凌一个勤劳勇敢聪慧的女孩子。

按照逮着老鼠就是好猫的说法，李子柒不啻是一只杰出的极其优秀的好猫。不说人民币收入，她大把大把的在国际舞台上赚美元，大概每天几万美元吧，羡煞众人，实现自己养家糊口侍奉奶奶的人生梦想，获得原本不敢奢望的收获，可喜可贺令人钦佩。

将近800万外国粉丝，大家是冲着视频展现的真善美来的。不服气？你试试就知道了。海外最红的自媒体华人江峰，28万订阅，已经是很多人崇拜的榜样。仅仅是这小姑娘的3%。

海外牛人郭文贵每次的视频也只是几万人看。李子柒的视频动辄五六百万。最好的3千万。三年前的视频还在被人每天搜索，点击量继续暴涨。

这可不是一般的奇迹。

我费了九牛二虎之力做视频，至今只有160订阅量，最好的一个视频1000多人观看。

我知道李子柒的分量。大家也掂量掂量。

大家议论最多，对李子柒误解最大的是，她不过是个演员，工作都是一个庞大的团队做的。

请稍微了解一下她的发展史。

李子柒有过不堪回首的童年少年，有过各种打工经验，有过很长时间一个人摸索实验失败，最后靠自己的才华，勤奋，努力，获得了成功。

现在状况，恐怕邀请张艺谋来做导演都有可能。当然李子柒不需要张艺谋我是打个比方。李子柒无师自通自学成才，表现出来的艺术天分，不比张艺谋差一丝一毫。

李子柒完全靠自己的努力走到今天。你们睁着眼睛瞎说八道，连基本的调查研究都不愿意做，恶意向一个勤劳致富的女孩子泼脏水。

真替你们脸红。Be kind. Don’t be so rude and hateful.

真：李子柒的真，不是表现在她穿着过于漂亮，不是表演在穿着什么样的鞋子在农田里劳作。在我的目光里，李子柒的真，表现在她的勤劳，吃苦耐劳，表现在她的心灵手巧。啥都会干。

她当然不会去认真刻意的表现四川绵阳农民的辛苦和今日农村贫困人群的苦难。李子柒追求的是订阅量，点击量。她的表现基本无懈可击。

李子柒真实的表现了她自己对生活的追求，她自己的生活状态。

当然要尽力美化。不然哪里来订阅量？

善：看她和奶奶相依为命，互相关照。想到奶奶终于过上好日子真为子柒高兴。

想起自己姥姥勤劳一生。李子柒的善良，是视频最大亮点之一。

美：毋庸赘言。令我感佩，从心底里佩服。有人又会说了，团队团队，大外宣等等。

你只需要去看看李子柒最早的视频就能感觉到她的艺术天分。

再说一遍：以李子柒目前日进斗金的状况，别说政府，任何一个有资金的人都会毫不犹豫甘作幕后团队。

大外宣：

这哪儿跟哪儿啊？什么大外宣？真是欲加之罪 何患无辞。一个女孩子混口饭吃，不小心大红大紫，别TM的瞎着眼胡说八道好不好？

但是此处敬告政府和共青团，别投机不成舍把米。把好事搅合了。瞎参和什么呢？

政府不傻，看到李子柒的成功趁机想利用起来。其实也许好心办成坏事儿。以我的观念，政府啊共青团啊什么的最好leave her alone. 免得最后四不像，真善美不在。

子柒也请慎重。不必和政府合作太深。告诉他们让你自由发展符合他们的最大利益。不然最后也许结局对谁都不好。

切切！

在下文革时期在农村劳动七年多，对中国农村的苦难农民的艰辛略知一二。

之所以感觉李子柒的真实，就是因为李子柒干过的农活儿大部分我都干过，我甚至会纳鞋底。赶着牛在水田里耙地，我试过。怎么试都不行只好交给身边的贫农代表。很不容易的活计。从山上砍竹子背下山没有干过。我们那里没有竹子也没有山。其它几乎都再熟悉不过。水稻，小麦，玉米，红薯，养猪羊牛，种菜。我们没有种水果树。自己盖房子搬砖头用手推车运转头。十七岁当炊事员专职为十五个同学做饭。

李子柒用竹子做沙发让我太佩服了。太佩服！

子柒，加油

PS

子柒不一定知道大饥荒时期四川饿死1200万人的历史。绵阳是重灾区。请一定了解一下。对你今后发展至关重要。"
8749,Ugw2dSkDtDelHrWIDDV4AaABAg,5,2 years ago,"this entire video felt so wholesome to me..
from her moments with her family to 
calmly cooking, i can feel the happiness!","整个视频对我来说很健康。
从她与家人的时刻到
冷静地做饭，我能感觉到幸福！"
18002,UgyCdR7YgUX61NTojAR4AaABAg.97PhJnxxArv97UgH-rEw9M,5,3 years ago,i always play this video while trying to sleep. that music used to calm me down... now i lost it all and im stuck in my bed missing it :/,我总是在试图睡觉时播放此视频。那种音乐曾经让我平静下来...现在我丢了所有的音乐，我陷入了床上的遗失：/
9847,UgxBNkdzkUmJVTZgDGd4AaABAg,4,2 years ago,"i love these videos. i learned a lot and today calmly do a lot of things, because i say if li can do it too.",我喜欢这些视频。我学到了很多东西，今天很平静地做很多事情，因为我说李是否也可以做到。
5344,UgwyAke-i8Ra-7DFlJV4AaABAg,4,1 year ago,why would anyone dislike this calming video ?,为什么有人不喜欢这个平静的视频？
38322,UgxfGYVLXtKVHziVxht4AaABAg,4,4 years ago (edited),"i love what she does very pretty calm and something very natural

what is your name","我爱她做的非常镇定和很自然的事情

你叫什么名字"
24820,Ugy_4ytxICjntcIK4Dt4AaABAg,4,3 years ago,"watching your original videos can calm down, and the healing system relieves the soundtrack of the soundtrack.",看你原生态的视频心情能平静下来，治愈系纾缓配乐美食超喜欢。
52749,Ugz3WdRQSl0QTwm9qHd4AaABAg,4,4 years ago,"beautiful video as always, very relaxing, it calms my heart. the puppies are so cute",美丽的视频一如既往，非常放松，它使我的心平静。小狗是如此可爱
42233,UgxcBtHPxJc-mrivDMN4AaABAg,3,4 years ago,i really loved your place..very calm nd peace it is.. also everything very fresh nd organic it is,我真的很喜欢你的地方..非常冷静的和平。
50088,UgzBJF3JXP0efB359St4AaABAg,3,4 years ago,it's easy to calm down and watch the whole film. i really like this movie you made. i wish you a happy new year.,很容易静下心来把整部影片观赏完，很喜欢妳拍的这支影片也祝妳新年快乐事事顺心
28438,UgwyZnI_liIsaxjxrwR4AaABAg,3,3 years ago,i got her video today itself and i've already watched 2-3 till now.. such a calmness is there in her videos the things she uses give soothing feeling like her utensils... and the way she does that's no doubt awesome. big hug to her๐ค—,我今天已经得到了她的视频本身，我已经看过2-3到现在。在她的视频中，她所使用的东西有这样的平静，让您感到舒缓的感觉像她的餐具……而她的做法毫无疑问。大拥抱她
20809,UgymYDxrl-wKnRq_hUF4AaABAg,3,3 years ago,"this channel makes me want to live on a mountain village when i retire... seems so calming no internet, no wifi, possibly no signal at all, so guess no gadgets.. but that lamb (sheep? lamb? have no idea) is so fluffy and cute. the puppies..can't handle cute animals...",这个频道让我想在我退休时住在一个山村...似乎没有平静的互联网，没有wifi，可能根本没有信号，所以猜猜没有小工具..但是那只羔羊（绵羊？羔羊？不知道）是如此蓬松而可爱。小狗..不能处理可爱的动物...
44299,Ugx8g4i-WT3sPQMGcvh4AaABAg.8rEWqAlvTbu8rNwhZ0uvWp,3,4 years ago,siiiimmmmmm. the chaos happening here around me and suddenly i was calm watching this parallel universe.,siiiimmmmm。我周围发生的混乱发生，突然我很冷静地看着这个平行的宇宙。
32162,UgwcheoxSWUIWnrylgN4AaABAg,3,4 years ago (edited),"wait so where is this? because this place looks amazing, calming and rather pleasant.",等等，这在哪里？因为这个地方看起来很棒，平静而愉快。
46665,UgznRayRv0aCLiZInI54AaABAg.8qs_TK17Zu78qsckUcmDJN,3,4 years ago,"for those who say li ziqi fake at the little brother channel of western yunnan, i want to add a few words. first of all, starting from a large level, they made excellent videos to share with people who love food culture around the world, so that more people understand the beauty of chinese culture. do you have done it? just vomit the sputum of other people's works in a casual sentence, and feel that some cooperation with the merchant defile your eyes? then, take a step back to talk about video production. which one should not take care of the mirror editing in the later stage? critics, do you spend money to watch the video? no. did you participate in the video production? no. you respect the efforts and choices of others. not only are there no, but you are also whispering, yin and yang weird, where can people do not do well, go to weibo to give opinions! didn't you change your opinion? take your own business! have nothing to do? brother, so many traitors around them, hurt the world, care about them! intersection intersection take a step back, these critics have not criticized the ideas at all, many of them are still catching the wind, and the clouds are also cloudy. when you make a criticism next time, you ask yourself a word. what do i make in my own criticism? i said in this way, what does it mean for others? did i have a negative impact on the perception experience of others (those who want to be calm and cured)? it's all adults, so mature, please! intersection intersection intersection intersection",针对在滇西小哥频道底下说李子柒假的人我想特别补充几句。首先，从大的层面开始讲，她们做出了优秀的视频与全世界热爱美食文化的人们分享，让更多的人了解了中华文化的美好。批评者们你们做到了吗？随随便便一句话就吐别人作品一口痰，觉得和商家的一些合作玷污你们的眼了？然后，退一步说视频制作，讲究值得赞叹的分镜剪辑后期哪个不要花心思？批评者们你们花钱看视频了吗？没有吧。你们参与视频制作了吗？没有吧。你们尊重别人的努力和选择了，不仅没有，还窃窃私语，阴阳怪气，人家哪里有做的不好的，去weibo提意见啊！提意见了没改？取关做自己的事去啊！没事情做？大哥，周围那么多作奸犯科的，伤天害理的，管他们去呀！！！再退一步说，这些批评者完全就没批评到点子上，很多还是捕风捉影，人云亦云，你们下次再提出批评的时候问自己一句话，我在批评的过程中我自己做出的贡献是啥？我这样在下面说别人的不是意义何在？我有没有给别人（那些希望得到平静与治愈的人们）的观感体验带来负面影响？都是大人了，成熟一点拜托了！！！！！
33811,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48y6agUN2-OS,3,3 years ago,i totally agree! this lifestyle is really healthy and calm. just what we need in the actual days: health and calm,我完全同意！这种生活方式确实是健康和镇定的。正是我们在实际日子里需要的：健康与镇定
41549,UgwmsxpTFt69pOmyP4p4AaABAg,3,4 years ago (edited),"it’s so calming and lovely to watch
i just wish the background instrumental music isn’t there or isn’t played throughout the whole video","看着很平静和可爱
我只希望背景乐器音乐不存在或在整个视频中都没有播放"
38608,UgxKcW6BHA9ry3pIeo14AaABAg,3,4 years ago,"salam feels calm, and i am natural and simply feels life. they have splendor. i hope to live in places",萨拉姆感到镇定，我很自然，只是感觉到生活。他们拥有辉煌。我希望住在地方
589,UgzPjU7L-q2aJcgbded4AaABAg,2,4 months ago,your videos are comforting like a warm blanket and a cup of tea...never fail to help me feel calm and remember to enjoy my moments...wish i could have spoiled my granny this way.,您的视频像温暖的毯子和一杯茶一样令人欣慰……永远不要让我感到镇定，并记住享受自己的时刻...希望我能以这种方式破坏我的奶奶。
29079,UgzJtfYrIHTcPcoI0xx4AaABAg,2,3 years ago,"i enjoy watching this video. the atmosphere is very beautiful and living there seems calm, far from the pollution of a big city. i also like gardening, i have a small garden on two balconies, the limited place is not an obstacle for gardening. liziqi videos really inspired me. happy gardening form germany ๐๐๐๐๐๐ .",我喜欢看这个视频。气氛非常美丽，住在那里似乎很平静，远非大城市的污染。我也喜欢园艺，我在两个阳台上有一个小花园，有限的地方不是园艺的障碍。 Liziqi视频确实启发了我。园艺快乐的德国形式。
4509,Ugw7i_Wn8ULOE-qbKcJ4AaABAg,2,1 year ago (edited),"idk why but this vid make me feel calm whenever i watch it… 
edit: all her vids actually","idk为什么，但是每当我看它时，这个vid都会让我感到镇定……
编辑：她所有的视频实际上"
39393,UgzA_J3fWD2q7H1C6WZ4AaABAg,2,4 years ago,i love soo soo much i like the calm and peaceful atmosphere love from mizoram,我很喜欢太太，我喜欢米佐拉姆的平静与和平的氛围
28201,Ugw-rDDnLdtGKWUCVcR4AaABAg,2,3 years ago,this is my favorite video of hers. next would be the wheat beer. itโ€s so calming,这是我最喜欢的视频。接下来是小麦啤酒。太平静了
