,cid,votes,含calm,含calm中文翻译
480,Ugzk1P7bWFaCYfdVd4J4AaABAg,14,the video is calm. the sister paper is awesome.,视频看的让人心情平静，妹纸真棒、虽然也吃不太来螺丝丝，但是超爱酸笋
4285,UgylN_1HCuYRgVfFTu14AaABAg,12,"i really like all your videos.
the scenery on this mountain is so beautiful, calm and cool. all these videos show a sense of sincerity, gratitude and simplicity.","我真的很喜欢你所有的视频。
这座山上的风景是如此美丽，平静和凉爽。所有这些视频都展现出一种真诚，感激和简单的感觉。"
23824,UgwthuALnpC-hfbyZ014AaABAg,10,"this video,is beautiful, all of your videos are. 
they are so calming.","这个视频很漂亮，您的所有视频都是。
他们很平静。"
28000,Ugx1WY5JExPYRwUI8JR4AaABAg,10,your video are so lovely and it has a calming and peaceful effect on,您的视频是如此可爱，并且对保持良好工作的镇定和和平影响
15587,Ugxjrv2mKx5Vq8flEzV4AaABAg,9,she looks like mina from twice. this is so calming it's so gud.,她看起来像是两次的Mina。这太平静了，真是太糟糕了。
2629,Ugx0BAOT4AoUIWtTzOp4AaABAg,9,a nice moment of calm from the everyday stress of modern life.,从现代生活的日常压力中，一个平静的时刻。
6050,UgxsnsDTIITzGSsfuqx4AaABAg,8,"as much as we love her art of cooking, we need to understand, it is still hard work to plant/grow and maintain a healthy garden like this. 
just watching the video is very calming and satisfying. i think i will watch it again, ๐ฑ๐พ","尽管我们喜欢她的烹饪艺术，但我们需要了解，种植/种植和维持像这样的健康花园仍然是艰苦的工作。
仅观看视频非常平静和令人满意。我想我会再看一次，"
16682,Ugz6IOJ4bELIuB8MvT14AaABAg,6,"these videos are calming -- therepeutic for anybody suffering with hypertension, anxiety or, non-pysiological depression.",这些视频令人镇定 - 对于患有高血压，焦虑或非病理学抑郁症患者的任何人都在镇定。
29974,Ugz8MB3qs8Obi7esJ2h4AaABAg,5,love watching your videos. keeps me calm & relaxed!!,喜欢观看视频。让我保持镇定和放松！
33295,UgxMR6LIbUgNgGCiaKR4AaABAg,5,"its astonishing how calming her videos are...simply amazing.... superb video quality all organic food... 
i wish i could live there...
great video. looking forward for the next upload","令人惊讶的是她的视频的平静……简直令人赞叹。
我希望我能住在那里...
很棒的视频。期待下一个上传"
21942,Ugxqx5Mr07z9pd6YGOp4AaABAg,5,"when have panic attacking on me...i don’t want to see anything just yours videos 
and then tha calm is comoen to me
i don’t want feel like this on me .is soo sadthe depressing and ansiedad but thanks for yours videos i like to wan live ther on the montains","什么时候恐慌对我进行攻击...我不想看到您的视频
然后，我的平静是我的comoen
我不想在我身上感到这样。太可悲了，令人沮丧和安塞达德"
8409,UgwiePU6VscZJIwL2MR4AaABAg,5,"43million views... go onnnn liziki! 
just love the sense of calm, i think so many of us are missing that in our lives, that's another reason she has 43m views. so beautiful ๐ฅฐ","4,300万次观看...去Liziki！
只是喜欢平静的感觉，我认为我们当中的许多人都缺少，这就是她拥有4300万观点的另一个原因。如此美丽"
23402,Ugys54iUj9TTs_NqgDB4AaABAg.8zk0PxB5igA9-AHlFqSobX,5,slappy calm the fuck down who pissed in your cheerios this morning?,slappy平静下来的人今天早上在你的麦片中生气的人？
20130,UgzWDCM5VHlrVcjpwQ54AaABAg,4,i feel calm while watching this video by the scenic beauty of the nature,我在观看这部视频的自然风光时感到很镇定
26695,UgzOQoEoVjqVgD8dNCx4AaABAg,4,i am so hooked with her videos. they are so calming and informative. just wondering is there anything this woman can't do?,我很喜欢她的视频。他们是如此的平静和信息丰富。只是想知道这个女人不能做什么？
11290,UgwBDYyUsnSceJ3C_Xx4AaABAg,4,calming background music... and i love everything about you lady ❤️,平静的背景音乐...我爱你的一切
24536,Ugytrq4-TNi6cBd3mFp4AaABAg,4,"oh my how i wish my life was like that, you're very lucky to be living such a beautiful and calming life i really like your videos they make me relax but a little bit sad because i could never have such life :p i really wish i could visit you it would be like a dream ❤️",哦，我的我希望自己的生活是那样的，你很幸运能过着如此美丽而平静的生活，我真的很喜欢你的视频，让我放松，但有点难过，因为我永远不会过这样的生活：P我真的希望我可以拜访你，就像一个梦想❤️
10731,Ugx79jz9tMzg20_2tst4AaABAg.98U3qX1W-EW98ZYYph6Tjt,4,calm down sir. you probably are not good enough to marry her lol,先生冷静下来。你可能还不够嫁给她大声笑
15498,UgxpSmJXGUdxsrqLpTx4AaABAg,3,"it is very calming and relaxing to watch. i like how she preserved traditional craftsmanship and many more. but it is impossible to live like this. you will need to hire a team of gardener, makeup artist, chef, and housekeeper...",观看这是非常平静和放松的。我喜欢她保留传统工艺的方式等等。但是不可能这样生活。您需要雇用一支由园丁，化妆师，厨师和管家组成的团队...
3749,Ugyw_NU3ikg7NaIfpT94AaABAg,3,shes has the calmest videos so relaxing,她有最平静的视频，所以放松
29052,UgyxBFiqpKDryhlhXr14AaABAg,3,"what a smart woman she is! i just love to watch liziqi video. such a calm, kind atmosphere.",她是一个聪明的女人！我只是喜欢看Liziqi视频。如此平静，友善的氛围。
21092,UgwI--vwhvAJQ4z5UsF4AaABAg,3,"the music is really calming, n it reminds me of some old chinese movies",音乐真的很平静，它让我想起了一些古老的中国电影
6584,Ugy92fLMyLJ7yYHUoIp4AaABAg,3,"my first impression was watching .. i felt calm .. the atmosphere was so comfortable it was really beautiful. makes me interested in watching it again

๏ฟผ","我的第一印象是看着..我感到镇定。气氛非常舒适，真的很漂亮。让我有兴趣再次观看

￼"
5332,UgwfzR1Wxt6ralOi9q14AaABAg,3,idk but this is satisfying and calming to watch โค๏ธ,idk，但这是令人满意和平静的观看❤️
32800,Ugzdz9B1qq9i0ys8Jb54AaABAg.8yUmLaS9As08yVA06gobgU,2,"that was so cheesy also you do have to have peace of mind, a healthy body and especially a calm life to live a happy life because everyone would be so alike and it would make life seem sooo damn boring but i do agree with you.",那真是太俗气了，您确实必须安心，健康的身体，尤其是一种平静的生活才能过上幸福的生活，因为每个人都会如此相似，这会使生活看起来如此无聊，但我同意您的看法。
19873,UgwLVppGe_u_W9HKWp94AaABAg,2,"five thousand years of cultural precipitation, ordinary chinese girls are displayed in front of everyone with the most innocent image.
a trick on my hand, clean and uplifiers, skillful skills, the most authentic chai oil and salt.
with modern video interaction, it is widely announced, refueling.
take your heart and calm down china. this is beautiful everywhere.","五千年的的文化沉淀，普通的中国女孩以最纯真质朴的形象展现在大家面前。
手上的一招一式，干净麻利，技巧的娴熟，最原汁原味的柴米油盐。
有了现代视频交互方式得以广而宣之，加油
放下心，平静下来中国处处是这番美好。"
14757,Ugx1GnDcN21WHq6q5lh4AaABAg,2,"i like calmness 
another thing ..
all plants and planting, and everything around you make something strange from it 
as for the cooking issue, this is another research

my question is reasonable in the year 2020
ako hig shi

can i ask for resorting to you","我喜欢平静
另一件事 ..
所有的植物和种植，周​​围的一切都使它变得很奇怪
至于烹饪问题，这是另一项研究

我的问题在2020年是合理的
ako hig shi

我可以要求你求你吗"
3487,Ugx9MLwJZ7UFoOk1M6B4AaABAg,2,"i was often busy or engaged in other things! 
yet, whenener i come here, it is so soothing and calm!
thanks ziqi...","我经常忙或从事其他事情！
但是，当我来这里时，它是如此舒缓和镇定！
谢谢Ziqi ..."
33106,Ugx8FE089Sxi_DFEwzV4AaABAg,2,"i really like your videos - the aesthetic, the rustic ambience, the culture, the cinematography, the music, the variety of knowledge and skills you display - everything is just perfection. you make countryside lifestyle romantic, calming, and dare i say much better than urban lifestyle. ❤",我真的很喜欢您的视频 - 美学，乡村氛围，文化，摄影，音乐，您展示的知识和技能的多样性 - 一切都是完美的。您使乡村的生活方式浪漫，镇定和敢于说，我说的要比城市生活方式好得多。 ❤
16280,Ugy0kCO-C8c4ew6Z5aZ4AaABAg,2,"when you watch this video its like your in a haze, so relaxing and calm. good break from the hustle and bustle of working in the city! gotta visit china soon and learn about my cultural heritage, right now my perspective is muddled by western culture, so harsh and abbrrasive specially for my children. keep up the videos!",当您观看此视频时，它就像您的阴霾一样，令人放松和镇定。从城市工作的喧嚣中度过了良好的休息！要尽快参观中国并了解我的文化遗产，现在我的观点被西方文化所困扰，这对我的孩子们来说是如此苛刻和宽容。保持视频！
31187,UgwKSnU6fuOJ1v0dwgd4AaABAg,2,your work seems very calming although sometimes very strenuous. everything you make us so fresh. love watching you perform your talents.,您的工作似乎很平静，尽管有时很艰巨。你让我们如此新鲜的一切。喜欢看着你表演自己的才华。
26843,UgwPsqh0UqLzFY5BOH54AaABAg,2,"hello, i am an american, i am using a translation application. if it is a bit messy, i'm sorry. i really like your video, even if i can't understand it, they always calm me down. they let me calm down, and i emphasized from the school, so i watch your video now. you are a surprising chef, i like your embroidery skills! you are so talented, so maintain a good job!",你好，我是美国人，我正在使用翻译应用程序，如果它有点凌乱，那就很抱歉。我真的很喜欢你的视频，即使我不能理解它，它们总能让我冷静下来。他们让我冷静，并且我从学校强调，所以我现在看你的视频。你是一个令人惊讶的厨师，我喜欢你的刺绣技巧！你是如此有才华，所以保持良好的工作！
27377,UgwxXt64u2Xn7AH3Gnp4AaABAg,2,you are wonderful i get calm when i see you cook.,当我看到你做饭时，我很棒。
8532,UgziCXRd-TeTqbjqtY54AaABAg,2,it is a calming and wonderful video. the dishes are really great. we support. so prettyโก,这是一个平静而精彩的视频。这些菜真的很棒。我们支持。太漂亮了
27164,UgyRv5uEXzE0WSsa04x4AaABAg.8yhVtwY-4oB8ymGzBJpg9T,1,"jian miao has also entered the hustle and bustle, but she loves calmness and leisure.","jian miao 她也曾走入喧嚣,但是她更爱平静闲适。"
15974,Ugw-3gHeuMzpwgnKECB4AaABAg,1,"i want to live a life like this. peace, quiet, calm, i have to hunt and search for my daily meals.",我想过这样的生活。和平，宁静，镇定，我必须狩猎和寻找我的日常用餐。
20029,UgzesOY9m4nBBWpOWiB4AaABAg,1,whenever i see ur videos i feel very calm n pleasant ...,每当我看到您的视频时，我都会感到非常平静，很愉快...
19340,UgwWMWX7Iks51p8fLIJ4AaABAg,1,watching her video will always make people calm down,看她的视频总会让人宁静下来
28232,UgxNYhIa1VpG0L3nNqZ4AaABAg,1,"she seems to do everything with so much deep calmness and peacefulness. <3 
how can one reach that?","她似乎以如此深厚的平静与和平来做一切。 <3
一个人怎么能达到这一点？"
19347,UgzEkgrnLszQj5tIMKx4AaABAg,1,"i like this new concept of cooking video, so calming, got a bit of story too",我喜欢这个新的烹饪视频概念，所以平静，也有一些故事
35047,UgymGBA4J8HL0oQXadl4AaABAg,1,"i really love ur content liziqi, its so calm & refreshing!
continue what ur doing.

all the way from the philippines.","我真的很喜欢您的内容liziqi，它是如此的冷静和清新！
继续您的工作。

从菲律宾一直到。"
7543,UgyxuCZIFL8Cj6xawbl4AaABAg,1,"those other chinese mukbangers are sooo annoying.
liziqi is soo calm and the the bgm is so nostalgicโค๏ธ","那些其他中国的穆克邦人很烦人。
liziqi很镇定，而BGM如此怀旧"
11457,UgyjDiN9PtDWpqH88ZJ4AaABAg,1,her channel brings calm into my life while im surrounded by chaos.,当我被混乱包围时，她的频道使我的生活变得平静。
34929,Ugw4jPN7fasZ7cNk6YV4AaABAg,1,quite and calm videos ____❤,相当平静的视频____❤
2230,Ugw96r-aaP5Cm_nHL9V4AaABAg,1,"i really feel that such a virtuous woman is the most beautiful scenery in the world. looking at your busy look makes people feel calm. i don’t necessarily see your video next time, so i wish you a happy happiness first",真心觉得，这么贤惠的女子才是人世间最美的风景了吧。看着你忙忙碌碌的样子让人感到心情很平静。下次不一定会看到你的视频，所以先祝你美满幸福
33909,Ugw9KDu2nrHp36CBdWV4AaABAg,1,"i don't know the image of the taste, but somehow a calm landscape like a grandmother in the countryside",我不知道味道的形象，但是某种程度上是一个像祖母一样平静的风景
33847,Ugyk1ftA6GOwWRnyvM94AaABAg,1,"creativity, hallway, calm, and views of crazy followers from syria",叙利亚疯狂追随者的创造力，走廊，镇定和景色
5903,UgzlzO-1rE655wGM5il4AaABAg,1,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. 491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 491782570178
5928,UgwS7SB7D6tYicwC8ZZ4AaABAg,1,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. 491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 491782570178
5944,UgyqQ13ffx9dFaq0wGR4AaABAg,1,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. +491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 +491782570178
5969,UgxBZlK643skj4gvMxZ4AaABAg.9FF-ZvuKkMT9FK5UUKQCvp,1,"i am a simple people who want to meet a serious partner, polite and calm. i hate lies, hypocrisy and stupidity. i want a good life with my partner for her who will respect me and love me for who i am. if you are interested here is my whatsapp. 491782570178",我是一个简单的人，想见一个认真的伴侣，礼貌而镇定。我讨厌撒谎，虚伪和愚蠢。我想要与我的伴侣一起度过美好的生活，她会尊重我并爱我的身份。如果您感兴趣的话，这是我的WhatsApp。 491782570178
33039,Ugzmmp3o1lsdeUKdZih4AaABAg,1,i already fell in love with your videos and i can’t even describe how much i love seeing them. they are calming me down even today when i have to go somewhere that i hate visiting. thank you!,我已经爱上了您的视频，我什至无法描述我有多喜欢看到它们。即使在今天我不得不去我讨厌来访的地方，他们也使我平静下来。谢谢你！
9990,UgysJBRkFffqB7nmKAB4AaABAg,1,"what nature and what calm, and what a beautiful girl, and what kind of golden hands she has.
just a treasure for men, that is, for the future husband.
i wish her all that is on earth, the best !!!","什么天性，什么平静，一个美丽的女孩，她拥有的金色手。
只是男人的宝藏，即对未来丈夫的宝藏。
我祝她一切顺利，一切最好！！！"
29958,UgxT8YNVf6OA0Oqm2Dl4AaABAg,1,amazing and calming,惊人而平静
24003,Ugzz1spHGpGbq6xmJWV4AaABAg,1,it's a wonderful video. calm and tidy.,这是一个很棒的视频。平静而整洁。
13161,UgwiNjwgK5yh8sjR2PB4AaABAg,1,iove her life style it's hard working but calm and peaceful it seems nice,我使她的生活方式很难工作，但是平静而和平，看起来不错
30684,UgxnXJcAI1oGiTfgkEl4AaABAg,0,"every time i see your videos, my soul calms down, thanks",每当我看到您的视频时，我的灵魂都会平静下来，谢谢
25563,UgyyPyftsj8wEQx9fUx4AaABAg,0,i like your bamboo garden very shady and calm.,我喜欢你的竹制花园非常阴暗和镇定。
34108,Ugxy1nSwkcWaI6qngIB4AaABAg,0,"now in the troubled times of hong kong, watching her video can find the calmness of the soul. bleak",现在香港乱世，看会儿她的视频才能找回点心灵上的平静。
26178,UgwVEbvvq2a4zpZTHOV4AaABAg.8ytMvEtC0gE8yuZiRj3mO9,0,@xschan2256 calm down lol.,@xschan2256冷静下来大声笑。
25881,Ugxqh82xktopY5il5RN4AaABAg,0,these videos make me feel so calm and focused. watching her work with such trained elegance is so mesmerizing!,这些视频使我感到如此镇定和专注。用这种训练有素的优雅观看她的作品真是令人着迷！
25688,UgwnaF5RyWsmEp3KAiV4AaABAg,0,i do eat non veg but your video which shows fresh veggies from your farm making me think i should quit non veg food ... its slow process but i m sure i ll be pure vegetarian... love from me .. this is gentle way to show world how one can live in country side in cool calm way ... best way of life,我确实吃了非蔬菜，但是您的视频显示了您农场的新鲜蔬菜，使我认为我应该放弃非素食食品...这很慢，但我敢肯定我会纯粹是素食主义者...这是我的爱。展示世界如何以凉爽平静的方式生活在乡村方面...最佳生活方式
25566,UgxpJVLyLS05WIMM1Md4AaABAg,0,this video calm my anxiety... and gave me a peaceful mind...,这段视频使我的焦虑症平静...并给了我一个和平的头脑...
29038,UgzVX1s3HdmhWmmILgN4AaABAg.8yXyAuH9Z1Y8yf0AXGMkPq,0,"@user-dw6rn9zh6c pay attention, there are always a lot of both may 2018 and there are still 3 videos there, and for the last month there are. one that the np is growing)? or she loves the pappis so that she constantly selects them, and how she grows up in forest))!? just their culture is like this. t.b.do, see on liz: it also squeezes calories, carbohydrates, vitamins and fats for all that is around and gives nature: vegetable and animal, it is simply apparently popular in european countries, in the usa, with us, and not just in asia. and apparently she realizes that it will be living for us, and this is so: it is full of varieties! but the puppy, for them, like borsuk- superproof, even capable of treating tuberculosis with its fat. turn to me: such a ""practical"" korean, japanese woman, legged, chinese)) whoever she is, will not miss this product !! (therefore, the little puppies are always disturbed in the video. i can’t judge: such as a culture, for muslims shock and fu, that we eat pigs, i just think not to show, not to tell about it. if she prepares and uses everything that is in her household! and this is not honest according to her relations towards us. haith, i would have respected her more for honesty. i didn’t hide it particularly. imea is a little knowledge about their culture, seeing her video and a little in my head. it’s hard to understand. calm. by the way) by the way) by the way) i have today d.r. !!) and they gave me a puppy !! dobermanchik)",@user-dw6rn9zh6c注意，2018年5月总是有很多两者，那里仍然有3个视频，在上个月。他们，以及她在森林中长大的方式）！！！！！！！！！！！！！！！！！！它显然在欧洲国家，在美国，与我们一起在亚洲而受欢迎。显然，她意识到它将为我们生活，这就是如此：它充满了品种！但是小狗，因为那只小狗，因为他们像Borsuk-Supphrove，甚至能够用脂肪治疗结核病。转向我：这样的“实用”韩国，日本女性，腿，中文））无论她是谁，都不会错过此产品！小幼犬总是在视频中被打扰。我无法判断：例如一种文化，对于穆斯林震惊和fu，我们吃猪，我只是认为不要表现出来，不要说出它。如果她准备并使用一切那是在她的家中！根据她与我们的关系，这是不诚实的。海斯，我会以诚实的态度更尊重她。我并没有特别掩饰。我的脑海里有点。很难理解。顺便说一句），顺便说一句），我今天拥有的），他们给了我一只小狗！dobermanchik） 。
28826,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g98VnEDyScrp,0,@cathyliu8694 calm down. it's ok everyone express one's thoughts. btw he's telling the truth...,@cathyliu8694冷静下来。没关系，每个人都表达自己的想法。顺便说一句，他说的是真相...
24781,UgxcnBBth62vg028lN54AaABAg,0,"without an exaggerated expression of internet celebrities, it presents the true feelings of chinese food culture. the old grandmother's calm smile is the true love of li ziyi filial piety! i like snail powder, more pink plums!",没有网红夸张的表情，呈现的是中华美食文化返璞归真的感情。老奶奶从容的笑意，是李子柒孝心大爱的真情流露！喜欢螺蛳粉，更粉李子柒！
34520,UgxR315UhS7tsW9BhGR4AaABAg,0,thank u for helping me calm down my mind. these really help me relax and remind me how beautiful our earth is. life is a game. we will sometimes stay stuck on a level but we will keep going up until it’s game over. ahh it would be a bummer to leave this beautiful world. it’s sad but it’s life. a game called life which we all play without noticing. each one of u guys are precious,感谢您帮助我平静下来。这些确实可以帮助我放松身心，并提醒我我们的地球有多美丽。生命是一场游戏。有时我们会停留在一个水平上，但我们会继续上升到比赛结束。啊，离开这个美丽的世界将是令人沮丧的。很可悲，但这是生活。一个名为“生活”的游戏，我们都没有注意到。你们每个人都是宝贵的
34545,UgwX0jzxDP8G51-NlcB4AaABAg,0,i really want to taste a few dishes by her. they look sooo good! i use her videos as therapy to calm down after a hectic day!,我真的很想品尝她的一些菜。他们看起来很好！我用她的视频作为疗法，在忙碌的一天后冷静下来！
29043,UgxrxlDmInXxSqPwncJ4AaABAg.8yXxwnokw6P8yeZ-_vrJPG,0,"@user-zn7y1cw9g can be later, i will write, although we have half the eleventh, i'm tired of household chores. you know, i look at the channels in non -russian, i write comments, knowing that no one will answer. but you will not believe how nice it is when people write in russian. i have been watching the asian channels for a long time, i leave comments, no one answers, i am calm. and then the comments went, i'm surprised !!!",@user-zn7y1cw9g可以稍后写，我会写信，尽管我们有一半，但我厌倦了家务。你知道，我看着非俄罗斯人的渠道，我写评论，知道没有人会回答。但是，当人们用俄语写作时，您不会相信它是多么的好。我很长一段时间以来一直在观看亚洲频道，我发表评论，没有人答案，我很镇定。然后评论发表了，我很惊讶！！！
24141,UgxTPaVsk8T9DAmQtel4AaABAg,0,this is so calming. and the food looks delicious,这太平静了。食物看起来很美味
29881,Ugxyst4GnKFNoJepKGx4AaABAg,0,"her channel is not only beautifully done, but it is calming as well. i’d love to spend a week with her and her grandmother.",她的频道不仅完成了，而且也很平静。我很想和她和她的祖母共度一周。
33628,UgzdBAdM6B2a90jymop4AaABAg,0,the bgm is like mushiishi. so calm.,BGM就像Mushiishi。如此冷静。
27813,UgysH2r2jWXUjB6HVIl4AaABAg,0,i don't know why but it is calm to see this girl cook,我不知道为什么，但是看到这个女孩厨师很平静
28556,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8zNTthblXBL,0,calm down ladies and gentleman ... baku hantam sadja is more gg,平静下来的女士和先生们...巴库·汉塔姆·萨迪亚（Baku Hantam Sadja）更加gg
26229,UgzlNNIgClbXIhtHid54AaABAg,0,simply amazing beyond words!! suddenly while watching liziqi life seems much more calm and peaceful,简直令人惊奇的是超越言语！！突然看着Liziqi生活似乎更加平静与和平
30017,UgxUTdhLJ9-2bUBJJuV4AaABAg,0,"so soothing and calming, fills me with peace. i love your videos!",因此，舒缓和平静，使我充满了和平。我爱你的视频！
30043,Ugz6rpxMRABvdGbCEhN4AaABAg,0,"ziqi’s way of wild gathering and cooking are calm and patient. she really focuses on her work. that is such a great feeling, when the cooking work is fun and absorbing. i learn so much from her!",Ziqi的野外聚会和烹饪方式保持镇定和耐心。她真的专注于自己的工作。当烹饪工作很有趣和吸收时，这真是一种很棒的感觉。我从她那里学到了很多东西！
33232,UgyR0dL4lUk8mpmzt4p4AaABAg,0,liziqi...i dont know if you know this....you ve been doing great service to depressed people through your ever so calming videos...your life surrounded by nature..family bond...and so much hardwork adds beauty to everything you do...god bless u and grandma.,liziqi ...我不知道您是否知道这一点。...您所做的一切的美...上帝保佑你和奶奶。
29397,UgzMGzF_N5Mmsmo4t7J4AaABAg,0,the music is very calming,音乐很平静
26734,UgxIx1-E98tJxtjkpuN4AaABAg,0,these videos are always so calming,这些视频总是如此平静
27878,UgwD7NTuOtx9YzNuhuN4AaABAg,0,i really love liziqi..i find her videos soothing and calming.,我真的很喜欢Liziqi ..我发现她的视频舒缓和镇定。
32807,Ugzdz9B1qq9i0ys8Jb54AaABAg.8yUmLaS9As08z_sy-sJtXz,0,then she has so many millions of money and calm life…lol,然后她拥有数百万的钱和平静的生活……大声笑
27362,UgxSviAXfgmamr3YcuV4AaABAg,0,what a beauty that does not describe every time you see calm prevailing my soul and reassuring my soul,每当您看到平静占上风我的灵魂并让我的灵魂放心时
32003,UgyzicNg6rP3dOkDRol4AaABAg,0,when ever i feel stressed i watch ur vedios.. the music made me calm nd cool nd the visual provides peace of mind.... love u lot liziqi... thank u for making such peacefull vedios,每当我感到压力时，我都会看着ur vedios ..音乐使我冷静下来，视觉效果让您放心。
31300,UgwVyr4HgxjJxgiX3w54AaABAg,0,"wow, it was strange how i stumbled upon your channel but i am thankful i did. you have such a calmness and tranquility to you. whatever you were eating looked amazing! now i am starving and i know where i live i could never find what you just cooked",哇，我偶然发现了你的频道很奇怪，但我很感激我做到了。您对您有如此镇定和宁静。无论您吃什么，看起来都很棒！现在我饿了，我知道我住在哪里，我永远找不到你刚煮的东西
29158,Ugw6rOdNw7Y8mBWTOw14AaABAg,0,"the strength of this little angel is amazing! the weight she carries around would be impossible for many western women. her beautiful spirit is really unique. calm, peace, love for her beloved family/granny and for nature around her. a blend of what we humans should all have. just another 1000 of her would make our world a better place. i am sure she touches deeply all that watch her videos. such a blessing to have this channel!",这个小天使的力量很棒！对于许多西方妇女来说，她所携带的体重是不可能的。她美丽的精神确实是独一无二的。平静，和平，对她心爱的家庭/奶奶的爱以及周围的大自然。融合了我们人类应该拥有的一切。她只有1000人将使我们的世界变得更美好。我相信她会深入观看她的视频。拥有这个频道真是太幸运了！
79,UgwTfXh_rIp72NkjESh4AaABAg,0,i miss you liziqi. i miss seeing your beautiful calming videos. its been a while and there's no new notification pop up on my phone. hope everything goes well. god bless you dear,我想念你liziqi。我想念您美丽的平静视频。已经有一段时间了，我的手机上没有弹出新的通知。希望一切顺利。上帝保佑你亲爱的
23723,Ugw8CSQWA-Zt6aR-BR54AaABAg,0,i love the animals and how calm it all is.,我爱动物，这一切都很镇定。
14842,UgxRgzDuoaoboaqIKuR4AaABAg,0,"where are you, arabs, see calmness and psychological comfort. we are not like worries that kill us and run after things that do not benefit",您，阿拉伯人在哪里看到平静和心理舒适。我们不像担心会杀死我们并追求对不利于
