,cid,votes,time,含omg,含omg中文翻译
26873,UgzxYqLgCwAPoPa-lMN4AaABAg,0,3 years ago,omg. i love she,我的天啊。我爱她
24011,UgzL5aAF3tqPDl58fQh4AaABAg,0,3 years ago,omg... this is what having a decent life is like !,天哪...这就是拥有体面的生活的样子！
27092,UgwtmPQqbMsJI_3JRGR4AaABAg,0,3 years ago,omg i love eating snails,天哪，我喜欢吃蜗牛
23661,UgzuK8p2uyWhMBSKJnd4AaABAg.8zeGo5ApctX92kMaodTURU,0,3 years ago,omg i did the exact same i loved it xdd,天哪，我做的完全一样，我喜欢它xDD
23516,UgwKEqpXtnY0XLgQf-Z4AaABAg,0,3 years ago,omg what a nature i love it,天哪，我喜欢它
23660,UgzuK8p2uyWhMBSKJnd4AaABAg.8zeGo5ApctX91EtMwhNhs-,0,3 years ago,katiesaysrawr omg,katiesaysrawr omg
27595,Ugw5OirupWUBhqfXLsZ4AaABAg,0,3 years ago,omg! she never ever dissappoints!,我的天啊！她永远不会失望！
23177,Ugxe34u4yQ4yhrD1pMt4AaABAg,0,3 years ago,omg,我的天啊
25954,UgwNNdjuUjH0v_kJ05B4AaABAg,0,3 years ago,i’ve just discovered this channel and i’m so curious to know if she lives with her just her granny?? she truly living the ghibli life i need omg,我刚刚发现了这个频道，我很好奇地知道她是否和她同住她的奶奶？她真正过着我需要的吉卜力生活
28808,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97wr56YEBHr,0,3 years ago,@franzpeters3824 omg she doesn't even need to speak any english since she doesn't need to use it.,@franzpeters3824天哪，她甚至不需要说任何英语，因为她不需要使用它。
28069,UgzxH92aO4ICrXfqmLp4AaABAg,0,3 years ago,9:16 omg ur dog really is the cutest,9:16 OMG您的狗真的是最可爱的
31740,UgxkHVu4WIiZpmwErfV4AaABAg,0,3 years ago,"seriously, this channel is the best !!! 
it's help you relaxing so much .. it really helps me to release my stress.. omg !","说真的，这个频道是最好的！！！ 
这可以帮助您放松很多。.确实可以帮助我释放压力..天哪！"
35210,UgwEz3qObX4iYvSAbZZ4AaABAg,0,3 years ago,2 minutes and 3k viewer.. omg baby qi,2分钟和3K观众.. OMG Baby Qi
35075,UgxAf9KF-n0C5u-YWFl4AaABAg,0,3 years ago (edited),"omg i just came once i saw the thumbnail! i love u, ziqui!",天哪，一旦看到缩略图，我就来了！我爱你，Ziqui！
35041,UgyHNd2cgYJcKTK3uU14AaABAg,0,3 years ago,omg hiiii im so earlyyy i love youu,omg hiiii我这么早，我爱你
34948,UgySTZALGoO1dXMaU1l4AaABAg,0,3 years ago,omg mujhe khane ko man hogya bamboo my favorite,OMG Mujhe Khane Ko Man Hogya Bamboo是我的最爱
34359,UgzhzHIBDAnhuJHAwVF4AaABAg,0,3 years ago,"omggg that looks so so so good!
i don't eat meat but the veggies look so yummy","看起来真好的omggg！
我不吃肉，但蔬菜看起来好吃"
34148,Ugw95DaTSxlh0_cZPcp4AaABAg,0,3 years ago,omg! how first views!!!,我的天啊！如何第一次观看！！！
33643,Ugw4s7BuIeDjBQQZLVt4AaABAg,0,3 years ago,omg isn't it itchy to pluck it...i have faced itching whenever i tried plucking it,天哪，摘下它不是很痒吗？
33578,UgwyLoPN5QBelTo4Ik94AaABAg,0,3 years ago,omg from start end how come ur so fresh,OMG从起点开始如何如此新鲜
32836,UgxED66oHOWztug3YFB4AaABAg,0,3 years ago,omg my innocent mouth,天哪，我无辜的嘴
31963,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e96WAajMUVdH,0,3 years ago,"as a result, the number of tens of millions of levels is now. essence essence omg",结果到了现在千万级的播放量。。。OMG
31686,UgyB91c2HYpgU9y7uOt4AaABAg,0,3 years ago,omg these back to back videos! liziqi is working so hard for us. make sure to take time for yourself as well ❤️,这些背对背视频！ Liziqi为我们努力工作。确保还花时间为自己❤️
28302,Ugwof_wgTmmm5Wrc6sJ4AaABAg,0,3 years ago,omg i am not gonna be eat any of your dis.,天哪，我不会吃任何你的疾病。
31465,UgyVFFN7AK5ioQn2VoB4AaABAg,0,3 years ago,omg those vietnamese subs are funny :))))))))))))),OMG那些越南语很有趣:)））））））））））））））））
31391,Ugyb05ABLJ8s8b4OsNd4AaABAg,0,3 years ago,omg her soup spoon looks awesome,天哪，她的汤勺看起来很棒
31164,UgxOIYrBFUNFTQmdsJB4AaABAg,0,3 years ago,omg i love lotus roots ❤️❤️❤️,天哪，我爱莲花根❤️❤️❤️
30195,Ugz5LSa99rH0L40R7sF4AaABAg,0,3 years ago,omg !!!,天哪！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
30105,UgxPixDCD5qtB4K-n4N4AaABAg,0,3 years ago,"she’s so beautiful!!
like omg how tho","她很漂亮！！
像OMG怎么样"
29005,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9JeUE7D2NqG,0,2 years ago,lol omg,大声笑
28993,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9ExbS6Th3Mu,0,2 years ago,omg looool,OMG looool
22931,Ugx2pTLcfnQ7aLlbK1Z4AaABAg,0,3 years ago,omg very beautiful i want to be near by you i fall in your love,天哪，我很漂亮，我想靠近你，我陷入了你的爱
28769,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g96xpqiyqUQh,0,3 years ago,"omg thanks, lol",天哪，谢谢
28313,UgzmAkOiL6XHPRQ4vZF4AaABAg,0,3 years ago,omg. just one day 3 million views!,我的天啊。只有一天的300万观看次数！
23003,UgyMrGbbtyLUf0LyWAV4AaABAg,0,3 years ago,omg!!! im boutta die yall!!! from the dinner she cooked!!! i luv food so so much! & especially when its home cooked!!! im crying right now! bcuz i the meal is da bomb! and i cant have any!!!#drooling a huge pool! lol,我的天啊！！！我是boutta die yall ！！！她煮的晚餐！！！我这么爱食物！ ＆尤其是当房屋烹饪时！！！我现在在哭！ bcuz i这顿饭是炸弹！而且我不能！＃流口水！哈哈
58,UgzVOIpZ9NkPDiH4AnF4AaABAg,0,2 weeks ago (edited),omg that glass noodles soup so tempting...looks so yummy,天哪，玻璃面条汤如此诱人...看起来好吃
22813,UgzQr_SrfHp13_9rvDx4AaABAg,0,3 years ago,"her garden, omg",她的花园，天哪
13143,UgxjlDC6kq1Pb3cZYZ54AaABAg,0,3 years ago,omg the process of this cooking deserves an oscar!,天哪，这种烹饪的过程值得奥斯卡！
12597,UgxtWCqMB4FfVntbFCR4AaABAg,0,3 years ago,omg-so pretty all,天哪，这一切都很棒
12535,UgzWGso6pqov-yh1QQl4AaABAg,0,3 years ago,omg im so hungry,天哪，我是如此饿
12336,UgxTakuq_KHAo2c4z8F4AaABAg,0,3 years ago,omg made in woohan???,OMG用woohan制作？？？
11873,Ugx9jdUoxEDQs2q5AH54AaABAg,0,3 years ago (edited),omgg.. this is my childhood dish.. i didnt know the dish name is even real.. luosifen is my fav dish almost every morning before i go to school,omgg ..这是我的童年菜..我不知道菜的名字甚至是真实的.. luosifen几乎是我每天早上我上学前最喜欢的菜
11857,Ugxsxd3ly0xaDHyGEDp4AaABAg,0,3 years ago,omg 'm laik to lizipi,天哪，我是莱克（Laik）到利兹皮（Lizipi）
10929,UgzBIoNYdQWW4j_Q7Id4AaABAg,0,3 years ago,"this is the most popular youtube channel i’ve ever come across, 10m subscribers, some videos over the 15m viewings! omg!!!",这是我遇到过的最受欢迎的YouTube频道，1000万用户，其中一些视频在1500万观看中！我的天啊！！！
10713,UgxqQrTtgdN7nNgIwCV4AaABAg,0,3 years ago,"omg that's young bamboo i used to, get that also.. beautiful lady",天哪，我曾经是年轻的竹子，也得到..美丽的女士
10576,UgwSr2tbggMOj3DPHxB4AaABAg,0,3 years ago,omg,我的天啊
10574,Ugww9T3_Kg7TOhTIrcZ4AaABAg,0,3 years ago,omg,我的天啊
10394,Ugw_m0BaozLLZC3LkIt4AaABAg,0,3 years ago,omg plz marry me,omg plz嫁给我
9752,Ugzaq82FTdP3kNOli-h4AaABAg,0,3 years ago (edited),those rice noodles look delicious omg liziqi ur so talented like girl,那些米饭看起来很美味的omg liziqi ur，像女孩一样才华横溢
9591,UgwCVoBCXjF74bB9gqZ4AaABAg,0,3 years ago,omg !! it is a unicorn horn,我的天啊 ！！这是一个独角兽号角
9509,Ugxbk3P6H3_syOK-Uqd4AaABAg,0,3 years ago,omg helooy,OMG Helooy
9122,UgzdFRdhVLaVDj1rZ2l4AaABAg,0,2 years ago,"omg, the snails soup. i like fresh water snails.",天哪，蜗牛汤。我喜欢淡水蜗牛。
8760,UgzwJigrLDRItlxaHjd4AaABAg,0,2 years ago,omg these is amazing,天哪，这真是太神奇了
8236,UgwoQGLY3_aiju2u3bZ4AaABAg,0,2 years ago,"https://youtu.be/osfhvrk3en0
omg what i've done","https://youtu.be/osfhvrk3en0
天哪，我做了什么"
7290,Ugyc9q3zaSILi5uJzH94AaABAg,0,2 years ago,omg.. the cicadas,omg ..蝉
6583,UgxWOReMUdxSyLRCmu94AaABAg,0,2 years ago,omg!!!๐ฒ is there anything this amazing girl can't do?๐ฏ incredible!!!๐๐’•,天哪！！！
6112,UgyK-x69eRpBWprTMCt4AaABAg,0,2 years ago,omg what's happening,天哪，发生了什么事
4318,Ugxd2pVJlIgjxWFhE-Z4AaABAg,0,2 years ago,omg i love her,天哪，我爱她
3777,UgxbjAon0NMysnD4PEx4AaABAg,0,2 years ago,"omg! featurette from the lotus video midway through! i got way too excited by that, lol...",我的天啊！ Lotus Video的功能中途！我对此感到非常兴奋，大声笑...
3011,UgwV9AM4AnubDyoLXV54AaABAg,0,1 year ago,omgosh is she a cooker??,omgosh她是炊具吗？
2628,UgzdgbVEFYBoDGjZzD54AaABAg,0,1 year ago,omg,我的天啊
2359,UgzbCFM6kQI2qYVhQtx4AaABAg,0,1 year ago,omg it looks so yummy,天哪，看起来好吃
1951,Ugy5ySiTcrQpqTxHFrd4AaABAg,0,1 year ago,omg 15.6 million subscribe is really admiring youtube channel china,OMG 1560万订阅真的很欣赏YouTube频道中国
12962,UgwFUOvqx9ZnrX-ZMOJ4AaABAg,0,3 years ago,omg... they are so rich. can eat top fresh delisious healty food everyday.,天哪...他们是如此富有。每天都可以吃新鲜美味的治愈食物。
14393,Ugxj-8EmQo4VfwGNb8t4AaABAg,0,3 years ago,i want the recipe omg,我想要食谱OMG
22808,UgwYku56xvoNGdIuj614AaABAg,0,3 years ago,omg can we get the recipes too?,天哪，我们也可以得到食谱吗？
14405,UgyJvbCm3FN8FHlvYIl4AaABAg,0,3 years ago,"omg,shellllllllssss",OMG，shellllllssss
22743,Ugzk7a2YfqFeoNRStX54AaABAg,0,3 years ago,omg bamboo shot t_t ... i remember they grow behind my parents house ... and as a kid i really love to eat bamboo shot that my mom cooks ...,OMG竹子射击T_T ...我记得他们在父母的房子后面长大...小时候，我真的很喜欢吃我妈妈做饭的竹子。
22677,UgyHYDQYfh9NHq43ejR4AaABAg,0,3 years ago,omg please tell me this is real that this place actually exist . this paradise.,天哪，请告诉我这是真的，这个地方实际上存在。这个天堂。
22536,UgzyZTg_q4hidgCaLRV4AaABAg,0,3 years ago,i got hungry after watching this video omg deliciously,看这部视频后，我饿了
22468,Ugxi7e54IOvO8-hPOR14AaABAg,0,3 years ago,"omg, i wanted that bowl of noodles so bad. i think grandma did too.",天哪，我想要那碗面条这么糟。我认为奶奶也做了。
22451,UgzmDciwXWH7UgcPRHl4AaABAg,0,3 years ago,omg....she has a beautiful soul.,天哪。。。她有一个美丽的灵魂。
22208,UgxZXrasK2bd9sx1aZp4AaABAg,0,3 years ago,omg i love this show you guys do such a good job! and the food .. looks amazing!,天哪，我喜欢这个节目，你们做得很好！和食物..看起来很棒！
22178,Ugxoyo77Go-wD_hAUL14AaABAg,0,3 years ago,"omg this girl, can i meet your mom or give you a hand",天哪，这个女孩，我可以见到你的妈妈还是给你一只手
72,UgxDXlDW933u2SP9pTx4AaABAg,0,2 weeks ago,81....million views.....omg,81 ....百万视图.....天哪
21093,UgwMX8zv4gnNJL_eiRZ4AaABAg,0,3 years ago (edited),"this is make me enjoy and smile a lot, im so happy! first time i see this, her grandmother, omg i love it and i subs as fast as i can!",这让我非常享受和微笑，我很高兴！她第一次看到这个，她的祖母，天哪，我喜欢它，我尽可能快！
20919,UgzGb7vaWQVvN5611854AaABAg,0,3 years ago,omg the delicious,天哪，美味
20833,UgzLVfrT-LHL8QYleaR4AaABAg,0,3 years ago,omg food i never see cooking this type of food. i am so axiting this video,OMG食物，我从未见过烹饪这种食物。我是如此的视频
19608,UgwUZ7vVcP7cXM8sz9N4AaABAg,0,3 years ago,omg im in love,OMG IM恋爱
19016,Ugw6nFdYvtx8NNZnURl4AaABAg,0,3 years ago,"omg, mum, she can cook so many food!!!! so organic !!!",天哪，妈妈，她可以煮这么多食物！！！如此有机！！！
17405,UgwYFUIPRAHXZGkle7N4AaABAg,0,3 years ago,"omg, i grew up in the philippines and i miss the black fungus so much. so delicious.",天哪，我在菲律宾长大，我非常想念黑人真菌。太好吃了。
16868,UgxPZmVzB_LIA730v3R4AaABAg,0,3 years ago,omg my mouth is watery by the way someone tell me all chinese are not nonveg,天哪，有人告诉我所有中国人都不是nonveg，我的嘴很水。
16835,Ugxu3Fc7AjE0RfWF2wx4AaABAg,0,3 years ago,omg...i waht to live ur life...wonderfull...my dreams is,天哪...我过着你的生活...奇妙的...我的梦想是
16459,UgygEkwtXR3W-N4oxLp4AaABAg,0,3 years ago,omg you cooking and your garden look just out of this world amazing...,天哪，你做饭，花园外观刚好这个世界惊人...
16238,UgwfdYSmhv63kA5gA5F4AaABAg,0,3 years ago,omg snail powder,OMG 螺蛳粉
15997,Ugwswre1M28K0XGCijp4AaABAg,0,3 years ago,omg,OMG
15751,Ugx1obuuI66Am8grmP14AaABAg,0,3 years ago,"i know this isn't the intent, but omg... thr asmr tingles!",我知道这不是意图，而是OMG ... Thr Asmr Tingles！
15567,UgyndjDkVe1nRUSIFul4AaABAg.93AbhU5avkO940Hp5_O4iQ,0,3 years ago,justin jhon omg sammeee!!! i wanna like always live in like some kinda rural area and do all this stuff myself for like a month at least,贾斯汀·乔恩·奥姆·萨米耶！我想总是像某种农村地区一样一直住在某个农村地区，至少一个月自己做所有这些事情
15514,UgwfinMgprX-UOkFYRJ4AaABAg,0,3 years ago (edited),"i thought that big bowl of noodles is for her dan grandma, but it is just for her! and look at that big spoon she used wkwkw omg this is so cuteee",我以为大碗面向她的丹奶奶，但这只是给她！看看她用wkwkw omg的那汤匙，这真是太可爱了
15479,Ugx24zqifxT_hVrQTM54AaABAg,0,3 years ago,omg her sauces are incredible,天哪，她的调味料令人难以置信
15032,UgyfqleZII-BKOZnSTt4AaABAg,0,3 years ago,omg like wuxia <333 !!!,omg like wuxia <333!!!
14832,Ugy0VqqcHxuBLdQYjDh4AaABAg,0,3 years ago,"omg, 10 star chief right there. my mouth is watery.",OMG，10星酋长就在那里。我的嘴很水。
35415,Ugz9by9NpvZ95KE8F9F4AaABAg.8yURdYZKxRC8yUTFC0JwyR,0,3 years ago,@hobiworld3960 omg army,@hobiworld3960 OMG军队
