,cid,votes,含dislike,含dislike中文翻译
9025,Ugx-vzXwvmlLaEGQ8Q94AaABAg,10,how can this video have 19 thousand dislikes?! what she's doing is so cool and impressive,"这个视频如何有19,000次不喜欢？她在做的是如此酷和令人印象深刻"
25580,UgwY27BwVHp4Avnuv4t4AaABAg,10,those 4.4k people who disliked this video arent human beings i believe.,我相信那些不喜欢这个视频的4.4k人。
19963,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92F7w48Sjsj,9,they dislike anything from china.,他们不喜欢来自中国的任何东西。
16958,UgzZ2g9hzHJDPnG11ON4AaABAg,7,i wonder who pressed dislike? share owners of kfc and mcdonald’s ???,我想知道谁不喜欢？分享肯德基和麦当劳的所有者？？？
11084,UgzD1jb_NW-fBsTo68h4AaABAg,6,"i just want to ask why is there 16k dislikes, whats wrong with those people, i'm sure they are spies sent by trump","我只想问为什么为什么不喜欢16,000，那些人怎么了，我敢肯定他们是特朗普派遣的间谍"
7360,UgzDF17hcZ_O25TDnNB4AaABAg,6,the dislikes are from the people who are too lazy to do anything like this,不喜欢的人来自那些懒得做这样的事情的人
19954,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92-qn-394XN,6,@ashoretoo im sorry i think what she is doing is awesome i do have questions of how she makes money because growing up with a garden there is alot of time involved and cooking like she is and rounding up her ingredients and let's not forget how much time filming and making a video takes so i have much respect for her and i would not be suprised if shes working 15+hrs a day plus taken care of granny much respect to her i dont understand stand why anyone would dislike this content unless its a hate monger,@Ashoretoo我对不起，我想她在做什么很棒，我确实有疑问她如何赚钱，因为在花园里长大的时间涉及很多时间，像她一样烹饪并弄清楚自己的食材，让我们不要忘记多少时间拍摄和制作视频需要花费很大的尊重，如果她每天工作15+hrs加上奶奶的照顾，我不明白，我不会感到惊讶，除非有人会不喜欢这个内容贩子
31041,UgzPNlJAyqKLD0zFnNl4AaABAg,6,i don't know why people dislikes her work,我不知道为什么人们不喜欢她的工作
17012,UgzCwT-Khgr4NDvn8cp4AaABAg.92oi4ep8RCm92qKHj2UhQk,4,大爆炸 all the dislikes came from those jealous ladies who can’t be like her,大大所有不喜欢的人都来自那些嫉妒的女士
33302,UgyhKFqjLeYFhljK3g14AaABAg,4,"almost 390 dislike ...!!!

are you kidding me..........?
","几乎390不喜欢... ！！！

你在开玩笑吧..........？
"
5760,Ugw0BLEKwMBffKWeoeR4AaABAg,4,how can people dislike these videos? this is amazing.,人们如何不喜欢这些视频？这真太了不起了。
19730,UgzVS7T9L6ZvmNwHNOF4AaABAg,3,can't imagine anyone would dislike this video. it's so satisfying to watch her get those bamboo shoots and pluck the mushrooms!,无法想象有人会不喜欢这段视频。看着她得到那些竹芽并拔出蘑菇真是令人满意！
19973,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92Ozvwo_Cck,3,"@aimeem9566 in china, there are more than 200 million pepole who support li, i also support her. of course, someone dislikes her due to some reason, but please do not say most of dislikes from china. this saying does not respect china.",@aimeem9566在中国，有超过2亿pepole支持李，我也支持她。当然，由于某种原因，有人不喜欢她，但请不要说来自中国的大多数不喜欢。这句话不尊重中国。
21118,UgxIIoQ4kisIDaD28pF4AaABAg.90G0PLeDdeO90OMy5YtzEx,3,dont worry the dislikes help to spread this content too by algorythms.,不用担心，不喜欢的人也有助于通过算法传播此内容。
10676,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_77-l3-eY,3,"@mohammedharoon8453 i dont have sth against moslem. but i dislike that everybody tend to associate chinese & the culture with ccp while theyre not... just like the name mohammad gets associated with terrorist. boy! what a world! even u mr. mohammad haroon... u know how it feels to be bullied by western people just bc of ur name. .. but u do that also to the chinese! its u who had started to say bad things about liziqi... despite her awesome work & talents !!
its useless to speak to someone like u. byeee!","@Mohammedharoon8453我没有STH对阵穆斯林。但是，我不喜欢每个人都倾向于将中国和文化与CCP联系在一起，而他们却没有……就像穆罕默德这个名字与恐怖分子相关。男生！真是个世界！甚至你，穆罕默德·哈伦（Mohammad Haroon）先生...你知道只有你名字的西方人被西方人欺负的感觉。 ..但是你也对中国人做到了！它开始对利兹基说坏话...尽管她的工作和才华很棒！！
与像你这样的人说话是毫无用处的。 byeee！"
15698,UgxwylHhAaFZMq1oFG14AaABAg,2,i've heard alot off feminist dislike this video. guess they are jealous,我听说女权主义者不喜欢这部影片。猜猜他们嫉妒
27142,UgztyCBWaNMU6t4gPCB4AaABAg,2,2.9k dislike??? they re 100% jealous,2.9k不喜欢？？？他们100％嫉妒
19970,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92MWFgvuyZ7,2,"@drinkwaterolddriver4601 i don't think your saying is right. because for most chinese, they can not use youtube. many foreign people do not eat pork, this may be a reason or something else. so most of dislikes are from foreign people, not from china.",@drinkwaterolddriver4601我不认为您的说法是正确的。因为对于大多数中国人来说，他们无法使用YouTube。许多外国人不吃猪肉，这可能是原因或其他原因。因此，大多数不喜欢的人来自外国人，而不是来自中国。
19969,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92MVUWwaV7L,2,99% of the dislikes come from chinese viewer. they are just jealous and think these videos are not big deal,99％的不喜欢人来自中国观众。他们只是嫉妒，认为这些视频没什么大不了的
32916,Ugz3FH_-93t-gEqVUdx4AaABAg.8yUkS5gmmql8yV6r-icv4R,2,@leahly3755 you ~ don't dislike it !! thank you ~,@leahly3755 您~不嫌弃!! 感谢~
4051,UgzNhfet_Ik5yVGbspN4AaABAg,2,"01:20 such a beautiful shot! 
being surrounded by plants, how fresh the oxygen can be? 

i wonder about these people who disliked, she doesn't even say anything to the camera. just leave her alone. lol","01:20如此美丽的镜头！
被植物包围，氧气有多新鲜？

我想知道这些不喜欢的人，她甚至都不对相机说什么。只是别管她。哈哈"
27815,UgwdOfvdjW6n9IAG3mV4AaABAg,2,"hmm who are the dislikers 





may god blast them","嗯，谁是不喜欢的人





愿上帝炸毁他们"
21654,UgzUQf2__Ksw6o_ej594AaABAg,2,why would people dislike this?,人们为什么不喜欢这个？
11937,Ugx7V6wRlZhTI1yXM_94AaABAg.976fCov_6b_976jHkLg8gC,2,sonam dreemaa they insecure ones or maybe they accidentally clicked dislike button.,Sonam Dreemaa他们不安全，或者也许他们不小心点击了不喜欢按钮。
18822,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792Vg4J_0O00,1,some women who jealous about her dislike,一些嫉妒她不喜欢的女人
9060,Ugx-vzXwvmlLaEGQ8Q94AaABAg.9AVgEqHoFqK9AVpExdfM-k,1,"because in a previous video, she mistranslated chinese pickle as ""kimchi"" which is a kind of korean pickled vegetable that some of korean think it is unique. so some korean users called her ""thief"" and lauched the dislike action.",因为在以前的视频中，她将中国泡菜误认为是“泡菜”，这是一种韩国腌制的蔬菜，其中一些韩国人认为它是独一无二的。因此，一些韩国用户称她为“小偷”，并采取了不喜欢的行动。
7728,UgyvCB_p2dfqGtigv4x4AaABAg,1,finally you belong to the country which ruined the world. don't know whether to like or dislike.....,最后，您属于破坏世界的国家。不知道是喜欢还是不喜欢.....
19556,UgwWWMB39Cw9O-eCNYt4AaABAg,1,the dislikes are from the chinese government,不喜欢的人来自中国政府
5546,UgwcYi70ur50V4hdiXJ4AaABAg,1,where are all those dislikes from....,这些不喜欢的东西在哪里...
19993,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9QQnqQ_CFxW,1,"those who disliked are either jealous, china haters!!!!",那些不喜欢的人要么嫉妒，仇恨中国！
9314,UgwRQoOTeWPrusu1q4R4AaABAg,1,why some people gives dislike why so much hate๐“๐“๐“๐“๐“๐“๐“๐“๐“๐“๐“,为什么有些人不喜欢为什么这么多仇恨
30976,UgyO8280ftF4Qn5JOIt4AaABAg.8yVPSboV9tf8yWLqE7IWTr,1,people are allowed to dislike things? whaaat? shocking!!!,人们被允许不喜欢事情吗？ whaaat？令人震惊！！！
12372,UgygGphu6PgOX7YaItl4AaABAg.96jNsXWiWzz97M_lXurOMB,1,poptart io seriously what kind of a sick person would dislike this grace from heaven!,Poptart io认真地说，有什么样的病人会不喜欢天堂的恩典！
16823,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI939SfPpTFfC,1,simply because of jealousy those people who dislike this they probably live in polluted squatters area,仅仅因为嫉妒那些不喜欢这个的人，他们可能生活在受污染的棚户区域
16831,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI93HwwU5gTQN,1,"when you think li ziyi's video is fake, the rural areas are not like this at all. i want to tell you that rural china is indeed not like this.
but showing the true appearance of rural china is not the theme of her video at all. the reason why you see such a beautiful video will cause discomfort because it subverts your impression of china, this is not china you know.
the real china should be messy and the people's quality is low. you are embarrassed and even painful for this. you instinctively resist the beautification of china, so you are skeptical of the video here.
many people have ""escaped"" or hope to ""escape"" china because of the status quo of contempt china. however, they may not expect that inferiority in their hometown will always be wrapped like a nightmare. when people enjoy the beauty and tranquility of li zihuan's video, they feel dislike and anger; when people admire china's development and progress, they will not have a hint of joy; a developed country feels that china's threats want to curb china some people even become accomplices. those who despise themselves are actually scornful. china is their demon, as long as they mention them, they will suffer.
i want to remind these people that 1.4 billion people living in china are also flesh and blood, and they are pursuing a happy and peaceful life. they also have their own creativity and imagination. why can't they create such high -level works? why can't china be beautiful?
those who feel that you are offended, if you are abroad, please leave this channel quietly, forget everything about china, and hope that you can live easily and have dignity. if you are in china, please open your eyes and look at everything around you, maybe more beautiful things are waiting for you to discover. even if you can't find it, spend more time to accompany your family, it is a beautiful thing.


——the above is just written to those chinese who have been demon","当你们觉得李子柒的视频是假的，中国的农村根本不是这个样子，我想对你们说，中国的农村确实不是这个样子。
但展示中国农村的真实面貌根本不是她视频的主题。你们之所以看到如此唯美的视频时会产生不适，是因为它颠覆了你们对中国的印象，这不是你们了解的中国。
真实的中国应该环境脏乱，人民素质低下。你们为此感到难堪，甚至痛苦。你们本能的抵制美化中国的事物，因此才对这里的视频持怀疑态度。
有许多人因为鄙夷中国的现状“逃出”了或希望“逃出”中国，然而他们也许没料到，对于自己故乡的自卑将永远如梦魇一般缠绕。在人们享受李子柒视频的唯美与恬静时，他们感到的是厌恶和愤怒；在人们赞叹中国的发展进步时，他们也不会有一丝喜悦；某发达国家感受到中国的威胁想要遏制中国时，有些人甚至成为了帮凶。那些鄙夷自己出身的人，其实也在鄙夷着自己。中国是他们的心魔，只要一提起他们就受煎熬。
我想提醒这些人，生活在中国的14亿人口，他们个个也都是有血有肉，他们都在追求幸福平静的生活。他们也都有各自的创造力和想象力，怎么就不能创造出这么高水平的作品来呢？中国怎么就不能有美好的事物了呢？
那些觉得自己受到冒犯的人，如果你身在国外，请你安静的离开这个频道，忘掉关于中国的一切，同时希望你活得轻松些，有尊严些。如果你身在国内，请你睁开眼重新打量一下周围的一切，也许还有更多美的事物等着你去发现。即便发现不了，多花些时间陪陪家人，也是美事一桩。


——以上只是写给那些着了魔的中国人"
30038,UgzTOuMaNSbT0q9xTBd4AaABAg,1,just who can dislike your videos....?!!! those who did ever are just jealous,谁能不喜欢您的视频....？那些曾经嫉妒的人
28064,UgzL1w5c8PVL6z1N3mp4AaABAg,1,"sometimes i just see dislikes on such good videos
which forces me to think that what could be the serious reason for the dislike
like what i atleast want to know one reason..","有时我只是在如此好的视频上看到不喜欢
这迫使我认为可能是不喜欢的严重原因
就像我至少想知道一个原因。"
11593,UgxNpznBnrlFmbtIzJx4AaABAg,1,the dislikes clicks must be coming from a shithole place like a hell.,不喜欢的点击一定是从地狱般的shithole地方出现的。
30552,UgwOJ_Fy_0nUXu-tgXd4AaABAg,0,why 1.3 k in dislike?,为什么不喜欢1.3 k？
28034,Ugzwq1YTqKjeTVuAoop4AaABAg,0,2.3 dislike from liziqi schoolmate getting jelous.,2.3 Liziqi同学的不喜欢。
32304,UgwUi4My7YEouJRrA614AaABAg,0,why she's getting...dislike....who are this...,为什么她变得...不喜欢....谁是谁...
32643,UgyBkMe3m65fgC5BhAF4AaABAg,0,i'm surprised that someone presses dislike,我很惊讶有人不喜欢
33271,UgywWiVZN0XhvdHJyMB4AaABAg,0,no idea why so many dislike every video...nearly all comments are positive...seems losers or bots dislike every video and keep follow it,不知道为什么这么多人不喜欢每个视频...几乎所有评论都是积极的...似乎失败者或机器人不喜欢每个视频，并继续遵循它
31406,UgzJD-G8c0D6eEdcv2d4AaABAg,0,"why so many dislikes? just curious, you have the rights to dislike. just want to know which part you don't like.",为什么这么多不喜欢？只是好奇，您有不喜欢的权利。只想知道您不喜欢哪个部分。
28258,UgwAYcUpULE3bAAofZx4AaABAg,0,are the people who disliked her videos jealous about her views and subscribers? because i don't understand their reasons to press the dislike button.,那些不喜欢她的视频嫉妒她的观点和订户的人吗？因为我不明白他们按下不喜欢按钮的原因。
28448,UgyG_cSFQ3N8etYrFu54AaABAg,0,why so many dislikes,为什么这么多不喜欢
33318,UgyhKFqjLeYFhljK3g14AaABAg.8yUcjS3kBIQ8yUjlUpZzJG,0,@86upsmaya maybe the frog. i'm afraid of frogs so that's like a jump scare to me...but i didn't hint dislike though,@86upsmaya也许是青蛙。我怕青蛙，所以这对我来说就像是恐慌...但是我并没有暗示不喜欢
29614,UgyniC576ZMspKcnwSt4AaABAg,0,why would anyone dislike the video i don't get it,为什么有人会不喜欢我不明白的视频
21632,Ugxon8_QciaJ516gksh4AaABAg,0,why is there a dislike?,为什么不喜欢？
31917,UgwRK5KaMnX4YjbdN5B4AaABAg,0,i really wonder how people can dislike this videos ...,我真的很想知道人们如何不喜欢这些视频...
31266,UgxNTa492iJzMxtDNel4AaABAg,0,"there are humans dislike this video. one question why dislike ? just wondering why human dislike this video because is not even contents violence or anything that we watch something bad.
to my opinion liziqi just share how to survive and what you can do with nature, what you can do to make your self better and how to appreciate your environment sorrounding you. all her videos showing really something beneficial to all races from all over the world. she was race by her granma that teached her how to live in this world without giving up. so i think we should appreciate this video. 
as human we always never have enough in our life but she have everything and she managed to do by herself.","有人类不喜欢这个视频。一个问题为什么不喜欢？只是想知道为什么人不喜欢这部影片，因为甚至不是目的暴力或我们观看过一些不好的事物。
我认为利兹奇只分享了如何生存以及您可以与大自然做些什么，可以做些什么来使自己变得更好以及如何欣赏您的环境使您痛苦。她的所有视频都显示出对世界各地的所有种族的有益的东西。她正在遭到颗粒竞赛，教她如何在这个世界上生活中生活。因此，我认为我们应该感谢这个视频。
作为人类，我们一生中永远都没有足够的人，但是她拥有一切，她设法自己做。"
27899,UgyexLnJNptasInQR6F4AaABAg,0,no reason for dislike because its only abt nature's beauty really beauty of nature,没有理由不喜欢的，因为它唯一的自然美是自然的美丽
27862,UgzNSxVhgFJo0qk5yO94AaABAg.8ybG2I-eTqu8ybGtUpeeAU,0,i think those dislikes from pandas,我认为那些不喜欢潘达斯
27848,UgzNSxVhgFJo0qk5yO94AaABAg,0,2400 bamboo dislike,2400竹不喜欢
22029,UgxIoBBseJtI8c5TD2R4AaABAg,0,where did those 8000 dislike come from？,这些8000的不喜欢的地方来自哪里
22084,UgwSosOHZ0s-Ib09hbR4AaABAg,0,y people dislike such a video,人们不喜欢这样的视频
22524,Ugy52jz_JMe6yJCuauh4AaABAg,0,"7.6k disliked her or her videos must be jealousy chinese city girls lol. these are fantastic videos you people must learn from her. she’s very famous in the worlds, especially in the us",7.6k不喜欢她或她的视频一定是嫉妒的中国城市女孩大声笑。这些是您必须向她学习的很棒的视频。她在世界上非常有名，尤其是在美国
22974,Ugzud8WceRBeuqcdK-54AaABAg,0,why so many dislikes?,为什么这么多不喜欢？
23417,UgyKbo53ewRALP7p2up4AaABAg,0,"i'd like to know what monsters disliked this?
was it some sort of idiot vegan greenies that felt sad for a water snail or something?
seriously, thiese vids are nothing short of magical, and those that live like this are destined to have long and healthy lives.
grandma is probably 110 or something insane. she must feel like the luckiest woman on the planet to have someone so skilled looking after her.
such an idyllic lifestyle!
i love this videos more than you'd believe!
i'm gonna be so sad the day that the vid just shows the young girl.....know what i mean?","我想知道什么怪物不喜欢这个？
是某种白痴纯素食绿色的蜗牛或其他东西感到难过吗？
认真地说，Thiese Vids无非是神奇的，那些像这样生活的人注定要有长期健康的生活。
奶奶大概是110岁，也可能是疯狂的。她必须觉得自己是地球上最幸运的女人，才能让某人如此熟练地照顾她。
这样的田园诗般的生活方式！
我比您相信的更喜欢这段视频！
我会很难过的那一天，以至于vid只是向年轻女孩展示.....知道我的意思吗？"
29157,Ugx6PIn9lltTdy2ilgR4AaABAg,0,"1,9 k dislikes ? how ? why ?","1,9 K不喜欢？如何 ？为什么 ？"
25170,UgyZhjsJf3IktE94HaV4AaABAg,0,"there are no objective reasonable reasons to dislike her videos, only subjective, such as jealousy.",没有客观的合理理由不喜欢她的视频，只有主观，例如嫉妒。
25807,UgyJ_lLbuQkEfW46Ng94AaABAg,0,why 4.1k dislike?,为什么不喜欢4.1k？
27321,UgzQHaA2kg7fmt7X9id4AaABAg,0,how can somebody put a dislike on liziqi's perfectly amazing videos? like seriously?,有人如何不喜欢Liziqi的绝妙视频？喜欢认真吗？
29465,UgwBS7u-ojzyioOkJHd4AaABAg,0,1.7k dislike . why?,1.7k不喜欢。为什么？
2604,UgwRhpKgC0YvVh8e20l4AaABAg,0,who is so petty and dislikes,谁是如此小而不喜欢
20674,UgwFfctTHkQWg65HUmB4AaABAg,0,9.7k lazy womans dislike this video,9.7k懒惰的女人不喜欢这个视频
8781,UgxwM2YKB1AE88NjJ5l4AaABAg,0,20k dislikes ๐๐๐ seriously,20k不喜欢
14877,UgzJqn-W8ZVLAVZ9g8N4AaABAg,0,why this video have 12k dislike?,为什么这个视频不喜欢12k？
14037,UgyTTXnLDvgujNjUVDR4AaABAg,0,why 13 thousand people dislike?,"为什么13,000人不喜欢？"
13414,Ugwfvj1K8FU04_1SZFN4AaABAg,0,13k dislikes from those snails,那些蜗牛不喜欢13k
11525,Ugz6XV0Gi1qfDWIpCFV4AaABAg,0,captivating! dislikes of such a video and of complimenting comments about it expose the literal ills among us. such adversity toward the beauty of culture reveals a sickness left undiagnosed. seriously.,迷人！不喜欢这样的视频，并赞美有关它的评论，使我们之间的字面弊端暴露了。对文化美的这种逆境揭示了遗憾的疾病。严重地。
11101,UgzD1jb_NW-fBsTo68h4AaABAg.980myJq-JgC98Axybiq5fX,0,"it's normal on a channel this size. some are hater, some might find the snail scene disturbing. dislikes are not bad in themselves, everyone has his own taste ^^.",在此大小的频道上是正常的。有些人是仇恨的，有些人可能会发现蜗牛场景令人不安。厌恶本身还不错，每个人都有自己的品味^^。
10918,Ugw90wE1r41cKIENJYh4AaABAg,0,rewatching this again... even though i have a strong dislike for bamboo shoots,再次重新观看此事...即使我对竹芽非常不喜欢
10134,Ugxh0wogxOwrhdsmUv14AaABAg,0,why 17k dislikes???????,为什么17k不喜欢？
10075,Ugy3rQjGKS8e7i2_2Xx4AaABAg,0,how could anyone ever dislike her videos. she had put so much effort into making these just for us. like....why,任何人怎么可能不喜欢她的视频。她付出了很大的努力，只是为我们制作这些。喜欢....为什么
8997,UgwCbifTRJGtRnZblKB4AaABAg,0,who are these 19k dislike? just curious about whatโ€s your issue?,这些19k的不喜欢谁？只是好奇您的问题是什么？
