,cid,votes,time,含dislike,含dislike中文翻译
25636,Ugx9lb8B3rtMtybYACV4AaABAg,19,3 years ago,"to people who disliked her video: 
you missed a great opportunity to be happy. 
life is short, focus on the positive side, otherwise you're just wasting your life.","给那些不喜欢她的视频的人：
您错过了一个快乐的机会。
生活很短，专注于积极的一面，否则您只是在浪费自己的生活。"
34373,Ugy9Gua_ThhMeAwifHN4AaABAg.8v49t1LxqD68vA3nmpEG4W,19,4 years ago,"must be bots, because this girl is so impressive it's impossible to dislike otherwise!",必须是机器人，因为这个女孩如此令人印象深刻，否则就不可能不喜欢！
26118,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zuyJnSeyTh,17,3 years ago,"one of the reason is that they do not even know what is ""like"" or ""dislike"" , if i think in a positive way, they accidentally dislike it. i cant believe anyone can really dislike this video.",原因之一是他们甚至都不知道什么是“像”或“不喜欢”，如果我以积极的方式思考，他们意外地不喜欢它。我不敢相信任何人都可以真正不喜欢这段视频。
26120,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zxUKXjVLZM,15,3 years ago,nah haters are necessary in life ๐. but i honestly donโ€t see how one can dislike her vids. itโ€s like therapy that makes you hungry ๐,不仇恨者是生活中必不可少的。但老实说，我看不到一个人如何不喜欢她的视频。就像疗法让您饿了
46454,Ugx3xkI2JGadhTYqM0Z4AaABAg.8qtsXGZE2XC8r08zBMqWXB,14,4 years ago (edited),"abid zoardar if you don’t like her video, just leave her alone. there’s no need to leave vicious comment to mislead others who like her. it’s your own business to dislike someone for whatever your subjective stereotype held against people. to spread around means you are nothing but a troll",Abid Zoardar如果您不喜欢她的视频，那就别管她。无需发表恶毒的评论来误导其他喜欢她的人。不喜欢某人的主观刻板印象对人的主观刻板印象是您自己的事。散布意味着您只不过是一个巨魔
6853,UgyreNtMVZQeXrquvRZ4AaABAg,14,2 years ago,why did so many people dislike this ?! what did they find here to be disliked...guess some people can never learn to appreciate stuff...,为什么这么多人不喜欢这个？他们在这里发现什么是不喜欢的...猜猜有些人永远无法学会欣赏东西...
34376,Ugy9Gua_ThhMeAwifHN4AaABAg.8v49t1LxqD68vE01UQQNOm,11,4 years ago,im thinking the same. thoes who dislike this video must be hateful spiteful bitter people who wasted their lives on nonsense. poor them.,我在想一样。不喜欢这部影片的汤斯一定是仇恨的苦涩的苦涩的人，他们浪费了荒谬的生命。他们贫穷。
16334,UgwR8QOhpPaILtiUyDd4AaABAg,9,3 years ago (edited),"i cannot believe that this video got 24 lakh dislikes this video should deserve more than 24 lakh likes. today humanity doesn't exists. haters who disliked first make this type of videos, she is the best't feel bad, these haters are like that we all support you",我不敢相信这段视频不喜欢这个视频应该得到超过240万的喜欢。今天人类不存在。不喜欢首先制作此类视频的仇恨者，她是最好的
32855,Ugx-7PKwGmSkO_dKNhN4AaABAg,7,4 years ago,those 8k people who disliked this video might have watched it upside down!,那些不喜欢此视频的8K人可能已经颠倒了看！
23440,UgwL3YnuJ_xk5SQofeZ4AaABAg,6,3 years ago,"do not understand why there are 17000 dislike.....the videos did not ask you to see ads, i wonder know which part make them uncomfortable?",不明白为什么有17000个不喜欢.....视频没有要求您看到广告，我想知道哪一部分使它们感到不舒服？
29449,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yGegJyH6mV,6,3 years ago,they all ran here to click dislike,他们都跑来这里点dislike了
5344,UgwyAke-i8Ra-7DFlJV4AaABAg,4,1 year ago,why would anyone dislike this calming video ?,为什么有人不喜欢这个平静的视频？
33380,UgxFsMRwrw2A4Y3VDhJ4AaABAg,4,4 years ago,amazing life! this is what life should look like everywhere ! =) i do not understand how someone hit the dislike button =(,惊人的生活！这就是到处都应该看起来的生活！ =）我不明白有人如何按下不喜欢按钮=（
21884,UgxHIkwhM0A3xgG1McF4AaABAg,3,3 years ago,iโ€ll never understand why thereโ€s so many dislikes. so many haters. this girl is amazing.,我永远不会理解为什么有这么多的不喜欢。这么多仇恨者。这个女孩很棒。
48176,UgyP6fWoaCNpohvpL6N4AaABAg,3,4 years ago,why there is some dislikes for this video????? i think those persons are not eligible to go heaven !!!,为什么对此视频有一些不喜欢？？？？我认为那些人没有资格去天堂！！！
39845,UgwrrdIqNOx551Tf3254AaABAg,3,4 years ago,who in their right mind dislikes the video... this is so good.. i felt like i was with her in that beautiful place ๐๐๐,谁在他们的右脑中不喜欢视频...这太好了..我觉得自己和她在一起，在那个美丽的地方
26129,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-3OVYmtL4f,3,3 years ago (edited),yes i am thinking why people dislike her video she is very hard worker and we have to appreciate her,是的，我在想为什么人们不喜欢她的视频，她很努力，我们必须感谢她
18847,UgwbibGMiyzwPEpnF_94AaABAg.96UIVx8UAMx97ATad4ynxv,3,3 years ago,hma hesham. the dislikes are probably from people that can’t live her life.,HMA Hesham。不喜欢的人可能来自无法过她生活的人。
18849,UgwbibGMiyzwPEpnF_94AaABAg.96UIVx8UAMx97JOXmLOx12,2,3 years ago,"i think the dislikes come from an article which stated this girl's life is fake and it's a show. that she doesn't do everything on her own but there's a lot of props, people helping behind the scenes and camera crew. many people felt disenchanted her life wasn't accurate. i personally feel they were trying to portray a beautiful rural living of china. i don't see it the same way after i read the article but still enjoy watching because it's something we can all strive to have: our own land with food, resources.",我认为不喜欢的是一篇文章，说这个女孩的生活是假的，这是一场演出。她没有自己做所有事情，但是有很多道具，人们在幕后和摄制组中提供帮助。许多人感到自己的生活不准确。我个人觉得他们试图描绘中国美丽的乡村生活。在阅读文章后，我看不到相同的方式，但仍然喜欢观看，因为这是我们所有人都可以努力拥有的东西：我们自己的土地，带有食物，资源。
5025,UgzjzGG6Psf0OTjIAEN4AaABAg,2,1 year ago,wondering why 55k people have disliked this,想知道为什么55k人不喜欢这个
31017,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8x2MSrIRL_x,2,3 years ago,people dislike it can't make sandwich and ramen,人们不喜欢它不能制作三明治和拉面
3119,Ugx_uQ6BP0WXCjqNIEZ4AaABAg,2,1 year ago,the 61k people who dislike wanted to like but were so amazed by video they couldn’t look away and they misclick☺️,那些不喜欢喜欢喜欢但对视频感到惊讶的61k人，他们无法移开视线，他们错误地关闭了☺️
22518,UgxeBBBnQ4EsylMmg2F4AaABAg,2,3 years ago,seems the dislike are most likely from people who have never worked a day in their lives,似乎不喜欢的人很可能来自从未工作过一天的人
22178,Ugx-VnwOX7qjyeUAAdh4AaABAg.932yC5awLL593m3h8bp6z5,2,3 years ago,there is no reason for dislike ๐“๐“,没有理由不喜欢
39269,UgzP-j0T325Jg5pIN354AaABAg,2,4 years ago,"i dont undestand why 5.5k dislike? :( 

she is so amazing and i love this channel because it has a very content.","我不透露为什么5.5k不喜欢？ :(

她真是太神奇了，我喜欢这个频道，因为它非常满意。"
23032,UgyybRTdtg5YjYy9pB94AaABAg,2,3 years ago,17k dislikes? ๐€ fuck those 17k people.,17k不喜欢？
13539,UgxtQt1dXbq5IwurUOR4AaABAg,2,2 years ago,how can ppl dislike the video she’s such a hard working person. how many dumbs up can i get,PPL如何不喜欢她如此努力工作的视频。我可以得到多少个傻瓜
26138,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-B4JuSknig,2,3 years ago,"maybe those who are too commercial or even deceived are not what she really wants to do, but i believe that those beautiful hard work and brave life is her favorite. we can't look at her with her worst aspects. maybe this is like this. i can feel more beautiful there will be less dislike",也许那些过于商业化的甚至是欺骗性的产品不是她真正想要做的，可是我相信那些美好的勤劳勇敢的生活是她喜爱的，我们不能以她最坏的方面去看待她，也许这样就能感受到更多的美好Then there will be less dislike
24856,UgyrSlqdF2S0niC-f-l4AaABAg,2,3 years ago,how can people dislike this video???,人们怎么会不喜欢这个视频？？？
25190,UgxV6FsqptHe-EQl2lZ4AaABAg,2,3 years ago (edited),"the 15k dislikes was from people that are addicted to internet

btw little youtuber still growing","15k的不喜欢是沉迷于互联网的人

顺便说一句，小YouTuber仍在成长"
27172,UgxmSzmRNAus_vF3PJB4AaABAg,1,3 years ago (edited),who are these 14k people who disliked this beautiful & soothing video -_-,这些14K的人不喜欢这个美丽而舒缓的视频-_-
22305,UgyvXvxUMKOTnrgawJ94AaABAg,1,3 years ago (edited),just cant understand how can be a video like this disliked.,只是无法理解如何成为这样的视频。
31043,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xLl0ec7Xzm,1,3 years ago,"@aahhh!! oh you're her manager or relative or the production team? fine then. don't you understand i didn't attack the personality? i disliked because of how she treated puppies in the videos not only once but repeatedly. if it's fake and she has to follow what she is told to, then it's reasonable to dislike the whole production.",@aahhh！哦，您是她的经理，亲戚还是制作团队？然后很好。您不知道我没有攻击个性吗？我不喜欢，因为她不仅在视频中，而且反复反复地对待幼犬。如果这是假的，她必须遵循被告知的内容，那么不喜欢整个作品是合理的。
34139,UgwICVSZGdo1V1sGv9l4AaABAg,1,4 years ago,"how does this have 8k dislikes, what is there that you could possibly dislike here.",这如何有8K不喜欢，您在这里可能会喜欢什么。
30789,UgzDfkYDMj7lXsJybM54AaABAg,1,3 years ago,all the dislikes are from lazy slobs too lazy to be close to this productive,所有的不喜欢都来自懒惰的懒惰，太懒了，无法接近这个富有成效的
31044,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xLqoOXuZ_c,1,3 years ago,@mergistribu the dislikes on these videos are because it is fake. i didn't say anything about anybodys personality.,@mergistribu这些视频的不喜欢是因为它是假的。我什么都没说任何人的个性。
26142,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-NZapZ2nam,1,3 years ago,those who dont have confident to try one of her activities in her videos can dislike easily and simply... lol.,那些没有自信的人在视频中尝试其中一项活动的人很容易不喜欢……大声笑。
31122,UgwHVh7TKhhncS19o2x4AaABAg,1,3 years ago,10k dislike this video....they are jealous to this girl...,10k不喜欢这个视频。...他们嫉妒这个女孩...
32161,UgyXeEc9VlIKt8v3Na94AaABAg,1,4 years ago,why somebody dislike???,为什么有人不喜欢？？？
35736,UgxQkDInYdIrmGDvFdJ4AaABAg,1,4 years ago,"what kind of bgm is this lol
this video is too artificial, unnatural and dramatic
(all those angles, bgm, actress etc)
thatโ€s why it gets so many dislikes","这是什么样的BGM
该视频太虚假，不自然和戏剧性
（所有这些角度，BGM，女演员等）
这就是为什么它如此不喜欢的原因"
15390,Ugx8pyuQywvrtmbcTSl4AaABAg,1,3 years ago,i understand why 25k people disliked ，they can see it but cant get it，the ultimate jealousy is hate,"我了解为什么25,000人不喜欢，他们可以看到，但不能得到它，最终的嫉妒是仇恨"
37418,UgzDtjoTAJjDSH32vdl4AaABAg,1,4 years ago,shame on everyone who disliked this video,对那些不喜欢此视频的每个人感到羞耻
50363,UgzTiiUZ2CBs4UkvebF4AaABAg.8qlkYnN4ozh8qm7-QlvMfL,1,4 years ago,how someone dislike such awesome video,有人如何不喜欢如此出色的视频
47610,UgzfjvKCWY_jMHkfh7J4AaABAg,1,4 years ago,how can people dislike this!!!!,人们怎么会不喜欢这个！
47250,Ugzqcw8RQwgcUBLFXCN4AaABAg,1,4 years ago,a dislike because of the pets,由于宠物而不喜欢
13051,UgyaMhtO1MKMVQPk3NB4AaABAg,1,2 years ago,30k dislikes. why tho?,30k不喜欢。为什么要
6359,Ugyt8i8vg4DM-WlVnA14AaABAg,1,2 years ago,how on earth is there 50k dislikes. clearly there are some people here who have issues that they need to sort out haha,地球到底有50k的不喜欢。显然，这里有些人有问题需要解决哈哈
37915,Ugz6g8fQo9-RtnRomgN4AaABAg,1,4 years ago,how can anyone dislike this video? this is how heaven should look like. amazing.,谁能不喜欢这个视频？这就是天堂的样子。惊人的。
14845,Ugys01_CSwttyUZfjRB4AaABAg,1,2 years ago,who dislike this kind of video? wish i could live this life,谁不喜欢这种视频？希望我能过这种生活
14933,UgwBeBGhc2Ma1exvGat4AaABAg,1,2 years ago,people who are more distorted in their hearts can order dislike ...,内心得多扭曲的人能点dislike...
10483,UgyLwI82QD43710s1h94AaABAg,1,2 years ago,36000 dislike !? really??,36000不喜欢！？真的吗？？
6343,UgwH0fzfKDx0P-MjgOB4AaABAg,1,2 years ago,"something wrong with those who dislike this kind of video!! i can't understand why!!?? 
i love allllll the videos she makes...so peaceful and inspiring!! thank you for making them! ignore all haters....they are from lower realms!","那些不喜欢这种视频的人出了问题！！我不明白为什么！
我喜欢Allllll她制作的视频...如此宁静和鼓舞人心！谢谢您制作它们！忽略所有仇恨者。...他们来自下层领域！"
5831,Ugy7lyu2_KFe9OTZdwN4AaABAg,1,2 years ago,who are these 52k people who have disliked!!? so confused how anyone can dislike this video,这些52k的人是谁！如此困惑任何人如何不喜欢这段视频
35530,UgyFjdXQe1qEJh2qO2F4AaABAg,1,4 years ago,7.4k dislike..๐ sick in the head,7.4k不喜欢..
4538,Ugzq63ACBlrMAl6noZl4AaABAg,1,1 year ago,really don't know how anyone could actively dislike her videos.,真的不知道有人会如何积极地不喜欢她的视频。
31046,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xMvr_fAxgS,0,3 years ago,only about 2.38% of the likes and dislikes are dislikes so i would not say that this vieo has many dislikes... :),只有大约2.38％的喜欢和不喜欢的人是不喜欢的，所以我不会说这种Vieo有很多不喜欢的... :)
31051,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xUyvU_8tW4,0,3 years ago,"@alisonhenry820 the thing that you ignorant people failed to read from my comment is that i was not, at all, against her eating dogs. i only said i disliked the video because of how she treated those puppies harshly, and that she could not have emotional attachment with them because she eats them. farm people are like that. they can't have emotional attachment with their food or else they'll be starving to death. she lives in very cold area. dog meats are heaty like mutton. it helps her. how adult those puppies in the recent videos? still a puppy right ๐ once again.. i disliked because of how she treats the puppies. jeesssssssss people.",@alisonhenry820你无知的人没有从我的评论中读到的东西是，我一点都不反对她吃的狗。我只是说我不喜欢视频，因为她如何严厉地对待那些幼犬，并且因为她吃了它们而无法与他们有情感上的依恋。农场是那样的。他们不能对食物具有情感上的依恋，否则他们将饿死。她住在非常寒冷的地区。狗肉像羊肉一样热。它帮助她。这些小狗在最近的视频中如何成年？仍然是一只幼犬，再次是。我不喜欢她如何对待小狗。耶斯斯人的人。
49949,UgxBMQZgbw9k8STZzAt4AaABAg,0,4 years ago,"she can do almost everything! amazing girl! btw, how can anybody dislike this video?",她几乎可以做一切！了不起的女孩！顺便说一句，有人怎么不喜欢这个视频？
31045,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xM4h_dr3yk,0,3 years ago,"@aahhh!! ah ok then. but i disliked it not because it's a fake life or whatsoever. even it isn't her real life, the whole production is beautiful. i disliked the video because how she treated the puppies. commenting on the above backlashes towards me above about me judging her real life, i don't see any button to dislike her whole life. only like and dislike button for the video. period.",@aahhh！啊，好。但是我不喜欢它，不是因为它是虚假的生活或任何东西。即使不是她的现实生活，整个作品也很美。我不喜欢视频，因为她如何对待小狗。关于上述我对我的现实生活的反对，我对我的真实生活有任何反对，我看不到任何一生都不喜欢她的按钮。只喜欢和不喜欢视频的按钮。时期。
46593,UgwrQ05X_147DekpCCB4AaABAg,0,4 years ago,i dont get the dislikes d: why,我不喜欢D：为什么
34383,Ugy9Gua_ThhMeAwifHN4AaABAg.8v49t1LxqD68vXN0wn9zae,0,4 years ago,i'm trying to understand the type of person that dislikes a video like this,我试图理解不喜欢这样的视频的人
50077,UgzTFeN46NIceL3Ox3N4AaABAg.8qlpzlgQ2g68r2K_WTNTMn,0,4 years ago,also watch many videos of this type but the feeling of dislike of tu that,还观看了许多这种类型的视频，但对Tu的不喜欢的感觉
45446,UgwEjk0HBGsxFPuI4DZ4AaABAg,0,4 years ago,i do not understand why i gave him dislike if this video is beautiful,我不明白为什么我不喜欢这个视频很漂亮
50651,UgzQ-dYeAFtHzk0WGlN4AaABAg,0,4 years ago,i think all the dislikes are jealous western women,我认为所有不喜欢的都是嫉妒的西方女人
31041,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xLk9PRdqvW,0,3 years ago,@kat c. the sign of your immaturity is seen from your very first comment attacking my personality. i didnt attack liziqi's personality. i dislike because of how she treated those puppers. and here you go shooting my personality. kid ๐คญ,@kat C.从您的第一个评论中可以看出您的不成熟的迹象。我没有攻击利兹奇的个性。我不喜欢，因为她如何对待那些幼犬。在这里，你去拍摄我的个性。小子
31039,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xLjfgvGFKX,0,3 years ago,@kat c. i will stil dislike her anyway. what do you want now? sue me lol. i dislike her snd unsubscribed too.,@kat C.无论如何我都会不喜欢她。你现在想要什么？起诉我大声笑。我也不喜欢她的SND。
31037,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xLcIsNF93b,0,3 years ago,"@kat c. fine. then i disliked and unsubscribed because of how she treats those puppies. watch every video of hers and tell me if there is any single vid that she treated them nicely. oh also, no need to defend someone that much you don't know also ;) i am sure im much older than you, kiddo.",@kat C.很好。然后，由于她如何对待那些小狗，我不喜欢和取消订阅。观看她的每一个视频，并告诉我是否有任何单一的视频对她的对待很好。哦，另外，无需捍卫你不认识的人;）我确定我比你大得多。
31035,UgzF-bTIu0PQa86x5gB4AaABAg.8w_-YWVrkVC8xK36wjSWSg,0,3 years ago,i disliked because of how she treats those puppies. she could have no emotional attachment with them because she eats them. there is no single adult dog in her videos.,我不喜欢，因为她如何对待那些小狗。她不能与他们有情感上的依恋，因为她吃了它们。她的视频中没有一只成年狗。
51045,UgyWEJLT51UlxZFQCqF4AaABAg,0,4 years ago,i bet it was the western women who dislike the video.,我敢打赌，是西方女性不喜欢视频。
30951,Ugy5kpyvQJVZ7EOBkgJ4AaABAg,0,3 years ago,25m view. 4.8 subscriber. 440k like. 10k dislike.,25m视图。 4.8订户。 440k喜欢。 10k不喜欢。
51971,UgwoMWHwO3VV7z1uMqN4AaABAg,0,4 years ago,why do people even bother to dislike,为什么人们甚至不喜欢
45579,UgyyFCTVyI5a8l7lfIN4AaABAg,0,4 years ago,i'm disliker.....,我不喜欢.....
42859,UgxeaM2P0-upIErjb7d4AaABAg,0,4 years ago,fuck those dislikers,操那些不喜欢的人
44269,UgzHsJRww6hWNIEYQsR4AaABAg,0,4 years ago,those who disliked your videos must be such a lazy shit people.,那些不喜欢您的视频的人一定是如此懒惰的人。
33321,UgwLwZ_9g6FV4ShEY294AaABAg,0,4 years ago,"8.3k dislikes

who the hell","8.3k不喜欢

谁是地狱"
35992,UgzFjz949IHyCfhn54t4AaABAg,0,4 years ago,who dislike this??,谁不喜欢这个？
36279,UgzuB_1acOx7uQiirhh4AaABAg,0,4 years ago,i want to see the head of these crazy people who have dislike this video,我想看看这些不喜欢这部影片的疯狂人的头
34381,Ugy9Gua_ThhMeAwifHN4AaABAg.8v49t1LxqD68vOS-22O62P,0,4 years ago,i didn't dislike but i can't help but think that next time she makes a meat dish like the one in the video it will be of the lamb or puppies...,我不喜欢，但我忍不住想，下次她像视频中的肉一样做肉菜时，它将是羊羔或幼犬的...
36303,UgyrsoNcbn815eRbekV4AaABAg,0,4 years ago,who.. who disliked this??,谁..谁不喜欢这个？
36918,Ugzzfi2Rtz0IvD6dD3R4AaABAg,0,4 years ago,if people disliked this video or all the video they're very ignorant about the truth of life this is beautiful two beautiful i love everything it brought me peace. i changed everything in my house i bought everything is natural made with clay in other dishes.โค๏ธ,如果人们不喜欢这个视频或所有视频，他们对生活的真相非常不知道这是美丽的两个美丽，我喜欢它带给我和平的一切。我更改了房子里的所有东西，我买的所有东西都是自然用其他菜肴制成的。
37098,Ugy1Zq1akzwHyN6AoZ94AaABAg,0,4 years ago,"so wonderful video why 7n dislike ,so sad",如此出色的视频为什么7n不喜欢，如此难过
37236,UgyZOeG-Lp_AQgd-sg14AaABAg,0,4 years ago,6.9k dislike.. but why..... :-(,6.9k不喜欢..但是为什么..... :-(
34362,Ugzy0E0FHCpS3XjuIGt4AaABAg,0,4 years ago,"i cannot actually fathom how this deserves like 8k dislikes. whatever grosses people out about just watching a simple story, it escapes me.",实际上，我无法理解这一值得8K不喜欢的人。无论人们看一个简单的故事，人们都逃脱了我。
33472,UgxaHs1FEjd5QPmrujV4AaABAg,0,4 years ago,honestly donโ€t understand the dislikes?,老实说不了解不喜欢的吗？
38183,UgwSit0PDbvMnU3tayJ4AaABAg.8tdcARzaCn08tuNF_LWOFz,0,4 years ago,@youtubeaccount1613 i'm guessing you're one of them dingos who disliked this video?,@youtubeaccount1613我猜你是不喜欢此视频的丁格斯之一吗？
38373,UgwE5s5Bt62oUNin5VF4AaABAg,0,4 years ago,bruh...???? really? like wuh..? someone actually disliked this video?,布鲁... ????真的吗？像哇..？有人真的不喜欢这个视频吗？
44219,UgyZG6lf5zTLH9SP0I94AaABAg,0,4 years ago,"who are these dislikers, where do they come from. have a minute of silence for them",这些不喜欢的人是谁，他们来自哪里。为他们有一分钟的沉默
38465,Ugwa5dIkgRZqGibP5vt4AaABAg,0,4 years ago,to each their own but how are there so many dislikes?!,每个人都有这么多的不喜欢的人？
38605,Ugzzjyps876-l73SY-J4AaABAg,0,4 years ago,who can dislike these videos!,谁可以不喜欢这些视频！
32447,UgxZMXHEoC3akVy8zTR4AaABAg,0,4 years ago,how can this have 9000 dislikes!???,这怎么可能有9000次不喜欢！???
39272,Ugy60H5gNn_4_5jYfAR4AaABAg,0,4 years ago,i can't comprehend why so. many dislikes.,我无法理解为什么。许多不喜欢。
40369,UgxqoU-0YEJwEOGhJ8V4AaABAg,0,4 years ago,how can people dislike,人们怎么会不喜欢
41720,UgxPZu3hzaZZpAlplRx4AaABAg,0,4 years ago,4.1k dislikes??? ah come on!!,4.1k不喜欢？？？啊！
42206,UgxRQC-YWlj6TQD05zF4AaABAg,0,4 years ago,i wonder who disliked this video !!,我想知道谁不喜欢这个视频！
32022,UgxxeH8Siw90ZkOryrV4AaABAg,0,4 years ago,what's with the 9.3k dislikes!?,9.3k不喜欢的是什么！？
31370,UgwmJljWqvl1OXWYgUx4AaABAg,0,3 years ago,who dislike her? why? her so amazing. i wanna be like her someday.,谁不喜欢她？为什么？她真是太神奇了。我想有一天像她一样。
43764,UgyxxeLezor5RPPpUf54AaABAg,0,4 years ago,3k dislikes are from snowflakes who misread the title!,3K不喜欢的雪花来自误读标题的雪花！
30388,Ugw_XqdmYLLRq9d425J4AaABAg,0,3 years ago,how can people put dislike under this beauty?,人们如何在这种美丽之下不喜欢？
2682,UgwJFyd35bB5nM1Wy5d4AaABAg,0,1 year ago,i dislike. she didn't even fed the puppies,我不喜欢。她甚至没有喂养小狗
29916,UgxInpY_euOmwWTuUc94AaABAg,0,3 years ago,why there are 11k dislikes? ๐ถ,为什么有11k的不喜欢？
