,cid,votes,含relaxed,含relaxed中文翻译
23378,UgwALNgodNu6jdYMmJd4AaABAg,0,"nice......so relaxed


another wow ! video here...watch till end...


https://www.youtube.com/watch?v=4mr3mv8jong
https://www.youtube.com/watch?v=8xfhtjnpyaa","很好......很放松


另一个哇！视频在这里...观看直到结束...


https://www.youtube.com/watch?v=4Mr3mv8jong
https://www.youtube.com/watch?v=8xfhtjnpyaa"
17583,UgxydtLWgSKFoCgogXR4AaABAg,0,how your videos relaxed i would like to live in such a place,我想在这样一个地方生活的视频如何放松
17370,UgxnxtrVO307ru2a8LZ4AaABAg,0,"those lucky *&*& who are eating this food , 
i feel relaxed just watching this","那些幸运的 *＆ *＆谁在吃这种食物，
我只是看着这个"
2900,UgycdmelLKkN8IlJjlt4AaABAg,0,"live for the land 
survive for the land 
that’s why there so healthy and relax...
i rather watch this than some idiots on trending !
wow they really eat that stuff up i kicked my new million dollar car 
trending #1
this to me is a beautiful silent movie!
this is emotions it make me relaxed !!","居住在土地上
为土地生存
这就是为什么如此健康和放松的原因...
我宁愿看这个而不是一些白痴在趋势上！
哇，他们真的吃了我踢了我的新百万美元的汽车
趋势＃1
对我来说，这是一部美丽的无声电影！
这是情绪，让我放松！"
15831,Ugz9yIW0_sTfOVZcda54AaABAg.933dWSf5Viy93CNZB5sFwB,0,"i also feel so relaxed, a really great feeling with every movie.",我也感到非常放松，每部电影都非常好。
8677,UgxbQNuvWk_2p96XOCF4AaABAg,0,"this shooting is too professional, and it is too high. i have lived for two or three decades in the mainland farmers. it looks very unreal and awkward. domestic environmental pollution is particularly serious, various diseases and chronic diseases are becoming more and more young, and food safety is really worrying. i am afraid to go to a restaurant in the mainland to eat trench oil. donation wechat's relaxed chips are afraid of donations",这拍摄也太专业了，做作成份太高了，我在大陆农民生活了二三十年了，看起来特不真实又别扭。国内环境污染特别严重，各种疾病、慢性病越来越年青化，食品安全实在令人堪忧。回内地去饭馆吃就怕是地沟油。捐款微信上的轻松筹都捐怕了
8063,Ugy5WuFUb-pZcGEK1dx4AaABAg,0,"the milky fish soup and messy noodles are impressive. you took photos of your work in a relaxed and poetic way, but i know itโ€s very hard work. i donโ€t know how long you can continue to make videos like this, but i hope to have these in my life. video.",乳白色的鱼汤和凌乱的面条令人印象深刻。您以轻松而诗意的方式拍摄了工作的照片，但我知道这是非常艰苦的工作。我不知道您可以继续制作这样的视频多长时间，但我希望能在我的生活中拥有这些视频。视频。
5584,Ugxri0HPvT7a7xL2OzB4AaABAg,0,never have i been this relaxed,我从来没有这个放松
3359,Ugzh1KBYAyc6bCLGUEd4AaABAg,0,i love! very relaxed,我爱！很放松
34330,UgyW9v0weZB1Fg-Gh5t4AaABAg,0,love yr video it’s make me relaxed,Love Yr视频让我放松
