,cid,votes,time,含relaxed,含relaxed中文翻译
47909,UgztI4YyypE5ijBBK1N4AaABAg,2,4 years ago,ahh i feel so relaxed and satisfied i can’t express that with words,啊，我感到非常放松和满意，我无法用言语表达我真的很喜欢她的视频，希望她能获得更多的订阅者！
22105,UgxwVbCONClJmLiYzbp4AaABAg,2,3 years ago,"thank you, the video makes me feel peace and relaxed. the life was supposed to be like this",谢谢，视频使我感到和平与放松。生活应该是这样
25232,UgzgYm5066LdARdxrF54AaABAg.9-a0BhVFfBP90XdIkzbyCu,1,3 years ago,"watching his video, the whole person felt relaxed. when he was a child, he was like this. it was really envious of her. the pace of life is too fast now!",看他的视频，整个人都感觉放松了，小时候就是这样的生活，真的好羡慕她，现在的生活节奏太快了！
44772,UgzUhTsajFfG19kY27x4AaABAg,1,4 years ago,i feel relaxed from stress of work when i watch your video,观看您的视频时，我会因工作压力而感到放松
30350,Ugy9GgGuXsNZZ5y4gBN4AaABAg,1,3 years ago,i am very relaxed to see your videos is truly beautiful to see that patience with which you do everything you live for that and that way in which you live is a gift from god for your beautiful gift you are very fortunate and those who live with you also if i wanted any desire in this life would be a day on your plot eating your delicious delicacies congratulations god bless you !!,看到您的视频真是太好了，看到您为此而忍受的耐心和生活的方式是上帝的礼物，因为您的美丽礼物，您非常幸运，与您同住的人另外，如果我想要今生的任何欲望，那将是您情节上的一天吃您美味的美味佳肴，祝福上帝保佑您！
3744,UgzYUhku5ira1ue2C9x4AaABAg,1,1 year ago,"it was wonderful, i could watch many of your videos but not bored, feeling my soul was relaxed. how peaceful this life is.",真是太好了，我可以观看您的许多视频，但并不感到无聊，感到我的灵魂很放松。这一生有多和平。
23339,UgxVkqaAoKsgR_8MOKJ4AaABAg,1,3 years ago,the atmosphere of the countryside is really relaxed,乡村的氛围真令人放松
22451,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN937FBu1iDB7,1,3 years ago,i am also aiming at the goal of a relaxed and peaceful life like her.,我还旨在像她这样的放松和和平生活的目标。
22250,UgzQXfczMy32iGlP9aF4AaABAg,1,3 years ago (edited),thank you for making my heart smile and feeling relaxed ๐๐๐๐,感谢您让我的心微笑，感到放松
14556,UgwrYIU98LpAC_aYcRR4AaABAg.9AZpPJjjO2d9AZpUk1Ss3L,1,2 years ago,"when i see this ,this make me feel so relaxed",当我看到这个时，这让我感到很放松
21160,UgzzB-bIrHD5NLTIJBt4AaABAg,1,3 years ago,these videos of yours are so satisfying....i watch all your cooking skills...the freshness and the beauty of nature....i was suffering from sleep disorders but now i watch these videos and sleep peacefully....god knows why they make me feel so relaxed.....,您的这些视频是如此令人满意。...我看着您所有的烹饪技巧...自然的新鲜感和美丽。...我患有睡眠障碍，但现在我看了这些视频并安静地睡觉。上帝知道为什么他们让我感到如此放松.....
23875,Ugzn23g1JvG-VsFDiOp4AaABAg,0,3 years ago,"hello, it has always been subscribing to your channel and watching your records of life. it always makes me feel very relaxed and healing. i do nโ€t know if you have read the book of the cedar series, but you really practice the life form described in the book, which is very happy and moved.",您好，一直以来订阅您的频道，看着您纪录生活的影片，总是让我感到很放松、很疗愈。不知道您是否看过鸣响雪松系列的书，但您真的很好的实践出书中描述的生活形态，很让人开心，也很感动。
41336,UgzijMLvZxWVecjK9mR4AaABAg,0,4 years ago,"this video makes me feel peaceful, calm and relaxed because of the music and views that are served are extraordinary .. keep up to make more videos like this girl ...",这段视频使我感到和平，镇定和放松，因为音乐和景色是非凡的。。。。。。。。。。。。。。。。。。。。。。
51790,UgxyVuEJujDR8xECZUZ4AaABAg,0,4 years ago,i feel relaxed when i see her videos. big fan of her.luv u from india,当我看到她的视频时，我感到很放松。她的忠实粉丝。来自印度的luv u
13978,UgzzEjb8VGvD7Prb8sV4AaABAg,0,2 years ago,looks relaxed in a good mood.,看起来心情放松。
17891,UgwLvUOsWlTjtqPdS_J4AaABAg,0,3 years ago,"i really like the older piece, which is soothing, clear and makes me feel relaxed",我真的很喜欢旧的作品，它舒缓，清晰，让我感到放松
44570,UgyeeyzrkEedMcwn1BJ4AaABAg,0,4 years ago (edited),"i loved...
i was even relaxed","我喜欢...
我什至放松了"
44083,UgyvOUN1vY-82UJQhKl4AaABAg,0,4 years ago,somewhere in this crazy world ..a beautiful human being ..i feel so relaxed by watching you ❤❤,在这个疯狂的世界中的某个地方..一个美丽的人..我看着你感到很放松❤❤
41508,UgyAFdqhBFcbKTHV8ol4AaABAg,0,4 years ago (edited),"i dont know, but watching this kind of life makes me feel so relaxed",我不知道，但是看着这种生活使我感到很放松
39447,UgySG-mJYqiem8Z6lKl4AaABAg,0,4 years ago,after this video i am so relaxed that i'm going to sleep ... good night from argentina ...,在这段视频之后，我非常放松，以至于我要睡觉...来自阿根廷的晚安...
40035,UgzYkq7AgDmLww8wuIh4AaABAg,0,4 years ago,know only cute looks relaxed,只知道可爱看起来很放松
19900,UgyEnpzmkvOQbZLUSwh4AaABAg,0,3 years ago,i'm watching this right before bed so now i have the conflicting feelings of being both relaxed and also really hungry,我在睡觉前正在看这个
23608,UgwoawYuZAWgMZqf0yt4AaABAg.92GnstOh6bj92HZ4ODe1De,0,3 years ago,"the key to cheng sir is not that i have never eaten it. it โ€s not that the environment is not so good. spring is blooming. there is a land and land. what is it joking? i have been to rural jiangxi, hunan. they are all simple dishes. in some days, they do nโ€t grow chickens and do nโ€t raise cattle. i would rather buy it, because it โ€s really hard work, let alone the home of the rural friends in anhui i know. relax, except that the north wind and a large piece of corn are the blue sky. how can it be calculated as the rural life reflected in the film? do you deny that the beauty of the countryside is to play games every day and drink milk tea? it is okay to see this as a relaxed mood, but it is too much reflecting the real situation. how did chinese farmers suffer in the past 30 years? keep your heart in mind.",程sir 关键不是没吃过，是环境没这样好过，春暖花开，有田有地，要啥有啥不是开玩笑吧，我去过湖南江西农村，还好，不富但说不上穷到无地自容，种的都是简单的菜，有些日子好点不种鸡更不养牛，宁愿去买，因为真的是苦活，更加不要说我认识的安徽农村朋友的家，阜阳的，连屋子的砖都是原整齐的，除了北风和一大块玉米地就是蓝天，跟影片所反映的农村生活差天共地，又怎么算呢？否定农村的美好说是天天打游戏喝奶茶了吗？这个当作放松心情来看是可以的，但反映真实情况就太过了，中国农民这三十年是怎么苦我这个不喝奶茶不打游戏同时又对社会没贡献的垃圾还是抱着感恩的心去铭记于心的。
37730,Ugw_DnmzTngt3hRhgvJ4AaABAg,0,4 years ago,"very atmospheric channel. after a hard day, it relaxed.",非常大气的通道。经过艰难的一天，它放松了。
36281,UgytFURbzqjtC2_a9Z54AaABAg,0,4 years ago,i feel so happy so relaxed at ease. then theres an ad haha.,我感到非常高兴。然后有一个广告哈哈。
35710,UgwfOv3A8MkHYj571_54AaABAg,0,4 years ago,see your videos relaxed a lot <3,看到您的视频放松了很多<3
30975,Ugy2whBwi9Y_nkC7_B14AaABAg,0,3 years ago,completely relaxed and the music of all,完全放松和所有人的音乐
5334,Ugwg4WdZbw7iLKCJmT14AaABAg,0,1 year ago,i feel relaxed when l watched you❤,当我看着你时，我感到很放松❤
51973,UgyCMG9OuK3UrMLKgMN4AaABAg,0,4 years ago,fk the soundtrack is from digimon n now im feeling nostalgic n sad n relaxed all at the same time,FK配乐来自Digimon n现在我感到怀旧n sad n同时放松了
