,cid,votes,含lifestyle,含lifestyle中文翻译
39901,Ugzyd6YIBPmBDwWvsJd4AaABAg.8shCkzYM9Xt8sr4favbMoz,10,puneeth kumar itโ€s sichuan in china. life is a lot harder than it looks in the video but you can choose to complain or create your quality of life. she chose the latter and became very famous in mainland china (20m+ followers) for sharing such lifestyle. sheโ€s a gem.,浦那库玛（Puneeth Kumar）是中国的四川。生活比视频中的看法要困难得多，但是您可以选择抱怨或创造自己的生活质量。她选择了后者，并在中国大陆（20m+追随者）分享了这种生活方式。她是宝石。
4541,UgyGeXOxmdPlHTcHa2N4AaABAg,9,amazing lifestyle. wish everyone can live like that. connected closely to the nature and its beauty. every aspect of this video is unique!,惊人的生活方式。希望每个人都能这样生活。与自然及其美丽紧密相连。该视频的每个方面都是独一无二的！
22457,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN93N-OpVdmYy,9,"โ€ @theroyalfight lol, she's a wealthy lifestyle blogger nowadays. a video with 1 million views can make $3000 โ€“ $7000 in adsense and she gets several million views per upload along with accumulating views. so that's a little bit of a stretch to act like shes actually roughing it, but nevertheless i love her and shes very talented and her and her grandmothers land is beautiful.",@theroyalfight大声笑，她是当今富裕的生活方式博客作者。一百万次观看次数的视频可以使$ 3000 - $ 7000的Adsense录制，她每个上传获得数百万次观看次数以及累积的观看次数。因此，这有点像她实际上是在粗糙的，但是我爱她，她非常有才华，她和她的祖母的土地很美。
36490,UgyvmxmPJmXATBXTYnV4AaABAg.8uUOtMcYkny8uWleMWisrS,8,its not talent. its her lifestyle.,它不是才华。它的生活方式。
9670,Ugxmi1WsGKgCgWurZgV4AaABAg,7,"this was really satisfying, quite and a nice lifestyle",这真的很令人满意，一种美好的生活方式
22506,Ugw93MiOcqW02pI7bJx4AaABAg.92v2O1F4NaK92y0aUNd1l7,7,"tian
even if this is china propaganda, i am impressed. promoting healthy lifestyle. although i think not many people can follow her works but its still interesting to watch.","天
即使这是中国的宣传，我也给我留下了深刻的印象。促进健康的生活方式。尽管我认为没有多少人可以关注她的作品，但仍然很有趣。"
16181,Ugz2Gjpul13TiuoJj9F4AaABAg.98rhLA7jw4W99cQZTm-Ip0,7,"she made money out of this but her friend said liziqi is just so humble. so much simplicity n her. she chose this kind of lifestyle bcause its how she'd been raised. most of her life, she spent it with her grandparents so i dont understand that there are still hate towards her.",她从中赚了钱，但她的朋友说利兹基太谦虚了。她这么简单。她选择了这种生活方式，因为她的成长方式。她一生的大部分时间，她都与祖父母一起度过，所以我不知道仍然对她有仇恨。
48602,UgwHkMfQczbqxT3CB6t4AaABAg,7,please invite me to tell me your lifestyle. love from brussels.,请邀请我，告诉我你的生活方式。来自布鲁塞尔的爱。
27588,UgzQwnmjnXh7tNb6x3V4AaABAg,6,"thatโ€s it. iโ€m moving to china or idk where the heck this place is....



when iโ€m done w college or going to college. 
i want this lifestyle.","就是这样。我要搬到这个地方到处的中国或IDK。



当我完成大学或上大学时。
我想要这种生活方式。"
34227,Ugw2qMjwG_DrnDR_9AV4AaABAg,6,"i would trade my lifestyle for hers, she's living the life, thats what i call life! i love it!",我会为她的生活方式换去，她过着生活，那就是我所说的生活！我喜欢它！
31969,UgzEkrQekheBiIkcQOJ4AaABAg,5,"dude, imagine if we have vr version video of her lifestyle ๐ฒ uuugh straight to the heaven",杜德，想象一下，如果我们有她的生活方式的VR版本视频
24318,Ugy3VCXm4fKGRjMEfBd4AaABAg,5,if billionaires see this and compare their concrete houses to this natural mountain farm they will know that they ain't having a life but slave of unnatural lifestyle.,如果亿万富翁看到这一点，并将他们的混凝土房屋与这个自然的山区农场进行比较，他们将知道他们没有生命，而是奴隶不自然的生活方式。
8484,UgwuE5yITGppq25ujcx4AaABAg,5,"this is the kind of lifestyle humanity should be living. she deserves a lot of recognition because not only do we witness their lifestyle, but also the culture that many may never experience living in cities. god bless you sister much love from nz❤",这种生活方式应该是一种生活方式。她应该得到很多认可，因为我们不仅目睹了他们的生活方式，而且还看到许多人可能永远不会在城市生活的文化。上帝保佑你姐姐来自nz❤
5782,UgxBth9tP0YUew3FHY54AaABAg,4,i think i’m in love with this lifestyle and totally captivated by this real woman!,我认为我爱上了这种生活方式，并完全被这个真正的女人迷住了！
4259,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UYa-NN9T-G,3,"@xueivetts6348 true everything is true and she made it on docu series like but the lifestyle is true and she needs to maintain it because lets say she has 30 topics like life of sweets, radiah, spicy etc and other things like furniture so everything is done everyday then segregate per topic. take note she is the one editing it",@xueivetts6348是的，一切都是真实的，她在docu系列中做到了，但是生活方式是真实的，她需要维护它，因为让我们说她有30个主题，例如糖果，里亚迪亚，辣，辣等等，例如家具，所以一切都完成了然后每天每个主题隔离。请注意，她是一个编辑的人
4252,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UCppqG1Whn,3,@diogomelo3705 let’s suppose it’s fake but the shootings take around 5 days out of a week . that’s enough time to make it a real lifestyle,@Diogomelo3705假设它是假的，但是枪击事件大约需要一周的时间大约5天。那是足够的时间来使其成为一种真正的生活方式
20679,UgxjTD4XqaTiT1bIBNl4AaABAg,3,this positive girl made me love her lifestyle.,这个积极的女孩让我爱她的生活方式。
42658,UgxnbhWtD8x5eTg19fR4AaABAg,3,"you are one of the best people who could ever exist on this earth :) you are beautiful, so hardworking, so skilled so amazing in everything.....

your videos are like medicine to me.... what a lifestyle","您是地球上有史以来最好的人之一：)您很漂亮，如此勤奋，如此熟练的一切都如此惊人.....

你的视频对我来说就像药一样。"
4278,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9W9sPXh59Fn,3,"@miukeefeng4951 just because she's being filmed while she does it doesn't mean it's fake. she gets help in her videos but her lifestyle doesn't magically change once the cameras stop rolling. she still lives in the mountains with her grandma, that doesn't change.",@Miukeefeng4951仅仅因为她在拍摄时被拍摄并不意味着它是假的。她在视频中获得了帮助，但是一旦相机停止滚动，她的生活方式就不会神奇地改变。她仍然和祖母一起住在山上，这不会改变。
35095,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8x19Hky1DM0,3,"@felix.mp3639 exactly! she is obviously smart with the geometry put into building furniture and all. my point is that everyone should not praise a lifestyle that, potentially, in her shoes, they would not be able to get everything they take for granted now.",@felix.mp3639完全！她显然很聪明，因为几何形状用于建造家具和所有人。我的观点是，每个人都不应该赞美一种生活方式，即可能是在她的鞋子中，他们将无法获得现在理所当然的一切。
33811,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48y6agUN2-OS,3,i totally agree! this lifestyle is really healthy and calm. just what we need in the actual days: health and calm,我完全同意！这种生活方式确实是健康和镇定的。正是我们在实际日子里需要的：健康与镇定
25012,Ugyvb9Or9onsafDZ5Mt4AaABAg,3,"hello everyone, liziqi, i really like your channel and your lifestyle. do you want to know what you put in front of marshmallow? thank you",大家好，liziqi，我真的很喜欢您的频道和您的生活方式，您想知道在棉花糖前面放什么吗？谢谢啦
52359,Ugye_CaLn2X3UHnlxql4AaABAg,3,"many people said they desired her lifestyle. it's not that easy folks. not even for the old folks. i live in the city but my parents hometown are in the countryside, so i occasionally come to visit. let's just say it's extremely boring. not even my parents can handle it. i think you need to reach a certain ""i can't stand this bs, toxic city and lifestyle anymore"" threshold, then you can commit to an uneventful lifestyle.",许多人说他们想要她的生活方式。这不是那么容易的人。甚至不适合老年人。我住在这座城市，但我的父母家乡在乡下，所以我偶尔来参观。我们只想说这很无聊。甚至我的父母也无法应付。我认为您需要达到某种“我不能忍受这个BS，有毒的城市和生活方式”的门槛，然后您可以致力于一种前所未有的生活方式。
4124,UgyUrXRsMA8pgAIACYd4AaABAg.9Rx3e3xqjGI9URpLCc5oSs,2,"it’s all fake though, please don’t deceive yourself. a life like this is completely unrealistic in any part of the world. you will not find anything remotely similar to this lifestyle in china.",这都是假的，请不要欺骗自己。像这样的生活在世界的任何地方都是完全不现实的。您不会发现与中国这种生活方式相似的东西。
33781,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w3o6S1tw-T,2,"park chimmin yeah, this is actually also part of their lifestyle, the labour is just being seen in the video, pretty sure usually they sell what they make.",是的，是的，这实际上也是他们生活方式的一部分，刚刚在视频中看到了工作，通常可以肯定的是，他们通常会出售自己的生产。
37923,Ugz4J84OBqwxJuH93hB4AaABAg.8tkNoWBxn9R8uQDNIx6t-4,2,"@sumichan7901 i find it important to note that although she does a lot of things according to traditions, chinese women before the industrial revolution definitely didn't have as much freedom to walk around and do the chores as she does. they stayed in house and most of the stuff he does would be done by servants. or maybe there would be some very poor households where the parents weren't able to footbind their daughters, where a girl would even be able to walk around and would have to do these chores on her own. so her lifestyle is not as traditional.",@sumichan7901我发现重要的是要注意，尽管她按照传统做了很多事情，但工业革命之前的中国妇女绝对没有那么多自由地走动，做家务。他们呆在家里，他所做的大多数事情都是由仆人做的。或者，也许会有一些非常贫穷的家庭，父母无法脚步，一个女孩甚至能够四处走走，不得不自己做这些琐事。因此，她的生活方式并不那么传统。
48134,Ugxsgf77Op-o-xNSbWh4AaABAg,2,"so lovely craftsmanship of her food and lifestyle. i love the scenery and also love,care that is put in all of her food.",她的食物和生活方式是如此可爱的工艺。我喜欢风景，也喜欢爱，照顾她所有的食物。
35067,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8voDbHS4W1Q,2,look at there lifestyle thatโ€s why america is obese ๐ซ,看看那里的生活方式，这就是为什么美国肥胖
4267,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9Ufyfa3udRC,2,also she started alone she got rich she hires crew but she directs everything and she edit it and also shoot it herself... tsk tsk as you said again even if shes undergrad she has the skills thats why she is rich. just enjoy her work okay regardless if she has crews she is a self made millionaire as you said so meaning even this videos she work hard on it. meaning she made a lifestyle in rural and shared it to us in high level of video editing compressing a nine month cycle of video editing into 10-15 minutes.,另外，她独自一人富裕，她雇用了船员，但她指导了所有内容，她会编辑并自己拍摄... Tsk tsk，即使她的本科生也有自己的技能，这就是为什么她很富有。无论她是否有船员，她都是一个自我制造的百万富翁，就像您所说的那样，即使是她在努力工作的视频，她都会享受自己的工作。这意味着她在乡村度过了一种生活方式，并在高水平的视频编辑中分享了它，将视频编辑的九个月周期压缩到10-15分钟。
27272,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92HqS49mZx5,2,maryna mnassa she doesnโ€t need help. especially after she got famous through youtube she should be quite rich now. she just want to show people natural lifestyle and also telling people where the food came from. people feel relax after watching her videos. as you can see she is using a lot of old equipments but everything looks beautiful and organized. she is presenting old natural lifestyle by modern way. thatโ€s why people like it.,玛丽娜·姆纳萨（Maryna Mnassa）她不需要帮助。特别是在她通过YouTube出名之后，她现在应该很富有。她只想向人们展示自然的生活方式，还告诉人们食物的来源。观看视频后，人们会感到放松。如您所见，她正在使用很多旧设备，但一切看起来都很漂亮且井井有条。她正在以现代方式展示旧的自然生活方式。这就是为什么人们喜欢它。
4266,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UfyFmwf9Me,2,"so if she gets rich before this and her point is to show people the rural life which she chose so whats the problem you said it yourself there alot of millionaires out of poverty so whats the difference with her videos. her videos showing culture, old style cooking a lifestyle. lol... fake? why would you call fake if she can really do all those things you said it yourself even if you did not finish highschool you can still be millionaire and she did that",因此，如果她在此之前变得富有，而她的观点是向人们展示她选择的乡村生活，那么您自己说的问题是什么，这是有贫穷的很多百万富翁，所以与她的视频有何不同。她的视频显示文化，旧式烹饪生活方式。大声笑...假吗？如果她真的可以做所有这些事情，即使您没有完成高中，为什么还可以打电话给假货，您仍然可以成为百万富翁
19775,UgzmQ-ENkjs0c6wmtyh4AaABAg.95Jnp0OjZJ095ixavB5jol,2,actually it is hard to find such a lifestyle in china now.,实际上，现在很难在中国找到这种生活方式。
33870,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd4935tJbdEtlt,2,"imagine living like this with a community of people who all value each other, nature, and this kind of lifestyle? it would be amazing!",想象一下，与一个彼此珍视的人，自然和这种生活方式的社区生活在一起？这将是惊人的！
47514,UgwMHlc_RSCeUpwsFwp4AaABAg.8qo_Wnb9HLm8qtRqeXa9Y5,2,"my hometown~ mianyang city,sichuan province, located in the southwest of china. but if you wanted to visit the places which are showed in the video, you need to go to the area of mountains. and most villages in mountains still keep the traditional rural lifestyle. but it seems very hard for foreigners to go to these places because people there almost can't speak english ,even mandarin, most people speak another tones of chinese with accent. so you can go to the same places not in the deep mountain areas like emei mountain, siguniang mountain,etc. and you can taste the food in chengdu city which is the capital of sichuan province, most food that liziqi made are sichuan food. it would be helpful to find the traditional sichuan food if you found a local guider. hope my suggestions would be useful to you.",我的家乡〜Mianyang City，四川省，位于中国西南部。但是，如果您想访问视频中显示的地方，则需要去山区。而且，山区的大多数村庄仍然保持传统的乡村生活方式。但是，外国人似乎很难去这些地方，因为那里的人们几乎不会说英语，即使是普通话，大多数人都会说中文的另一种色调。因此，您可以去Emei Mountain，Siguniang Mountain等深山地区的相同地方。您可以品尝到成都城的食物，这是四川省的首都，Liziqi制作的大多数食物都是四川食品。如果您找到当地的指导者，找到传统的四川食品将很有帮助。希望我的建议对您有用。
10696,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9GdyCl4b4hD,1,"no guyss.. i think he meant that this lifestyle is not easy to get. since they are rural rich, you canโ€t easily have this kind of life too.",没有人..我认为他的意思是这种生活方式并不容易获得。由于它们是农村富人，因此您也不容易拥有这种生活。
34475,UgwC72wbL_HvXEoXb414AaABAg.8v1GcQpcY7U8vatI6efHlY,1,@sharmishtaa dude no this is her lifestyle,@sharmishtaa家伙不，这是她的生活方式
47203,UgwiLRXMx98XPHsjQ2h4AaABAg,1,"i really love lifestyle like that, everything really natural and cute",我真的很喜欢这样的生活方式，一切都真正自然而可爱
527,UgyoVcx73Vd-HljSyEx4AaABAg,1,i feel like watching something came from heaven. this lifestyle was the most beautiful thing i saw for the day.,我觉得看着天堂来了。这种生活方式是我当天看到的最美丽的东西。
26179,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-90-uB4gTyHL,1,@user-sc8cy5qc6e now a days... many people have their own youtube channel. and among those some of them really don't deserve it... they make unnecessary/useless or fake stuffs. so maybe you are right she is making million. but that's not a crime...and also...her videos are not unnecessary or useless.... many people loved her because she is prioritizing village lifestyle and cooking and all the village activities... that's what's people love...it's also meditative to watch her videos. so i hope you won't get offended by her.... cause we are not...๐๐๐’—๐’—,@user-sc8cy5qc6e现在是几天...许多人都有自己的YouTube频道。其中有些确实不值得……他们制作了不必要的/无用或假的东西。所以也许你是对的，她正在赚百万。但这不是犯罪……而且...她的视频不是不必要的或没有用的。...许多人爱她，因为她优先考虑乡村生活方式和烹饪以及所有乡村活动...这就是人们喜欢的。 。观看她的视频也是冥想的。所以我希望你不会被她生气。...因为我们不是...
27287,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92YVedp62k3,1,"@oshadiamarak0on237 of course ,what she presented was real,the food ,the culture is real,but the lifestyle is not real.we don't work in traditional clothes.",@oshadiamarak0on237当然，她所呈现的是真实的，食物，文化是真实的，但生活方式不是真实的。我们不穿传统衣服。
34400,Ugzk3_mKZwjDJHBt9o14AaABAg,1,the different lifestyles we have. ;-;,我们拥有的不同生活方式。 ; - ;
33865,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd492PEAxBqeHi,1,kathaleen wood i love her lifestyle. thats my dream to life like that.away from towns and cities and noise. i love,凯瑟琳·伍德（Kathalen Wood）我爱她的生活方式。那就是我这样的梦想。远离城镇和噪音。我爱
27866,UgxToQHV5hwOZEQlf2t4AaABAg,1,"she is living in a true paradise , in this kind of lifestyle, she may be the one left in this world if everyone is gone",她生活在一个真正的天堂中，在这种生活方式中，如果每个人都走了，她可能是这个世界上留下的那个人
28061,UgxRCqNyAugB1eul1Np4AaABAg,1,"i envy ziqian's pastoral life is not only foreign friends, but i am also very envious of sichuan people like her. i also grew up in rural sichuan. she is mianyang, northeast of sichuan, and i am in southwestern sichuan. the green mountains and green water scenery are very good. although she is not as delicate and her lifestyle is not as traditional, it is naturally real. vegetables and some fruits (strawberries, apples, pears, plums ...) are really self -sufficient. essence nothing to live in my childhood life ~",羡慕子柒田园生活的不仅是各位外国朋友，和她一样同是四川人的我也非常羡慕。我也在四川农村长大，她是川东北绵阳，而我在川西南。青山绿水风景非常好，虽然吃的没有她精致，生活方式也没有她那么传统，但亲近自然是真的，蔬菜和部分水果（草莓、苹果、梨、李子...）真的能自给自足。怀恋一去不复返的童年生活了～
37059,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8vMns7LHrx4,1,this is suppose to show the simple and beautiful also hardworking lifestyle of a village life,这应该表明乡村生活的简单而美丽的生活方式
28688,UgwgiTDrORTKxoXyiMh4AaABAg,1,comparing your lifestyle with us we understood where you are living and where we are dying......,将您的生活方式与我们进行比较，我们了解您的住所以及我们正在垂死的地方……
10036,Ugz7EOlZg7XO4bSVI0V4AaABAg,1,wow that is amazing i would pick that lifestyle living off the land instead of normal suburban life any day :),哇，这真是太神奇了，我会选择这种生活方式在土地上而不是普通的郊区生活:)
3936,UgwotmtFc10S3wLypwl4AaABAg.9SWvgNNv8U79UMRmaVwRAG,1,real lifestyle but upgraded quality.,真正的生活方式，但质量升级。
7185,Ugy1pHYzCPBSOUWymON4AaABAg,1,"i love your lifestyle as cultivation of your food and the cosina look delicious the dishes you must admire for all your skills continues to do it from el salvador, san miguel greets you blanca",我喜欢您的生活方式，因为您对食物的种植，而cosina看起来很美味，您必须欣赏所有技能，继续从El Salvador做到这一点，San Miguel向您致意。
24081,Ugw4gkRchDcumi0yZE54AaABAg,1,omg i want to live in your exact house and lifestyle :(,天哪，我想住在您的确切房屋和生活方式中:(
