,cid,votes,含lifestyle,含lifestyle中文翻译
10884,Ugwuo9ZvdA39ONQ2enl4AaABAg,58,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
14789,UgxXgRvVv6x1uCGZ4sR4AaABAg,57,"""simple lifestyle"" 
less is more.","“简单的生活方式”
少即是多。"
28307,UgzP_2hph4EIUadcx8N4AaABAg,54,"i don’t usually watch these videos to know how to cook things, i watch them because they make me wonder how living this type of lifestyle feels like. it’s just so interesting",我通常不会看这些视频知道如何做饭，我看了它们，因为它们让我想知道这种生活方式的感觉如何。太有趣了
27583,UgynqNWO7BojQw7rABZ4AaABAg,34,just a minute into the video and i already envy her lifestyle. i wish i have a garden like that!,在视频中只有一分钟的时间，我已经羡慕她的生活方式。我希望我有这样的花园！
14327,UgweI4lENirYu5USYYJ4AaABAg,26,"she makes it look so simple, but this lifestyle is a gran skill. gardening itself is a skill that takes time to understand, she knows exactly what she’s doing and in awe. not to mention her filming skills are amazing too!",她使它看起来如此简单，但是这种生活方式是一项格兰技能。园艺本身是一种需要时间来理解的技能，她确切地知道自己在做什么和敬畏。更不用说她的拍摄技巧也很棒！
9131,Ugz2srM7s5meV--7YVl4AaABAg,24,"like this kind of lifestyle, peaceful and quiet.",像这种生活方式，和平与安静。
2782,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9TGhlV0OwZL,21,"@onyx bunny her videos are good, but i doubt many people actually want to live this way. this lifestyle is hard. that's why many people move to the cities. there is a lot of work that is not seen in the videos. i don't think you will be so attracted to this lifestyle if you actually have to live it for some time.",@onyx兔子她的视频很好，但我怀疑许多人实际上想以这种方式生活。这种生活方式很难。这就是为什么许多人搬到城市的原因。视频中没有看到很多工作。如果您实际上必须生活一段时间，我认为您不会被这种生活方式所吸引。
33124,UgxU8sHB2LekqzQgAud4AaABAg,17,heaven is a place on earth right where you live!. i admire your beautiful lifestyle filled with nature's abundance! always making full use of the resources. thank you for all the videos that brightened our life!,天堂是您居住的地球上的一个地方！我欣赏您充满大自然的美丽生活方式！始终充分利用资源。感谢您的所有启发我们生活的视频！
21546,Ugz7YYmvT85M2dhZs9R4AaABAg,13,this gifted girl leads chines middle class lifestyle ten years ahead,这个有天赋的女孩带领Chines中产阶级生活方式提前十年
4058,Ugw9d-WHdmwXdfzp3DR4AaABAg,12,i don't really know why there are thousands of people who made to dislikes this video. liziqi share us such a natural lifestyle.,我真的不知道为什么有成千上万的人不喜欢这个视频。 Liziqi与我们分享了如此自然的生活方式。
13013,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96ElZ9a3jTm,10,"027anastasia._. because of predation, disease, natural disasters, starvation, people just don’t have the skills to sustain themselves like liziqi does. we’ve built these urban lifestyles because it’s possibly the safest way of living.",027anastasia._。由于捕食，疾病，自然灾害，饥饿，人们根本没有像利兹基那样维持自己的技能。我们建立了这些城市生活方式，因为这可能是最安全的生活方式。
16768,UgwmnWFOWsQ7L8VuI6V4AaABAg,9,"as a chinese,i think everyone should choose their own lifestyle,i like this peace",作为中国人，我认为每个人都应该选择自己的生活方式，我喜欢这种和平
22310,Ugy9ApYtXllXi1u4ujZ4AaABAg,8,amazing lifestyle and gorgeous handcraft，i wish that i can meet a girl just like the beauty in the video.xddddd,惊人的生活方式和华丽的手工艺品，我希望我能像视频中的美女一样遇到一个女孩。xddddd
4987,Ugw0WgwizNuKan2MLq14AaABAg,6,"it's awesome, a beautiful lifestyle. this is my dream lifestyle.",太棒了，一种美丽的生活方式。这是我梦dream以求的生活方式。
27545,UgzAZjJKw_o8AI7YzX94AaABAg.8ydt4Y210zF8yqNf6on3G3,6,apt215 melissa brown it's just your prejudice.this type village is too normal in china and also the lifestyle.if you don't believe just have a visit to yunnan sichuan guizhou hunan province.,APT215梅利莎·布朗（Melissa Brown）只是您的偏见。这种类型的村庄在中国和生活方式都过于正常。如果您不相信只能参观Yunnan Sichuan Guizhou Hunan省。
2797,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UphCGhJzJB,5,@edwardwongliupepelutivrusk1262 the country side life is beautiful in its own way. just because irl people sweat and become dirty doing this manual labor doesn't mean countryside life is too hard and unattractive?? i grew up in the countryside where people do hard work and manual labor like liziqi but i love it anyway. some people like that lifestyle and all the hard work that comes with it. wtf are you on?,@Edwardwongliupepepelutivrusk1262乡村边的生活以其自己的方式美丽。仅仅因为IRL人们出汗并变得肮脏地做这种体力劳动并不意味着乡村生活太艰难和没有吸引力？我在乡村长大，人们像利兹基一样努力工作和体力劳动，但无论如何我都喜欢它。有些人喜欢这种生活方式以及随之而来的所有辛勤工作。 WTF你在吗？
3949,Ugz1ONrvfBB3HgR_MoB4AaABAg,5,"b.e.s.t f'u'u'l'l d.a.t.i.n.n.g h.o.t g.i.ra.l's — o — e — e-x —— ❤️
hotslut.live/frenchteenxxx305see



in the history of human beings, strong people, rich and cunning people predatory tribes, clan, towns, cities, and villages in the weak people, without members of the poor and poor. however, people's willingness to survive forces those who are rejected, deprived or destroyed, and have found a lifestyle and continue to integrate their dna into the development of human society.
when it comes to food, don't think those who are rejected only eat garbage. instead, they learned to find nutrition in the neglected meat and vegetables. they learned to clean, cut pieces, seasoned and stewed wild vegetables and meat, some household vegetables and meats ignored in the food market, and learned to use aromatic wood cigarettes (such as mountain walnuts, walnuts and bean shrubs
when the food is cooked^.^.","B.e.S.T f'u''l'l D.a.T.i.n.G h.o.T G.i.r.L's —L—o—V—e—S—e-X———❤️
hotslut.live/frenchteenxxx305see



在整个人类历史上，强者，富人和具有狡猾特质的人捕食部落，氏族，城镇，城市和乡村中的弱者，无`'守和贫穷成员。然而，人类的生存意愿迫使那些被拒绝，被剥夺或摧毁的基本需求的人们找到了一种生活方式，并继续将其DNA融入不断发展的人类社会。
说到食物，不要以为那些被拒绝的人只吃垃圾。相反，他们学会了在被忽视的肉类和蔬菜中寻找营养。他们学会了清洁，切块，调味和慢炖慢炖的野菜和肉类，在食品市场上被忽略的部分家用蔬菜和肉类，并且学会了使用芳香的木烟（如山核桃，山核桃和豆科灌木
来调味食物煮的时候^.^."
18232,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92hpt4TuVUT,4,@sometimesitdown food of north is absolutely not what you called garbage.if you want respected then show your respect to other culture and different lifestyle.,@Sometimesitdown北部的食物绝对不是您所说的垃圾。如果您想受到尊重，然后表现出对其他文化和不同生活方式的尊重。
20153,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91o-5lg7zpI,4,"@johnvuu4679 there is so much land on this earth, have you even driven anywhere? have you ever left the city you live in? cities are tiny little specs compared to what is out there. 

and yes, not all land is fertile, that's why you don't try to live in a desert like all the morons in arizona and many other places. you can turn many deserts into grassland: https://www.youtube.com/watch?v=vpthi7o66pi&t=4s 

we grow fields upon fields upon fields of corn and soy to make garbage food that makes us sick while having useless lawns to show off to our neighbors that we can use a lawnmower when we could be making prime habitats for massive herds of animals that we can use as never ending food sources.

you can't afford to live off the land? that makes no sense, do you understand the concept here? you're living off the land, you don't need money.. nobody needs money for anything. it's worthless paper and digits in computers. you realize a couple hundred years ago people just rode wagons across america and picked a spot to settle right? i don't know the immediate answer to how to get land distributed to people who are willing to homestead, that's the hard part. i definitely wouldn't want the government involved. there is no easy solution for it, but the alternative is much worse. houses will be completely unaffordable throughout the world some day, and we'll all be even more of slaves to the corporate systems and governments than we already are. just wait, or just wait for your children to see... it's going to be a fucking nightmare. and it's going to happen, you're not getting the world to homestead, nobody is doing it. we're going the other direction and it's not stoppable.

ya, the population is growing, but as i said, you don't seem to have a clue how much land is out there, and people who cannot live off the land shouldn't be living.. why do you think we got into this situation? we cater to every little desire and whim of everybody all in the name of profit. if you have a strong family and community you can live off the land, anybody can do it, it's just a matter of not being a coddled sheltered half ass human being.

sure.. we've dug ourselves into a hole by chasing the dollars and carrots in front of our faces for centuries, but the solution has been staring us in the face the entire time.. most people are just too lazy and don't want to give up their lives of convenience for an honest living off the land. if you don't want an honest lifestyle living off the land and you want to live in a city full of conveniences and cancers then you're the problem. but you're in good company, probably 99% of people think that way. 

social backlash? like the social backlash from politics, unjust laws, and profiteering? just wait, you haven't even seen social backlash yet, this world is about to explode with social backlash. you're going to wish you had a homestead off the grid when it does.

the fact that i have to explain this to people shows how far gone the majority of mankind is. it's almost a shame that god has promised not to flood the earth again, we could really use a reset.","@johnvuu4679地球上有很多土地，你甚至在任何地方开车吗？您是否曾经离开过您居住的城市？与那里的城市相比，城市的规格很小。

是的，并非所有的土地都是肥沃的，这就是为什么您不像亚利桑那州和其他许多地方那样尝试生活在沙漠中的原因。您可以将许多沙漠变成草地：https：//www.youtube.com/watch?v=vpthi7o66pi&t=4S

我们在玉米和大豆的田地上种植田地，以制作垃圾食品，使我们生病，而无用的草坪可以向我们的邻居炫耀，我们可以在我们可以为大量动物群创造主要栖息地时使用割草机，我们可以使用割草机。用作永无止境的食物来源。

您负担不起居住的土地吗？那没有道理，您在这里了解这个概念吗？您在土地上生活，不需要钱..没人需要任何钱。这是毫无价值的纸和计算机中的数字。您意识到几百年前，人们只是骑着货车在整个美国都骑着货车，并选择了一个地点来定居吗？我不知道如何将土地分配给愿意居住的人的直接答案，这是困难的部分。我绝对不希望政府参与其中。没有简单的解决方案，但是替代方案更糟。有一天，全世界的房屋将完全负担不起，与我们现在相比，我们所有人都将成为公司系统和政府的奴隶。等一下，或者等待您的孩子看到...这将是一场他妈的噩梦。这将发生，您不会让世界进入宅基地，没有人在做。我们朝另一个方向前进，这是不可停止的。

是的，人口正在增长，但是正如我说的那样，您似乎不知道那里有多少土地，而无法生活的人不应该生存。这个情况？我们以利润的名义迎合每个人的每一个小小的渴望和兴起。如果您有一个强大的家庭和社区，您可以在土地上生活，任何人都可以做到这一点，这只是一个不做一个顽固的庇护半屁股人的问题。

当然..我们已经通过在脸前追着美元和胡萝卜数百年来挖掘了一个洞，但是解决方案一直在整个脸上盯着我们。想要放弃他们的便利生活，以诚实地生活在土地上。如果您不希望诚实的生活方式在土地上生活，而是想住在一个充满便利和癌症的城市中，那么您就是问题所在。但是您的公司很好，大概有99％的人以这种方式思考。

社交反弹？就像政治，不公正法律和盈利的社会反对一样？等一下，您甚至还没有看到社交反弹，这个世界即将在社交反弹的情况下爆炸。您将希望在电网上拥有一个宅基地。

我必须向人们解释这一事实，这表明了大多数人类已经走了多远。上帝已承诺不要再次淹没地球几乎是可惜的，我们可以真正使用重置。"
34326,UgykDos0OqGt0YwQoK54AaABAg,4,the first time i saw such a big bamboo shoot! rural life is a happy lifestyle!,第一次见到这么大的竹笋！田园生活是幸福的生活方式！
2793,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UpMstN8ije,4,@edwardwongliupepelutivrusk1262 everyone knows that. who's dumb enough to think otherwise? the lifestyle being talked about is life in the mountains.,@Edwardwongliupepelutivrusk1262每个人都知道。谁愚蠢到足以思考？谈论的生活方式是山区的生活。
3098,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9VC3xXauppF,3,"@user-xf9er7dm9z ordinary rural real life is not so poetic, but it is indeed the epitome of my life when i was a kid. the current life is gradually western and fast-paced. they are all profitable for chasing their names, leading to the gradual changes in the traditional lifestyle.",@user-xf9er7dm9z 普通的农村真实生活没有这么诗意，但确实是我小时候生活的缩影，现在的生活逐渐西化，快节奏，但四川和江南地区仍保留传统的生活方式，如今的社会太浮躁，人们都在为追名逐利，导致传统的生活方式逐渐改变。
20155,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91oJHVgZu8a,3,"@johnvuu4679 no... it's not unrealistic. explain why? you have no argument, you're just saying no. this is likely your reaction to your subconscious that has already reasoned that you don't want to give up your current lifestyle so you respond with some general nonsensical garbage like 'it's unrealistic' with no explanation whatsoever as to why, because there is none. 

i was right with my 'insults' you're just another brick in the wall so to speak, readily admitting that you're too afraid to make any real changes in your own life that will actually make the world a better place for everybody while trying to grandstand about some humanitarian work or something that is completely unrelated... go back to your pasta, plastic goods, cheap cars and 9 to 5. you know you're never going to make a difference, you've already given up.","@johnvuu4679不...这不是不现实的。解释为什么？你没有争论，你只是说不。这很可能是您对潜意识的反应，已经认为您不想放弃当前的生活方式，因此您会以一些普遍的荒谬垃圾做出反应，例如“它是不现实的”，而没有任何解释，因为没有任何解释。

可以这么说，我对我的“侮辱”是对的，你只是墙上的另一砖试图看台一些人道主义工作或完全无关的东西...回到面食，塑料商品，便宜的汽车和9至5。您知道您永远不会有所作为，您已经放弃了。"
19042,UgzCIsvjP7T0N5d3O-54AaABAg,3,wow that lifestyle is so beautiful i wish i could live that life surrounded by beautiful nature and beautiful wife away from all the negativity of the world,哇，这种生活方式是如此美丽，我希望我能过着被美丽的自然和美丽的妻子所包围的生活，远离世界的所有消极情绪
9030,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9AhVhlsJb9J,3,"rl rwngle 
good points thank you. honestly i havenโ€t been to india or russia and my observations were totally based on my personal impressions. what i really wanted to present was an interesting difference in attitudes towards life, and my own understanding to a traditional chinese lifestyle. and i understand there are such differences and similarities between every two cultures. thank you for pointing out.","rl rwngle
好点谢谢你。老实说，我没有去过印度或俄罗斯，我的观察完全是基于我的个人印象。我真正想提出的是对生活的态度和对中国传统生活方式的理解的有趣差异。我知道每两种文化之间存在这种差异和相似之处。谢谢您指出的。"
21861,Ugx0s0ob1pWVxMz3gh94AaABAg,3,"i am living precariously through her, i really wish i could have her lifestyle but i'll be happy just distressing watching her videos",我过着她的生活，我真的希望我能拥有她的生活方式，但我会很高兴看她的视频
2509,UgwCY42O1fKvTWGg2MJ4AaABAg,3,i want this type of lifestyle ..i love it..,我想要这种生活方式..我喜欢它..
22413,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9I6eiIhtgT_,2,"@jumpoable i am pretty sure my point is clear, her real lifestyle is difference then the one she show in her video, whoever disagree that either show me prove or shut their hole",@jumpoable我很确定我的意思是清楚的，她的真正生活方式与她在视频中展示的那个生活方式是不同的，无论谁不同意，都表明我会证明或关闭他们的洞
26714,UgwlP4zvqpIJ16mJXQx4AaABAg,2,hi i'm from india i'm addicted to your video not only me my daughter too we love u r village and your hardwood i want to know your village name if i can one day i want meet you thank you so much for showing you traditional lifestyle,嗨，我来自印度，我沉迷于您的视频，不仅是我的女儿，我们也爱你村和你的硬木，我想知道你的村庄名称，如果我有一天我想见你，我非常感谢你向你展示传统生活方式
13021,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96WV1D_IKcR,2,it is a lot of hard work. people should prepared for that if they're thinking of returning/adopting to this kind of lifestyle.,这是很多艰苦的工作。人们应该为此做好准备，如果他们想返回/采用这种生活方式。
33106,Ugx8FE089Sxi_DFEwzV4AaABAg,2,"i really like your videos - the aesthetic, the rustic ambience, the culture, the cinematography, the music, the variety of knowledge and skills you display - everything is just perfection. you make countryside lifestyle romantic, calming, and dare i say much better than urban lifestyle. ❤",我真的很喜欢您的视频 - 美学，乡村氛围，文化，摄影，音乐，您展示的知识和技能的多样性 - 一切都是完美的。您使乡村的生活方式浪漫，镇定和敢于说，我说的要比城市生活方式好得多。 ❤
14204,Ugy0YPy116yqdepP3u94AaABAg,2,so many people say: oh this should be the way we are living our life. but how many of them will give up their wifi and fast food and all those so called fancy lifestyles,很多人说：哦，这应该是我们生活的方式。但是，其中有多少人会放弃他们的wifi和快餐，以及所有所谓的幻想生活方式
24289,UgypzaPOZRvfsC_Xnm14AaABAg,2,wow what a wonderful cool lifestyle is why these oriental asian women are so beautiful wonderful,哇，真是一种美妙的生活方式，这就是为什么这些东方亚洲妇女如此美丽的奇妙之处
6270,UgwyzW3-IjFllMQcKS14AaABAg,2,the cameraman seems from another world. nature beauty and her lifestyle are so lovely.. loved this content,摄影师似乎来自另一个世界。大自然美女和她的生活方式是如此可爱..喜欢这个内容
4025,UgxUu2vUljYc52z7A_d4AaABAg,2,waoo i am amazed ladies like her are none existent in the us. simplicity goes a long way. love here lifestyle,waoo我很惊讶像她这样的女士们，在美国没有。简单性走很长一段路。爱在这里的生活方式
20641,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE913ffVhocuG,2,"jacky phantom i am speechless. know part of a country's history and attack people from there for that reason because it has to be their fault! you, wherever you are from, please stop insulting your origin by talking to me like that. i had no ill intentions replying to you in the first place, but i don't like how you brought our conversation to this end. what does this piece of information has to do with what i said or what ziqi posted? this is not somewhere you want to brag about you newly-learned knowledge towards someone's homeland and come up showing off with them because it gets personal. many ethnic minorities are not driven out, but the people choose to convert because that fits the modern lifestyle better. plus, many southern ethnic minorities are getting awareness from the government and given protection by helping them booming tourism so that they can make a living withholding their traditions and customs. on the other hand, the u.s. undoubtedly invaded the indigenous people on n.a. and hawaii islands, and try talk to americans with that piece of information and see if they would think you so genius or the other way around. if you happen to be american, perfect, seems like my country isn't hardly as bad as yours speaking of invading, oh no, killing, indigenous people, let alone the culture. i know that i won't be able to overturn your negativity towards china and i don't want to leave you even more downside impressions on us, but i sincerely hope that you would one day drop that bias and look slightly more into the positive side -- because every country is more than what you can read in the media.",Jacky Phantom我无语。知道一个国家历史的一部分，并因此从那里攻击人们，因为这必须是他们的错！无论您来自哪里，请不要再与我交谈，不要再侮辱您的来源。首先，我对您没有任何不良意图，但是我不喜欢您将我们的谈话带到这一目标。这条信息与我所说的内容或Ziqi发布的内容有什么关系？这不是您想吹牛的地方，因为您是个人的，因为它是个人的，因此对某人的家园进行了新的知识并与他们一起炫耀。许多少数民族并没有被驱逐出境，但是人们选择convert依，因为这更适合现代生活方式。另外，许多南部少数民族正在从政府中获得认识，并通过帮助他们蓬勃发展的旅游业来保护他们，以便他们可以谋生自己的传统和习俗。另一方面，美国无疑入侵了北卡罗来纳州和夏威夷群岛的土著人民，并尝试用这片信息与美国人交谈，看看他们是否会认为您是如此天才或相反的方式。如果您碰巧是美国人，那么完美，看来我的国家并不像您说入侵的人那样糟糕，哦，不，杀人，土著人，更不用说文化了。我知道我将无法推翻您对中国的消极情绪，我不想让您对我们有更多的下行印象，但我真诚地希望您有一天会放弃这种偏见，并使您更加偏向积极方面 - 因为每个国家都比您在媒体上阅读的内容还要多。
20152,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91nv2tDcgN4,2,@ban_usury_worldwide with what land? how will this land be distributed? not all land is this fertile. not all people want to live this way of life. what if there's a social backlash from people who refuse to live this way or cannot afford it? what are the economic costs this change in lifestyle will cause and will it be good or bad? how will we teach people to live off the land when most people just go to the store to buy food? check out a graph of the growth of human population over time and tell me again if you still think we can live like we did in the past,@BAN_USURY_WORLDWIDE与什么土地？这片土地将如何分发？并非所有的土地都是肥沃的。并非所有人都想过这种生活方式。如果拒绝这样生活或负担不起的人有社会反对，该怎么办？这种生活方式变化会导致的经济成本是什么，这是好还是坏？当大多数人只是去商店购买食物时，我们将如何教人们生活在土地上？随着时间的流逝，查看人口增长的图表，再次告诉我您是否仍然认为我们可以像过去一样生活
15537,UgwclMUBouE3gIMZjzN4AaABAg,1,"i avoided this lifestyle my whole life. now i can't go back...





still avoid it, i'm pretty fine like this.","我一生都避免了这种生活方式。现在我不能回去...





仍然避免它，我很好。"
14981,UgxM_n04XTG2RGcXG4N4AaABAg,1,i really loved the way her lifestyle is !,我真的很喜欢她的生活方式！
23095,Ugzr4pAqxjPaqnsEdHh4AaABAg,1,wow，it's gorgeous! i love this lifestyle!,哇，太漂亮了！我喜欢这种生活方式！
31687,UgwkEqaJbzFImvNs_AB4AaABAg,1,"low -desired lifestyle, sunrise and sunset zhang luo eats major things, and make full use of the earth's sparse fruits produced in the four seasons, and do one thing seriously, a happy life every day. ❤️ come on 油",低欲的生活方式，日出日落的张罗吃饭大事，充份利用大地随着四季产出的疏果，认真的做一件事，快乐的生活每一天。 ❤️加油
22430,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9UoSpCto1wv,1,"what is wrong with all you guys? her video is simple. she just want to show that even in this modern world, we should appreciate the coulture, the nature without technology. so her video is just like tutorial and she want to show the lifestyle. simple. i hope all of you enjoy your lifetimes.",你们所有人怎么了？她的视频很简单。她只想表明，即使在这个现代世界中，我们也应该欣赏没有技术的库尔特，大自然。因此，她的视频就像教程一样，她想展示生活方式。简单的。希望大家都喜欢您的一生。
22428,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9UiqkqbuYcp,1,"@jake89083 yeah i know i'm not fxcking stupid i know what it's like. i lived in the countryside before. liziqi pretties up and romanticizes her life in the mountains, and ofc in real life she gets a lot of help and dont do all that alone, but that doesn't mean the hard work and manual labor is not her lifestyle.",@jake89083是的，我知道我不是愚蠢的，我知道这是什么样的。我以前住在乡村。利兹奇（Liziqi）的美观化，使她在山区的生活浪漫，在现实生活中，她得到了很多帮助，并且不独自完成这一切，但这并不意味着艰苦的工作和体力劳动不是她的生活方式。
2792,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UogKaDHDFL,1,"there is no this kind of lifestyle in real world, what she presents is an artistic way of country life. you will be covered in sweats and dirt just to make a meal like that.",在现实世界中，没有这种生活方式，她提出的是一种艺术的乡村生活方式。您将被汗水和污垢覆盖，只是为了做饭。
22425,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9Udyb8NM0JM,1,"@felixl1865 it always shocks me to see how comments about her hard work get so many people fuming mad and defensive about their own lifestyle. yeah, i'm talking about you.",@felixl1865总是让我感到震惊，因为她如何看待她的辛勤工作的评论使这么多人对自己的生活方式发疯和防御。是的，我说的是你。
17715,Ugyq20sSrsHj5YXUi2l4AaABAg.92huIBS1Mwn92ucNRProZv,1,@lexsun4990 i have lol they're usually dirty and smells bad(coming from a guy with almost no sense of smell). the harsh lifestyle also makes every1 look worn out. this isn't real. it's a actor lol.,@lexsun4990我有大声笑，它们通常很脏，气味很糟糕（来自一个几乎没有嗅觉的家伙）。恶劣的生活方式也使每个1看起来都疲惫不堪。这不是真实的。这是一个演员大声笑。
22016,UgxGr7uOwkmy5VF9vnt4AaABAg,1,i just found this and it's so relaxing to watch i envy this lifestyle but probably couldn't keep up with it lol,我只是找到了这个，看着我羡慕这种生活方式真是太放松了，但可能无法跟上它
17943,UgxVd4SOGXAYOUDQbkJ4AaABAg.92e6BsyVPrJ92nBu7Kv181,1,chang c's lifestyle is actually called survival ...,Chang C 那个生活方式，其实是叫生存而已⋯⋯
19983,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92lWgBko03i,1,myth tree millions of 'poor' people live this way and living off the land you planted with very little waste is very much sustainable especially when compared to modern western lifestyles and consumerism.,神话中的树木数百万“穷人”以这种方式生活，而在您几乎没有浪费的土地上生活是非常可持续的，尤其是与现代西方的生活方式和消费主义相比。
8300,Ugw6BYx0oQENbWkcWUJ4AaABAg.9Bgrr8tCDN89Bl-p0zkseG,1,"i think she likes her lifestyle, and he is beautiful !!!",我认为她喜欢她的生活方式，他很漂亮！！！
24635,UgxZNmP7U01GvSm7y6R4AaABAg,1,"i would leave everything i have in my country, just to live this lifestyle.",我会留下我国家拥有的一切，只是为了过这种生活方式。
25856,UgypwWNoQRcqRAwWMih4AaABAg,1,this is just fabulous and quietly rich lifestyle she leads! wish all corners of the world was like this place! it looks almost like minecraft irl!,她过着很棒且安静的生活方式！希望世界上的所有角落都像这个地方！看起来几乎像Minecraft IRL！
26383,UgwoMXV8q4oJRIErQDx4AaABAg,1,"ohh, this is the healthy lifestyle i'm looking for.",哦，这是我想要的健康生活方式。
27242,UgxTCR3--SLug76coB94AaABAg,1,your lifestyle is amazing.. .. from saudi arabia,您的生活方式很棒.. ..来自沙特阿拉伯
12536,UgzPYC_F7-1dltMFvCR4AaABAg,1,"03:31 aweh boyz, biltong, hell yeah, shout‐outs from south africa, love your channel liziqi, and your inspirational lifestyle! <3",03:31 aweh boyz，biltong，是的，是的，来自南非的大喊，喜欢您的频道Liziqi和您的鼓舞人心的生活方式！ <3
