,cid,votes,含love,含love中文翻译
42956,UgwAj8uciEHxoCx5Afd4AaABAg,479,i’m so glad youtube suggested me this video! it’s for sure among the most beautiful videos i’ve ever watched. everything is so carefully done and the editing is so sensible. i’m just in love with the channel. and the girl who cooks and does everything (haven’t found out her name yet) is precious. she looks like a green/forest fairy... please keep doing this amazing job :),我很高兴YouTube建议我这个视频！可以肯定的是，这是我看过的最美丽的视频。一切都非常小心，编辑是如此明智。我只是爱上了频道。做饭和做所有事情的女孩（尚未找到她的名字）是宝贵的。她看起来像个绿色/森林仙女...请继续做这项出色的工作:)
14004,UgxRRuowpqrZNxZ9_6l4AaABAg,445,i love when the animals follow her around wherever she goes,当动物走到哪里时，我爱她，他们看起来很高兴和兴奋
19753,UgzmQ-ENkjs0c6wmtyh4AaABAg,393,i would love to visit and just be immersed into their everyday culture. these videos bring my soul so much peace and happiness.,我很想参观，只是沉浸在他们的日常文化中。这些视频给我的灵魂带来了如此多的和平与幸福。
19967,UgwekNX0qk4kOOt1Cll4AaABAg,383,i love the popcorn part she's trying to cover her grandmas ears,我喜欢她试图遮盖祖母耳朵的爆米花部分
4619,UgypwRZi7D8Xx3AObhV4AaABAg,367,"oh my gosh, she's so amazing! the cooked food is above all excellent. lots of goji berries and cakes she makes! if i were a man, i would do my best to win liziqi's heart >3
i always use liziqi as my inspiration for my videos!
i love liziqi <3","哦，天哪，她真是太神奇了！煮熟的食物首先是很棒的。她制作了很多戈吉浆果和蛋糕！如果我是一个男人，我会尽力赢得利兹奇的心> 3
我总是以liziqi作为视频的灵感！
我爱liziqi <3"
6783,Ugyz_bH0B_MbQFGW1nV4AaABAg,356,"what i absolutely love about her videos is she doesn't really care that the camera is there, even though it's there she's still living in the moment. she's still doing those things because she loves doing them, not for the sole purpose of recording and posting it",我绝对喜欢她的视频的是她并不真正在乎相机在那里，即使它仍然在那一刻。她仍然在做这些事情，因为她喜欢做这些事情，而不是为了录制和发布它的唯一目的
29830,UgzwLAANTk5m3qE9Vcp4AaABAg,342,"i am egyptian, i have 14 years. but i believe that the chinese are the best people in the world. i am talking about arabic, but i translate it into chinese and let the chinese understand. i love china and china, and i have been looking forward to all news from this great country in china. this is a very great country.",我是埃及人，我有14年。但我相信中国人是全世界最好的人。我说的是阿拉伯语，但是我把它翻译成中文，让中国人理解。我热爱中国和中国，我一直期待中国这个伟大国家的所有新闻，这是一个非常伟大的国家。
30200,UgzXdzPPTN6NDtHcj2Z4AaABAg,329,"this video shows the most traditional way of chinese making popcorns, oh dear lord, all my childhood memories. ziqi, love you.",该视频显示了我所有童年的回忆，最传统的中国人制作爆米花的方式。 Ziqi，爱你。
4108,UgyUrXRsMA8pgAIACYd4AaABAg,327,this video is pure love harmony and the perfect definition of a healthy life,该视频是纯粹的爱情和谐，是健康生活的完美定义
3973,Ugx_C_mW3h0hF00gVzF4AaABAg,311,this is literally my favorite youtube channel. ❤️❤️❤️ i notice that there’s purpose and knowledge in every notion that she does and i love it!,这实际上是我最喜欢的YouTube频道。我注意到她这样做的每个观念都有目的和知识，我喜欢它！
1766,Ugxx_UFKQg4oB36qtSN4AaABAg,310,everyone who watches these equally loves her couldn’t we all get along and be friends no matter what country you are from and we could grow our beautiful gardens like liziqi,每个同样爱她的人都无法相处并成为朋友，无论您来自哪个国家，我们都可以像Liziqi一样种植美丽的花园
43836,Ugzvt3VyGfyew7mfnxN4AaABAg,310,"that physical type of life full of colours, fresh air, products straight from the nature, organisation to every preparation creates calmness in my soul! your videos are an oasis in my difficult, anxious city life. i love watching you! you make my day! god bless you! keep it that way!",从大自然，组织到每种准备工作的那种充满颜色，新鲜空气，产品的物理类型，都会在我的灵魂中镇定！您的视频是我艰难而焦虑的城市生活中的绿洲。我喜欢看你！你让我开心！上帝祝福你！保持这种方式！
36470,UgyvmxmPJmXATBXTYnV4AaABAg,306,"her whole family can be prop by. such a talented girl.






i love you! intersection","Her whole family can be proud of her. Such a talented girl. 






我爱你！！"
22422,UgyqKauAAZRkyW6NhbJ4AaABAg,305,"i see how feminine and strong she is, living with the harmony. it's life that i want it, damnnnn love it so much",我看到她与和谐相处，她是多么的女性化和坚强。我想要的是生活，该死的人非常喜欢它
43470,Ugzo1FOEREGiFyITaGd4AaABAg,283,"she should become the brand ambassador of the united nations framework convention on climate change (unfccc). she is inspiring millions of people around the globe to opt for more sustainable and organic living. i wish and pray that her efforts reach larger and larger audience with each passing day and she becomes an agent of great changes in future! 

she is the daughter of nature! 
long live the princess !

love :-)","她应该成为《气候变化》（UNFCCC）的联合国框架大使的品牌大使。她激发了全球数百万的人，以选择更可持续和有机的生活。我希望并祈祷她的努力每天都在吸引越来越多的观众，她成为未来发生巨大变化的代理人！

她是大自然的女儿！
公主万岁！

爱 ：-）"
32906,UgzeFJBfcWa6f_djjy14AaABAg,268,the way the pets following her...is so adorable...love from india๐ค—๐ค—๐ค—,跟随她的宠物的方式……是如此可爱...来自印度的爱
40251,UgzYbWUYEozAK3uZ8Jd4AaABAg,254,she is very hard working woman and she is sooo beautiful i love it,她是非常努力的女人，她太漂亮了，我喜欢它
29964,UgwQP_4zpUALo_ikOQV4AaABAg,241,she is the real life disney princess...her life so full of life ...i love the part where she ran towards her grandma to close her ears,她是现实生活中的迪士尼公主...她的生活如此充满生活...我爱她朝奶奶闭上耳朵的那部分
9168,UgzfoBX6awgjR5pkPBZ4AaABAg,237,5:55 i love how she run to cover her grandma ear because of the sound but she ended up getting scared that was just so cute....,5:55我喜欢她的跑步，因为声音是因为声音而遮住祖母的耳朵
23825,Ugx0c1L9CyDS9_gJJYl4AaABAg,230,"the desirable rural life can't help but think of childhood 30 years ago, although it is far from being so rich. the bird loves the old forest, the pond fish thinks about the old forest, the wasteland will open up the south, and it will return to the countryside. this is the joy of life!",令人向往的田园生活，不禁想起了30年前童年的日子，虽然远没有这么丰富。羁鸟恋旧林，池鱼思故渊，开荒南野际，守拙归田园。这才是人生的乐趣！
31186,UgxBPmGw0xIG1aIl6ZF4AaABAg,225,"as a chinese,i am really happy to see people from different countries appreciate and love ziqi's video.",作为中国人，我真的很高兴看到来自不同国家的人们欣赏并喜欢Ziqi的视频。
17462,UgwjwUJ64AMEJt0Mruh4AaABAg,203,"see how they treat their parents ,grand parents...they respect them most.....what a beautiful country.....what a beautiful life........i love china 
i wish i would be a chinese guy .....love you guys ,.love your country, truly from the bottom of my heart....thank you","看看他们如何对待父母，祖父母...他们最尊重他们.....多么美丽的国家.....多么美好的生活........我爱中国
我希望我会成为一个中国人.....爱你们，爱你的国家，真的是我心底的。"
9337,Ugw8QmeHtK9J29UimxB4AaABAg,196,"dear liziqi, everything you do is done with beauty, with grace ,with compassion , humility and love. i am grateful that you share your life for all to see.",亲爱的liziqi，您所做的一切都是用美丽，恩典，同情，谦卑和爱来完成的。我很高兴您分享您的生活，让所有人看到。
52911,Ugwvbi63GNuAAeiGk654AaABAg,192,i love your videos from india,我喜欢你来自印度的视频
10251,UgwVzIQ3hjqcp4yWIBN4AaABAg,179,i love how everything she uses goes into full use and doesnโ€t get thrown away or wasted,我喜欢她使用的一切都充分使用而不会被扔掉或浪费
18728,UgyJG2fKVoOMMVW2Pmt4AaABAg,178,"the way she loves and cares for her grandma is so wonderful, this girl is a true treasure !❤️",她喜欢和关心祖母的方式是如此美妙，这个女孩是一个真正的宝藏！❤️
50888,UgxmG2wdFYPjiTnHSth4AaABAg,176,"happy chinese new year beautiful lady and to popo 

i'm so inlove with all your videos... well done","春节快乐美丽的女士和popo

我对你所有的视频都很热爱...做得好"
22156,Ugx-VnwOX7qjyeUAAdh4AaABAg,168,"18k dislike??? iโ€m sorry for them. 
come on. the animals love her too. that should tell you something","18k不喜欢？？？对他们很抱歉。
快点。动物也爱她。你能从中了解到点东西"
44960,Ugzkyht9GJ-UWBb8pBV4AaABAg,155,"what a beautiful faerie like place in which you live! a lot of lovely fruits, nuts and resources to make your treats with as well. you are obviously very talented and the calm, hard-work and dedication can be seen in your videos... passion, too",您居住的地方多么美丽的仙境！许多可爱的水果，坚果和资源也可以使您的零食。显然，您很有才华，您的视频中可以看到镇定，努力和奉献精神……激情，所有食物看起来都很好吃！你和你的祖母太可爱了。
50121,UgzH4LdGJokqxHqMDNh4AaABAg,153,all the love from india,来自印度的所有爱
17825,UgzrzQVlVE8U33HjHNV4AaABAg,146,isn't it lovely how her dogs always be by her side like everytime and everywhere :') <3,她的狗总是像每次和任何地方一样在她身边，这不是很可爱：'）<3
32160,Ugx1LXTsr5AkRIsGb_p4AaABAg,144,"i love that anyone can watch these amazing videos, there is no real language barrier or anything! i wish i was as talented as her",我喜欢任何人都可以观看这些令人惊叹的视频，没有真正的语言障碍或其他任何东西！我希望我像她一样有才华
51248,UgzI831i3irtE8a4DJl4AaABAg,144,i love your videos,我爱你的视频
20067,UgzgNxNcygnYpcfDo1J4AaABAg,143,i love those puppies that follow her everywhere - so cute!,我爱那些在任何地方都跟随她的小狗 - 太可爱了！
6033,Ugx6Fy6_eEY9u8QsYc14AaABAg,140,"i love how she takes care of her grandma, literally the sweetest thing ever <3",我喜欢她如何照顾奶奶，这实际上是有史以来最甜蜜的东西<3
28148,UgxV6wwjOWPppmiiUF54AaABAg,139,so happy to see that so many people in the world love chinese traditional culture.,很高兴看到世界上有这么多人喜欢中国传统文化。
11707,UgzEkJsoQd5Xczy3RF14AaABAg,138,she's so lucky she still have her grandma with her.i miss my grandma ..always love her videos .they're very inspiring,她很幸运，她仍然和她在一起。我想念我的祖母..永远喜欢她的视频。他们非常鼓舞
46170,UgwmcXaCHC83nLj3DVJ4AaABAg,126,happy chinese new year❣ thank you very much for the beauty❣❣❣ with love from russia❣❣❣,春节快乐❣非常感谢您的美女❣❣❣俄罗斯的爱
48260,UgwBblU4QoNakBytV7p4AaABAg,124,"dear ziyi, you bring hold to people on economic! no wars, face, point, disease and sorrow if everyone learns to be loving and self-sufficient like you. you're an e ncyclopedia for us to standy forever:) happy chinese new year from eagle mountain, utah, usa.
dear ziyi, you bring hope to world peace.
if everyone learns love and self -sufficiency like you, war, famine, poverty, disease and sadness will completely disappear. you are our eternal encyclopedia:)
happy new year-greetings from yingshan, utah, usa.","Dear 子柒, you bring hope to Peace on Earth ! No wars, famine, poverty, disease and sorrow if everyone learns to be loving and self-sufficient like you. You're an encyclopedia for us to study forever : ) Happy Chinese New Year from Eagle Mountain, Utah, USA. 
亲爱的子柒，你为世界和平带来希望。 
如果每个人都像你一样学会爱和自足，战争、饥荒、贫穷、疾病和悲伤将彻底消失。你是我们永远的百科全书 : ) 
新年快乐--来自美国犹他州老鹰山的问候。"
30836,UgzUuTQk8yuJ8cB7z514AaABAg,122,"24 years of living and being a chestnut lover, i always thought it was planted underground just like the ground nuts, not on a tree!๐…๐ 
.
wait, is the mango she cut doesnt have a seed??! my ultimate dreammmm","24年的生活和成为栗子爱好者，我一直认为它是在地下种植的，就像地面坚果一样，而不是在树上！
。
等等，她切割的芒果没有种子吗？我的终极dreammmm"
22624,UgzSOoLeC0Mde95j3GN4AaABAg,120,"i really love how her puppies and sheep following her, it is so cute !",我真的很喜欢她的小狗和绵羊跟随她，真可爱！
18290,UgyWWpacG4G0yJO1Me94AaABAg,119,gordon ramsay would absolutely fall in love with this place if he ever visited her. true cooking from scratch,如果戈登·拉姆齐（Gordon Ramsay）拜访了她，他绝对会爱上这个地方。从头开始烹饪
52053,UgxxvHG2mGuYRI4mst94AaABAg,109,hello my talented sis love u and ur video love u so much love from pakistan,你好我才华横溢
42612,Ugx7O2f_d5NDecHu3Vx4AaABAg,100,i'm so glad i found this channel. something about watching people do what they love so skillfully is just so satisfying. idk how else to explain it. i love these videos to pieces. please keep them coming! <3 <3 <3,我很高兴找到了这个频道。看着人们如此熟练地做自己喜欢的事情是如此令人满意。 idk还有其他解释。我喜欢这些视频。请让他们来！ <3 <3 <3
24512,UgzIsnL_-HFN1yAJdhJ4AaABAg,98,i love how sheโ€s snacking while working at the same time,我喜欢她同时工作的零食
29303,UgwdVDks-QjjWNlASBl4AaABAg,95,when i watch her videos i feel in fairy world..so emotionally appealing!! i really want to meet this chinese angel and hug her !! lots of love from india,当我观看她的视频时，我会在童话世界中感到。我真的很想见这个中国天使，拥抱她！来自印度的很多爱
15203,UgxCQYXap9vk2YRw9dd4AaABAg,93,"儘管我是朝鮮人，但我還是非常愛你，但我並沒有什麼區別，因為我不區分兩國，相反，它們必須以愛與誠心團結在一起，但有些人不支持。☺️
......
끡이이이이ser이지만 나읋읤을우우о우산 а읾우 а우ा 우 랅 잋사ااااااااااااااااااااااااااسااااي았았았쀕쀕쀕쀕쀀и 뇵ςа쀾 are readers are read, lunched lunbook. 없슆슆니려예려 사랑㇑성실로 연ऩ됔됴앾윴쟀윴읅쟘읜쟀읜쟀읜쟀읜쟀읜쟀읜쟀읜쟀읜쟀읜짅진진진짅읜읜읟ؼ are notesaned agreed. 습ecta.☺ide️
......
i love you very much, even though i am korean, let him do note to say he will say that he does not say not differentinentanteen between the two counrits. rather, the one must will unit by love and sincera, let me give me peopople note supporte tit.☺️
......
ػwhite josowering jouse, in the partlessing ingent, 14: 40 elsewhere, he did not go out of the temple that he did not spare, but he did not go out of the way that he did not go out of the temple.団灹e,ement,kõʹa·ʹʹʹʹ illustrateveing、,、、ر؝「れれれれれい4ズもも ).
......
أحبك كحب facebook كثيراً ، بالرغم من أني كوري, لكن ليس لدي فرق لأق الرق الق الق الق الق الق الق الق دلاً ذلً ذلً ذلمك, بلك, أن بدوا بالحب والرإاخلاص ، لكن بض النا النا لا فادون ذلون ذلي
......
koreli koreli before the seni çok seviyorum, rainfall hiçr hiçrkı jünkü iki ülke ülke ayrın ayrıim yapmyarm. bunune yerie, sevgi ve samiyetle biarletle birleşmelidirler, ancak bazı insanlar buunu deestermez.☺️
......
मैं आपससाययारकरा किििा कोह च अंंततर करा करा इसक़जाय, उ्न्पार र और मारीरी की की ल paraguay किि़क छोइा
......

órሼ᳕ = 쒧 as اmi 생<a фє섺?","尽管是，但是爱非常你，但是，但但没有，因为没有什么，因为，因为，因为我不区别什么什么什么，相反不分分分
......
ser이지만이지만읤을。 윴읅注释是同意的。
......
我非常爱你，即使我是韩国人，也让他注意到他会说他不会说这两个委员会之间没有区别。相反，一个人必须通过爱与中心单位，让我给我peopople Note支持山雀。
......
ػ白色的乔斯·朱斯（White Josowering Jouse），在无与伦比的intent中，在其他地方14：40，他没有走出圣殿，因为他没有放弃，但他没有远离他没有离开圣殿的方式。 ，ement，kéʹa·ʹʹʹʹ说明，，、、，؝؝؝؝ズズもももも
......
أحأحككحكحfacebookكثكثكثً，喇叭，告أstripter，غsthip，كثsthip，كثsthip，كثstribinyغ告أstript母式ذ。
......
在SeniCok Seviyorum之前的Koreli Koreli，降雨HiçriçrkıJünküikiikiülkeülkeülkeAyrınAyrıimYapmyarm。 Bunune Yerie，Sevgi ve samiyetle biarletlebirleşmelidirler，ancakbazıinsanlar buunudeestermez.☺️
......
मैंकोहकोहकोहकोह उयीीकीकीकील
......

órሼ᳕=쒧"
49212,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmOFMZhd4u,90,all the recipes will be very spicy so just true spicy-food lovers will appreciate,所有食谱都会非常辣，所以只有真正的辛辣食物爱好者会喜欢
47388,UgyPAmvkUntYoit6SJJ4AaABAg,90,happy chinese newyear. say hi to your lovely grandma.,快乐中纽约。对你可爱的祖母打招呼。
26238,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zqFED0sAeY,89,hi i'm from india.. she is really amazing.. lot of love from india ๐ค—,嗨，我来自印度..她真的很棒..来自印度的很多爱
558,UgxxOfivTNQOd4Vv43N4AaABAg,89,"this is one of my favorite videos of hers, because i love it when she's worried about protecting her grandma and it jumps so cool.",这是我最喜欢的视频之一，因为当她担心保护奶奶并且跳起来很酷时，我喜欢它。
45779,Ugw5E_fX8RAn-9bIRsx4AaABAg,87,happy chinese spring festival to you and your grand mother (love u grand maa),中国春节快乐给您和您的祖母（Love U Grand Maa）
19430,UgwpepipdU3nh_-URFF4AaABAg,82,this girl deserves the game for her struggle and hard work . i mean who the hell disliked her video . love from india,这个女孩应该为她的斗争和辛勤工作而获得比赛。我的意思是谁不喜欢她的视频。来自印度的爱
39609,UgwyQBO-haOzzx3wwhB4AaABAg,82,a cup of coffee would watch these videos to get motivated in the morning. love it.,一杯咖啡会观看这些视频，以便早晨动机。爱它。
23132,Ugwgt34w5aNKf6467zt4AaABAg,77,"i really like the japanese and chinese culture, filled with peace, harmony, in love with nature, satisfying.. it's such an exquisite thing to watch. god bless that girl and you all. thanks for reading my comment. have a great day ahead!",我真的很喜欢日本和中国的文化，充满了和平，和谐，爱上自然，令人满意..这是一件精美的事物。上帝保佑那个女孩和你们所有人。感谢您阅读我的评论。祝您有美好的一天！
47885,UgyqT8f93h8eaBjtGSV4AaABAg,76,i love how she love her grandma so much. ❤️,我爱她非常爱奶奶。 ❤️
7241,UgxFdqS9tk_KLbCJMhd4AaABAg,74,"nature loves her. whatever she touches, it turns into a gold...",大自然爱她。无论她接触什么，它都变成了金子...
52840,UgyPtSCSjH1mCfKP52x4AaABAg,73,your video is so amazing. love from indonesia. ❤️,您的视频太棒了。来自印度尼西亚的爱。 ❤️
12556,UgyDYTKXiEQyhi9m2ll4AaABAg,73,this is why i love china. they are very hardworking and very talented. they made for themselves. and so peaceful place it is,这就是为什么我爱中国。他们非常勤奋，很有才华。他们为自己做了。如此和平的地方是
49181,Ugy7ko4BH_vUfS_hcY14AaABAg,71,another lovely video!! thank you so much,另一个可爱的视频！非常感谢
39990,UgzRg2duHRyigXtfcDl4AaABAg,67,loved this video! ms. li and her grandma and uncle are adorable! she's a very hard working woman. these videos should get more likes and no dislikes. wonderful and warming videoโค,喜欢这个视频！李女士和她的祖母和叔叔很可爱！她是一个非常努力的女人。这些视频应该得到更多的喜好，而不喜欢。精彩而温暖的视频❤
4532,Ugyp7-T49IaiYft3_It4AaABAg,65,i really like watching your videos and as someone who’s really into cultural history and related topics it’s very nice to see traditional chinese methods that you use ! loads of love from bangladesh,我真的很喜欢观看您的视频，并且作为真正从事文化历史和相关主题的人，很高兴看到您使用的传统中国方法！来自孟加拉国的大量爱
3545,UgyjQEf8f2BxUGAs1oN4AaABAg,63,"how i wish i could live with ms lizqi for a week, to enjoy nature, her cooking and her friendship. i simply love her channel. nothing compares.",我希望我能和利兹女士一起生活一个星期，享受自然，烹饪和友谊。我只是爱她的频道。没有任何比较。
29927,Ugzqygpa7z5-mKY8azh4AaABAg,63,"i really love the nature around you so much, wonderful girl

wish you good health!","我真的很喜欢你周围的大自然，很棒的女孩

祝你身体健康！"
15968,UgwAbK_X4dln96WPCTN4AaABAg,63,you motivate me you inspire man i'm 75 years old and that give up online until i saw some of your shows that's the best medicine anybody would want. i do not know you personally but you're a godsend the lord loves you i wish i was more people like you were that kind of russian americans it makes no difference i wish i was more people planet earth like god bless you.,您激励我，您激发了我今年75岁的人，在网上放弃了，直到我看到您的一些节目，这是任何人都想要的最好的药物。我个人不认识你，但你是天哪，上帝爱你，我希望我更多的人，就像你是那种俄罗斯的美国人那没有什么区别，我希望我像上帝一样，像上帝一样，保佑你。
24971,Ugw04Uimwmp5r-6XhsZ4AaABAg,61,my greatest wish for china is that everyone could afford such a lovely life.,我对中国最大的愿望是，每个人都可以负担得起如此美好的生活。
52946,UgzVUw4UnqLW7N-jjil4AaABAg,60,"i love this video! every time i see li ziyi's video, i have a feeling that i want to travel to sichuan. after reading this time, i have this idea more again",I love this video! 每次看到李子柒的影片，都有一种很想去四川旅游的感觉。这次看完以后又更加有这个想法了
34258,UgwTeLzvn9xOqtnMCwB4AaABAg,60,my feelings of joy almost like crying of happiness good video i love it โค,我的喜悦的感觉几乎像哭泣的幸福好视频，我喜欢它❤
44884,UgwvadNSiPiMMzuZfJV4AaABAg,56,"translated into russian:

translation: in this video, is it preparing snacks for the chinese new year. year of pig. here is the list of what she did: she climbed the mountain, gathered several chestnuts and fried them in the oven, which she herself built. tsukati from hawthorn on a stick (bing tan hulu). she covered the berries with chinese stone sugar. sesame and peanut sweets. dried mangoes. zephyr squares. spicy and numb, sluggish beef. frying seeds. arachis fried. egg roll note: ms. lee lives in the province of sichuan, china. sichuan from ancient times is called the earth of abundance. you can literally throw the seed to the ground, and the plant will grow like crazy. they have everything there. some of those whom she uses can be inaccessible to people in other countries. a couple of her happy followers on weibo will receive these snacks from her. she loves to give out free things to her followers. she said that she did not exist if her followers had not supported her.","翻译成俄语：

翻译：在此视频中，是为农历新年准备小吃。猪年。这是她所做的事情的清单：她爬上山，收集了几个栗子，然后在烤箱里炸了它们，她自己建造了。 Tsukati来自霍索恩（Hawthorn）的棍子（bing tan hulu）。她用中国石糖覆盖了浆果。芝麻和花生糖。干芒果。 Zephyr正方形。辣，麻木，牛肉缓慢。油炸种子。阿拉奇炸。鸡蛋卷注意：李女士住在中国四川省。来自古代的四川被称为丰富的地球。您可以从字面上将种子扔到地上，植物会疯狂地生长。他们在那里有一切。她使用的一些人在其他国家可能无法访问。她在微博上的几个幸福的追随者将从她那里收到这些小吃。她喜欢给她的追随者免费提供东西。她说，如果她的追随者不支持她，她就不存在。"
52420,UgwA78jo5lO967G8sYR4AaABAg,55,the way she closes her grandma's ear was so cute. love you ☺,她关闭奶奶的耳朵的方式是如此可爱。爱你☺
49842,UgwjeVj4yhpd281--314AaABAg,55,"happy chinese new year li ziqi. you're amazing and talented
love from philippines","农历新年快乐李齐。你很棒，才华横溢
来自菲律宾的爱"
48782,UgzY9XjMdZTksNhI74J4AaABAg,54,"the best chinese culture ambassador, thousands love from nigeria",中国最好的文化大使，来自尼日利亚的成千上万的爱
51346,UgyhAEqiSdcw-3fa_2F4AaABAg,53,love your video,爱你的视频
30078,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78xUwF-BAyW9,52,@annieschmitz1691 maybe she didn't want to eat him maybe she want to have lamb for pet like my grandparents they have 3 lambs and they will never eat them they love them so much and u can see in her videos she never ate meat !!! ๐๐ค“๐,@annieschmitz1691也许她不想吃他，也许她想像我的祖父母一样拥有宠物羊肉，他们有3只羔羊，他们永远不会吃它们，他们非常爱他们，您可以在她的视频中看到她从未吃过的肉！呢
45629,Ugxc116lv0oj8UGd_u14AaABAg,50,"i'm mexican,i do not understand anything but i love your videos.",我是墨西哥人，我什么都不了解，但我喜欢你的视频。
25348,UgwJVpehKaKELcdYy8p4AaABAg.9-RhCpaDX1W902RsjUdBuk,50,"@sonnen-bogenmensch8694 my life is good and i love ziqi's videos. if it was show it would not matter to me, i would still love the message and warmth she sends. but i believe ziqi's heart is good and that is enough for me. beautiful girl with a sweet grandma making down to earth videos, what's not to love? i think my friend you need to check your own life and see why your so unhappy and attack others for being happy. take care.",@sonnen-bogenmensch8694我的生活很好，我喜欢Ziqi的视频。如果显示出对我来说并不重要，我仍然会喜欢她发送的信息和温暖。但是我相信Ziqi的心是好的，这对我来说就足够了。美丽的女孩，有一个甜美的奶奶播放地球视频，什么不爱？我认为我的朋友您需要检查自己的生活，看看为什么您如此不开心并攻击他人快乐。小心。
